EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Corner3Assists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,OffCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,AtRimPctBlocked,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,DefAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChancePointsPct,DefCorner3ReboundPct,Steals,LostBallSteals,Fg3aBlocked,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,on,SecondChanceFtPoints,FTOffRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,BlockedArc3,3SecondViolations
101204,1610612739,Dwayne Jones,Dwayne Jones,101204,CLE,1202.0,20,-5,44,42,25.0,38,6.0,86,1.0,2.0,1.0,1.0,2.0,1.0,3.0,41,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,6.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,0.5,0.5,0.5,0.25,7.8431372549019605,0.16666666666666666,0.15384615384615385,0.07692307692307693,0.25,0.1,0.17647058823529413,0.08695652173913043,0.16666666666666666,0.14285714285714285,0.5,0.1111111111111111,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.6517,0.6614,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5681818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,794.0,13,-11,28,27,11.0,23,4.0,55,,,,,1.0,,3.0,30,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,11.0,,,,0.3,0.3,,18.18181818181818,,,,,,,,,,,,,,,,,,,0.8,0.44132,0.4388,,,,21.7,0.39285714285714285,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.8,1.0,0.2,0.4,0.4,0.5,0.5,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,24.525000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612739,Wally Szczerbiak,Wally Szczerbiak,1887,CLE,158.0,3,-8,5,5,,5,,10,,,,1.0,2.0,,2.0,12,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,0.5,0.5,,40.0,,,,,,,,,,,,,,,,,,,,0.3664,,,,,18.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,1610612739,Devin Brown,Devin Brown,2484,CLE,1202.0,20,-5,44,42,25.0,38,6.0,86,1.0,1.0,,2.0,5.0,1.0,11.0,41,3.0,,5.0,,3.0,,1.0,1.0,1.0,3.0,3.0,6.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,,5.0,25.0,,,0.4,0.45454545454545453,0.4583333333333333,0.4166666666666667,29.41176470588235,0.16666666666666666,0.07692307692307693,,0.25,0.3,0.11764705882352941,0.13043478260869565,,0.2857142857142857,,0.1111111111111111,0.3333333333333333,,0.09090909090909091,1.0,1.0,,,0.6363636363636364,0.4621,0.3718916666666667,0.08333333333333333,0.16666666666666666,0.45454545454545453,11.120000000000001,0.5681818181818182,2.0,2.0,1.0,,1.0,4.0,3.0,2.0,6.0,2.0,3.0,6.0,4.0,1.0,2.0,6.0,,14.0,2.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.6666666666666666,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.25,0.25,1.0,0.5,,0.5,0.25,25.21666666666667,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.2,0.5,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.5,1.0,0.5,0.5,1.0,0.5,0.3333333333333333,0.56205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612739,Joe Smith,Joe Smith,693,CLE,945.0,16,-6,34,33,19.0,29,4.0,67,,1.0,,2.0,9.0,,4.0,35,5.0,,2.0,4.0,,1.0,,2.0,2.0,4.0,1.0,5.0,,,4.0,6.0,1.0,,,,,,,2.0,19.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2,23.684210526315788,0.4,0.2,0.08333333333333333,,,0.15384615384615385,0.058823529411764705,,,0.5,0.14285714285714285,,,0.1111111111111111,,,,,0.1111111111111111,0.4018888888888889,0.35968,,,0.5,8.544444444444444,0.5588235294117647,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.1111111111111111,,,,,,,,,,,,,,,2.0,7.0,,,,1.0,,,2.0,,,,,,,,,,,0.2,0.2,0.2222222222222222,0.14285714285714285,,,0.7777777777777778,0.2857142857142857,0.3333333333333333,,,,,,,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,1610612739,Sasha Pavlovic,Sasha Pavlovic,2562,CLE,463.0,8,1,19,16,19.0,16,3.0,35,2.0,2.0,2.0,3.0,3.0,,6.0,12,3.0,,6.0,2.0,,1.0,,1.0,,1.0,1.0,2.0,,,2.0,2.0,,,,,,,,6.0,19.0,0.3333333333333333,0.5,1.0,0.75,0.75,0.75,18.181818181818183,,0.125,0.16666666666666666,,,0.1111111111111111,0.1,,,,,,,0.5,1.0,1.0,0.5,0.5,0.75,0.49905,0.49905,,,1.0,6.266666666666667,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,0.25,,0.25,,0.25,,,,,,0.25,,26.4,1.0,1.0,1.0,,,,,1.0,,3.0,,4.0,,,,,,,,,,,,1.0,0.75,,,,,,,,,,,0.5,,0.49055000000000004,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,1610612739,Delonte West,Delonte West,2753,CLE,162.0,3,-4,4,6,,3,,10,,,,,,2.0,2.0,10,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,1.0,,25.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,257.0,4,1,10,9,6.0,9,2.0,19,,,,,,,,6,,,,,,,1.0,3.0,,4.0,,4.0,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,1610612739,Billy Thomas,Billy Thomas,2873,CLE,483.0,8,4,18,18,6.0,17,3.0,36,,,,,,,3.0,13,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,6.0,,,,0.75,0.75,,9.090909090909092,0.25,,,,,,,,,,,,,,,,,,1.0,0.49485,,,,,,0.3333333333333333,,,,,1.0,2.0,,1.0,2.0,,,3.0,2.0,1.0,,1.0,,2.0,,,,,1.0,0.5,0.5,1.0,,,,1.0,0.5,0.5,1.0,,,,0.5,25.2,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200789,1610612739,Daniel Gibson,Daniel Gibson,200789,CLE,344.0,6,8,14,12,14.0,12,2.0,26,,,,,,2.0,2.0,5,,2.0,2.0,,,,,1.0,,1.0,,1.0,,,,,2.0,2.0,,,,,,2.0,14.0,,,,,0.5,0.5,12.5,,0.125,,,,0.1111111111111111,,,,,0.2,,,,,,,,1.0,0.4266,0.4266,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
