EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG3A,PenaltyFtPoints,NonHeaveArc3FGA,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APct,DefArc3ReboundPct,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassTurnovers,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,PenaltyArc3Accuracy,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,FTDefRebounds,Travels,Offensive Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,HeaveAttempts,SecondChanceArc3Frequency,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,2879.0,48,8,81,85,20.0,20.0,6.0,166,4.0,5.0,1.0,1.0,1.0,1.0,5.0,6.0,10.0,81,1.0,1.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,8.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,20.0,0.8,0.8,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.16666666666666666,0.2,10.112359550561798,0.3333333333333333,0.15625,0.045454545454545456,0.09090909090909091,0.06666666666666667,0.13953488372093023,0.05405405405405406,0.2,0.07692307692307693,0.14285714285714285,0.19047619047619047,0.2,1.0,0.8333333333333334,0.8,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.8333333333333334,0.5636666666666666,0.6454,0.2,1.4666666666666668,0.24691358024691357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,333.0,6,7,13,12,11.0,12.0,1.0,25,,,,,,,,1.0,1.0,5,,,1.0,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,11.0,,,,,,,0.16666666666666666,0.25,,,20.0,,0.14285714285714285,,0.5,,0.2222222222222222,,,,1.0,,,,,,,,,,,,,0.5,0.422825,0.50445,1.0,20.4,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,1610612753,Rashard Lewis,Rashard Lewis,1740,ORL,1979.0,33,3,53,55,12.0,10.0,4.0,108,4.0,5.0,,,3.0,7.0,9.0,15.0,21.0,61,2.0,2.0,4.0,6.0,12.0,,1.0,2.0,1.0,5.0,6.0,4.0,10.0,,,,,,,,1.0,,,,,,,,,,4.0,12.0,0.3333333333333333,0.375,0.6,1.0,0.5526315789473685,1.0,0.5526315789473685,1.0,,,32.758620689655174,,0.2777777777777778,0.15384615384615385,0.1,0.09090909090909091,0.21428571428571427,0.125,0.5,0.1,0.5,0.2727272727272727,,,0.2631578947368421,0.8,0.8,,0.3684210526315789,0.42857142857142855,0.42857142857142855,,,0.47368421052631576,0.4749473684210527,0.3426,0.19047619047619047,7.533333333333333,0.22641509433962265,3.0,3.0,,4.0,,,,3.0,3.0,1.0,,,,0.21052631578947367,0.2,0.15789473684210525,0.15789473684210525,,24.900000000000002,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.25,0.5,0.5,0.5,0.5,0.125,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.05263157894736842,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.5288999999999999,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,239.0,4,3,9,9,9.0,9.0,,18,,,,,,,,1.0,,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,33.333333333333336,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.41430000000000006,0.41430000000000006,,18.5,1.0,1.0,2.0,2.0,2.0,,2.0,,2.0,,,,,,0.6666666666666666,,0.3333333333333333,0.6666666666666666,0.6666666666666666,26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,2466.0,41,3,69,74,16.0,18.0,5.0,143,,3.0,,1.0,1.0,6.0,2.0,11.0,19.0,67,,2.0,2.0,,4.0,3.0,,,,3.0,3.0,,3.0,,,,,,,1.0,1.0,,,,,,,,,,2.0,16.0,,,0.18181818181818182,,0.29411764705882354,,0.4318181818181818,0.3333333333333333,0.2727272727272727,1.0,28.94736842105263,,0.1,,,,0.075,,,,,0.1,,,0.17647058823529413,,,,0.35294117647058826,0.16666666666666666,0.16666666666666666,0.5,,0.5294117647058824,0.45087941176470586,0.4394,0.10526315789473684,9.263636363636364,0.2318840579710145,2.0,5.0,,6.0,9.0,,2.0,5.0,11.0,1.0,11.0,1.0,1.0,0.35294117647058826,,0.11764705882352941,0.29411764705882354,,25.166666666666668,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,6.0,,1.0,2.0,3.0,,7.0,,,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.5,0.5,,0.058823529411764705,0.2,0.2,1.0,0.3333333333333333,,0.2,0.47345,0.10526315789473684,1.0,1.0,1.0,2.0,2.0,1.0,5.0,0.3333333333333333,1.0,1.0,1.0,0.23809523809523808,0.3333333333333333,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612753,Maurice Evans,Maurice Evans,2230,ORL,954.0,16,7,30,32,10.0,10.0,2.0,62,,,,,,,1.0,1.0,2.0,20,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,10.0,,,1.0,1.0,0.5,1.0,0.5,1.0,,,9.09090909090909,1.0,0.0625,,,,0.058823529411764705,,,,,0.1,,,,,,,,,,,,0.5,0.455975,0.388,1.0,20.5,0.3333333333333333,1.0,,,1.0,,,,,,,,,,0.5,,0.5,,,23.9,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200788,1610612753,James Augustine,James Augustine,200788,ORL,94.0,2,4,4,3,2.0,3.0,1.0,7,,,,,1.0,1.0,1.0,1.0,2.0,3,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,16.666666666666668,,0.5,,,,0.5,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,0.3313,0.3313,1.0,9.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,2164.0,36,6,58,61,6.0,6.0,4.0,119,4.0,5.0,1.0,1.0,1.0,2.0,6.0,8.0,16.0,63,2.0,2.0,4.0,6.0,6.0,,,,1.0,5.0,6.0,,6.0,1.0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,,,4.0,6.0,0.5,0.5,0.75,1.0,0.5454545454545454,1.0,0.6153846153846154,1.0,,,23.80952380952381,0.5,0.23809523809523808,,0.125,,0.20689655172413793,,,,0.25,0.15384615384615385,,1.0,0.45454545454545453,0.8,0.8,0.25,0.18181818181818182,0.5,0.5,0.5,1.0,0.7272727272727273,0.48577727272727267,0.50315,0.25,4.725,0.10344827586206896,1.0,3.0,,3.0,4.0,,,3.0,5.0,,4.0,,,0.2727272727272727,0.25,0.09090909090909091,0.2727272727272727,,25.133333333333336,,,1.0,,,,,,,,,,3.0,6.0,1.0,15.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,3.0,2.0,1.0,,,2.0,0.5,,,,0.15384615384615385,0.2,,1.0,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,393.0,7,-4,10,10,,,1.0,20,,,,,,,,,,13,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,1610612753,Keith Bogans,Keith Bogans,2586,ORL,2411.0,40,6,65,70,9.0,8.0,4.0,135,1.0,1.0,,,1.0,2.0,2.0,4.0,13.0,69,,,,,4.0,,,,1.0,3.0,4.0,,4.0,,,,,,,,2.0,,,,,,,,,,,9.0,,,0.5,,0.7142857142857143,,0.8125,,,,11.428571428571429,,0.12,,0.1111111111111111,,0.11764705882352941,,,,,0.2,,,0.14285714285714285,1.0,1.0,,0.2857142857142857,0.5,0.5,,,0.5714285714285714,0.48887142857142857,,,9.3,0.13846153846153847,1.0,3.0,,3.0,3.0,,,3.0,3.0,,3.0,,,0.42857142857142855,0.25,0.14285714285714285,0.42857142857142855,,25.266666666666666,,,,,2.0,2.0,,,,6.0,,2.0,2.0,2.0,,4.0,,,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,0.6666666666666666,,,,,,1.0,,1.0,2.0,,,,,0.25,0.4,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
