EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FTDefRebounds,Blocked2s,BlockedLongMidRange,Blocks,DefFTReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,LostBallTurnovers,SecondChanceTurnovers,FTOffRebounds,Loose Ball Fouls,OffFTReboundPct,DefCorner3ReboundPct,DefensiveGoaltends,3SecondViolations,OffCorner3ReboundPct,HeaveAttempts,on,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,OffensiveGoaltends,PtsUnassisted3s,SecondChanceAtRimPctAssisted
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,8078.0,135.0,21.0,251.0,250,125.0,68.0,43.0,501,9.0,20.0,1.0,2.0,3.0,9.0,2.0,7.0,11.0,24.0,1.0,2.0,8.0,1.0,2.0,2.0,6.0,22.0,51.0,2.0,9.0,22.0,72.0,234,2.0,6.0,1.0,2.0,7.0,6.0,24.0,2.0,6.0,17.0,35.0,18.0,26.0,6.0,2.0,8.0,2.0,5.0,9.0,3.0,12.0,2.0,1.0,6.0,2.0,1.0,27.0,3.0,2.0,7.0,9.0,3.0,12.0,2.0,6.0,4.0,2.0,2.0,7.0,2.0,2.0,7.0,2.0,6.0,11.0,1.0,24.0,1.0,2.0,30.0,1.0,1.0,12.0,3.0,35.0,125.0,2.0,3.0,0.4090909090909091,0.42857142857142855,1.0,0.2222222222222222,0.5,0.3333333333333333,0.2222222222222222,0.43137254901960786,0.3333333333333333,0.25,0.4166666666666667,0.4375,0.3,0.4864864864864865,0.4375,0.4375,0.15,0.09803921568627451,0.1,0.42857142857142855,26.91029900332226,0.07608695652173914,0.03,0.09090909090909091,0.07894736842105263,0.025423728813559324,0.02631578947368421,0.05263157894736842,0.023255813953488372,0.07692307692307693,0.09523809523809523,0.06666666666666667,0.1,0.06896551724137931,0.3333333333333333,0.45,0.5,0.4444444444444444,0.11666666666666667,0.2857142857142857,0.5,0.4,0.4583333333333333,0.4583333333333333,0.45454545454545453,0.016666666666666666,0.13333333333333333,0.25,0.25,1.0,0.25,0.5,0.25,0.5,1.0,0.3,0.3333333333333333,0.2,0.3333333333333333,0.48333333333333334,0.25,0.4665033333333332,0.43355625000000003,0.4431316666666667,0.16901408450704225,0.1935483870967742,0.09722222222222222,0.4861111111111111,9.739215686274509,26.1,0.49800796812749004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101183,1610612755,Shavlik Randolph,Shavlik Randolph,101183,PHI,240.0,4.0,,10.0,9,10.0,5.0,,19,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,3.0,3.0,5,,,,,,,1.0,,,3.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,4.0,,,2.0,,3.0,10.0,,,,,,,,,,,,,,,,0.5,,0.5,,1.0,1.0,,30.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.6362,,0.6362,0.6666666666666666,0.6666666666666666,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1563,1610612755,Kevin Ollie,Kevin Ollie,1563,PHI,1110.0,18.0,4.0,38.0,37,29.0,9.0,7.0,75,,1.0,,,,1.0,1.0,2.0,,1.0,,,,,,,,1.0,4.0,,,2.0,4.0,30,,,,,,1.0,4.0,,,,2.0,,2.0,,,,,,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,,1.0,1.0,,1.0,,2.0,,2.0,,,,,,,,1.0,,1.0,,,2.0,,,1.0,,2.0,29.0,1.0,,,,,,,,,0.25,,0.25,0.25,,0.25,0.4,,0.25,,,,,10.869565217391305,0.08333333333333333,,,0.07692307692307693,,,,,,0.3333333333333333,,,,0.25,,,,0.5,0.5,0.5,0.25,,,,,,,,,,,,,,0.25,,,,0.25,,0.444075,,0.444075,0.2,0.2,,0.5,10.925,,0.7631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
200760,1610612755,Rodney Carney,Rodney Carney,200760,PHI,4416.0,74.0,25.0,139.0,136,72.0,25.0,25.0,275,3.0,5.0,1.0,2.0,2.0,4.0,3.0,6.0,1.0,10.0,2.0,3.0,7.0,2.0,2.0,1.0,2.0,7.0,21.0,5.0,9.0,1.0,30.0,129,1.0,3.0,2.0,2.0,8.0,2.0,11.0,2.0,3.0,,10.0,6.0,8.0,15.0,2.0,7.0,3.0,,5.0,,5.0,,,3.0,1.0,1.0,10.0,3.0,,2.0,3.0,3.0,6.0,2.0,7.0,2.0,5.0,,,,,,,4.0,8.0,,2.0,,1.0,2.0,,,1.0,,10.0,72.0,,,0.42857142857142855,0.5,1.0,0.5555555555555556,1.0,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.48333333333333334,0.8,0.35714285714285715,0.4838709677419355,0.8,0.35714285714285715,0.3,,,,18.235294117647058,0.04,0.05172413793103448,,0.03225806451612903,0.04411764705882353,0.09090909090909091,0.08333333333333333,,0.08333333333333333,,0.045454545454545456,,0.1111111111111111,0.16666666666666666,0.6,0.6,0.3333333333333333,0.2,0.5,0.5,0.3333333333333333,0.1,0.1,,0.06666666666666667,0.23333333333333334,0.42857142857142855,0.42857142857142855,1.0,0.4,0.5,0.4,1.0,1.0,0.2857142857142857,0.5,0.14285714285714285,0.5,0.4666666666666667,0.42857142857142855,0.46368000000000004,0.5422625,0.49596428571428575,0.03225806451612903,0.045454545454545456,0.26666666666666666,0.3333333333333333,11.22857142857143,25.355555555555554,0.5179856115107914,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.6666666666666666,1.0,1.0,1.0,0.07142857142857142,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201160,1610612755,Jason Smith,Jason Smith,201160,PHI,4345.0,72.0,6.0,131.0,132,51.0,29.0,22.0,263,4.0,7.0,1.0,2.0,3.0,5.0,,2.0,3.0,6.0,,,1.0,,,,,7.0,15.0,,1.0,4.0,18.0,133,2.0,3.0,,,8.0,4.0,8.0,,,,8.0,8.0,6.0,,2.0,1.0,,3.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,3.0,1.0,8.0,11.0,4.0,15.0,,1.0,1.0,,,,,,2.0,1.0,2.0,5.0,,3.0,,,4.0,,,2.0,,8.0,51.0,,,0.5714285714285714,0.6666666666666666,,,,,,0.4666666666666667,0.6666666666666666,0.5,0.4375,0.6666666666666666,0.5,0.5,0.8,0.5,0.0625,0.2,0.2857142857142857,0.5,12.82051282051282,0.16,0.05555555555555555,0.1,0.15,0.06557377049180328,0.08333333333333333,,0.047619047619047616,0.07692307692307693,0.1111111111111111,0.21428571428571427,0.1111111111111111,,0.4375,0.5714285714285714,0.8,0.75,0.125,,,0.375,0.5,0.5,0.3333333333333333,,0.0625,,,,0.6666666666666666,0.5,,,,0.625,0.6,,,0.5,,0.44521875,0.41159999999999997,0.453725,0.1111111111111111,0.11764705882352941,0.4444444444444444,0.4444444444444444,8.0,24.9,0.3893129770992366,,,,2.0,5.0,,5.0,0.5,,,,,,,4.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,0.14285714285714285,0.16666666666666666,0.4,,,,,,,,,,,True,,,,,
201152,1610612755,Thaddeus Young,Thaddeus Young,201152,PHI,2700.0,45.0,5.0,85.0,84,47.0,15.0,19.0,169,1.0,5.0,,,,2.0,1.0,1.0,1.0,4.0,,,,,,,,3.0,10.0,,,3.0,9.0,85,,1.0,,,2.0,,5.0,,,,,4.0,2.0,,,,,2.0,1.0,,1.0,,,1.0,,,2.0,3.0,3.0,,3.0,3.0,6.0,,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,,3.0,,,4.0,,,2.0,,,47.0,,,0.6666666666666666,0.6666666666666666,,,,,,0.3,,,0.3,,,0.375,0.5,,,0.2,0.4,,13.084112149532709,,0.08108108108108109,0.375,0.08823529411764706,0.07317073170731707,0.07142857142857142,,0.10526315789473684,,,,0.375,,0.5,0.2,0.3333333333333333,1.0,0.1,1.0,1.0,0.4,0.25,0.25,1.0,,,,,,,,,,,0.4,,,,0.5,,0.51685,0.3912,0.49756,0.16666666666666666,0.16666666666666666,0.2222222222222222,,7.589999999999999,,0.5529411764705883,,,,,,,,,,,,,,,2.0,,2.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,True,,,,,
200811,1610612755,Lou Amundson,Lou Amundson,200811,PHI,620.0,10.0,9.0,19.0,20,17.0,4.0,6.0,39,2.0,4.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,2.0,4.0,,,1.0,5.0,15,2.0,3.0,,,4.0,1.0,3.0,,,,2.0,,4.0,,4.0,,,,,,,,,,,,,4.0,,2.0,2.0,5.0,7.0,,,,,,,,,,,1.0,2.0,,2.0,,1.0,2.0,,,1.0,,2.0,17.0,,,,,,,,,,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,,,,,19.23076923076923,0.2,0.3333333333333333,,0.18181818181818182,0.3076923076923077,0.5,0.3333333333333333,,0.16666666666666666,,0.3333333333333333,,,1.0,0.5,0.5,,,,,,,,,,,,,,1.0,0.6666666666666666,,,,1.0,0.3333333333333333,,,1.0,,0.6131500000000001,0.6491333333333333,0.6253666666666667,0.2,0.2,0.8,0.4,,,0.8947368421052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,True,,,,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,5001.0,83.0,4.0,152.0,154,70.0,53.0,22.0,306,2.0,4.0,,,,,,3.0,3.0,10.0,,,9.0,,,,6.0,5.0,17.0,,9.0,8.0,18.0,146,1.0,2.0,,,2.0,,3.0,,6.0,5.0,5.0,8.0,2.0,,,9.0,,1.0,9.0,2.0,11.0,1.0,1.0,3.0,1.0,5.0,24.0,,1.0,7.0,8.0,,8.0,,3.0,2.0,1.0,2.0,3.0,1.0,,9.0,3.0,2.0,3.0,,9.0,,1.0,10.0,,,4.0,1.0,5.0,70.0,,1.0,0.8,0.8,,,,,,0.29411764705882354,0.5,,0.19230769230769232,0.5,,0.2903225806451613,0.5,0.20833333333333334,0.34615384615384615,0.058823529411764705,0.25,,22.727272727272727,0.11290322580645161,,0.07692307692307693,0.10666666666666667,,,,,,,0.21875,,,0.15384615384615385,0.5,0.6666666666666666,1.0,0.11538461538461539,,,0.38461538461538464,0.3,0.3,0.6666666666666666,,0.34615384615384615,,,,,,,,,,,0.6666666666666666,,0.5,,0.4364076923076923,0.37235,0.40206666666666663,0.13333333333333333,0.19047619047619047,0.1111111111111111,0.2777777777777778,12.552941176470586,26.099999999999998,0.4605263157894737,,,,,1.0,,1.0,,,,,,,,,,6.0,2.0,,1.0,1.0,0.6666666666666666,,,1.0,4.0,,,,,0.5,,,,,True,,,,,
2501,1610612755,Reggie Evans,Reggie Evans,2501,PHI,5488.0,91.0,25.0,166.0,166,61.0,46.0,29.0,332,6.0,11.0,3.0,6.0,4.0,6.0,2.0,2.0,1.0,1.0,,,,,,,,9.0,14.0,,,10.0,28.0,150,3.0,6.0,,,6.0,7.0,9.0,,,2.0,16.0,8.0,10.0,,6.0,,,2.0,2.0,,2.0,,,2.0,,,4.0,9.0,5.0,15.0,22.0,14.0,36.0,,5.0,2.0,3.0,,6.0,,,8.0,2.0,6.0,16.0,2.0,11.0,1.0,1.0,18.0,,,7.0,2.0,16.0,61.0,3.0,2.0,0.4444444444444444,0.6666666666666666,,,,,,0.6428571428571429,0.5,0.7777777777777778,0.6428571428571429,0.5,0.7777777777777778,0.6086956521739131,0.42857142857142855,0.7272727272727273,,0.14285714285714285,0.18181818181818182,,15.5,0.25,0.140625,0.29411764705882354,0.2597402597402597,0.14102564102564102,0.13636363636363635,,0.20689655172413793,0.2777777777777778,0.3333333333333333,0.2,0.26666666666666666,,0.7857142857142857,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.14285714285714285,1.0,1.0,0.07142857142857142,1.0,1.0,1.0,,,,,,1.0,0.5,,,,0.6666666666666666,0.6666666666666666,,,0.7857142857142857,,0.5170571428571428,0.5258999999999999,0.4695444444444445,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.5714285714285714,2.4142857142857146,,0.3674698795180723,,,,2.0,,,,0.3333333333333333,0.5,,,,,,,2.0,2.0,1.0,,,,0.25,0.14285714285714285,0.07692307692307693,,1.0,3.0,3.0,1.0,0.21428571428571427,0.5,1.0,2.0,1.0,,True,,,,,
1889,1610612755,Andre Miller,Andre Miller,1889,PHI,4702.0,78.0,5.0,146.0,145,68.0,48.0,22.0,291,8.0,12.0,1.0,2.0,2.0,5.0,4.0,9.0,4.0,10.0,,,2.0,,,,2.0,16.0,31.0,,2.0,9.0,41.0,136,2.0,4.0,,,7.0,5.0,14.0,,2.0,3.0,13.0,12.0,20.0,,2.0,,,,8.0,,8.0,,,5.0,1.0,2.0,16.0,2.0,2.0,6.0,8.0,2.0,10.0,,3.0,1.0,2.0,,,,,3.0,2.0,1.0,4.0,,14.0,,1.0,14.0,,,6.0,1.0,13.0,68.0,,1.0,0.375,0.4,,,,,,0.5161290322580645,0.5,0.35714285714285715,0.48484848484848486,0.5,0.3125,0.5125,0.5833333333333334,0.3611111111111111,0.06060606060606061,,,,25.294117647058822,0.10909090909090909,0.04,0.14285714285714285,0.11594202898550725,0.03278688524590164,,,0.09090909090909091,,0.4,0.06666666666666667,0.15384615384615385,,0.36363636363636365,0.6666666666666666,0.6666666666666666,0.625,0.2727272727272727,0.4444444444444444,0.4444444444444444,0.30303030303030304,0.4,0.4,,,0.06060606060606061,,,,0.5,0.5,,,,0.3125,0.4,0.125,,0.42424242424242425,,0.47385806451612905,0.409225,0.4363857142857143,0.15384615384615385,0.16216216216216217,0.17073170731707318,0.3170731707317073,8.403225806451612,53.5,0.4657534246575342,,,,,,,,,0.25,,,,,,3.0,,3.0,2.0,,,,1.0,,,,1.0,,,,,,,,,2.0,True,,,,,
