EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Fg3aBlocked,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3Assists,Offensive Fouls,Technical Free Throw Trips,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,FTDefRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,DefFTReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,ShortMidRangePctBlocked,Offensive Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockingFouls,on,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,3SecondViolations,FTOffRebounds,Charge Fouls,OffFTReboundPct,Charge Fouls Drawn
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,3148.0,52.0,-3,99,101,37.0,51.0,10.0,200,2.0,3.0,1.0,1.0,3.0,7.0,3.0,7.0,2.0,7.0,17.0,1.0,1.0,2.0,5.0,8.0,17.0,7.0,19.0,9.0,46.0,120.0,1.0,1.0,1.0,3.0,6.0,2.0,7.0,2.0,5.0,4.0,14.0,2.0,14.0,9.0,12.0,1.0,16.0,7.0,1.0,8.0,1.0,9.0,1.0,7.0,1.0,19.0,1.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,6.0,10.0,1.0,1.0,3.0,14.0,37.0,2.0,2.0,0.125,0.125,0.42857142857142855,0.3684210526315789,1.0,0.4,0.3888888888888889,0.47058823529411764,0.2857142857142857,0.5138888888888888,0.75,0.4166666666666667,0.5609756097560976,0.75,0.5,0.5277777777777778,0.058823529411764705,0.3333333333333333,37.96296296296296,0.14285714285714285,0.09090909090909091,0.1282051282051282,0.14285714285714285,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.6666666666666666,1.0,0.19444444444444445,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.19444444444444445,0.42857142857142855,0.42857142857142855,0.05555555555555555,0.4722222222222222,0.4117647058823529,0.4117647058823529,0.42857142857142855,0.5,1.0,1.0,0.08333333333333333,1.0,0.4166666666666667,0.4,0.6111111111111112,0.4375,0.45868088235294113,0.438140909090909,0.05263157894736842,0.05555555555555555,0.05,0.13043478260869565,0.30434782608695654,11.029411764705882,27.489473684210523,0.37373737373737376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
101109,1610612746,Raymond Felton,Raymond Felton,101109,LAC,7610.0,127.0,-12,235,240,78.0,102.0,21.0,475,7.0,10.0,1.0,1.0,1.0,4.0,3.0,9.0,5.0,,4.0,,,,2.0,11.0,23.0,4.0,9.0,5.0,39.0,276.0,,,,,,2.0,4.0,,2.0,5.0,9.0,6.0,16.0,12.0,,,4.0,,,7.0,3.0,10.0,3.0,6.0,,23.0,5.0,3.0,8.0,10.0,6.0,4.0,,,3.0,10.0,1.0,4.0,5.0,,1.0,1.0,9.0,78.0,,1.0,0.2727272727272727,0.2727272727272727,1.0,0.4444444444444444,,,0.4444444444444444,0.4782608695652174,0.5,0.53125,,0.3333333333333333,0.5735294117647058,,0.5625,0.28125,,,14.50980392156863,0.04918032786885246,0.13513513513513514,0.08163265306122448,,0.06666666666666667,0.05263157894736842,0.1111111111111111,0.3125,0.7,0.7,0.125,0.25,0.25,1.0,0.28125,0.3333333333333333,0.3333333333333333,0.15625,0.125,,,,,,,0.16666666666666666,1.0,0.3333333333333333,,0.59375,,0.4686265625,0.45914999999999995,0.030303030303030304,,0.1,,0.23076923076923078,9.78695652173913,24.377777777777776,0.33191489361702126,4.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,7.0,2.0,0.1111111111111111,0.25,1.0,0.03225806451612903,0.019801980198019802,0.058823529411764705,0.043478260869565216,0.2,0.0625,0.14285714285714285,0.3333333333333333,0.8,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1718,1610612746,Paul Pierce,Paul Pierce,1718,LAC,3330.0,56.0,11,107,105,43.0,47.0,13.0,212,3.0,3.0,2.0,2.0,1.0,2.0,,,,1.0,4.0,,,,1.0,4.0,5.0,1.0,4.0,1.0,12.0,115.0,,,,,,3.0,3.0,,1.0,1.0,7.0,6.0,2.0,3.0,,,4.0,1.0,,5.0,,5.0,,3.0,,10.0,2.0,7.0,9.0,10.0,2.0,1.0,1.0,,1.0,4.0,,1.0,1.0,1.0,,,7.0,43.0,1.0,,0.75,0.75,1.0,0.25,,,0.25,0.8,1.0,0.6111111111111112,,0.75,0.6666666666666666,,0.875,0.4444444444444444,,,8.474576271186441,0.23333333333333334,0.1111111111111111,0.1875,0.4,0.21428571428571427,0.18181818181818182,0.14285714285714285,0.3333333333333333,1.0,1.0,0.2222222222222222,0.5,0.5,1.0,,,,,0.4444444444444444,0.25,0.25,1.0,,,,0.5,1.0,0.25,,0.7777777777777778,0.25,0.5059277777777778,0.4727875,0.1111111111111111,0.2,,,0.5833333333333334,4.720000000000001,25.849999999999998,0.40186915887850466,,,2.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,0.024390243902439025,,,,,0.6666666666666666,,,,,1.0,1.0,1.0,0.0625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,3120.0,52.0,-14,100,101,19.0,31.0,6.0,201,,,,,,,,1.0,1.0,1.0,7.0,,,,1.0,,1.0,2.0,8.0,11.0,17.0,123.0,1.0,,,,,,,,1.0,3.0,3.0,,,6.0,,,7.0,1.0,,1.0,2.0,3.0,1.0,,1.0,8.0,3.0,1.0,4.0,4.0,,,1.0,,2.0,5.0,,8.0,13.0,2.0,1.0,3.0,3.0,19.0,,2.0,,,1.0,0.25,,,0.25,,,0.3333333333333333,,,0.5333333333333333,,0.5,0.8888888888888888,,,15.094339622641508,0.05,0.2,0.11428571428571428,,0.1111111111111111,,0.25,,,,,,,,0.1111111111111111,,,0.1111111111111111,0.7777777777777778,0.14285714285714285,0.14285714285714285,1.0,,,,,,1.0,,0.8888888888888888,0.14285714285714285,0.5257555555555555,0.56865,0.25,0.6666666666666666,0.1111111111111111,,0.17647058823529413,21.7,24.95,0.19,1.0,,,,,,,1.0,1.0,,,1.0,3.0,,,,0.5,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.3638,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,4277.0,71.0,-11,131,136,53.0,69.0,14.0,267,17.0,20.0,7.0,8.0,,,,,,,1.0,,,,1.0,17.0,20.0,,1.0,2.0,36.0,163.0,8.0,,,,12.0,7.0,8.0,,1.0,2.0,16.0,26.0,8.0,,,1.0,,,,1.0,1.0,2.0,,,1.0,5.0,10.0,7.0,19.0,27.0,,,2.0,,2.0,11.0,3.0,10.0,10.0,5.0,,1.0,16.0,53.0,6.0,1.0,0.7647058823529411,1.0,,,,,,0.85,0.875,0.8095238095238095,0.75,0.7777777777777778,0.72,0.75,0.7272727272727273,0.047619047619047616,,,18.75,0.1891891891891892,0.5263157894736842,0.30357142857142855,0.14285714285714285,0.15789473684210525,0.2727272727272727,0.5,0.9523809523809523,0.85,0.85,,,,,,,,,0.047619047619047616,,,,,,,0.8888888888888888,0.875,0.1111111111111111,,1.0,,0.7359249999999999,0.6863250000000001,0.20833333333333334,0.21739130434782608,,0.3333333333333333,0.4444444444444444,0.9,61.9,0.40458015267175573,,,,6.0,8.0,,,,,,,1.0,3.0,,,,,0.1875,0.1509433962264151,,0.25,0.6,,0.7647058823529411,,,,,2.0,,2.0,0.09523809523809523,0.5,1.0,,,0.662925,6.0,8.0,6.0,8.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,0.75,1.0,0.21428571428571427,0.05263157894736842,0.6666666666666666,1.0,0.75,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,,
201578,1610612746,Marreese Speights,Marreese Speights,201578,LAC,3291.0,55.0,3,100,99,23.0,32.0,7.0,199,5.0,6.0,2.0,3.0,2.0,6.0,,,1.0,4.0,9.0,,,1.0,3.0,7.0,12.0,5.0,10.0,3.0,32.0,110.0,4.0,,,1.0,7.0,2.0,4.0,1.0,3.0,3.0,10.0,4.0,10.0,15.0,,,9.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,,8.0,2.0,6.0,9.0,13.0,1.0,1.0,1.0,,2.0,8.0,2.0,3.0,4.0,,,2.0,10.0,23.0,,2.0,0.2857142857142857,0.3333333333333333,1.0,0.5,,0.3333333333333333,0.5,0.5833333333333334,0.5,0.6590909090909091,0.75,0.5,0.6666666666666666,0.7,0.5555555555555556,0.45454545454545453,0.16666666666666666,0.16666666666666666,24.299065420560748,0.23076923076923078,0.11764705882352941,0.18604651162790697,0.16666666666666666,0.2727272727272727,0.2222222222222222,0.15384615384615385,0.2727272727272727,0.8333333333333334,1.0,0.2727272727272727,0.3333333333333333,0.4,,,,,0.045454545454545456,0.4090909090909091,0.4444444444444444,0.4444444444444444,1.0,,,,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.7272727272727273,0.4444444444444444,0.49079545454545453,0.4907214285714286,,,,0.21875,0.3125,6.141666666666667,25.5,0.23,1.0,,,3.0,4.0,,,1.0,1.0,,,,4.0,,,,0.5,0.10714285714285714,0.08888888888888889,0.1,0.2,,,0.4,,1.0,1.0,1.0,1.0,1.0,,0.058823529411764705,,,,,0.512,3.0,4.0,3.0,2.0,1.0,,2.0,2.0,2.0,,2.0,1.0,0.75,0.5,,0.07142857142857142,0.5,1.0,0.75,,0.16666666666666666,,,,,,,True,,,,,,,,,,,,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,6307.0,105.0,7,197,194,69.0,80.0,16.0,391,8.0,10.0,5.0,7.0,7.0,12.0,8.0,17.0,,1.0,10.0,,,,3.0,23.0,39.0,1.0,10.0,6.0,55.0,216.0,,,,1.0,1.0,7.0,16.0,,3.0,5.0,19.0,10.0,36.0,,3.0,3.0,7.0,1.0,1.0,6.0,4.0,10.0,,5.0,1.0,24.0,1.0,5.0,7.0,7.0,2.0,,1.0,1.0,6.0,5.0,,8.0,6.0,2.0,,1.0,19.0,69.0,1.0,1.0,0.21739130434782608,0.21739130434782608,,0.1,,,0.14285714285714285,0.5897435897435898,0.4375,0.5,,0.3684210526315789,0.5294117647058824,,0.4523809523809524,0.20408163265306123,0.02564102564102564,0.1,26.760563380281692,0.09803921568627451,0.03125,0.07228915662650602,0.09090909090909091,0.043478260869565216,0.17647058823529413,0.041666666666666664,0.20408163265306123,0.8,0.8888888888888888,0.24489795918367346,0.5833333333333334,0.5833333333333334,0.14285714285714285,0.3469387755102041,0.47058823529411764,0.47058823529411764,,0.20408163265306123,0.1,0.1,,,,,0.3684210526315789,0.7142857142857143,0.15789473684210525,,0.40816326530612246,0.14285714285714285,0.42827608695652186,0.41884411764705876,0.04,0.05,,0.01818181818181818,0.34545454545454546,10.533333333333333,32.09,0.350253807106599,,,,,,,2.0,5.0,4.0,1.0,,1.0,1.0,,,,0.8333333333333334,,,,,,,0.25,0.25,,,,,,1.0,,,4.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,0.3333333333333333,,,1.0,,,,,1.0,,,,,,True,,,,,,,,,,,,,,
201601,1610612746,Luc Mbah a Moute,Luc Mbah a Moute,201601,LAC,2811.0,47.0,-22,82,91,26.0,46.0,6.0,173,2.0,4.0,1.0,1.0,,1.0,,,5.0,,,,,,,2.0,5.0,3.0,5.0,1.0,14.0,112.0,,,,,,1.0,1.0,3.0,3.0,,11.0,4.0,,9.0,,,,,1.0,,1.0,1.0,,,,3.0,,,,1.0,1.0,1.0,,,1.0,2.0,,1.0,2.0,1.0,,,11.0,26.0,,,1.0,1.0,1.0,0.6,,1.0,0.6,0.4,1.0,0.65,,1.375,0.6363636363636364,,1.375,0.5,0.2,,13.636363636363637,,,,,,,,0.4,0.5,0.5,0.1,,,,,,,0.5,,,,,,,,0.25,1.0,,,0.9,,0.5094000000000001,0.5512625,0.09090909090909091,0.16666666666666666,,,0.7857142857142857,2.9,23.22,0.3170731707317073,3.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,0.025,,,,,1.0,,0.6,0.6,1.0,1.0,,,0.05555555555555555,,1.0,,,,,,,,,,,2.0,,2.0,2.0,,,,,0.06666666666666667,,,,,1.0,,3.0,3.0,0.75,1.0,,True,,,,,,,,,,,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,1421.0,24.0,-9,39,42,7.0,13.0,1.0,81,2.0,5.0,,1.0,,2.0,,2.0,,,1.0,,,,,2.0,9.0,,1.0,,4.0,47.0,,,,,,,1.0,,,,,4.0,,,,,1.0,,1.0,1.0,4.0,5.0,2.0,1.0,,14.0,4.0,3.0,7.0,7.0,,,,,2.0,1.0,,,,,,,,7.0,,,1.0,1.0,,,,,,0.2222222222222222,,0.2,,,0.2,,,0.1,0.1111111111111111,0.2,30.0,0.375,0.36363636363636365,0.3684210526315789,,0.25,0.6666666666666666,0.125,0.5,0.4,0.5,0.2,,,,0.2,,,,0.1,,,,,,,1.0,,,,0.6,,0.45131,0.3283,,,,,,7.377777777777778,27.2,0.1794871794871795,,,,,,,,2.0,2.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
202325,1610612746,Wesley Johnson,Wesley Johnson,202325,LAC,618.0,10.0,-10,19,22,8.0,8.0,1.0,41,,,,,,,,,,,,,,,,,,,,1.0,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,2.0,,1.0,2.0,1.0,,,,8.0,,,,,,,,,,,,,,,0.5,,,,,,5.0,,0.6666666666666666,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.42105263157894735,,,,,,,,,,,,,2.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
