EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PtsAssisted2s,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,FTDefRebounds,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockedAtRim,RecoveredBlocks,3SecondViolations,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,FTOffRebounds,Charge Fouls,ShortMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,BlockingFouls,Offensive Fouls Drawn,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,on,BlockingFoulsDrawn,LostBallOutOfBoundsTurnovers,DefensiveGoaltends
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,11591.0,193,-17.0,354,357,87.0,73.0,42.0,711,10.0,12.0,2.0,2.0,11.0,21.0,20.0,41.0,1.0,11.0,24.0,2.0,3.0,1.0,4.0,41.0,74.0,11.0,25.0,16.0,131.0,387,2.0,3.0,2.0,3.0,3.0,13.0,9.0,19.0,1.0,4.0,8.0,29.0,82.0,9.0,24.0,1.0,23.0,11.0,1.0,36.0,15.0,51.0,10.0,5.0,27.0,2.0,7.0,117.0,3.0,1.0,15.0,10.0,25.0,4.0,29.0,2.0,9.0,7.0,2.0,10.0,2.0,5.0,5.0,5.0,1.0,15.0,5.0,4.0,18.0,4.0,2.0,23.0,19.0,4.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,1.0,29.0,87.0,1.0,3.0,0.2727272727272727,0.44,0.6666666666666666,0.25,0.4583333333333333,0.5540540540540541,0.6666666666666666,0.47368421052631576,0.5808080808080808,0.8333333333333334,0.45652173913043476,0.6190476190476191,0.9285714285714286,0.5370370370370371,0.25252525252525254,0.013513513513513514,0.08333333333333333,30.075187969924812,0.6666666666666666,0.10638297872340426,0.009433962264150943,0.22058823529411764,0.05084745762711865,0.15432098765432098,0.024242424242424242,0.034482758620689655,0.045454545454545456,0.06666666666666667,0.08695652173913043,0.0851063829787234,0.16666666666666666,0.24528301886792453,0.13333333333333333,0.045454545454545456,0.12121212121212122,0.8333333333333334,0.9090909090909091,0.21212121212121213,0.5238095238095238,0.5238095238095238,0.41414141414141414,0.4878048780487805,0.4878048780487805,0.010101010101010102,0.24242424242424243,0.4583333333333333,0.4583333333333333,0.2727272727272727,0.5,0.6666666666666666,0.5,0.08695652173913043,1.0,0.17391304347826086,0.25,0.37373737373737376,0.4782608695652174,0.44591082474226806,0.438875,0.41954318181818184,0.0784313725490196,0.07894736842105263,0.07692307692307693,0.09923664122137404,0.22137404580152673,12.121621621621621,26.352000000000004,0.2457627118644068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101109,1610612746,Raymond Felton,Raymond Felton,101109,LAC,2811.0,47,-22.0,82,91,26.0,46.0,6.0,173,1.0,2.0,,,,1.0,2.0,6.0,3.0,,2.0,,,,2.0,3.0,9.0,3.0,5.0,3.0,18.0,112,,,,,,,1.0,2.0,,2.0,3.0,5.0,4.0,9.0,,,2.0,,,2.0,3.0,5.0,,3.0,2.0,,,13.0,,,3.0,3.0,6.0,,6.0,,2.0,1.0,1.0,,,,,,,,,3.0,4.0,,,2.0,3.0,,,,,1.0,,,,,5.0,26.0,,,1.0,0.6,,,0.6,0.3333333333333333,,0.5,0.5357142857142857,,0.25,0.6,,0.5,0.35714285714285715,,,17.045454545454547,,0.15789473684210525,,0.23076923076923078,,0.1875,,,,,,0.16666666666666666,0.16666666666666666,0.2,0.3333333333333333,,0.14285714285714285,0.5,0.5,0.07142857142857142,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.14285714285714285,,,,,,,,,0.5,,0.5,,0.43666785714285705,,0.42137499999999994,0.06666666666666667,,0.16666666666666666,,0.2777777777777778,15.166666666666666,24.1,0.3170731707317073,3.0,2.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1718,1610612746,Paul Pierce,Paul Pierce,1718,LAC,2044.0,34,8.0,62,64,30.0,25.0,5.0,126,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,2.0,,,,1.0,3.0,5.0,1.0,2.0,,9.0,64,,,,,,,2.0,2.0,,1.0,,4.0,2.0,3.0,,,2.0,1.0,,2.0,,2.0,,,1.0,,1.0,4.0,,1.0,2.0,2.0,4.0,1.0,5.0,,1.0,,1.0,2.0,1.0,2.0,1.0,,,3.0,2.0,3.0,6.0,,,,,,,,,,,,,,4.0,30.0,,,1.0,0.5,,,0.5,0.6,,1.0,0.6428571428571429,,0.6666666666666666,0.6428571428571429,,0.6666666666666666,0.2857142857142857,,,14.925373134328357,0.6666666666666666,0.125,0.07142857142857142,0.13333333333333333,,0.12903225806451613,0.045454545454545456,0.16666666666666666,,,0.5,,,0.18181818181818182,,,0.2857142857142857,1.0,1.0,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,0.2857142857142857,0.5,0.5,1.0,,,,0.3333333333333333,1.0,0.3333333333333333,,0.5714285714285714,0.5,0.5092142857142857,,0.5289833333333332,,,,,0.4444444444444444,7.44,24.85,0.4838709677419355,,4.0,0.6666666666666666,0.6666666666666666,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,11343.0,189,-25.0,346,352,91.0,73.0,41.0,698,22.0,33.0,10.0,12.0,1.0,2.0,,,,,1.0,,,,1.0,23.0,35.0,,1.0,14.0,60.0,388,5.0,12.0,,,5.0,15.0,10.0,12.0,,1.0,7.0,27.0,8.0,,,1.0,,,2.0,1.0,1.0,2.0,1.0,,,,1.0,5.0,4.0,12.0,18.0,29.0,54.0,16.0,70.0,,3.0,2.0,1.0,7.0,3.0,4.0,8.0,3.0,,15.0,4.0,15.0,23.0,2.0,3.0,28.0,32.0,2.0,,,15.0,,2.0,3.0,2.0,3.0,27.0,91.0,3.0,2.0,,,,,,0.6571428571428571,0.4166666666666667,0.8333333333333334,0.6388888888888888,0.4166666666666667,0.7692307692307693,0.5882352941176471,0.46875,0.75,0.027777777777777776,0.05714285714285714,0.06060606060606061,16.966580976863753,0.4666666666666667,0.31868131868131866,0.11428571428571428,0.27692307692307694,0.07142857142857142,0.30128205128205127,0.09937888198757763,0.11538461538461539,0.047619047619047616,0.14285714285714285,0.30434782608695654,0.26666666666666666,0.43478260869565216,0.2641509433962264,0.3333333333333333,,0.9166666666666666,0.6666666666666666,0.7096774193548387,0.05555555555555555,0.5,0.5,,,,,0.027777777777777776,,,,,,,0.9230769230769231,0.8333333333333334,0.07692307692307693,,0.9444444444444444,,0.705182857142857,0.6507545454545455,0.6507666666666666,0.30612244897959184,0.3125,,0.25,0.45,1.2599999999999998,61.9,0.2630057803468208,,38.0,0.8260869565217391,0.95,,,,,0.8636363636363636,,5.0,12.0,6.0,7.0,1.0,4.0,1.0,1.0,2.0,0.6363636363636364,0.06896551724137931,0.14,0.3333333333333333,1.0,0.4166666666666667,0.4,,,,,,,,,,,,,,,,,,,,,,True,,,
201601,1610612746,Luc Mbah a Moute,Luc Mbah a Moute,201601,LAC,13430.0,224,-26.0,410,416,107.0,103.0,44.0,826,7.0,13.0,2.0,2.0,,2.0,5.0,12.0,13.0,1.0,3.0,,,,,12.0,27.0,5.0,16.0,14.0,53.0,453,2.0,2.0,,,,4.0,2.0,3.0,4.0,5.0,4.0,20.0,2.0,15.0,,,3.0,1.0,4.0,4.0,3.0,7.0,3.0,,3.0,1.0,,17.0,5.0,4.0,9.0,15.0,24.0,10.0,34.0,,8.0,5.0,3.0,2.0,,1.0,1.0,1.0,,3.0,,6.0,16.0,2.0,,12.0,20.0,,,,8.0,,2.0,4.0,4.0,4.0,20.0,107.0,,2.0,1.0,0.3125,,0.8,0.3125,0.4444444444444444,1.0,0.6666666666666666,0.45348837209302323,1.0,1.0,0.5,1.0,0.9090909090909091,0.37209302325581395,0.14814814814814814,0.23076923076923078,12.25382932166302,0.6666666666666666,0.14563106796116504,0.03278688524590164,0.11688311688311688,0.07352941176470588,0.13333333333333333,0.04736842105263158,0.03125,0.09803921568627451,,0.17391304347826086,0.15384615384615385,0.10714285714285714,0.11475409836065574,0.125,,0.3023255813953488,0.5384615384615384,0.7,0.046511627906976744,,,0.27906976744186046,0.4166666666666667,0.4166666666666667,0.3023255813953488,0.06976744186046512,0.3333333333333333,0.3333333333333333,1.0,,,,0.25,1.0,,,0.6744186046511628,0.3333333333333333,0.48529125000000006,0.4753,0.5319875000000001,0.1568627450980392,0.22857142857142856,,0.07547169811320754,0.37735849056603776,10.648148148148149,24.137500000000003,0.26097560975609757,4.0,22.0,0.9166666666666666,1.0,1.0,0.3076923076923077,0.3076923076923077,1.0,0.8571428571428571,,1.0,1.0,2.0,,,,,2.0,,,0.08823529411764706,,0.5,0.5,1.0,,4.0,5.0,1.0,1.0,0.5,0.09090909090909091,0.625,0.8,,,,,,,,,,,,,,True,,,
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,8980.0,150,-41.0,274,279,47.0,47.0,27.0,553,6.0,9.0,2.0,2.0,1.0,3.0,1.0,8.0,2.0,5.0,19.0,,1.0,1.0,4.0,8.0,20.0,6.0,21.0,8.0,42.0,312,1.0,3.0,1.0,2.0,,5.0,3.0,3.0,1.0,4.0,2.0,11.0,6.0,18.0,,,19.0,5.0,1.0,2.0,2.0,4.0,2.0,,2.0,,,10.0,,,5.0,2.0,7.0,,7.0,,2.0,1.0,1.0,4.0,1.0,2.0,6.0,2.0,3.0,10.0,1.0,7.0,11.0,,2.0,7.0,8.0,,,1.0,1.0,1.0,1.0,,,,11.0,47.0,,1.0,1.0,0.2857142857142857,0.5,0.25,0.2857142857142857,0.4,0.3333333333333333,1.0,0.4146341463414634,0.5,0.6428571428571429,0.4659090909090909,0.5,0.6875,0.5121951219512195,0.05,,17.821782178217823,0.4,0.03333333333333333,,0.09803921568627451,,0.06306306306306306,,,,,,0.0625,,0.0975609756097561,0.1,,0.21951219512195122,0.6666666666666666,0.6666666666666666,0.07317073170731707,0.3333333333333333,0.3333333333333333,0.1951219512195122,0.125,0.14285714285714285,0.04878048780487805,0.4634146341463415,0.2631578947368421,0.2777777777777778,1.0,0.2,,,0.2857142857142857,1.0,0.5714285714285714,0.25,0.7317073170731707,0.2631578947368421,0.49475853658536595,0.51472,0.5035071428571428,0.046511627906976744,0.047619047619047616,0.045454545454545456,0.11904761904761904,0.2619047619047619,10.235,25.285714285714285,0.17153284671532848,1.0,10.0,0.625,0.625,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,0.2,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,0.09523809523809523,0.125,0.5,0.05263157894736842,0.2,1.0,1.0,,True,,,
201578,1610612746,Marreese Speights,Marreese Speights,201578,LAC,3483.0,58,4.0,108,107,22.0,39.0,5.0,215,2.0,3.0,2.0,2.0,,4.0,1.0,1.0,2.0,3.0,9.0,,1.0,,1.0,3.0,8.0,3.0,11.0,4.0,19.0,109,1.0,1.0,,1.0,,2.0,2.0,4.0,,3.0,1.0,5.0,2.0,9.0,,,9.0,3.0,1.0,,2.0,2.0,,2.0,,,,6.0,1.0,,4.0,8.0,13.0,1.0,14.0,,1.0,,1.0,2.0,1.0,2.0,1.0,,,3.0,,4.0,6.0,,,4.0,6.0,,,,3.0,,,1.0,,1.0,5.0,22.0,,,1.0,0.2727272727272727,,,0.2727272727272727,0.375,1.0,0.5,0.39473684210526316,0.5,0.2857142857142857,0.4318181818181818,0.5,0.3125,0.5789473684210527,0.125,,21.73913043478261,0.6666666666666666,0.36363636363636365,,0.15384615384615385,0.045454545454545456,0.25,0.02040816326530612,,0.0625,,0.2,0.5,0.2857142857142857,0.13636363636363635,0.25,,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.21052631578947367,,,0.05263157894736842,1.0,1.0,0.10526315789473684,0.47368421052631576,0.3333333333333333,0.3333333333333333,1.0,0.5,,,0.2857142857142857,1.0,0.14285714285714285,,0.7368421052631579,0.3333333333333333,0.5081026315789474,0.5349,0.5013571428571428,0.13636363636363635,0.2727272727272727,,0.10526315789473684,0.2631578947368421,8.3125,25.245454545454546,0.2037037037037037,,4.0,0.6666666666666666,0.6666666666666666,1.0,,,,0.5,,1.0,1.0,,1.0,,,1.0,1.0,,0.5,,,1.0,0.5,1.0,,,2.0,,,0.25,,0.2857142857142857,,,,,1.0,,,,,,,,,1.0,True,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,4827.0,80,13.0,149,150,33.0,28.0,22.0,299,15.0,22.0,3.0,5.0,2.0,7.0,2.0,9.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,19.0,38.0,4.0,5.0,7.0,57.0,153,2.0,4.0,2.0,2.0,4.0,14.0,3.0,8.0,2.0,2.0,6.0,18.0,12.0,12.0,,,4.0,3.0,3.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,2.0,3.0,2.0,9.0,3.0,12.0,1.0,2.0,1.0,1.0,4.0,,2.0,1.0,2.0,,5.0,1.0,1.0,2.0,,,10.0,7.0,1.0,,,2.0,,2.0,1.0,,1.0,18.0,33.0,,2.0,1.0,0.8,1.0,1.0,0.8,0.5,0.5,0.375,0.5813953488372093,0.8333333333333334,0.6,0.6195652173913043,0.875,0.6923076923076923,0.11627906976744186,0.07894736842105263,0.09090909090909091,29.479768786127167,0.8,0.05128205128205128,0.04081632653061224,0.13636363636363635,0.043478260869565216,0.08196721311475409,0.041666666666666664,0.18181818181818182,0.06666666666666667,,,,0.15384615384615385,0.058823529411764705,0.4,0.058823529411764705,0.5116279069767442,0.6818181818181818,0.75,0.16279069767441862,0.2857142857142857,0.3333333333333333,0.20930232558139536,0.2222222222222222,0.2222222222222222,0.023255813953488372,0.09302325581395349,0.75,0.75,1.0,0.16666666666666666,1.0,1.0,0.5,0.6,0.2,1.0,0.627906976744186,0.75,0.5010209302325581,0.4684625,0.515315,0.045454545454545456,0.05128205128205128,,0.24561403508771928,0.3157894736842105,6.657894736842105,24.22,0.2214765100671141,1.0,26.0,0.6842105263157895,0.6842105263157895,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,2.0,,4.0,,1.0,1.0,1.0,,0.5714285714285714,,,1.0,0.3333333333333333,0.5,1.0,,,,,0.14285714285714285,,,,1.0,1.0,,,1.0,,,,,0.16666666666666666,1.0,1.0,1.0,True,,,
203085,1610612746,Austin Rivers,Austin Rivers,203085,LAC,2556.0,43,-25.0,79,76,18.0,17.0,8.0,155,2.0,3.0,,,,2.0,,1.0,2.0,2.0,7.0,,,,,2.0,6.0,3.0,9.0,,13.0,84,,1.0,,,,,,,1.0,1.0,,3.0,4.0,6.0,3.0,,7.0,2.0,1.0,1.0,,1.0,,,1.0,,,2.0,,,1.0,2.0,4.0,,4.0,,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,,4.0,,2.0,3.0,,,,,,,,,,,,,,3.0,18.0,,,0.6666666666666666,0.3333333333333333,,1.0,0.3333333333333333,0.3333333333333333,,,0.43333333333333335,,1.5,0.43333333333333335,,1.5,0.6,0.16666666666666666,0.3333333333333333,21.839080459770116,0.5,0.08333333333333333,,0.058823529411764705,,0.07317073170731707,,,,,0.16666666666666666,0.07692307692307693,,0.07692307692307693,,,0.2,0.6666666666666666,1.0,0.13333333333333333,,,0.06666666666666667,,,0.13333333333333333,0.4666666666666667,0.2857142857142857,0.2857142857142857,0.5,,,,,,,,0.8,0.2857142857142857,0.51462,0.3766,0.5661,,,,,0.23076923076923078,6.766666666666666,24.844444444444445,0.22784810126582278,1.0,,,,,0.5,0.5,1.0,,,,,,1.0,1.0,,,,,0.25,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,True,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,5839.0,97,8.0,179,180,74.0,64.0,20.0,359,1.0,2.0,1.0,1.0,4.0,8.0,5.0,13.0,3.0,1.0,12.0,,,,2.0,10.0,23.0,1.0,15.0,2.0,25.0,192,1.0,1.0,,1.0,2.0,4.0,2.0,7.0,,4.0,2.0,6.0,18.0,3.0,,2.0,10.0,1.0,1.0,5.0,1.0,6.0,1.0,,3.0,1.0,1.0,13.0,,1.0,,,,1.0,1.0,1.0,3.0,,3.0,2.0,,,1.0,2.0,,3.0,1.0,4.0,8.0,,,6.0,2.0,,,,,,1.0,,,,6.0,74.0,,1.0,1.0,0.06666666666666667,,,0.07692307692307693,0.43478260869565216,1.0,0.2857142857142857,0.3026315789473684,0.5,0.18181818181818182,0.32051282051282054,0.6666666666666666,0.25,0.39473684210526316,0.043478260869565216,0.5,21.0,0.6666666666666666,,0.0196078431372549,,,,0.012048192771084338,0.07142857142857142,,,,,,,,0.041666666666666664,0.05263157894736842,0.5,1.0,0.21052631578947367,0.5,0.5,0.34210526315789475,0.38461538461538464,0.38461538461538464,0.07894736842105263,0.3157894736842105,0.08333333333333333,0.08333333333333333,1.0,,,,0.09090909090909091,1.0,0.18181818181818182,,0.4473684210526316,0.1,0.4458757142857143,0.58665,0.42828,,,,0.16,0.24,12.52608695652174,27.92,0.4134078212290503,,2.0,0.1,0.1,,,,,,0.25,,,,,,,,,,,,,,,,,,2.0,,,,,0.18181818181818182,,,1.0,,,2.0,,,,,0.5,,,,True,,,
