EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,Arc3Assists,ShortMidRangeAssists,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeAssists,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedAtRim,OffLongMidRangeReboundPct,OffCorner3ReboundPct,HeaveAttempts,FTDefRebounds,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,3pt And 1 Free Throw Trips,BlockedLongMidRange,PenaltyCorner3FGM,PenaltyCorner3Accuracy,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct
101150,1610612745,Lou Williams,Lou Williams,101150,HOU,6270.0,104,20,208,208,26.0,20,24,416,10.0,14.0,3.0,3.0,1.0,1.0,5.0,12.0,3.0,6.0,1.0,4.0,2.0,6.0,17.0,1.0,2.0,2.0,18.0,32.0,7.0,21.0,14.0,71.0,229,3.0,3.0,1.0,6.0,1.0,3.0,2.0,4.0,8.0,6.0,30.0,12.0,9.0,6.0,17.0,6.0,3.0,2.0,1.0,3.0,1.0,2.0,7.0,3.0,4.0,6.0,10.0,3.0,13.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,8.0,1.0,5.0,7.0,7.0,1.0,17.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,26.0,0.16666666666666666,0.2,0.5714285714285714,0.3333333333333333,0.5,0.3333333333333333,0.5625,1.0,0.3333333333333333,0.5377358490566038,0.75,0.5714285714285714,0.5916666666666667,0.75,0.5714285714285714,0.39622641509433965,0.09375,0.14285714285714285,0.08333333333333333,29.31034482758621,0.5,0.07058823529411765,0.06382978723404255,0.11764705882352941,0.08403361344537816,0.03409090909090909,0.08333333333333333,0.07142857142857142,0.075,0.08,0.05,0.1111111111111111,0.14285714285714285,0.08,1.0,0.2641509433962264,0.7142857142857143,0.8333333333333334,0.2,0.22641509433962265,0.4166666666666667,0.45454545454545453,0.11320754716981132,0.5,0.5,0.3333333333333333,0.07547169811320754,0.25,0.25,1.0,0.32075471698113206,0.35294117647058826,0.35294117647058826,0.5,0.75,1.0,0.25,0.14285714285714285,1.0,0.2857142857142857,0.2857142857142857,1.0,0.660377358490566,0.35294117647058826,0.5105584905660377,0.526675,0.5400857142857143,0.1016949152542373,0.08571428571428572,0.125,0.08450704225352113,0.11267605633802817,6.375000000000001,25.057142857142853,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1626155,1610612745,Sam Dekker,Sam Dekker,1626155,HOU,457.0,8,-10,14,16,,6,2,30,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,0.25,,0.3333333333333333,0.2857142857142857,0.1111111111111111,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3671,,,,,,,,6.4,,,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201569,1610612745,Eric Gordon,Eric Gordon,201569,HOU,9646.0,161,14,316,316,37.0,40,35,632,3.0,12.0,1.0,1.0,,1.0,6.0,11.0,1.0,3.0,2.0,5.0,,12.0,29.0,2.0,1.0,2.0,10.0,26.0,14.0,34.0,5.0,67.0,358,1.0,1.0,3.0,13.0,1.0,3.0,1.0,2.0,7.0,6.0,14.0,39.0,3.0,,29.0,12.0,6.0,9.0,4.0,13.0,1.0,7.0,30.0,1.0,8.0,9.0,17.0,3.0,20.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,6.0,,8.0,1.0,6.0,8.0,5.0,1.0,5.0,3.0,,,,,2.0,,7.0,37.0,0.3,0.3,0.9285714285714286,0.4117647058823529,0.5,0.4117647058823529,0.38461538461538464,1.0,0.3333333333333333,0.5166666666666667,1.375,0.5,0.5403225806451613,1.3,0.5833333333333334,0.5666666666666667,0.23076923076923078,0.5,,19.886363636363637,0.25,0.0782608695652174,0.015625,0.14814814814814814,0.10059171597633136,0.021897810218978103,0.029411764705882353,,0.06521739130434782,0.05128205128205128,0.13333333333333333,0.15,0.14285714285714285,0.03333333333333333,,0.2,0.25,0.5,0.3333333333333333,0.18333333333333332,0.5454545454545454,0.5454545454545454,0.05,0.3333333333333333,0.3333333333333333,,0.08333333333333333,0.4,0.4,1.0,0.48333333333333334,0.41379310344827586,0.41379310344827586,0.9166666666666666,0.25,1.0,0.5,0.2,,,0.4,0.5,0.7666666666666667,0.41379310344827586,0.525205,0.5919,0.46242,0.04838709677419355,0.10714285714285714,,0.19402985074626866,0.1044776119402985,6.526923076923077,24.864705882352943,0.11708860759493671,2.0,0.0273972602739726,0.03225806451612903,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,
201976,1610612745,Patrick Beverley,Patrick Beverley,201976,HOU,14564.0,243,1,469,473,33.0,39,69,942,8.0,18.0,3.0,6.0,,1.0,8.0,22.0,,2.0,7.0,15.0,,8.0,21.0,2.0,1.0,1.0,16.0,42.0,15.0,36.0,7.0,84.0,522,6.0,9.0,5.0,18.0,,1.0,1.0,1.0,3.0,4.0,28.0,42.0,3.0,10.0,21.0,8.0,5.0,13.0,12.0,25.0,3.0,11.0,62.0,5.0,12.0,18.0,30.0,20.0,50.0,3.0,10.0,3.0,7.0,8.0,,5.0,7.0,2.0,15.0,1.0,10.0,25.0,17.0,,8.0,4.0,,,2.0,,2.0,,3.0,33.0,0.125,0.18181818181818182,0.9333333333333333,0.4166666666666667,1.0,0.4166666666666667,0.38095238095238093,0.6666666666666666,,0.4935897435897436,0.6428571428571429,0.75,0.5123456790123457,0.6428571428571429,0.75,0.46153846153846156,0.11904761904761904,0.2777777777777778,,17.582417582417584,0.5333333333333333,0.11320754716981132,0.04310344827586207,0.1411764705882353,0.12295081967213115,0.08064516129032258,0.029411764705882353,0.058823529411764705,0.1232876712328767,0.0851063829787234,0.1282051282051282,0.1694915254237288,0.07692307692307693,0.07317073170731707,,0.23076923076923078,0.4444444444444444,0.6153846153846154,0.125,0.28205128205128205,0.36363636363636365,0.36363636363636365,0.02564102564102564,,,,0.19230769230769232,0.4666666666666667,0.4666666666666667,1.0,0.2692307692307692,0.38095238095238093,0.38095238095238093,0.875,0.42857142857142855,0.5,0.14285714285714285,0.5,,,0.5,1.0,0.6923076923076923,0.38095238095238093,0.5175423076923077,0.5513722222222222,0.46692500000000003,0.04938271604938271,0.08888888888888889,,0.21428571428571427,0.03571428571428571,5.576190476190476,24.394444444444446,0.07036247334754797,15.0,0.11363636363636363,0.11214953271028037,1.0,3.0,1.0,2.0,,,9.0,1.0,3.0,1.0,2.0,3.0,2.0,,1.0,,,,,0.4,0.125,,0.21428571428571427,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.07142857142857142,0.12,,,,,,,,,,True,,,,,,
203991,1610612745,Clint Capela,Clint Capela,203991,HOU,17174.0,286,-17,556,560,52.0,60,79,1116,43.0,69.0,10.0,17.0,5.0,6.0,3.0,10.0,,2.0,,,,,1.0,,,,46.0,81.0,,1.0,24.0,116.0,629,10.0,20.0,,24.0,5.0,6.0,,,13.0,82.0,10.0,,,6.0,,,15.0,5.0,7.0,12.0,2.0,2.0,31.0,13.0,18.0,46.0,70.0,26.0,96.0,2.0,8.0,5.0,3.0,4.0,1.0,2.0,4.0,1.0,8.0,,17.0,28.0,31.0,,39.0,21.0,,1.0,28.0,5.0,28.0,19.0,13.0,52.0,0.8913043478260869,0.9534883720930233,,,,,0.5679012345679012,0.5,0.8333333333333334,0.5609756097560976,0.5,0.8333333333333334,0.5858585858585859,0.5454545454545454,0.8125,0.012195121951219513,0.18518518518518517,0.2028985507246377,0.1,16.614906832298136,0.5,0.24864864864864866,0.09774436090225563,0.19148936170212766,0.22939068100358423,0.08996539792387544,0.10526315789473684,0.12195121951219512,0.15853658536585366,0.3620689655172414,0.26666666666666666,0.21212121212121213,0.14285714285714285,0.1,0.6785714285714286,0.8414634146341463,0.6231884057971014,0.7818181818181819,0.8837209302325582,0.12195121951219512,0.3,0.3333333333333333,0.024390243902439025,,,,,,,,0.012195121951219513,,,,0.85,0.5882352941176471,,1.0,0.8333333333333334,,,,0.8536585365853658,,0.6221358024691358,0.5350357142857144,0.6745833333333334,0.21428571428571427,0.21649484536082475,,0.20689655172413793,0.11206896551724138,2.2135802469135806,69.4,0.09352517985611511,13.0,0.08333333333333333,0.07086614173228346,,,,,4.0,3.0,5.0,3.0,2.0,,1.0,1.0,1.0,,5.0,,,,1.0,,1.0,0.6,,,,,,,5.0,1.0,2.0,1.0,,,23.0,,0.13793103448275862,1.0,6.0,4.0,1.0,0.46153846153846156,,,,,True,,,,,,
201583,1610612745,Ryan Anderson,Ryan Anderson,201583,HOU,12203.0,203,2,394,396,28.0,29,60,790,7.0,12.0,5.0,8.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,6.0,,5.0,31.0,4.0,,2.0,10.0,19.0,6.0,37.0,10.0,48.0,436,5.0,8.0,5.0,15.0,1.0,3.0,,2.0,2.0,8.0,12.0,15.0,3.0,6.0,31.0,5.0,1.0,2.0,2.0,4.0,,1.0,10.0,4.0,7.0,18.0,25.0,9.0,34.0,,4.0,1.0,3.0,1.0,,,3.0,1.0,4.0,,7.0,12.0,9.0,,10.0,5.0,,,,,,,2.0,28.0,0.4,0.5714285714285714,0.8333333333333334,0.16216216216216217,,0.16216216216216217,0.5263157894736842,0.625,0.3333333333333333,0.3392857142857143,0.5,0.2,0.39344262295081966,0.5357142857142857,0.2,0.6607142857142857,0.05263157894736842,0.08333333333333333,,13.978494623655912,0.25,0.14285714285714285,0.042105263157894736,0.109375,0.13157894736842105,0.04245283018867924,0.01818181818181818,0.10714285714285714,0.1724137931034483,0.08333333333333333,0.15625,0.13953488372093023,0.047619047619047616,,,0.21428571428571427,0.5833333333333334,0.6363636363636364,0.2857142857142857,0.03571428571428571,1.0,1.0,0.08928571428571429,0.2,0.2,,0.10714285714285714,0.16666666666666666,0.16666666666666666,1.0,0.5535714285714286,0.16129032258064516,0.16129032258064516,0.8,0.6153846153846154,0.625,0.3076923076923077,0.4,0.5,,0.4,,0.875,0.16129032258064516,0.5409053571428571,0.49842499999999995,0.5248999999999999,0.08196721311475409,0.20833333333333334,,0.3125,0.041666666666666664,7.078947368421052,25.68378378378378,0.07106598984771574,5.0,0.042735042735042736,0.041666666666666664,,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,4.0,,,,,,,0.2,1.0,0.2,0.07692307692307693,,,0.25,1.0,,1.0,1.0,,1.0,1.0,,,,0.047619047619047616,,,,,,,,,,True,,,,,,
201628,1610612745,Bobby Brown,Bobby Brown,201628,HOU,184.0,3,-1,6,6,,6,2,12,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,3.0,4.0,,,,6.0,8,1.0,1.0,,2.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.0,,0.75,1.0,,0.75,1.0,,,,,,50.0,,,,,,,,,,,,,,,,0.25,1.0,1.0,,0.25,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,1.0,1.0,,,,,,,0.25,,0.433075,0.5172,,,,,0.3333333333333333,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201935,1610612745,James Harden,James Harden,201935,HOU,12373.0,206,-42,397,403,42.0,47,60,800,19.0,35.0,3.0,4.0,2.0,4.0,3.0,8.0,2.0,4.0,2.0,3.0,,17.0,62.0,4.0,2.0,7.0,24.0,47.0,19.0,65.0,49.0,154.0,453,4.0,6.0,5.0,19.0,5.0,7.0,2.0,7.0,20.0,6.0,42.0,12.0,45.0,4.0,61.0,17.0,6.0,26.0,23.0,49.0,5.0,23.0,121.0,3.0,2.0,14.0,16.0,4.0,20.0,2.0,11.0,5.0,6.0,25.0,6.0,18.0,8.0,1.0,33.0,2.0,6.0,19.0,36.0,1.0,55.0,16.0,7.0,2.0,5.0,,5.0,2.0,20.0,42.0,0.125,0.13636363636363635,0.21052631578947367,0.2923076923076923,0.2857142857142857,0.296875,0.5106382978723404,0.6666666666666666,0.7142857142857143,0.46875,0.6363636363636364,0.5714285714285714,0.5661764705882353,0.7307692307692307,0.625,0.5803571428571429,0.1276595744680851,0.17142857142857143,,36.344086021505376,0.7575757575757576,0.11666666666666667,0.031578947368421054,0.029411764705882353,0.0851063829787234,0.017937219730941704,0.03571428571428571,,0.09803921568627451,0.1,0.1724137931034483,0.043478260869565216,,0.03225806451612903,0.4,0.3125,0.5428571428571428,0.6551724137931034,0.05263157894736842,0.07142857142857142,0.375,0.375,0.03571428571428571,0.5,0.5,,0.026785714285714284,0.6666666666666666,0.6666666666666666,0.5,0.5535714285714286,0.27419354838709675,0.27419354838709675,0.17647058823529413,0.36363636363636365,0.75,0.36363636363636365,0.2857142857142857,0.5,,0.5,0.2857142857142857,0.8928571428571429,0.2786885245901639,0.5470981981981982,0.6120125,0.5052692307692308,0.17164179104477612,0.25396825396825395,0.09859154929577464,0.12337662337662338,0.12987012987012986,4.040425531914893,25.38153846153846,0.10579345088161209,1.0,0.0078125,,1.0,1.0,1.0,2.0,5.0,4.0,18.0,3.0,7.0,,,1.0,,1.0,,,,,1.0,0.4,0.6666666666666666,0.3333333333333333,0.09090909090909091,1.0,1.0,0.25,,,2.0,,,1.0,,,4.0,0.1,0.03571428571428571,1.0,,,1.0,,1.0,1.0,,,True,,,,,,
2772,1610612745,Trevor Ariza,Trevor Ariza,2772,HOU,12999.0,217,-52,420,422,42.0,53,64,842,10.0,17.0,1.0,3.0,1.0,2.0,1.0,4.0,,,1.0,10.0,2.0,13.0,30.0,3.0,,2.0,11.0,21.0,14.0,40.0,2.0,66.0,490,1.0,3.0,3.0,5.0,1.0,2.0,1.0,4.0,5.0,16.0,6.0,42.0,,,30.0,13.0,6.0,7.0,5.0,12.0,1.0,6.0,29.0,3.0,9.0,12.0,23.0,4.0,27.0,,8.0,4.0,4.0,2.0,,,,,2.0,,4.0,8.0,6.0,,3.0,3.0,,,1.0,,1.0,,5.0,42.0,0.7272727272727273,0.7272727272727273,1.0,0.35,0.25,0.35,0.5238095238095238,0.3333333333333333,0.5,0.5245901639344263,0.4166666666666667,0.4166666666666667,0.5409836065573771,0.4166666666666667,0.4166666666666667,0.6557377049180327,0.2857142857142857,0.29411764705882354,0.25,12.804878048780488,1.0,0.09230769230769231,0.027777777777777776,0.13432835820895522,0.1065989847715736,0.01702127659574468,0.03076923076923077,0.030303030303030304,0.05263157894736842,0.08888888888888889,0.17857142857142858,0.13333333333333333,0.13636363636363635,,,0.2786885245901639,0.5882352941176471,0.8333333333333334,0.7,0.06557377049180328,0.25,0.3333333333333333,,,,,0.16393442622950818,0.1,0.1,1.0,0.4918032786885246,0.43333333333333335,0.43333333333333335,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,0.9344262295081968,0.43333333333333335,0.5777081967213115,0.52555,0.5693750000000001,0.04918032786885246,0.14285714285714285,,0.07575757575757576,0.07575757575757576,2.1714285714285717,24.615000000000002,0.1,1.0,0.007874015748031496,0.01,,,1.0,1.0,,,4.0,1.0,2.0,,,1.0,,,3.0,,,,,0.3333333333333333,1.0,1.0,,,,0.3333333333333333,1.0,,,,,,,,1.0,,,,2.0,,,0.18181818181818182,,,1.0,0.5,True,,,,,,
101150,1610612745,Lou Williams,Lou Williams,101150,HOU,10022.0,167,39,341,344,143.0,118,36,685,8.0,18.0,1.0,2.0,3.0,8.0,11.0,20.0,1.0,9.0,2.0,3.0,1.0,3.0,15.0,,1.0,8.0,20.0,47.0,5.0,18.0,12.0,67.0,373,1.0,2.0,,2.0,7.0,18.0,2.0,9.0,22.0,6.0,34.0,9.0,6.0,2.0,15.0,3.0,4.0,8.0,3.0,11.0,2.0,7.0,25.0,3.0,4.0,9.0,13.0,4.0,17.0,1.0,4.0,4.0,,4.0,2.0,2.0,2.0,,6.0,2.0,3.0,10.0,8.0,,12.0,4.0,2.0,,,,,,22.0,141.0,0.15,0.15789473684210525,0.6,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.425531914893617,0.5,0.3888888888888889,0.4230769230769231,0.5,0.37037037037037035,0.4855072463768116,0.5,0.39285714285714285,0.27692307692307694,0.0851063829787234,0.2222222222222222,,19.736842105263158,0.6666666666666666,0.09,0.04054054054054054,0.06557377049180328,0.08074534161490683,0.0273972602739726,0.07142857142857142,,0.05405405405405406,0.15151515151515152,0.06666666666666667,0.07547169811320754,,0.029411764705882353,,0.27692307692307694,0.4444444444444444,0.5714285714285714,0.25,0.3076923076923077,0.55,0.55,0.13846153846153847,0.1111111111111111,0.1111111111111111,,0.046153846153846156,0.6666666666666666,0.6666666666666666,0.5,0.23076923076923078,0.2,0.21428571428571427,0.6666666666666666,1.0,0.5,,0.2962962962962963,0.375,0.037037037037037035,0.2962962962962963,0.125,0.5538461538461539,0.2,0.48587230769230777,0.5896,0.47670555555555555,0.08695652173913043,0.08163265306122448,0.1,0.029850746268656716,0.3283582089552239,7.297872340425532,25.294444444444444,0.41935483870967744,1.0,0.013888888888888888,0.016129032258064516,,,,,,2.0,1.0,1.0,2.0,,,,1.0,,2.0,,,,1.0,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,False,1.0,0.05555555555555555,0.06666666666666667,,,
