EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,BlockingFouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg2Pct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Travels,Charge Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls Drawn,3pt And 1 Free Throw Trips,BlockedLongMidRange,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,OffCorner3ReboundPct,BlockedShortMidRange,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked
201588,1610612762,George Hill,George Hill,201588,UTA,9342.0,156.0,-10.0,284.0,290.0,69.0,55.0,25.0,574.0,6.0,10.0,3.0,5.0,9.0,20.0,6.0,10.0,2.0,4.0,1.0,1.0,5.0,13.0,1.0,1.0,3.0,4.0,21.0,40.0,7.0,17.0,8.0,71.0,330.0,1.0,1.0,1.0,1.0,4.0,6.0,11.0,4.0,5.0,3.0,27.0,10.0,32.0,15.0,6.0,13.0,5.0,2.0,10.0,4.0,14.0,1.0,3.0,7.0,3.0,32.0,2.0,7.0,9.0,16.0,2.0,18.0,2.0,2.0,1.0,1.0,6.0,1.0,4.0,2.0,1.0,2.0,8.0,3.0,3.0,4.0,11.0,14.0,3.0,12.0,5.0,1.0,27.0,68.0,3.0,1.0,0.23809523809523808,0.23809523809523808,0.7142857142857143,0.4117647058823529,1.0,0.8,0.4117647058823529,0.525,0.5454545454545454,0.5526315789473685,0.75,0.75,0.5634920634920635,0.6666666666666666,0.75,0.2982456140350877,0.05,0.1,0.05,22.977346278317153,0.75,0.10588235294117647,0.024096385542168676,0.14,0.11851851851851852,0.01639344262295082,0.058823529411764705,0.022727272727272728,0.06896551724137931,0.08,0.16129032258064516,0.15384615384615385,0.09090909090909091,0.07407407407407407,0.17543859649122806,0.6,0.6666666666666666,0.3333333333333333,0.3508771929824561,0.45,0.47368421052631576,0.1111111111111111,0.17543859649122806,0.6,0.6,0.3333333333333333,0.07017543859649122,0.5,0.5,1.0,0.22807017543859648,0.38461538461538464,0.38461538461538464,0.6,0.5,1.0,1.0,0.3125,0.6,0.0625,1.0,0.25,0.75,0.47368421052631576,0.38461538461538464,0.4660723214285714,0.457475,0.4887625,0.08064516129032258,0.1111111111111111,0.056338028169014086,0.38028169014084506,9.455,25.0,0.24295774647887325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
202324,1610612762,Derrick Favors,Derrick Favors,202324,UTA,13487.0,225.0,-27.0,418.0,426.0,131.0,127.0,33.0,844.0,28.0,37.0,8.0,10.0,8.0,16.0,,9.0,,,,,,,,,,,36.0,62.0,,,11.0,83.0,491.0,12.0,,,1.0,15.0,10.0,16.0,,,5.0,25.0,60.0,12.0,,,,,5.0,6.0,4.0,10.0,4.0,,2.0,1.0,24.0,12.0,14.0,28.0,45.0,15.0,60.0,1.0,8.0,3.0,5.0,1.0,1.0,1.0,3.0,,,4.0,,2.0,9.0,25.0,16.0,,23.0,9.0,4.0,24.0,130.0,6.0,3.0,0.8333333333333334,0.9375,,,,,,0.5806451612903226,0.625,0.5806451612903226,0.5833333333333334,0.625,0.5763888888888888,0.5769230769230769,0.5952380952380952,,0.08064516129032258,0.10810810810810811,0.0625,16.8141592920354,0.25,0.23728813559322035,0.10256410256410256,0.19444444444444445,0.22105263157894736,0.08379888268156424,0.06896551724137931,0.14545454545454545,0.3076923076923077,0.15384615384615385,0.25,0.18181818181818182,0.23529411764705882,0.05,0.5967741935483871,0.7567567567567568,0.8484848484848485,0.7857142857142857,0.25806451612903225,0.5,0.5333333333333333,1.0,0.14516129032258066,,,,,,,,,,,,,,,0.625,0.8,,,,,0.5967741935483871,,0.5453403225806451,0.5037545454545455,0.5363062500000001,0.1323529411764706,0.1323529411764706,0.18072289156626506,0.30120481927710846,5.675806451612902,,0.3133971291866029,7.0,10.0,7.0,8.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,6.0,6.0,6.0,6.0,1.0,0.5833333333333334,0.2727272727272727,0.04838709677419355,0.06060606060606061,0.0625,1.0,0.8333333333333334,0.7,0.14285714285714285,,,,,,,,,,,,,,,,,,,True,,,,,,
202330,1610612762,Gordon Hayward,Gordon Hayward,202330,UTA,9887.0,165.0,-34.0,311.0,315.0,112.0,113.0,23.0,626.0,9.0,12.0,5.0,7.0,9.0,23.0,8.0,16.0,3.0,4.0,1.0,2.0,7.0,21.0,2.0,3.0,3.0,10.0,26.0,51.0,10.0,25.0,21.0,103.0,363.0,2.0,2.0,3.0,3.0,11.0,11.0,17.0,4.0,12.0,13.0,47.0,20.0,32.0,24.0,6.0,21.0,7.0,4.0,5.0,6.0,11.0,3.0,3.0,2.0,1.0,28.0,,8.0,15.0,24.0,,24.0,,3.0,2.0,1.0,5.0,1.0,3.0,4.0,,2.0,9.0,,4.0,3.0,7.0,22.0,,23.0,10.0,1.0,47.0,111.0,,1.0,0.38461538461538464,0.38461538461538464,0.8,0.4,0.6666666666666666,0.3333333333333333,0.4,0.5098039215686274,0.6470588235294118,0.5394736842105263,0.8,0.5862068965517241,0.6,0.8333333333333334,0.6714285714285714,0.32894736842105265,0.0784313725490196,,0.17391304347826086,28.05970149253731,0.5555555555555556,0.16666666666666666,,0.14545454545454545,0.15862068965517243,,,,0.21428571428571427,0.06451612903225806,0.22580645161290322,0.14285714285714285,0.15384615384615385,,0.15789473684210525,0.75,0.75,0.6666666666666666,0.3026315789473684,0.391304347826087,0.47368421052631576,0.2222222222222222,0.21052631578947367,0.5,0.5,0.25,0.05263157894736842,0.75,0.75,1.0,0.27631578947368424,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6,0.6666666666666666,1.0,0.2413793103448276,0.7142857142857143,0.06896551724137931,0.5,0.3448275862068966,0.3,0.4868421052631579,0.3333333333333333,0.48394539473684206,0.597475,0.533244827586207,0.13095238095238096,0.1724137931034483,0.10679611650485436,0.4563106796116505,10.174509803921568,25.22,0.36012861736334406,1.0,2.0,1.0,,2.0,,1.0,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,0.5,0.1,,,,0.5,0.4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538464,,,,,,,,,,,True,,,,,,
203918,1610612762,Rodney Hood,Rodney Hood,203918,UTA,6290.0,105.0,-29.0,195.0,197.0,73.0,79.0,18.0,392.0,4.0,5.0,2.0,2.0,4.0,9.0,2.0,7.0,2.0,3.0,1.0,2.0,5.0,15.0,2.0,2.0,,3.0,10.0,21.0,7.0,18.0,8.0,49.0,244.0,,2.0,2.0,1.0,7.0,3.0,5.0,1.0,5.0,2.0,11.0,12.0,8.0,18.0,3.0,14.0,5.0,,3.0,2.0,5.0,2.0,,2.0,1.0,12.0,1.0,6.0,5.0,11.0,1.0,12.0,1.0,2.0,1.0,1.0,4.0,,3.0,2.0,1.0,1.0,6.0,1.0,2.0,9.0,13.0,6.0,,12.0,5.0,1.0,11.0,73.0,,1.0,0.6,0.6,0.8571428571428571,0.3888888888888889,1.0,0.2,0.4117647058823529,0.47619047619047616,0.6,0.5256410256410257,1.5,0.45,0.5444444444444444,1.1666666666666667,0.5,0.46153846153846156,,,,23.943661971830988,0.6666666666666666,0.09615384615384616,0.017543859649122806,0.1935483870967742,0.13253012048192772,0.010869565217391304,,0.038461538461538464,0.11764705882352941,0.09523809523809523,0.07142857142857142,0.2222222222222222,,0.047619047619047616,0.1282051282051282,0.8,0.8,1.0,0.23076923076923078,0.4444444444444444,0.4444444444444444,,0.1794871794871795,0.2857142857142857,0.2857142857142857,1.0,0.07692307692307693,0.6666666666666666,0.6666666666666666,1.0,0.38461538461538464,0.3333333333333333,0.3333333333333333,0.8,1.0,1.0,1.0,0.2,1.0,0.2,0.5,0.3,,0.5897435897435898,0.35714285714285715,0.49452837837837843,0.558225,0.5331750000000001,0.11363636363636363,0.19230769230769232,0.14285714285714285,0.22448979591836735,9.899999999999999,26.194444444444446,0.37435897435897436,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,True,,,,,,
2207,1610612762,Joe Johnson,Joe Johnson,2207,UTA,8443.0,141.0,-9.0,265.0,269.0,108.0,104.0,20.0,534.0,4.0,6.0,2.0,4.0,19.0,32.0,3.0,10.0,1.0,9.0,,4.0,3.0,5.0,,,1.0,3.0,26.0,48.0,4.0,14.0,4.0,68.0,316.0,1.0,,,,,8.0,19.0,1.0,7.0,2.0,21.0,10.0,42.0,3.0,9.0,5.0,3.0,1.0,8.0,6.0,14.0,4.0,2.0,6.0,2.0,34.0,3.0,4.0,9.0,14.0,4.0,18.0,2.0,4.0,3.0,1.0,1.0,,,1.0,,1.0,2.0,,,2.0,7.0,4.0,,6.0,2.0,1.0,21.0,107.0,,1.0,0.19230769230769232,0.19230769230769232,0.25,0.2857142857142857,,0.14285714285714285,0.2857142857142857,0.5416666666666666,0.42105263157894735,0.5161290322580645,,0.36538461538461536,0.5230769230769231,,0.3888888888888889,0.22580645161290322,0.020833333333333332,,0.03125,23.50877192982456,0.5,0.12,0.0410958904109589,0.09090909090909091,0.1092436974789916,0.03636363636363636,,0.0625,0.20833333333333334,0.10714285714285714,0.043478260869565216,0.09375,0.08333333333333333,0.06896551724137931,0.0967741935483871,0.6666666666666666,0.6666666666666666,0.25,0.5161290322580645,0.59375,0.6129032258064516,0.15789473684210525,0.16129032258064516,0.3,0.3,0.3333333333333333,0.14516129032258066,0.1111111111111111,0.1111111111111111,,0.08064516129032258,0.6,0.6,0.3333333333333333,,,,0.15384615384615385,0.5,0.15384615384615385,,0.11538461538461539,0.3333333333333333,0.3225806451612903,0.6,0.4085274193548387,0.5291,0.39553461538461543,0.03125,0.04,,0.3088235294117647,8.81875,24.707142857142856,0.4075471698113208,,1.0,,,,1.0,1.0,,,,,,,,,,,,0.1111111111111111,0.02702702702702703,0.047619047619047616,0.038461538461538464,,1.0,,,,,,,,,,,,1.0,,,,,,,,,True,,,,,,
2564,1610612762,Boris Diaw,Boris Diaw,2564,UTA,4925.0,82.0,-17.0,149.0,154.0,23.0,24.0,13.0,303.0,2.0,4.0,,,1.0,3.0,1.0,2.0,,,,,2.0,5.0,,,,1.0,4.0,9.0,2.0,5.0,4.0,18.0,170.0,1.0,,,,2.0,,,,1.0,,,6.0,2.0,6.0,,5.0,2.0,1.0,7.0,7.0,14.0,3.0,4.0,5.0,1.0,35.0,3.0,4.0,3.0,7.0,3.0,10.0,,1.0,1.0,,2.0,3.0,2.0,4.0,1.0,,6.0,,1.0,2.0,4.0,3.0,,4.0,3.0,,,23.0,1.0,,0.75,0.75,1.0,0.4,,,0.4,0.4444444444444444,,0.5,1.0,,0.6,1.0,,0.35714285714285715,0.1111111111111111,,0.3333333333333333,12.883435582822086,0.3333333333333333,0.06976744186046512,0.06976744186046512,0.14814814814814814,0.1,0.04411764705882353,,0.08695652173913043,0.13333333333333333,,0.058823529411764705,0.13636363636363635,0.2,,0.2857142857142857,0.5,0.5,1.0,0.21428571428571427,0.3333333333333333,0.5,,0.14285714285714285,0.5,0.5,1.0,,,,,0.35714285714285715,0.4,0.4,1.0,,,,,,,,1.0,,0.6428571428571429,0.4,0.4636714285714286,0.6918,0.50325,0.2,0.3,0.1111111111111111,,8.988888888888887,26.560000000000002,0.15436241610738255,1.0,1.0,1.0,,1.0,,,,,,,2.0,,,,,,1.0,,,0.08333333333333333,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,
203957,1610612762,Dante Exum,Dante Exum,203957,UTA,1818.0,30.0,-1.0,58.0,58.0,18.0,14.0,4.0,116.0,4.0,8.0,1.0,2.0,,1.0,,,,,,,1.0,2.0,,,,1.0,4.0,9.0,1.0,2.0,,11.0,66.0,1.0,,,,,1.0,3.0,,1.0,,2.0,4.0,4.0,,3.0,2.0,1.0,,4.0,,4.0,,,3.0,1.0,8.0,1.0,2.0,,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,,1.0,,,,1.0,,,1.0,3.0,2.0,1.0,,,,2.0,18.0,1.0,,0.5,0.5,,0.5,,,0.5,0.4444444444444444,0.3333333333333333,0.5,,0.25,0.5,,0.25,0.18181818181818182,,,,19.35483870967742,1.0,,0.047619047619047616,0.18181818181818182,0.07407407407407407,0.041666666666666664,0.1111111111111111,,,,,0.2222222222222222,,0.2,0.7272727272727273,0.5,0.5,0.5,0.09090909090909091,,,,,,,,,,,,0.18181818181818182,0.5,0.5,,,,,0.5,0.5,,,0.25,,0.9090909090909091,0.5,0.554409090909091,0.5114,0.47481249999999997,,,,0.18181818181818182,2.1444444444444444,24.65,0.3103448275862069,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,
204060,1610612762,Joe Ingles,Joe Ingles,204060,UTA,9675.0,161.0,2.0,296.0,305.0,83.0,75.0,23.0,601.0,4.0,6.0,1.0,1.0,2.0,3.0,,,6.0,9.0,1.0,3.0,4.0,13.0,,,1.0,3.0,6.0,9.0,10.0,22.0,5.0,47.0,342.0,,2.0,2.0,,6.0,2.0,2.0,2.0,6.0,,10.0,4.0,8.0,27.0,3.0,13.0,4.0,,18.0,4.0,22.0,3.0,1.0,13.0,3.0,48.0,1.0,4.0,10.0,17.0,1.0,18.0,,11.0,11.0,,6.0,,6.0,2.0,,,8.0,,2.0,2.0,15.0,14.0,1.0,7.0,3.0,,10.0,82.0,3.0,,0.3333333333333333,0.3333333333333333,0.9,0.45454545454545453,1.0,0.3333333333333333,0.45454545454545453,0.6666666666666666,1.0,0.6774193548387096,1.5,0.625,0.6911764705882353,1.5,0.625,0.7096774193548387,,,,13.16614420062696,0.75,0.12048192771084337,0.012048192771084338,0.08163265306122448,0.10606060606060606,0.008403361344537815,,0.025,0.038461538461538464,0.11538461538461539,0.1935483870967742,0.11428571428571428,,,0.1935483870967742,0.6666666666666666,0.6666666666666666,0.5,0.0967741935483871,0.6666666666666666,0.6666666666666666,,,,,,0.2903225806451613,0.6666666666666666,0.6666666666666666,1.0,0.41935483870967744,0.3076923076923077,0.3076923076923077,0.75,,,,0.125,1.0,0.375,0.3333333333333333,0.375,0.3333333333333333,0.9032258064516129,0.3076923076923077,0.5400258064516129,0.54525,0.54599375,0.11764705882352941,0.25,0.1276595744680851,0.2127659574468085,2.7777777777777777,24.595454545454547,0.28040540540540543,,,,,2.0,,3.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,0.42857142857142855,,,,1.0,,,,,,1.0,,1.0,,,0.045454545454545456,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,
202714,1610612762,Shelvin Mack,Shelvin Mack,202714,UTA,1737.0,29.0,-14.0,55.0,57.0,19.0,20.0,3.0,112.0,2.0,4.0,1.0,2.0,,2.0,,1.0,,,,,,1.0,,,,1.0,2.0,7.0,,1.0,,4.0,70.0,,,,,,1.0,3.0,,1.0,,2.0,2.0,2.0,,,1.0,,3.0,,,,,,,,,,2.0,1.0,3.0,,3.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,2.0,2.0,,,,,,2.0,19.0,,,0.5,0.5,,,,,,0.2857142857142857,0.3333333333333333,0.25,,0.25,0.25,,0.25,0.125,0.42857142857142855,0.25,1.0,15.0,1.0,0.1111111111111111,,0.125,0.12,,,,0.5,,,,0.2857142857142857,,0.5,0.5,0.6666666666666666,0.5,0.25,,,,0.125,,,,,,,,0.125,,,,,,,0.5,0.5,,,0.25,,0.625,,0.48605,,0.48869999999999997,,,,0.5,5.6000000000000005,26.7,0.34545454545454546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
203497,1610612762,Rudy Gobert,Rudy Gobert,203497,UTA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
