EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFGM,FG2M,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,Fg2Pct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,FtPoints,PenaltyFtPoints,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,DeadBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,DefThreePtReboundPct,DefCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceCorner3Frequency,SecondChancePointsPct,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,PenaltyAtRimFGM,PenaltyFG2M,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyAtRimAccuracy,LongMidRangePctBlocked,OffThreePtRebounds,LostBallSteals,Charge Fouls,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,Charge Fouls Drawn,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,on,Loose Ball Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct
1626173,1610612749,Rashad Vaughn,Rashad Vaughn,1626173,MIL,628.0,10,-8.0,21,21,9.0,21.0,42,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,24,1.0,6.0,2.0,2.0,9.0,1.0,1.0,1.0,0.75,0.75,0.5,19.047619047619047,0.25,0.25,0.5,1.0,1.0,1.0,0.5,1.0,0.354075,0.3766,11.65,26.75,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1627748,1610612749,Thon Maker,Thon Maker,1627748,MIL,254.0,4,-6.0,8,9,4.0,8.0,17,,,,,,,,,13,,,,,4.0,,,,,,,12.5,,,,,,,,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.16666666666666666,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1627763,1610612749,Malcolm Brogdon,Malcolm Brogdon,1627763,MIL,483.0,8,-5.0,16,17,6.0,14.0,33,,1.0,,1.0,1.0,,1.0,2.0,20,,,1.0,,6.0,,,,0.5,0.5,0.5,12.5,,0.5,0.5,,,,0.5,,0.4444,,19.0,27.4,0.375,1.0,1.0,1.0,,,,,,,,,,0.25,0.2,,,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201563,1610612749,Michael Beasley,Michael Beasley,201563,MIL,2887.0,48,4.0,92,91,28.0,27.0,183,6.0,3.0,2.0,3.0,15.0,3.0,5.0,17.0,80,2.0,9.0,3.0,2.0,28.0,1.0,0.6,0.6,0.425,0.38636363636363635,0.25,23.300970873786408,0.3,0.15,0.15,0.6666666666666666,0.6666666666666666,1.0,0.55,0.6666666666666666,0.47364750000000005,0.438825,7.5,24.419999999999998,0.30434782608695654,6.0,7.0,9.0,2.0,1.0,2.0,,1.0,1.0,1.0,,1.0,0.18181818181818182,0.13636363636363635,0.11764705882352941,,2.0,4.0,2.0,1.0,,1.0,,,1.0,2.0,0.26666666666666666,0.3,0.6666666666666666,0.6666666666666666,7.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,6.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,8.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,0.75,0.75,0.5,0.375,0.3,0.26666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.05405405405405406,0.044444444444444446,0.13333333333333333,0.16666666666666666,0.125,0.3,0.16666666666666666,0.3333333333333333,1.0,0.16666666666666666,0.2,1.0,0.5,0.1,0.5,0.5,1.0,1.0,0.5,0.5,0.6319,0.047619047619047616,0.0625,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203521,1610612749,Matthew Dellavedova,Matthew Dellavedova,203521,MIL,2416.0,40,11.0,77,74,23.0,14.0,151,5.0,2.0,1.0,2.0,8.0,1.0,2.0,11.0,60,,3.0,2.0,1.0,23.0,1.0,0.5,0.5,0.45,0.5,0.2,17.045454545454547,0.5,0.2,0.2,0.5,0.5,1.0,0.3,0.5,0.44937000000000005,0.52215,9.787500000000001,26.35,0.2987012987012987,2.0,3.0,3.0,1.0,1.0,4.0,2.0,,,,,0.25,0.06896551724137931,0.07692307692307693,0.07142857142857142,,1.0,3.0,4.0,2.0,3.0,5.0,2.0,1.0,,13.0,0.375,0.1111111111111111,0.5,0.5,7.0,1.0,1.0,,1.0,,,,1.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,2.0,3.0,1.0,,2.0,1.0,,,2.0,,0.3333333333333333,0.3333333333333333,,,0.5,0.125,,0.2,,,,,,,0.1,1.0,1.0,,0.2,0.25,,1.0,,,,,,1.0,,,0.09090909090909091,0.1111111111111111,0.18181818181818182,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.1,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612749,Jason Terry,Jason Terry,1891,MIL,1620.0,27,-5.0,51,51,5.0,13.0,102,1.0,,,1.0,2.0,,2.0,2.0,49,,,1.0,,5.0,,,,0.25,0.25,0.5,8.474576271186441,0.25,,0.25,,,,0.75,,0.557375,,4.1,25.35,0.09803921568627451,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,0.037037037037037035,,,,1.0,,,,,,,,,0.5,,,,4.0,,1.0,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.25,,,,1.0,1.0,1.0,,0.25,,,,,,,0.475825,,,,,,,,1.0,,,,,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203503,1610612749,Tony Snell,Tony Snell,203503,MIL,988.0,16,11.0,32,31,17.0,8.0,63,,,,,1.0,1.0,3.0,3.0,20,1.0,3.0,,,17.0,1.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.75,11.428571428571429,,,,,,,1.0,,0.672375,0.754275,0.1,23.599999999999998,0.53125,,1.0,1.0,,,,,,,,,,,0.0625,,,,,,1.0,,1.0,,,1.0,2.0,,,,,3.0,,1.0,,,1.0,3.0,,,,1.0,1.0,3.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,3.0,,,,1.0,0.75,0.75,1.0,1.0,,,,,,,,0.25,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,,1.0,,,,,1.0,,,,,0.2,0.2,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201150,1610612749,Spencer Hawes,Spencer Hawes,201150,MIL,315.0,5,-3.0,11,11,,8.0,22,,,,,,,,,13,,,,,,,,,,,,9.090909090909092,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,0.3333333333333333,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203089,1610612749,John Henson,John Henson,203089,MIL,166.0,3,-2.0,5,5,5.0,5.0,10,,,,,2.0,,,3.0,5,2.0,,,,5.0,,,,0.5,0.75,,60.0,,,,,,,1.0,,0.38565,0.38565,3.3,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,0.5,,,,,1.0,2.0,,,,,,,,,,3.0,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,3.0,,1.0,1.0,,0.5,0.75,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,0.5,0.5,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203141,1610612749,Mirza Teletovic,Mirza Teletovic,203141,MIL,166.0,3,-2.0,5,5,5.0,5.0,10,,,,,,,,,5,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
