EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted3s,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallTurnovers,ShootingFouls,Fouls,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,AtRimAssists,DeadBallTurnovers,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGM,LongMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,Travels,PenaltyTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,OffCorner3ReboundPct,on,HeaveAttempts,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,RecoveredBlocks,BlocksRecoveredPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallSteals,BlockingFouls,3SecondViolations,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,PenaltyFg3Pct,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,PtsUnassisted3s,SelfOReb,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SelfORebPct,ThreePtShootingFoulsDrawnPct,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,Offensive Fouls Drawn,LongMidRangePctBlocked
1626166,1610612741,Cameron Payne,Cameron Payne,1626166,CHI,251.0,4.0,3.0,9,9,1.0,1.0,18,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,30.0,1.0,0.3333333333333333,0.2,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.45725,0.3544,20.1,23.4,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626171,1610612741,Bobby Portis,Bobby Portis,1626171,CHI,1265.0,21.0,6.0,43,42,17.0,7.0,85,1.0,,,5.0,,1.0,2.0,34.0,1.0,,1.0,5.0,7.0,1.0,,1.0,17.0,,,,0.16666666666666666,0.16666666666666666,0.16666666666666666,13.72549019607843,1.0,0.09090909090909091,0.18181818181818182,0.25,0.16666666666666666,,,,,0.5,0.4393833333333333,0.4572,8.6,24.9,0.3953488372093023,8.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.5,0.5,0.2,0.5,1.0,0.13333333333333333,0.2727272727272727,0.08695652173913043,0.25,0.2,0.25,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,0.16666666666666666,1.0,0.5,0.5,0.4868,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627756,1610612741,Denzel Valentine,Denzel Valentine,1627756,CHI,1324.0,22.0,6.0,45,44,19.0,7.0,89,1.0,,1.0,2.0,1.0,4.0,5.0,34.0,,3.0,3.0,8.0,8.0,1.0,1.0,2.0,19.0,1.0,0.25,0.25,0.4166666666666667,0.4166666666666667,0.6666666666666666,15.094339622641508,0.5,0.2727272727272727,0.3333333333333333,,0.16666666666666666,0.16666666666666666,,,,0.8333333333333334,0.51145,0.5235,11.35,25.25,0.4222222222222222,10.0,1.0,1.0,,,,3.0,1.0,1.0,,,3.0,1.0,,,3.0,,1.0,2.0,,5.0,,5.0,,,,,,,1.0,0.5,,0.75,0.75,,,,,0.38461538461538464,,,,0.375,0.4,0.16666666666666666,1.0,1.0,,0.5,,,1.0,0.50655,0.6,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201627,1610612741,Anthony Morrow,Anthony Morrow,201627,CHI,479.0,8.0,-1.0,16,16,5.0,3.0,32,1.0,,,3.0,,,4.0,15.0,1.0,,,,,,,,5.0,,,,0.6666666666666666,0.6666666666666666,,15.789473684210526,,,,,0.3333333333333333,,,,,,0.3943666666666667,0.388,11.233333333333334,,0.3125,3.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,4.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203530,1610612741,Joffrey Lauvergne,Joffrey Lauvergne,203530,CHI,1064.0,18.0,10.0,37,36,14.0,5.0,73,1.0,,,4.0,,1.0,8.0,26.0,2.0,,2.0,3.0,6.0,,,1.0,14.0,,,,0.2,0.5,0.2,20.930232558139537,,0.2,0.14285714285714285,,0.2,,,,,0.6,0.56792,0.74135,6.3,24.7,0.3783783783783784,6.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,,,,1.0,1.0,3.0,4.0,1.0,9.0,2.0,1.0,,3.0,,,,,,0.25,,,0.3333333333333333,0.25,,,0.18181818181818182,0.09090909090909091,0.17647058823529413,,,0.125,,0.4,0.5,0.5,0.2,0.2,0.5,,,0.4499,0.25,,,,,,2.0,,1.0,,1.0,1.0,4.0,,,,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,1.0,2.0,6.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,4.0,1.0,0.5,0.5,0.6666666666666666,1.0,0.16666666666666666,0.4,0.2,1.0,0.5,0.2857142857142857,0.3333333333333333,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626170,1610612741,Jerian Grant,Jerian Grant,1626170,CHI,341.0,6.0,5.0,13,13,10.0,1.0,26,1.0,,1.0,2.0,,1.0,4.0,8.0,2.0,,,1.0,1.0,1.0,1.0,1.0,10.0,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,26.666666666666668,1.0,,0.16666666666666666,,0.3333333333333333,0.3333333333333333,,,,0.6666666666666666,0.5146333333333334,0.5146333333333334,11.65,23.3,0.7692307692307693,4.0,1.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,0.25,,,,1.0,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,4.0,,,,,1.0,,,,,,4.0,,1.0,0.6666666666666666,0.6666666666666666,,,,,0.3333333333333333,1.0,,,1.0,1.0,0.3333333333333333,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203487,1610612741,Michael Carter-Williams,Michael Carter-Williams,203487,CHI,824.0,14.0,9.0,27,27,12.0,4.0,54,,,,6.0,,1.0,10.0,17.0,2.0,,,,,1.0,1.0,1.0,12.0,,,,0.5714285714285714,0.5555555555555556,0.14285714285714285,31.25,1.0,,,,,,,,,0.42857142857142855,0.43549999999999994,0.40835,5.433333333333334,23.9,0.4444444444444444,6.0,2.0,2.0,,,4.0,1.0,,4.0,,,,,8.0,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,0.2857142857142857,1.0,1.0,0.5714285714285714,0.14285714285714285,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,2.0,,0.5,0.5,,,,,1.0,1.0,2.0,,2.0,1.0,5.0,,,,,,,,4.0,2.0,,5.0,,1.0,1.0,0.8333333333333334,,,,,0.5,1.0,0.2222222222222222,0.25,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626245,1610612741,Cristiano Felicio,Cristiano Felicio,1626245,CHI,32.0,1.0,,1,1,1.0,,2,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200765,1610612741,Rajon Rondo,Rajon Rondo,200765,CHI,32.0,1.0,,1,1,1.0,,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627835,1610612741,Paul Zipser,Paul Zipser,1627835,CHI,732.0,12.0,-2.0,23,22,8.0,5.0,45,2.0,,,2.0,,,,19.0,,,,1.0,2.0,,,,8.0,,,,,,,7.142857142857142,,,0.07692307692307693,,1.0,,,,,,0.3785,,20.85,,0.34782608695652173,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.14285714285714285,0.0625,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.25,,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
