EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted3s,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Corner3Assists,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,PenaltyFtPoints,Travels,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,HeaveAttempts,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,LostBallSteals,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,FTOffRebounds,BlockingFouls,PenaltyFg3Pct,OffFTReboundPct,PenaltyArc3Accuracy,PtsUnassisted3s,SelfOReb,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SelfORebPct,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,LostBallOutOfBoundsTurnovers,on,3SecondViolations,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,BlockedArc3
1626166,1610612741,Cameron Payne,Cameron Payne,1626166,CHI,251.0,4,3.0,9,9,1.0,1.0,18,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,30.0,1.0,0.3333333333333333,0.2,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.45725,0.3544,20.1,23.4,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1626171,1610612741,Bobby Portis,Bobby Portis,1626171,CHI,7245.0,121,-10.0,236,237,59.0,19.0,473,8.0,3.0,6.0,20.0,6.0,13.0,40.0,251.0,4.0,18.0,16.0,31.0,36.0,3.0,1.0,6.0,57.0,1.0,0.46153846153846156,0.46153846153846156,0.6060606060606061,0.6060606060606061,0.3939393939393939,14.942528735632184,0.5,0.26666666666666666,0.23275862068965517,0.3333333333333333,0.24242424242424243,0.18181818181818182,0.5,0.5,1.0,0.6060606060606061,0.4717287878787879,0.4542857142857143,10.495000000000001,24.376923076923074,0.25,56.0,4.0,7.0,3.0,4.0,1.0,1.0,3.0,5.0,4.0,1.0,2.0,1.0,3.0,7.0,1.0,1.0,2.0,11.0,3.0,4.0,2.0,3.0,12.0,3.0,3.0,6.0,16.0,6.0,6.0,7.0,3.0,1.0,5.0,2.0,7.0,2.0,3.0,1.0,1.0,16.0,1.0,4.0,11.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,10.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,6.0,0.7272727272727273,1.0,0.6666666666666666,0.55,0.75,0.75,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.05,0.14285714285714285,0.8,0.058823529411764705,0.19642857142857142,0.03225806451612903,0.050505050505050504,0.07692307692307693,0.125,0.05,0.28,0.17647058823529413,0.1702127659574468,0.3333333333333333,1.0,0.21212121212121213,0.5714285714285714,0.6666666666666666,0.25,0.15151515151515152,0.6,0.6,1.0,0.5,0.5,1.0,0.21212121212121213,0.42857142857142855,0.42857142857142855,1.0,0.5714285714285714,0.75,0.2857142857142857,0.5,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.52357,0.3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1627756,1610612741,Denzel Valentine,Denzel Valentine,1627756,CHI,1265.0,21,6.0,43,42,17.0,7.0,85,1.0,,1.0,2.0,1.0,4.0,5.0,34.0,,3.0,3.0,8.0,8.0,1.0,1.0,2.0,17.0,1.0,0.25,0.25,0.4166666666666667,0.4166666666666667,0.6666666666666666,15.686274509803921,0.5,0.2727272727272727,0.36363636363636365,,0.16666666666666666,0.16666666666666666,,,,0.8333333333333334,0.51145,0.5235,11.35,25.25,0.3953488372093023,8.0,1.0,1.0,,,,,,,,,,,1.0,3.0,1.0,2.0,1.0,1.0,,,1.0,2.0,3.0,,1.0,,2.0,,,3.0,1.0,,1.0,1.0,2.0,,1.0,,,5.0,,,5.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.5,0.5,,,0.75,,0.75,,,,,,0.45454545454545453,,,,,,0.3333333333333333,0.5,0.375,0.6666666666666666,,0.16666666666666666,1.0,1.0,1.0,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,0.5,1.0,,,,1.0,0.3333333333333333,0.50655,0.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
201627,1610612741,Anthony Morrow,Anthony Morrow,201627,CHI,1068.0,18,3.0,37,36,6.0,4.0,73,4.0,,,6.0,,,10.0,33.0,,,1.0,3.0,3.0,,,,6.0,,,,0.6666666666666666,0.7142857142857143,,17.073170731707318,,0.1111111111111111,0.1875,0.3333333333333333,0.6666666666666666,,,,,,0.4003833333333333,,14.0,,0.16216216216216217,2.0,,,,,,,1.0,2.0,3.0,,,,,,,,,4.0,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,2.0,,,,,,0.75,0.75,,0.6666666666666666,,,,,,,,,,,0.2857142857142857,,,,,,,,,0.6666666666666666,,,,,,0.3333333333333333,0.5,0.5,1.0,0.75,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
203530,1610612741,Joffrey Lauvergne,Joffrey Lauvergne,203530,CHI,1428.0,24,11.0,47,46,17.0,6.0,93,1.0,,1.0,6.0,,2.0,12.0,40.0,3.0,,2.0,3.0,6.0,,,1.0,17.0,,,,0.375,0.5454545454545454,0.25,22.22222222222222,,0.16666666666666666,0.11538461538461539,,0.125,0.125,,,,0.625,0.51995,0.6372666666666666,5.516666666666667,24.4,0.3617021276595745,11.0,2.0,3.0,,1.0,2.0,3.0,1.0,2.0,,,,,,1.0,,,,3.0,,2.0,,,2.0,2.0,,6.0,6.0,,,1.0,,1.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,11.0,1.0,2.0,1.0,,3.0,,,1.0,,,,1.0,,,,,5.0,,,,,6.0,1.0,1.0,,0.5,,0.6666666666666666,,0.6666666666666666,0.3333333333333333,0.75,0.16666666666666666,,,0.15384615384615385,0.07142857142857142,0.125,0.14285714285714285,,,0.16666666666666666,0.2,0.3333333333333333,0.1,,,0.375,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5,1.0,1.0,,,,0.125,,,,0.5,,,,,,,,1.0,0.6666666666666666,,,,0.4499,0.16666666666666666,0.5,,6.0,6.0,2.0,0.2,0.25,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1626170,1610612741,Jerian Grant,Jerian Grant,1626170,CHI,1597.0,27,8.0,52,54,23.0,4.0,106,3.0,,1.0,7.0,1.0,6.0,10.0,50.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,21.0,1.0,0.16666666666666666,0.2,0.34615384615384615,0.38461538461538464,0.46153846153846156,26.666666666666668,0.6666666666666666,0.06666666666666667,0.1111111111111111,,0.23076923076923078,0.07692307692307693,,,,0.6153846153846154,0.46227916666666674,0.47048000000000006,11.314285714285715,32.36666666666667,0.4423076923076923,22.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,5.0,,1.0,1.0,3.0,,,,1.0,,2.0,2.0,4.0,6.0,,,4.0,1.0,,2.0,1.0,3.0,1.0,,1.0,1.0,7.0,,,2.0,,,1.0,1.0,1.0,,,,2.0,,1.0,,,1.0,,,,,4.0,1.0,1.0,,0.42857142857142855,,0.5,,0.3333333333333333,,0.3333333333333333,,,,,0.16666666666666666,,,,,,0.2,,0.25,,,0.15384615384615385,1.0,1.0,1.0,0.15384615384615385,,,,0.3333333333333333,0.3333333333333333,1.0,0.38461538461538464,0.2,0.2,1.0,,,,,,1.0,,,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.25,,,0.4,,1.0,1.0,1.0,0.07692307692307693,0.14285714285714285,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1626245,1610612741,Cristiano Felicio,Cristiano Felicio,1626245,CHI,3265.0,54,-10.0,106,110,15.0,6.0,216,,,,9.0,,,13.0,119.0,1.0,,7.0,11.0,14.0,2.0,,5.0,15.0,,,,0.6666666666666666,0.65,,13.043478260869566,0.4,0.21875,0.21568627450980393,0.1111111111111111,,,,,,0.8888888888888888,0.6325333333333334,0.5858,2.2333333333333334,,0.14150943396226415,20.0,6.0,8.0,,2.0,,1.0,,1.0,,,,,,,,,,6.0,,2.0,,,1.0,,,1.0,12.0,,,,,,,,,,,,,,2.0,1.0,4.0,,3.0,3.0,2.0,3.0,2.0,,,,4.0,9.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,0.6666666666666666,,,,,0.16666666666666666,0.25,,,,0.034482758620689655,0.21052631578947367,0.2222222222222222,0.07894736842105263,0.08333333333333333,,0.125,0.3076923076923077,0.2,0.23529411764705882,,1.0,0.8888888888888888,0.75,0.75,1.0,0.1111111111111111,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,0.5313,0.07692307692307693,0.07692307692307693,,1.0,2.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,
1627835,1610612741,Paul Zipser,Paul Zipser,1627835,CHI,4992.0,83,-14.0,157,159,32.0,14.0,316,5.0,,2.0,11.0,4.0,9.0,26.0,171.0,2.0,12.0,5.0,11.0,13.0,3.0,3.0,5.0,32.0,1.0,0.4444444444444444,0.4444444444444444,0.5,0.5652173913043478,0.45,15.909090909090908,0.6,0.125,0.14473684210526316,0.23076923076923078,0.25,0.1,,,,0.7,0.4836150000000001,0.473075,10.663636363636364,25.222222222222225,0.20382165605095542,39.0,3.0,5.0,,,,1.0,1.0,1.0,,,,,4.0,7.0,,,2.0,4.0,,,,,,1.0,2.0,5.0,4.0,4.0,,7.0,4.0,,,,,,,,,,1.0,,6.0,,2.0,1.0,1.0,2.0,,,,,3.0,7.0,,,5.0,1.0,1.0,1.0,1.0,5.0,0.5,0.5,,0.36363636363636365,,0.5,,0.625,,0.625,,,,,0.16666666666666666,0.05,0.013888888888888888,,,0.07142857142857142,0.07142857142857142,0.07692307692307693,0.17142857142857143,,1.0,0.25,0.6,0.6,0.3333333333333333,0.05,1.0,1.0,1.0,,,,0.35,0.5714285714285714,0.5714285714285714,1.0,,,,,,,,,0.25,,,0.5,0.5714285714285714,,,0.19230769230769232,,6.0,6.0,3.0,0.13043478260869565,0.21428571428571427,,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.2,0.5,,,,,,,,,,True,,,,,,,,,
202710,1610612741,Jimmy Butler,Jimmy Butler,202710,CHI,4562.0,76,-17.0,150,150,47.0,11.0,300,11.0,,,32.0,3.0,7.0,67.0,170.0,11.0,6.0,4.0,11.0,14.0,6.0,3.0,9.0,45.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.5256410256410257,0.6442307692307693,0.1794871794871795,36.96969696969697,0.6666666666666666,0.12121212121212122,0.15714285714285714,0.25,0.28205128205128205,,,,,0.5128205128205128,0.42360256410256414,0.43149999999999994,9.084374999999998,25.557142857142857,0.31333333333333335,51.0,7.0,13.0,,1.0,3.0,6.0,5.0,8.0,4.0,,,,3.0,7.0,,,3.0,16.0,1.0,2.0,,,3.0,6.0,3.0,25.0,2.0,30.0,,7.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,,,9.0,1.0,2.0,7.0,,3.0,4.0,3.0,3.0,3.0,,,3.0,1.0,4.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,22.0,0.0625,0.0625,,0.5,0.5,0.5454545454545454,0.5,0.42857142857142855,0.5,0.5681818181818182,0.0625,0.07692307692307693,,0.04878048780487805,0.1891891891891892,0.05555555555555555,0.05084745762711865,0.1,,0.1111111111111111,0.05555555555555555,0.14285714285714285,0.21212121212121213,,1.0,0.3333333333333333,0.5384615384615384,0.5833333333333334,,0.20512820512820512,0.625,0.7142857142857143,,0.36363636363636365,0.36363636363636365,0.25,0.1794871794871795,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5,,,,,,,,0.42857142857142855,0.5,,0.21428571428571427,0.42857142857142855,0.45375,0.04477611940298507,0.373134328358209,,26.0,31.0,10.0,0.24489795918367346,0.25,1.0,13.0,,,,3.0,1.0,0.125,,,1.0,,2.0,1.0,,,,,,,,,,3.0,2.0,2.0,1.0,2.0,0.13333333333333333,0.2222222222222222,,,True,,,,,,,,,
2548,1610612741,Dwyane Wade,Dwyane Wade,2548,CHI,3252.0,54,-6.0,106,106,17.0,7.0,212,7.0,,,17.0,,3.0,14.0,115.0,,,4.0,7.0,8.0,4.0,2.0,6.0,15.0,,,,0.3,0.3333333333333333,0.15,23.68421052631579,0.6666666666666666,0.11428571428571428,0.12280701754385964,,0.35,,,,,0.45,0.4563675,0.50025,9.499999999999998,25.366666666666664,0.16037735849056603,15.0,1.0,6.0,1.0,1.0,,,2.0,4.0,3.0,,,,,3.0,,,1.0,6.0,1.0,1.0,,,2.0,,1.0,,2.0,10.0,,3.0,,2.0,7.0,4.0,11.0,1.0,3.0,2.0,2.0,26.0,1.0,,3.0,,1.0,,,2.0,2.0,,,2.0,1.0,3.0,1.0,,3.0,2.0,2.0,2.0,1.0,,0.16666666666666666,0.16666666666666666,,0.35294117647058826,1.0,,1.0,,1.0,,0.11764705882352941,0.3333333333333333,,,0.13636363636363635,0.07692307692307693,0.023255813953488372,,,,0.13333333333333333,0.18181818181818182,0.17647058823529413,,0.5,0.3,0.16666666666666666,0.25,,0.2,0.5,0.5,,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.15,,,,1.0,1.0,,,,,,,,,,1.0,,,0.14285714285714285,,3.0,2.0,2.0,1.0,0.047619047619047616,0.05555555555555555,,,,,,,,,,,1.0,,,,1.0,0.2,,,,,,,,,,,,,,,,,True,,,,,,,,,
