EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,Fg2aBlocked,ThreePtAssists,Corner3Assists,FG2APctBlocked,AtRimPctBlocked,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Fg3aBlocked,Arc3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,FG3APctBlocked,Arc3PctBlocked,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,BadPassSteals,ShootingFouls,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimAssists,ShortMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,LiveBallTurnoverPct,DefFTReboundPct,DefAtRimReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,OffRebounds,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyFG3M,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyArc3Accuracy,OffTwoPtRebounds,PenaltyTurnovers,3SecondViolations,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceFG2A,BlockingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,FTOffRebounds,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,SelfOReb,Travels,SecondChanceTurnovers,Charge Fouls Drawn,SelfORebPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedLongMidRange
202323,1610612757,Evan Turner,Evan Turner,202323,POR,1000.0,17,8,33,33,66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,8.0,29,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,0.875,0.6666666666666666,0.5,17.64705882352941,0.09090909090909091,0.1,0.09523809523809523,0.3333333333333333,0.1111111111111111,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.75,0.5950124999999999,0.3333333333333333,0.5,6.2,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202329,1610612757,Al-Farouq Aminu,Al-Farouq Aminu,202329,POR,376.0,6,6,14,13,27,2.0,3.0,,,,,1.0,3.0,5.0,,1.0,,6.0,10,4.0,2.0,,1.0,,1.0,,3.0,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,0.6,0.5,0.5,0.16666666666666666,42.857142857142854,,,,,,0.5,0.6666666666666666,1.0,0.5,,,,,,,,0.16666666666666666,0.6666666666666666,0.568475,,,7.539999999999999,26.8,1.0,2.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203081,1610612757,Damian Lillard,Damian Lillard,203081,POR,603.0,10,-1,21,20,41,,,1.0,1.0,,,3.0,1.0,1.0,,3.0,,2.0,20,2.0,,,3.0,,1.0,,3.0,1.0,1.0,2.0,2.0,,,1.0,,,1.0,1.0,,,,1.0,0.25,0.25,0.75,22.727272727272727,0.125,0.14285714285714285,0.13333333333333333,,0.16666666666666666,,,,,0.25,1.0,1.0,,,,,0.75,0.75,0.474875,,,5.3,26.133333333333336,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203468,1610612757,CJ McCollum,CJ McCollum,203468,POR,1000.0,17,8,33,33,66,1.0,1.0,1.0,2.0,,,4.0,3.0,5.0,3.0,4.0,,15.0,29,,6.0,6.0,4.0,,,,,1.0,,1.0,1.0,2.0,,,,,,,0.6666666666666666,0.75,0.75,0.6,0.8333333333333334,0.8333333333333334,0.4444444444444444,29.41176470588235,,0.1,0.047619047619047616,,0.1111111111111111,0.1111111111111111,1.0,1.0,,0.2222222222222222,0.5,0.5,,,,,0.4444444444444444,0.5555555555555556,0.47548888888888885,,,12.3,25.725,1.0,2.0,1.0,,,0.2,,0.2222222222222222,0.5,1.0,,,,1.0,1.0,1.0,1.0,,,,,,3.0,3.0,3.0,2.0,1.0,0.5,0.75,0.75,0.6666666666666666,0.75,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203994,1610612757,Jusuf Nurkic,Jusuf Nurkic,203994,POR,1000.0,17,8,33,33,66,,1.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,,2.0,29,,2.0,,1.0,3.0,4.0,,9.0,3.0,7.0,11.0,11.0,,,,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,17.64705882352941,0.6363636363636364,0.3,0.47619047619047616,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.6666666666666666,0.48983333333333334,,,4.05,27.8,,,,1.0,1.0,,,,,,,,,,,3.0,1.0,,,,0.8,,,,,,1.0,,,,,,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203459,1610612757,Allen Crabbe,Allen Crabbe,203459,POR,397.0,7,9,12,13,25,,,,,1.0,1.0,,,,1.0,1.0,1.0,4.0,9,,,3.0,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.5,2.0,1.0,8.333333333333334,,0.3333333333333333,0.16666666666666666,,0.3333333333333333,,,,,,,,1.0,1.0,1.0,1.0,,1.0,0.58905,1.0,,,24.6,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203090,1610612757,Maurice Harkless,Maurice Harkless,203090,POR,624.0,10,2,19,20,39,,1.0,,,,,,,1.0,,,,,19,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,1.0,0.6402,,,1.1,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626192,1610612757,Pat Connaughton,Pat Connaughton,1626192,POR,1435.0,24,5,50,48,98,1.0,1.0,1.0,2.0,,1.0,5.0,2.0,3.0,,6.0,3.0,7.0,45,4.0,,,5.0,1.0,4.0,,11.0,3.0,2.0,6.0,7.0,,,2.0,3.0,2.0,1.0,1.0,,,,0.6666666666666666,0.2222222222222222,0.35,0.6666666666666666,18.18181818181818,0.10526315789473684,0.3333333333333333,0.17857142857142858,0.3333333333333333,0.25,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,0.1111111111111111,,,,0.5555555555555556,0.7777777777777778,0.4803777777777778,0.2,0.5,7.599999999999999,25.483333333333334,,,,3.0,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,0.3333333333333333,,,,,False,23.0,34.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,7.0,1.0,1.0,1.0,7.0,23.0,1.0,0.5,0.7,0.07142857142857142,0.04,0.08333333333333333,1.0,0.25,1.0,0.5,0.47998749999999996,1.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627774,1610612757,Jake Layman,Jake Layman,1627774,POR,958.0,16,3,31,31,62,1.0,2.0,,,,,1.0,1.0,3.0,1.0,1.0,1.0,6.0,29,2.0,,3.0,1.0,,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.6,0.25,15.625,,0.14285714285714285,0.043478260869565216,,0.16666666666666666,0.5,0.5,1.0,1.0,,,,,,,,0.25,0.75,0.4624125,0.2,0.25,8.333333333333334,25.2,,1.0,1.0,1.0,,0.3333333333333333,0.5,0.25,,,,,1.0,,,,2.0,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,False,14.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,,,,5.0,14.0,1.0,1.25,1.25,,,,,0.5,1.0,0.5,0.520625,0.8333333333333334,0.45161290322580644,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627817,1610612757,Tim Quarterman,Tim Quarterman,1627817,POR,427.0,7,4,14,14,28,,,,,,,2.0,,,1.0,2.0,,3.0,14,,,3.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,,1.0,0.5,0.5,,0.75,0.75,1.0,14.285714285714285,,,,,,,,,,,,,,,,,1.0,1.0,0.52755,,,,25.45,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,0.5,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,False,14.0,14.0,,,,2.0,,,2.0,,3.0,,,,3.0,14.0,,0.75,0.75,,,,,,,1.0,0.52755,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
