EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PenaltyFtPoints,Fg2aBlocked,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGA,Arc3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,HeaveAttempts,ShortMidRangeAssists,BlockingFouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,Fg3aBlocked,Travels,Charge Fouls Drawn,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,3SecondViolations,on,SecondChanceAtRimPctAssisted
101139,1610612754,CJ Miles,CJ Miles,101139,IND,3138.0,52,-16.0,105,108,34,31,14.0,213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,2.0,8.0,2.0,14.0,134,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,6.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,7,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,34,0.6666666666666666,1.0,1.0,0.25,0.5,0.25,0.75,1.0,0.5,0.5,0.5,0.625,0.5384615384615384,0.5,0.625,0.6666666666666666,11.2,0.16666666666666666,0.06896551724137931,0.05555555555555555,0.15,0.06382978723404255,0.05555555555555555,0.1875,0.2222222222222222,0.07142857142857142,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5,1.0,0.5,0.25,1.0,0.25,0.25,1.0,0.75,0.5,0.5423541666666667,0.603,0.5676749999999999,0.07692307692307693,0.2,0.14285714285714285,0.35714285714285715,10.075,24.85,0.3238095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
101145,1610612754,Monta Ellis,Monta Ellis,101145,IND,3190.0,53,-10.0,103,107,40,20,12.0,210,1.0,2.0,,,,,2.0,2.0,1.0,3.0,2.0,,,,3.0,,2.0,4.0,7.0,1.0,5.0,2.0,13.0,127,,,,,2.0,4.0,,2.0,6.0,2.0,6.0,3.0,,3.0,,,5.0,,10.0,,3.0,,3.0,6.0,1.0,7,2.0,1.0,3.0,4.0,2.0,,2.0,,1.0,2.0,1.0,,6.0,40,0.25,0.25,1.0,0.2,,0.2,0.5714285714285714,,0.5,0.4583333333333333,,0.3333333333333333,0.5,,0.42857142857142855,0.4166666666666667,14.529914529914532,0.5,,0.2,,0.07692307692307693,0.022727272727272728,,,0.25,0.16666666666666666,0.5,1.0,0.16666666666666666,1.0,1.0,0.5,0.25,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.25,,,,,,,,,,0.3333333333333333,,0.5833333333333334,,0.4971541666666666,,0.42878333333333335,0.07692307692307693,0.125,,0.46153846153846156,10.314285714285713,24.98,0.3883495145631068,1.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.5,0.25,0.034482758620689655,0.08333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1626167,1610612754,Myles Turner,Myles Turner,1626167,IND,6642.0,111,5.0,214,214,55,62,26.0,428,8.0,18.0,1.0,5.0,,4.0,2.0,3.0,5.0,10.0,,,,,5.0,,1.0,15.0,31.0,,5.0,3.0,33.0,242,1.0,6.0,1.0,2.0,1.0,7.0,,1.0,4.0,28.0,2.0,,2.0,5.0,,1.0,2.0,,5.0,1.0,7.0,12.0,1.0,20.0,4.0,24,7.0,4.0,3.0,6.0,3.0,4.0,14.0,1.0,6.0,6.0,2.0,2.0,4.0,55,0.9333333333333333,1.0,,,,,0.4838709677419355,0.16666666666666666,0.14285714285714285,0.4166666666666667,0.14285714285714285,0.125,0.4230769230769231,0.14285714285714285,0.2,0.1388888888888889,18.218623481781375,0.1111111111111111,0.1935483870967742,0.19444444444444445,0.027777777777777776,0.19387755102040816,0.041237113402061855,0.034482758620689655,0.25,0.21428571428571427,0.5,0.4444444444444444,0.5714285714285714,0.08333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2777777777777778,0.5,0.5,1.0,,0.1388888888888889,,,,0.7142857142857143,0.2,,0.5,,,0.125,,0.6388888888888888,,0.5209916666666666,0.5319642857142857,0.51710625,0.05263157894736842,0.06060606060606061,0.06060606060606061,0.12121212121212122,7.74516129032258,25.820000000000004,0.2570093457943925,,2.0,4.0,1.0,1.0,,3.0,3.0,3.0,2.0,,1.0,1.0,,4.0,3.0,5.0,0.12903225806451613,0.2222222222222222,0.5,0.04918032786885246,0.10714285714285714,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.16666666666666666,0.1,0.125,0.11764705882352941,0.6,0.875,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
201952,1610612754,Jeff Teague,Jeff Teague,201952,IND,8545.0,142,-12.0,276,279,86,89,38.0,555,3.0,7.0,,,1.0,1.0,8.0,15.0,2.0,6.0,1.0,,,8.0,16.0,1.0,4.0,13.0,28.0,9.0,17.0,15.0,68.0,320,1.0,1.0,4.0,6.0,5.0,9.0,1.0,4.0,13.0,,26.0,9.0,,15.0,8.0,8.0,25.0,3.0,58.0,,5.0,7.0,1.0,13.0,,13,4.0,3.0,2.0,8.0,2.0,9.0,12.0,,13.0,18.0,8.0,,13.0,86,,,0.3333333333333333,0.5294117647058824,0.25,0.5625,0.4642857142857143,1.0,0.5555555555555556,0.5888888888888889,0.5,0.5,0.6538461538461539,0.5,0.5,0.37777777777777777,18.575851393188856,0.08333333333333333,0.09090909090909091,0.09433962264150944,,0.09230769230769231,,,0.03333333333333333,0.07317073170731707,0.15555555555555556,0.42857142857142855,0.5,0.3333333333333333,0.5333333333333333,0.7272727272727273,,0.13333333333333333,0.3333333333333333,0.4,,0.022222222222222223,0.35555555555555557,0.5,0.5,0.25,,,,0.07692307692307693,1.0,,0.3076923076923077,0.25,0.5333333333333333,0.5333333333333333,0.4587568181818181,0.46428749999999996,0.4248583333333334,0.19230769230769232,0.23529411764705882,0.08823529411764706,0.19117647058823528,7.789285714285713,26.91176470588235,0.3115942028985507,1.0,,6.0,17.0,7.0,4.0,,1.0,6.0,6.0,2.0,1.0,,2.0,3.0,1.0,3.0,0.21428571428571427,0.14285714285714285,0.75,,,1.0,1.0,1.0,4.0,5.0,,,,,,,,,,2.0,,,,0.09090909090909091,0.21428571428571427,0.16666666666666666,,0.6666666666666666,,0.8,1.0,1.0,1.0,18.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,0.25,0.26666666666666666,0.16666666666666666,0.25,0.1111111111111111,,,,,,,,,,,,,,,,,True,
202331,1610612754,Paul George,Paul George,202331,IND,7679.0,128,-22.0,247,246,64,72,34.0,493,4.0,12.0,,2.0,1.0,4.0,3.0,9.0,5.0,16.0,7.0,1.0,5.0,10.0,26.0,1.0,6.0,12.0,37.0,15.0,33.0,15.0,84.0,291,,4.0,5.0,9.0,4.0,10.0,5.0,11.0,28.0,8.0,16.0,27.0,,26.0,10.0,8.0,19.0,4.0,46.0,2.0,9.0,9.0,1.0,19.0,4.0,23,7.0,7.0,5.0,12.0,4.0,2.0,10.0,2.0,14.0,18.0,8.0,,28.0,64,0.3333333333333333,0.3333333333333333,0.6,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.32432432432432434,,0.4,0.4928571428571429,0.5,0.5476190476190477,0.532051282051282,0.5,0.5833333333333334,0.4714285714285714,31.141868512110726,0.1111111111111111,0.1267605633802817,0.19148936170212766,0.043478260869565216,0.15254237288135594,0.03305785123966942,0.029411764705882353,0.17857142857142858,0.16216216216216217,0.17142857142857143,0.3333333333333333,0.4444444444444444,0.12857142857142856,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22857142857142856,0.3125,0.35714285714285715,0.4,0.1,0.37142857142857144,0.38461538461538464,0.4,0.5,0.2222222222222222,,0.1111111111111111,0.19047619047619047,0.25,0.23809523809523808,0.2857142857142857,0.16666666666666666,0.6428571428571429,0.38461538461538464,0.5059664285714286,0.45363571428571425,0.527402380952381,0.1038961038961039,0.18181818181818182,0.10714285714285714,0.3333333333333333,10.683783783783783,25.65757575757576,0.2591093117408907,5.0,5.0,5.0,11.0,7.0,1.0,2.0,,7.0,5.0,1.0,2.0,,2.0,2.0,2.0,2.0,0.13513513513513514,0.25,0.5833333333333334,0.02666666666666667,,0.7142857142857143,0.7142857142857143,0.8,4.0,4.0,1.0,1.0,2.0,1.0,,1.0,,,,2.0,,1.0,1.0,,0.3333333333333333,0.3,0.02857142857142857,1.0,0.25,0.4444444444444444,2.0,3.0,,18.0,,3.0,,1.0,1.0,,,,0.6,,0.125,0.5,,1.0,4.0,1.0,1.0,1.0,1.0,0.030303030303030304,0.038461538461538464,0.05555555555555555,0.043478260869565216,0.08333333333333333,1.0,1.0,1.0,0.8,,True,
203922,1610612754,Glenn Robinson III,Glenn Robinson III,203922,IND,717.0,12,11.0,24,27,17,11,4.0,51,1.0,1.0,,,1.0,1.0,,,,,2.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,1.0,9.0,24,,,1.0,3.0,1.0,1.0,1.0,1.0,6.0,2.0,,6.0,,,,,1.0,,2.0,,1.0,1.0,,2.0,,2,,,,,,,1.0,,1.0,2.0,1.0,,6.0,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.3333333333333333,1.5,1.25,1.125,1.5,1.0,0.6666666666666666,13.793103448275863,,0.2,0.2,,0.2,,,,0.25,0.3333333333333333,1.0,1.0,,,,,,,,,0.6666666666666666,,,,,,,1.0,0.5,1.0,0.5,,,1.0,,0.5166499999999999,0.5766,0.486675,0.25,0.5,0.3333333333333333,0.6666666666666666,3.1,22.5,0.7083333333333334,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,0.5,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,True,
202338,1610612754,Kevin Seraphin,Kevin Seraphin,202338,IND,1903.0,32,-17.0,62,65,31,27,12.0,127,3.0,6.0,1.0,2.0,3.0,4.0,3.0,5.0,,2.0,,,,,,,,6.0,13.0,,,3.0,15.0,78,2.0,3.0,,5.0,4.0,8.0,,,9.0,6.0,6.0,,2.0,,,1.0,2.0,1.0,5.0,,,2.0,,2.0,5.0,7,,,1.0,2.0,2.0,3.0,5.0,,2.0,3.0,2.0,,9.0,31,0.5,0.6,,,,,0.46153846153846156,0.6666666666666666,0.5,0.46153846153846156,0.6666666666666666,0.5,0.5357142857142857,0.8333333333333334,0.5625,,21.05263157894737,,0.13333333333333333,,,0.0625,0.13157894736842105,,,,0.46153846153846156,0.5,0.6,0.38461538461538464,0.6,0.6,0.3333333333333333,0.15384615384615385,,,,,,,,,0.6666666666666666,0.5,,0.5,0.75,,,,0.46153846153846156,,0.5055461538461539,0.6574666666666666,0.48713749999999995,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.6,6.515384615384615,,0.5,,1.0,1.0,1.0,,1.0,5.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,0.07692307692307693,0.16666666666666666,0.5,0.17857142857142858,0.1111111111111111,,,,,,,,1.0,1.0,,,,,,,,,,0.1111111111111111,0.25,,,,0.6666666666666666,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.2222222222222222,0.2,,,,,,,True,
201152,1610612754,Thaddeus Young,Thaddeus Young,201152,IND,7124.0,119,-12.0,226,229,59,67,32.0,455,12.0,22.0,2.0,5.0,2.0,5.0,5.0,9.0,1.0,2.0,3.0,,,,1.0,,1.0,18.0,33.0,1.0,4.0,5.0,44.0,254,3.0,8.0,,7.0,4.0,7.0,,1.0,8.0,30.0,6.0,3.0,4.0,1.0,,3.0,7.0,1.0,17.0,2.0,5.0,3.0,4.0,12.0,18.0,30,7.0,4.0,2.0,4.0,,3.0,9.0,,12.0,10.0,5.0,,8.0,59,0.8333333333333334,0.9375,1.0,0.25,,0.25,0.5454545454545454,0.375,0.5714285714285714,0.527027027027027,0.375,0.5,0.5238095238095238,0.3888888888888889,0.5,0.10810810810810811,17.293233082706767,0.5,0.04477611940298507,0.1111111111111111,0.047619047619047616,0.07142857142857142,0.1565217391304348,0.03333333333333333,0.034482758620689655,0.11764705882352941,0.5945945945945946,0.5454545454545454,0.631578947368421,0.24324324324324326,0.5555555555555556,0.625,0.8,0.05405405405405406,0.5,0.5,1.0,0.08108108108108109,0.02702702702702703,,,,0.625,0.4,,0.625,0.4,,0.125,,0.7027027027027027,,0.5383459459459459,0.4776625,0.56326875,0.11904761904761904,0.13157894736842105,0.1590909090909091,0.18181818181818182,4.054545454545454,23.975,0.2610619469026549,1.0,,4.0,4.0,2.0,2.0,16.0,3.0,2.0,1.0,,,,,,,,0.12121212121212122,0.13636363636363635,0.5,0.2191780821917808,0.18181818181818182,0.3333333333333333,0.3333333333333333,1.0,,2.0,4.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,0.037037037037037035,0.09090909090909091,0.09090909090909091,0.2857142857142857,,0.8333333333333334,,,,1.0,,,,2.0,1.0,,,,,,0.1111111111111111,,,,,,,,1.0,,,,0.2222222222222222,0.2727272727272727,0.08333333333333333,,,,,1.0,True,
202362,1610612754,Lance Stephenson,Lance Stephenson,202362,IND,3455.0,58,13.0,112,108,35,56,18.0,220,5.0,6.0,,,2.0,2.0,,3.0,3.0,7.0,4.0,,2.0,3.0,5.0,,,8.0,16.0,4.0,9.0,,28.0,119,1.0,2.0,1.0,2.0,2.0,5.0,,2.0,4.0,4.0,12.0,12.0,,5.0,3.0,,2.0,,4.0,,7.0,3.0,1.0,11.0,1.0,12,1.0,1.0,1.0,4.0,,3.0,9.0,,,,,,4.0,35,0.25,0.25,1.0,0.4444444444444444,,0.4444444444444444,0.5,0.5,0.4,0.56,0.3333333333333333,0.2857142857142857,0.56,0.3333333333333333,0.2857142857142857,0.36,21.96969696969697,0.3333333333333333,0.09375,0.25925925925925924,,0.1694915254237288,0.018518518518518517,,0.09090909090909091,0.19047619047619047,0.24,0.8333333333333334,0.8333333333333334,0.12,,,,0.28,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.16,0.2,0.6,0.6,1.0,,,,0.2857142857142857,1.0,0.2857142857142857,,,0.6,0.6,0.5129840000000001,0.39715,0.5173,,,0.07142857142857142,0.14285714285714285,9.54375,24.93333333333333,0.3125,1.0,,,2.0,1.0,,1.0,,3.0,2.0,,,1.0,,,,,,,0.75,0.02564102564102564,,0.25,0.25,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,0.14285714285714285,,0.5,0.07692307692307693,,0.2,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,,,,,,True,
202730,1610612754,Lavoy Allen,Lavoy Allen,202730,IND,332.0,6,,11,12,9,10,,23,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1,,,,1.0,1.0,,,,,,,,,9,,,,,,,,,,,,,,,,,9.090909090909092,,0.3333333333333333,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
