EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,FTOffRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,PenaltyFtPoints,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,ThreePtAssists,Arc3Assists,OffThreePtRebounds,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,Corner3Assists,Offensive Fouls Drawn,BlockingFoulsDrawn,LongMidRangePctAssisted,SecondChanceArc3Frequency,Corner3FGA,FTDefRebounds,DefFTReboundPct,Corner3Frequency,Corner3FGM,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,LongMidRangeAssists,StepOutOfBoundsTurnovers,ShortMidRangeAssists,Travels,ShortMidRangePctAssisted,on,BlockingFouls,BlockedShortMidRange,SecondChanceAtRimPctAssisted,HeaveAttempts,Fg3aBlocked,Charge Fouls Drawn,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,Charge Fouls,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Arc3PctBlocked,Defensive 3 Seconds Violations
101135,1610612759,David Lee,David Lee,101135,SAS,372.0,6,-10,12,12,8.0,3.0,3.0,24,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,17,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,8.0,1.0,1.0,0.3333333333333333,1.0,0.25,1.0,0.4166666666666667,0.25,1.0,0.25,37.5,0.5,0.1111111111111111,0.09090909090909091,0.25,0.5,0.5,0.5,1.0,0.25,0.25,1.0,1.0,1.0,0.75,0.4497875,0.5601,0.4093,0.5,0.6,0.2,0.4,6.633333333333333,27.6,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627749,1610612759,Dejounte Murray,Dejounte Murray,1627749,SAS,2578.0,43,-6,92,89,64.0,39.0,15.0,181,1.0,6.0,1.0,1.0,5.0,3.0,,3.0,16.0,,6.0,12.0,102,1.0,1.0,1.0,2.0,12.0,7.0,,,,,,6.0,6.0,9.0,1.0,3.0,7.0,64.0,,,0.1875,0.16666666666666666,0.1875,0.16666666666666666,0.3,0.25,0.23333333333333334,,21.05263157894737,,,,,0.375,0.16666666666666666,0.2,,0.1875,,1.0,0.4166666666666667,0.2,0.375,0.4551125,0.519,0.4554416666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5833333333333334,7.6937500000000005,,0.6956521739130435,1.0,7.0,1.0,3.0,6.0,2.0,6.0,6.0,6.0,12.0,3.0,3.0,6.0,6.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,7.0,2.0,1.0,2.0,0.125,0.16666666666666666,0.14285714285714285,0.5,0.17647058823529413,0.13043478260869565,0.15,0.18181818181818182,0.3333333333333333,0.10526315789473684,0.25,0.4375,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,522.0,9,-11,18,19,15.0,10.0,3.0,37,,,,,,,2.0,,2.0,2.0,3.0,6.0,27,1.0,,,,2.0,4.0,,2.0,,,,,2.0,3.0,,1.0,4.0,15.0,,,,,0.375,0.375,0.6,,0.5,0.5,23.80952380952381,,,,,,,,,,0.5,,,,0.5,0.434975,0.4344,0.434975,0.4,0.3333333333333333,,0.6666666666666666,8.85,25.6,0.8333333333333334,,2.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,0.5,,,,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203473,1610612759,Dewayne Dedmon,Dewayne Dedmon,203473,SAS,5794.0,97,-26,195,193,93.0,67.0,24.0,388,14.0,20.0,10.0,7.0,10.0,1.0,,14.0,23.0,,17.0,45.0,224,10.0,3.0,11.0,7.0,11.0,26.0,18.0,,12.0,,21.0,47.0,18.0,32.0,,12.0,26.0,93.0,0.6428571428571429,0.8181818181818182,0.6086956521739131,0.6363636363636364,0.6086956521739131,0.6363636363636364,0.5769230769230769,0.36666666666666664,0.6190476190476191,,20.796460176991154,,0.1875,0.23595505617977527,0.2222222222222222,0.8695652173913043,0.7,0.7,0.6428571428571429,0.043478260869565216,,1.0,0.9090909090909091,0.7,0.8695652173913043,0.6906521739130435,0.6407833333333334,0.6489909090909092,0.34285714285714286,0.34285714285714286,0.24444444444444444,0.5777777777777777,2.117391304347826,,0.47692307692307695,,2.0,,12.0,10.0,,2.0,3.0,2.0,7.0,9.0,17.0,26.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,,8.0,2.0,7.0,16.0,4.0,2.0,4.0,,,,0.625,0.32075471698113206,0.225,0.27956989247311825,0.3333333333333333,0.375,0.2,0.4,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,6.0,1.0,1.0,9.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,0.4,0.4,0.36,0.3157894736842105,0.07407407407407407,0.3333333333333333,0.5,0.26666666666666666,0.3333333333333333,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203613,1610612759,Jonathon Simmons,Jonathon Simmons,203613,SAS,2607.0,43,-18,89,86,35.0,28.0,15.0,175,3.0,4.0,,2.0,2.0,4.0,5.0,5.0,11.0,5.0,2.0,18.0,112,,,,3.0,5.0,6.0,4.0,5.0,1.0,,1.0,4.0,3.0,3.0,1.0,2.0,6.0,35.0,0.4,0.4,0.45454545454545453,0.6,0.5,0.6,0.5294117647058824,,0.6,0.3125,17.59259259259259,,0.034482758620689655,0.024390243902439025,,0.25,0.75,0.75,0.3333333333333333,0.25,0.3125,,0.4,1.0,0.5625,0.53553125,0.4848,0.5738,0.11764705882352941,0.16666666666666666,,0.3333333333333333,9.272727272727273,25.58,0.39325842696629215,,3.0,2.0,,6.0,,4.0,7.0,4.0,17.0,2.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,,2.0,,,4.0,,,,,,,0.5,0.045454545454545456,0.14285714285714285,0.08333333333333333,0.06666666666666667,,0.16666666666666666,,0.1875,,,0.5,0.5,2.0,,,2.0,,,3.0,2.0,,,0.5,0.4,,0.4,0.4,0.4,0.5,,,0.4,,,,,3.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,0.1,,,,,,,,1.0,1.0,3.0,2.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203937,1610612759,Kyle Anderson,Kyle Anderson,203937,SAS,3111.0,52,-8,107,105,73.0,54.0,15.0,212,8.0,11.0,3.0,5.0,8.0,4.0,3.0,12.0,18.0,4.0,4.0,31.0,119,3.0,,4.0,9.0,15.0,22.0,8.0,3.0,3.0,,3.0,10.0,3.0,5.0,1.0,3.0,22.0,73.0,0.3333333333333333,0.4,0.6666666666666666,0.6,0.6136363636363636,0.6176470588235294,0.6458333333333334,0.6666666666666666,0.6470588235294118,0.18181818181818182,20.8,,0.09375,0.0625,0.08333333333333333,0.5,0.7272727272727273,0.8,0.5,0.18181818181818182,0.13636363636363635,1.0,0.47058823529411764,0.625,0.6818181818181818,0.5704568181818183,0.6651333333333334,0.5377529411764705,0.125,0.15,0.12903225806451613,0.7096774193548387,5.777777777777779,25.174999999999997,0.6822429906542056,2.0,3.0,2.0,1.0,16.0,1.0,2.0,3.0,2.0,7.0,5.0,1.0,7.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,0.05555555555555555,0.09090909090909091,,0.5,0.03333333333333333,0.19230769230769232,0.10714285714285714,,,0.17391304347826086,0.3333333333333333,0.13636363636363635,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,,0.25,0.5,0.25,0.3333333333333333,0.3333333333333333,,0.11764705882352941,0.5,0.3333333333333333,,2.0,2.0,4.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,0.09090909090909091,0.1111111111111111,,,0.2,,1.0,0.6666666666666666,,,3.0,,,,,,1.0,1.0,0.5,0.045454545454545456,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627854,1610612759,Bryn Forbes,Bryn Forbes,1627854,SAS,2577.0,43,-4,89,90,54.0,42.0,11.0,179,,,,,,3.0,6.0,2.0,5.0,6.0,,10.0,98,,,,2.0,4.0,10.0,,6.0,,,,4.0,,,,,10.0,54.0,,,0.4,0.5,0.45454545454545453,0.5555555555555556,0.45454545454545453,,0.5555555555555556,0.5454545454545454,12.149532710280374,,,,,,,,,0.2727272727272727,0.5454545454545454,,,,0.5454545454545454,0.44782272727272726,,0.45219444444444445,,,,1.0,16.740000000000002,25.5,0.6067415730337079,1.0,2.0,1.0,,4.0,,2.0,2.0,2.0,4.0,1.0,3.0,4.0,,,,2.0,,,,,2.0,1.0,1.0,4.0,,3.0,,,,,1.0,0.11538461538461539,0.04,0.0784313725490196,0.16666666666666666,,0.047619047619047616,,0.18181818181818182,0.5,0.5,0.3333333333333333,0.3333333333333333,2.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,,,0.5,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5555555555555556,0.4,0.3333333333333333,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,1220.0,20,-16,44,43,15.0,10.0,6.0,87,,,,,,5.0,1.0,1.0,5.0,2.0,,5.0,58,,,,1.0,2.0,2.0,,1.0,,,,1.0,3.0,1.0,,,2.0,15.0,,,0.2,0.5,0.35714285714285715,0.5,0.35714285714285715,,0.5,0.2857142857142857,14.0,,,,,,,,,0.7142857142857143,0.14285714285714285,,,,0.2857142857142857,0.40262857142857145,,0.3746,,,,0.4,19.98,24.5,0.3409090909090909,,,1.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,2.0,2.0,,,,,,,,0.1,,0.07142857142857142,,,,,,,,0.2,0.2,,,,1.0,,,3.0,,,,1.0,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,1.0,,,,1.0,,,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202722,1610612759,Davis Bertans,Davis Bertans,202722,SAS,2442.0,41,15,84,81,63.0,48.0,11.0,165,2.0,2.0,,2.0,2.0,1.0,4.0,2.0,4.0,7.0,4.0,17.0,81,,,,2.0,3.0,11.0,4.0,4.0,,,,3.0,4.0,6.0,,,11.0,63.0,1.0,1.0,0.5,0.6666666666666666,0.5909090909090909,0.4375,0.6071428571428571,,0.5,0.6363636363636364,15.463917525773196,,,,,0.18181818181818182,1.0,1.0,1.0,0.09090909090909091,0.36363636363636365,,0.25,1.0,0.8181818181818182,0.5358954545454545,,0.54966875,,,,0.6470588235294118,8.425,24.58571428571429,0.75,,1.0,,4.0,,,,,,,1.0,2.0,3.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,2.0,3.0,1.0,2.0,,,,1.0,0.07142857142857142,0.05,0.0625,0.05,,0.05,,0.09090909090909091,,,,,2.0,1.0,3.0,3.0,1.0,5.0,9.0,2.0,,,1.0,0.42857142857142855,0.2,0.42857142857142855,0.5,0.5,1.0,0.375,0.3333333333333333,0.5,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,0.25,,,,,,,,,,,,3.0,,,0.2727272727272727,1.0,,0.3333333333333333,0.3333333333333333,1.0,2.0,0.25,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200746,1610612759,LaMarcus Aldridge,LaMarcus Aldridge,200746,SAS,2118.0,35,-20,66,68,9.0,9.0,6.0,134,1.0,1.0,1.0,,,8.0,2.0,5.0,12.0,2.0,9.0,19.0,89,1.0,,2.0,,,1.0,2.0,2.0,1.0,,2.0,5.0,5.0,10.0,1.0,4.0,1.0,9.0,0.2,0.25,0.4166666666666667,,0.35714285714285715,,0.5277777777777778,1.0,0.5,0.14285714285714285,29.72972972972973,,0.043478260869565216,0.06896551724137931,,0.07142857142857142,1.0,1.0,,0.5714285714285714,0.14285714285714285,1.0,,,0.21428571428571427,0.4133678571428572,0.4159,,0.2777777777777778,0.26666666666666666,0.10526315789473684,0.05263157894736842,13.958333333333334,25.0,0.13636363636363635,2.0,3.0,2.0,1.0,8.0,,1.0,3.0,,8.0,2.0,1.0,3.0,1.0,1.0,,2.0,,1.0,2.0,,4.0,1.0,2.0,3.0,,,,,,,0.5,0.0625,0.14285714285714285,0.1,0.16666666666666666,,0.18181818181818182,,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.25,0.25,,,,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,0.16666666666666666,,0.07142857142857142,0.2,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
