EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsPutbacks,FTOffRebounds,FTDefRebounds,DefensiveGoaltends,OffensiveGoaltends,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Corner3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,Defensive 3 Seconds Violations,3SecondViolations,on
101114,1610612751,Deron Williams,Deron Williams,101114,BKN,80040.0,1334,103.0,2555,2553,639.0,681,208.0,5108,62,97,1.0,4.0,15.0,22.0,29.0,82.0,57.0,108.0,13.0,34.0,1.0,4.0,2.0,5.0,47.0,143.0,1.0,6.0,5.0,27.0,148,287,60.0,177.0,99.0,575,2664,4.0,12.0,2.0,10.0,3.0,17.0,36.0,78.0,7.0,32.0,45.0,138.0,78.0,218,126.0,54.0,1.0,142.0,47.0,23.0,1.0,154.0,81.0,235.0,61.0,20.0,82.0,30.0,42.0,551.0,4.0,5.0,24.0,64.0,88,9.0,97,4.0,68.0,44.0,24.0,59,15.0,38.0,32.0,6.0,21.0,1.0,1.0,91,5.0,23.0,40.0,2.0,91,3.0,2.0,4.0,111.0,5.0,2.0,8.0,11.0,127.0,10.0,1.0,6.0,46.0,3.0,16.0,9.0,6.0,1.0,2.0,9.0,4.0,136.0,632.0,14.0,14.0,0.2635135135135135,0.2635135135135135,0.7,0.3389830508474576,0.2,0.21875,0.3409090909090909,0.5156794425087108,0.3333333333333333,0.46153846153846156,0.5129310344827587,0.3181818181818182,0.42272727272727273,0.5492277992277992,0.3541666666666667,0.5075187969924813,0.38146551724137934,0.005649717514124294,0.08013937282229965,0.13402061855670103,0.10975609756097561,0.009259259259259259,0.006993006993006993,21.742234916101392,0.6483516483516484,0.07950310559006211,0.007342143906020558,0.06741573033707865,0.00954653937947494,0.07579672695951765,0.008181818181818182,0.004484304932735426,0.012711864406779662,0.0045045045045045045,0.012779552715654952,0.07518796992481203,0.07228915662650602,0.0896551724137931,0.06115107913669065,0.08974358974358974,0.01762114537444934,0.4444444444444444,0.20905172413793102,0.6391752577319587,0.7380952380952381,0.27419354838709675,0.17672413793103448,0.35365853658536583,0.3972602739726027,0.06896551724137931,0.23275862068965517,0.5277777777777778,0.5327102803738317,0.3508771929824561,0.07327586206896551,0.38235294117647056,0.38235294117647056,1.0,0.3081896551724138,0.32867132867132864,0.33098591549295775,0.6170212765957447,0.18181818181818182,0.25,0.18181818181818182,0.25,1.0,0.2727272727272727,0.16666666666666666,1.0,0.2,0.6818181818181818,0.045454545454545456,0.4,0.24545454545454545,0.18518518518518517,0.5905172413793104,0.33098591549295775,0.49739208242950106,0.4880473684210526,0.45351203703703696,0.09760956175298804,0.14241486068111456,0.01675977653631285,0.029565217391304348,0.24,9.903484320557492,25.23163841807909,0.25009784735812135,,,,,,,,,,,,,,,,True
101154,1610612751,Andray Blatche,Andray Blatche,101154,BKN,43553.0,726,74.0,1416,1399,393.0,371,146.0,2815,88,148,27.0,49.0,13.0,28.0,18.0,54.0,32.0,93.0,2.0,6.0,,1.0,,2.0,1.0,8.0,,1.0,1.0,7.0,138,295,3.0,14.0,68.0,353,1435,32.0,56.0,,2.0,8.0,72.0,25.0,65.0,1.0,9.0,21.0,74.0,154.0,122,9.0,,2.0,6.0,1.0,18.0,,20.0,20.0,40.0,11.0,9.0,13.0,3.0,4.0,100.0,12.0,51.0,25.0,83.0,116,64.0,180,6.0,35.0,25.0,10.0,20,4.0,9.0,25.0,3.0,11.0,1.0,12.0,45,3.0,14.0,33.0,1.0,66,,3.0,4.0,81.0,3.0,7.0,2.0,3.0,96.0,10.0,,,45.0,,8.0,16.0,10.0,,6.0,16.0,8.0,71.0,390.0,9.0,6.0,0.5579710144927537,0.6637931034482759,1.0,0.21428571428571427,,0.1111111111111111,0.25,0.46779661016949153,0.5714285714285714,0.38461538461538464,0.46116504854368934,0.5517241379310345,0.3581081081081081,0.5014204545454546,0.5625,0.4157303370786517,0.045307443365695796,,0.061016949152542375,0.10810810810810811,0.037037037037037035,,,25.190355329949238,0.4444444444444444,0.1873589164785553,0.11670480549199085,0.12195121951219512,0.06153846153846154,0.16666666666666666,0.09968354430379747,0.14583333333333334,0.125,0.07801418439716312,0.04827586206896552,0.22297297297297297,0.2109375,0.1377245508982036,0.13194444444444445,0.09836065573770492,0.04054054054054054,0.5,0.47896440129449835,0.5945945945945946,0.6666666666666666,0.5795454545454546,0.17475728155339806,0.3333333333333333,0.34615384615384615,0.3333333333333333,0.30097087378640774,0.34408602150537637,0.34408602150537637,0.625,0.019417475728155338,0.3333333333333333,0.3333333333333333,1.0,0.025889967637540454,0.125,0.125,1.0,0.8448275862068966,0.5510204081632653,0.017241379310344827,,,0.017241379310344827,,,0.3783783783783784,0.4642857142857143,0.02702702702702703,,0.0945945945945946,0.14285714285714285,0.5242718446601942,0.16666666666666666,0.49437491856677535,0.5687159999999999,0.4652208333333333,0.1308139534883721,0.13636363636363635,,0.20396600566572237,0.2096317280453258,8.116610169491521,28.578571428571426,0.2775423728813559,44.0,1.0,8.0,3.0,1.0,0.22857142857142856,0.025,0.1,0.14814814814814814,,,,,,,True
101187,1610612751,Alan Anderson,Alan Anderson,101187,BKN,37211.0,620,8.0,1178,1185,293.0,317,112.0,2363,20,39,4.0,8.0,3.0,8.0,6.0,22.0,14.0,32.0,13.0,45.0,,3.0,2.0,7.0,27.0,56.0,3.0,4.0,7.0,18.0,40,93,40.0,101.0,31.0,231,1237,6.0,16.0,3.0,7.0,3.0,24.0,5.0,14.0,9.0,25.0,14.0,51.0,40.0,40,108.0,12.0,,56.0,27.0,9.0,4.0,20.0,10.0,30.0,2.0,8.0,10.0,4.0,6.0,70.0,6.0,9.0,26.0,22.0,48,15.0,63,2.0,15.0,10.0,5.0,8,1.0,7.0,7.0,2.0,1.0,,1.0,15,2.0,2.0,25.0,,54,,,2.0,50.0,,6.0,9.0,,39.0,3.0,1.0,,17.0,2.0,2.0,7.0,2.0,1.0,4.0,7.0,4.0,51.0,293.0,6.0,2.0,0.5,0.5405405405405406,0.9,0.39603960396039606,0.42857142857142855,0.36,0.39603960396039606,0.43010752688172044,0.375,0.35714285714285715,0.5154639175257731,0.45652173913043476,0.47435897435897434,0.54739336492891,0.48,0.5543478260869565,0.520618556701031,0.039603960396039604,0.0967741935483871,0.1282051282051282,0.18181818181818182,,0.03571428571428571,17.31800766283525,0.5333333333333333,0.061452513966480445,0.02608695652173913,0.1368421052631579,0.031578947368421054,0.08759124087591241,0.028037383177570093,0.032520325203252036,0.019230769230769232,0.025423728813559324,0.03759398496240601,0.09154929577464789,0.043859649122807015,0.0392156862745098,0.13013698630136986,0.1590909090909091,0.02040816326530612,0.5714285714285714,0.20103092783505155,0.5128205128205128,0.5882352941176471,0.45,0.1134020618556701,0.2727272727272727,0.3333333333333333,0.16666666666666666,0.16494845360824742,0.4375,0.4375,0.7142857142857143,0.23195876288659795,0.28888888888888886,0.3023255813953488,0.9230769230769231,0.28865979381443296,0.48214285714285715,0.5,0.8888888888888888,0.34782608695652173,0.5,0.13043478260869565,,,0.17391304347826086,0.75,1.0,0.20512820512820512,0.375,0.1794871794871795,0.2857142857142857,0.46153846153846156,0.3888888888888889,0.7216494845360825,0.48214285714285715,0.5201654639175257,0.4744625,0.5174602564102564,0.09090909090909091,0.1588785046728972,0.0196078431372549,0.1038961038961039,0.22077922077922077,9.164516129032258,24.445544554455445,0.24872665534804753,6.0,,,,,,,0.017543859649122806,0.25,0.044444444444444446,,,,,,True
1718,1610612751,Paul Pierce,Paul Pierce,1718,BKN,125886.0,2098,71.0,3994,3990,1000.0,1040,371.0,7984,113,185,13.0,20.0,26.0,41.0,40.0,96.0,56.0,131.0,12.0,22.0,,1.0,2.0,6.0,100.0,278.0,9.0,20.0,21.0,56.0,209,412,112.0,300.0,256.0,1010,4171,16.0,34.0,9.0,21.0,23.0,82.0,47.0,105.0,23.0,62.0,86.0,249.0,198.0,220,318.0,18.0,,278.0,100.0,38.0,2.0,113.0,65.0,178.0,39.0,26.0,60.0,20.0,33.0,421.0,9.0,17.0,105.0,199.0,322,26.0,348,3.0,86.0,52.0,34.0,79,22.0,52.0,74.0,9.0,27.0,2.0,20.0,153,8.0,34.0,97.0,4.0,190,4.0,10.0,14.0,243.0,10.0,13.0,13.0,6.0,310.0,24.0,,18.0,123.0,5.0,28.0,28.0,17.0,4.0,7.0,31.0,19.0,246.0,992.0,12.0,25.0,0.47368421052631576,0.4852941176470588,0.9464285714285714,0.37333333333333335,0.42857142857142855,0.3709677419354839,0.37333333333333335,0.5072815533980582,0.47058823529411764,0.44761904761904764,0.5294943820224719,0.5363636363636364,0.4880239520958084,0.590047393364929,0.6029411764705882,0.5651162790697675,0.42134831460674155,0.006666666666666667,0.09223300970873786,0.16216216216216217,0.041666666666666664,0.030534351145038167,0.007194244604316547,22.546359113523295,0.5163398692810458,0.15856573705179283,0.01454234388366125,0.17857142857142858,0.014802631578947368,0.16494845360824742,0.014631401238041642,0.015748031496062992,0.015189873417721518,0.01272264631043257,0.013363028953229399,0.13981042654028436,0.15926892950391644,0.17555555555555555,0.17738359201773837,0.18248175182481752,0.008670520231213872,0.6129032258064516,0.2598314606741573,0.6108108108108108,0.7290322580645161,0.5752212389380531,0.1348314606741573,0.4166666666666667,0.43478260869565216,0.3,0.18398876404494383,0.42748091603053434,0.4409448818897638,0.39285714285714285,0.03089887640449438,0.5454545454545454,0.5454545454545454,1.0,0.3904494382022472,0.3597122302158273,0.36231884057971014,0.94,0.36363636363636365,0.65,0.01818181818181818,,,0.36363636363636365,0.45,1.0,0.24550898203592814,0.6341463414634146,0.03592814371257485,0.3333333333333333,0.33532934131736525,0.375,0.6811797752808989,0.3597122302158273,0.5125376404494381,0.532395,0.48854820359281426,0.1568627450980392,0.24070450097847357,0.01639344262295082,0.08118811881188119,0.24653465346534653,8.756067961165053,25.20633333333333,0.25037556334501754,10.0,,18.0,1.0,1.0,0.1978021978021978,,0.018867924528301886,0.3076923076923077,,3.0,2.0,1.0,5.0,,True
1891,1610612751,Jason Terry,Jason Terry,1891,BKN,8164.0,136,-31.0,266,265,98.0,117,34.0,531,1,1,,,,,1.0,2.0,2.0,9.0,3.0,12.0,,1.0,1.0,5.0,3.0,15.0,,1.0,1.0,6.0,4,12,6.0,27.0,3.0,29,299,,,,2.0,,,1.0,4.0,2.0,11.0,,8.0,4.0,4,15.0,3.0,1.0,14.0,3.0,,1.0,9.0,1.0,10.0,1.0,,4.0,1.0,4.0,21.0,,1.0,5.0,3.0,8,1.0,9,,1.0,,1.0,5,1.0,4.0,2.0,,1.0,,,7,,2.0,4.0,,14,,1.0,,6.0,,1.0,1.0,,5.0,1.0,,,2.0,,1.0,,,,,,,8.0,98.0,6.0,,0.5,0.5,0.8333333333333334,0.2222222222222222,,0.18181818181818182,0.23076923076923078,0.3333333333333333,,0.25,0.3333333333333333,,0.26666666666666666,0.35365853658536583,,0.26666666666666666,0.6923076923076923,0.037037037037037035,,,,,,15.789473684210526,0.7142857142857143,0.041666666666666664,0.012048192771084338,0.15625,,0.07692307692307693,0.0078125,0.04,,,,0.045454545454545456,,0.06666666666666667,0.16666666666666666,0.125,,,0.02564102564102564,1.0,1.0,1.0,0.05128205128205128,0.5,0.5,,0.23076923076923078,0.2222222222222222,0.2222222222222222,0.5,0.3076923076923077,0.25,0.2727272727272727,1.0,0.38461538461538464,0.2,0.2,0.6666666666666666,,,0.5,,,0.5,,,,,0.3333333333333333,0.2,0.4,0.16666666666666666,0.717948717948718,0.21428571428571427,0.5104039473684211,0.5352,0.5127750000000001,0.05,0.15384615384615385,,,0.27586206896551724,14.574999999999998,25.748148148148147,0.3684210526315789,,,,,,,,,,0.08333333333333333,,,,,,True
1905,1610612751,Andrei Kirilenko,Andrei Kirilenko,1905,BKN,15093.0,252,19.0,476,468,117.0,129,63.0,944,19,34,8.0,14.0,5.0,7.0,3.0,5.0,,4.0,,,,,,,,1.0,,1.0,,1.0,22,43,,1.0,14.0,58,497,9.0,16.0,,1.0,,18.0,5.0,8.0,,1.0,8.0,18.0,30.0,14,,,,1.0,,8.0,,19.0,2.0,21.0,1.0,1.0,12.0,6.0,1.0,44.0,5.0,15.0,9.0,13.0,26,20.0,46,2.0,10.0,7.0,3.0,6,6.0,5.0,9.0,,1.0,,2.0,15,2.0,3.0,6.0,1.0,17,,1.0,1.0,21.0,,2.0,1.0,,27.0,1.0,,,10.0,,4.0,2.0,,1.0,1.0,3.0,2.0,16.0,112.0,1.0,2.0,0.6818181818181818,0.8333333333333334,,,,,,0.5116279069767442,0.5625,0.625,0.5,0.5294117647058824,0.5555555555555556,0.5087719298245614,0.5294117647058824,0.6,0.022727272727272728,,0.18604651162790697,0.20588235294117646,0.2,,,12.979890310786107,0.4,0.09701492537313433,0.10416666666666667,0.14516129032258066,0.08064516129032258,0.11224489795918367,0.0970873786407767,0.13636363636363635,0.08333333333333333,0.09615384615384616,0.07547169811320754,0.0851063829787234,0.10526315789473684,0.10204081632653061,0.13333333333333333,0.17647058823529413,0.14285714285714285,0.6666666666666666,0.7727272727272727,0.5588235294117647,0.7037037037037037,0.6842105263157895,0.11363636363636363,0.6,0.75,0.6666666666666666,0.09090909090909091,,,,,,,,0.022727272727272728,,,,0.8235294117647058,0.5714285714285714,,,,0.058823529411764705,,,0.7777777777777778,0.7142857142857143,,,0.1111111111111111,,0.7954545454545454,,0.5209602272727273,0.5792041666666666,0.5857277777777777,0.18867924528301888,0.19230769230769232,,0.3103448275862069,0.3103448275862069,3.953488372093023,24.9,0.24579831932773108,8.0,,4.0,,,0.36363636363636365,,0.1111111111111111,0.375,,1.0,1.0,,,,True
201572,1610612751,Brook Lopez,Brook Lopez,201572,BKN,16650.0,278,19.0,550,551,110.0,124,42.0,1101,30,45,5.0,9.0,5.0,8.0,24.0,43.0,14.0,29.0,,,,,,,,,,,,,68,117,,,42.0,178,546,5.0,13.0,,,2.0,12.0,11.0,18.0,,,9.0,31.0,92.0,44,,,,,,4.0,,2.0,3.0,5.0,2.0,1.0,1.0,,1.0,13.0,3.0,13.0,9.0,21.0,34,16.0,50,3.0,7.0,6.0,1.0,7,1.0,3.0,8.0,,4.0,,,15,2.0,4.0,10.0,,27,2.0,2.0,5.0,38.0,1.0,2.0,,,46.0,6.0,,,25.0,,1.0,21.0,11.0,1.0,9.0,21.0,17.0,31.0,110.0,1.0,1.0,0.6764705882352942,0.7301587301587301,,,,,,0.5811965811965812,0.38461538461538464,0.6111111111111112,0.5811965811965812,0.38461538461538464,0.6111111111111112,0.6496350364963503,0.42857142857142855,0.7045454545454546,,,0.03418803418803419,0.044444444444444446,0.046511627906976744,,,25.165562913907284,0.4666666666666667,0.1,0.0718232044198895,0.125,0.04477611940298507,0.10638297872340426,0.06451612903225806,0.061224489795918366,0.1111111111111111,0.043478260869565216,0.023255813953488372,0.11764705882352941,0.07575757575757576,0.10526315789473684,0.15254237288135594,,0.06666666666666667,0.8095238095238095,0.38461538461538464,0.6666666666666666,0.6976744186046512,0.7666666666666667,0.36752136752136755,0.5581395348837209,0.5853658536585366,0.5,0.24786324786324787,0.4827586206896552,0.4827586206896552,0.7857142857142857,,,,,,,,,0.6923076923076923,0.5555555555555556,,,,,,,0.4444444444444444,0.625,,,,,0.38461538461538464,,0.461642735042735,0.5145099999999999,0.4911111111111111,0.18382352941176472,0.18382352941176472,,0.06741573033707865,0.17415730337078653,8.254700854700856,,0.2,10.0,,4.0,,,0.17391304347826086,,0.08333333333333333,,,,,,5.0,,True
201977,1610612751,Marcus Thornton,Marcus Thornton,201977,BKN,9467.0,158,18.0,298,303,108.0,124,25.0,601,5,16,1.0,1.0,1.0,5.0,1.0,5.0,2.0,6.0,5.0,13.0,,1.0,1.0,7.0,8.0,26.0,2.0,3.0,,5.0,8,27,13.0,39.0,9.0,64,301,1.0,2.0,2.0,4.0,1.0,9.0,2.0,9.0,1.0,12.0,6.0,13.0,6.0,10,33.0,6.0,,26.0,8.0,4.0,,6.0,1.0,7.0,1.0,,5.0,,1.0,15.0,3.0,1.0,8.0,9.0,17,4.0,21,,11.0,6.0,5.0,4,,3.0,1.0,,1.0,,,5,,1.0,3.0,,9,1.0,1.0,,10.0,,,1.0,,10.0,,,,3.0,,2.0,1.0,1.0,,,1.0,1.0,13.0,107.0,2.0,2.0,0.375,0.42857142857142855,0.8461538461538461,0.3333333333333333,0.5,0.08333333333333333,0.3333333333333333,0.2962962962962963,0.5,0.2222222222222222,0.4166666666666667,0.6666666666666666,0.16666666666666666,0.4507042253521127,0.6428571428571429,0.2708333333333333,0.5909090909090909,,0.14814814814814814,0.25,,,,23.384615384615383,0.8,0.1111111111111111,0.014705882352941176,0.16326530612244897,0.05172413793103448,0.13076923076923078,0.031746031746031744,,,0.05555555555555555,0.06976744186046512,0.09375,0.047619047619047616,0.17857142857142858,0.13513513513513514,0.25,,1.0,0.24242424242424243,0.3125,0.4166666666666667,0.2,0.07575757575757576,0.2,0.2,,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,0.19696969696969696,0.38461538461538464,0.38461538461538464,1.0,0.3939393939393939,0.3076923076923077,0.3076923076923077,0.75,0.16666666666666666,1.0,0.16666666666666666,,,0.5,0.6666666666666666,,0.23809523809523808,0.2,0.3333333333333333,0.14285714285714285,0.23809523809523808,,0.8333333333333334,0.3076923076923077,0.5523363636363636,0.56202,0.5382547619047618,0.043478260869565216,0.1,,0.140625,0.203125,6.918518518518518,24.653846153846157,0.3624161073825503,2.0,,,,,,,,,,,,,,,True
203141,1610612751,Mirza Teletovic,Mirza Teletovic,203141,BKN,16440.0,274,-21.0,536,534,174.0,149,49.0,1070,8,15,1.0,4.0,5.0,5.0,2.0,6.0,2.0,5.0,6.0,12.0,1.0,1.0,2.0,4.0,23.0,54.0,,1.0,7.0,16.0,12,26,29.0,66.0,8.0,119,595,1.0,4.0,1.0,2.0,2.0,7.0,7.0,7.0,9.0,20.0,4.0,45.0,16.0,8,84.0,3.0,1.0,53.0,23.0,3.0,,7.0,2.0,9.0,1.0,1.0,6.0,,1.0,20.0,4.0,2.0,12.0,25.0,39,7.0,46,,3.0,2.0,1.0,6,,4.0,1.0,1.0,2.0,,,7,,3.0,15.0,1.0,31,,2.0,,12.0,1.0,4.0,,,12.0,1.0,,,5.0,,2.0,6.0,4.0,,2.0,6.0,5.0,45.0,174.0,7.0,1.0,0.6666666666666666,0.7272727272727273,0.9655172413793104,0.4393939393939394,0.5,0.45,0.4461538461538462,0.46153846153846156,0.25,1.0,0.6032608695652174,0.4166666666666667,0.7592592592592593,0.6071428571428571,0.5,0.75,0.717391304347826,,0.11538461538461539,0.13333333333333333,0.16666666666666666,,,17.597292724196276,0.8571428571428571,0.1497005988023952,0.013986013986013986,0.15384615384615385,0.043478260869565216,0.1510204081632653,0.02553191489361702,,0.023809523809523808,0.0196078431372549,0.05970149253731343,0.1694915254237288,0.14285714285714285,0.1346153846153846,0.15384615384615385,0.15384615384615385,,0.8333333333333334,0.16304347826086957,0.5333333333333333,0.6153846153846154,0.75,0.06521739130434782,0.3333333333333333,0.4,,0.05434782608695652,0.4,0.4,1.0,0.13043478260869565,0.5,0.5,0.8333333333333334,0.5869565217391305,0.42592592592592593,0.42592592592592593,1.0,0.6666666666666666,0.25,0.16666666666666666,1.0,,0.16666666666666666,,,0.18518518518518517,1.0,0.14814814814814814,0.5,0.5925925925925926,0.4375,0.8804347826086957,0.4339622641509434,0.5133331460674156,0.4330833333333333,0.49522884615384616,0.052083333333333336,0.16666666666666666,,0.058823529411764705,0.37815126050420167,6.811538461538461,25.931818181818183,0.3246268656716418,2.0,1.0,2.0,,,0.2222222222222222,0.047619047619047616,,,,,,,,,True
203486,1610612751,Mason Plumlee,Mason Plumlee,203486,BKN,38004.0,633,,1185,1202,292.0,303,105.0,2387,85,124,12.0,21.0,19.0,30.0,5.0,13.0,,,,,,,,,,,,,,,90,137,,,53.0,233,1297,12.0,22.0,,,10.0,34.0,19.0,31.0,,,8.0,46.0,156.0,24,,,,,,22.0,,21.0,8.0,29.0,6.0,2.0,13.0,2.0,6.0,66.0,15.0,37.0,20.0,63.0,95,53.0,148,6.0,23.0,8.0,15.0,18,3.0,8.0,16.0,1.0,10.0,1.0,2.0,34,4.0,4.0,43.0,1.0,77,2.0,5.0,4.0,60.0,,,1.0,,77.0,8.0,,,39.0,,4.0,28.0,20.0,2.0,6.0,28.0,13.0,46.0,289.0,6.0,2.0,0.8666666666666667,0.9512195121951219,,,,,,0.656934306569343,0.5454545454545454,0.6129032258064516,0.656934306569343,0.5454545454545454,0.6129032258064516,0.6773255813953488,0.6071428571428571,0.6052631578947368,,,0.16058394160583941,0.1532258064516129,0.23076923076923078,,,15.809669992325404,0.5294117647058824,0.168,0.125,0.12345679012345678,0.07575757575757576,0.15456238361266295,0.10526315789473684,0.17391304347826086,0.1,0.08641975308641975,0.05844155844155844,0.14615384615384616,0.16393442622950818,0.1951219512195122,0.11904761904761904,0.1388888888888889,0.24,0.4642857142857143,0.9051094890510949,0.6854838709677419,0.8095238095238095,0.8705882352941177,0.0948905109489051,0.38461538461538464,0.5,0.8,,,,,,,,,,,,,0.9545454545454546,0.5714285714285714,,,,,,,0.967741935483871,0.6333333333333333,,,,,0.9051094890510949,,0.5934087591240875,0.5640647058823529,0.594132258064516,0.23214285714285715,0.23214285714285715,,0.1459227467811159,0.19742489270386265,2.1496350364963503,,0.24641350210970464,16.0,1.0,12.0,6.0,1.0,0.46153846153846156,0.02857142857142857,0.13636363636363635,0.3333333333333333,,,,,3.0,2.0,True
