EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockingFoulsDrawn,Fg3aBlocked,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,BlockedLongMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,3SecondViolations,Clear Path Fouls,on,BlockedCorner3,HeaveMakes
101110,1610612764,Martell Webster,Martell Webster,101110,WAS,52850.0,881,53.0,1709,1703,393.0,420,183,3412,25.0,40.0,8.0,14.0,5.0,8.0,3.0,14.0,19.0,44.0,22.0,54.0,1.0,4.0,9.0,31.0,83.0,2.0,6.0,7.0,16.0,47.0,98.0,53.0,137.0,25.0,278,1754,10.0,16.0,2.0,7.0,2.0,28.0,10.0,18.0,11.0,25.0,4.0,57.0,66.0,28.0,156.0,3.0,6.0,1.0,82.0,31.0,5.0,32.0,10.0,42.0,7.0,3.0,21.0,4.0,7.0,94.0,3.0,13.0,2.0,25.0,63.0,1.0,89.0,18.0,107,4.0,17.0,9.0,8.0,13.0,3.0,9.0,9.0,1.0,4.0,2.0,22.0,4.0,6.0,29.0,2.0,65.0,1.0,2.0,2.0,35.0,1.0,2.0,4.0,30.0,1.0,2.0,1.0,9.0,4.0,2.0,6.0,4.0,2.0,6.0,3.0,57.0,385.0,10.0,2.0,0.7021276595744681,0.75,0.9811320754716981,0.38686131386861317,0.2857142857142857,0.44,0.3897058823529412,0.47959183673469385,0.625,0.5555555555555556,0.5382978723404256,0.5652173913043478,0.6162790697674418,0.5607287449392713,0.5833333333333334,0.6195652173913043,0.5829787234042553,0.05102040816326531,0.05,0.14285714285714285,0.022727272727272728,14.02502606882169,0.5909090909090909,0.021739130434782608,0.03278688524590164,0.11842105263157894,0.023297491039426525,0.11061946902654868,0.015,0.11609498680738786,0.021108179419525065,0.024242424242424242,0.02631578947368421,0.02074688796680498,0.014388489208633094,0.01639344262295082,0.08484848484848485,0.09302325581395349,0.16923076923076924,0.10919540229885058,0.11538461538461539,0.031496062992125984,0.5,0.1702127659574468,0.625,0.6578947368421053,0.72,0.059574468085106386,0.21428571428571427,0.25,0.3333333333333333,0.18723404255319148,0.4318181818181818,0.4418604651162791,0.7368421052631579,0.2297872340425532,0.4074074074074074,0.4074074074074074,0.9545454545454546,0.35319148936170214,0.37349397590361444,0.37349397590361444,1.0,0.6086956521739131,0.5714285714285714,0.5,0.043478260869565216,0.2608695652173913,0.3333333333333333,1.0,0.18604651162790697,0.625,0.20930232558139536,0.4444444444444444,0.37209302325581395,0.4375,0.7531914893617021,0.3780487804878049,0.5175311158798284,0.563175,0.48691860465116277,0.053061224489795916,0.08490566037735849,0.02877697841726619,0.10071942446043165,0.20503597122302158,10.079591836734695,25.172992700729928,0.229959040374488,,,,,,,,,,,,,,,,,,True,,
101162,1610612764,Marcin Gortat,Marcin Gortat,101162,WAS,59001.0,983,213.0,1963,1936,331.0,343,199,3899,91.0,131.0,28.0,38.0,17.0,22.0,50.0,101.0,12.0,35.0,,,,,,,,,,,,153.0,267.0,,,63.0,369,1899,42.0,64.0,,,10.0,94.0,23.0,37.0,,,18.0,64.0,212.0,94.0,,,40.0,,,,18.0,18.0,15.0,33.0,11.0,4.0,5.0,3.0,10.0,81.0,27.0,50.0,3.0,65.0,130.0,16.0,211.0,80.0,291,1.0,9.0,8.0,1.0,25.0,3.0,9.0,21.0,3.0,16.0,1.0,46.0,,7.0,38.0,3.0,77.0,1.0,7.0,12.0,65.0,,11.0,4.0,88.0,6.0,,,40.0,,7.0,43.0,29.0,14.0,43.0,29.0,62.0,323.0,7.0,6.0,0.6928104575163399,0.7969924812030075,,,,,,0.5730337078651685,0.65625,0.6216216216216216,0.5730337078651685,0.65625,0.6216216216216216,0.599025974025974,0.6714285714285714,0.6666666666666666,,0.06741573033707865,0.0916030534351145,0.04950495049504951,0.02857142857142857,16.193961573650505,0.5434782608695652,0.3902439024390244,0.047619047619047616,0.20123839009287925,0.076103500761035,0.25390625,0.1291866028708134,0.21618625277161863,0.08891454965357967,0.05851063829787234,0.07428571428571429,0.08843537414965986,0.12686567164179105,0.13333333333333333,0.1744186046511628,0.21395348837209302,0.2084942084942085,0.266304347826087,0.2222222222222222,0.010416666666666666,0.6744186046511628,0.49063670411985016,0.6946564885496184,0.7647058823529411,0.7252747252747253,0.3782771535580524,0.49504950495049505,0.5208333333333334,0.58,0.13108614232209737,0.34285714285714286,0.35294117647058826,0.9166666666666666,,,,,,,,,0.59375,0.7368421052631579,0.2857142857142857,,,,,0.5945945945945946,0.7727272727272727,,,,,0.49063670411985016,,0.5078790262172285,0.5046204081632653,0.5225189189189189,0.132890365448505,0.132890365448505,,0.25474254742547425,0.17344173441734417,6.243820224719101,,0.1686194600101885,2.0,,,,,,,,,,,,,,,,,True,,
1889,1610612764,Andre Miller,Andre Miller,1889,WAS,3420.0,57,21.0,106,100,23.0,10,6,206,4.0,7.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,5.0,8.0,,,,10,113,,,,,,,1.0,1.0,,,,2.0,4.0,6.0,,,,,,,,14.0,2.0,16.0,2.0,,12.0,1.0,1.0,34.0,,,,3.0,3.0,,6.0,,6,,1.0,,1.0,4.0,,3.0,1.0,,1.0,,5.0,,1.0,1.0,1.0,6.0,,,,2.0,,,1.0,,,,,,,,,,,,,2.0,23.0,1.0,,0.4,0.4,,,,,,0.625,,1.0,0.625,,1.0,0.625,,1.0,,,,,,11.607142857142856,0.8,,,0.125,,0.13636363636363635,,0.13043478260869565,,,,,,,0.2,,0.14285714285714285,0.10526315789473684,0.3333333333333333,,,0.875,0.5714285714285714,0.5714285714285714,0.5,0.125,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.875,,0.5183125000000001,,0.752,,,,,0.2,2.3875,,0.2169811320754717,,,,,,,,,,,,,,,,,,True,,
203078,1610612764,Bradley Beal,Bradley Beal,203078,WAS,57611.0,960,94.0,1885,1870,319.0,365,206,3755,39.0,67.0,2.0,6.0,5.0,9.0,15.0,41.0,71.0,179.0,19.0,51.0,1.0,4.0,8.0,45.0,101.0,3.0,9.0,8.0,24.0,125.0,287.0,64.0,152.0,41.0,483,1909,9.0,20.0,3.0,10.0,2.0,29.0,15.0,44.0,12.0,32.0,18.0,84.0,148.0,102.0,183.0,9.0,4.0,,101.0,45.0,16.0,78.0,25.0,103.0,16.0,9.0,27.0,17.0,34.0,231.0,2.0,13.0,2.0,32.0,49.0,5.0,86.0,17.0,103,7.0,28.0,22.0,6.0,34.0,5.0,19.0,21.0,6.0,15.0,5.0,55.0,6.0,11.0,34.0,,56.0,1.0,3.0,1.0,51.0,,1.0,7.0,52.0,4.0,,1.0,18.0,1.0,8.0,4.0,3.0,1.0,5.0,2.0,84.0,313.0,7.0,8.0,0.592,0.6016260162601627,0.953125,0.42105263157894735,0.3,0.375,0.42105263157894735,0.4355400696864111,0.45,0.3409090909090909,0.5034168564920274,0.45,0.4342105263157895,0.5216450216450217,0.46774193548387094,0.4883720930232558,0.3462414578587699,0.05574912891986063,0.14925373134328357,0.0975609756097561,0.0111731843575419,24.467581637482255,0.6181818181818182,0.09433962264150944,0.03508771929824561,0.0829103214890017,0.02037617554858934,0.11940298507462686,0.009259259259259259,0.09429569266589057,0.01756440281030445,0.017964071856287425,0.023121387283236993,0.020134228187919462,0.013793103448275862,,0.06918238993710692,0.07772020725388601,0.09623430962343096,0.13756613756613756,0.0759493670886076,0.03017241379310345,0.4,0.15261958997722094,0.582089552238806,0.6842105263157895,0.6923076923076923,0.09339407744874716,0.36585365853658536,0.40540540540540543,0.8666666666666667,0.40774487471526194,0.39664804469273746,0.4011299435028249,0.4788732394366197,0.11617312072892938,0.37254901960784315,0.38,1.0,0.23006833712984054,0.44554455445544555,0.44554455445544555,0.9333333333333333,0.2,0.3333333333333333,,0.03333333333333333,0.3,0.3333333333333333,0.6666666666666666,0.11842105263157894,0.5555555555555556,0.10526315789473684,0.5,0.3157894736842105,0.3333333333333333,0.4988610478359909,0.44554455445544555,0.4867122146118722,0.49433749999999993,0.47871199999999997,0.04185022026431718,0.059800664451827246,0.006535947712418301,0.060041407867494824,0.17391304347826086,13.20766550522648,24.93421052631579,0.16923076923076924,1.0,1.0,1.0,1.0,1.0,0.006578947368421052,0.0196078431372549,,,,,,,,,,,True,,
2403,1610612764,Nene,Nene,2403,WAS,93629.0,1560,118.0,3064,3042,603.0,686,337,6106,160.0,247.0,27.0,40.0,29.0,40.0,55.0,154.0,83.0,188.0,,2.0,1.0,,1.0,1.0,3.0,,1.0,,2.0,298.0,589.0,1.0,5.0,155.0,754,3097,31.0,61.0,,2.0,9.0,71.0,48.0,85.0,,3.0,59.0,155.0,368.0,228.0,3.0,,18.0,,3.0,1.0,31.0,118.0,35.0,153.0,24.0,11.0,67.0,18.0,33.0,341.0,15.0,44.0,6.0,66.0,146.0,17.0,229.0,65.0,294,6.0,64.0,41.0,23.0,50.0,20.0,26.0,67.0,3.0,24.0,18.0,117.0,13.0,12.0,82.0,9.0,164.0,4.0,16.0,13.0,255.0,7.0,16.0,19.0,266.0,26.0,,,119.0,,27.0,46.0,21.0,22.0,47.0,28.0,149.0,590.0,15.0,24.0,0.6174496644295302,0.6366782006920415,1.0,0.2,,,0.2,0.5059422750424448,0.5081967213114754,0.5647058823529412,0.5042087542087542,0.49206349206349204,0.5454545454545454,0.5280112044817927,0.5144927536231884,0.5827067669172933,0.008417508417508417,0.05263157894736842,0.08502024291497975,0.06493506493506493,,24.135927969793784,0.42735042735042733,0.20987654320987653,0.05825242718446602,0.15224191866527634,0.042843232716650435,0.16097560975609757,0.04225352112676056,0.15485756026296568,0.0426917510853835,0.05387205387205387,0.036101083032490974,0.039735099337748346,0.04201680672268908,0.042735042735042736,0.15901060070671377,0.16451612903225807,0.1366120218579235,0.17114093959731544,0.13392857142857142,0.023166023166023165,0.5957446808510638,0.4158249158249158,0.6477732793522267,0.7079646017699115,0.5875,0.25925925925925924,0.35714285714285715,0.3819444444444444,0.43636363636363634,0.3164983164983165,0.44148936170212766,0.44148936170212766,0.7951807228915663,0.003367003367003367,,,,0.005050505050505051,0.3333333333333333,0.3333333333333333,1.0,0.6349206349206349,0.675,0.3333333333333333,0.015873015873015872,0.015873015873015872,,,0.45454545454545453,0.725,0.011363636363636364,,0.022727272727272728,,0.42424242424242425,0.3333333333333333,0.48794048821548813,0.49655099999999996,0.5021482954545454,0.17321688500727803,0.1744868035190616,,0.09416445623342175,0.20557029177718833,8.3741935483871,25.72,0.19680156657963446,3.0,,2.0,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,True,,
2772,1610612764,Trevor Ariza,Trevor Ariza,2772,WAS,62951.0,1049,144.0,2107,2092,447.0,529,223,4199,50.0,84.0,6.0,19.0,9.0,13.0,5.0,16.0,20.0,45.0,31.0,66.0,3.0,6.0,11.0,40.0,98.0,4.0,12.0,8.0,19.0,75.0,145.0,71.0,164.0,62.0,425,2102,9.0,22.0,7.0,15.0,5.0,44.0,12.0,19.0,14.0,30.0,23.0,89.0,92.0,58.0,207.0,6.0,2.0,2.0,96.0,40.0,17.0,55.0,18.0,73.0,10.0,8.0,39.0,3.0,13.0,164.0,8.0,24.0,3.0,47.0,95.0,20.0,162.0,35.0,197,5.0,57.0,38.0,19.0,26.0,2.0,16.0,19.0,7.0,10.0,2.0,45.0,3.0,5.0,23.0,1.0,57.0,1.0,4.0,5.0,66.0,3.0,5.0,7.0,79.0,5.0,,4.0,29.0,2.0,8.0,7.0,2.0,4.0,8.0,6.0,86.0,435.0,6.0,6.0,0.6133333333333333,0.6216216216216216,0.971830985915493,0.4329268292682927,0.4666666666666667,0.4666666666666667,0.4382716049382716,0.5172413793103449,0.4090909090909091,0.631578947368421,0.587378640776699,0.527027027027027,0.673469387755102,0.6151603498542274,0.5641025641025641,0.6904761904761905,0.5307443365695793,0.11724137931034483,0.17857142857142858,0.125,,16.468590831918508,0.5777777777777777,0.37735849056603776,0.03896103896103896,0.1441578148710167,0.03545051698670606,0.17216117216117216,0.032520325203252036,0.15236051502145923,0.03466955579631636,0.04784688995215311,0.02824858757062147,0.030927835051546393,0.03067484662576687,0.03614457831325301,0.05583756345177665,0.15137614678899083,0.20901639344262296,0.18556701030927836,0.13924050632911392,0.03546099290780142,0.75,0.27184466019417475,0.5952380952380952,0.7246376811594203,0.58,0.05177993527508091,0.3125,0.35714285714285715,0.6,0.14563106796116504,0.4444444444444444,0.4444444444444444,0.7,0.21359223300970873,0.4696969696969697,0.4696969696969697,1.0,0.31715210355987056,0.40816326530612246,0.41237113402061853,0.95,0.5135135135135135,0.3157894736842105,0.3333333333333333,0.08108108108108109,0.32432432432432434,0.3333333333333333,1.0,0.2653061224489796,0.6923076923076923,0.22448979591836735,0.5454545454545454,0.3877551020408163,0.42105263157894735,0.8025889967637541,0.4166666666666667,0.5532211726384365,0.5475016129032257,0.5521677083333333,0.09253731343283582,0.17159763313609466,0.012048192771084338,0.10352941176470588,0.20941176470588235,7.2986206896551735,25.103048780487804,0.2121499762695776,1.0,1.0,1.0,1.0,1.0,0.006097560975609756,,1.0,,,3.0,0.01020408163265306,1.0,1.0,,,,True,,
201953,1610612764,Eric Maynor,Eric Maynor,201953,WAS,3654.0,61,-49.0,111,112,5.0,17,20,223,1.0,3.0,,,,,2.0,12.0,1.0,4.0,,,,,,1.0,6.0,,1.0,,,4.0,19.0,1.0,6.0,1.0,12,127,1.0,2.0,,1.0,,2.0,,1.0,,,,,2.0,6.0,3.0,,,,6.0,1.0,,5.0,3.0,8.0,1.0,2.0,2.0,2.0,1.0,19.0,,2.0,,4.0,3.0,,7.0,2.0,9,1.0,,,,1.0,,1.0,,,,,1.0,,,1.0,,2.0,,,,3.0,,,,1.0,1.0,,,1.0,,,,,,,,,5.0,,,0.25,0.25,1.0,0.16666666666666666,,,0.16666666666666666,0.21052631578947367,0.5,,0.22,0.3333333333333333,,0.24,0.3333333333333333,,0.24,,,,,19.548872180451127,1.0,,,0.0967741935483871,0.03508771929824561,0.23529411764705882,,0.14583333333333334,0.02702702702702703,,0.047619047619047616,0.047619047619047616,,,,,0.23076923076923078,0.15384615384615385,0.5,0.05263157894736842,,0.12,0.3333333333333333,0.3333333333333333,1.0,0.48,0.16666666666666666,0.16666666666666666,,0.16,0.25,0.25,,,,,,0.24,0.16666666666666666,0.16666666666666666,1.0,,,,,0.3333333333333333,,,,,,,,,0.36,0.16666666666666666,0.455,0.39528333333333326,0.4226,0.04,0.05263157894736842,,0.16666666666666666,,9.673684210526316,26.416666666666668,0.04504504504504504,,,,,,,,,,,,,,,,,,True,,
202066,1610612764,Garrett Temple,Garrett Temple,202066,WAS,16167.0,269,-24.0,513,505,116.0,108,71,1018,12.0,20.0,2.0,6.0,2.0,2.0,4.0,7.0,5.0,18.0,1.0,5.0,,,,,5.0,,1.0,,1.0,21.0,45.0,1.0,10.0,13.0,58,528,4.0,10.0,,1.0,,8.0,3.0,6.0,,1.0,3.0,9.0,26.0,16.0,3.0,,2.0,,5.0,,1.0,19.0,13.0,32.0,11.0,2.0,9.0,6.0,4.0,77.0,6.0,6.0,,6.0,16.0,1.0,23.0,12.0,35,1.0,14.0,9.0,5.0,12.0,1.0,10.0,7.0,,2.0,1.0,19.0,,4.0,13.0,,34.0,,1.0,3.0,23.0,1.0,3.0,4.0,19.0,,,,6.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,9.0,113.0,3.0,2.0,0.6190476190476191,0.65,1.0,0.1,,,0.1,0.4666666666666667,0.4,0.5,0.4090909090909091,0.36363636363636365,0.42857142857142855,0.453125,0.36363636363636365,0.5,0.18181818181818182,0.022222222222222223,0.05,,,13.996627318718382,0.631578947368421,0.058823529411764705,,0.10884353741496598,0.03225806451612903,0.08571428571428572,0.1,0.10138248847926268,0.04878048780487805,0.03508771929824561,0.0392156862745098,0.02564102564102564,0.1,0.1,0.09259259259259259,0.10638297872340426,0.13043478260869565,0.1,0.05,0.03225806451612903,0.5,0.36363636363636365,0.6,0.631578947368421,0.6666666666666666,0.12727272727272726,0.5714285714285714,0.5714285714285714,0.5,0.32727272727272727,0.2777777777777778,0.2777777777777778,0.6,0.09090909090909091,0.2,0.2,1.0,0.09090909090909091,,,,0.5454545454545454,0.3333333333333333,,,0.09090909090909091,,,0.2857142857142857,1.0,,,0.14285714285714285,,0.5454545454545454,,0.510160909090909,0.5016,0.48147142857142855,0.11290322580645161,0.11764705882352941,0.09090909090909091,0.13793103448275862,0.15517241379310345,10.06,24.350000000000005,0.22612085769980506,2.0,,2.0,,,,,,,,,,,,,,,True,,
202322,1610612764,John Wall,John Wall,202322,WAS,75081.0,1251,132.0,2500,2490,530.0,612,262,4990,106.0,161.0,6.0,13.0,30.0,44.0,11.0,54.0,67.0,197.0,5.0,14.0,3.0,,3.0,30.0,97.0,3.0,16.0,7.0,21.0,184.0,412.0,35.0,111.0,159.0,632,2515,10.0,31.0,3.0,19.0,4.0,33.0,43.0,107.0,7.0,24.0,70.0,177.0,78.0,290.0,75.0,30.0,4.0,,97.0,30.0,20.0,190.0,88.0,278.0,50.0,38.0,111.0,29.0,50.0,644.0,3.0,10.0,,43.0,92.0,1.0,136.0,13.0,149,3.0,74.0,40.0,34.0,64.0,21.0,43.0,44.0,6.0,21.0,,108.0,6.0,25.0,28.0,1.0,77.0,2.0,2.0,6.0,142.0,5.0,1.0,9.0,194.0,13.0,,11.0,74.0,,24.0,16.0,10.0,5.0,17.0,8.0,166.0,517.0,12.0,17.0,0.21195652173913043,0.21428571428571427,0.7142857142857143,0.3153153153153153,0.15789473684210525,0.2916666666666667,0.3153153153153153,0.44660194174757284,0.3225806451612903,0.40186915887850466,0.4521988527724665,0.29,0.4083969465648855,0.5115131578947368,0.3173076923076923,0.5146198830409356,0.21223709369024857,0.04854368932038835,0.08074534161490683,0.1111111111111111,0.005076142131979695,25.617173524150267,0.5925925925925926,0.015873015873015872,,0.11572327044025157,0.012239902080783354,0.1299093655589124,0.010067114093959731,0.11989342806394317,0.011659192825112108,0.021551724137931036,0.009523809523809525,0.008,0.01015228426395939,0.009900990099009901,0.11790393013100436,0.0859375,0.13870967741935483,0.12236286919831224,0.14893617021276595,0.010948905109489052,0.47058823529411764,0.3078393881453155,0.6583850931677019,0.7162162162162162,0.27358490566037735,0.10325047801147227,0.2037037037037037,0.22916666666666666,0.09090909090909091,0.37667304015296366,0.3401015228426396,0.34183673469387754,0.13432835820895522,0.02676864244741874,0.35714285714285715,0.35714285714285715,1.0,0.18546845124282982,0.30927835051546393,0.3125,0.6666666666666666,0.26,0.46153846153846156,0.16666666666666666,0.06,0.32,0.1875,1.0,0.33587786259541985,0.6818181818181818,0.022900763358778626,,0.16030534351145037,0.3333333333333333,0.5200764818355641,0.30927835051546393,0.5114299808429118,0.47083285714285716,0.4939332061068702,0.1267123287671233,0.15644820295983086,,0.05221518987341772,0.2800632911392405,10.579611650485438,25.945945945945947,0.212,1.0,1.0,6.0,1.0,1.0,0.009009009009009009,,1.0,,1.0,,0.010309278350515464,,,1.0,,,True,,
202698,1610612764,Chris Singleton,Chris Singleton,202698,WAS,2470.0,41,,76,77,12.0,14,10,153,2.0,5.0,,2.0,,,,1.0,,3.0,,1.0,1.0,,,2.0,3.0,,,1.0,1.0,2.0,9.0,2.0,4.0,2.0,12,74,,3.0,,1.0,2.0,2.0,,,1.0,1.0,,3.0,4.0,,6.0,,,,3.0,2.0,2.0,2.0,,2.0,,,2.0,,,4.0,1.0,5.0,,,5.0,,5.0,6.0,11,,4.0,3.0,1.0,1.0,,,3.0,,1.0,,4.0,2.0,,1.0,,5.0,,1.0,1.0,2.0,,,1.0,2.0,,,,1.0,,,1.0,1.0,,1.0,,3.0,10.0,1.0,,1.0,1.0,1.0,0.5,,1.0,0.5,0.2222222222222222,,,0.38461538461538464,,1.5,0.42857142857142855,0.2,1.5,0.3076923076923077,0.2222222222222222,0.4,,,19.78021978021978,0.25,,,0.17857142857142858,0.1388888888888889,,0.125,0.12195121951219512,0.13636363636363635,0.16666666666666666,0.2727272727272727,,0.16666666666666666,,0.16666666666666666,0.14285714285714285,0.2222222222222222,,,,,0.38461538461538464,0.4,0.6666666666666666,1.0,0.07692307692307693,,,,0.23076923076923078,,,,0.07692307692307693,,,,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.5,,,0.25,,,,,,,,1.0,1.0,0.6923076923076923,0.6666666666666666,0.4923576923076923,0.5686833333333333,0.38415,0.07142857142857142,0.1,,0.16666666666666666,0.25,8.322222222222221,25.325000000000003,0.15789473684210525,,,1.0,,,,,,,,,,,,,1.0,,True,,
