EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyOffPossExcludingTakeFouls,Usage,LiveBallTurnoverPct,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyFG3A,PtsUnassisted3s,Fg2aBlocked,DefThreePtRebounds,DefRebounds,Rebounds,FG2APctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,PenaltyShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,ShortMidRangeFGM,ShortMidRangeFGA,OffTwoPtRebounds,LostBallTurnovers,SecondChanceTurnovers,BlockedLongMidRange,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFGM,FtPoints,PenaltyTurnovers,2pt And 1 Free Throw Trips,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3Assists,ShortMidRangeAssists,on,SecondChanceFtPoints,PenaltyFtPoints,HeaveAttempts,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3pt And 1 Free Throw Trips,OffensiveGoaltends,DefensiveGoaltends,BlockedCorner3
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,404.0,7,2.0,13,13,6.0,1.0,26,12,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,6.0,7.142857142857142,1.0,0.4615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201158,1610612759,Marco Belinelli,Marco Belinelli,201158,SAS,243.0,4,-1.0,8,8,,1.0,16,11,1.0,2.0,1.0,,5.0,,,,,22.22222222222222,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5937,2.0,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,880.0,15,7.0,28,29,6.0,3.0,57,28,2.0,4.0,2.0,,10.0,1.0,1.0,1.0,6.0,19.35483870967742,1.0,0.2142857142857142,10.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,8.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.8,0.8,0.6,0.2,1.0,1.0,1.0,0.4,1.0,1.0,0.5,0.8,1.0,0.5746899999999999,9.95,24.03333333333333,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2,0.0526315789473684,0.25,0.2,0.2,1.0,0.62025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202952,1610612759,Malcolm Thomas,Malcolm Thomas,202952,SAS,880.0,15,7.0,28,29,6.0,3.0,57,28,,,,,,,,1.0,6.0,19.35483870967742,,0.2142857142857142,10.0,1.0,2.0,,,1.0,4.0,,,2.0,,,,,,,,,,,,,,0.25,0.25,0.2,,0.5,0.5,0.5,,,,,,0.5,,0.485175,10.025,,2.0,,,,,,3.0,8.0,9.0,,,0.6,0.3157894736842105,0.75,0.5,,,0.6423,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.2142857142857142,0.5,0.1111111111111111,1.0,0.1666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203382,1610612759,Aron Baynes,Aron Baynes,203382,SAS,584.0,10,5.0,18,18,,2.0,36,18,,,,,,1.0,,2.0,,20.0,0.5,,10.0,,,,,1.0,2.0,,,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,,0.5,0.5,0.5,,,,,,,,,,,,0.33365,11.5,,1.0,,,,,,,2.0,3.0,,,,0.1818181818181818,,0.5,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,0.25,,0.1428571428571428,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666666666666,0.2,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201965,1610612759,Jeff Ayres,Jeff Ayres,201965,SAS,296.0,5,2.0,10,11,6.0,1.0,21,10,,,,,,1.0,1.0,1.0,6.0,36.36363636363637,1.0,0.6,,2.0,2.0,,,3.0,3.0,,,7.0,6.0,,,,,,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.1666666666666667,,0.6666666666666666,1.0,1.0,1.0,,,,,0.6666666666666666,,0.5865,6.2,,1.0,,,,,,,3.0,3.0,,,,0.25,,0.3333333333333333,,,0.5224,,,1.0,1.0,,,,2.0,2.0,4.0,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,4.0,,1.0,,1.0,,1.0,0.5,0.3333333333333333,,,,0.3333333333333333,,,,,0.5,1.0,0.3333333333333333,0.3333333333333333,,0.5714285714285714,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201986,1610612759,Nando De Colo,Nando De Colo,201986,SAS,829.0,14,5.0,27,28,6.0,3.0,55,28,,,,,,,,,6.0,20.0,,0.2222222222222222,10.0,,1.0,2.0,3.0,,2.0,3.0,4.0,9.0,,6.0,3.0,2.0,,,,,,,0.6666666666666666,0.75,0.75,,0.75,0.75,0.6666666666666666,0.1666666666666666,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.5374666666666666,10.05,24.55,1.0,1.0,,1.0,3.0,,,1.0,1.0,,,,0.0588235294117647,,0.1666666666666666,0.1666666666666666,,0.63675,,,,,,,,,,3.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,3.0,,,,1.5,,1.5,,0.0833333333333333,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202709,1610612759,Cory Joseph,Cory Joseph,202709,SAS,284.0,5,8.0,8,9,,1.0,17,5,1.0,2.0,,,5.0,,,,,11.11111111111111,,,9.0,1.0,1.0,,,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,0.5225,1.8,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,1.0,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,129499.0,2158,300.0,4239,4214,832.0,443.0,8453,4361,175.0,220.0,112.0,36.0,485.0,92.0,51.0,159.0,820.0,25.49143944197844,0.5786163522012578,0.1962727058268459,677.0,208.0,321.0,,5.0,444.0,901.0,,5.0,1119.0,594.0,,4.0,,45.0,35.0,78.0,134.0,0.668918918918919,0.7425,,,,0.4927857935627081,0.4900662251655629,0.5339063992359121,0.0055187637969094,0.3543046357615894,0.6479750778816199,0.7298245614035088,0.6394230769230769,0.0055187637969094,,,,0.3598233995584989,,0.4674593370165746,8.844284128745842,36.38,286.0,,,3.0,,67.0,125.0,563.0,721.0,0.074361820199778,0.0034965034965034,0.2723311546840958,0.2546583850931677,0.2758620689655172,0.3156732891832229,,,0.4632143712574849,56.0,81.0,41.0,66.0,78.0,134.0,186.0,74.0,165.0,209.0,294.0,88.0,44.0,408.0,30.0,158.0,25.0,67.0,267.0,316.0,160.0,139.0,101.0,37.0,139.0,82.0,207.0,0.582089552238806,0.4484848484848485,0.582089552238806,0.4404761904761904,0.6078431372549019,0.5097560975609756,0.379746835443038,0.2496940024479804,0.0942184154175588,0.0826666666666666,0.1506024096385542,0.2469879518072289,0.2417061611374407,0.5899280575539568,0.6044776119402985,0.691358024691358,0.3928571428571428,0.6212121212121212,0.1548886737657308,0.1556420233463035,0.1662198391420911,0.1867739052725648,127.0,294.0,111.0,41.0,8.0,1.0,0.0788352272727272,0.0581395348837209,0.2624254473161034,0.3245033112582781,0.4319727891156462,0.4810606060606061,0.5039370078740157,109.0,231.0,28.0,33.0,0.3811188811188811,0.3824561403508772,0.9174311926605504,,,3.0,,,,,,0.0178571428571428,,10.0,27.0,False,30.0,61.0,1.0,3.0,11.0,43.0,26.0,17.0,7.0,4.0,7.0,1.0,3.0,9.0,12.0,2.0,17.0,4.0,2.0,1.0,14.0,7.0,6.0,5.0,10.0,0.1121495327102803,0.1020408163265306,0.0260869565217391,0.1025641025641025,0.079913606911447,0.0631229235880398,0.2612612612612612,0.0280612244897959,0.1428571428571428,0.5124388888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,92630.0,1544,419.0,3108,3078,907.0,316.0,6186,3157,210.0,291.0,138.0,39.0,663.0,86.0,74.0,138.0,893.0,24.442513756154067,0.6231884057971014,0.2918275418275418,795.0,145.0,207.0,71.0,213.0,204.0,369.0,90.0,258.0,838.0,172.0,222.0,212.0,71.0,81.0,45.0,64.0,128.0,0.4215686274509804,0.441025641025641,0.8222222222222222,0.3488372093023256,0.3501945525291828,0.5528455284552846,0.5406698564593302,0.5848656294200849,0.4114832535885167,0.3301435406698564,0.7004830917874396,0.7474226804123711,0.4275862068965517,0.3397129186602871,0.3333333333333333,0.3413461538461538,0.7887323943661971,0.7416267942583732,0.3349056603773584,0.5258641599999999,6.494579945799458,24.96434108527132,70.0,45.0,16.0,84.0,48.0,25.0,43.0,172.0,202.0,0.067750677506775,0.0285714285714285,0.1235632183908046,0.1175257731958762,0.1235955056179775,0.1116427432216905,0.0717703349282296,0.0816326530612244,0.4998123711340203,23.0,26.0,41.0,57.0,28.0,33.0,102.0,62.0,112.0,280.0,236.0,18.0,8.0,128.0,1.0,30.0,34.0,52.0,194.0,188.0,64.0,16.0,8.0,7.0,17.0,9.0,273.0,0.8484848484848485,0.5535714285714286,0.7413793103448276,0.5076530612244898,0.7769230769230769,0.58125,0.0126582278481012,0.1156278229448961,0.0178173719376391,0.0231481481481481,0.0137931034482758,0.0664556962025316,0.1543942992874109,0.5294117647058824,0.4482758620689655,0.8846153846153846,0.2908163265306122,0.7192982456140351,0.0970588235294117,0.1523809523809524,0.1217183770883054,0.3341288782816229,39.0,92.0,22.0,12.0,13.0,1.0,0.0259740259740259,0.0223880597014925,0.1135135135135135,0.1467304625199362,0.4239130434782608,0.4756097560975609,0.4615384615384615,20.0,160.0,32.0,13.0,0.2857142857142857,0.2941176470588235,0.3,19.0,19.0,68.0,25.0,0.2976190476190476,0.4222222222222222,0.4418604651162791,0.9473684210526316,0.3469387755102041,0.2794117647058823,36.0,33.0,False,16.0,81.0,1.0,,8.0,70.0,36.0,34.0,3.0,,8.0,8.0,2.0,3.0,2.0,18.0,4.0,27.0,7.0,13.0,27.0,,,13.0,21.0,0.0628019323671497,0.108695652173913,,0.0233333333333333,0.032258064516129,0.0197368421052631,0.1234567901234567,0.0273972602739726,0.3043478260869565,0.5605756097560975,1.0,4.0,6.0,9.0,21.0,10.0,25.0,7.0,2.0,1.0,1.0,0.4,0.0271317829457364,0.0444444444444444,0.0234741784037558,0.0689655172413793,0.25,1.0,0.3620689655172414,0.4285714285714285,0.8888888888888888,0.375,0.0076923076923076,,,,,
