EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceArc3FGM,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,Fg3aBlocked,FTOffRebounds,LostBallTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,BlockedCorner3,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,Charge Fouls Drawn,on,Corner3PctBlocked,3SecondViolations
1626246,1610612755,Boban Marjanovic,Boban Marjanovic,1626246,PHI,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
202699,1610612755,Tobias Harris,Tobias Harris,202699,PHI,16428.4,274.0,119.0,550.0,550.0,126.0,105.0,59.0,1100.0,9.0,14.0,2.0,2.0,3.0,12.0,22.0,6.0,12.0,4.0,11.0,1.0,1.0,2.0,7.0,31.0,2.0,1.0,7.0,27.0,48.0,11.0,42.0,16.0,103.0,519.0,1.0,4.0,1.0,3.0,1.0,6.0,3.0,6.0,1.0,9.0,6.0,15.0,26.0,28.0,33.0,31.0,7.0,4.0,23.0,6.0,29.0,4.0,2.0,11.0,8.0,4.0,64.0,3.0,2.0,23.0,34.0,3.0,60.0,5.0,65.0,2.0,10.0,8.0,2.0,4.0,4.0,4.0,2.0,1.0,8.0,3.0,13.0,22.0,1.0,1.0,11.0,1.0,17.0,3.0,1.0,4.0,5.0,1.0,1.0,3.0,2.0,6.0,3.0,1.0,13.0,125.0,2.0,0.48148148148148145,0.48148148148148145,1.0,0.2619047619047619,0.3333333333333333,0.1111111111111111,0.2619047619047619,0.5625,0.25,0.5,0.48333333333333334,0.35714285714285715,0.3,0.5255102040816326,0.375,0.4166666666666667,0.4666666666666667,0.08333333333333333,0.14285714285714285,0.045454545454545456,0.08333333333333333,16.93548387096774,0.5,0.25,0.20238095238095238,0.015384615384615385,0.18253968253968253,0.028846153846153848,0.19387755102040816,0.021367521367521368,0.038461538461538464,0.025,0.041666666666666664,0.18032786885245902,0.19230769230769232,0.27586206896551724,0.20588235294117646,0.08333333333333333,0.0425531914893617,0.5,0.15555555555555556,0.6428571428571429,0.75,0.5555555555555556,0.24444444444444444,0.5454545454545454,0.5714285714285714,0.5,0.13333333333333333,0.5,0.5454545454545454,0.3333333333333333,0.12222222222222222,0.36363636363636365,0.36363636363636365,1.0,0.34444444444444444,0.22580645161290322,0.22580645161290322,1.0,0.2857142857142857,0.14285714285714285,1.0,1.0,0.2857142857142857,0.2,0.6666666666666666,0.13333333333333333,0.4666666666666667,0.14285714285714285,0.6222222222222222,0.22580645161290322,0.49990388888888904,0.5181916666666667,0.5110466666666666,0.0425531914893617,0.058823529411764705,0.023255813953488372,0.05825242718446602,0.14563106796116504,8.304166666666667,25.228571428571428,0.2290909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
202710,1610612755,Jimmy Butler,Jimmy Butler,202710,PHI,16062.400000000001,268.0,138.0,533.0,530.0,130.0,92.0,62.0,1063.0,22.0,27.0,3.0,6.0,7.0,19.0,30.0,1.0,9.0,4.0,11.0,,1.0,1.0,7.0,24.0,2.0,4.0,10.0,42.0,66.0,11.0,35.0,39.0,156.0,493.0,6.0,7.0,1.0,3.0,7.0,22.0,9.0,16.0,4.0,11.0,17.0,47.0,26.0,58.0,27.0,23.0,7.0,3.0,21.0,17.0,38.0,11.0,6.0,12.0,7.0,2.0,93.0,7.0,4.0,19.0,14.0,,33.0,12.0,45.0,4.0,9.0,7.0,2.0,7.0,6.0,2.0,,,9.0,2.0,2.0,7.0,,1.0,34.0,2.0,45.0,17.0,4.0,3.0,4.0,,,2.0,1.0,4.0,3.0,,47.0,130.0,3.0,0.30952380952380953,0.34210526315789475,0.8181818181818182,0.3142857142857143,0.3333333333333333,0.36363636363636365,0.3235294117647059,0.6363636363636364,0.8571428571428571,0.5625,0.5792079207920792,0.75,0.5555555555555556,0.6554621848739496,0.8461538461538461,0.6714285714285714,0.3465346534653465,0.045454545454545456,,0.1,,21.122112211221122,0.7777777777777778,,0.08284023668639054,0.03125,0.14615384615384616,0.06363636363636363,0.11036789297658862,0.046218487394957986,0.017857142857142856,0.05747126436781609,0.08695652173913043,0.08771929824561403,0.06493506493506493,0.11428571428571428,0.1346153846153846,0.19230769230769232,0.1,0.75,0.26732673267326734,0.8148148148148148,0.8148148148148148,0.36363636363636365,0.297029702970297,0.6333333333333333,0.7037037037037037,0.21052631578947367,0.0891089108910891,0.1111111111111111,0.1111111111111111,1.0,0.10891089108910891,0.36363636363636365,0.36363636363636365,1.0,0.2376237623762376,0.2916666666666667,0.30434782608695654,0.7142857142857143,0.3,0.1,,,0.2,0.25925925925925924,0.8571428571428571,0.037037037037037035,0.37037037037037035,0.4,0.6138613861386139,0.30434782608695654,0.49695000000000006,0.5241250000000001,0.4839403846153845,0.1810344827586207,0.21794871794871795,0.10526315789473684,0.14102564102564102,0.30128205128205127,7.281818181818181,25.92571428571429,0.24390243902439024,3.0,1.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.02857142857142857,0.041666666666666664,0.0625,0.045454545454545456,0.03571428571428571,1.0,0.5,1.0,,,,,,,,,,,,True,,
203118,1610612755,Mike Scott,Mike Scott,203118,PHI,5306.4,88.0,12.0,177.0,186.0,105.0,94.0,22.0,363.0,2.0,2.0,1.0,,,2.0,3.0,,,3.0,8.0,,,5.0,3.0,9.0,1.0,1.0,5.0,4.0,5.0,6.0,17.0,,26.0,188.0,2.0,3.0,,1.0,,4.0,1.0,1.0,3.0,10.0,,11.0,6.0,2.0,18.0,9.0,3.0,,2.0,1.0,3.0,1.0,,2.0,,,7.0,1.0,1.0,9.0,7.0,,16.0,2.0,18.0,,,,,1.0,1.0,2.0,,,3.0,2.0,3.0,7.0,,1.0,1.0,,,,,,,,,,,,,,11.0,104.0,,0.75,0.75,1.0,0.35294117647058826,,0.3,0.35294117647058826,0.8,0.6666666666666666,1.0,0.5909090909090909,0.5,0.5,0.5909090909090909,0.5,0.5,0.7727272727272727,,,,,12.077294685990339,0.3333333333333333,,0.1346153846153846,0.027777777777777776,0.21428571428571427,0.027777777777777776,0.1702127659574468,0.027777777777777776,,0.037037037037037035,,0.11764705882352941,0.13333333333333333,0.15,0.22857142857142856,0.14285714285714285,,,0.09090909090909091,1.0,1.0,0.5,0.13636363636363635,0.6666666666666666,0.6666666666666666,1.0,,,,,0.36363636363636365,0.375,0.375,1.0,0.4090909090909091,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,0.25,,,0.45454545454545453,0.45454545454545453,0.2,0.8636363636363636,0.3333333333333333,0.5016727272727273,0.3086333333333333,0.4849090909090909,,,,0.15384615384615385,0.4230769230769231,5.32,24.870588235294118,0.5932203389830508,1.0,,,,,,,,,,,,,,,0.07692307692307693,,1.0,,,2.0,1.0,2.0,0.4,,,,,,,,True,,
203954,1610612755,Joel Embiid,Joel Embiid,203954,PHI,20060.0,334.0,142.0,667.0,669.0,194.0,161.0,77.0,1336.0,37.0,62.0,14.0,9.0,17.0,15.0,42.0,4.0,16.0,1.0,1.0,,,,11.0,38.0,3.0,1.0,11.0,56.0,120.0,12.0,39.0,74.0,222.0,640.0,5.0,17.0,,3.0,18.0,28.0,15.0,30.0,1.0,11.0,33.0,66.0,74.0,38.0,36.0,38.0,11.0,6.0,21.0,16.0,37.0,9.0,7.0,15.0,3.0,3.0,90.0,5.0,16.0,37.0,51.0,6.0,94.0,21.0,115.0,8.0,8.0,6.0,2.0,18.0,7.0,22.0,6.0,6.0,40.0,16.0,17.0,34.0,5.0,2.0,68.0,7.0,90.0,31.0,1.0,17.0,25.0,,,20.0,5.0,25.0,17.0,,66.0,193.0,15.0,0.6607142857142857,0.7115384615384616,1.0,0.3076923076923077,,0.09090909090909091,0.3076923076923077,0.4666666666666667,0.29411764705882354,0.5,0.46540880503144655,0.25,0.4024390243902439,0.555,0.4375,0.5409836065573771,0.24528301886792453,0.05,0.03225806451612903,0.07142857142857142,0.0625,31.447368421052634,0.45,0.375,0.2463768115942029,0.1032258064516129,0.23870967741935484,0.03731343283582089,0.2430939226519337,0.0726643598615917,0.109375,0.019417475728155338,0.0967741935483871,0.1891891891891892,0.3068181818181818,0.2222222222222222,0.25,0.1935483870967742,0.09523809523809523,0.68,0.389937106918239,0.5967741935483871,0.6166666666666667,0.7027027027027027,0.2641509433962264,0.35714285714285715,0.38461538461538464,0.6666666666666666,0.10062893081761007,0.25,0.26666666666666666,0.25,0.006289308176100629,1.0,1.0,1.0,0.2389937106918239,0.2894736842105263,0.2894736842105263,1.0,0.7,,,,0.15,0.4146341463414634,0.5294117647058824,,0.2682926829268293,0.09090909090909091,0.6352201257861635,0.2894736842105263,0.49499371069182385,0.5154107142857144,0.49942195121951216,0.17486338797814208,0.21678321678321677,0.025,0.12612612612612611,0.2972972972972973,6.1241666666666665,26.051282051282048,0.2908545727136432,4.0,,,8.0,,,,11.0,3.0,8.0,,,,,,0.14285714285714285,0.02857142857142857,0.2857142857142857,,,,1.0,1.0,,3.0,4.0,1.0,,,,,True,,
1627732,1610612755,Ben Simmons,Ben Simmons,1627732,PHI,16967.0,283.0,114.0,568.0,569.0,161.0,134.0,69.0,1137.0,46.0,65.0,12.0,15.0,20.0,5.0,15.0,,,,,,,,,,,,,51.0,80.0,,,10.0,112.0,543.0,9.0,15.0,,,1.0,19.0,17.0,26.0,,,2.0,36.0,50.0,52.0,,,,5.0,29.0,19.0,48.0,13.0,6.0,23.0,3.0,3.0,115.0,3.0,17.0,19.0,27.0,4.0,50.0,20.0,70.0,5.0,7.0,2.0,5.0,15.0,9.0,8.0,2.0,2.0,23.0,5.0,11.0,27.0,1.0,,27.0,2.0,21.0,8.0,,4.0,5.0,2.0,1.0,3.0,,7.0,5.0,,36.0,160.0,2.0,0.49019607843137253,0.5555555555555556,,,,,,0.6375,0.6,0.6538461538461539,0.6375,0.6,0.6538461538461539,0.6292134831460674,0.59375,0.6,,0.0625,0.06153846153846154,0.06666666666666667,,17.23076923076923,0.6521739130434783,0.3333333333333333,0.15168539325842698,0.12878787878787878,0.1450381679389313,0.02654867256637168,0.1488673139158576,0.08163265306122448,0.18181818181818182,0.03488372093023256,,0.11594202898550725,0.14285714285714285,0.25,0.14423076923076922,0.14814814814814814,0.21739130434782608,0.7142857142857143,0.8125,0.7076923076923077,0.7540983606557377,0.5217391304347826,0.1875,0.3333333333333333,0.35714285714285715,0.2,,,,,,,,,,,,,0.8,,,,,0.7692307692307693,0.75,,,,0.8125,,0.5746950000000001,0.5372416666666666,0.582246153846154,0.09411764705882353,0.09411764705882353,,0.16964285714285715,0.32142857142857145,2.3587499999999997,,0.2834507042253521,8.0,,,12.0,,,,6.0,1.0,3.0,,2.0,,,,0.1,0.07407407407407407,0.6666666666666666,,,,,2.0,,3.0,1.0,5.0,1.0,0.375,,,True,,
1628413,1610612755,Jonah Bolden,Jonah Bolden,1628413,PHI,1013.0,17.0,12.0,32.0,32.0,15.0,15.0,6.0,64.0,,2.0,,,1.0,,,,,1.0,1.0,,,,,2.0,1.0,,1.0,,2.0,1.0,3.0,,3.0,31.0,,,,1.0,,,,1.0,,1.0,,,,,3.0,2.0,,,,1.0,1.0,1.0,,,,,3.0,,,1.0,1.0,,2.0,1.0,3.0,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,15.0,,,,1.0,0.3333333333333333,,,0.3333333333333333,,,,0.3,,,0.3,,,0.6,,,,,15.0,,,0.1111111111111111,,0.14285714285714285,,0.125,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.4,,,,,,,,,,,,0.2,1.0,1.0,1.0,0.4,,,,,,,,1.0,0.5,,,0.5,,1.0,,0.45576999999999995,0.4629,0.45425,,,,,,3.3,25.76666666666667,0.46875,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,True,,
200755,1610612755,JJ Redick,JJ Redick,200755,PHI,17534.0,292.0,112.0,585.0,580.0,154.0,135.0,64.0,1165.0,3.0,3.0,,,,1.0,3.0,8.0,16.0,7.0,15.0,,1.0,3.0,22.0,53.0,3.0,5.0,11.0,12.0,22.0,29.0,68.0,10.0,121.0,567.0,,,1.0,4.0,,3.0,2.0,6.0,7.0,14.0,4.0,29.0,24.0,,75.0,53.0,22.0,,9.0,5.0,14.0,5.0,,7.0,2.0,,33.0,1.0,1.0,6.0,8.0,,14.0,2.0,16.0,,1.0,1.0,,7.0,3.0,8.0,3.0,1.0,15.0,5.0,7.0,23.0,1.0,2.0,16.0,,11.0,1.0,1.0,2.0,3.0,,,2.0,1.0,3.0,2.0,,29.0,154.0,1.0,1.0,1.0,0.8620689655172413,0.4264705882352941,0.25,0.5,0.4264705882352941,0.5454545454545454,,0.3333333333333333,0.6166666666666667,0.375,0.625,0.6344086021505376,0.375,0.6666666666666666,0.7555555555555555,,,,,16.363636363636363,0.4666666666666667,,0.044444444444444446,0.007407407407407408,0.044444444444444446,0.008333333333333333,0.044444444444444446,0.00784313725490196,,0.010869565217391304,,0.030303030303030304,0.05128205128205128,0.05555555555555555,0.056074766355140186,,,0.6666666666666666,0.03333333333333333,1.0,1.0,1.0,0.03333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.17777777777777778,0.5,0.5,1.0,0.16666666666666666,0.4666666666666667,0.4666666666666667,1.0,0.5888888888888889,0.41509433962264153,0.41509433962264153,0.8181818181818182,,0.25,,,0.75,,,0.15,0.55,0.45454545454545453,0.7888888888888889,0.41509433962264153,0.5180611111111111,0.54955,0.49476249999999994,0.02197802197802198,0.045454545454545456,0.014492753623188406,0.024793388429752067,0.2396694214876033,15.640909090909089,25.676470588235293,0.26324786324786326,,1.0,12.0,,,,,4.0,,1.0,,,,,,,0.03125,,0.3333333333333333,1.0,2.0,1.0,1.0,0.6666666666666666,1.0,,3.0,,,3.0,,True,,
203516,1610612755,James Ennis III,James Ennis III,203516,PHI,6221.0,104.0,84.0,202.0,204.0,77.0,58.0,22.0,406.0,9.0,9.0,4.0,2.0,2.0,,5.0,,1.0,2.0,5.0,1.0,1.0,1.0,2.0,4.0,,,2.0,9.0,15.0,4.0,9.0,7.0,37.0,184.0,4.0,4.0,1.0,1.0,1.0,12.0,2.0,5.0,1.0,3.0,4.0,11.0,8.0,10.0,12.0,4.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,,13.0,2.0,4.0,5.0,4.0,2.0,11.0,6.0,17.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,4.0,11.0,,1.0,10.0,2.0,12.0,4.0,1.0,1.0,2.0,1.0,1.0,,,3.0,3.0,,11.0,76.0,1.0,0.4444444444444444,0.8,1.0,0.4444444444444444,1.0,0.3333333333333333,0.4444444444444444,0.6,1.0,0.4,0.625,1.1,0.4375,0.6379310344827587,1.0,0.55,0.375,0.2,,0.6,,13.478260869565219,0.5,0.2857142857142857,0.06349206349206349,0.08888888888888889,0.10638297872340426,0.05714285714285714,0.08181818181818182,0.075,0.0625,0.07692307692307693,,0.11764705882352941,,0.08695652173913043,0.07894736842105263,0.2222222222222222,,1.0,0.375,1.0,1.0,0.4444444444444444,0.20833333333333334,,,,0.041666666666666664,,,,0.20833333333333334,0.4,0.4,1.0,0.16666666666666666,0.5,0.5,1.0,0.8,0.2,1.0,1.0,,0.25,1.0,0.125,0.25,,0.75,0.5,0.524925,0.55965,0.47443124999999997,0.17857142857142858,0.2222222222222222,0.1,0.32432432432432434,0.2972972972972973,4.113333333333334,24.43333333333333,0.3811881188118812,4.0,,,8.0,,,,,,1.0,,2.0,,,,0.125,0.07692307692307693,1.0,,,1.0,,1.0,1.0,,,1.0,,,,1.0,True,,
203613,1610612755,Jonathon Simmons,Jonathon Simmons,203613,PHI,411.0,7.0,-19.0,14.0,15.0,5.0,8.0,3.0,29.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,2.0,,,22.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,10.526315789473685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,1.0,,,,1.0,,1.0,,0.565875,0.5412,0.5412,,,,,,,24.75,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
