EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyFtPoints,Fg2aBlocked,LongMidRangeAssists,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PtsUnassisted3s,PenaltyTurnovers,Charge Fouls,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Loose Ball Fouls,BlockedLongMidRange,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,SecondChanceTurnovers,OffCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffShortMidRangeReboundPct
1626167,1610612754,Myles Turner,Myles Turner,1626167,IND,5511.0,92,-6.0,180,185,20.0,30.0,11.0,365,4.0,4.0,1.0,1.0,1.0,4.0,8.0,1.0,2.0,2.0,10.0,1.0,1.0,1.0,8.0,13.0,3.0,12.0,7.0,32.0,195.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,14.0,2.0,9.0,2.0,10.0,2.0,2.0,4.0,6.0,2.0,2.0,1.0,1.0,16.0,1.0,2.0,7.0,8.0,15.0,3.0,18.0,1.0,1.0,1.0,2.0,5.0,10.0,1.0,8.0,1.0,9.0,1.0,5.0,6.0,6.0,6.0,3.0,2.0,20.0,1.0,0.875,1.0,1.0,0.25,1.0,0.25,0.6153846153846154,1.0,0.5,0.5,1.25,0.3333333333333333,0.5517241379310345,1.0,0.3333333333333333,0.48,15.897435897435898,0.5,0.1568627450980392,0.041666666666666664,0.22580645161290322,0.025,0.18292682926829268,0.03409090909090909,0.16666666666666666,0.029411764705882353,0.10526315789473684,0.125,0.25,0.21739130434782608,0.25,0.5,0.16,1.0,1.0,0.75,0.04,0.32,0.5,0.5,1.0,0.08,0.5,0.5,1.0,0.4,0.2,0.2,1.0,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,0.64,0.2,0.49565600000000004,0.5467,0.44063333333333327,0.1724137931034483,0.29411764705882354,0.1875,0.0625,12.669230769230769,25.666666666666668,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201152,1610612754,Thaddeus Young,Thaddeus Young,201152,IND,7826.0,130,-4.0,254,254,23.0,33.0,15.0,508,11.0,20.0,1.0,5.0,12.0,1.0,2.0,2.0,6.0,,2.0,,,,16.0,34.0,2.0,8.0,4.0,42.0,262.0,2.0,6.0,,,,4.0,2.0,2.0,,5.0,22.0,10.0,6.0,2.0,2.0,,13.0,2.0,15.0,1.0,1.0,11.0,,32.0,5.0,4.0,6.0,12.0,19.0,9.0,28.0,1.0,4.0,,5.0,4.0,10.0,,8.0,1.0,7.0,1.0,3.0,3.0,2.0,3.0,1.0,5.0,23.0,2.0,0.6875,0.7333333333333333,1.0,0.25,,0.25,0.47058823529411764,0.3333333333333333,1.0,0.4523809523809524,0.3333333333333333,1.0,0.4666666666666667,0.3333333333333333,0.8333333333333334,0.19047619047619047,18.315018315018314,0.2,0.17142857142857143,0.057971014492753624,0.13636363636363635,0.09090909090909091,0.15789473684210525,0.07258064516129033,0.047619047619047616,0.11363636363636363,0.13043478260869565,0.2608695652173913,0.125,0.12903225806451613,0.15384615384615385,0.3333333333333333,0.47619047619047616,0.55,0.5789473684210527,0.7272727272727273,0.2857142857142857,0.047619047619047616,0.5,0.5,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.047619047619047616,,,,0.8333333333333334,0.2,,,,,0.6666666666666666,,0.5513988095238095,0.6043999999999999,0.62055,0.06818181818181818,0.08333333333333333,0.09523809523809523,0.11904761904761904,4.361764705882353,23.9,0.09055118110236221,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,11.0,6.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.029411764705882353,0.05,0.3333333333333333,0.10714285714285714,0.043478260869565216,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201936,1610612754,Tyreke Evans,Tyreke Evans,201936,IND,2194.0,37,-5.0,70,68,11.0,11.0,2.0,138,6.0,7.0,,,1.0,,3.0,,,4.0,7.0,,,1.0,6.0,11.0,4.0,7.0,7.0,31.0,74.0,,,,,2.0,2.0,2.0,3.0,1.0,5.0,6.0,6.0,6.0,,7.0,4.0,1.0,,1.0,,,,,2.0,,,3.0,1.0,4.0,,4.0,2.0,,1.0,2.0,2.0,4.0,,8.0,,10.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,11.0,,0.5,0.5,0.5,0.5714285714285714,,0.5714285714285714,0.5454545454545454,,0.6666666666666666,0.6666666666666666,,0.5,0.7045454545454546,1.0,0.625,0.3888888888888889,33.333333333333336,1.0,0.07142857142857142,,0.21428571428571427,,0.14285714285714285,,,,,0.16666666666666666,,0.25,0.16666666666666666,1.0,0.3888888888888889,0.8571428571428571,1.0,0.5,0.05555555555555555,0.16666666666666666,,,,,,,,0.3888888888888889,0.5714285714285714,0.5714285714285714,0.5,,,,,,0.25,0.7777777777777778,0.5714285714285714,0.4979916666666667,,0.5177125,0.2727272727272727,0.4,0.06451612903225806,0.16129032258064516,7.336363636363638,26.857142857142858,0.15714285714285714,2.0,2.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,0.09090909090909091,0.14285714285714285,,,,,,,0.5,1.0,6.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201954,1610612754,Darren Collison,Darren Collison,201954,IND,5959.0,99,4.0,196,197,18.0,27.0,13.0,393,7.0,10.0,1.0,1.0,4.0,6.0,14.0,,1.0,2.0,7.0,,1.0,,14.0,28.0,2.0,8.0,4.0,38.0,201.0,1.0,2.0,,1.0,,2.0,1.0,1.0,,4.0,16.0,12.0,,,7.0,2.0,13.0,2.0,15.0,1.0,1.0,7.0,2.0,32.0,2.0,,3.0,4.0,7.0,2.0,9.0,6.0,3.0,1.0,9.0,2.0,5.0,,4.0,,4.0,,2.0,,,,,4.0,18.0,,0.5714285714285714,0.5714285714285714,,0.25,,0.25,0.5,0.5,1.0,0.4722222222222222,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.2222222222222222,22.065727699530516,0.6666666666666666,0.06896551724137931,,0.08823529411764706,0.044444444444444446,0.07608695652173914,0.020618556701030927,,0.05263157894736842,0.047619047619047616,,0.16666666666666666,0.08,0.1111111111111111,,0.2777777777777778,0.7,0.7,0.7142857142857143,0.1111111111111111,0.3888888888888889,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.027777777777777776,,,,0.19444444444444445,0.2857142857142857,0.2857142857142857,,0.3333333333333333,1.0,0.3333333333333333,,,,0.5,0.2857142857142857,0.49848055555555554,,0.7069,0.05263157894736842,0.06666666666666667,0.05263157894736842,0.10526315789473684,11.046428571428573,25.9375,0.09183673469387756,1.0,1.0,1.0,2.0,,4.0,,,2.0,2.0,,,5.0,1.0,,,,,,,,,,0.25,0.25,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,
202709,1610612754,Cory Joseph,Cory Joseph,202709,IND,2195.0,37,-10.0,69,70,4.0,6.0,3.0,139,1.0,2.0,,,2.0,1.0,2.0,,1.0,1.0,3.0,,1.0,,2.0,6.0,1.0,4.0,,7.0,70.0,,,,1.0,,,,,,,4.0,,3.0,,3.0,1.0,2.0,,2.0,,,1.0,,4.0,,,1.0,3.0,4.0,,4.0,,,,,1.0,3.0,,2.0,2.0,,,,,,,,,4.0,,1.0,1.0,1.0,0.25,,0.25,0.3333333333333333,,,0.35,,,0.35,,,0.4,13.88888888888889,,0.17647058823529413,,0.08333333333333333,,0.13793103448275862,,,,,,0.42857142857142855,0.125,,,0.2,0.5,1.0,1.0,0.2,0.2,0.5,0.5,1.0,0.1,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,,,1.0,,,,0.6,0.3333333333333333,0.471425,0.49485,,,,,,8.783333333333333,25.425,0.057971014492753624,,,,,1.0,1.0,,,,,,,,,,,,,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
202711,1610612754,Bojan Bogdanovic,Bojan Bogdanovic,202711,IND,6987.0,116,-5.0,227,225,23.0,32.0,14.0,452,13.0,17.0,,,8.0,2.0,9.0,1.0,2.0,6.0,17.0,,1.0,1.0,18.0,34.0,7.0,19.0,15.0,72.0,236.0,,2.0,,1.0,1.0,1.0,2.0,5.0,1.0,10.0,18.0,18.0,18.0,,17.0,6.0,5.0,5.0,10.0,3.0,2.0,4.0,1.0,25.0,1.0,2.0,6.0,11.0,19.0,3.0,22.0,1.0,2.0,1.0,3.0,2.0,3.0,,16.0,1.0,17.0,3.0,5.0,,,,,10.0,23.0,,0.5,0.5,0.8571428571428571,0.3684210526315789,,0.3684210526315789,0.5294117647058824,,0.4,0.5377358490566038,,0.3333333333333333,0.603448275862069,,0.5555555555555556,0.3584905660377358,24.489795918367346,0.3333333333333333,0.16923076923076924,0.03278688524590164,0.16666666666666666,0.02,0.16831683168316833,0.02702702702702703,0.11764705882352941,0.025,0.13636363636363635,0.17391304347826086,0.2,0.19230769230769232,0.1,,0.32075471698113206,0.7647058823529411,0.8125,0.5384615384615384,0.1509433962264151,0.16981132075471697,0.2222222222222222,0.2222222222222222,0.5,0.03773584905660377,0.5,0.5,1.0,0.32075471698113206,0.35294117647058826,0.35294117647058826,0.8333333333333334,,,0.3333333333333333,,,0.16666666666666666,0.6792452830188679,0.35294117647058826,0.5449216981132076,0.44995,0.5445833333333333,0.10714285714285714,0.1388888888888889,0.013888888888888888,0.1388888888888889,7.126470588235294,25.49473684210526,0.1013215859030837,2.0,3.0,3.0,6.0,4.0,,2.0,1.0,8.0,6.0,2.0,,,1.0,,2.0,,1.0,0.11764705882352941,0.058823529411764705,0.6666666666666666,,0.041666666666666664,0.375,0.6,0.3333333333333333,0.5,0.6666666666666666,3.0,,1.0,,,3.0,1.0,0.375,0.05,,,,,,,,True,,,,,,,,,,,,
202083,1610612754,Wesley Matthews,Wesley Matthews,202083,IND,5871.0,98,11.0,190,194,13.0,23.0,13.0,384,2.0,5.0,,,1.0,,1.0,3.0,4.0,3.0,14.0,,,1.0,2.0,7.0,6.0,18.0,3.0,25.0,198.0,,,1.0,1.0,,3.0,,,1.0,,2.0,2.0,18.0,,14.0,3.0,4.0,4.0,8.0,3.0,1.0,3.0,,20.0,,,3.0,6.0,9.0,,9.0,3.0,2.0,,5.0,1.0,6.0,,5.0,2.0,3.0,,,1.0,,1.0,,,13.0,,0.5,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2857142857142857,,,0.44,1.5,,0.4807692307692308,1.5,,0.72,14.97584541062802,0.6,0.10714285714285714,,0.09375,,0.10227272727272728,,,,0.15789473684210525,0.2,,0.041666666666666664,0.25,,0.2,0.4,0.4,0.5,0.04,0.04,,,,0.16,0.75,0.75,1.0,0.56,0.21428571428571427,0.21428571428571427,1.0,,,,,,1.0,0.92,0.21428571428571427,0.544048,,0.4995,0.038461538461538464,,0.12,,5.442857142857143,25.82777777777778,0.06842105263157895,,,,,,1.0,,,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,
1627734,1610612754,Domantas Sabonis,Domantas Sabonis,1627734,IND,2315.0,39,2.0,74,69,3.0,3.0,4.0,143,2.0,2.0,,,1.0,2.0,5.0,,1.0,,1.0,,,,5.0,8.0,,2.0,1.0,11.0,67.0,,,,,,,,,,,6.0,4.0,,,1.0,,4.0,3.0,7.0,3.0,,2.0,,17.0,,,3.0,6.0,9.0,,9.0,1.0,1.0,,2.0,,3.0,,4.0,,2.0,,1.0,1.0,,1.0,1.0,,3.0,,0.6,0.6,,,,,0.625,,,0.5,,,0.5,,,0.2,16.666666666666668,0.5,0.3157894736842105,,0.23076923076923078,,0.28125,,,,0.25,0.42857142857142855,0.25,0.125,0.4,1.0,0.2,1.0,1.0,0.5,0.1,0.5,0.4,0.4,1.0,0.1,,,,0.1,,,,,,,,,,0.4,,0.45115999999999995,,,0.09090909090909091,0.1111111111111111,,,12.650000000000002,25.2,0.04054054054054054,,,1.0,,,2.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,
1628988,1610612754,Aaron Holiday,Aaron Holiday,1628988,IND,75.0,1,-2.0,3,2,,,,5,,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666666666667,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.3977,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
203926,1610612754,Doug McDermott,Doug McDermott,203926,IND,197.0,3,-5.0,7,6,,,,13,,,,,,,,,1.0,,2.0,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,42.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,0.6666666666666666,,,,,,,,,,1.0,,0.52125,,,,,,,,25.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,
