EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsAssisted2s,PtsPutbacks,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShortMidRangeAssists,FTDefRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,DefFTReboundPct,ShortMidRangePctAssisted,PenaltyAtRimFGM,FTOffRebounds,Blocked3s,BlockedCorner3,BlockedShortMidRange,ShortMidRangePctBlocked,OffFTReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,Corner3FGA,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,Travels,Corner3Frequency,PenaltyCorner3Frequency,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,BlockingFoulsDrawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallTurnovers,Technical Free Throw Trips,on,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsAssisted3s,HeaveAttempts,ThreePtAssists,Arc3Assists,Corner3Assists,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Assisted3sPct,SecondChanceFg3Pct,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,BlockedArc3,OffensiveGoaltends,Clear Path Fouls,Corner3PctBlocked
101179,1610612747,Ronnie Price,Ronnie Price,101179,LAL,4444.0,74,143,144,68.0,59,19,287,3.0,6.0,3.0,1.0,1.0,2.0,8.0,5.0,1.0,1.0,6.0,15.0,5.0,9.0,21.0,156,1.0,2.0,1.0,2.0,4.0,3.0,10.0,1.0,8.0,14.0,12.0,5.0,1.0,20.0,20.0,9.0,11.0,40.0,2.0,3.0,7.0,1.0,8.0,5.0,13.0,2.0,5.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,4.0,11.0,1.0,7.0,2.0,9.0,1.0,2.0,3.0,14.0,68.0,4.0,3.0,0.4,0.5,0.3,0.3,0.3333333333333333,0.2727272727272727,0.4375,0.5,0.4666666666666667,0.25,0.06666666666666667,0.16666666666666666,17.177914110429448,0.75,0.037037037037037035,0.061224489795918366,0.22580645161290322,0.18181818181818182,0.13793103448275862,0.08333333333333333,0.25,0.08333333333333333,0.2,0.1,0.2631578947368421,0.16666666666666666,0.15384615384615385,0.3,0.5,0.6,0.05,1.0,1.0,0.4,0.25,0.25,0.25,0.3333333333333333,0.2727272727272727,0.09090909090909091,0.55,0.46211,0.45658333333333334,0.4233227272727273,0.09523809523809523,0.125,0.19047619047619047,0.6666666666666666,11.786666666666665,26.560000000000002,0.4755244755244755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201941,1610612747,Jordan Hill,Jordan Hill,201941,LAL,342.0,6,13,11,2.0,6,3,24,1.0,1.0,,1.0,1.0,1.0,4.0,,,,3.0,6.0,,,6.0,12,3.0,3.0,,,6.0,,,,,,4.0,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,0.5,1.0,,0.5,1.0,,0.5,1.0,,,,,37.5,,,0.2857142857142857,,,,0.2222222222222222,1.0,,,,,,,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.6666666666666666,0.25,0.25,,,,,0.16666666666666666,0.48184999999999995,0.5306000000000001,,,,1.0,,11.316666666666668,,0.15384615384615385,-6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202333,1610612747,Xavier Henry,Xavier Henry,202333,LAL,5134.0,86,167,168,83.0,71,26,335,1.0,5.0,2.0,1.0,2.0,1.0,6.0,,,,3.0,13.0,,14.0,20.0,171,,2.0,,1.0,1.0,1.0,5.0,,8.0,10.0,2.0,,,3.0,3.0,,2.0,6.0,1.0,1.0,,1.0,2.0,2.0,4.0,,3.0,,3.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,,16.0,1.0,24.0,,12.0,,10.0,83.0,2.0,,0.23076923076923078,,0.2,0.23076923076923078,,0.2,0.4,0.16666666666666666,0.4166666666666667,,,,14.43298969072165,0.3333333333333333,0.030303030303030304,0.016666666666666666,,0.07692307692307693,0.015151515151515152,0.0273972602739726,,0.058823529411764705,0.08333333333333333,0.08333333333333333,,,,0.38461538461538464,0.2,0.2,0.15384615384615385,0.5,0.5,0.46153846153846156,0.16666666666666666,0.16666666666666666,,,0.4,,0.38461538461538464,0.48151538461538473,0.2823,0.49056,0.48,0.48,0.05,0.5,10.2,,0.49700598802395207,14.0,,1.0,4.0,,,,,,0.6666666666666666,0.6666666666666666,,,1.0,0.5,,1.0,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202334,1610612747,Ed Davis,Ed Davis,202334,LAL,3878.0,65,126,125,57.0,60,21,251,13.0,14.0,6.0,3.0,7.0,,,,,,16.0,21.0,,3.0,35.0,118,5.0,5.0,,2.0,12.0,6.0,10.0,,2.0,14.0,10.0,,1.0,,,,,,,4.0,8.0,4.0,13.0,5.0,18.0,,3.0,3.0,,,,,,,5.0,6.0,,5.0,,7.0,1.0,4.0,,14.0,57.0,,,0.7619047619047619,1.0,0.6,0.7619047619047619,1.0,0.6,0.7291666666666666,1.0,0.6363636363636364,,0.047619047619047616,,16.216216216216218,,0.16,0.09302325581395349,0.3333333333333333,,0.24489795918367346,0.07692307692307693,0.125,0.2,,0.1111111111111111,0.4,0.2222222222222222,,0.6666666666666666,0.9285714285714286,0.9285714285714286,0.3333333333333333,0.42857142857142855,0.5,,,,,,0.6,,0.6666666666666666,0.5275190476190476,0.60855,0.44672999999999996,0.16666666666666666,0.16666666666666666,0.34285714285714286,0.4,3.5999999999999996,,0.4523809523809524,30.0,5.0,5.0,22.0,4.0,4.0,3.0,5.0,3.0,0.6875,0.7857142857142857,,0.6,,1.0,1.0,,1.0,,,0.2,1.0,5.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.1,0.2222222222222222,0.14285714285714285,0.6153846153846154,0.6,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,658.0,11,24,22,8.0,10,5,46,,,,,,,3.0,2.0,,2.0,,3.0,4.0,2.0,2.0,29,,,,,,,,3.0,2.0,2.0,,2.0,,,,,,,,1.0,2.0,,2.0,1.0,3.0,,1.0,1.0,,,,2.0,2.0,,1.0,1.0,,3.0,,2.0,,,1.0,2.0,8.0,,1.0,,,,,,,0.125,,0.25,0.5714285714285714,,,34.48275862068966,,,0.1,0.5,,0.2222222222222222,0.06666666666666667,,,,,0.3333333333333333,1.0,,,,,,,,0.42857142857142855,,,0.2857142857142857,,,0.6666666666666666,0.5714285714285714,0.4765714285714286,,0.50225,,,,1.0,15.766666666666667,24.825,0.3333333333333333,-10.0,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,1610612747,Carlos Boozer,Carlos Boozer,2430,LAL,745.0,12,25,23,4.0,4,4,48,3.0,4.0,1.0,,1.0,1.0,2.0,,,,4.0,7.0,,1.0,9.0,33,2.0,2.0,,,4.0,1.0,1.0,,,2.0,4.0,,,,,,,,1.0,1.0,,1.0,1.0,2.0,3.0,,,,,,,,,,1.0,2.0,,1.0,,2.0,,1.0,,2.0,4.0,,,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.5625,1.0,1.0,,,,27.586206896551726,,0.125,0.1111111111111111,,0.3333333333333333,0.09090909090909091,0.16666666666666666,,,0.5,,,,,0.5714285714285714,0.75,0.75,0.14285714285714285,,,0.2857142857142857,0.5,0.5,,,1.0,,0.5714285714285714,0.4706857142857143,0.5786,0.5553,0.125,0.125,0.4444444444444444,0.2222222222222222,7.928571428571429,,0.16,-7.0,2.0,2.0,4.0,4.0,,,,,0.5,1.0,0.16666666666666666,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,0.16666666666666666,,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201961,1610612747,Wayne Ellington,Wayne Ellington,201961,LAL,1612.0,27,49,50,20.0,5,7,99,1.0,1.0,1.0,,,3.0,5.0,3.0,,2.0,4.0,6.0,3.0,1.0,12.0,58,1.0,1.0,,,2.0,2.0,4.0,2.0,1.0,8.0,2.0,3.0,,1.0,1.0,1.0,,2.0,,,2.0,1.0,3.0,1.0,4.0,,1.0,1.0,,,,,,,2.0,2.0,,2.0,,2.0,,,1.0,8.0,20.0,,1.0,0.6666666666666666,1.0,0.5,0.6111111111111112,1.0,0.5833333333333334,0.6,1.0,0.5714285714285714,0.3333333333333333,,,17.857142857142854,,0.09090909090909091,,0.16666666666666666,,0.13043478260869565,,,,,,0.2857142857142857,,,0.1111111111111111,1.0,1.0,,,,0.5555555555555556,0.6,0.6,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.4444444444444444,0.4924888888888888,0.6685,0.50315,,,0.16666666666666666,0.6666666666666666,15.1,24.733333333333334,0.40816326530612246,-4.0,1.0,1.0,6.0,,,,,,0.75,0.75,,,0.6666666666666666,1.0,1.0,,,,,,,1.0,1.0,,,,,0.2,,0.25,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203135,1610612747,Robert Sacre,Robert Sacre,203135,LAL,3579.0,60,116,120,65.0,47,17,236,2.0,3.0,,3.0,9.0,11.0,17.0,,,,16.0,29.0,,3.0,35.0,110,2.0,4.0,,,4.0,6.0,13.0,,,12.0,10.0,,,2.0,2.0,,,4.0,,2.0,4.0,3.0,8.0,3.0,11.0,,3.0,2.0,1.0,1.0,,1.0,2.0,,,2.0,1.0,4.0,,6.0,,3.0,,12.0,65.0,,,0.5517241379310345,0.5,0.46153846153846156,0.5517241379310345,0.5,0.46153846153846156,0.546875,0.5,0.46153846153846156,,,,25.185185185185183,0.5,0.13043478260869565,0.05128205128205128,0.16,,0.14583333333333334,0.0425531914893617,,,,,0.1875,0.1111111111111111,,0.10344827586206896,0.6666666666666666,0.6666666666666666,0.3103448275862069,0.3333333333333333,0.3333333333333333,0.5862068965517241,0.6470588235294118,0.6470588235294118,,,,,0.10344827586206896,0.4121206896551724,0.4401333333333333,0.38180769230769235,0.09375,0.09375,0.11428571428571428,0.34285714285714286,13.46551724137931,,0.5603448275862069,33.0,1.0,1.0,22.0,2.0,1.0,1.0,1.0,,0.6875,0.7333333333333333,0.10526315789473684,,0.8181818181818182,0.25,1.0,2.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,,1.0,,,,,0.1,0.16666666666666666,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203903,1610612747,Jordan Clarkson,Jordan Clarkson,203903,LAL,3376.0,56,108,111,65.0,49,16,219,5.0,5.0,4.0,1.0,3.0,3.0,7.0,,,,9.0,15.0,,12.0,30.0,107,2.0,3.0,,,4.0,6.0,10.0,,10.0,22.0,14.0,,1.0,5.0,5.0,2.0,1.0,10.0,,2.0,1.0,1.0,4.0,3.0,7.0,,3.0,2.0,1.0,,,2.0,2.0,,,4.0,1.0,10.0,,15.0,1.0,7.0,1.0,22.0,65.0,1.0,1.0,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.6,0.6818181818181818,0.6666666666666666,0.6875,,0.06666666666666667,,19.047619047619047,,0.045454545454545456,0.05,0.05263157894736842,,0.04878048780487805,0.044444444444444446,0.14285714285714285,,,0.1,,0.125,,0.3333333333333333,1.0,1.0,0.2,0.3333333333333333,0.5,0.4666666666666667,0.42857142857142855,0.42857142857142855,,,0.4,,0.3333333333333333,0.4655866666666667,0.4254,0.4941,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.7333333333333333,9.533333333333331,,0.6018518518518519,25.0,1.0,1.0,4.0,2.0,,,,,0.2222222222222222,0.25,0.047619047619047616,,0.3333333333333333,0.3333333333333333,1.0,2.0,2.0,,1.0,0.5,,4.0,1.0,,,,0.3333333333333333,0.1,,,0.2,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202325,1610612747,Wesley Johnson,Wesley Johnson,202325,LAL,302.0,5,11,12,7.0,11,1,23,,,,,,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,,2.0,9,,,,,,1.0,2.0,1.0,,2.0,2.0,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,2.0,7.0,1.0,,0.5,,0.5,0.25,,0.3333333333333333,0.25,,0.3333333333333333,0.5,,,33.333333333333336,,,,0.5,,0.5,,,,,,,1.0,,,,,,,,0.5,0.5,0.5,0.5,,,0.3333333333333333,0.5,0.45177500000000004,,0.4226666666666667,,,,1.0,20.0,25.85,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
