EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,BlockedCorner3,DefensiveGoaltends,on
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,95055.0,1584.0,302.0,3089.0,3075.0,552.0,438.0,323.0,6164.0,153.0,222.0,36.0,51.0,28.0,34.0,103.0,243.0,43.0,108.0,1.0,1.0,3.0,3.0,299.0,573.0,1.0,4.0,141.0,742.0,3100.0,44.0,84.0,12.0,100.0,45.0,79.0,3.0,31.0,121.0,420.0,178.0,3.0,54.0,1.0,2.0,45.0,131.0,35.0,166.0,18.0,17.0,82.0,26.0,23.0,367.0,32.0,79.0,5.0,83.0,291.0,25.0,399.0,116.0,515.0,9.0,45.0,33.0,12.0,53.0,7.0,31.0,33.0,2.0,22.0,6.0,86.0,7.0,17.0,55.0,2.0,104.0,3.0,9.0,12.0,162.0,11.0,5.0,4.0,198.0,22.0,102.0,8.0,112.0,86.0,4.0,22.0,112.0,68.0,3.0,1.0,120.0,540.0,8.0,6.0,0.7023411371237458,0.7720588235294118,1.0,0.25,0.3333333333333333,0.5218150087260035,0.5238095238095238,0.569620253164557,0.5207972270363952,0.5238095238095238,0.5487804878048781,0.5578947368421052,0.5376344086021505,0.5931372549019608,0.006932409012131715,0.07853403141361257,0.10810810810810811,0.0823045267489712,0.009259259259259259,21.730324074074073,0.6162790697674418,0.3424657534246575,0.06329113924050633,0.2451558550968829,0.079,0.22865013774104684,0.08290155440414508,0.24129032258064517,0.08008658008658008,0.1188118811881188,0.07253886010362694,0.04823151125401929,0.07380073800738007,0.10434782608695652,0.2224824355971897,0.2865013774104683,0.23173803526448364,0.23018867924528302,0.22448979591836735,0.039301310043668124,0.6071428571428571,0.3847487001733102,0.6891891891891891,0.7727272727272727,0.7712418300653595,0.42114384748700173,0.42386831275720166,0.4618834080717489,0.5436893203883495,0.18717504332755633,0.39814814814814814,0.40186915887850466,0.8372093023255814,0.0017331022530329288,1.0,1.0,1.0,0.005199306759098787,0.6071428571428571,0.7058823529411765,0.25,0.4146341463414634,0.8235294117647058,0.036585365853658534,0.39168110918544197,0.47093671874999987,0.5175013513513514,0.47134506172839497,0.1552511415525114,0.1562021439509954,0.1347708894878706,0.16307277628032346,7.408900523560207,32.25,0.17869860796374232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,33468.0,558.0,152.0,1116.0,1103.0,383.0,379.0,130.0,2219.0,41.0,70.0,5.0,7.0,17.0,26.0,17.0,47.0,2.0,19.0,12.0,20.0,75.0,27.0,60.0,136.0,37.0,95.0,67.0,298.0,1088.0,7.0,15.0,9.0,41.0,23.0,46.0,31.0,38.0,114.0,56.0,64.0,87.0,4.0,,75.0,16.0,72.0,40.0,112.0,22.0,18.0,54.0,11.0,7.0,264.0,2.0,8.0,1.0,20.0,36.0,8.0,64.0,11.0,75.0,3.0,19.0,12.0,7.0,39.0,13.0,27.0,16.0,2.0,12.0,1.0,55.0,1.0,16.0,8.0,3.0,34.0,,1.0,,97.0,2.0,6.0,6.0,95.0,8.0,31.0,19.0,7.0,5.0,1.0,1.0,7.0,4.0,,,110.0,369.0,6.0,15.0,0.4666666666666667,0.4827586206896552,0.7837837837837838,0.3894736842105263,0.3894736842105263,0.4411764705882353,0.4666666666666667,0.5,0.5,0.6956521739130435,0.4935064935064935,0.5439560439560439,0.7407407407407407,0.5588235294117647,0.41125541125541126,0.11764705882352941,0.12857142857142856,0.14893617021276595,,25.952380952380953,0.7090909090909091,0.17777777777777778,0.024390243902439025,0.09809264305177112,0.025889967637540454,0.13245033112582782,0.01092896174863388,0.10810810810810811,0.02032520325203252,0.04838709677419355,0.01680672268907563,,0.007575757575757576,0.0196078431372549,0.10317460317460317,0.07518796992481203,0.12037037037037036,0.1282051282051282,0.14705882352941177,0.02654867256637168,0.5714285714285714,0.30303030303030304,0.5857142857142857,0.6721311475409836,0.4878048780487805,0.20346320346320346,0.3617021276595745,0.425,0.47058823529411764,0.08225108225108226,0.10526315789473684,0.10526315789473684,,0.08658008658008658,0.6,0.631578947368421,1.0,0.3246753246753247,0.30434782608695654,0.7142857142857143,0.6,0.33766233766233766,0.6538461538461539,0.35064935064935066,0.7142857142857143,0.5090541125541126,0.4741166666666667,0.4919337662337663,0.12598425196850394,0.1949685534591195,0.13758389261744966,0.3825503355704698,5.820588235294117,24.9,0.3431899641577061,3.0,3.0,2.0,4.0,25.0,3.0,5.0,8.0,6.0,8.0,10.0,24.0,25.0,2.0,2.0,1.0,2.0,1.0,0.75,0.3225806451612903,0.021052631578947368,0.05,0.013333333333333334,0.3333333333333333,0.33783783783783783,0.68,0.13043478260869565,1.0,1.0,0.21739130434782608,0.6,0.6666666666666666,0.05194805194805195,0.5,0.2962962962962963,0.3333333333333333,0.010526315789473684,,,,,,,True
201158,1610612759,Marco Belinelli,Marco Belinelli,201158,SAS,30931.0,516.0,28.0,993.0,985.0,264.0,247.0,111.0,1978.0,17.0,31.0,1.0,3.0,3.0,7.0,8.0,19.0,19.0,41.0,8.0,20.0,55.0,14.0,44.0,91.0,27.0,75.0,40.0,209.0,1080.0,6.0,9.0,5.0,23.0,9.0,23.0,19.0,15.0,60.0,60.0,28.0,72.0,2.0,,55.0,3.0,20.0,21.0,41.0,11.0,10.0,11.0,6.0,3.0,103.0,3.0,3.0,1.0,10.0,38.0,2.0,50.0,7.0,57.0,2.0,10.0,6.0,4.0,16.0,1.0,10.0,8.0,2.0,6.0,,24.0,2.0,6.0,10.0,,34.0,,3.0,3.0,37.0,,2.0,2.0,46.0,1.0,13.0,6.0,,,,,1.0,,,,57.0,260.0,1.0,3.0,0.6818181818181818,0.6976744186046512,0.8888888888888888,0.36,0.36,0.4835164835164835,0.6666666666666666,0.391304347826087,0.5090361445783133,0.5294117647058824,0.5357142857142857,0.5564516129032258,0.5789473684210527,0.6,0.45180722891566266,0.03296703296703297,0.0967741935483871,,,18.901890189018903,0.6666666666666666,0.06451612903225806,0.030303030303030304,0.10555555555555556,0.01107011070110701,0.08333333333333333,0.017964071856287425,0.1,0.0136986301369863,0.010752688172043012,,0.02197802197802198,0.01652892561983471,0.021739130434782608,0.0873015873015873,0.10256410256410256,0.1282051282051282,0.08333333333333333,0.08333333333333333,0.02197802197802198,,0.18674698795180722,0.5483870967741935,0.6071428571428571,0.6470588235294118,0.1144578313253012,0.42105263157894735,0.42105263157894735,0.375,0.2469879518072289,0.4634146341463415,0.4634146341463415,0.8421052631578947,0.12048192771084337,0.4,0.4,1.0,0.3313253012048193,0.17647058823529413,0.3333333333333333,,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.6385542168674698,0.49872740963855444,0.4715222222222223,0.4899857142857142,0.08333333333333333,0.1262135922330097,0.11004784688995216,0.28708133971291866,10.895604395604398,25.001333333333324,0.26586102719033233,,1.0,3.0,5.0,19.0,2.0,7.0,6.0,2.0,8.0,9.0,9.0,19.0,,1.0,,2.0,2.0,0.25,0.47368421052631576,,,,0.34545454545454546,0.34545454545454546,0.8421052631578947,0.058823529411764705,,,0.4117647058823529,0.2857142857142857,1.0,0.11904761904761904,0.6,0.42857142857142855,0.34545454545454546,0.025974025974025976,1.0,1.0,1.0,,,,True
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,41137.0,686.0,182.0,1327.0,1320.0,184.0,189.0,146.0,2647.0,87.0,141.0,24.0,47.0,12.0,18.0,32.0,63.0,,1.0,,,,,119.0,205.0,,,67.0,305.0,1348.0,27.0,52.0,15.0,69.0,19.0,27.0,,11.0,49.0,166.0,72.0,,26.0,,,19.0,39.0,17.0,56.0,9.0,8.0,28.0,8.0,3.0,129.0,11.0,50.0,1.0,22.0,80.0,6.0,108.0,62.0,170.0,11.0,18.0,10.0,8.0,25.0,1.0,15.0,15.0,2.0,10.0,2.0,40.0,2.0,4.0,30.0,4.0,71.0,2.0,5.0,5.0,75.0,4.0,5.0,1.0,91.0,9.0,45.0,5.0,22.0,13.0,,9.0,22.0,15.0,3.0,,49.0,182.0,8.0,4.0,0.6974789915966386,0.7830188679245284,,,,0.5804878048780487,0.5192307692307693,0.7037037037037037,0.5804878048780487,0.5192307692307693,0.7037037037037037,0.6199186991869918,0.575,0.6621621621621622,,0.09268292682926829,0.11347517730496454,0.047619047619047616,,19.11764705882353,0.625,0.2222222222222222,0.03333333333333333,0.15717092337917485,0.11389521640091116,0.1437908496732026,0.06790123456790123,0.1540785498489426,0.10149750415973377,0.15436241610738255,0.12804878048780488,0.047619047619047616,0.07407407407407407,0.05555555555555555,0.14361702127659576,0.18633540372670807,0.14375,0.1504424778761062,0.125,0.16666666666666666,0.6818181818181818,0.6878048780487804,0.6170212765957447,0.696,0.735632183908046,0.3073170731707317,0.5079365079365079,0.5333333333333333,0.59375,0.004878048780487805,,,,,,,,,0.9038461538461539,0.5106382978723404,0.2916666666666667,0.6666666666666666,0.6666666666666666,,0.6878048780487804,0.5517219512195121,0.5711619047619049,0.5367962962962962,0.18672199170124482,0.18672199170124482,0.2262295081967213,0.16065573770491803,3.0121951219512195,,0.1386586284853052,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201980,1610612759,Danny Green,Danny Green,201980,SAS,138684.0,2311.0,430.0,4500.0,4478.0,913.0,826.0,483.0,8978.0,78.0,132.0,14.0,25.0,16.0,27.0,20.0,58.0,33.0,91.0,72.0,153.0,304.0,48.0,131.0,281.0,191.0,457.0,111.0,946.0,4562.0,20.0,38.0,9.0,100.0,21.0,43.0,81.0,47.0,188.0,170.0,92.0,537.0,16.0,1.0,303.0,15.0,122.0,36.0,158.0,22.0,14.0,69.0,23.0,30.0,352.0,15.0,36.0,3.0,80.0,201.0,8.0,289.0,54.0,343.0,10.0,101.0,63.0,38.0,51.0,16.0,38.0,42.0,6.0,13.0,2.0,93.0,7.0,17.0,87.0,6.0,163.0,,12.0,6.0,98.0,4.0,14.0,5.0,127.0,4.0,24.0,18.0,84.0,63.0,1.0,20.0,87.0,49.0,,,180.0,897.0,11.0,13.0,0.648854961832061,0.6910569105691057,0.93717277486911,0.4179431072210066,0.41885964912280704,0.46619217081850534,0.5263157894736842,0.4883720930232558,0.5657181571815718,0.5481927710843374,0.5685483870967742,0.5913154533844189,0.5681818181818182,0.6292517006802721,0.6192411924119241,0.05338078291814947,0.08333333333333333,0.06896551724137931,,17.35340729001585,0.5483870967741935,0.06611570247933884,0.02631578947368421,0.1210843373493976,0.025677603423680456,0.145985401459854,0.024115755627009645,0.1272644927536232,0.025197628458498024,0.03571428571428571,0.013461538461538462,0.029953917050691243,0.018018018018018018,0.03932584269662921,0.10472972972972973,0.10877862595419847,0.15073529411764705,0.14676616915422885,0.14383561643835616,0.02577319587628866,0.5632183908045977,0.17886178861788618,0.5909090909090909,0.6446280991735537,0.6538461538461539,0.07859078590785908,0.3448275862068966,0.37037037037037035,0.6,0.12330623306233063,0.3626373626373626,0.3626373626373626,0.6666666666666666,0.2073170731707317,0.47058823529411764,0.4768211920529801,0.9861111111111112,0.41192411924119243,0.30120481927710846,0.56,0.2857142857142857,0.21774193548387097,0.5925925925925926,0.3870967741935484,0.7981029810298103,0.5396871603260871,0.5415,0.5222378048780488,0.04183006535947712,0.07973421926910298,0.10570824524312897,0.19873150105708245,8.265836298932385,24.824507658643327,0.2028888888888889,6.0,16.0,18.0,33.0,119.0,11.0,29.0,15.0,17.0,45.0,33.0,36.0,119.0,5.0,5.0,1.0,25.0,8.0,0.37777777777777777,0.4074074074074074,0.010940919037199124,0.013071895424836602,0.009868421052631578,0.39144736842105265,0.3953488372093023,0.907563025210084,0.1927710843373494,0.375,1.0,0.3493975903614458,0.3793103448275862,0.8181818181818182,0.2661290322580645,0.5454545454545454,0.3125,0.3927392739273927,0.017241379310344827,,3.0,2.0,8.0,1.0,4.0,True
201948,1610612759,Austin Daye,Austin Daye,201948,SAS,7257.0,121.0,-16.0,241.0,237.0,45.0,55.0,28.0,478.0,3.0,5.0,,,1.0,1.0,1.0,8.0,3.0,11.0,5.0,11.0,19.0,5.0,7.0,24.0,10.0,30.0,2.0,46.0,251.0,,1.0,,3.0,1.0,5.0,8.0,2.0,7.0,6.0,8.0,27.0,,,19.0,,4.0,1.0,5.0,,1.0,2.0,2.0,,11.0,,2.0,,3.0,21.0,1.0,25.0,2.0,27.0,1.0,3.0,2.0,1.0,4.0,,4.0,4.0,1.0,,,8.0,1.0,,7.0,1.0,12.0,,,3.0,3.0,,,,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,,7.0,45.0,,1.0,0.42857142857142855,0.42857142857142855,0.9,0.3333333333333333,0.3333333333333333,0.2916666666666667,,0.2,0.4074074074074074,0.375,0.19230769230769232,0.41818181818181815,0.375,0.25,0.5555555555555556,,,,,23.076923076923077,0.5,0.3333333333333333,,0.22826086956521738,0.024096385542168676,0.11538461538461539,,0.2033898305084746,0.017241379310344827,,0.07142857142857142,,,,0.21212121212121213,0.19230769230769232,0.2727272727272727,0.13043478260869565,,0.027777777777777776,1.0,0.09259259259259259,0.6,0.6,0.3333333333333333,0.14814814814814814,0.125,0.125,,0.2037037037037037,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.2037037037037037,0.45454545454545453,0.45454545454545453,1.0,0.35185185185185186,,,,0.07692307692307693,1.0,0.38461538461538464,0.6481481481481481,0.5227953703703704,0.54195,0.5232846153846153,,,0.06521739130434782,0.15217391304347827,12.025,24.499999999999996,0.18672199170124482,,1.0,1.0,3.0,5.0,1.0,2.0,,1.0,3.0,1.0,3.0,5.0,,1.0,,,,0.3333333333333333,0.125,,,,0.2631578947368421,0.2631578947368421,0.8,0.25,,,0.5,0.5,1.0,0.23076923076923078,0.3333333333333333,,0.2631578947368421,,,,,,,,True
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,17372.0,290.0,79.0,578.0,580.0,197.0,202.0,65.0,1158.0,8.0,13.0,,,6.0,8.0,1.0,9.0,14.0,31.0,6.0,14.0,44.0,13.0,23.0,53.0,20.0,58.0,14.0,120.0,561.0,1.0,4.0,1.0,6.0,10.0,19.0,18.0,10.0,51.0,18.0,28.0,57.0,,,44.0,3.0,21.0,20.0,41.0,13.0,7.0,16.0,2.0,3.0,102.0,4.0,4.0,,7.0,17.0,1.0,25.0,8.0,33.0,2.0,12.0,6.0,6.0,11.0,1.0,6.0,6.0,2.0,5.0,,17.0,,7.0,6.0,4.0,21.0,2.0,1.0,1.0,20.0,,7.0,1.0,16.0,,3.0,4.0,,,,,,,,,51.0,193.0,2.0,3.0,0.391304347826087,0.391304347826087,0.95,0.3448275862068966,0.3448275862068966,0.4339622641509434,0.25,0.5263157894736842,0.4774774774774775,0.3125,0.5540540540540541,0.5,0.3333333333333333,0.5833333333333334,0.5225225225225225,0.05660377358490566,0.07692307692307693,0.1111111111111111,0.03225806451612903,20.70552147239264,0.6470588235294118,0.041666666666666664,,0.0794392523364486,0.02666666666666667,0.09333333333333334,0.034482758620689655,0.08304498269896193,0.03007518796992481,,0.0392156862745098,0.045454545454545456,0.04395604395604396,,0.08333333333333333,0.09375,0.06060606060606061,0.09803921568627451,0.08333333333333333,0.03225806451612903,,0.11711711711711711,0.6153846153846154,0.6666666666666666,0.5,0.08108108108108109,0.1111111111111111,0.125,,0.27927927927927926,0.45161290322580644,0.4666666666666667,0.35714285714285715,0.12612612612612611,0.42857142857142855,0.42857142857142855,1.0,0.3963963963963964,,,,0.21621621621621623,0.75,0.35135135135135137,0.6396396396396397,0.5102972727272728,0.5257999999999999,0.525223611111111,0.02631578947368421,0.05357142857142857,0.05,0.425,12.31320754716981,25.008620689655167,0.3408304498269896,1.0,2.0,3.0,5.0,14.0,,2.0,4.0,1.0,4.0,7.0,3.0,14.0,,,,2.0,,0.25,0.3888888888888889,,,,0.3181818181818182,0.3181818181818182,0.9285714285714286,0.25,0.5,1.0,0.25,,,0.13513513513513514,0.6,0.3076923076923077,0.3181818181818182,,,,,,,,True
202695,1610612759,Kawhi Leonard,Kawhi Leonard,202695,SAS,71400.0,1190.0,342.0,2320.0,2317.0,350.0,258.0,240.0,4637.0,76.0,106.0,14.0,17.0,12.0,17.0,62.0,133.0,61.0,124.0,25.0,49.0,60.0,9.0,199.0,363.0,38.0,109.0,116.0,628.0,2301.0,27.0,36.0,5.0,62.0,35.0,57.0,13.0,34.0,110.0,178.0,220.0,114.0,20.0,,60.0,17.0,69.0,27.0,96.0,14.0,13.0,42.0,15.0,12.0,219.0,9.0,33.0,2.0,54.0,144.0,16.0,214.0,44.0,258.0,10.0,82.0,49.0,33.0,29.0,6.0,18.0,22.0,2.0,11.0,5.0,51.0,3.0,6.0,33.0,,80.0,3.0,1.0,5.0,116.0,1.0,2.0,6.0,144.0,17.0,62.0,18.0,29.0,21.0,2.0,6.0,32.0,15.0,,,109.0,345.0,5.0,16.0,0.4472361809045226,0.4708994708994709,1.0,0.3486238532110092,0.3486238532110092,0.5482093663911846,0.75,0.6140350877192983,0.5423728813559322,0.6195652173913043,0.5428571428571428,0.585981308411215,0.6458333333333334,0.5978260869565217,0.2309322033898305,0.046831955922865015,0.10377358490566038,0.03759398496240601,0.008064516129032258,22.555812163202464,0.5686274509803921,0.2807017543859649,0.03773584905660377,0.15789473684210525,0.04365079365079365,0.19217081850533807,0.03225806451612903,0.16596814752724226,0.04057971014492753,0.028169014084507043,0.06825938566552901,0.028,0.016129032258064516,0.06451612903225806,0.09969788519637462,0.1625441696113074,0.2181208053691275,0.21393034825870647,0.1375,0.046296296296296294,0.46875,0.2245762711864407,0.7169811320754716,0.8,0.5526315789473685,0.2817796610169492,0.46616541353383456,0.484375,0.3225806451612903,0.2627118644067797,0.49193548387096775,0.4959349593495935,0.4426229508196721,0.1038135593220339,0.5102040816326531,0.5102040816326531,1.0,0.1271186440677966,0.3695652173913043,0.8235294117647058,0.2857142857142857,0.24285714285714285,0.7058823529411765,0.12857142857142856,0.4555084745762712,0.5007246822033898,0.507525,0.4770328571428572,0.11992263056092843,0.15196078431372548,0.09872611464968153,0.1751592356687898,9.984022038567495,24.38165137614679,0.15086206896551724,1.0,5.0,2.0,4.0,13.0,,5.0,,1.0,10.0,2.0,,13.0,,,,1.0,,0.1,0.15384615384615385,,,,0.21666666666666667,0.21666666666666667,1.0,0.10869565217391304,0.2,1.0,0.10869565217391304,,,0.05714285714285714,0.5,,0.21666666666666667,,,3.0,2.0,1.0,1.0,1.0,True
202709,1610612759,Cory Joseph,Cory Joseph,202709,SAS,42412.0,707.0,115.0,1367.0,1357.0,312.0,308.0,159.0,2724.0,48.0,84.0,3.0,8.0,13.0,24.0,23.0,46.0,22.0,46.0,7.0,12.0,7.0,1.0,93.0,176.0,9.0,19.0,52.0,265.0,1345.0,5.0,16.0,2.0,18.0,18.0,34.0,6.0,25.0,70.0,74.0,112.0,24.0,2.0,,7.0,13.0,59.0,31.0,90.0,21.0,10.0,20.0,25.0,14.0,211.0,6.0,13.0,,16.0,48.0,5.0,69.0,19.0,88.0,1.0,16.0,10.0,6.0,18.0,3.0,9.0,15.0,4.0,9.0,,33.0,1.0,8.0,22.0,3.0,53.0,1.0,4.0,5.0,67.0,2.0,8.0,3.0,72.0,6.0,28.0,10.0,9.0,6.0,1.0,2.0,10.0,5.0,,,66.0,302.0,3.0,7.0,0.3978494623655914,0.40217391304347827,0.8888888888888888,0.47368421052631576,0.47368421052631576,0.5284090909090909,0.3125,0.5294117647058824,0.5461538461538461,0.42105263157894735,0.5625,0.581140350877193,0.45,0.6140350877192983,0.09743589743589744,0.07386363636363637,0.11904761904761904,0.043478260869565216,0.021739130434782608,16.828478964401295,0.5454545454545454,0.13513513513513514,,0.10062893081761007,0.029953917050691243,0.0855614973262032,0.03015075376884422,0.0963855421686747,0.030015797788309637,0.036585365853658534,0.030864197530864196,0.018518518518518517,0.03205128205128205,0.023255813953488372,0.07051282051282051,0.12101910828025478,0.10975609756097561,0.09352517985611511,0.0625,0.013157894736842105,0.5,0.4307692307692308,0.5714285714285714,0.6486486486486487,0.4583333333333333,0.2358974358974359,0.5,0.5227272727272727,0.30434782608695654,0.2358974358974359,0.4782608695652174,0.4888888888888889,0.36363636363636365,0.06153846153846154,0.5833333333333334,0.5833333333333334,1.0,0.035897435897435895,0.42105263157894735,0.375,0.3333333333333333,0.6,0.5416666666666666,0.025,0.5282051282051282,0.49111881443298966,0.466871875,0.5438474358974358,0.13302752293577982,0.1414141414141414,0.06792452830188679,0.2641509433962264,7.747727272727272,24.742105263157896,0.2282370153621068,2.0,2.0,3.0,5.0,2.0,,1.0,,2.0,3.0,3.0,3.0,2.0,1.0,,,,1.0,0.6666666666666666,0.5,0.05263157894736842,,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.5,0.10526315789473684,1.0,1.0,0.05263157894736842,,,0.125,0.6,,0.2857142857142857,0.05,,1.0,1.0,,,,True
