EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockingFouls,3SecondViolations,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,OffensiveGoaltends,on,Arc3PctBlocked
200752,1610612758,Rudy Gay,Rudy Gay,200752,SAC,78633.0,1311,127.0,2622,2623,913,611,301.0,5245,83.0,137.0,16.0,24.0,32.0,51.0,98.0,202.0,56.0,148.0,5.0,19.0,1.0,3.0,1.0,4.0,35.0,94.0,1.0,4.0,18.0,41.0,237.0,487.0,40.0,113.0,180.0,774.0,2788,26.0,49.0,2.0,7.0,20.0,78.0,82.0,170.0,19.0,45.0,106.0,327.0,144.0,330.0,84.0,36.0,24.0,3.0,91.0,35.0,32.0,114.0,38.0,152.0,17.0,21.0,67.0,12.0,35.0,342.0,7.0,38.0,3.0,44.0,112.0,12.0,168.0,48.0,216.0,16.0,45.0,31.0,14.0,56.0,16.0,31.0,33.0,6.0,25.0,2.0,89.0,7.0,31.0,39.0,89.0,1.0,6.0,4.0,135.0,2.0,4.0,4.0,2.0,206.0,11.0,13.0,71.0,31.0,20.0,7.0,3.0,10.0,20.0,11.0,3.0,315.0,896,11.0,22.0,0.3037974683544304,0.32,0.7,0.35398230088495575,0.2857142857142857,0.4222222222222222,0.36363636363636365,0.486652977412731,0.5306122448979592,0.4823529411764706,0.495,0.5178571428571429,0.513953488372093,0.5520984081041969,0.5923076923076923,0.6007462686567164,0.18833333333333332,0.06570841889117043,0.08759124087591241,0.08415841584158416,0.02027027027027027,26.27318718381113,0.6292134831460674,0.16,0.037037037037037035,0.1362530413625304,0.045077105575326216,0.10161662817551963,0.027559055118110236,0.12430278884462151,0.04102096627164995,0.058394160583941604,0.041353383458646614,0.036303630363036306,0.027624309392265192,0.0273972602739726,0.08071748878923767,0.1310344827586207,0.18122977346278318,0.1027190332326284,0.09803921568627451,0.056338028169014086,0.55,0.22833333333333333,0.6058394160583942,0.664,0.3855421686746988,0.33666666666666667,0.48514851485148514,0.5297297297297298,0.25510204081632654,0.24666666666666667,0.3783783783783784,0.38620689655172413,0.26785714285714285,0.03166666666666667,0.2631578947368421,0.2631578947368421,0.8,0.15666666666666668,0.3723404255319149,0.3723404255319149,0.6857142857142857,0.42857142857142855,0.6666666666666666,0.05357142857142857,0.3333333333333333,0.07142857142857142,0.25,1.0,0.2372093023255814,0.6274509803921569,0.018604651162790697,0.25,0.19069767441860466,0.43902439024390244,0.4166666666666667,0.38461538461538464,0.47323123953098833,0.4848920000000001,0.46220613207547173,0.10757575757575757,0.12979890310786105,0.10077519379844961,0.42248062015503873,9.43141683778234,25.434513274336286,0.34820747520976353,,,,,,,,,,,,,,,,,,True,
200797,1610612758,Ryan Hollins,Ryan Hollins,200797,SAC,10271.0,171,-59.0,338,344,87,59,35.0,682,9.0,15.0,2.0,5.0,1.0,2.0,4.0,9.0,,3.0,,,,,,,,,,,,,13.0,27.0,,,14.0,40.0,397,2.0,6.0,,,6.0,10.0,2.0,4.0,,,9.0,13.0,22.0,4.0,,,4.0,,,,5.0,4.0,,4.0,,,2.0,2.0,,8.0,4.0,8.0,,4.0,13.0,4.0,21.0,12.0,33.0,1.0,,,,5.0,,1.0,4.0,1.0,4.0,,9.0,1.0,1.0,18.0,28.0,,2.0,1.0,20.0,3.0,3.0,,,23.0,,,7.0,5.0,6.0,4.0,,2.0,6.0,1.0,,11.0,85,1.0,3.0,0.8461538461538461,1.0,,,,,,0.48148148148148145,0.3333333333333333,0.5,0.48148148148148145,0.3333333333333333,0.5,0.5128205128205128,0.5555555555555556,0.65,,0.18518518518518517,0.13333333333333333,0.3333333333333333,,12.335958005249344,0.5555555555555556,0.3076923076923077,,0.11504424778761062,0.07142857142857142,0.08888888888888889,0.125,0.10759493670886076,0.08333333333333333,0.10526315789473684,0.05,0.058823529411764705,0.13043478260869565,0.1111111111111111,0.16666666666666666,0.09302325581395349,0.1,0.08823529411764706,0.09090909090909091,0.1111111111111111,0.16666666666666666,0.5555555555555556,0.6,0.6923076923076923,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.0,0.1111111111111111,,,,,,,,,,,,0.8333333333333334,0.4,,,,,,0.5,0.5,,,,,0.5555555555555556,,0.48933333333333323,0.4844833333333334,0.4476,0.20588235294117646,0.20588235294117646,0.25,0.325,4.922222222222222,,0.257396449704142,1.0,1.0,1.0,,,,,,,,,,,,,,,True,
201171,1610612758,Carl Landry,Carl Landry,201171,SAC,21019.0,350,13.0,698,703,344,285,86.0,1401,20.0,35.0,8.0,13.0,9.0,12.0,8.0,15.0,22.0,42.0,,,,,,,,,,,,,50.0,92.0,,,38.0,138.0,710,8.0,15.0,,,17.0,33.0,24.0,37.0,,,24.0,72.0,70.0,30.0,,,16.0,,,,12.0,2.0,3.0,5.0,3.0,,1.0,,1.0,13.0,5.0,23.0,1.0,13.0,34.0,3.0,50.0,29.0,79.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,9.0,2.0,4.0,,14.0,1.0,5.0,20.0,44.0,2.0,6.0,2.0,31.0,1.0,4.0,2.0,,45.0,1.0,,17.0,6.0,6.0,6.0,,,6.0,4.0,,72.0,341,7.0,6.0,0.7,0.8333333333333334,,,,,,0.5434782608695652,0.5333333333333333,0.6486486486486487,0.5434782608695652,0.5333333333333333,0.6486486486486487,0.6052631578947368,0.6875,0.7058823529411765,,0.13043478260869565,0.2571428571428571,0.2,,16.18204804045512,0.35714285714285715,0.11538461538461539,0.03571428571428571,0.14225941422594143,0.09913793103448276,0.11016949152542373,0.07462686567164178,0.13165266106442577,0.09364548494983277,0.0821917808219178,0.12658227848101267,0.0875,0.1,,0.15,0.18811881188118812,0.07692307692307693,0.10752688172043011,0.12,0.03333333333333333,0.6666666666666666,0.3804347826086957,0.5714285714285714,0.7692307692307693,0.6,0.16304347826086957,0.5333333333333333,0.6666666666666666,0.625,0.45652173913043476,0.5238095238095238,0.5238095238095238,0.8181818181818182,,,,,,,,,0.8666666666666667,0.6153846153846154,,,,,,0.32432432432432434,0.75,,,,,0.3804347826086957,,0.45327391304347836,0.49019999999999997,0.4490297297297298,0.1574074074074074,0.1574074074074074,0.2391304347826087,0.5217391304347826,10.13804347826087,,0.49283667621776506,2.0,1.0,,,,,,,,,,,,,,,,True,
201954,1610612758,Darren Collison,Darren Collison,201954,SAC,93887.0,1565,35.0,3135,3139,1137,781,351.0,6274,97.0,149.0,3.0,3.0,31.0,51.0,20.0,66.0,83.0,174.0,24.0,50.0,4.0,9.0,9.0,16.0,36.0,111.0,3.0,15.0,11.0,52.0,200.0,389.0,60.0,161.0,145.0,725.0,3361,8.0,16.0,7.0,24.0,12.0,49.0,66.0,137.0,20.0,68.0,89.0,281.0,90.0,310.0,117.0,63.0,4.0,3.0,108.0,36.0,25.0,211.0,41.0,252.0,31.0,10.0,102.0,40.0,69.0,545.0,2.0,16.0,1.0,47.0,76.0,1.0,124.0,19.0,143.0,3.0,67.0,44.0,23.0,72.0,12.0,44.0,40.0,5.0,28.0,7.0,112.0,4.0,42.0,52.0,95.0,5.0,1.0,2.0,143.0,9.0,1.0,8.0,7.0,184.0,6.0,12.0,60.0,26.0,11.0,3.0,1.0,7.0,14.0,11.0,,270.0,1118,4.0,17.0,0.225,0.22727272727272727,0.65,0.37267080745341613,0.2916666666666667,0.29411764705882354,0.379746835443038,0.5141388174807198,0.5,0.48175182481751827,0.5272727272727272,0.4625,0.4682926829268293,0.5664556962025317,0.5106382978723404,0.541015625,0.2927272727272727,0.06426735218508997,0.11409395973154363,0.09090909090909091,0.011494252873563218,21.034775233248517,0.6428571428571429,0.01020408163265306,0.009900990099009901,0.07661290322580645,0.01568627450980392,0.09233791748526522,0.006472491909385114,0.08194536975349767,0.013544018058690745,0.024096385542168676,0.006269592476489028,0.016260162601626018,0.0045871559633027525,0.01098901098901099,0.060836501901140684,0.07932011331444759,0.0851063829787234,0.08483290488431877,0.11666666666666667,0.012295081967213115,0.7857142857142857,0.27090909090909093,0.6510067114093959,0.7348484848484849,0.29896907216494845,0.12,0.30303030303030304,0.3333333333333333,0.1,0.31636363636363635,0.47701149425287354,0.48255813953488375,0.1686746987951807,0.09090909090909091,0.48,0.48,0.875,0.2018181818181818,0.32432432432432434,0.32432432432432434,0.5,0.075,1.0,0.225,0.4444444444444444,0.375,0.2,0.3333333333333333,0.24878048780487805,0.6078431372549019,0.07804878048780488,0.5625,0.25365853658536586,0.21153846153846154,0.5636363636363636,0.3333333333333333,0.499911243144424,0.5051972222222223,0.4726347290640392,0.10396039603960396,0.13544018058690746,0.06758620689655172,0.3875862068965517,10.220308483290493,25.50807453416148,0.3626794258373206,5.0,,,6.0,1.0,3.0,3.0,2.0,1.0,0.75,0.018404907975460124,,,,,,,True,
201956,1610612758,Omri Casspi,Omri Casspi,201956,SAC,12181.0,203,-13.0,415,419,231,138,55.0,834,25.0,34.0,4.0,5.0,18.0,24.0,3.0,16.0,,1.0,,,,,,,1.0,5.0,,1.0,,2.0,28.0,51.0,1.0,5.0,23.0,82.0,472,4.0,7.0,,1.0,4.0,12.0,21.0,30.0,,2.0,14.0,56.0,46.0,10.0,3.0,,4.0,,5.0,1.0,5.0,11.0,2.0,13.0,1.0,1.0,7.0,2.0,2.0,28.0,1.0,7.0,1.0,12.0,23.0,1.0,36.0,9.0,45.0,1.0,3.0,,3.0,4.0,,1.0,4.0,,3.0,2.0,8.0,,6.0,7.0,14.0,1.0,1.0,,23.0,,2.0,,,35.0,2.0,1.0,13.0,5.0,2.0,2.0,,,2.0,,,56.0,222,1.0,4.0,0.8214285714285714,0.8846153846153846,1.0,0.2,,,0.2,0.5490196078431373,0.5714285714285714,0.7,0.5267857142857143,0.5,0.65625,0.5694444444444444,0.5454545454545454,0.6829268292682927,0.08928571428571429,0.09803921568627451,0.058823529411764705,0.1875,,16.80672268907563,0.5,0.07142857142857142,0.058823529411764705,0.18548387096774194,0.051470588235294115,0.16666666666666666,0.03225806451612903,0.17857142857142858,0.04790419161676647,0.024390243902439025,0.07547169811320754,0.047619047619047616,0.041666666666666664,,0.12121212121212122,0.21428571428571427,0.2,0.1568627450980392,0.19047619047619047,0.047619047619047616,,0.6071428571428571,0.7352941176470589,0.78125,0.84,0.2857142857142857,0.1875,0.23076923076923078,0.6666666666666666,0.017857142857142856,,,,,,,,0.08928571428571429,0.2,0.2,1.0,0.625,0.8,,,0.125,,,0.75,0.75,,,0.0625,,0.6964285714285714,0.2,0.5306857142857143,0.5263,0.5828484375,0.19402985074626866,0.20967741935483872,0.14634146341463414,0.6829268292682927,4.1039215686274515,25.660000000000004,0.5566265060240964,,,1.0,,,,,,,,,0.5,,,,,,True,
203463,1610612758,Ben McLemore,Ben McLemore,203463,SAC,75497.0,1258,88.0,2527,2522,876,586,271.0,5049,54.0,82.0,5.0,7.0,20.0,23.0,8.0,29.0,30.0,62.0,28.0,67.0,1.0,1.0,7.0,19.0,38.0,108.0,5.0,12.0,9.0,35.0,92.0,173.0,66.0,175.0,57.0,439.0,2656,6.0,9.0,6.0,13.0,4.0,34.0,32.0,47.0,16.0,54.0,20.0,132.0,126.0,58.0,183.0,15.0,8.0,4.0,104.0,38.0,15.0,48.0,14.0,62.0,7.0,7.0,27.0,9.0,12.0,138.0,5.0,10.0,1.0,40.0,58.0,7.0,105.0,16.0,121.0,4.0,29.0,19.0,10.0,36.0,4.0,19.0,28.0,4.0,17.0,7.0,64.0,2.0,22.0,63.0,108.0,1.0,,5.0,59.0,1.0,1.0,5.0,2.0,68.0,3.0,,25.0,6.0,5.0,3.0,1.0,1.0,6.0,3.0,,132.0,865,7.0,5.0,0.6847826086956522,0.7159090909090909,0.9242424242424242,0.37714285714285717,0.46153846153846156,0.2962962962962963,0.38596491228070173,0.5317919075144508,0.6666666666666666,0.6808510638297872,0.5488505747126436,0.6818181818181818,0.5544554455445545,0.579155672823219,0.68,0.5892857142857143,0.5028735632183908,0.08670520231213873,0.12195121951219512,0.13793103448275862,0.016129032258064516,15.631616090331686,0.5625,0.07865168539325842,0.012658227848101266,0.07341772151898734,0.01240694789081886,0.0970873786407767,0.020242914979757085,0.08153078202995008,0.014245014245014245,0.025925925925925925,0.004166666666666667,0.006756756756756757,0.022857142857142857,0.013888888888888888,0.07653061224489796,0.06761565836298933,0.07667731629392971,0.1111111111111111,0.05154639175257732,0.023809523809523808,0.5,0.23563218390804597,0.6585365853658537,0.75,0.7037037037037037,0.08333333333333333,0.27586206896551724,0.32,0.5,0.1781609195402299,0.4838709677419355,0.4918032786885246,0.7,0.1925287356321839,0.417910447761194,0.42424242424242425,1.0,0.3103448275862069,0.35185185185185186,0.35185185185185186,0.868421052631579,0.3181818181818182,0.7142857142857143,0.045454545454545456,1.0,0.5454545454545454,0.4166666666666667,1.0,0.22772277227722773,0.8695652173913043,0.18811881188118812,0.3684210526315789,0.3465346534653465,0.2571428571428571,0.7385057471264368,0.36538461538461536,0.5341370262390671,0.5608305555555555,0.5274979166666669,0.07506702412868632,0.1282051282051282,0.0774487471526196,0.30068337129840544,8.827745664739886,25.09771428571429,0.3466561139691334,1.0,,,4.0,,3.0,1.0,1.0,,1.0,0.016853932584269662,0.2,1.0,0.005714285714285714,0.014925373134328358,,,True,
203917,1610612758,Nik Stauskas,Nik Stauskas,203917,SAC,12471.0,208,-17.0,429,419,188,163,45.0,848,4.0,6.0,,,1.0,1.0,1.0,3.0,4.0,8.0,2.0,4.0,,,1.0,3.0,8.0,20.0,1.0,2.0,5.0,8.0,9.0,17.0,10.0,24.0,6.0,54.0,480,,2.0,1.0,2.0,,3.0,3.0,3.0,6.0,11.0,4.0,28.0,14.0,4.0,30.0,,,,20.0,8.0,3.0,7.0,2.0,9.0,2.0,,3.0,,4.0,20.0,1.0,1.0,,3.0,9.0,,12.0,2.0,14.0,,3.0,3.0,,6.0,2.0,6.0,4.0,,,2.0,10.0,,4.0,11.0,23.0,,,,6.0,,,,,7.0,1.0,,3.0,1.0,2.0,1.0,,1.0,2.0,,,28.0,182,3.0,1.0,0.7777777777777778,0.7777777777777778,1.0,0.4166666666666667,0.5,0.5454545454545454,0.4166666666666667,0.5294117647058824,,1.0,0.5853658536585366,0.375,0.8571428571428571,0.6136363636363636,0.375,0.875,0.5853658536585366,0.17647058823529413,0.16666666666666666,0.3333333333333333,0.125,11.134020618556702,0.6,,,0.07142857142857142,0.007936507936507936,0.04918032786885246,0.017857142857142856,0.06417112299465241,0.01098901098901099,,0.021739130434782608,,0.024390243902439025,,0.02631578947368421,0.04,0.15789473684210525,0.045454545454545456,0.058823529411764705,,,0.14634146341463414,0.6666666666666666,0.8,0.75,0.07317073170731707,0.3333333333333333,0.5,1.0,0.1951219512195122,0.5,0.5714285714285714,0.75,0.0975609756097561,0.5,0.5,1.0,0.4878048780487805,0.4,0.4,1.0,,,,,0.5,0.5,1.0,0.07142857142857142,1.0,0.21428571428571427,0.3333333333333333,0.5714285714285714,0.625,0.7317073170731707,0.4,0.49297195121951215,0.46438333333333337,0.48823928571428565,0.06976744186046512,0.15789473684210525,0.05555555555555555,0.5185185185185185,10.86470588235294,25.058333333333334,0.4382284382284382,,,,,,,,,,,,,,,,,,True,
201574,1610612758,Jason Thompson,Jason Thompson,201574,SAC,57707.0,962,20.0,1888,1903,535,339,208.0,3791,28.0,59.0,11.0,25.0,8.0,14.0,28.0,57.0,30.0,64.0,,,,,,,,,,,,,86.0,180.0,,,49.0,221.0,1994,16.0,34.0,,,12.0,44.0,24.0,51.0,,,20.0,68.0,120.0,52.0,,,20.0,,,,11.0,28.0,4.0,32.0,3.0,1.0,18.0,5.0,5.0,68.0,6.0,49.0,1.0,59.0,117.0,17.0,193.0,56.0,249.0,11.0,14.0,11.0,3.0,18.0,5.0,10.0,22.0,1.0,8.0,3.0,40.0,4.0,14.0,60.0,124.0,1.0,17.0,8.0,59.0,3.0,12.0,1.0,1.0,73.0,3.0,,29.0,9.0,20.0,13.0,,7.0,20.0,9.0,,64.0,524,6.0,5.0,0.6976744186046512,0.7894736842105263,,,,,,0.4777777777777778,0.47058823529411764,0.47058823529411764,0.4777777777777778,0.47058823529411764,0.47058823529411764,0.513953488372093,0.5238095238095238,0.5230769230769231,,0.06111111111111111,0.11864406779661017,0.07017543859649122,,12.011304757418747,0.45,0.3148148148148148,0.019230769230769232,0.1902439024390244,0.07492354740061162,0.19601328903654486,0.03333333333333333,0.19213973799126638,0.06594724220623502,0.08,0.06842105263157895,0.07575757575757576,0.040983606557377046,0.017241379310344827,0.13496932515337423,0.17475728155339806,0.23983739837398374,0.19911504424778761,0.18666666666666668,0.13580246913580246,0.45,0.3277777777777778,0.4745762711864407,0.5384615384615384,0.5357142857142857,0.31666666666666665,0.49122807017543857,0.5283018867924528,0.6428571428571429,0.35555555555555557,0.46875,0.46875,0.9,,,,,,,,,0.7352941176470589,0.44,,,,,,0.27450980392156865,0.5714285714285714,,,,,0.3277777777777778,,0.4586294444444443,0.5163121212121213,0.444964705882353,0.1407766990291262,0.1407766990291262,0.19909502262443438,0.3076923076923077,9.562777777777777,,0.2833686440677966,3.0,1.0,2.0,,,,,,,,,0.09090909090909091,,,,1.0,1.0,True,
202326,1610612758,DeMarcus Cousins,DeMarcus Cousins,202326,SAC,56097.0,935,173.0,1887,1869,614,373,199.0,3756,146.0,241.0,34.0,62.0,43.0,71.0,32.0,99.0,54.0,140.0,,,,,,,1.0,2.0,,,1.0,1.0,232.0,480.0,1.0,2.0,190.0,657.0,1911,41.0,78.0,,,26.0,108.0,62.0,128.0,1.0,1.0,100.0,227.0,248.0,216.0,3.0,,54.0,,2.0,1.0,51.0,42.0,36.0,78.0,22.0,14.0,29.0,7.0,6.0,192.0,17.0,63.0,4.0,80.0,156.0,18.0,254.0,84.0,338.0,20.0,45.0,31.0,14.0,62.0,13.0,30.0,50.0,4.0,32.0,4.0,112.0,6.0,33.0,41.0,117.0,10.0,17.0,12.0,236.0,19.0,17.0,9.0,6.0,234.0,25.0,1.0,93.0,36.0,42.0,22.0,,20.0,42.0,23.0,11.0,227.0,608,12.0,31.0,0.5344827586206896,0.6048780487804878,1.0,0.5,,1.0,0.5,0.48333333333333334,0.5256410256410257,0.484375,0.48443983402489627,0.5256410256410257,0.49224806201550386,0.5597269624573379,0.5934065934065934,0.6102150537634409,0.004149377593360996,0.10625,0.14107883817427386,0.16161616161616163,0.007142857142857143,32.93950850661626,0.5535714285714286,0.35294117647058826,0.08333333333333333,0.2532467532467532,0.10588235294117647,0.26058631921824105,0.08585858585858586,0.25568797399783316,0.1008827238335435,0.1201923076923077,0.13114754098360656,0.06862745098039216,0.08029197080291971,0.09836065573770492,0.27607361963190186,0.2631578947368421,0.22950819672131148,0.2510460251046025,0.29411764705882354,0.10152284263959391,0.5476190476190477,0.5,0.6058091286307054,0.7053140096618358,0.4726027397260274,0.2053941908713693,0.32323232323232326,0.3855421686746988,0.53125,0.29045643153526973,0.38571428571428573,0.38848920863309355,0.7037037037037037,,,,,0.004149377593360996,0.5,0.5,1.0,0.7948717948717948,0.5483870967741935,,,,,,0.5503875968992248,0.6056338028169014,,,0.007751937984496124,1.0,0.504149377593361,0.5,0.4889950207468881,0.5312459016393443,0.5005616279069767,0.1690909090909091,0.16970802919708028,0.1643835616438356,0.3455098934550989,7.619375000000003,25.0,0.32538420773714893,7.0,2.0,1.0,,,,,,,,,0.14705882352941177,,,,,2.0,True,
203492,1610612758,Ray McCallum,Ray McCallum,203492,SAC,7806.0,130,-50.0,263,267,122,104,41.0,530,8.0,15.0,2.0,5.0,3.0,6.0,3.0,7.0,2.0,10.0,,4.0,,,,1.0,2.0,9.0,,1.0,,5.0,13.0,32.0,2.0,13.0,4.0,36.0,324,3.0,8.0,,1.0,,6.0,4.0,12.0,,6.0,4.0,12.0,8.0,18.0,6.0,,6.0,,9.0,2.0,5.0,7.0,3.0,10.0,2.0,1.0,2.0,2.0,3.0,23.0,,10.0,,4.0,7.0,,11.0,10.0,21.0,1.0,3.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,3.0,1.0,1.0,5.0,12.0,,,,5.0,,,,,8.0,,,2.0,2.0,2.0,1.0,,1.0,2.0,,,12.0,119,,2.0,0.3076923076923077,0.4,1.0,0.15384615384615385,,,0.15384615384615385,0.40625,0.375,0.3333333333333333,0.35555555555555557,0.3333333333333333,0.2222222222222222,0.3673469387755102,0.3333333333333333,0.2727272727272727,0.28888888888888886,0.15625,0.26666666666666666,,0.1,16.666666666666668,0.3333333333333333,,,0.08641975308641975,0.1,0.08888888888888889,,0.0873015873015873,0.07518796992481203,0.20588235294117646,0.07692307692307693,0.025,,,0.1,0.05555555555555555,0.09090909090909091,0.03125,0.23076923076923078,0.043478260869565216,,0.3333333333333333,0.5333333333333333,0.7272727272727273,0.5,0.15555555555555556,0.42857142857142855,0.42857142857142855,,0.2222222222222222,0.2,0.2222222222222222,,0.08888888888888889,,,,0.2,0.2222222222222222,0.2222222222222222,1.0,0.5555555555555556,0.4,,,0.1111111111111111,,,0.3333333333333333,0.5,0.05555555555555555,,0.2777777777777778,,0.6222222222222222,0.2222222222222222,0.4646215909090909,0.44318749999999996,0.4458529411764706,0.0425531914893617,0.058823529411764705,0.16666666666666666,0.3333333333333333,8.556249999999999,25.56153846153846,0.46387832699619774,,,,,,,,,,,,,,,,,,True,
