EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,HeaveAttempts,Fg2aBlocked,AtRimAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,BadPassTurnovers,Travels,ShootingFouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,FG3M,SecondChanceFG2M,PtsAssisted3s,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,SecondChanceArc3FGA,SecondChanceFG3A,Corner3Assists,LongMidRangeAssists,BlockedShortMidRange,SecondChanceArc3Frequency,SecondChanceTurnovers,Charge Fouls,OffensiveGoaltends,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,BlockingFouls,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,PtsUnassisted3s,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,on,SecondChanceCorner3FGA,Fg3aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls Drawn,Clear Path Fouls,Arc3PctBlocked,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,3SecondViolations,LongMidRangePctBlocked,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
101126,1610612741,Nate Robinson,Nate Robinson,101126,CHI,296.0,5,-7,7,9,3,3,1.0,16,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,13,1.0,2.0,2.0,1.0,1.0,3,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,37.5,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.4277166666666667,0.3675,6.1,25.35,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,1784.0,30,-13,49,56,18,21,8.0,105,1.0,1.0,,,5.0,9.0,,14.0,61,,2.0,,1.0,,18,0.5555555555555556,0.5555555555555556,0.6363636363636364,,21.666666666666668,0.1111111111111111,1.0,1.0,,,0.6666666666666666,0.5210777777777778,0.5606666666666666,5.611111111111111,,0.3673469387755102,3.0,6.0,1.0,3.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,6.0,3.0,11.0,8.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,2.0,2.0,0.8,0.8,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6875,0.5,0.19047619047619047,0.17391304347826086,0.14285714285714285,0.17857142857142858,0.125,0.09090909090909091,0.25,0.25,0.125,0.2857142857142857,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5,1.0,0.2222222222222222,0.5,0.5,1.0,0.5,0.8333333333333334,0.6,0.46335000000000004,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.7857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201959,1610612741,Taj Gibson,Taj Gibson,201959,CHI,2950.0,49,-45,85,92,20,33,11.0,177,1.0,5.0,2.0,2.0,4.0,13.0,2.0,11.0,123,2.0,,,2.0,2.0,20,0.3076923076923077,0.26666666666666666,0.3235294117647059,0.13333333333333333,22.448979591836736,0.3333333333333333,0.2,0.2,0.13333333333333333,1.0,0.4666666666666667,0.4436307692307692,,7.730769230769232,74.15,0.23529411764705882,1.0,5.0,1.0,,,2.0,3.0,3.0,2.0,2.0,2.0,,,2.0,2.0,8.0,2.0,,2.0,,,4.0,5.0,,5.0,8.0,7.0,15.0,,3.0,,2.0,2.0,5.0,1.0,9.0,7.0,4.0,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,0.3333333333333333,0.3333333333333333,0.6,0.19230769230769232,0.1388888888888889,,0.13513513513513514,0.13953488372093023,0.08333333333333333,0.15384615384615385,0.18181818181818182,0.1111111111111111,,0.36363636363636365,,0.5,0.3333333333333333,0.2,0.5,1.0,0.2,0.6666666666666666,0.6666666666666666,1.0,0.5,,,0.42855,0.0625,0.07142857142857142,0.18181818181818182,0.18181818181818182,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.6,0.75,0.5,0.14285714285714285,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
202710,1610612741,Jimmy Butler,Jimmy Butler,202710,CHI,3188.0,53,-27,91,96,25,30,13.0,187,,2.0,,,4.0,10.0,2.0,17.0,109,1.0,2.0,,,,25,0.4,0.4583333333333333,0.5666666666666667,0.16666666666666666,15.887850467289718,0.16666666666666666,,,,,0.4166666666666667,0.4519416666666667,0.39031666666666665,11.559999999999999,23.3,0.27472527472527475,2.0,3.0,,,,2.0,5.0,6.0,3.0,2.0,4.0,,2.0,1.0,1.0,6.0,2.0,,2.0,,,4.0,2.0,4.0,2.0,6.0,2.0,8.0,,1.0,1.0,1.0,,2.0,,4.0,6.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.75,0.75,,,0.5,0.125,0.5,0.058823529411764705,0.05,0.2857142857142857,0.125,0.038461538461538464,0.06666666666666667,,0.09090909090909091,0.07142857142857142,,0.1,0.16666666666666666,,0.25,0.6666666666666666,0.6666666666666666,0.5,0.4166666666666667,0.4,0.4,1.0,,,,0.30445,0.21428571428571427,0.25,0.23529411764705882,0.058823529411764705,,1.0,2.0,,,,1.0,,4.0,,,,,,0.1,,,,,,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.375,0.16666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203104,1610612741,Marquis Teague,Marquis Teague,203104,CHI,4288.0,71,-40,126,131,36,56,19.0,257,,2.0,4.0,1.0,5.0,12.0,5.0,10.0,159,2.0,6.0,4.0,2.0,2.0,36,0.4166666666666667,0.29411764705882354,0.29411764705882354,0.29411764705882354,12.582781456953642,0.11764705882352941,,,0.23529411764705882,0.25,0.7058823529411765,0.4664882352941177,0.406,7.325,24.78,0.2857142857142857,4.0,7.0,,,,1.0,3.0,,1.0,,,,2.0,,,4.0,8.0,4.0,12.0,3.0,2.0,28.0,,2.0,1.0,3.0,,3.0,,2.0,,,,2.0,,10.0,2.0,,,,,1.0,,1.0,1.0,,2.0,,0.4,0.4,,,,,1.0,0.02564102564102564,,0.13333333333333333,0.05555555555555555,,,,,0.06666666666666667,,,0.14285714285714285,1.0,0.4117647058823529,0.5714285714285714,0.8,0.25,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,,,0.49289999999999995,,,,,,3.0,4.0,,,,2.0,,7.0,,,1.0,,,0.25,0.2857142857142857,,,,,,,1.0,1.0,,,,,,,,,0.5,0.125,0.058823529411764705,,,,0.25,2.0,2.0,1.0,2.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2430,1610612741,Carlos Boozer,Carlos Boozer,2430,CHI,1029.0,17,6,32,28,16,12,5.0,60,1.0,4.0,,,3.0,11.0,,9.0,22,,2.0,,2.0,1.0,16,0.2727272727272727,0.2727272727272727,0.34615384615384615,,33.333333333333336,0.36363636363636365,0.25,0.3333333333333333,,,0.45454545454545453,0.4682363636363636,0.47940000000000005,7.300000000000001,,0.5,2.0,5.0,,,1.0,,2.0,3.0,1.0,,2.0,,2.0,,,4.0,,,,,,,,,3.0,4.0,,4.0,1.0,,,,,,,,2.0,4.0,,2.0,,,,,,,,,0.6666666666666666,0.6666666666666666,,,1.0,,,0.2727272727272727,,,0.1875,,,,,0.2,0.5,,,,0.45454545454545453,0.4,0.5,0.5,0.18181818181818182,,,,,0.5,,0.4834,0.15384615384615385,0.15384615384615385,0.2222222222222222,,,2.0,,,,1.0,,,,,,,,,0.18181818181818182,0.2,1.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612741,Nazr Mohammed,Nazr Mohammed,1737,CHI,2015.0,34,-29,60,61,8,22,8.0,121,2.0,7.0,,,6.0,17.0,,14.0,86,,2.0,,1.0,1.0,8,0.35294117647058826,0.35294117647058826,0.3888888888888889,,28.571428571428573,0.4117647058823529,0.2857142857142857,0.2857142857142857,,,0.35294117647058826,0.4339,0.36336,8.570588235294117,,0.13333333333333333,3.0,6.0,2.0,,1.0,1.0,4.0,2.0,4.0,,,,5.0,2.0,2.0,10.0,,,,,,,2.0,2.0,2.0,4.0,4.0,8.0,,,,2.0,,2.0,1.0,6.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,2.0,,,0.8333333333333334,0.8333333333333334,,,,0.16666666666666666,,0.13333333333333333,0.07692307692307693,0.3333333333333333,0.19047619047619047,0.0967741935483871,,0.14285714285714285,,0.16666666666666666,0.3333333333333333,,0.25,,0.35294117647058826,0.5,0.6,1.0,0.23529411764705882,0.25,0.25,1.0,0.5,0.2,,0.4243333333333334,0.05555555555555555,0.05555555555555555,,0.14285714285714285,,1.0,,1.0,1.0,,,,2.0,1.0,,,,1.0,0.058823529411764705,0.16666666666666666,,0.5,0.2,0.2,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1888,1610612741,Richard Hamilton,Richard Hamilton,1888,CHI,900.0,15,-6,29,28,9,14,4.0,57,1.0,4.0,1.0,1.0,1.0,7.0,1.0,6.0,31,1.0,,1.0,,,9,0.14285714285714285,0.3125,0.3333333333333333,0.125,28.571428571428573,0.5,0.25,0.25,0.125,0.2,0.25,0.42893749999999997,0.44466,12.142857142857142,24.5,0.3103448275862069,,1.0,,,1.0,,2.0,1.0,,,,1.0,4.0,1.0,6.0,2.0,3.0,,3.0,,,6.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,,,,,6.0,,,1.0,1.0,0.25,0.5,,0.5,1.0,,,,,,,,,,,,,,0.125,,,,0.25,,,,,0.2,,,0.1111111111111111,0.125,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201158,1610612741,Marco Belinelli,Marco Belinelli,201158,CHI,2573.0,43,-17,75,79,15,33,10.0,154,,,7.0,1.0,4.0,9.0,8.0,24.0,95,2.0,4.0,6.0,2.0,1.0,15,0.4444444444444444,0.5882352941176471,0.6388888888888888,0.47058823529411764,22.988505747126435,,,,0.4117647058823529,0.25,0.7058823529411765,0.49799375,0.4334833333333334,10.866666666666665,27.2875,0.2,2.0,4.0,,,,2.0,5.0,4.0,1.0,,3.0,2.0,2.0,1.0,8.0,4.0,2.0,2.0,4.0,1.0,,10.0,,,4.0,4.0,,4.0,1.0,1.0,,1.0,,2.0,,6.0,7.0,4.0,1.0,1.0,1.0,,,,,8.0,,,0.5,0.5,1.0,0.875,0.75,0.875,0.5,0.17391304347826086,,,0.125,,,,,0.09090909090909091,0.3333333333333333,0.16666666666666666,,,0.23529411764705882,0.5,0.6666666666666666,1.0,0.29411764705882354,0.4,0.4,,,,,0.42555,0.058823529411764705,0.1111111111111111,0.125,0.3333333333333333,1.0,1.0,1.0,,,,1.0,,2.0,,,2.0,,,0.1111111111111111,0.25,,,,,,1.0,1.0,1.0,4.0,,12.0,1.0,0.5,0.5714285714285714,,0.75,,,0.058823529411764705,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,,0.5,,1.0,,3.0,,1.0,3.0,,0.5,0.42857142857142855,0.42857142857142855,1.0,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612741,Daequan Cook,Daequan Cook,201161,CHI,1319.0,22,-14,41,40,14,24,8.0,81,,1.0,3.0,1.0,,2.0,4.0,,53,2.0,,3.0,1.0,1.0,14,,,,0.6666666666666666,15.384615384615383,0.16666666666666666,,,0.5,0.25,0.6666666666666666,0.4696916666666666,0.44972500000000004,17.0,25.075,0.34146341463414637,,,,,,,1.0,,,,,,2.0,,,,4.0,,4.0,,1.0,8.0,,,1.0,1.0,,1.0,,,,2.0,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,0.08333333333333333,,,0.07692307692307693,,,,,,,0.2,,,,,,,0.16666666666666666,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.16666666666666666,,,,0.25,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
