EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Fg2Pct,EfgPct,TsPct,Usage,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,BlockingFouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Avg3ptShotDistance,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,NonHeaveArc3FGA,NonHeaveArc3FGM,BadPassTurnovers,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,PenaltyFg3Pct,LongMidRangePctBlocked,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3Assists,BadPassOutOfBoundsTurnovers,Charge Fouls,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,DefAtRimReboundPct,Blocked3s,BlockedArc3,SecondChanceArc3FGM,SecondChanceArc3FGA,PtsUnassisted3s,Fg3aBlocked,BlockingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,Loose Ball Fouls Drawn,on,HeaveAttempts,FTOffRebounds,SelfOReb,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffFTReboundPct,SelfORebPct,ThreePtShootingFoulsDrawn,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Corner3PctBlocked
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,328.0,5.0,10.0,11.0,1.0,3.0,21.0,1.0,1.0,1.0,1.0,2.0,2.0,11,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,15.384615384615383,0.14285714285714285,0.14285714285714285,0.5,0.5,0.5,1.0,1.0,0.38005,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
201971,1610612759,DeJuan Blair,DeJuan Blair,201971,SAS,4586.0,76.0,155.0,155.0,75.0,17.0,310.0,16.0,1.0,3.0,21.0,34.0,47.0,140,14.0,3.0,6.0,24.0,9.0,14.0,0.6176470588235294,0.6176470588235294,0.618421052631579,22.413793103448278,0.075,0.0967741935483871,0.15384615384615385,0.47058823529411764,0.08823529411764706,0.3333333333333333,0.3333333333333333,0.49337352941176477,6.8088235294117645,48.0,46.0,12.0,15.0,4.0,5.0,3.0,4.0,8.0,5.0,5.0,7.0,1.0,11.0,3.0,6.0,1.0,7.0,28.0,8.0,1.0,6.0,1.0,7.0,1.0,1.0,1.0,4.0,15.0,3.0,4.0,8.0,6.0,18.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,9.0,1.0,5.0,1.0,1.0,1.0,1.0,7.0,44.0,2.0,0.6666666666666666,0.8235294117647058,0.7142857142857143,0.5,0.7142857142857143,0.5,0.6875,0.5,0.029411764705882353,0.06666666666666667,1.0,0.46153846153846156,0.1702127659574468,0.14814814814814814,0.13636363636363635,0.16216216216216217,0.1,0.125,0.16666666666666666,0.2,0.2,0.125,0.3333333333333333,1.0,0.4411764705882353,0.8,0.8571428571428571,0.6666666666666666,0.5,0.5,0.625,1.0,0.7142857142857143,0.8,0.25,0.6666666666666666,0.75,0.4411764705882353,0.5434599999999999,0.5250666666666667,0.13157894736842105,0.13157894736842105,0.23404255319148937,0.14893617021276595,0.2967741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,827.0,14.0,27.0,27.0,10.0,5.0,54.0,,1.0,1.0,3.0,5.0,9.0,29,,1.0,1.0,5.0,,,0.6,0.5625,0.5625,25.0,0.07692307692307693,0.06666666666666667,,,0.125,1.0,1.0,0.56614375,5.54,,3.0,2.0,4.0,,,1.0,1.0,,,1.0,1.0,,5.0,1.0,1.0,,2.0,6.0,,2.0,2.0,,2.0,,1.0,1.0,,4.0,,2.0,2.0,,4.0,1.0,,1.0,,,,,,,,,,,,,,2.0,3.0,,1.0,1.0,1.0,1.0,1.25,1.0,1.25,1.0,0.4,0.5,,,0.2222222222222222,0.4,,0.2857142857142857,0.25,,,0.25,0.25,0.5,,,0.5,0.5,1.0,1.0,,,,1.0,,,,1.0,1.0,0.875,0.5789,0.505,,,0.5555555555555556,0.2222222222222222,0.1111111111111111,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.375,0.375,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,22.933333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
202390,1610612759,Gary Neal,Gary Neal,202390,SAS,2860.0,48.0,103.0,101.0,54.0,10.0,204.0,4.0,3.0,6.0,5.0,12.0,30.0,100,6.0,,,9.0,,4.0,0.4166666666666667,0.625,0.6590909090909091,22.123893805309738,,,,0.2,0.3,0.5,0.6,0.47163000000000005,12.725,28.0,29.0,2.0,2.0,,,,,,5.0,1.0,2.0,1.0,3.0,1.0,3.0,4.0,9.0,4.0,,1.0,1.0,,1.0,,,,1.0,2.0,,5.0,3.0,1.0,9.0,1.0,1.0,,2.0,1.0,3.0,,3.0,,5.0,,1.0,,,,,7.0,27.0,1.0,0.4,0.4,0.5,0.3333333333333333,0.5,0.5,0.5,0.6428571428571429,0.08333333333333333,,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.2777777777777778,,0.17777777777777778,,,,0.09090909090909091,0.16666666666666666,0.25,0.5,,0.1,1.0,1.0,0.5,,,,0.3333333333333333,,,,,,0.5,0.43425,0.42667,0.047619047619047616,0.07692307692307693,0.1,0.3,0.2815533980582524,,,,,5.0,8.0,,,15.0,1.0,0.625,,0.625,0.4,,,,,,,,25.3,5.0,8.0,1.0,2.0,1.0,2.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,0.4,0.625,0.625,1.0,0.4,0.5,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
202709,1610612759,Cory Joseph,Cory Joseph,202709,SAS,3448.0,57.0,118.0,117.0,44.0,13.0,235.0,5.0,2.0,3.0,8.0,13.0,19.0,109,12.0,2.0,3.0,10.0,,3.0,0.6153846153846154,0.6153846153846154,0.6333333333333333,13.740458015267174,0.0625,0.06382978723404255,,0.38461538461538464,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.47016153846153846,8.123076923076924,30.0,44.0,3.0,5.0,,,1.0,2.0,3.0,3.0,,1.0,,,3.0,5.0,2.0,8.0,4.0,,2.0,8.0,4.0,12.0,3.0,7.0,,1.0,28.0,1.0,,7.0,,7.0,2.0,1.0,1.0,1.0,,3.0,,6.0,1.0,5.0,1.0,2.0,1.0,,1.0,1.0,8.0,42.0,1.0,0.25,0.25,,0.6,,0.6,,0.6666666666666666,0.15384615384615385,0.4,0.3333333333333333,,0.17073170731707318,,0.06666666666666667,0.12280701754385964,0.1111111111111111,0.1,,0.07692307692307693,0.13636363636363635,,,1.0,0.38461538461538464,0.6,1.0,0.3333333333333333,0.6,0.6,,0.5,,,,0.4,0.5,0.38461538461538464,0.4324,0.45732,0.14285714285714285,0.14285714285714285,,0.42105263157894735,0.3728813559322034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1503,1610612759,Tracy McGrady,Tracy McGrady,1503,SAS,1579.0,26.0,47.0,49.0,22.0,8.0,96.0,,,4.0,,4.0,,38,,,,5.0,,1.0,,,,14.035087719298247,,,,,0.5714285714285714,,,0.45020714285714286,18.925,9.0,10.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,1.0,2.0,2.0,,11.0,,1.0,3.0,1.0,5.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,3.0,1.0,,10.0,,,,,,,,,,,,1.0,0.3333333333333333,0.15,0.1111111111111111,,0.13793103448275862,,,,0.2,0.16666666666666666,,1.0,0.3333333333333333,,,,,,,,,,,,,,0.42857142857142855,,0.494775,,,,,0.2127659574468085,,1.0,,,,3.0,,,,,,,,0.42857142857142855,0.14285714285714285,,,,,,,24.5,,2.0,,2.0,,2.0,2.0,,,,,,,,,,,0.2857142857142857,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,1940.0,32.0,68.0,70.0,34.0,3.0,138.0,2.0,2.0,4.0,4.0,9.0,33.0,64,4.0,,1.0,5.0,1.0,3.0,0.4444444444444444,0.6190476190476191,0.6111111111111112,40.845070422535215,,0.05,,0.09523809523809523,0.19047619047619047,0.5,0.5,0.47820952380952386,10.255555555555556,29.0,26.0,1.0,3.0,,,,1.0,1.0,7.0,,,,3.0,2.0,4.0,1.0,14.0,4.0,,,6.0,5.0,11.0,4.0,3.0,3.0,,27.0,1.0,2.0,2.0,,4.0,1.0,,1.0,,,2.0,,7.0,,12.0,,6.0,2.0,2.0,2.0,1.0,14.0,26.0,1.0,0.5,0.5,,0.5,1.5,0.9285714285714286,1.5,0.875,,,,,0.11764705882352941,0.2857142857142857,0.14285714285714285,0.16666666666666666,,0.16666666666666666,,0.2,0.125,0.3333333333333333,,0.5,0.14285714285714285,0.3333333333333333,0.3333333333333333,,0.5,0.5,1.0,0.5,,,,0.14285714285714285,,0.7142857142857143,0.55575,0.4599357142857143,0.2222222222222222,0.4,0.09090909090909091,0.42424242424242425,0.38235294117647056,,1.0,,,6.0,12.0,1.0,1.0,6.0,0.3333333333333333,0.5,1.0,0.5,0.5714285714285714,0.047619047619047616,,,,,,,25.108333333333334,6.0,11.0,3.0,3.0,3.0,3.0,11.0,6.0,,2.0,,,,,,1.0,,0.5238095238095238,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.42857142857142855,1.0,0.5454545454545454,1.0,2.0,,,,,,,,1.0,1.0,12.0,2.0,1.0,0.16666666666666666,0.18181818181818182,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,566.0,9.0,18.0,19.0,13.0,1.0,37.0,1.0,,,2.0,2.0,7.0,19,4.0,,,1.0,,1.0,1.0,1.1666666666666667,1.1666666666666667,21.05263157894737,,,,0.3333333333333333,,,,0.4714333333333333,6.6000000000000005,10.0,2.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,5.0,,,,,1.0,1.0,1.0,,,,3.0,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,5.0,2.0,1.0,,,,1.0,,1.25,,1.25,,,,,0.5,,,0.2,,,,,,,,1.0,0.3333333333333333,1.0,1.0,,1.0,1.0,,,,,,,,0.6666666666666666,,0.42615,,,,0.7142857142857143,0.1111111111111111,1.0,1.0,,,1.0,1.0,,,3.0,1.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,22.7,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,True,,,,,,,,,,,,,,,,,
202695,1610612759,Kawhi Leonard,Kawhi Leonard,202695,SAS,575.0,10.0,18.0,17.0,5.0,1.0,35.0,,,,1.0,1.0,2.0,18,,,,2.0,,1.0,1.0,1.0,1.0,5.2631578947368425,,,,,,,,0.8975,0.1,12.0,7.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,,,1.0,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,7.0,,1.0,1.0,,,,,,,,,,1.0,0.16666666666666666,,,0.1,,,,,0.3333333333333333,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,0.3888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
201986,1610612759,Nando De Colo,Nando De Colo,201986,SAS,793.0,13.0,29.0,27.0,22.0,2.0,56.0,,1.0,1.0,1.0,1.0,4.0,21,2.0,1.0,2.0,4.0,1.0,1.0,1.0,0.25,0.4,15.15151515151515,0.125,0.16666666666666666,,,0.25,1.0,1.0,0.46387500000000004,15.9,6.0,11.0,,,,,,,,2.0,,,,,,,2.0,2.0,,,,2.0,,2.0,,1.0,1.0,,4.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,2.0,,,,,,,,9.0,,,,,,,,,1.0,,,,,0.16666666666666666,0.14285714285714285,0.25,0.15384615384615385,0.5,0.3333333333333333,,,0.25,0.14285714285714285,,,,,,,,,,,,,,,,0.75,0.59925,,,,,0.5,0.3793103448275862,,1.0,,1.0,,3.0,,1.0,,,,,,0.75,0.25,,,,1.0,,,24.766666666666666,,2.0,,,,,2.0,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
