EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyCorner3FGA,PenaltyFG3A,DefThreePtRebounds,FoulsDrawn,Loose Ball Fouls Drawn,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,PenaltyCorner3Frequency,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,ShootingFouls,BlockingFouls,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ShortMidRangeFGA,AtRimAssists,OffTwoPtRebounds,SelfOReb,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,ThreePtAssists,Arc3Assists,DefAtRimReboundPct,AtRimPctAssisted,Corner3Assists,DefCorner3ReboundPct,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,on,ShortMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,ShortMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGM,FTDefRebounds,StepOutOfBoundsTurnovers,Travels,Offensive Fouls,BlockingFoulsDrawn,DefFTReboundPct,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,HeaveAttempts,Charge Fouls,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations
101109,1610612752,Raymond Felton,Raymond Felton,101109,NYK,187.0,3.0,4.0,6.0,6,5.0,5.0,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,33.333333333333336,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.52315,0.7001,1.0,1.6,24.7,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200778,1610612752,James White,James White,200778,NYK,540.0,9.0,4.0,17.0,16,5.0,12.0,33,1.0,1.0,,,1.0,2.0,2.0,2.0,4.0,15.0,1.0,1.0,2.0,2.0,1.0,,,,,2.0,5.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,21.05263157894737,0.25,1.0,1.0,0.25,,,0.75,0.5160625,0.3939,0.5,10.75,24.25,0.29411764705882354,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.14285714285714285,0.125,0.1111111111111111,0.5,0.5,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200779,1610612752,Steve Novak,Steve Novak,200779,NYK,814.0,14.0,3.0,27.0,25,9.0,16.0,52,,,,,1.0,1.0,2.0,2.0,2.0,21.0,1.0,1.0,2.0,,1.0,,,,,2.0,9.0,0.5,1.0,0.25,0.5,0.25,0.5,0.5,12.903225806451614,,,,0.25,,,0.5,0.455375,0.429,1.0,20.5,24.3,0.3333333333333333,4.0,,,1.0,2.0,1.0,,,,2.0,,,1.0,2.0,,2.0,,,,1.0,1.0,,,,0.14285714285714285,,0.14285714285714285,,,,0.5,0.5,0.5,1.0,0.25,,,,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.5,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203142,1610612752,Chris Copeland,Chris Copeland,203142,NYK,639.0,11.0,7.0,20.0,19,7.0,14.0,39,,1.0,,,3.0,,1.0,3.0,3.0,15.0,,,3.0,,3.0,,,,,3.0,7.0,,,0.375,1.5,0.375,1.5,0.75,21.73913043478261,0.25,,,0.75,,,1.0,0.5171375,0.49875,1.0,1.3,25.233333333333334,0.35,3.0,,,,,,,,3.0,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.49875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,1610612752,Quentin Richardson,Quentin Richardson,2047,NYK,856.0,14.0,3.0,28.0,26,9.0,16.0,54,,1.0,,,3.0,,1.0,5.0,6.0,21.0,,,,,3.0,,,,,,9.0,,,0.5,,0.5,,0.8333333333333334,18.75,0.16666666666666666,,,0.5,,,1.0,0.5485416666666666,0.30255,,0.4,24.28,0.32142857142857145,4.0,,,,,2.0,,,3.0,,,1.0,,2.0,1.0,3.0,2.0,,1.0,,,,1.5,1.5,,0.08333333333333333,0.13333333333333333,0.05555555555555555,,,,,,,0.3333333333333333,,,0.5,,1.0,2.0,,,0.2857142857142857,,0.4,,1.0,,,,1.0,2.0,1.0,1.0,,3.0,1.0,,,,,,0.5,0.4,1.0,,0.4,0.3333333333333333,0.3333333333333333,,,,,1.0,,0.3333333333333333,,1.0,1.0,1.0,3.0,1.0,1.0,0.125,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202697,1610612752,Iman Shumpert,Iman Shumpert,202697,NYK,385.0,6.0,7.0,13.0,11,6.0,6.0,24,1.0,1.0,,,1.0,1.0,3.0,1.0,2.0,2.0,,1.0,,2.0,1.0,2.0,2.0,1.0,4.0,,6.0,0.3333333333333333,,0.25,,0.25,,0.25,28.57142857142857,0.25,1.0,1.0,0.25,,,0.5,0.458275,0.4113,,10.733333333333334,25.9,0.46153846153846156,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,0.25,,0.125,0.1111111111111111,,1.0,0.25,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.25,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,1610612752,Kenyon Martin,Kenyon Martin,2030,NYK,316.0,5.0,-1.0,11.0,10,4.0,4.0,21,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,6.0,1.0,1.0,2.0,,,,1.0,,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.692307692307692,1.0,1.0,1.0,,1.0,1.0,1.0,0.6278,0.6278,1.0,1.9,,0.36363636363636365,2.0,,,,,,,,,2.0,,1.0,2.0,3.0,1.0,4.0,2.0,,,1.0,1.0,,,,0.5,0.2,0.42857142857142855,0.1111111111111111,0.5,,,,,,,,,,,,1.0,,,0.3333333333333333,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,0.6666666666666666,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203143,1610612752,Pablo Prigioni,Pablo Prigioni,203143,NYK,377.0,6.0,-6.0,12.0,12,,7.0,24,,,,,1.0,,1.0,1.0,3.0,17.0,,,,,1.0,,1.0,,3.0,,,,,0.75,,0.75,,0.5,13.333333333333334,,,,0.5,,,0.5,0.48185,,,7.7,24.7,,3.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,1.0,,,0.3333333333333333,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,3.0,,,,,,,,,,1.0,,,,,,,0.5,1.0,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1610612752,Jason Kidd,Jason Kidd,467,NYK,166.0,3.0,-6.0,6.0,5,,,11,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,1.0,42.857142857142854,,,,,,,1.0,0.51975,,,,22.9,,1.0,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,0.5,,0.25,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101109,1610612752,Raymond Felton,Raymond Felton,101109,NYK,27066.0,451.0,19.0,818.0,820,161.0,274.0,1638,31.0,59.0,7.0,16.0,22.0,62.0,133.0,27.0,167.0,812.0,10.0,23.0,39.0,96.0,22.0,29.0,55.0,6.0,136.0,39.0,160.0,0.46616541353383456,0.43478260869565216,0.471875,0.48484848484848486,0.48830409356725146,0.5131578947368421,0.16875,20.234291799787005,0.36875,0.5254237288135594,0.62,0.1375,0.48484848484848486,0.4375,0.5375,0.5000796875,0.5456621212121213,0.23353293413173654,8.723308270676693,24.98888888888889,0.19682151589242053,94.0,2.0,4.0,19.0,44.0,5.0,2.0,5.0,12.0,28.0,2.0,3.0,16.0,24.0,17.0,41.0,26.0,1.0,4.0,0.22580645161290322,0.22950819672131148,0.4,0.5555555555555556,0.5454545454545454,0.06779661016949153,0.021739130434782608,0.06666666666666667,0.038461538461538464,0.043478260869565216,0.11494252873563218,0.275,0.4318181818181818,0.4318181818181818,0.47368421052631576,0.03125,0.4444444444444444,0.5,0.0718562874251497,,10.0,8.0,29.0,1.0,0.06451612903225806,0.027777777777777776,0.056179775280898875,,7.0,2.0,3.0,4.0,10.0,9.0,2.0,4.0,4.0,21.0,7.0,20.0,11.0,4.0,20.0,,0.7777777777777778,0.3333333333333333,0.5,0.4,0.3333333333333333,0.3181818181818182,0.3181818181818182,0.7142857142857143,0.3333333333333333,0.6666666666666666,1.0,0.30303030303030304,0.4,0.3181818181818182,0.5569166666666666,2.0,,1.0,6.0,14.0,2.0,0.017391304347826087,0.4,0.4,1.0,0.1111111111111111,,,30.0,21.0,14.0,7.0,0.046052631578947366,0.013888888888888888,0.08974358974358974,0.1875,26.0,20.0,0.05194805194805195,0.16129032258064516,6.0,0.08571428571428572,16.0,1.0,14.0,,0.8,False,12.0,16.0,2.0,7.0,11.0,2.0,9.0,3.0,2.0,1.0,5.0,24.0,3.0,10.0,4.0,5.0,2.0,2.0,1.0,5.0,1.0,3.0,0.08270676691729323,0.15254237288135594,0.06666666666666667,0.10619469026548672,0.008403361344537815,0.2,0.4,0.42857142857142855,0.5,0.059880239520958084,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,
