EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffRebounds,Rebounds,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefTwoPtRebounds,DefRebounds,ShootingFouls,Fouls,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyAtRimFGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyAtRimFGM,Corner3FGA,AtRimAssists,DefArc3ReboundPct,Corner3Frequency,PenaltyAtRimAccuracy,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,OffArc3ReboundPct,LongMidRangePctAssisted,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,OffTwoPtRebounds,Loose Ball Fouls Drawn,OffTwoPtReboundPct,OffShortMidRangeReboundPct,LongMidRangeAssists,LostBallTurnovers,DefensiveGoaltends,on,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,ShortMidRangePctBlocked,SelfORebPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,OffAtRimReboundPct,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,SecondChanceFg3Pct,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,Travels,BlockedShortMidRange,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,703.0,12,1.0,22,23,8.0,20,4.0,45,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,11.0,27,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,8.0,2.0,0.25,0.3333333333333333,0.8,1.0,1.0,0.6666666666666666,1.0,0.5,0.6875,1.0,0.5,0.16666666666666666,30.769230769230766,0.3333333333333333,0.1,1.0,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,1.0,0.5,0.5,0.5793916666666666,0.496275,0.16666666666666666,0.2,0.36363636363636365,0.36363636363636365,7.0200000000000005,26.0,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,1610612746,Lamar Odom,Lamar Odom,1885,LAC,352.0,6,-7.0,11,13,6.0,13,2.0,24,,,,,,1.0,,,,,,1.0,,,,18,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,7.692307692307692,,,,,,,,1.0,,,,,,,,,,,0.4326,0.4326,,,,,12.1,,0.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,1610612746,Caron Butler,Caron Butler,2406,LAC,323.0,5,1.0,11,11,,11,1.0,22,,,,,1.0,1.0,,2.0,,,1.0,3.0,,,2.0,12,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,25.0,,,,,,,,0.3333333333333333,1.0,1.0,0.6666666666666666,,,,,,,,0.4016,,,,,,16.7,,,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,1067.0,18,-5.0,34,37,14.0,30,4.0,71,2.0,4.0,1.0,1.0,,,,1.0,4.0,1.0,2.0,5.0,4.0,,10.0,45,1.0,1.0,2.0,,2.0,1.0,,,2.0,2.0,,4.0,,,,,,,,,5.0,1.0,,1.0,1.0,1.0,,,14.0,,0.5,0.5,0.4,1.0,,0.5555555555555556,1.0,,0.5555555555555556,1.0,,0.4444444444444444,26.31578947368421,,,,0.4444444444444444,0.5,0.6666666666666666,0.5,,,,0.1111111111111111,,,0.4444444444444444,1.0,1.0,0.3333333333333333,0.8888888888888888,0.5588055555555556,0.5744,0.1111111111111111,0.2,0.2,,5.14,25.35,0.4117647058823529,3.0,5.0,3.0,3.0,0.375,0.36363636363636365,,,2.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,0.6666666666666666,0.5,0.5942,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,1610612746,Willie Green,Willie Green,2584,LAC,1170.0,20,-1.0,38,40,18.0,33,4.0,78,1.0,1.0,,,,,1.0,1.0,,,2.0,2.0,1.0,2.0,6.0,47,,,,2.0,2.0,,,4.0,,4.0,,,1.0,1.0,2.0,1.0,,5.0,,,3.0,1.0,,2.0,,1.0,,4.0,18.0,,,,1.0,,1.0,0.6666666666666666,,1.0,0.75,,1.0,0.3333333333333333,9.523809523809524,,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,0.6666666666666666,0.4766166666666667,0.40480000000000005,0.25,0.3333333333333333,,0.6666666666666666,9.05,23.4,0.47368421052631576,1.0,3.0,,,0.1111111111111111,0.23076923076923078,,,1.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,0.5,,0.25,0.5,,,,,0.5,,,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1610612746,Grant Hill,Grant Hill,255,LAC,551.0,9,-2.0,17,18,8.0,11,3.0,35,,,,,1.0,3.0,1.0,1.0,,,2.0,4.0,,,4.0,25,,,,1.0,2.0,,,2.0,4.0,,,,2.0,,2.0,,,4.0,1.0,1.0,3.0,,,,,,,2.0,8.0,,1.0,1.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,,25.0,0.5,0.16666666666666666,,,,,,0.75,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,,,,,,0.39802499999999996,0.41464999999999996,,,,0.5,12.525,,0.47058823529411764,1.0,2.0,,1.0,0.5,0.5,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,0.5,1.0,,,,,,,,,,,,2.0,1.0,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200797,1610612746,Ryan Hollins,Ryan Hollins,200797,LAC,296.0,5,,10,11,10.0,11,,21,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,10,,,,1.0,1.0,,,2.0,2.0,,,,1.0,,1.0,,,2.0,,,,1.0,,1.0,1.0,1.0,,2.0,10.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,10.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,0.3923,0.3923,1.0,1.0,,1.0,2.8,,1.0,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,296.0,5,,10,11,10.0,11,,21,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,10,,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,2.0,10.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,10.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.5393,0.5393,,,,1.0,2.2,,1.0,1.0,1.0,,,0.3333333333333333,0.2,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,182.0,3,3.0,6,5,,5,,11,,,,,,,,,,,,,,1.0,1.0,6,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,0.5,,,,16.666666666666668,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,340.0,6,3.0,11,11,2.0,4,2.0,22,2.0,2.0,1.0,1.0,,,,,,,2.0,2.0,,,4.0,13,1.0,1.0,2.0,1.0,1.0,,,2.0,2.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,2.0,2.0,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,15.384615384615383,,0.25,,1.0,1.0,1.0,0.5,,,,,,,,1.0,1.0,,1.0,0.6636,0.5882,,,0.5,0.5,0.9500000000000001,,0.18181818181818182,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5882,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,0.3333333333333333,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
