EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,Fouls,FoulsDrawn,Charge Fouls Drawn,Blocked2s,BlockedLongMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,DefThreePtRebounds,ShootingFouls,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,DeadBallTurnovers,Turnovers,PenaltyTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,BlockingFouls,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffTwoPtRebounds,SelfOReb,StepOutOfBoundsTurnovers,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFGM,FtPoints,SecondChanceFtPoints,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,LiveBallTurnoverPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,FTDefRebounds,Charge Fouls,ThreePtShootingFoulsDrawn,DefFTReboundPct,ThreePtShootingFoulsDrawnPct,2pt And 1 Free Throw Trips,on,PenaltyFtPoints,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,Offensive Fouls,BlockingFoulsDrawn,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,HeaveAttempts,Clear Path Fouls,Technical Free Throw Trips,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,Arc3PctBlocked,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations
101109,1610612752,Raymond Felton,Raymond Felton,101109,NYK,1069.0,18.0,6.0,39.0,36,12.0,14.0,4.0,75,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,1.0,6.0,34.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,13.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.5,0.375,0.3333333333333333,0.375,0.3333333333333333,0.125,0.2857142857142857,0.25,1.0,18.6046511627907,0.5,0.5,0.6666666666666666,0.125,0.25,0.5,0.5,1.0,0.125,0.3333333333333333,1.0,0.3333333333333333,0.625,0.51045,0.4754333333333333,0.3333333333333333,7.142857142857143,27.4,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
200778,1610612752,James White,James White,200778,NYK,540.0,9.0,4.0,17.0,16,5.0,12.0,2.0,33,1.0,1.0,,,,1.0,1.0,1.0,,2.0,2.0,2.0,4.0,15.0,1.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,2.0,5.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,,,,21.05263157894737,0.25,1.0,1.0,,0.25,1.0,1.0,1.0,0.25,,,,0.75,0.5160625,0.3939,0.5,10.75,24.25,0.29411764705882354,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.14285714285714285,0.125,0.1111111111111111,0.5,0.5,0.25,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
200779,1610612752,Steve Novak,Steve Novak,200779,NYK,2998.0,50.0,-14.0,96.0,93,17.0,26.0,11.0,189,,,,,,3.0,4.0,6.0,,3.0,4.0,9.0,18.0,99.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,,,,,,,,,,1.0,1.0,,5.0,2.0,,,,,2.0,17.0,2.0,0.6666666666666666,0.6666666666666666,0.75,1.0,0.6923076923076923,0.5,0.6923076923076923,0.5,0.6923076923076923,,,,12.037037037037036,,,,,0.3076923076923077,0.75,0.75,0.6666666666666666,0.46153846153846156,,,,0.6923076923076923,0.4716961538461538,0.429,0.1111111111111111,19.45,25.033333333333335,0.17708333333333334,,,3.0,,,,,2.0,1.0,2.0,2.0,4.0,1.0,,,,0.04,0.07692307692307693,0.05263157894736842,0.03636363636363636,,,0.23076923076923078,,,,1.0,1.0,3.0,4.0,12.0,3.0,1.0,2.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.07692307692307693,0.1,0.1111111111111111,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
203142,1610612752,Chris Copeland,Chris Copeland,203142,NYK,952.0,16.0,,33.0,31,11.0,19.0,4.0,64,,1.0,,,,,,3.0,1.0,,1.0,3.0,3.0,31.0,,,1.0,3.0,,,3.0,,,,,,,,,,2.0,2.0,,,,,,,,3.0,11.0,,,,,,0.375,1.5,0.375,1.5,0.75,,,,13.513513513513514,0.25,,,,,,,,0.75,,,1.0,1.0,0.5171375,0.49875,1.0,1.3,25.233333333333334,0.3333333333333333,,,,,,3.0,,,,,,,,,1.5,1.5,,,,,,,,,,1.0,,,1.0,1.0,3.0,1.0,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2047,1610612752,Quentin Richardson,Quentin Richardson,2047,NYK,814.0,14.0,3.0,27.0,25,9.0,16.0,4.0,52,,1.0,,,,,,3.0,1.0,,1.0,5.0,6.0,21.0,,,1.0,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,9.0,1.0,,,,,0.5,,0.5,,0.8333333333333334,,,,19.35483870967742,0.16666666666666666,,,,,,,,0.5,,,1.0,1.0,0.5485416666666666,0.30255,,0.4,24.28,0.3333333333333333,,,2.0,,,3.0,,1.0,,2.0,1.0,3.0,,,1.5,1.5,,0.09090909090909091,0.14285714285714285,0.058823529411764705,,,0.3333333333333333,,,0.5,1.0,,1.0,2.0,3.0,1.0,2.0,1.0,,0.5,0.4,0.4,0.2857142857142857,0.14285714285714285,,0.4,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
202697,1610612752,Iman Shumpert,Iman Shumpert,202697,NYK,731.0,12.0,13.0,27.0,23,11.0,11.0,3.0,50,1.0,1.0,,,1.0,,1.0,2.0,1.0,1.0,3.0,2.0,5.0,14.0,,1.0,1.0,,,2.0,2.0,,2.0,1.0,3.0,1.0,,1.0,1.0,7.0,1.0,1.0,,1.0,,,,,,,11.0,1.0,,,0.3333333333333333,,0.5,,0.5,,0.4,,,,20.0,0.2,1.0,1.0,0.2,0.2,,,,0.4,,,0.5,0.6,0.48236,0.4113,,10.733333333333334,24.95,0.4074074074074074,,,,,,,,,1.0,2.0,1.0,3.0,,,,,0.25,,0.2,0.06666666666666667,,0.5,,,,,,,1.0,1.0,3.0,1.0,1.0,,,1.0,0.5,0.5,0.16666666666666666,,,,,,,0.5,0.5,1.0,,0.5,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.1111111111111111,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2030,1610612752,Kenyon Martin,Kenyon Martin,2030,NYK,2015.0,34.0,-13.0,61.0,61,4.0,4.0,7.0,122,2.0,5.0,1.0,1.0,1.0,,2.0,,,3.0,8.0,,7.0,65.0,1.0,1.0,,2.0,6.0,,,,,1.0,1.0,1.0,,,,3.0,,,,9.0,2.0,,2.0,,2.0,2.0,4.0,,1.0,1.0,0.375,1.0,0.375,1.0,0.3888888888888889,1.0,,,,,17.64705882352941,0.625,0.4,0.4,0.125,0.25,,,,,1.0,1.0,,0.625,0.5565375,0.6278,0.2857142857142857,5.8375,,0.06557377049180328,,1.0,,,1.0,1.0,,1.0,6.0,8.0,5.0,13.0,,,,0.25,0.2857142857142857,0.07692307692307693,0.2857142857142857,0.14285714285714285,0.25,0.2857142857142857,,1.0,,0.14285714285714285,,,,,,,2.0,4.0,,,,,0.2857142857142857,,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,0.5681,,,,,,,,4.0,1.0,,0.18181818181818182,0.3333333333333333,0.25,0.2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.25,0.09090909090909091,0.2857142857142857,0.5,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
467,1610612752,Jason Kidd,Jason Kidd,467,NYK,2244.0,37.0,-26.0,68.0,68,3.0,5.0,8.0,136,,1.0,,,,,,4.0,,,1.0,6.0,6.0,79.0,,,,,,,4.0,1.0,3.0,2.0,5.0,1.0,1.0,,2.0,12.0,,,,,,,1.0,,1.0,,3.0,,,,,,0.42857142857142855,,0.42857142857142855,,0.8571428571428571,1.0,1.0,,12.987012987012987,0.14285714285714285,,,,,,,,0.5714285714285714,,,,1.0,0.5613785714285714,,,1.9,24.150000000000002,0.04411764705882353,,,2.0,,,3.0,,,6.0,8.0,1.0,9.0,,,0.75,0.75,0.3,,0.2857142857142857,0.024390243902439025,,0.2857142857142857,0.2857142857142857,,,0.5,1.0,,1.0,2.0,6.0,1.0,2.0,,,1.0,0.3333333333333333,0.3333333333333333,0.25,,0.2857142857142857,0.3333333333333333,0.5,0.5,1.0,0.25,0.25,1.0,,0.25,1.0,2.0,,1.0,2.0,,2.0,3.0,,0.5,,1.0,0.5,1.0,,0.565725,,,,,,,,1.0,,,0.041666666666666664,,0.2,,,,,1.0,1.0,,,,,,1.0,,,0.3333333333333333,0.125,,0.3333333333333333,,,,,,,,1.0,2.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2747,1610612752,JR Smith,JR Smith,2747,NYK,1257.0,21.0,-11.0,40.0,38,5.0,5.0,3.0,78,1.0,3.0,,1.0,,1.0,8.0,3.0,1.0,2.0,11.0,3.0,11.0,44.0,,1.0,1.0,3.0,,4.0,3.0,,3.0,1.0,4.0,1.0,,1.0,1.0,9.0,2.0,1.0,1.0,3.0,3.0,,,,,3.0,5.0,,,,0.18181818181818182,,0.25,0.75,0.3235294117647059,0.75,0.21428571428571427,,,,44.18604651162791,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.5714285714285714,0.125,0.125,,0.21428571428571427,0.5,,0.5,0.42857142857142855,0.4470821428571429,0.533225,0.2727272727272727,14.736363636363636,28.2,0.125,,,,,,1.0,,,1.0,2.0,,2.0,,,,0.5,0.0625,,0.058823529411764705,,,0.25,,,,0.09090909090909091,,,1.0,1.0,,1.0,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,1.0,,,1.0,2.0,2.0,,,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,4.0,1.0,,,,,,7.0,2.0,,,,,,,,,,,,,0.17647058823529413,0.15384615384615385,1.0,,,1.0,1.0,1.0,1.0,0.25,,True,,,,,,,,,,,,,,,,,,,,,,
2546,1610612752,Carmelo Anthony,Carmelo Anthony,2546,NYK,815.0,14.0,-15.0,27.0,28,4.0,5.0,4.0,55,,,,,3.0,4.0,7.0,4.0,2.0,5.0,10.0,4.0,11.0,35.0,,,2.0,,4.0,6.0,4.0,,,,,,,,,,,,,1.0,2.0,,,,,,4.0,,0.4,0.4,0.5,,0.35714285714285715,,0.39285714285714285,,0.2857142857142857,,,,43.75,,,,0.21428571428571427,0.5,0.5714285714285714,0.5714285714285714,0.25,0.2857142857142857,,,1.0,0.2857142857142857,0.38556785714285713,0.378675,,15.62,25.55,0.14814814814814814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.07142857142857142,0.1,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,
