EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,AtRimAssists,LongMidRangeAssists,Steals,BadPassSteals,DeadBallTurnovers,LostBallTurnovers,Travels,ShootingFouls,Charge Fouls Drawn,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PtsAssisted2s,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,PenaltyCorner3FGA,PtsAssisted3s,ShortMidRangeAssists,OffThreePtRebounds,LostBallSteals,2pt And 1 Free Throw Trips,Assisted3sPct,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,LongMidRangePctAssisted,Arc3PctAssisted,PenaltyCorner3Frequency,BlockingFouls,BadPassOutOfBoundsTurnovers,OffLongMidRangeReboundPct,SecondChanceAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,OffCorner3ReboundPct,on,SecondChanceFtPoints,Corner3Assists,FTOffRebounds,SelfOReb,PenaltyTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,OffFTReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,StepOutOfBoundsTurnovers,Offensive Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,HeaveAttempts,Clear Path Fouls,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Charge Fouls,Blocked3s,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends
101138,1610612738,Brandon Bass,Brandon Bass,101138,BOS,1335.0,22.0,2.0,41.0,42,8.0,4,4.0,83,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,38.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,9.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,8.0,0.25,0.5,0.25,0.5,0.4,0.5,0.25,0.5,13.333333333333332,1.0,1.0,0.35294117647058826,0.15384615384615385,0.25,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.16666666666666666,0.4,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5433749999999999,0.6425,0.5791,0.2,0.2,0.5,5.725,0.1951219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,1200.0,20.0,-4.0,37.0,42,8.0,1,1.0,79,,1.0,,,,,1.0,3.0,5.0,10.0,41.0,,,1.0,6.0,2.0,,1.0,5.0,1.0,11.0,,1.0,,,1.0,,1.0,2.0,1.0,3.0,,1.0,5.0,6.0,3.0,,6.0,8.0,0.3333333333333333,,0.3125,0.5,0.45454545454545453,0.6,,,36.8421052631579,0.6666666666666666,,,,0.14285714285714285,0.047619047619047616,,,,,,0.16666666666666666,0.125,,,,,,,0.75,0.5214,,0.5316166666666667,0.2727272727272727,0.5,0.6,10.633333333333333,0.21621621621621623,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.2,0.625,0.25,0.5,0.5,0.125,0.5,0.25,0.25,0.6666666666666666,0.5,0.25,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612738,Jason Terry,Jason Terry,1891,BOS,812.0,14.0,-7.0,24.0,23,7.0,3,3.0,47,1.0,1.0,,,,,1.0,1.0,,2.0,29.0,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,7.0,1.0,,0.3333333333333333,,0.3333333333333333,,,,18.51851851851852,1.0,,0.14285714285714285,,0.14285714285714285,0.14285714285714285,,,,0.2,,0.14285714285714285,0.3333333333333333,1.0,1.0,,,,,1.0,0.6146833333333334,,,,,,0.9,0.2916666666666667,,,1.0,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,,,,,,24.15,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201145,1610612738,Jeff Green,Jeff Green,201145,BOS,1786.0,30.0,-7.0,53.0,54,11.0,3,7.0,107,4.0,6.0,,1.0,1.0,1.0,5.0,9.0,3.0,19.0,52.0,,1.0,1.0,2.0,8.0,1.0,,1.0,,2.0,,1.0,4.0,,5.0,1.0,6.0,2.0,1.0,3.0,1.0,,3.0,3.0,2.0,,2.0,11.0,0.5555555555555556,1.0,0.6153846153846154,0.3333333333333333,0.6785714285714286,0.3333333333333333,0.1111111111111111,,28.333333333333336,0.6666666666666666,,0.19047619047619047,,0.1,0.16129032258064516,0.041666666666666664,,,0.14285714285714285,0.18181818181818182,0.1,0.46153846153846156,0.6666666666666666,0.6666666666666666,0.07692307692307693,,0.3333333333333333,1.0,0.7692307692307693,0.48601923076923076,,0.4475,0.14285714285714285,0.2,0.10526315789473684,6.022222222222222,0.20754716981132076,1.0,2.0,1.0,2.0,3.0,,1.0,2.0,4.0,,2.0,,3.0,3.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,0.5,,0.5,0.3076923076923077,0.15384615384615385,0.5,1.0,0.07692307692307693,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.6666666666666666,25.275,2.0,,,,,,0.2,0.2,,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.125,0.25,0.3333333333333333,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201584,1610612738,Courtney Lee,Courtney Lee,201584,BOS,2348.0,39.0,-15.0,71.0,73,15.0,8,7.0,144,,,,,,1.0,1.0,3.0,4.0,6.0,71.0,,,1.0,2.0,,,,1.0,,2.0,,1.0,1.0,,2.0,,2.0,,,,,3.0,2.0,4.0,2.0,,2.0,15.0,0.3333333333333333,,0.2,,0.42857142857142855,0.5,,,8.974358974358974,,,0.041666666666666664,,0.06666666666666667,0.05128205128205128,,,,,0.08333333333333333,0.07692307692307693,,,,0.2,,,,0.4,0.48328000000000004,,0.4116,0.2857142857142857,0.4,0.3333333333333333,14.299999999999999,0.2112676056338028,1.0,2.0,2.0,,,,,,2.0,,,2.0,,,,1.0,1.0,,2.0,2.0,,,,2.0,,,,,0.4,0.4,0.5,0.5,0.4,,,,,,,23.3,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202340,1610612738,Avery Bradley,Avery Bradley,202340,BOS,1160.0,19.0,,37.0,36,8.0,3,4.0,73,2.0,3.0,,,,,3.0,5.0,,6.0,31.0,,1.0,1.0,2.0,,1.0,,1.0,,2.0,1.0,,1.0,,1.0,1.0,2.0,3.0,3.0,4.0,,1.0,,,,,2.0,8.0,0.6,1.0,0.6,1.0,0.6,1.0,0.2,,21.951219512195124,0.75,,0.07142857142857142,0.07692307692307693,,0.05555555555555555,0.06666666666666667,,,,0.1111111111111111,,0.6,0.6666666666666666,0.6666666666666666,,,,,0.6,0.52846,,0.41,,,0.3333333333333333,8.3,0.21621621621621623,1.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,0.4,0.5,1.0,,,,,,,,,6.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,0.5,,,,1.0,,,,1.0,0.2,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,1319.0,22.0,-11.0,40.0,41,7.0,3,6.0,81,2.0,3.0,1.0,,1.0,6.0,3.0,11.0,,6.0,42.0,1.0,,1.0,,2.0,,,1.0,,2.0,2.0,2.0,4.0,,6.0,2.0,8.0,1.0,,1.0,,3.0,2.0,,,,,7.0,0.2727272727272727,,0.2727272727272727,,0.2727272727272727,,,,26.08695652173913,1.0,,0.3076923076923077,0.14285714285714285,0.2222222222222222,0.2727272727272727,0.09090909090909091,,0.14285714285714285,0.14285714285714285,0.5,0.125,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5454545454545454,1.0,1.0,,0.2727272727272727,0.42829090909090906,0.5798,0.3095,,,,8.090909090909092,0.175,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,3.0,,,,,,0.18181818181818182,,,,,,,,,,,4.0,,1.0,1.0,1.0,,0.6666666666666666,1.0,0.5,,,,,1.0,,,,,,0.5,,,,,,0.25,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202348,1610612738,Jordan Crawford,Jordan Crawford,202348,BOS,1005.0,17.0,-22.0,28.0,28,7.0,6,2.0,56,,,,,,1.0,,1.0,,3.0,34.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,7.0,,,0.3,,0.3,,,,16.666666666666668,,,,,,,,,,,,,,,,0.2,,,,0.8,0.41959,,0.2892,,,,4.2,0.25,,,,1.0,4.0,,1.0,1.0,4.0,,1.0,,,4.0,1.0,,,,,,,,,1.0,,0.25,,0.25,0.8,,,,,0.8,0.25,0.25,1.0,,0.25,26.325,,,,,,,,,,,3.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201944,1610612738,Terrence Williams,Terrence Williams,201944,BOS,431.0,7.0,-7.0,15.0,15,4.0,5,1.0,30,,,,,,,,1.0,,,13.0,,,,,,,,,,,,,2.0,,2.0,1.0,3.0,,,,,,,,,,,4.0,,,,,,,,,6.25,,,1.0,,,0.4,0.1,,,1.0,1.0,,,,,,,,,,0.4165,,,,,,17.5,0.26666666666666666,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101183,1610612738,Shavlik Randolph,Shavlik Randolph,101183,BOS,193.0,3.0,-2.0,5.0,6,,2,,11,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,3.0,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.75,0.6,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
