EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsPutbacks,Loose Ball Fouls Drawn,OffAtRimReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,OffThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,PenaltyCorner3FGA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,PtsAssisted3s,Assisted3sPct,Arc3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Charge Fouls Drawn,SecondChanceFg3Pct,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Offensive Fouls Drawn,SecondChanceCorner3FGA,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,on,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,OffCorner3ReboundPct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,7988.0,133,-25.0,233,231,36.0,53,28.0,464,5.0,6.0,1.0,1.0,7.0,17.0,7.0,14.0,1.0,3.0,8.0,1.0,19.0,37.0,3.0,9.0,21.0,68.0,269,1.0,2.0,2.0,4.0,1.0,3.0,1.0,12.0,14.0,8.0,30.0,9.0,8.0,3.0,1.0,17.0,5.0,22.0,4.0,1.0,7.0,2.0,8.0,49.0,2.0,1.0,9.0,10.0,2.0,12,1.0,6.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,7.0,20.0,1.0,21.0,2.0,1.0,5.0,6.0,14.0,36.0,6.0,0.21052631578947367,0.21052631578947367,0.3333333333333333,0.3333333333333333,0.5135135135135135,0.5,0.3333333333333333,0.5108695652173914,0.5,0.25,0.6090909090909091,0.6666666666666666,0.7,0.1956521739130435,0.02702702702702703,0.058823529411764705,22.18045112781955,0.5,0.09375,0.023809523809523808,0.047619047619047616,0.08547008547008547,0.017857142857142856,0.07142857142857142,0.03571428571428571,0.13513513513513514,0.0967741935483871,0.0625,0.047619047619047616,0.13043478260869565,0.8333333333333334,0.8333333333333334,0.4,0.3695652173913043,0.4117647058823529,0.4375,0.30434782608695654,0.5,0.5,0.2857142857142857,0.021739130434782608,0.17391304347826086,0.375,0.375,0.5,1.0,0.25,0.32608695652173914,0.375,0.45212173913043474,0.48085,0.43795,0.10204081632653061,0.125,0.058823529411764705,0.20588235294117646,10.837837837837839,26.299999999999997,0.15450643776824036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
101142,1610612746,Ronny Turiaf,Ronny Turiaf,101142,LAC,335.0,6,3.0,10,9,7.0,3,3.0,19,1.0,2.0,1.0,2.0,,,,,,,,,1.0,2.0,,,1.0,3.0,6,1.0,2.0,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,2.0,,,,2.0,2,1.0,1.0,1.0,,,,,,,,,,,,1.0,,2.0,,,,1.0,1.0,7.0,1.0,,,,,0.5,0.5,,0.5,0.5,,0.5,0.5,0.5,,,,21.428571428571427,,,0.4,,,0.25,0.5,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,1.0,0.5,,1.0,,0.6371,0.6371,,,,0.6666666666666666,0.3333333333333333,0.7,,0.7,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,8667.0,144,-31.0,252,250,37.0,65,32.0,502,8.0,18.0,4.0,8.0,2.0,4.0,,,,,,,10.0,22.0,,,2.0,22.0,295,4.0,8.0,,8.0,1.0,2.0,,1.0,3.0,12.0,8.0,,,,3.0,1.0,,1.0,,,1.0,,,2.0,10.0,5.0,12.0,23.0,15.0,38,1.0,1.0,,1.0,5.0,,4.0,,5.0,9.0,1.0,7.0,,18.0,11.0,1.0,9.0,1.0,,4.0,1.0,3.0,37.0,,0.6,1.0,,,0.45454545454545453,0.5,0.5,0.45454545454545453,0.5,0.5,0.4230769230769231,0.4444444444444444,0.5,,0.13636363636363635,0.25,12.110726643598616,0.5555555555555556,0.11538461538461539,0.11363636363636363,0.22727272727272727,0.1349206349206349,0.125,0.13333333333333333,0.16666666666666666,0.1,0.08823529411764706,0.17647058823529413,0.1111111111111111,0.8181818181818182,0.4444444444444444,0.5,0.5,0.18181818181818182,0.5,0.6666666666666666,,,,,,,,,1.0,0.5,,0.8181818181818182,,0.46855454545454545,0.5778375,0.45405,0.16,0.16,0.36363636363636365,0.13636363636363635,2.8272727272727276,,0.14682539682539683,8.0,1.0,0.06451612903225806,1.0,2.0,5.0,6.0,1.0,1.0,2.0,3.0,1.0,10.0,4.0,6.0,10.0,5.0,1.0,1.0,5.0,0.1111111111111111,0.6,0.15625,0.14814814814814814,0.2,0.4,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
202339,1610612746,Eric Bledsoe,Eric Bledsoe,202339,LAC,1228.0,20,-2.0,34,34,5.0,17,7.0,68,3.0,3.0,1.0,1.0,,1.0,,,,,1.0,1.0,3.0,4.0,,1.0,1.0,7.0,40,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,2.0,4.0,,1.0,,,2.0,,2.0,,,1.0,1.0,,4.0,1.0,,4.0,4.0,2.0,6,,1.0,,1.0,1.0,,1.0,,1.0,2.0,,1.0,,2.0,2.0,,2.0,,,1.0,,2.0,5.0,,0.3333333333333333,0.5,,,0.75,1.0,1.0,0.6,1.0,0.5,0.5833333333333334,1.0,0.5,0.2,,,19.51219512195122,0.5,0.2857142857142857,0.125,,0.2222222222222222,0.14285714285714285,0.25,0.2,,0.6,,,0.6,1.0,1.0,0.3333333333333333,0.2,,,,,,,,0.2,,,1.0,1.0,0.5,0.8,,0.5346299999999999,0.4536,0.575075,0.16666666666666666,0.2,0.2857142857142857,0.2857142857142857,3.55,25.1,0.14705882352941177,2.0,,,1.0,1.0,1.0,,1.0,,,1.0,,2.0,2.0,,2.0,2.0,,,,,,0.16666666666666666,,0.2,,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,3359.0,56,-2.0,95,93,27.0,47,15.0,188,,1.0,,1.0,2.0,5.0,5.0,6.0,3.0,1.0,4.0,,7.0,12.0,2.0,7.0,3.0,23.0,107,,2.0,,,,1.0,1.0,2.0,2.0,8.0,6.0,6.0,4.0,1.0,,2.0,,2.0,,,1.0,,1.0,4.0,,2.0,3.0,5.0,1.0,6,1.0,,,,,,1.0,,,1.0,,5.0,,8.0,5.0,,3.0,,,,1.0,2.0,27.0,1.0,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.5833333333333334,,,0.5263157894736842,,,0.575,,0.3333333333333333,0.3684210526315789,,,18.42105263157895,,0.08108108108108109,,0.14285714285714285,0.09803921568627451,0.021739130434782608,,0.09090909090909091,0.15384615384615385,,0.18181818181818182,0.1,0.05263157894736842,,,,0.2631578947368421,0.4,0.4,0.3157894736842105,0.8333333333333334,0.8333333333333334,0.4,0.15789473684210525,0.21052631578947367,0.25,0.25,0.5,,,0.42105263157894735,0.25,0.4322131578947368,0.398,0.5363,0.05263157894736842,,,0.08695652173913043,13.4,26.35714285714286,0.28421052631578947,,,,,,1.0,,,,1.0,2.0,1.0,1.0,,,1.0,,,,1.0,,,0.05555555555555555,,0.06666666666666667,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,2083.0,35,6.0,60,58,14.0,31,8.0,118,1.0,2.0,,,1.0,1.0,,,,2.0,4.0,1.0,2.0,3.0,2.0,4.0,4.0,14.0,65,,,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0,,4.0,2.0,1.0,1.0,,1.0,,,,1.0,,2.0,,,4.0,5.0,,5,,,,,2.0,2.0,1.0,,,3.0,,3.0,,5.0,4.0,,4.0,,,1.0,1.0,6.0,14.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,,1.0,0.7142857142857143,,0.6666666666666666,0.7777777777777778,1.0,0.75,0.5714285714285714,0.3333333333333333,,17.39130434782609,0.6666666666666666,0.14285714285714285,,,0.11428571428571428,,,,0.25,0.1,,,0.2857142857142857,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,,0.5714285714285714,0.5,0.5,,,0.3333333333333333,0.8571428571428571,0.5,0.4732571428571428,,0.47441666666666665,0.125,0.25,0.14285714285714285,0.42857142857142855,3.8333333333333335,26.35,0.23333333333333334,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,0.5,0.25,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,
1497,1610612746,Chauncey Billups,Chauncey Billups,1497,LAC,5147.0,86,-32.0,152,152,11.0,19,18.0,304,2.0,4.0,,,1.0,6.0,2.0,8.0,2.0,5.0,11.0,,5.0,18.0,6.0,13.0,3.0,31.0,184,,2.0,,3.0,,,,,,6.0,4.0,9.0,11.0,5.0,3.0,5.0,1.0,6.0,,1.0,3.0,2.0,,13.0,2.0,1.0,7.0,9.0,2.0,11,,,,,1.0,,4.0,,1.0,5.0,1.0,4.0,,8.0,5.0,,5.0,1.0,2.0,2.0,,,11.0,,0.6,0.6,0.46153846153846156,0.46153846153846156,0.2777777777777778,,,0.45161290322580644,0.375,,0.46875,0.375,,0.41935483870967744,0.16666666666666666,0.3333333333333333,21.637426900584796,0.2,0.109375,0.03333333333333333,0.125,0.1111111111111111,0.02666666666666667,,0.15789473684210525,0.14814814814814814,,0.14285714285714285,,0.12903225806451613,0.5,0.6666666666666666,0.5,0.1935483870967742,0.16666666666666666,0.25,0.25806451612903225,0.25,0.25,0.5,0.06451612903225806,0.3548387096774194,0.45454545454545453,0.45454545454545453,,,,0.5483870967741935,0.45454545454545453,0.44579354838709684,0.425775,,0.0625,0.10526315789473684,0.0967741935483871,,12.11111111111111,25.838461538461537,0.07236842105263158,,,,,,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,0.25,0.14285714285714285,,0.09523809523809523,,,,1.0,,,1.0,,,,,,0.5,0.5,,,9.0,0.5,0.4,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,,,,,,,,,True,,,,,,,,
1885,1610612746,Lamar Odom,Lamar Odom,1885,LAC,1515.0,25,-10.0,48,46,9.0,17,3.0,94,,,,,2.0,4.0,,1.0,,,3.0,,2.0,5.0,,3.0,2.0,6.0,52,,,,,1.0,1.0,,,2.0,2.0,2.0,,3.0,,,4.0,,4.0,,,1.0,2.0,1.0,8.0,,3.0,3.0,6.0,,6,,1.0,,1.0,2.0,1.0,2.0,,1.0,4.0,,1.0,,4.0,2.0,,2.0,,,1.0,,2.0,9.0,,0.5,0.5,,,0.4,,1.0,0.25,,1.0,0.3333333333333333,,1.0,0.375,,,24.528301886792452,0.5,0.17647058823529413,,0.6,0.2727272727272727,,,,0.1111111111111111,0.3333333333333333,0.6,,,,,,0.5,0.5,0.5,0.125,,,,,0.375,,,,,,0.375,,0.46153125,,0.4025,0.1111111111111111,0.16666666666666666,,0.3333333333333333,11.780000000000001,25.866666666666664,0.1875,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,
2406,1610612746,Caron Butler,Caron Butler,2406,LAC,6671.0,111,-45.0,194,196,21.0,35,22.0,390,4.0,7.0,2.0,2.0,3.0,4.0,5.0,8.0,6.0,1.0,8.0,1.0,12.0,19.0,4.0,14.0,3.0,39.0,239,2.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,4.0,16.0,8.0,,8.0,1.0,2.0,,,,,,,,,,1.0,1.0,9.0,11.0,1.0,12,,2.0,1.0,1.0,1.0,1.0,4.0,,,5.0,1.0,,,6.0,3.0,,3.0,1.0,,1.0,1.0,4.0,21.0,1.0,0.6666666666666666,0.7272727272727273,0.2857142857142857,0.2857142857142857,0.631578947368421,1.0,1.0,0.5454545454545454,0.5,0.3333333333333333,0.5735294117647058,0.625,0.5,0.42424242424242425,0.10526315789473684,,17.727272727272727,0.2,0.11392405063291139,0.012987012987012988,0.07142857142857142,0.10752688172043011,0.01020408163265306,,0.13043478260869565,0.034482758620689655,0.18518518518518517,0.09090909090909091,,0.21212121212121213,0.5714285714285714,0.8,0.5,0.12121212121212122,0.75,0.75,0.24242424242424243,0.625,0.625,0.8,0.18181818181818182,0.24242424242424243,0.125,0.14285714285714285,0.5,1.0,0.3333333333333333,0.6363636363636364,0.125,0.49584393939393945,0.5406333333333334,0.49015000000000003,0.030303030303030304,0.05263157894736842,0.1282051282051282,0.10256410256410256,10.957894736842105,24.628571428571426,0.10824742268041238,2.0,,0.037037037037037035,,,,1.0,,1.0,1.0,,1.0,2.0,2.0,,2.0,2.0,1.0,,,0.2857142857142857,0.14285714285714285,,,,,1.0,0.6666666666666666,,,3.0,1.0,,,,,0.5,0.5,0.3333333333333333,,12.0,1.0,1.0,,1.0,,2.0,,,1.0,0.25,,,1.0,1.0,1.0,0.07142857142857142,0.125,0.5,0.25,True,,,,,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,6160.0,103,-20.0,176,176,18.0,33,24.0,352,12.0,24.0,3.0,4.0,4.0,10.0,4.0,14.0,,,,,20.0,48.0,,,11.0,51.0,212,3.0,4.0,3.0,9.0,2.0,5.0,,2.0,6.0,28.0,12.0,,,,1.0,9.0,3.0,12.0,1.0,2.0,4.0,2.0,3.0,27.0,4.0,3.0,12.0,16.0,4.0,20,3.0,,,,4.0,1.0,6.0,1.0,3.0,10.0,,5.0,,13.0,16.0,,11.0,3.0,,6.0,1.0,6.0,18.0,1.0,0.7,0.7777777777777778,,,0.4166666666666667,0.75,0.4,0.4166666666666667,0.75,0.4,0.49038461538461536,0.9,0.5,,0.020833333333333332,,30.693069306930692,0.4,0.16216216216216217,0.057971014492753624,0.23076923076923078,0.1724137931034483,0.04597701149425287,,0.16,0.23076923076923078,0.08695652173913043,0.1111111111111111,0.1111111111111111,0.5,0.5,0.5217391304347826,0.6666666666666666,0.20833333333333334,0.4,0.4,0.2916666666666667,0.2857142857142857,0.2857142857142857,1.0,,,,,1.0,0.75,,0.5,,0.44369166666666665,0.488,0.40942,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.11764705882352941,8.202083333333333,,0.10227272727272728,4.0,5.0,0.12,2.0,3.0,,1.0,1.0,2.0,,3.0,1.0,4.0,4.0,,4.0,2.0,,1.0,2.0,0.041666666666666664,0.16666666666666666,,0.041666666666666664,,0.5,0.5,0.5,0.6,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.3333333333333333,,True,,,,,,,,
