EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffThreePtRebounds,FTDefRebounds,OffRebounds,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,OffTwoPtRebounds,SelfOReb,OffTwoPtReboundPct,OffAtRimReboundPct,SelfORebPct,PtsPutbacks,Loose Ball Fouls,Charge Fouls Drawn,BlockedAtRim,DefensiveGoaltends,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Corner3FGM,PenaltyCorner3FGM,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,Travels,Charge Fouls,OffFTReboundPct,on,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Offensive Fouls
101114,1610612751,Deron Williams,Deron Williams,101114,BKN,11830.0,197,11.0,361,361,84.0,78.0,43.0,722,11.0,19.0,1.0,2.0,3.0,4.0,6.0,10.0,5.0,15.0,1.0,1.0,1.0,11.0,25.0,1.0,3.0,3.0,5.0,22.0,44.0,11.0,26.0,29.0,106.0,377,1.0,2.0,1.0,4.0,5.0,10.0,4.0,7.0,3.0,6.0,12.0,29.0,8.0,36.0,18.0,15.0,25.0,11.0,2.0,27.0,7.0,34.0,6.0,1.0,16.0,3.0,8.0,75.0,2.0,8.0,10.0,10.0,6.0,4.0,2.0,13.0,1.0,6.0,3.0,2.0,7.0,16.0,3.0,3.0,8.0,1.0,26.0,3.0,35.0,2.0,1.0,2.0,9.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,29.0,84.0,1.0,4.0,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.4230769230769231,0.25,0.5,0.4230769230769231,0.5,0.5,0.5714285714285714,0.55,0.4166666666666667,0.6538461538461539,0.625,0.625,0.7368421052631579,0.37142857142857144,0.045454545454545456,0.10526315789473684,24.08759124087591,0.8125,0.058394160583941604,0.05555555555555555,0.057803468208092484,0.0784313725490196,0.04,0.04918032786885246,0.04,0.09090909090909091,0.3333333333333333,0.2714285714285714,0.5789473684210527,0.6470588235294118,0.36363636363636365,0.14285714285714285,0.6,0.6,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.014285714285714285,0.35714285714285715,0.44,0.44,0.5454545454545454,0.3333333333333333,0.5,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,0.3076923076923077,0.75,0.07692307692307693,0.38461538461538464,0.6,0.6428571428571429,0.44,0.48639214285714283,0.52447,0.5088769230769231,0.1518987341772152,0.17647058823529413,0.10714285714285714,0.09433962264150944,0.27358490566037735,9.343181818181819,25.02692307692308,0.23268698060941828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
101154,1610612751,Andray Blatche,Andray Blatche,101154,BKN,1381.0,23,,42,42,13.0,21.0,5.0,84,4.0,5.0,,1.0,,,2.0,4.0,1.0,5.0,,,,,,,,,,7.0,14.0,,,,14.0,49,1.0,2.0,,,,2.0,1.0,2.0,,,,2.0,14.0,,,,,,,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,,1.0,2.0,1.0,1.0,,2.0,,1.0,,,1.0,2.0,,1.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,2.0,13.0,1.0,,1.0,1.0,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,34.04255319148936,1.0,,,,,,,,,,0.35714285714285715,0.8,0.8,1.0,0.2857142857142857,0.5,0.5,0.35714285714285715,0.2,0.2,,,,,,0.5,,,,,,,,,,,,0.35714285714285715,,0.4515214285714286,0.4345,0.3591,,,,0.14285714285714285,0.14285714285714285,9.835714285714285,,0.30952380952380953,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.05263157894736842,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201228,1610612751,C.J. Watson,C.J. Watson,201228,BKN,3047.0,51,-6.0,90,90,20.0,25.0,13.0,180,4.0,7.0,,,1.0,2.0,,1.0,3.0,7.0,3.0,,1.0,1.0,1.0,,,,,7.0,15.0,1.0,4.0,1.0,18.0,101,,1.0,,,,,1.0,3.0,,1.0,1.0,3.0,4.0,10.0,3.0,,1.0,1.0,1.0,3.0,,3.0,,,2.0,1.0,,6.0,,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,,1.0,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,3.0,20.0,,,0.2857142857142857,0.2857142857142857,1.0,0.25,,,0.25,0.4666666666666667,,0.3333333333333333,0.4473684210526316,,0.25,0.47368421052631576,,0.375,0.21052631578947367,0.06666666666666667,0.14285714285714285,18.446601941747574,,0.03125,,0.025,,,0.09090909090909091,,,,0.3684210526315789,0.5714285714285714,0.6666666666666666,0.25,0.05263157894736842,,,0.3684210526315789,0.42857142857142855,0.42857142857142855,0.15789473684210525,0.05263157894736842,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.25,,,0.5789473684210527,1.0,0.5264868421052632,,0.604325,0.05263157894736842,0.06666666666666667,,,0.16666666666666666,10.146666666666667,24.375,0.2222222222222222,1.0,,2.0,,0.09090909090909091,0.04878048780487805,0.14285714285714285,,0.3333333333333333,1.0,1.0,0.03333333333333333,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2222,1610612751,Gerald Wallace,Gerald Wallace,2222,BKN,10952.0,183,26.0,330,330,62.0,62.0,40.0,660,16.0,24.0,2.0,4.0,2.0,3.0,,1.0,1.0,3.0,5.0,,1.0,8.0,18.0,,,3.0,4.0,17.0,28.0,8.0,23.0,8.0,66.0,340,2.0,4.0,,,1.0,5.0,2.0,3.0,3.0,5.0,1.0,14.0,20.0,14.0,24.0,,18.0,8.0,1.0,8.0,3.0,11.0,2.0,1.0,5.0,1.0,2.0,25.0,1.0,18.0,20.0,23.0,5.0,4.0,1.0,3.0,,2.0,2.0,1.0,1.0,5.0,,6.0,17.0,,15.0,3.0,12.0,2.0,,,6.0,,1.0,3.0,,,,,3.0,3.0,14.0,62.0,1.0,1.0,0.5882352941176471,0.625,1.0,0.34782608695652173,,0.6,0.34782608695652173,0.6071428571428571,0.5,0.6666666666666666,0.5686274509803921,0.5,0.8125,0.5892857142857143,0.5,0.7777777777777778,0.45098039215686275,0.03571428571428571,0.041666666666666664,16.22340425531915,0.6,0.14285714285714285,0.03225806451612903,0.12101910828025478,0.10638297872340426,0.22727272727272727,0.14035087719298245,0.05,,1.0,0.47058823529411764,0.6666666666666666,0.6956521739130435,0.5625,0.0196078431372549,,,0.058823529411764705,0.3333333333333333,0.3333333333333333,0.09803921568627451,0.35294117647058826,0.4444444444444444,0.4444444444444444,1.0,1.0,0.5,0.5,,,,,0.375,0.6666666666666666,0.125,0.5,0.75,0.9215686274509803,0.4444444444444444,0.5448127450980392,0.5463666666666667,0.5502,0.10909090909090909,0.1875,,0.07575757575757576,0.21212121212121213,4.375,24.960869565217394,0.18787878787878787,,1.0,3.0,0.08333333333333333,,0.018867924528301886,,,1.0,3.0,,0.025423728813559324,0.022222222222222223,,2.0,2.0,1.0,3.0,1.0,0.03571428571428571,0.022222222222222223,,,,,,,,,,,,,,,,,,True,,,,,,
2501,1610612751,Reggie Evans,Reggie Evans,2501,BKN,12548.0,209,5.0,380,379,84.0,78.0,46.0,759,10.0,18.0,1.0,3.0,3.0,5.0,1.0,2.0,,3.0,,,,,,,,,,11.0,23.0,,,10.0,32.0,400,1.0,4.0,,,2.0,4.0,3.0,5.0,,,2.0,8.0,16.0,6.0,,,,,6.0,6.0,,6.0,,,5.0,1.0,,12.0,16.0,48.0,70.0,86.0,7.0,2.0,5.0,4.0,,,2.0,,4.0,6.0,3.0,7.0,21.0,,15.0,1.0,18.0,2.0,,,8.0,,2.0,2.0,,,,,2.0,,8.0,84.0,1.0,1.0,0.7272727272727273,0.8,,,,,,0.4782608695652174,0.25,0.6,0.4782608695652174,0.25,0.6,0.5161290322580645,0.3333333333333333,0.5714285714285714,,0.2608695652173913,0.3333333333333333,8.545034642032332,0.6666666666666666,0.3380281690140845,0.42105263157894735,0.35555555555555557,0.2777777777777778,0.32,0.3968253968253968,0.4074074074074074,0.45454545454545453,,0.782608695652174,0.5555555555555556,0.8333333333333334,0.8,0.08695652173913043,0.5,0.5,0.13043478260869565,,,,,,,,0.75,0.3333333333333333,,,,,,1.0,0.6,,,,0.782608695652174,,0.5323565217391304,0.5365500000000001,0.5955000000000001,0.27586206896551724,0.27586206896551724,,0.125,0.25,4.360869565217392,,0.22105263157894736,4.0,6.0,16.0,0.42857142857142855,0.0784313725490196,0.08695652173913043,0.05714285714285714,,,12.0,,0.09022556390977443,0.10204081632653061,,2.0,4.0,,1.0,1.0,0.06666666666666667,0.09259259259259259,1.0,1.0,1.0,2.0,2.0,0.125,,,,,,,,,,,,True,,,,,,
2207,1610612751,Joe Johnson,Joe Johnson,2207,BKN,10418.0,174,-7.0,315,316,69.0,57.0,38.0,631,2.0,2.0,,,,,9.0,13.0,11.0,24.0,12.0,,4.0,1.0,13.0,,3.0,1.0,4.0,22.0,39.0,6.0,25.0,4.0,66.0,335,1.0,2.0,,3.0,,2.0,5.0,11.0,3.0,8.0,2.0,21.0,10.0,34.0,15.0,3.0,13.0,1.0,1.0,13.0,2.0,15.0,2.0,,12.0,1.0,,32.0,3.0,8.0,12.0,12.0,4.0,4.0,,4.0,1.0,3.0,4.0,3.0,1.0,8.0,2.0,6.0,8.0,,5.0,,4.0,1.0,,1.0,1.0,,1.0,,,,,,,,21.0,69.0,,1.0,0.22727272727272727,0.22727272727272727,0.8333333333333334,0.24,,0.375,0.24,0.5641025641025641,0.5,0.45454545454545453,0.484375,0.2,0.5,0.5,0.2,0.525,0.390625,0.02564102564102564,,20.27777777777778,0.5,0.06611570247933884,0.08571428571428572,0.07051282051282051,0.06521739130434782,,0.09090909090909091,0.08333333333333333,0.09090909090909091,,0.03125,1.0,1.0,0.5,0.203125,0.6923076923076923,0.75,0.375,0.4583333333333333,0.4583333333333333,0.1875,0.203125,0.07692307692307693,0.07692307692307693,1.0,,,,,0.6,,,,,0.21052631578947367,0.21052631578947367,0.25,0.421875,0.07692307692307693,0.46663671874999996,0.40765,0.4722973684210526,0.015625,0.02564102564102564,,0.030303030303030304,0.3181818181818182,14.087179487179487,24.628,0.21904761904761905,,1.0,,0.07692307692307693,,,,0.1111111111111111,0.2727272727272727,,,,,,,,,,,,,,1.0,,,,,5.0,2.0,0.07692307692307693,0.4166666666666667,0.4166666666666667,0.8,0.5,,,,,True,,,,,,
2586,1610612751,Keith Bogans,Keith Bogans,2586,BKN,723.0,12,3.0,23,21,12.0,8.0,2.0,44,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,20,,,,,,,,,,1.0,,,,,,,,,,2.0,,2.0,,,2.0,,,4.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,0.4221,,0.4221,,,,,,,22.2,0.5217391304347826,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,
201572,1610612751,Brook Lopez,Brook Lopez,201572,BKN,10886.0,181,10.0,329,327,71.0,57.0,40.0,656,25.0,46.0,6.0,16.0,4.0,8.0,5.0,21.0,7.0,23.0,,,,,,,,,,37.0,90.0,,,21.0,95.0,338,7.0,18.0,,,5.0,19.0,8.0,20.0,,,8.0,24.0,50.0,24.0,,,,,11.0,2.0,7.0,9.0,5.0,2.0,1.0,1.0,,25.0,4.0,8.0,13.0,35.0,4.0,2.0,2.0,5.0,1.0,4.0,8.0,,1.0,13.0,2.0,5.0,11.0,,17.0,1.0,23.0,1.0,,,10.0,,2.0,15.0,,,,,15.0,8.0,24.0,71.0,1.0,2.0,0.6756756756756757,0.7575757575757576,,,,,,0.4111111111111111,0.3888888888888889,0.4,0.4111111111111111,0.3888888888888889,0.4,0.47029702970297027,0.4523809523809524,0.48,,0.12222222222222222,0.15217391304347827,30.319148936170215,0.38461538461538464,0.06153846153846154,0.1111111111111111,0.07228915662650602,0.02,0.18181818181818182,0.05172413793103448,0.16,,0.5333333333333333,0.5111111111111111,0.5434782608695652,0.6410256410256411,0.64,0.23333333333333334,0.23809523809523808,0.29411764705882354,0.25555555555555554,0.30434782608695654,0.30434782608695654,,,,,,0.8888888888888888,0.375,0.16666666666666666,,,,,0.4,0.5,,,,0.5111111111111111,,0.47892777777777784,0.5166124999999999,0.46635499999999996,0.10101010101010101,0.10101010101010101,,0.2,0.25263157894736843,7.323333333333333,,0.21580547112462006,3.0,1.0,22.0,0.09090909090909091,0.06666666666666667,0.125,0.06666666666666667,0.8,0.7142857142857143,17.0,4.0,0.14782608695652175,0.21739130434782608,0.09523809523809523,8.0,1.0,,12.0,,0.14814814814814814,0.07142857142857142,1.0,1.0,3.0,2.0,,0.06666666666666667,,,0.19047619047619047,,,,,2.0,4.0,1.0,0.25,True,,,,,,
2743,1610612751,Kris Humphries,Kris Humphries,2743,BKN,281.0,5,-5.0,9,10,,,1.0,19,1.0,1.0,,,,,2.0,2.0,,2.0,,,,,,,,,,3.0,5.0,,,,6.0,13,,1.0,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,0.6,,,0.6,,,0.6,,,,,,50.0,,,,,,,,,,,0.2,1.0,1.0,1.0,0.4,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,0.2,,0.44528,0.4385,,0.2,0.2,,,,10.16,,,,,1.0,,,0.2,,0.5,,1.0,,0.2,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,True,,,,,,
202705,1610612751,MarShon Brooks,MarShon Brooks,202705,BKN,269.0,4,-7.0,9,8,5.0,4.0,1.0,17,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,14,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,18.181818181818183,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3539,,0.3539,,,,,,7.5,,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
