EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,SecondChanceFG3A,PenaltyFG3A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Usage,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,FG2A,ShortMidRangeFrequency,Avg2ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,FG2M,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Steals,BadPassSteals,ShootingFouls,PtsAssisted2s,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,AtRimFGA,PenaltyAtRimFGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,FTDefRebounds,SecondChanceTsPct,DefFTReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,PenaltyAtRimFrequency,SecondChancePointsPct,AtRimFGM,PenaltyAtRimFGM,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimAccuracy,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsPutbacks,FTOffRebounds,Offensive Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockingFouls,3SecondViolations
201144,1610612763,Mike Conley,Mike Conley,201144,MEM,51.0,1.0,-2.0,1,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,0.38295,0.38295,0.38295,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201188,1610612763,Marc Gasol,Marc Gasol,201188,MEM,229.0,4.0,-3.0,7,7.0,2.0,4.0,1.0,14,,,,,8.0,,,,2.0,,12.5,,,,,0.3901,,,,0.2857142857142857,1.0,1.0,1.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201573,1610612763,Jerryd Bayless,Jerryd Bayless,201573,MEM,543.0,9.0,-3.0,17,17.0,11.0,7.0,3.0,34,1.0,,1.0,1.0,19.0,,1.0,1.0,11.0,0.2,35.0,0.2,,0.5,0.2,0.42015,,0.460675,24.7,0.6470588235294118,,4.0,,19.925,3.0,4.0,3.0,3.0,9.0,1.0,1.0,3.0,5.0,6.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,0.75,1.0,0.6,0.5,0.6428571428571429,0.625,0.25,0.2,0.25,0.8,0.75,0.75,0.16666666666666666,0.2,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202347,1610612763,Quincy Pondexter,Quincy Pondexter,202347,MEM,663.0,11.0,-1.0,23,21.0,17.0,11.0,3.0,44,,,,,23.0,,,,17.0,,7.692307692307692,,,,,0.40959999999999996,,0.40959999999999996,,0.7391304347826086,1.0,2.0,0.5,13.75,,1.0,,,,,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.2,0.16666666666666666,0.2,0.5,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202720,1610612763,Jon Leuer,Jon Leuer,202720,MEM,682.0,11.0,-3.0,23,22.0,17.0,12.0,3.0,45,,,,,25.0,,,,17.0,,7.692307692307692,,,,,0.38875000000000004,,0.3839,,0.7391304347826086,,2.0,,17.299999999999997,1.0,2.0,1.0,,2.0,1.0,1.0,,2.0,,,,,,,1.0,3.0,1.0,,,,,2.0,,0.5,1.0,0.5,1.0,0.5,1.0,,0.16666666666666666,,1.0,0.5,0.5,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.25,0.15384615384615385,0.25,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,1610612763,Tony Allen,Tony Allen,2754,MEM,29.0,,-1.0,1,1.0,,1.0,,2,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612763,Keyon Dooling,Keyon Dooling,2039,MEM,162.0,3.0,-2.0,5,6.0,,3.0,,11,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,1610612763,Zach Randolph,Zach Randolph,2216,MEM,16.0,,1.0,1,,1.0,,,1,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201948,1610612763,Austin Daye,Austin Daye,201948,MEM,443.0,7.0,-1.0,15,15.0,15.0,8.0,2.0,30,1.0,,1.0,1.0,17.0,,1.0,1.0,15.0,0.3333333333333333,17.64705882352941,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.45659999999999995,,0.45659999999999995,25.1,1.0,,2.0,,17.95,1.0,2.0,1.0,,2.0,1.0,2.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,2.0,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.6666666666666666,0.5,0.5,,,1.0,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202334,1610612763,Ed Davis,Ed Davis,202334,MEM,422.0,7.0,-2.0,14,14.0,13.0,7.0,2.0,28,,,,,17.0,,,,13.0,,31.25,,,,0.3333333333333333,0.4624,,0.4624,,0.9285714285714286,2.0,3.0,0.6666666666666666,5.266666666666667,,,,3.0,3.0,,3.0,2.0,2.0,,,,,,,1.0,2.0,2.0,2.0,4.0,2.0,,2.0,,,,,,0.3,0.25,,,,,,,0.4,0.4,0.6666666666666666,,,1.0,,,1.0,,1.0,,,,,,,,0.2,,0.125,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
