EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShootingFouls,Loose Ball Fouls,BlockedAtRim,NonShootingPenaltyNonTakeFouls,OffShortMidRangeReboundPct,ThreePtAssists,Arc3Assists,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls,Charge Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,LiveBallTurnoverPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,LongMidRangeAssists,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Corner3Assists,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,BlockingFoulsDrawn,Technical Free Throw Trips,ShortMidRangeFGM,SecondChanceFtPoints,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls Drawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LostBallTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,2pt And 1 Free Throw Trips,OffFTReboundPct,OffCorner3ReboundPct,on,Travels,SelfOReb,BlockingFouls,3SecondViolations,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,BlockedCorner3
101123,1610612754,Gerald Green,Gerald Green,101123,IND,2672.0,45,-11,84,86,51,30,13.0,170,3.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,4.0,8.0,1.0,2.0,5.0,4.0,9.0,1.0,3.0,5.0,6.0,10.0,8.0,17.0,2.0,38.0,101,1.0,1.0,2.0,2.0,5.0,7.0,5.0,10.0,2.0,27.0,2.0,10.0,21.0,3.0,2.0,9.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,6.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,27.0,51,0.16666666666666666,0.2,0.875,0.47058823529411764,0.5,0.47058823529411764,0.6,1.0,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.7352941176470589,0.6785714285714286,0.3333333333333333,0.75,0.6296296296296297,0.1,0.25,29.591836734693878,0.2,0.15789473684210525,0.030303030303030304,0.14285714285714285,0.06666666666666667,0.15151515151515152,0.041666666666666664,0.047619047619047616,0.125,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.14814814814814814,0.75,1.0,0.3333333333333333,0.037037037037037035,0.18518518518518517,0.6,0.6,0.2962962962962963,0.5,0.5,1.0,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.75,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.11764705882352941,1.0,0.29411764705882354,0.4,0.29411764705882354,0.6,0.7777777777777778,0.4444444444444444,0.5475574074074075,0.657125,0.5229323529411765,0.03571428571428571,0.09090909090909091,0.05263157894736842,0.7105263157894737,10.959999999999999,24.58823529411765,0.6071428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
101133,1610612754,Ian Mahinmi,Ian Mahinmi,101133,IND,691.0,12,-3,23,24,19,18,4.0,47,1.0,2.0,1.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,1.0,3.0,,,,2.0,23,1.0,2.0,,2.0,1.0,3.0,,,,2.0,,2.0,,,2.0,,,,,,,,,,2.0,,,1.0,1.0,2.0,3.0,,,,,4.0,,,,2.0,,2.0,1.0,2.0,19,,,,,,,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,,,11.11111111111111,1.0,,0.15384615384615385,,,,0.125,0.125,,,,,0.5,0.6666666666666666,0.5,0.5,,,0.3333333333333333,,,,,,,,,,,1.0,0.5,,,0.6666666666666666,0.5,,,,,0.6666666666666666,,0.5614333333333333,0.6351,0.5614333333333333,,,1.0,1.0,7.066666666666666,,0.8260869565217391,1.0,1.0,2.0,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201965,1610612754,Jeff Ayres,Jeff Ayres,201965,IND,4266.0,71,-15,135,138,83,44,17.0,273,6.0,10.0,3.0,4.0,2.0,5.0,1.0,2.0,12.0,,1.0,1.0,,1.0,,,,,,8.0,23.0,,1.0,,16.0,152,3.0,4.0,1.0,6.0,2.0,12.0,,1.0,,4.0,10.0,6.0,,,4.0,,,1.0,,1.0,,,3.0,,4.0,7.0,6.0,1.0,14.0,4.0,18.0,,2.0,3.0,2.0,14.0,1.0,,,2.0,,2.0,2.0,4.0,83,0.625,0.8333333333333334,,,,,0.34782608695652173,0.75,0.16666666666666666,0.3333333333333333,0.6,0.15384615384615385,0.3333333333333333,0.6,0.15384615384615385,0.041666666666666664,0.043478260869565216,0.1,17.419354838709676,0.2,0.1935483870967742,0.0784313725490196,0.28,,0.23214285714285715,0.05714285714285714,0.0967741935483871,,0.3333333333333333,,0.2631578947368421,1.0,0.4166666666666667,0.6,0.6666666666666666,0.5,0.041666666666666664,0.5,0.16666666666666666,0.16666666666666666,0.041666666666666664,,,,,,,,0.8,0.75,0.2,,0.38461538461538464,0.4,0.07692307692307693,,,,0.4583333333333333,,0.48376249999999993,0.6332249999999999,0.49479230769230775,,,0.375,0.25,10.530434782608696,23.9,0.6148148148148148,7.0,3.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.08333333333333333,0.21428571428571427,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203111,1610612754,Orlando Johnson,Orlando Johnson,203111,IND,1183.0,20,-9,37,37,34,26,7.0,74,,1.0,,,,1.0,1.0,,4.0,1.0,2.0,,1.0,2.0,,1.0,,,1.0,,6.0,1.0,3.0,5.0,8.0,42,,1.0,,,,6.0,1.0,3.0,5.0,8.0,,,3.0,,,1.0,,,1.0,1.0,,,2.0,,,,2.0,,2.0,,2.0,,1.0,1.0,1.0,,7.0,9.0,2.0,,,,,8.0,34,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.16666666666666666,,0.16666666666666666,0.2857142857142857,,0.2857142857142857,0.3333333333333333,,,31.11111111111111,,0.3333333333333333,,,,0.16666666666666666,,,,0.5,0.3333333333333333,,,0.1111111111111111,,,,0.1111111111111111,0.4444444444444444,,,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,,,,,,,,0.1111111111111111,,0.2222222222222222,0.5,0.1111111111111111,,0.4444444444444444,,0.43549444444444446,0.4278,0.43549444444444446,0.18181818181818182,0.25,,1.0,14.583333333333334,23.8,0.918918918918919,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
203162,1610612754,Ben Hansbrough,Ben Hansbrough,203162,IND,933.0,16,-7,28,29,25,19,6.0,57,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,2.0,,,34,,,,,,,,2.0,,,,,,,,1.0,,,,3.0,,,9.0,,1.0,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,25,,,,,,,,,,,,,,,,1.0,,,8.823529411764705,,0.2,0.07142857142857142,,,0.1,0.05263157894736842,0.1111111111111111,,,0.5,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,0.5,,0.5,,1.0,,0.516825,,0.516825,,,,,,25.0,0.8928571428571429,,,,,,3.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201571,1610612754,D.J. Augustin,D.J. Augustin,201571,IND,2262.0,38,1,75,74,38,18,9.0,149,1.0,2.0,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,1.0,2.0,1.0,2.0,3.0,8.0,85,,,,,,,1.0,2.0,2.0,5.0,,2.0,3.0,,,2.0,1.0,1.0,4.0,5.0,2.0,1.0,11.0,,,3.0,,,3.0,,3.0,,1.0,1.0,,3.0,3.0,3.0,,,,,,5.0,38,,,1.0,0.5,0.5,0.5,0.5,,,0.625,,0.75,0.7,,0.8333333333333334,0.5,0.5,0.5,6.976744186046512,,,,0.25,,0.09375,,,,,,0.18181818181818182,,0.5,0.5,1.0,,,,,,,,,,0.5,0.5,0.5,1.0,,,,,,,,,1.0,0.5,1.0,0.5,0.475425,,0.37575000000000003,,,,0.625,1.85,27.700000000000003,0.5066666666666667,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201579,1610612754,Roy Hibbert,Roy Hibbert,201579,IND,718.0,12,3,23,23,8,5,3.0,46,1.0,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,3.0,5.0,,,2.0,8.0,21,,,,2.0,,1.0,,,2.0,2.0,6.0,,,,,,,,,,,,,,2.0,,4.0,,4.0,2.0,6.0,,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,2.0,8,1.0,1.0,,,,,0.6,,,0.6,,,0.6666666666666666,1.0,0.5,,,,28.57142857142857,,0.4444444444444444,0.25,,,0.26666666666666666,0.2,0.25,,0.5,0.5,,,0.2,1.0,1.0,1.0,0.4,0.4,0.5,0.5,,,,,,,,,,,,,,,,,,,0.2,,0.47376000000000007,,0.42,,,0.25,0.25,10.0,,0.34782608695652173,,,,,,,,1.0,1.0,,,,,,0.5,0.5,0.4,,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201970,1610612754,Sam Young,Sam Young,201970,IND,202.0,3,-6,7,7,1,1,1.0,14,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,15,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.4216,,,,,,,18.9,,0.14285714285714285,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
201588,1610612754,George Hill,George Hill,201588,IND,1157.0,19,-11,36,39,24,10,2.0,75,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,9.0,39,,,,,1.0,1.0,1.0,1.0,,5.0,,2.0,3.0,3.0,,2.0,2.0,,2.0,2.0,,,4.0,,,,,,,,,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,5.0,24,,,0.5,1.0,1.0,1.0,0.5,,1.0,1.0,,1.25,1.125,,1.25,0.5,,,15.384615384615383,,,,,,,,,,,,,,0.25,1.0,1.0,,,0.25,,,,,,,0.5,1.0,1.0,0.5,,,,,0.5,1.0,,,0.5,1.0,0.75,1.0,0.5675,,0.658,0.25,,,0.5555555555555556,9.049999999999999,25.3,0.6666666666666666,,,,,,,,1.0,,,,,,,0.5,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2561,1610612754,David West,David West,2561,IND,1432.0,24,2,47,46,34,9,4.0,93,,2.0,,,,1.0,3.0,3.0,7.0,,,,,,,,,,,5.0,12.0,,,2.0,12.0,50,,,,,3.0,6.0,,,2.0,8.0,8.0,2.0,,,,,,,2.0,2.0,2.0,,4.0,,,1.0,1.0,,2.0,,2.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,1.0,1.0,8.0,34,0.8,0.8,,,,,0.4166666666666667,,0.5,0.4166666666666667,,0.5,0.46153846153846156,,0.5714285714285714,,,,27.45098039215686,,0.1111111111111111,,0.1,,0.10526315789473684,,,,,,,1.0,0.16666666666666666,,,,0.25,0.5833333333333334,0.42857142857142855,0.42857142857142855,,,,,,,,,,,,,0.16666666666666666,,,,,,0.16666666666666666,,0.42450833333333327,,0.40818333333333334,,,,0.6666666666666666,13.383333333333335,,0.723404255319149,1.0,,1.0,,,,,1.0,,,,,,,1.0,,0.2,0.3333333333333333,0.6666666666666666,,,1.0,1.0,,,,,,1.0,,2.0,,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
