EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,Usage,LiveBallTurnoverPct,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,Points,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,FG3A,FtPoints,SecondChanceFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,ShortMidRangeAssists,OffThreePtRebounds,ShootingFouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyTsPct,FG3APct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyPointsPct,Avg3ptShotDistance,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LongMidRangePctAssisted,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,PenaltyFG2M,TwoPtShootingFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimAccuracy,PenaltyTurnovers,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,on,SecondChanceAtRimFGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsPutbacks,HeaveAttempts,Fg2aBlocked,Corner3Assists,FTOffRebounds,SelfOReb,BadPassSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,SecondChancePointsPct,Blocked3s,BlockedArc3,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Corner3PctBlocked
1503,1610612759,Tracy McGrady,Tracy McGrady,1503,SAS,257.0,4,2,8,8,6,1.0,16,1.0,1.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,18.181818181818183,1.0,1.0,0.4229,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201971,1610612759,DeJuan Blair,DeJuan Blair,201971,SAS,793.0,13,6,29,27,22,2.0,56,1.0,8.0,21,2.0,2.0,,4.0,1.0,1.0,,,,,24.242424242424242,,0.125,0.5063,7.125000000000001,11.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,6.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,6.0,9.0,0.6666666666666666,0.6666666666666666,0.375,0.375,0.375,1.0,0.3333333333333333,0.125,0.14285714285714285,0.23076923076923078,0.08333333333333333,0.5,1.0,0.25,0.14285714285714285,0.375,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.375,0.5901,0.65205,0.3793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201986,1610612759,Nando De Colo,Nando De Colo,201986,SAS,859.0,14,3,31,29,24,2.0,60,1.0,1.0,24,2.0,2.0,1.0,4.0,,,,,,1.0,14.285714285714286,,0.25,0.46387500000000004,15.9,13.0,,,,,,,1.0,4.0,,,,2.0,,1.0,1.0,1.0,,2.0,2.0,4.0,11.0,,,1.0,0.25,0.4,,0.14285714285714285,0.125,0.14285714285714285,0.14285714285714285,0.16666666666666666,,,0.25,0.14285714285714285,,,,,,,,,,,0.75,0.59925,,0.41935483870967744,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.75,0.25,0.5,0.3333333333333333,1.0,1.0,0.25,0.5,1.0,0.5,24.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,440.0,7,4,15,14,14,2.0,29,1.0,1.0,9,,1.0,,3.0,,,,,1.0,,10.526315789473685,,1.0,0.4027,20.0,,,,,,,,1.0,2.0,,,2.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,0.5,,,0.125,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203382,1610612759,Aron Baynes,Aron Baynes,203382,SAS,534.0,9,7,20,19,17,2.0,39,,1.0,14,,,,,,,,,1.0,,8.333333333333334,,,0.4556,3.4,3.0,1.0,1.0,,,,,1.0,2.0,,,2.0,,,,3.0,,,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.42857142857142855,0.3,,,,,0.42857142857142855,1.0,1.0,1.0,1.0,,,,,,,1.0,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202709,1610612759,Cory Joseph,Cory Joseph,202709,SAS,419.0,7,-1,16,15,10,,31,,1.0,15,1.0,1.0,1.0,2.0,,,,,,1.0,12.5,,,0.4178,8.1,13.0,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,11.0,,,,,0.25,,0.2,,,0.16666666666666666,,,,,,,,,,1.0,,,,,,,,0.4178,0.8125,,,,,,1.0,,1.0,1.0,,,,,2.0,2.0,1.0,0.25,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,235.0,4,-1,8,8,5,,16,1.0,1.0,7,,,,,,,,,,1.0,25.0,,1.0,0.4173,15.9,8.0,,,,,,,1.0,3.0,,1.0,2.0,,,,,,,,,,8.0,1.0,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,0.4173,1.0,1.0,,,,,1.0,,1.0,3.0,,,,,1.0,2.0,,0.75,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,3.0,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,325.0,5,-4,11,10,7,,21,,1.0,10,,,,,1.0,1.0,,,,,9.090909090909092,,,0.7258,1.7,10.0,1.0,1.0,,1.0,,,1.0,2.0,,1.0,2.0,,,,,,,,,,10.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,0.7258,0.9090909090909091,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,66.0,1,-3,2,2,2,,4,,,3,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,1610612759,Boris Diaw,Boris Diaw,2564,SAS,66.0,1,-3,2,2,2,,4,,,3,,,,,,,,,1.0,,50.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
