EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,FTOffRebounds,Blocked3s,BlockedArc3,BlockedLongMidRange,RecoveredBlocks,OffFTReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,BlockedCorner3,DefensiveGoaltends,3SecondViolations,OffensiveGoaltends,SecondChanceCorner3FGM,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,on,Clear Path Fouls
1507,1610612757,Derek Anderson,Derek Anderson,1507,POR,47765.0,796,-90,1443,1445,316,222,203,2888,27.0,44.0,3.0,3.0,7.0,13.0,8.0,25.0,26.0,93.0,8.0,24.0,1.0,5.0,10.0,25.0,63.0,4.0,9.0,4.0,12.0,61.0,162.0,33.0,87.0,35.0,256.0,1532,8.0,13.0,4.0,10.0,28.0,16.0,35.0,9.0,22.0,12.0,71.0,54.0,68.0,84.0,15.0,4.0,1.0,62.0,25.0,6.0,1.0,66.0,18.0,84.0,17.0,1.0,38.0,11.0,17.0,186.0,4.0,14.0,11.0,51.0,2.0,64.0,18.0,82.0,4.0,25.0,15.0,10.0,22.0,8.0,14.0,19.0,3.0,8.0,1.0,2.0,41.0,3.0,9.0,18.0,51.0,4.0,3.0,42.0,4.0,19.0,4.0,2.0,1.0,1.0,2.0,1.0,71.0,316,5.0,0.4426229508196721,0.4576271186440678,0.8484848484848485,0.3793103448275862,0.4,0.4090909090909091,0.38372093023255816,0.3765432098765432,0.6153846153846154,0.45714285714285713,0.44377510040160645,0.6086956521739131,0.5175438596491229,0.47761194029850745,0.6086956521739131,0.5546875,0.3493975903614458,0.011494252873563218,0.037037037037037035,0.11363636363636363,0.04,0.015873015873015872,18.30568720379147,0.5365853658536586,0.05263157894736842,0.08644067796610169,0.023178807947019868,0.07913669064748201,0.02702702702702703,0.0850480109739369,0.023936170212765957,0.03278688524590164,0.01675977653631285,0.02066115702479339,0.02564102564102564,0.03225806451612903,0.0935672514619883,0.046511627906976744,0.10931174089068826,0.09,0.05128205128205128,0.027210884353741496,0.17670682730923695,0.6136363636363636,0.6923076923076923,0.4074074074074074,0.10040160642570281,0.32,0.3333333333333333,0.125,0.37349397590361444,0.27956989247311825,0.27956989247311825,0.5769230769230769,0.0963855421686747,0.3333333333333333,0.3333333333333333,1.0,0.25301204819277107,0.3968253968253968,0.4032258064516129,0.8,0.13043478260869565,1.0,0.043478260869565216,0.391304347826087,0.4444444444444444,0.75,0.22807017543859648,0.5384615384615384,0.17543859649122806,0.5,0.21052631578947367,0.3333333333333333,0.5261044176706827,0.4032258064516129,0.47503770161290315,0.49060500000000007,0.4879125000000001,0.07196969696969698,0.10734463276836158,0.109375,0.27734375,12.259876543209876,25.017241379310345,0.218988218988219,,,,,,,,,,,,,,,,,,,,,True,
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,42309.0,705,-52,1267,1281,275,325,180,2548,98.0,148.0,18.0,29.0,18.0,29.0,18.0,47.0,9.0,25.0,1.0,1.0,,,,,2.0,,,,1.0,125.0,220.0,1.0,3.0,38.0,291.0,1339,20.0,36.0,,,46.0,24.0,48.0,,1.0,11.0,59.0,142.0,108.0,3.0,,26.0,1.0,1.0,,23.0,,31.0,15.0,46.0,9.0,6.0,20.0,4.0,7.0,107.0,6.0,31.0,12.0,38.0,2.0,52.0,39.0,91.0,3.0,36.0,17.0,19.0,33.0,1.0,20.0,14.0,2.0,13.0,1.0,,47.0,2.0,12.0,12.0,57.0,8.0,7.0,70.0,8.0,32.0,7.0,5.0,1.0,1.0,7.0,1.0,59.0,275,13.0,0.568,0.6339285714285714,1.0,0.3333333333333333,,,0.5,0.5681818181818182,0.5555555555555556,0.5,0.5672645739910314,0.5555555555555556,0.4897959183673469,0.5728346456692913,0.5609756097560976,0.5086206896551724,0.013452914798206279,,0.10454545454545454,0.0945945945945946,0.19148936170212766,,20.420624151967434,0.7021276595744681,0.08333333333333333,0.07142857142857142,0.06609808102345416,0.08108108108108109,0.0410958904109589,0.07352941176470588,0.06016260162601626,0.05357142857142857,0.09868421052631579,0.04697986577181208,0.03418803418803419,0.06896551724137931,0.0755813953488372,0.048,0.08085106382978724,0.08,0.08333333333333333,0.04225352112676056,0.6636771300448431,0.6621621621621622,0.7313432835820896,0.6224489795918368,0.21076233183856502,0.3829787234042553,0.47368421052631576,0.2222222222222222,0.11210762331838565,0.36,0.36,0.6666666666666666,0.004484304932735426,1.0,1.0,1.0,0.008968609865470852,,,,0.8055555555555556,0.6206896551724138,,,,,0.5918367346938775,0.6206896551724138,,,0.02040816326530612,,0.6771300448430493,,0.5417518018018018,0.5307655172413793,0.5006875000000001,0.12955465587044535,0.13114754098360656,0.15807560137457044,0.2027491408934708,3.739545454545454,31.599999999999998,0.2170481452249408,6.0,2.0,2.0,2.0,3.0,4.0,0.058823529411764705,0.5714285714285714,0.2222222222222222,,,,,,,,,,,,True,
2032,1610612757,Darius Miles,Darius Miles,2032,POR,36118.0,602,-14,1107,1117,325,304,120,2224,67.0,105.0,10.0,17.0,14.0,26.0,16.0,45.0,27.0,69.0,,3.0,1.0,,1.0,,1.0,,,,1.0,110.0,219.0,,4.0,25.0,245.0,1121,14.0,26.0,,1.0,31.0,27.0,54.0,,2.0,7.0,61.0,126.0,94.0,,,12.0,,1.0,,18.0,,30.0,12.0,42.0,11.0,1.0,19.0,1.0,10.0,96.0,4.0,20.0,16.0,55.0,8.0,79.0,24.0,103.0,7.0,27.0,20.0,7.0,29.0,7.0,19.0,35.0,4.0,10.0,2.0,3.0,64.0,6.0,16.0,23.0,58.0,2.0,14.0,49.0,5.0,25.0,2.0,15.0,11.0,,16.0,,61.0,325,6.0,0.5727272727272728,0.6057692307692307,,,,,,0.502283105022831,0.5384615384615384,0.5,0.49327354260089684,0.5185185185185185,0.48214285714285715,0.5,0.5166666666666667,0.4621212121212121,0.017937219730941704,,0.0821917808219178,0.11428571428571428,0.13333333333333333,,24.54328832406672,0.453125,0.24242424242424243,0.11506276150627615,0.050761421319796954,0.14814814814814814,0.0392156862745098,0.12116040955631399,0.04838709677419355,0.09848484848484848,0.037037037037037035,0.01948051948051948,0.0375,0.045454545454545456,0.11842105263157894,0.10852713178294573,0.116751269035533,0.12121212121212122,0.19047619047619047,0.07692307692307693,0.47085201793721976,0.638095238095238,0.7204301075268817,0.5671641791044776,0.20179372197309417,0.35555555555555557,0.41025641025641024,0.4375,0.3094170403587444,0.391304347826087,0.391304347826087,0.6666666666666666,0.013452914798206279,,,,0.004484304932735426,,,,0.6296296296296297,0.5882352941176471,0.037037037037037035,,,,0.4642857142857143,0.5384615384615384,0.017857142857142856,,0.017857142857142856,,0.48878923766816146,,0.49180896860986556,0.5078400000000001,0.487488392857143,0.102880658436214,0.10460251046025104,0.12653061224489795,0.24897959183673468,7.481735159817353,23.425,0.2935862691960253,3.0,,1.0,,4.0,9.0,,0.5625,0.6,1.0,3.0,,,,,,,,,,True,
2038,1610612757,Joel Przybilla,Joel Przybilla,2038,POR,20289.0,338,7,613,623,94,103,82,1236,39.0,55.0,10.0,13.0,7.0,8.0,3.0,12.0,4.0,12.0,,,,,,,,,,,,46.0,79.0,,,11.0,103.0,616,10.0,16.0,,,23.0,7.0,11.0,,,3.0,17.0,68.0,24.0,,,18.0,,,,7.0,,9.0,2.0,11.0,1.0,1.0,7.0,1.0,1.0,24.0,8.0,28.0,23.0,73.0,7.0,103.0,36.0,139.0,1.0,4.0,2.0,2.0,9.0,,5.0,4.0,,4.0,2.0,,13.0,,1.0,17.0,28.0,3.0,2.0,25.0,9.0,16.0,1.0,16.0,15.0,1.0,16.0,,17.0,94,5.0,0.7391304347826086,0.918918918918919,,,,,,0.5822784810126582,0.625,0.6363636363636364,0.5822784810126582,0.625,0.6363636363636364,0.5919540229885057,0.6388888888888888,0.6538461538461539,,,0.08860759493670886,0.09090909090909091,0.16666666666666666,,14.144271570014144,0.6923076923076923,0.7777777777777778,0.2840466926070039,0.12669683257918551,0.3150684931506849,0.1111111111111111,0.2909090909090909,0.12286689419795221,0.11267605633802817,0.1506849315068493,0.11688311688311688,0.1016949152542373,0.15384615384615385,0.2361111111111111,0.26229508196721313,0.3225806451612903,0.35294117647058826,0.22727272727272727,0.04,0.6962025316455697,0.7090909090909091,0.78,0.7435897435897436,0.1518987341772152,0.25,0.3,0.3333333333333333,0.1518987341772152,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.8125,0.7692307692307693,,,,,0.7272727272727273,0.875,,,,,0.6962025316455697,,0.5181202531645568,0.5417400000000001,0.5225272727272728,0.18604651162790697,0.18604651162790697,0.22330097087378642,0.1650485436893204,4.103797468354431,,0.1533442088091354,3.0,,,,,9.0,,0.5625,0.1,,3.0,,,,,,,,,,True,
689,1610612757,Theo Ratliff,Theo Ratliff,689,POR,103454.0,1724,-87,3135,3147,743,725,421,6282,74.0,131.0,25.0,52.0,17.0,28.0,21.0,76.0,20.0,50.0,,,,,,,,,,,,115.0,257.0,,,74.0,304.0,3268,31.0,67.0,,,76.0,27.0,52.0,,,16.0,70.0,162.0,68.0,,,42.0,,,,23.0,,26.0,8.0,34.0,7.0,1.0,14.0,7.0,5.0,76.0,15.0,93.0,41.0,161.0,18.0,220.0,111.0,331.0,10.0,23.0,15.0,8.0,19.0,2.0,7.0,37.0,3.0,12.0,1.0,1.0,56.0,12.0,12.0,86.0,183.0,12.0,18.0,107.0,10.0,54.0,5.0,158.0,123.0,32.0,158.0,3.0,70.0,743,14.0,0.7043478260869566,0.8617021276595744,,,,,,0.4474708171206226,0.4626865671641791,0.5192307692307693,0.4474708171206226,0.4626865671641791,0.5192307692307693,0.49673202614379086,0.4935064935064935,0.5645161290322581,,,0.08949416342412451,0.1297709923664122,0.07894736842105263,,9.97245179063361,0.3392857142857143,0.23376623376623376,0.12346625766871165,0.07705053852526926,0.12424242424242424,0.046583850931677016,0.12362301101591187,0.07063440156965337,0.09390862944162437,0.07777777777777778,0.06181015452538632,0.05058365758754864,0.03076923076923077,0.09615384615384616,0.1318051575931232,0.1391465677179963,0.1091703056768559,0.15841584158415842,0.08547008547008547,0.5097276264591439,0.5648854961832062,0.6491228070175439,0.6486486486486487,0.29571984435797666,0.27631578947368424,0.3,0.7142857142857143,0.19455252918287938,0.4,0.4,0.9,,,,,,,,,0.7761194029850746,0.4807692307692308,,,,,0.5384615384615384,0.6071428571428571,,,,,0.5097276264591439,,0.4766202334630349,0.5336982142857144,0.4686865384615384,0.17940199335548174,0.17940199335548174,0.25,0.23026315789473684,5.820622568093385,,0.23700159489633174,14.0,3.0,,,3.0,102.0,0.037037037037037035,0.6455696202531646,0.24,,10.0,8.0,,,,,,,,,True,
2216,1610612757,Zach Randolph,Zach Randolph,2216,POR,54483.0,908,-99,1652,1648,373,310,231,3300,107.0,192.0,39.0,67.0,24.0,41.0,53.0,137.0,50.0,123.0,,,,,,,2.0,,1.0,,2.0,210.0,452.0,,2.0,102.0,522.0,1735,46.0,86.0,,1.0,122.0,51.0,98.0,,2.0,43.0,145.0,228.0,192.0,,,58.0,,2.0,,34.0,,38.0,16.0,54.0,11.0,5.0,27.0,3.0,8.0,124.0,9.0,79.0,29.0,143.0,11.0,183.0,88.0,271.0,27.0,20.0,12.0,8.0,36.0,10.0,18.0,40.0,4.0,18.0,1.0,8.0,76.0,11.0,18.0,27.0,63.0,5.0,13.0,130.0,12.0,57.0,14.0,8.0,7.0,1.0,8.0,,145.0,373,6.0,0.5428571428571428,0.6298342541436464,,,,,,0.4646017699115044,0.5348837209302325,0.5204081632653061,0.46255506607929514,0.5287356321839081,0.51,0.5087719298245614,0.5922330097087378,0.5846774193548387,0.004405286343612335,,0.0752212389380531,0.140625,0.051094890510948905,,30.565646081992735,0.47368421052631576,0.2894736842105263,0.20967741935483872,0.11416184971098266,0.18125,0.06040268456375839,0.2042755344418052,0.10463733650416171,0.2009132420091324,0.08878504672897196,0.06177606177606178,0.058333333333333334,0.06896551724137931,0.17452830188679244,0.25654450261780104,0.20430107526881722,0.18584070796460178,0.1702127659574468,0.12980769230769232,0.42290748898678415,0.5572916666666666,0.6484848484848484,0.5420560747663551,0.30176211453744495,0.38686131386861317,0.4076923076923077,0.4716981132075472,0.2709251101321586,0.4065040650406504,0.4065040650406504,0.62,,,,,0.004405286343612335,,,,0.7701149425287356,0.582089552238806,,0.011494252873563218,,,0.41,0.5853658536585366,,,0.02,,0.42731277533039647,,0.4602983480176208,0.5314576923076924,0.4508135000000001,0.11422845691382766,0.11468812877263582,0.23371647509578544,0.2777777777777778,7.5867256637168135,25.299999999999997,0.2257869249394673,30.0,,,,,4.0,,0.5,0.15384615384615385,,,1.0,1.0,,,,,,,,True,
757,1610612757,Damon Stoudamire,Damon Stoudamire,757,POR,74821.0,1247,-50,2254,2260,494,521,325,4514,46.0,89.0,3.0,4.0,9.0,20.0,19.0,54.0,69.0,187.0,14.0,30.0,4.0,5.0,10.0,70.0,178.0,3.0,9.0,12.0,37.0,134.0,330.0,84.0,208.0,70.0,590.0,2401,12.0,27.0,5.0,13.0,50.0,33.0,80.0,17.0,47.0,25.0,142.0,104.0,164.0,192.0,60.0,4.0,,178.0,70.0,15.0,1.0,183.0,35.0,218.0,22.0,13.0,97.0,30.0,56.0,471.0,7.0,17.0,21.0,90.0,2.0,113.0,24.0,137.0,8.0,36.0,20.0,16.0,44.0,10.0,31.0,28.0,5.0,13.0,,5.0,72.0,5.0,12.0,14.0,62.0,3.0,5.0,76.0,6.0,21.0,11.0,1.0,,1.0,1.0,,142.0,494,10.0,0.3880597014925373,0.3939393939393939,0.7619047619047619,0.40384615384615385,0.38461538461538464,0.3617021276595745,0.40384615384615385,0.40606060606060607,0.4444444444444444,0.4125,0.483271375464684,0.4875,0.46062992125984253,0.5106194690265486,0.5555555555555556,0.5,0.38661710037174724,0.004807692307692308,0.045454545454545456,0.11235955056179775,0.05555555555555555,0.0056179775280898875,24.192935814660085,0.6111111111111112,0.034482758620689655,0.096051227321238,0.01925254813137033,0.08860759493670886,0.028925619834710745,0.09454855195911414,0.021333333333333333,0.010033444816053512,0.031746031746031744,0.018072289156626505,0.030612244897959183,0.021739130434782608,0.09931506849315068,0.0846774193548387,0.10075566750629723,0.08823529411764706,0.08955223880597014,0.026490066225165563,0.1654275092936803,0.5168539325842697,0.5822784810126582,0.3695652173913043,0.10037174721189591,0.35185185185185186,0.37254901960784315,0.21052631578947367,0.3475836431226766,0.3689839572192513,0.372972972972973,0.4492753623188406,0.055762081784386616,0.4666666666666667,0.4666666666666667,1.0,0.3308550185873606,0.39325842696629215,0.3954802259887006,0.7142857142857143,0.1,0.75,0.1,0.225,0.3333333333333333,1.0,0.15748031496062992,0.45,0.07874015748031496,0.5,0.29133858267716534,0.32432432432432434,0.5520446096654275,0.39325842696629215,0.49288180970149237,0.49415000000000003,0.47836587301587297,0.039711191335740074,0.06086956521739131,0.0847457627118644,0.24067796610169492,12.311818181818184,24.833653846153855,0.2191659272404614,11.0,,,,,,,,0.3333333333333333,,,,,2.0,15.0,1.0,0.0106951871657754,0.5,1.0,0.004784688995215311,True,
89,1610612757,Nick Van Exel,Nick Van Exel,89,POR,52578.0,876,-20,1594,1598,380,402,212,3192,18.0,37.0,1.0,2.0,4.0,10.0,26.0,80.0,24.0,57.0,8.0,25.0,3.0,1.0,7.0,44.0,129.0,4.0,11.0,10.0,30.0,68.0,174.0,52.0,154.0,28.0,320.0,1639,5.0,13.0,5.0,14.0,25.0,19.0,44.0,11.0,37.0,13.0,84.0,36.0,100.0,126.0,30.0,4.0,1.0,128.0,44.0,3.0,,105.0,21.0,126.0,18.0,3.0,68.0,9.0,28.0,273.0,4.0,5.0,14.0,64.0,2.0,80.0,9.0,89.0,3.0,19.0,13.0,6.0,30.0,14.0,18.0,23.0,2.0,12.0,1.0,3.0,53.0,3.0,9.0,12.0,38.0,,1.0,36.0,,10.0,6.0,,,,,,84.0,380,7.0,0.2647058823529412,0.2727272727272727,0.8076923076923077,0.33766233766233766,0.35714285714285715,0.2972972972972973,0.33986928104575165,0.39080459770114945,0.38461538461538464,0.4318181818181818,0.4451219512195122,0.46296296296296297,0.4382716049382716,0.463768115942029,0.46296296296296297,0.4772727272727273,0.4695121951219512,,0.017241379310344827,0.08108108108108109,,,21.642196846112018,0.5660377358490566,0.05714285714285714,0.09538002980625931,0.008576329331046312,0.08,0.021164021164021163,0.09219858156028368,0.011658031088082901,0.010526315789473684,0.005,0.010362694300518135,0.02631578947368421,,0.09178743961352658,0.08823529411764706,0.10204081632653061,0.08695652173913043,0.06666666666666667,0.015,0.11280487804878049,0.4864864864864865,0.5294117647058824,0.3333333333333333,0.24390243902439024,0.325,0.325,0.23076923076923078,0.17378048780487804,0.42105263157894735,0.42105263157894735,0.25,0.07621951219512195,0.32,0.32,0.875,0.3932926829268293,0.34108527131782945,0.34108527131782945,0.7954545454545454,0.07407407407407407,0.5,0.1111111111111111,0.4074074074074074,0.36363636363636365,1.0,0.12345679012345678,0.4,0.08641975308641975,0.14285714285714285,0.37037037037037035,0.3333333333333333,0.5823170731707317,0.34375,0.490002300613497,0.5032833333333334,0.469435,0.032448377581120944,0.05434782608695652,0.078125,0.2625,10.12528735632184,24.727922077922077,0.2383939774153074,,,,,,,,,,,,,,1.0,1.0,1.0,,0.3333333333333333,1.0,0.0064516129032258064,True,
2742,1610612757,Sebastian Telfair,Sebastian Telfair,2742,POR,16460.0,274,-27,508,507,153,176,55,1015,9.0,27.0,,1.0,4.0,7.0,6.0,14.0,12.0,32.0,1.0,5.0,,,,3.0,12.0,,,2.0,5.0,27.0,73.0,4.0,17.0,26.0,92.0,520,,1.0,,,2.0,8.0,24.0,2.0,5.0,10.0,32.0,12.0,42.0,6.0,6.0,,1.0,11.0,3.0,11.0,,27.0,12.0,39.0,8.0,4.0,12.0,4.0,11.0,90.0,,1.0,9.0,15.0,,24.0,1.0,25.0,,8.0,5.0,3.0,19.0,3.0,16.0,10.0,3.0,3.0,,1.0,29.0,,3.0,10.0,28.0,,2.0,30.0,1.0,12.0,2.0,1.0,,,1.0,,32.0,153,2.0,0.2222222222222222,0.2222222222222222,0.5,0.23529411764705882,,0.4,0.25,0.3698630136986301,,0.3333333333333333,0.36666666666666664,,0.3793103448275862,0.4423076923076923,0.5,0.47058823529411764,0.18888888888888888,,0.1506849315068493,0.3333333333333333,0.07142857142857142,,23.251748251748253,0.6551724137931034,,0.07425742574257425,0.005376344086021506,0.13846153846153847,,0.0898876404494382,0.0045045045045045045,,0.020833333333333332,,,,0.0975609756097561,0.11320754716981132,0.014925373134328358,0.13953488372093023,0.13636363636363635,,0.3,0.3333333333333333,0.5,0.3333333333333333,0.15555555555555556,0.42857142857142855,0.46153846153846156,0.16666666666666666,0.35555555555555557,0.375,0.3870967741935484,0.16666666666666666,0.05555555555555555,0.2,0.2,1.0,0.13333333333333333,0.25,0.25,0.3333333333333333,1.0,,,,,,0.2413793103448276,0.5714285714285714,,,0.1724137931034483,0.4,0.4888888888888889,0.2727272727272727,0.45883202247191013,,0.43746785714285713,0.12745098039215685,0.14285714285714285,0.021739130434782608,0.34782608695652173,10.152054794520549,28.241176470588236,0.30118110236220474,2.0,,,,1.0,,,,,,,,,,,1.0,0.03125,,,0.05555555555555555,True,
949,1610612757,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,POR,40279.0,671,5,1215,1219,263,231,174,2434,69.0,113.0,16.0,36.0,7.0,15.0,24.0,59.0,23.0,50.0,3.0,6.0,,,,4.0,9.0,,,1.0,2.0,116.0,222.0,7.0,15.0,69.0,322.0,1272,17.0,42.0,,,44.0,17.0,39.0,1.0,2.0,20.0,57.0,138.0,94.0,21.0,,22.0,1.0,8.0,4.0,25.0,,27.0,9.0,36.0,7.0,2.0,10.0,4.0,13.0,81.0,12.0,32.0,21.0,77.0,6.0,104.0,44.0,148.0,6.0,17.0,10.0,7.0,22.0,3.0,13.0,22.0,1.0,9.0,,6.0,44.0,1.0,8.0,14.0,39.0,5.0,10.0,81.0,7.0,35.0,8.0,10.0,6.0,4.0,10.0,,57.0,263,3.0,0.5948275862068966,0.6571428571428571,1.0,0.4666666666666667,,0.5,0.5,0.5225225225225225,0.40476190476190477,0.4358974358974359,0.5337552742616034,0.40476190476190477,0.45121951219512196,0.5860805860805861,0.4583333333333333,0.5377358490566038,0.06329113924050633,,0.11261261261261261,0.168141592920354,0.06779661016949153,,22.339675828047923,0.5,0.21428571428571427,0.15524193548387097,0.06597938144329897,0.17796610169491525,0.1,0.15960912052117263,0.07272727272727272,0.06707317073170732,0.08196721311475409,0.05527638190954774,0.10309278350515463,0.08695652173913043,0.12883435582822086,0.17518248175182483,0.16326530612244897,0.19318181818181818,0.13333333333333333,0.06896551724137931,0.4767932489451477,0.6106194690265486,0.7340425531914894,0.5942028985507246,0.2489451476793249,0.4067796610169492,0.43636363636363634,0.4166666666666667,0.2109704641350211,0.46,0.4791666666666667,0.782608695652174,0.02531645569620253,0.5,0.5,1.0,0.0379746835443038,0.4444444444444444,0.4444444444444444,1.0,0.8571428571428571,0.4444444444444444,,,,,0.36585365853658536,0.4666666666666667,,,0.04878048780487805,0.5,0.540084388185654,0.5,0.4835669491525424,0.5326242424242424,0.43894,0.1320754716981132,0.14,0.13664596273291926,0.17701863354037267,6.566666666666667,25.466666666666665,0.21646090534979423,10.0,,,,,4.0,,0.4,0.1875,,,2.0,,,2.0,,0.04,,,,True,
