EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,TwoPtAssists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,Turnovers,Offensive Fouls,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,PenaltyFg3Pct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted2s,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,LiveBallTurnoverPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFGM,SecondChanceAtRimFGM,PtsPutbacks,Fg2aBlocked,FTDefRebounds,LostBallTurnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,ShortMidRangeAssists,BadPassSteals,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGM,OffThreePtRebounds,DefThreePtRebounds,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,PenaltyAtRimAccuracy,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,PenaltyCorner3Frequency,on,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LongMidRangePctBlocked,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,StepOutOfBoundsTurnovers,Travels,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked
133,1610612740,David Wesley,David Wesley,133,NOH,642.0,11,2,22,21,5.0,13.0,2.0,43,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,21,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.625,1.5,0.5,0.625,1.5,0.5,0.25,16.666666666666668,0.18181818181818182,0.13333333333333333,0.5,0.2,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.46815,0.6447,0.41335,0.6,0.4,21.03333333333333,22.8,0.22727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOH,569.0,9,-7,19,19,4.0,10.0,2.0,38,,,,,,,,1.0,,,,24,,,,,,,,,1.0,3.0,,7.0,,,1.0,1.0,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,9.523809523809524,,,,,,,,,,,,,,,,,0.3533,,,,,10.4,,0.21052631578947367,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.1111111111111111,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612740,Baron Davis,Baron Davis,1884,NOH,192.0,3,10,7,6,3.0,3.0,,13,,,1.0,1.0,,,,,4.0,4.0,12.0,4,,,,,,6.0,,6.0,,1.0,,2.0,,,,,,,1.0,6.0,3.0,,,0.5,1.0,,1.0,,,1.5,,1.5,1.5,,1.5,1.0,57.14285714285714,,,,,,,,,0.25,1.0,1.0,,,,,1.0,0.4966125,,0.5232,,0.5,,26.075,0.42857142857142855,,1.0,,,1.0,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0,2.0,6.0,3.0,3.0,1.0,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1610612740,Lee Nailon,Lee Nailon,1924,NOH,872.0,15,-12,28,27,10.0,15.0,7.0,55,2.0,4.0,,,,,3.0,8.0,,,6.0,35,,,2.0,,1.0,,4.0,,,,,,1.0,1.0,3.0,,,,1.0,,10.0,0.6666666666666666,0.6666666666666666,,,,,0.375,,0.375,0.3333333333333333,,0.375,0.3333333333333333,,,24.324324324324326,0.1,0.07142857142857142,,0.25,0.5,0.5,0.5,1.0,,,,,,,,0.25,0.4118125,0.4719,0.5089,0.3333333333333333,,11.149999999999999,,0.35714285714285715,2.0,,,,,2.0,2.0,,,1.0,,0.125,0.1,,,0.25,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.14285714285714285,0.2,0.25,0.5,0.5,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,1610612740,Lonny Baxter,Lonny Baxter,2437,NOH,2160.0,36,-19,68,67,12.0,24.0,11.0,135,,2.0,,,,,3.0,11.0,,,6.0,77,,,2.0,1.0,4.0,2.0,4.0,,,,,,3.0,4.0,8.0,,,5.0,10.0,2.0,12.0,0.6666666666666666,1.0,,,,,0.2727272727272727,0.25,0.2727272727272727,0.3333333333333333,0.25,0.25,0.25,0.2,,19.753086419753085,0.11538461538461539,0.08571428571428572,0.16666666666666666,,0.18181818181818182,,,,,,,,,,,0.5454545454545454,0.4683090909090909,0.5331666666666667,0.42022499999999996,0.3333333333333333,0.3333333333333333,5.027272727272727,,0.17647058823529413,3.0,,,,,4.0,4.0,,2.0,4.0,2.0,0.14285714285714285,0.1111111111111111,0.2222222222222222,,0.2727272727272727,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,,,0.3333333333333333,0.5,0.1111111111111111,0.1,0.5454545454545454,0.3333333333333333,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.4,0.5,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,1610612740,Dan Dickau,Dan Dickau,2424,NOH,1770.0,30,-21,55,55,9.0,21.0,10.0,110,1.0,2.0,,1.0,,,3.0,7.0,,2.0,8.0,60,,,2.0,,1.0,2.0,2.0,,1.0,4.0,,9.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,9.0,0.3333333333333333,0.3333333333333333,,,,,0.42857142857142855,,0.3333333333333333,,,0.4,1.0,0.5,0.2222222222222222,19.402985074626866,0.05,0.037037037037037035,,,0.2222222222222222,0.5,0.5,,0.1111111111111111,,,,,,,0.6666666666666666,0.45660555555555554,,0.2516,0.25,0.25,7.071428571428571,23.4,0.16363636363636364,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,,0.037037037037037035,0.030303030303030304,,,0.1111111111111111,,1.0,,,,,,1.0,,,0.1111111111111111,,,,,,,4.0,,,,,,4.0,1.0,,,,,0.3333333333333333,0.1111111111111111,,0.4444444444444444,,,,,2.0,,,,,1.0,,2.0,1.0,,,,,0.1,0.5,0.5,0.5,,,0.1,0.125,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,1610612740,Junior Harrington,Junior Harrington,2454,NOH,198.0,3,-8,6,6,,,1.0,12,,,,,,,,,,,,13,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,14.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,1610612740,Chris Andersen,Chris Andersen,2365,NOH,1591.0,27,-12,49,48,8.0,14.0,9.0,97,,,,,,,3.0,5.0,,,11.0,53,,,7.0,1.0,2.0,2.0,2.0,,,,,,2.0,4.0,7.0,1.0,,,,2.0,8.0,0.3333333333333333,1.0,,,,,0.6,0.5,0.6,1.0,0.5,0.6875,0.875,0.5,,18.333333333333336,0.08695652173913043,0.10344827586206896,,0.4,,,,,,,,,,,,0.6,0.56694,0.5937,0.4898,0.6363636363636364,0.18181818181818182,3.6400000000000006,,0.16326530612244897,2.0,,,,,2.0,3.0,,,3.0,,0.09090909090909091,0.1111111111111111,0.2857142857142857,,0.4,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,,2.0,2.0,4.0,3.0,2.0,,,1.0,1.0,,,0.6,,,1.0,0.5,3.0,2.0,4.0,,1.0,1.0,,6.0,3.0,,,,1.0,,1.0,1.0,0.3333333333333333,,1.0,0.375,0.375,5.0,3.0,,,1.0,,1.0,1.0,1.0,0.16666666666666666,0.2,0.5,0.5,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,1610612740,JR Smith,JR Smith,2747,NOH,1630.0,27,-19,50,49,7.0,11.0,9.0,99,2.0,4.0,1.0,4.0,,,2.0,5.0,1.0,7.0,9.0,60,,,,,,,2.0,3.0,,,,,,,,1.0,,1.0,1.0,,7.0,0.5,0.5,1.0,0.14285714285714285,,0.14285714285714285,0.4,,0.2916666666666667,,,0.34615384615384615,,,0.5833333333333334,24.59016393442623,,,,,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.25,0.25,1.0,,,,0.6666666666666666,0.4934541666666667,,0.5793,,,14.460000000000003,24.02857142857143,0.14,,,,,,,,,1.0,2.0,,,,,,,,3.0,,,,1.0,,3.0,,,0.25,,,,,,,1.0,,,,,,2.0,1.0,1.0,,,,0.5,,,0.08333333333333333,,,,,,,,1.0,,,,2.0,1.0,0.2,1.0,,,,,,,,,0.07692307692307693,0.16666666666666666,2.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,96.0,2,1,3,3,1.0,3.0,,6,,,,,,,,,,,,1,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.25,0.25,,0.5,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782,1610612740,Matt Freije,Matt Freije,2782,NOH,360.0,6,-6,11,12,,,2.0,23,,,,,,,,1.0,,,,15,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,7.692307692307692,,,,,,,,,,,,,,,,,0.4224,,,,,8.7,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,1610612740,Corsley Edwards,Corsley Edwards,2451,NOH,720.0,12,-4,22,22,1.0,6.0,2.0,44,,1.0,,,,,,3.0,,,1.0,22,,,,,,,,,,1.0,,2.0,2.0,2.0,2.0,,,,3.0,,1.0,,,,,,,,,,,,0.125,,,,16.666666666666668,0.3333333333333333,0.2,0.5,,0.3333333333333333,,,,,,,,,,,,0.3936,,,,,10.866666666666667,,0.045454545454545456,2.0,1.0,,,1.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,0.3333333333333333,,0.5,,0.5,,,,,,0.25,0.25,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1610612740,David Wesley,David Wesley,133,NOH,55389.0,923,-133,1684,1680,425.0,520.0,261.0,3364,71.0,187.0,7.0,21.0,,3.0,104.0,259.0,27.0,79.0,356.0,1785,3.0,17.0,18.0,16.0,56.0,85.0,156.0,81.0,16.0,107.0,12.0,230.0,47.0,71.0,83.0,34.0,14.0,26.0,62.0,85.0,425.0,0.75,0.7572815533980582,1.0,0.34177215189873417,0.17647058823529413,0.34177215189873417,0.4015444015444015,0.2857142857142857,0.4275147928994083,0.234375,0.37341772151898733,0.4716981132075472,0.25757575757575757,0.4521276595744681,0.23372781065088757,21.26063031515758,0.08188153310104529,0.09090909090909091,0.07633587786259542,0.1,0.5532544378698225,0.37967914438502676,0.3858695652173913,0.8309859154929577,0.0621301775147929,0.3333333333333333,0.3333333333333333,1.0,0.09375,,,0.42011834319526625,0.46721186943620185,0.49152857142857137,0.46515126582278477,0.05056179775280899,0.23876404494382023,14.483397683397683,24.850632911392402,0.252375296912114,9.0,91.0,4.0,32.0,47.0,8.0,12.0,4.0,19.0,54.0,7.0,0.011065006915629323,0.013230429988974642,0.008,0.0213903743315508,0.026627218934911243,20.0,58.0,7.0,14.0,9.0,23.0,,58.0,20.0,0.391304347826087,0.17159763313609466,0.3448275862068966,0.3448275862068966,1.0,0.17721518987341772,0.5,0.3448275862068966,63.0,5.0,21.0,2.0,3.0,15.0,52.0,35.0,21.0,11.0,11.0,0.2,0.6481481481481481,0.009433962264150943,0.012953367875647668,0.1863905325443787,0.2222222222222222,0.2857142857142857,0.15625,0.26582278481012656,31.0,1.0,2.0,18.0,2.0,14.0,2.0,76.0,30.0,0.0694980694980695,0.20634920634920634,0.2222222222222222,0.03636363636363636,0.057803468208092484,0.49206349206349204,0.62,0.5806451612903226,0.5,0.2,0.0821917808219178,0.1048951048951049,67.0,3.0,26.0,12.0,20.0,5.0,9.0,4.0,22.0,0.11891891891891893,0.021739130434782608,0.029850746268656716,0.12,0.42857142857142855,9.0,6.0,0.11392405063291139,False,2.0,3.0,14.0,8.0,3.0,7.0,6.0,1.0,1.0,1.0,1.0,0.016042780748663103,0.11666666666666667,1.0,0.4375,0.21428571428571427,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,
