EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3Assists,OffTwoPtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,DefensiveGoaltends,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,HeaveAttempts,AtRimPctBlocked,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,PtsPutbacks,FTOffRebounds,SelfOReb,Travels,Offensive Fouls,Technical Free Throw Trips,SecondChanceFg3Pct,OffFTReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedShortMidRange,OffensiveGoaltends,LongMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,ThreePtShootingFoulsDrawn,3SecondViolations,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,HeaveMakes,Blocked3s,BlockedArc3,BlockedCorner3,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,Clear Path Fouls
1716,1610612764,Larry Hughes,Larry Hughes,1716,WAS,6025.0,100,2,203,198,107,92,32,401,4.0,7.0,2.0,4.0,2.0,7.0,7.0,15.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,1.0,4.0,13.0,29,3.0,8.0,20.0,55.0,211,3.0,5.0,2.0,2.0,8.0,5.0,14.0,2.0,5.0,11.0,27.0,16.0,10.0,9.0,6.0,2.0,2.0,7.0,4.0,11.0,4.0,3.0,1.0,3.0,26.0,3.0,6.0,11.0,17.0,3.0,20.0,8.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,6.0,22.0,1.0,9.0,2.0,2.0,1.0,1.0,2.0,1.0,27.0,107,2.0,0.6153846153846154,0.6153846153846154,1.0,0.375,0.4,0.375,0.4482758620689655,0.6,0.35714285714285715,0.47297297297297297,0.42857142857142855,0.42105263157894735,0.5851063829787234,0.5,0.54,0.21621621621621623,0.06896551724137931,0.2857142857142857,21.666666666666668,0.6,0.15714285714285714,0.3333333333333333,0.1,0.19318181818181818,0.029411764705882353,0.13636363636363635,0.1,0.08333333333333333,0.25,0.36363636363636365,0.2857142857142857,0.5,0.1891891891891892,0.5714285714285714,0.5714285714285714,0.75,0.1891891891891892,0.2857142857142857,0.4,0.40540540540540543,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.05405405405405406,0.5,0.5,1.0,0.16216216216216217,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.21052631578947367,0.5,0.05263157894736842,1.0,0.21052631578947367,0.25,0.40540540540540543,0.3333333333333333,0.4836094594594595,0.41052999999999995,0.4938815789473684,0.2,0.24324324324324326,0.14545454545454545,0.4909090909090909,11.827586206896552,24.762500000000003,0.5270935960591133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,5010.0,84,3,165,166,83,80,31,331,4.0,5.0,1.0,1.0,,1.0,,,,,,,,,,,,4.0,6,,,1.0,9.0,177,1.0,1.0,,1.0,3.0,1.0,1.0,,,1.0,3.0,8.0,,,,,,1.0,3.0,4.0,2.0,,,1.0,11.0,3.0,,11.0,14.0,11.0,25.0,5.0,4.0,1.0,1.0,1.0,2.0,,,3.0,1.0,3.0,5.0,2.0,,,1.0,3.0,3.0,,3.0,3.0,3.0,83,1.0,1.0,1.0,,,,,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6428571428571429,0.75,0.75,,,,4.901960784313726,0.3333333333333333,0.19642857142857142,,0.14285714285714285,0.15714285714285714,0.12087912087912088,0.1875,0.15,0.4,0.15384615384615385,,,1.0,0.8333333333333334,0.8,0.8,1.0,0.16666666666666666,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.8333333333333334,,0.5386000000000001,0.537,0.5644,,,0.3333333333333333,0.3333333333333333,1.1333333333333333,,0.503030303030303,1.0,1.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.11428571428571428,0.13636363636363635,0.058823529411764705,0.12903225806451613,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1919,1610612764,Laron Profit,Laron Profit,1919,WAS,2161.0,36,9,79,82,63,62,14,161,5.0,9.0,4.0,7.0,,1.0,4.0,4.0,,,,,1.0,3.0,,1.0,3.0,9.0,14,1.0,3.0,1.0,22.0,84,,1.0,,,,7.0,11.0,1.0,3.0,1.0,18.0,12.0,6.0,3.0,2.0,1.0,1.0,5.0,1.0,6.0,1.0,5.0,,,13.0,1.0,1.0,5.0,6.0,3.0,9.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,6.0,2.0,,,1.0,1.0,,1.0,1.0,,18.0,63,2.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.5,0.6428571428571429,,0.6363636363636364,0.6176470588235294,,0.6071428571428571,0.6111111111111112,,0.6,0.17647058823529413,0.07142857142857142,,23.157894736842106,0.75,0.21739130434782608,0.1111111111111111,0.1111111111111111,0.1875,0.08108108108108109,,0.2222222222222222,,0.2727272727272727,0.2,,,0.5294117647058824,0.5555555555555556,0.625,0.6,0.058823529411764705,,,0.23529411764705882,1.0,1.0,0.75,,,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,0.5,0.5714285714285714,,,0.21428571428571427,0.3333333333333333,0.7058823529411765,0.5,0.49921562500000005,,0.5067576923076923,,,,0.8181818181818182,6.814285714285715,37.03333333333333,0.7974683544303798,,1.0,,2.0,,,,,,,,0.07142857142857142,0.08333333333333333,,0.1111111111111111,1.0,,,1.0,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,6251.0,104,-8,205,203,103,90,32,408,8.0,15.0,6.0,10.0,3.0,4.0,5.0,19.0,,3.0,,1.0,8.0,24.0,3.0,2.0,13.0,16.0,38,8.0,27.0,21.0,77.0,225,5.0,8.0,3.0,1.0,14.0,7.0,19.0,2.0,14.0,17.0,37.0,4.0,28.0,21.0,23.0,8.0,4.0,12.0,3.0,15.0,3.0,7.0,1.0,4.0,33.0,,1.0,5.0,6.0,8.0,14.0,1.0,1.0,,1.0,1.0,5.0,,,6.0,3.0,5.0,12.0,26.0,1.0,8.0,4.0,,,,,,37.0,103,2.0,0.125,0.15384615384615385,0.875,0.2962962962962963,0.14285714285714285,0.3076923076923077,0.42105263157894735,0.625,0.3684210526315789,0.4307692307692308,0.5909090909090909,0.30303030303030304,0.4934210526315789,0.5384615384615384,0.44047619047619047,0.4153846153846154,0.10526315789473684,,34.16666666666667,0.16666666666666666,0.0684931506849315,0.0625,,0.06741573033707865,0.06930693069306931,,0.10714285714285714,0.07692307692307693,0.03125,0.08333333333333333,,,0.23076923076923078,0.5333333333333333,0.7272727272727273,,0.06153846153846154,0.75,0.75,0.2923076923076923,0.2631578947368421,0.2631578947368421,0.4,0.046153846153846156,,,,0.36923076923076925,0.3333333333333333,0.3333333333333333,0.875,0.2727272727272727,0.30303030303030304,0.6,0.030303030303030304,,0.3939393939393939,0.15384615384615385,0.6461538461538462,0.34782608695652173,0.5062928571428572,0.5032863636363637,0.5205274193548387,0.1111111111111111,0.17777777777777778,0.18181818181818182,0.4805194805194805,9.926315789473685,26.970370370370368,0.5024390243902439,3.0,4.0,,7.0,,1.0,,,,,,0.09859154929577464,0.21052631578947367,0.06666666666666667,0.05405405405405406,0.36363636363636365,0.75,,1.0,0.26666666666666666,,1.0,1.0,3.0,6.0,1.0,2.0,1.0,2.0,3.0,0.3333333333333333,0.09090909090909091,0.058823529411764705,0.3333333333333333,1.0,,,,,,,,,,,,,True,,,,,,,,,,,
2245,1610612764,Damone Brown,Damone Brown,2245,WAS,9055.0,151,-5,298,298,158,141,49,596,11.0,20.0,4.0,6.0,3.0,12.0,5.0,19.0,,,,,4.0,11.0,,2.0,8.0,19.0,51,4.0,11.0,4.0,54.0,316,7.0,13.0,,3.0,17.0,7.0,16.0,2.0,8.0,4.0,24.0,20.0,18.0,6.0,11.0,4.0,4.0,11.0,3.0,14.0,1.0,7.0,1.0,3.0,31.0,1.0,4.0,12.0,18.0,10.0,28.0,1.0,1.0,,12.0,7.0,3.0,1.0,5.0,15.0,7.0,7.0,17.0,9.0,1.0,3.0,2.0,6.0,5.0,,6.0,5.0,24.0,158,1.0,0.5263157894736842,0.7142857142857143,0.5,0.36363636363636365,0.25,0.36363636363636365,0.37254901960784315,0.5384615384615384,0.4375,0.4032258064516129,0.5384615384615384,0.4166666666666667,0.4090909090909091,0.5666666666666667,0.4444444444444444,0.1774193548387097,0.0784313725490196,,22.752808988764045,0.8,0.1188118811881188,0.14285714285714285,0.02564102564102564,0.12403100775193798,0.06666666666666667,,0.13157894736842105,0.17647058823529413,0.08695652173913043,0.16666666666666666,0.1,0.8333333333333334,0.3225806451612903,0.55,0.6470588235294118,0.45454545454545453,0.1935483870967742,0.25,0.25,0.3064516129032258,0.2631578947368421,0.2777777777777778,0.8,,,,,0.1774193548387097,0.36363636363636365,0.36363636363636365,0.5,,0.25,0.6666666666666666,,,0.3333333333333333,0.25,0.5,0.36363636363636365,0.46402950819672134,0.56663,0.42725833333333335,0.046875,0.05660377358490566,0.3148148148148148,0.4444444444444444,9.343137254901961,27.53636363636364,0.5302013422818792,6.0,10.0,2.0,9.0,2.0,,,,2.0,,0.125,0.08108108108108109,0.11764705882352941,0.10714285714285714,0.04081632653061224,0.7692307692307693,0.6,0.16666666666666666,,0.15,0.1,,,6.0,10.0,,5.0,,,,,,0.15625,,,1.0,1.0,0.05263157894736842,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,
2581,1610612764,Steve Blake,Steve Blake,2581,WAS,4594.0,77,-4,147,150,77,65,25,297,1.0,4.0,1.0,3.0,,2.0,1.0,7.0,3.0,8.0,3.0,5.0,1.0,9.0,,1.0,7.0,2.0,13,4.0,17.0,6.0,22.0,147,,,2.0,,3.0,1.0,7.0,4.0,12.0,5.0,19.0,2.0,2.0,9.0,7.0,1.0,3.0,8.0,1.0,9.0,1.0,3.0,1.0,4.0,19.0,,1.0,3.0,4.0,3.0,7.0,3.0,1.0,2.0,1.0,,2.0,,1.0,3.0,1.0,2.0,3.0,7.0,,1.0,2.0,,,,,,19.0,77,,0.5,0.5,0.75,0.23529411764705882,0.3333333333333333,0.26666666666666666,0.15384615384615385,,0.14285714285714285,0.26666666666666666,0.75,0.3684210526315789,0.3181818181818182,0.75,0.4318181818181818,0.5666666666666667,0.23076923076923078,1.0,20.454545454545453,0.3333333333333333,0.05660377358490566,0.07142857142857142,,0.05970149253731343,0.041666666666666664,,,0.1,0.07407407407407407,,0.16666666666666666,,0.13333333333333333,0.25,0.3333333333333333,1.0,0.06666666666666667,,,0.23333333333333334,0.14285714285714285,0.14285714285714285,,0.26666666666666666,0.375,0.375,1.0,0.3,0.1111111111111111,0.125,,,0.15789473684210525,0.3333333333333333,0.2631578947368421,0.6,0.3684210526315789,0.14285714285714285,0.7,0.14285714285714285,0.5077517857142858,0.51885,0.525285294117647,0.03225806451612903,0.07142857142857142,0.13636363636363635,0.8636363636363636,11.823076923076924,29.464705882352945,0.5238095238095238,,,,3.0,,1.0,1.0,1.0,,,,0.05660377358490566,0.05263157894736842,,0.1,,,,2.0,0.25,,,1.0,3.0,,,,,,1.0,0.5,,,,,,,,,1.0,2.0,1.0,0.058823529411764705,0.1111111111111111,1.0,0.5,1.0,True,,,,,,,,,,,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,4294.0,72,-13,131,133,72,58,26,264,5.0,8.0,3.0,5.0,2.0,7.0,1.0,2.0,,,,,,,,,,8.0,17,,,6.0,22.0,149,4.0,6.0,,1.0,9.0,5.0,9.0,,,5.0,15.0,12.0,4.0,,,,4.0,1.0,,1.0,,1.0,,,2.0,,1.0,8.0,14.0,6.0,20.0,1.0,,1.0,1.0,,4.0,,1.0,5.0,3.0,7.0,12.0,11.0,1.0,4.0,2.0,2.0,2.0,,2.0,2.0,15.0,72,2.0,0.75,1.0,,,,,0.47058823529411764,0.6666666666666666,0.5555555555555556,0.47058823529411764,0.6666666666666666,0.5555555555555556,0.5,0.6428571428571429,0.625,,0.23529411764705882,0.2857142857142857,17.197452229299362,0.2,0.19047619047619047,0.07692307692307693,,0.16363636363636364,0.09523809523809523,,0.29411764705882354,0.14285714285714285,0.1111111111111111,,0.125,1.0,0.47058823529411764,0.625,0.8333333333333334,0.6,0.4117647058823529,0.2857142857142857,0.4,0.11764705882352941,0.5,0.5,1.0,,,,,,,,,,0.5555555555555556,0.6,,,,,0.47058823529411764,,0.4670176470588236,0.49681999999999993,0.5051777777777777,0.2,0.2,0.4090909090909091,0.6818181818181818,5.423529411764706,,0.549618320610687,2.0,4.0,,6.0,5.0,,,1.0,1.0,1.0,0.625,0.13333333333333333,0.13333333333333333,0.18181818181818182,0.10526315789473684,0.6666666666666666,0.5,,,0.25,,,,,4.0,,,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,
2198,1610612764,Kwame Brown,Kwame Brown,2198,WAS,2436.0,41,-10,77,76,29,23,11,153,6.0,8.0,3.0,3.0,2.0,3.0,,3.0,,,,,,,,,,8.0,14,,,3.0,19.0,80,2.0,2.0,,,4.0,4.0,6.0,,,2.0,10.0,8.0,8.0,,,,1.0,,,,,,,,,2.0,2.0,,2.0,5.0,7.0,3.0,1.0,2.0,1.0,,,,1.0,1.0,,2.0,4.0,7.0,1.0,4.0,,1.0,,,1.0,,10.0,29,,0.5,0.5714285714285714,,,,,0.5714285714285714,1.0,0.6666666666666666,0.5714285714285714,1.0,0.6666666666666666,0.5588235294117647,1.0,0.7142857142857143,,0.07142857142857142,,20.224719101123597,1.0,,0.25,0.2,0.06451612903225806,0.125,0.2857142857142857,,,,0.25,0.25,,0.5714285714285714,0.75,0.8571428571428571,0.5,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.21428571428571427,,,,,,,,,,,,,0.5,1.0,,,,,0.5714285714285714,,0.50645,0.4125,0.50425,0.23529411764705882,0.23529411764705882,0.21052631578947367,0.5263157894736842,6.714285714285714,,0.37662337662337664,1.0,1.0,,3.0,,,,1.0,1.0,,,0.1,0.14285714285714285,,0.11764705882352941,0.5,1.0,,,0.125,,,,,2.0,,1.0,,,,,,0.2,,,1.0,,,0.5,,,,,,,,,True,,,,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,513.0,9,2,20,19,2,8,2,39,,,,,,1.0,,,,,,,,,,,,,1,,,,,21,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,,4.3478260869565215,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4152,0.4152,,,,,,7.5,,0.1,,,,,2.0,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2407,1610612764,Jared Jeffries,Jared Jeffries,2407,WAS,2188.0,36,-8,76,73,50,35,6,149,3.0,4.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,4.0,6,1.0,1.0,4.0,15.0,84,,,,,,1.0,1.0,1.0,1.0,3.0,8.0,8.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,3.0,,2.0,1.0,4.0,,4.0,3.0,2.0,1.0,,,,,,,,1.0,2.0,6.0,2.0,4.0,,,,,,,8.0,50,1.0,1.0,1.0,,1.0,1.0,1.0,0.6666666666666666,,1.0,0.7857142857142857,,1.25,0.8333333333333334,,1.0,0.14285714285714285,0.16666666666666666,,10.465116279069768,,0.04,0.2857142857142857,,0.09375,,,,,0.09090909090909091,0.2,0.5,,0.5714285714285714,0.75,1.0,1.0,0.2857142857142857,0.5,0.5,,,,,,,,,0.14285714285714285,1.0,1.0,,,0.5,1.0,,,0.5,1.0,0.7142857142857143,1.0,0.5363857142857142,,0.519,0.4444444444444444,0.5,,0.5333333333333333,3.1333333333333333,25.0,0.6578947368421053,,,1.0,,1.0,,,,,,0.25,,,,,,,,,0.25,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,
2413,1610612764,Juan Dixon,Juan Dixon,2413,WAS,2555.0,43,2,82,84,39,43,16,166,1.0,2.0,1.0,1.0,,1.0,3.0,7.0,,1.0,,1.0,,1.0,,,,4.0,10,,2.0,3.0,11.0,82,,1.0,,,,2.0,3.0,,1.0,1.0,5.0,4.0,4.0,,1.0,,,4.0,,4.0,,1.0,1.0,2.0,8.0,,3.0,1.0,4.0,1.0,5.0,4.0,3.0,1.0,3.0,2.0,,,1.0,3.0,1.0,1.0,3.0,4.0,,1.0,1.0,,,,,,5.0,39,1.0,0.5,0.5,,,,,0.4,,0.6666666666666666,0.3333333333333333,,0.5,0.39285714285714285,,0.5,0.16666666666666666,,,16.19047619047619,1.0,0.03571428571428571,0.23076923076923078,,0.0975609756097561,0.022222222222222223,,,,0.07142857142857142,0.2,0.3333333333333333,,0.16666666666666666,0.5,0.5,1.0,0.08333333333333333,,,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.08333333333333333,,,,0.08333333333333333,,,,,0.25,1.0,0.25,,,,0.3333333333333333,,0.4387291666666666,0.3743,0.45403750000000004,0.07692307692307693,0.09090909090909091,,0.45454545454545453,15.64,24.0,0.47560975609756095,,,,1.0,,,,1.0,,,,0.02857142857142857,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
