EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,HeaveAttempts,Arc3Frequency,PenaltyArc3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,3pt And 1 Free Throw Trips,on
1531,1610612755,Marc Jackson,Marc Jackson,1531,PHI,71874.0,1198,-66.0,2363,2382,772,707,304.0,4745,115.0,197.0,46.0,75.0,39.0,67.0,38.0,109.0,60.0,146.0,1.0,1.0,213.0,452.0,1.0,163.0,589.0,2542,51.0,96.0,39.0,141.0,59.0,122.0,1.0,81.0,199.0,284.0,142.0,80.0,45.0,35.0,15.0,50.0,11.0,4.0,20.0,5.0,10.0,115.0,21.0,99.0,28.0,87.0,12.0,127.0,120.0,247.0,16.0,24.0,21.0,3.0,29.0,4.0,15.0,49.0,4.0,14.0,15.0,78.0,13.0,23.0,61.0,107.0,6.0,11.0,197.0,20.0,4.0,87.0,20.0,16.0,11.0,5.0,16.0,7.0,2.0,14.0,6.0,199.0,772,10.0,0.6666666666666666,0.8208092485549133,0.47123893805309736,0.53125,0.48360655737704916,0.47019867549668876,0.53125,0.4796747967479675,0.5435185185185185,0.597457627118644,0.5898203592814372,0.002207505518763797,0.09955752212389381,0.17766497461928935,0.05504587155963303,0.0273972602739726,22.73730684326711,0.3717948717948718,0.1518987341772152,0.10754017305315204,0.1111111111111111,0.0979020979020979,0.09170305676855896,0.1050228310502283,0.10714285714285714,0.15755627009646303,0.10300429184549356,0.07492795389048991,0.06097560975609756,0.16923076923076924,0.13043478260869565,0.09905660377358491,0.09593023255813954,0.10849056603773585,0.06756756756756757,0.08247422680412371,0.4375,0.434878587196468,0.583756345177665,0.7098765432098766,0.591304347826087,0.24061810154525387,0.3486238532110092,0.36893203883495146,0.7105263157894737,0.32229580573951433,0.410958904109589,0.4225352112676056,0.7833333333333333,0.002207505518763797,0.78125,0.6133333333333333,0.08695652173913043,0.5447154471544715,0.582089552238806,0.008130081300813009,0.4370860927152318,0.4734990066225166,0.5255847058823528,0.47790528455284553,0.1673076923076923,0.1676300578034682,0.23938879456706283,0.3378607809847199,7.831858407079644,23.8,0.3267033432077867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1563,1610612755,Kevin Ollie,Kevin Ollie,1563,PHI,4908.0,82,-8.0,154,157,56,47,16.0,311,1.0,2.0,,,,,,4.0,2.0,6.0,,,3.0,12.0,,2.0,8.0,156,,,,,1.0,4.0,,,2.0,4.0,2.0,,,3.0,3.0,6.0,3.0,,1.0,1.0,1.0,15.0,,1.0,,5.0,1.0,6.0,1.0,7.0,,3.0,1.0,2.0,1.0,,1.0,,,,,1.0,,,2.0,4.0,,,2.0,,,1.0,,,,,,,,,,2.0,56,1.0,0.6666666666666666,0.6666666666666666,0.25,,0.25,0.25,,0.25,0.3076923076923077,,0.25,,,,,,8.045977011494253,1.0,0.1,0.10869565217391304,0.017543859649122806,,,0.08620689655172414,0.013157894736842105,0.0625,,,,,,0.09090909090909091,0.18181818181818182,,,,,0.16666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,0.5,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,0.16666666666666666,0.4192166666666666,,0.3586,0.07692307692307693,0.07692307692307693,,0.25,12.274999999999999,,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1730,1610612755,Brian Skinner,Brian Skinner,1730,PHI,7809.0,130,-29.0,264,260,105,102,31.0,524,5.0,13.0,1.0,4.0,4.0,5.0,6.0,11.0,2.0,5.0,,,13.0,29.0,1.0,3.0,29.0,263,2.0,5.0,1.0,5.0,7.0,10.0,1.0,1.0,15.0,18.0,8.0,,2.0,1.0,2.0,3.0,2.0,,1.0,,,8.0,2.0,5.0,6.0,16.0,1.0,23.0,7.0,30.0,1.0,3.0,3.0,,7.0,,2.0,1.0,,5.0,,8.0,1.0,4.0,7.0,10.0,1.0,,8.0,,,3.0,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,,15.0,105,1.0,0.6923076923076923,0.6923076923076923,0.4482758620689655,0.4,0.7,0.43333333333333335,0.4,0.6363636363636364,0.4264705882352941,0.35714285714285715,0.5769230769230769,0.03333333333333333,0.06896551724137931,0.07692307692307693,0.09090909090909091,,13.953488372093025,0.875,0.25,0.2711864406779661,0.04807692307692308,0.15,0.08695652173913043,0.2222222222222222,0.05511811023622047,0.043478260869565216,0.08333333333333333,0.029411764705882353,,0.2857142857142857,0.2777777777777778,0.15384615384615385,0.32142857142857145,0.20689655172413793,,0.07142857142857142,1.0,0.43333333333333335,0.38461538461538464,0.4166666666666667,0.8,0.36666666666666664,0.5454545454545454,0.6,0.5,0.16666666666666666,0.4,0.4,1.0,,0.8,0.25,1.0,0.45454545454545453,0.8,,0.4666666666666667,0.4627103448275862,0.5129,0.47518000000000005,0.09090909090909091,0.09375,0.1724137931034483,0.5172413793103449,5.537931034482758,46.4,0.3977272727272727,1.0,1.0,1.0,0.03333333333333333,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2594,1610612755,Kyle Korver,Kyle Korver,2594,PHI,97305.0,1622,48.0,3257,3255,845,771,359.0,6512,19.0,31.0,4.0,6.0,5.0,10.0,9.0,19.0,28.0,69.0,76.0,13.0,56.0,119.0,309.0,50.0,543.0,3374,9.0,16.0,4.0,58.0,11.0,31.0,72.0,34.0,122.0,66.0,46.0,10.0,5.0,104.0,12.0,116.0,9.0,3.0,55.0,19.0,30.0,244.0,9.0,15.0,36.0,142.0,11.0,189.0,25.0,214.0,6.0,65.0,40.0,25.0,40.0,9.0,31.0,21.0,3.0,9.0,2.0,61.0,3.0,14.0,89.0,150.0,1.0,4.0,61.0,,26.0,1.0,15.0,19.0,14.0,2.0,21.0,9.0,,1.0,,122.0,845,14.0,0.5892857142857143,0.6470588235294118,0.47058823529411764,0.5625,0.3548387096774194,0.5759345794392523,0.5625,0.42718446601941745,0.5842696629213483,0.5625,0.47478991596638653,0.7219626168224299,0.04201680672268908,0.12903225806451613,0.05263157894736842,,13.772455089820358,0.6557377049180327,0.11458333333333333,0.12315698178664354,0.01327433628318584,0.09863013698630137,0.02556818181818182,0.11725955204216074,0.016194331983805668,0.019662921348314606,,0.017241379310344827,0.02631578947368421,0.023255813953488372,0.08908045977011494,0.14641744548286603,0.1322314049586777,0.07547169811320754,0.16,0.02531645569620253,0.42857142857142855,0.07242990654205607,0.6129032258064516,0.7037037037037037,0.5263157894736842,0.04439252336448598,0.47368421052631576,0.5,0.1111111111111111,0.16121495327102803,0.4057971014492754,0.4057971014492754,0.7857142857142857,0.17757009345794392,0.125,0.6666666666666666,,0.0970873786407767,0.5,0.1262135922330097,0.794392523364486,0.5222051401869159,0.4956388888888889,0.5113781553398058,0.004651162790697674,0.008333333333333333,0.10681399631675875,0.22467771639042358,12.197478991596638,25.06343042071198,0.2594412035615597,233.0,59.0,,0.544392523364486,0.5728155339805825,36.0,3.0,8.0,4.0,91.0,9.0,24.0,18.0,127.0,12.0,32.0,22.0,372.0,9.0,233.0,91.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.9763779527559056,0.4110032362459547,0.375,0.3055555555555556,0.4110032362459547,0.006472491909385114,0.013157894736842105,0.004291845493562232,0.012048192771084338,0.47368421052631576,0.48,1.0,0.3905579399141631,0.3922413793103448,0.967032967032967,0.16666666666666666,0.375,1.0,0.5,0.375,0.8888888888888888,0.3076923076923077,0.3050847457627119,0.3905579399141631,0.0032258064516129032,,,,,True
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,160852.0,2681,-18.0,5319,5341,1473,1436,609.0,10660,176.0,255.0,23.0,38.0,52.0,64.0,20.0,69.0,26.0,80.0,74.0,18.0,222.0,404.0,142.0,156.0,741.0,5543,30.0,56.0,11.0,77.0,65.0,101.0,36.0,72.0,232.0,294.0,150.0,28.0,23.0,184.0,62.0,246.0,42.0,20.0,86.0,35.0,63.0,554.0,24.0,65.0,107.0,250.0,18.0,375.0,89.0,464.0,11.0,138.0,88.0,50.0,79.0,13.0,50.0,60.0,7.0,29.0,10.0,139.0,9.0,38.0,112.0,204.0,9.0,11.0,210.0,12.0,1.0,83.0,24.0,45.0,33.0,11.0,48.0,25.0,3.0,3.0,4.0,232.0,1473,21.0,0.6621621621621622,0.7067307692307693,0.5495049504950495,0.5357142857142857,0.6435643564356436,0.5357142857142857,0.5238095238095238,0.583941605839416,0.5754276827371695,0.5422535211267606,0.6480446927374302,0.2600732600732601,0.05693069306930693,0.054901960784313725,0.13043478260869565,,12.959893934371891,0.5683453237410072,0.10909090909090909,0.13594344752582926,0.033818938605619145,0.1720257234726688,0.043557168784029036,0.1450629825274279,0.035988677719369186,0.04716981132075472,0.028112449799196786,0.0266497461928934,0.048426150121065374,0.028985507246376812,0.11443661971830986,0.12783505154639174,0.15648854961832062,0.1752808988764045,0.1638418079096045,0.044715447154471545,0.5208333333333334,0.46703296703296704,0.6901960784313725,0.7302904564315352,0.7215909090909091,0.12637362637362637,0.2898550724637681,0.3333333333333333,0.25,0.14652014652014653,0.325,0.325,0.5769230769230769,0.13553113553113552,0.6031746031746031,0.6052631578947368,0.30434782608695654,0.46715328467153283,0.8125,0.13138686131386862,0.7271062271062271,0.5484513837638375,0.4947107843137255,0.5543619402985076,0.13731825525040386,0.17473684210526316,0.1039136302294197,0.31309041835357626,5.171287128712872,25.01267605633803,0.27693175408911447,68.0,18.0,4.0,0.12454212454212454,0.13138686131386862,22.0,,2.0,4.0,25.0,2.0,5.0,6.0,47.0,2.0,7.0,10.0,135.0,6.0,64.0,25.0,,,7.0,2.0,3.0,2.0,1.0,0.9574468085106383,0.33098591549295775,0.2857142857142857,0.2777777777777778,0.34057971014492755,,,,,0.2972972972972973,0.2972972972972973,0.9545454545454546,0.36764705882352944,0.36764705882352944,0.96,0.031746031746031744,,,0.07936507936507936,0.4,0.5,0.2222222222222222,0.3333333333333333,0.390625,0.013888888888888888,1.0,1.0,,,True
185,1610612755,Chris Webber,Chris Webber,185,PHI,33934.0,566,,1154,1151,237,276,104.0,2305,32.0,58.0,5.0,13.0,3.0,10.0,21.0,55.0,67.0,168.0,1.0,,120.0,281.0,11.0,24.0,270.0,1214,8.0,27.0,3.0,19.0,20.0,48.0,4.0,8.0,48.0,172.0,68.0,10.0,7.0,34.0,15.0,49.0,7.0,8.0,16.0,6.0,12.0,113.0,6.0,14.0,24.0,63.0,13.0,100.0,22.0,122.0,3.0,18.0,9.0,9.0,16.0,3.0,8.0,18.0,1.0,8.0,3.0,34.0,3.0,8.0,26.0,59.0,5.0,9.0,32.0,4.0,,18.0,,14.0,9.0,5.0,15.0,8.0,2.0,,5.0,48.0,237,10.0,0.7166666666666667,0.7478260869565218,0.42704626334519574,0.2962962962962963,0.4166666666666667,0.4212328767123288,0.2962962962962963,0.38461538461538464,0.4411764705882353,0.3275862068965517,0.42105263157894735,0.03767123287671233,0.02491103202846975,0.06896551724137931,0.05454545454545454,,26.64576802507837,0.47058823529411764,0.3939393939393939,0.14754098360655737,0.03598971722365039,0.2033898305084746,0.04878048780487805,0.1596330275229358,0.0390625,0.08333333333333333,0.028846153846153848,0.015873015873015872,0.041666666666666664,0.07407407407407407,0.09859154929577464,0.1836734693877551,0.1657754010695187,0.20454545454545456,0.2,0.018633540372670808,0.5333333333333333,0.19863013698630136,0.5517241379310345,0.5925925925925926,0.71875,0.18835616438356165,0.38181818181818183,0.40384615384615385,0.5714285714285714,0.5753424657534246,0.39880952380952384,0.39880952380952384,0.7611940298507462,0.003424657534246575,0.48148148148148145,0.38461538461538464,,0.19230769230769232,0.3,,0.2363013698630137,0.4381383561643836,0.4636090909090909,0.4294471153846154,0.058823529411764705,0.061016949152542375,0.07037037037037037,0.17777777777777778,12.28540925266904,25.572727272727274,0.20537261698440207,10.0,4.0,,0.03424657534246575,0.07692307692307693,1.0,,,,1.0,,,,2.0,,,,6.0,,10.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,0.18181818181818182,,,0.18181818181818182,,,,0.08333333333333333,1.0,1.0,1.0,0.1,0.1,1.0,,,,,,,,,0.1,,,1.0,,,True
1903,1610612755,Kenny Thomas,Kenny Thomas,1903,PHI,61981.0,1033,-25.0,1994,2002,501,400,256.0,3996,55.0,107.0,20.0,43.0,15.0,24.0,15.0,47.0,100.0,213.0,2.0,1.0,170.0,367.0,3.0,67.0,410.0,2099,28.0,59.0,8.0,64.0,35.0,73.0,1.0,30.0,100.0,242.0,98.0,32.0,22.0,43.0,22.0,65.0,17.0,5.0,27.0,5.0,11.0,152.0,17.0,62.0,38.0,93.0,16.0,147.0,83.0,230.0,11.0,30.0,24.0,6.0,33.0,8.0,18.0,33.0,1.0,15.0,8.0,66.0,5.0,21.0,49.0,110.0,12.0,8.0,82.0,6.0,,32.0,12.0,2.0,1.0,,2.0,,,6.0,2.0,100.0,501,9.0,0.711764705882353,0.7857142857142857,0.46321525885558584,0.4745762711864407,0.4794520547945205,0.4635135135135135,0.4666666666666667,0.47297297297297297,0.5024509803921569,0.5,0.5494505494505495,0.008108108108108109,0.05994550408719346,0.11214953271028037,0.19148936170212766,0.004694835680751174,20.78035949145112,0.5,0.3404255319148936,0.1415525114155251,0.08083441981747067,0.1532258064516129,0.096045197740113,0.14475138121546963,0.0836864406779661,0.12096774193548387,0.08383233532934131,0.05113636363636364,0.1076923076923077,0.06382978723404255,0.12169312169312169,0.14545454545454545,0.15181518151815182,0.17159763313609466,0.11392405063291139,0.0625,,0.2891891891891892,0.514018691588785,0.5789473684210527,0.4909090909090909,0.12702702702702703,0.3191489361702128,0.39473684210526316,0.3333333333333333,0.5756756756756757,0.4694835680751174,0.4716981132075472,0.89,0.005405405405405406,0.7166666666666667,0.46511627906976744,0.15,0.32432432432432434,0.625,0.013513513513513514,0.2972972972972973,0.4545706756756757,0.534061320754717,0.45020608108108107,0.08080808080808081,0.08142493638676845,0.15609756097560976,0.24390243902439024,11.895095367847414,23.400000000000002,0.2512537612838516,1.0,,,0.002702702702702703,,1.0,,,,,,1.0,,1.0,,1.0,,3.0,,1.0,,,4.0,1.0,,,,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,,0.06666666666666667,0.5,0.5,1.0,,,,,,,0.016666666666666666,,,,,,,,,,,True
2422,1610612755,John Salmons,John Salmons,2422,PHI,22839.0,381,-128.0,735,747,217,238,79.0,1482,12.0,21.0,4.0,4.0,4.0,7.0,4.0,10.0,4.0,14.0,14.0,2.0,20.0,45.0,32.0,10.0,89.0,807,5.0,6.0,,10.0,9.0,20.0,6.0,5.0,29.0,12.0,28.0,6.0,8.0,28.0,12.0,40.0,7.0,5.0,15.0,3.0,10.0,92.0,,6.0,15.0,28.0,,43.0,6.0,49.0,1.0,18.0,11.0,7.0,9.0,5.0,8.0,12.0,1.0,1.0,,21.0,,5.0,14.0,26.0,,1.0,14.0,2.0,,5.0,3.0,9.0,5.0,3.0,9.0,7.0,,1.0,1.0,29.0,217,4.0,0.3,0.35294117647058826,0.4444444444444444,0.8333333333333334,0.45,0.512987012987013,0.7142857142857143,0.46153846153846156,0.536144578313253,0.7142857142857143,0.5,0.4155844155844156,0.17777777777777778,0.3333333333333333,0.1,,12.590799031476998,0.42857142857142855,,0.11336032388663968,0.02097902097902098,0.14705882352941177,,0.12320916905444126,0.01639344262295082,0.044642857142857144,0.013888888888888888,,,,0.13095238095238096,0.07936507936507936,0.12,0.1891891891891892,0.03571428571428571,0.02857142857142857,0.7777777777777778,0.2727272727272727,0.5714285714285714,0.8571428571428571,0.25,0.12987012987012986,0.4,0.4444444444444444,0.5,0.18181818181818182,0.2857142857142857,0.2857142857142857,0.25,0.18181818181818182,0.5714285714285714,1.0,,0.2692307692307692,0.5714285714285714,0.07692307692307693,0.6883116883116883,0.5154948051948052,0.52425,0.47219038461538465,0.0625,0.10416666666666667,0.11235955056179775,0.3258426966292135,7.777777777777778,24.434375,0.29523809523809524,18.0,4.0,,0.23376623376623376,0.15384615384615385,6.0,,1.0,1.0,7.0,,,1.0,13.0,,1.0,2.0,36.0,3.0,18.0,7.0,,,1.0,,,,1.0,0.9230769230769231,0.40625,,0.3333333333333333,0.40625,,,,,0.42857142857142855,0.42857142857142855,1.0,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.14285714285714285,,,,,,0.5,0.25,0.3888888888888889,,,,,,True
2223,1610612755,Samuel Dalembert,Samuel Dalembert,2223,PHI,80990.0,1350,79.0,2679,2686,613,580,275.0,5365,130.0,186.0,28.0,51.0,30.0,41.0,45.0,123.0,14.0,49.0,,,189.0,358.0,,72.0,450.0,2723,37.0,79.0,11.0,85.0,42.0,75.0,,23.0,107.0,290.0,88.0,52.0,20.0,18.0,7.0,25.0,6.0,1.0,5.0,3.0,10.0,57.0,22.0,103.0,52.0,178.0,35.0,265.0,129.0,394.0,8.0,34.0,25.0,9.0,32.0,7.0,22.0,48.0,3.0,10.0,8.0,80.0,17.0,18.0,120.0,182.0,23.0,11.0,117.0,14.0,,54.0,12.0,100.0,68.0,29.0,100.0,66.0,26.0,12.0,9.0,107.0,613,8.0,0.7671957671957672,0.8895705521472392,0.5279329608938548,0.46835443037974683,0.56,0.5279329608938548,0.46835443037974683,0.56,0.5487804878048781,0.4722222222222222,0.5691489361702128,,0.055865921787709494,0.07526881720430108,0.024390243902439025,0.061224489795918366,16.24045167718366,0.4,0.42168674698795183,0.178714859437751,0.11051502145922747,0.18840579710144928,0.07829181494661921,0.18081761006289307,0.10305028854080792,0.1392857142857143,0.13333333333333333,0.07556675062972293,0.06451612903225806,0.125,0.15527950310559005,0.1881918819188192,0.19106699751861042,0.18974358974358974,0.18518518518518517,0.053691275167785234,0.66,0.5195530726256983,0.6989247311827957,0.7558139534883721,0.7846153846153846,0.3435754189944134,0.36585365853658536,0.375,0.7333333333333333,0.13687150837988826,0.2857142857142857,0.30434782608695654,0.7142857142857143,,0.6455696202531646,0.5490196078431373,0.14285714285714285,0.5466666666666666,0.7317073170731707,,0.5195530726256983,0.4971620111731843,0.5070999999999999,0.5061999999999999,0.135678391959799,0.135678391959799,0.18888888888888888,0.23777777777777778,5.581005586592179,,0.2288167226577081,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,3.0,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,1.0,,,True
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,133732.0,2229,53.0,4445,4460,1213,1157,505.0,8905,219.0,406.0,12.0,24.0,54.0,105.0,100.0,224.0,161.0,414.0,27.0,9.0,480.0,1044.0,225.0,424.0,1603.0,4646,27.0,75.0,13.0,76.0,104.0,255.0,68.0,174.0,448.0,160.0,800.0,6.0,66.0,333.0,93.0,426.0,60.0,33.0,186.0,33.0,114.0,945.0,3.0,29.0,68.0,119.0,3.0,190.0,34.0,224.0,10.0,131.0,95.0,36.0,166.0,23.0,114.0,81.0,18.0,52.0,8.0,247.0,10.0,65.0,24.0,88.0,1.0,16.0,503.0,38.0,19.0,194.0,63.0,4.0,,2.0,5.0,3.0,,1.0,2.0,448.0,1213,13.0,0.16666666666666666,0.16771488469601678,0.45977011494252873,0.36,0.40784313725490196,0.4645390070921986,0.35795454545454547,0.4241486068111455,0.5322147651006711,0.39473684210526316,0.5273159144893111,0.1773049645390071,0.06321839080459771,0.11822660098522167,0.03125,0.026570048309178744,34.47180301826847,0.6720647773279352,0.022388059701492536,0.07608695652173914,0.01821608040201005,0.13438735177865613,0.0066815144766146995,0.09033816425120773,0.01567858892699657,0.026415094339622643,0.02278481012658228,0.008995502248875561,0.005917159763313609,0.009009009009009009,0.054878048780487805,0.06265060240963856,0.1004566210045662,0.14124293785310735,0.11842105263157894,0.015600624024960999,0.6,0.3199369582348306,0.5394088669950738,0.611731843575419,0.136986301369863,0.1765169424743893,0.44642857142857145,0.4608294930875576,0.1,0.3262411347517731,0.3888888888888889,0.39950372208436724,0.2484472049689441,0.02127659574468085,0.2727272727272727,0.5,0.25,0.32507739938080493,0.5142857142857142,0.02786377708978328,0.49724192277383766,0.49533439968404425,0.46217876712328765,0.49154813084112137,0.13805185704274703,0.16166666666666665,0.047411104179663134,0.2794759825327511,9.273754789272033,25.596888888888895,0.27289088863892014,198.0,59.0,2.0,0.15602836879432624,0.1826625386996904,12.0,1.0,4.0,3.0,61.0,2.0,9.0,19.0,73.0,3.0,13.0,22.0,126.0,93.0,196.0,61.0,,2.0,7.0,3.0,1.0,1.0,2.0,0.5753424657534246,0.3244444444444444,0.23076923076923078,0.3235294117647059,0.3273542600896861,,,,0.016129032258064516,0.4444444444444444,0.4444444444444444,1.0,0.30808080808080807,0.30808080808080807,0.4918032786885246,0.045454545454545456,0.25,1.0,0.10227272727272728,0.2222222222222222,0.5,0.3333333333333333,0.3220338983050847,0.3112244897959184,0.013215859030837005,,1.0,2.0,1.0,True
