EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,BlockedLongMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,StepOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,BlockedCorner3,DefensiveGoaltends,OffFTReboundPct,on,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked
1442,1610612746,Zeljko Rebraca,Zeljko Rebraca,1442,LAC,10140.0,169.0,14.0,312.0,311.0,95.0,101.0,38.0,623.0,5.0,15.0,1.0,6.0,2.0,4.0,19.0,29.0,4.0,8.0,28.0,52.0,14.0,70.0,296.0,3.0,10.0,1.0,7.0,10.0,16.0,5.0,25.0,40.0,16.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,10.0,11.0,16.0,1.0,28.0,11.0,39.0,2.0,4.0,1.0,3.0,1.0,5.0,1.0,1.0,6.0,1.0,12.0,23.0,2.0,2.0,16.0,7.0,1.0,8.0,7.0,1.0,8.0,4.0,2.0,25.0,95.0,2.0,0.7142857142857143,0.7407407407407407,0.5384615384615384,0.3,0.625,0.5384615384615384,0.3,0.625,0.5833333333333334,0.3181818181818182,0.6578947368421053,0.038461538461538464,0.13333333333333333,18.333333333333332,0.16666666666666666,0.1111111111111111,0.11851851851851852,0.07692307692307693,0.3055555555555556,0.1111111111111111,0.15789473684210525,0.07913669064748201,0.07317073170731707,0.08333333333333333,0.07547169811320754,0.2,0.07407407407407407,0.09090909090909091,0.1875,0.3333333333333333,0.2222222222222222,0.09090909090909091,0.5,0.28846153846153844,0.3333333333333333,0.38461538461538464,0.6,0.5576923076923077,0.6551724137931034,0.6551724137931034,0.7368421052631579,0.15384615384615385,0.5,0.5,0.75,0.6,0.16666666666666666,0.25,0.5,0.28846153846153844,0.43056730769230767,0.48268999999999995,0.41409999999999997,0.11864406779661017,0.11864406779661017,0.1,0.35714285714285715,7.2557692307692285,0.30448717948717946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1594,1610612746,Rick Brunson,Rick Brunson,1594,LAC,7426.0,124.0,-15.0,248.0,247.0,86.0,97.0,25.0,495.0,,4.0,,,,1.0,,1.0,5.0,13.0,5.0,18.0,3.0,25.0,274.0,,1.0,,,1.0,3.0,2.0,4.0,6.0,4.0,,,18.0,19.0,7.0,9.0,39.0,1.0,2.0,,9.0,1.0,10.0,3.0,13.0,,8.0,5.0,3.0,2.0,5.0,2.0,,7.0,2.0,2.0,9.0,,3.0,4.0,1.0,1.0,,,,,,,4.0,86.0,3.0,0.6,0.6,0.2777777777777778,,0.3333333333333333,0.3793103448275862,,0.1111111111111111,0.4032258064516129,,0.2,,,13.66906474820144,0.2857142857142857,0.125,0.1111111111111111,0.022988505747126436,,0.07142857142857142,0.08571428571428572,0.0297029702970297,,0.07692307692307693,,0.125,0.05405405405405406,0.047619047619047616,0.2608695652173913,,,,,0.13793103448275862,,,,0.034482758620689655,,,,0.4482758620689655,0.38461538461538464,0.38461538461538464,0.6,,,0.1111111111111111,,0.5172413793103449,0.4680155172413793,0.4032,0.4664055555555556,0.03333333333333333,0.05263157894736842,,0.16,13.483333333333333,0.3467741935483871,3.0,7.0,3.0,1.0,4.0,3.0,4.0,11.0,6.0,12.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0.36363636363636365,0.36363636363636365,0.3793103448275862,0.2413793103448276,0.42857142857142855,0.42857142857142855,1.0,0.13793103448275862,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,0.25,24.136363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1630,1610612746,Mikki Moore,Mikki Moore,1630,LAC,18744.0,312.0,-41.0,585.0,588.0,217.0,194.0,67.0,1173.0,28.0,47.0,9.0,17.0,7.0,16.0,9.0,19.0,4.0,22.0,41.0,88.0,28.0,113.0,649.0,11.0,21.0,7.0,29.0,11.0,29.0,14.0,36.0,56.0,26.0,18.0,10.0,13.0,14.0,3.0,7.0,29.0,,28.0,6.0,23.0,6.0,35.0,28.0,63.0,3.0,5.0,4.0,1.0,10.0,8.0,4.0,1.0,18.0,7.0,23.0,53.0,5.0,3.0,38.0,14.0,7.0,10.0,4.0,4.0,10.0,5.0,1.0,36.0,217.0,8.0,0.6829268292682927,0.875,0.4659090909090909,0.5238095238095238,0.3793103448275862,0.4722222222222222,0.5238095238095238,0.3793103448275862,0.5280373831775701,0.58,0.46153846153846156,0.11363636363636363,0.19148936170212766,18.82530120481928,0.5555555555555556,0.35294117647058826,0.1111111111111111,0.12556053811659193,0.09836065573770492,,0.10820895522388059,0.11155378486055777,0.15384615384615385,0.10714285714285714,0.11235955056179775,,0.16901408450704225,0.1016949152542373,0.06493506493506493,0.06666666666666667,0.1875,0.07894736842105263,0.5,0.5222222222222223,0.5957446808510638,0.7368421052631579,0.7142857142857143,0.2111111111111111,0.47368421052631576,0.47368421052631576,0.4444444444444444,0.24444444444444444,0.18181818181818182,0.19047619047619047,1.0,0.8095238095238095,0.5294117647058824,0.5517241379310345,0.4375,0.5444444444444444,0.4775188888888889,0.56836,0.47005172413793106,0.14,0.14285714285714285,0.25663716814159293,0.3185840707964602,6.301136363636362,0.37094017094017095,1.0,1.0,,,1.0,,1.0,2.0,,3.0,1.0,,1.0,1.0,3.0,,1.0,0.5,0.5,0.022222222222222223,0.011111111111111112,1.0,1.0,1.0,0.011111111111111112,,,,,,,24.8,6.0,1.0,3.0,4.0,2.0,2.0,1.0,0.045454545454545456,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,25791.0,430.0,-25.0,837.0,832.0,340.0,303.0,98.0,1669.0,25.0,54.0,2.0,4.0,10.0,23.0,9.0,20.0,26.0,59.0,60.0,133.0,98.0,251.0,888.0,4.0,10.0,8.0,19.0,27.0,53.0,57.0,129.0,62.0,58.0,4.0,11.0,40.0,42.0,16.0,8.0,86.0,2.0,8.0,14.0,35.0,8.0,57.0,10.0,67.0,2.0,15.0,9.0,6.0,17.0,17.0,8.0,1.0,34.0,13.0,15.0,36.0,1.0,7.0,111.0,37.0,17.0,1.0,1.0,,1.0,1.0,,129.0,340.0,6.0,0.5166666666666667,0.5344827586206896,0.45112781954887216,0.4,0.5094339622641509,0.4526627218934911,0.4583333333333333,0.5217391304347826,0.5633484162895928,0.59375,0.645,0.08270676691729323,0.14814814814814814,26.813880126182966,0.5,0.32,0.109375,0.02572347266881029,0.175,0.05,0.1225,0.02849002849002849,0.03125,0.03296703296703297,0.016129032258064516,0.038461538461538464,0.07142857142857142,0.12871287128712872,0.12396694214876033,0.13846153846153847,0.3333333333333333,0.024390243902439025,1.0,0.31952662721893493,0.46296296296296297,0.5434782608695652,0.52,0.11834319526627218,0.45,0.5294117647058824,0.2222222222222222,0.34911242603550297,0.4406779661016949,0.4406779661016949,0.6153846153846154,0.3333333333333333,0.5,0.3333333333333333,0.43478260869565216,0.5325443786982249,0.4855898809523809,0.49376999999999993,0.46872573529411765,0.18627450980392157,0.2215568862275449,0.07569721115537849,0.5139442231075697,10.103007518796991,0.4062126642771804,,9.0,5.0,11.0,27.0,11.0,11.0,36.0,16.0,30.0,27.0,11.0,2.0,,16.0,3.0,0.9090909090909091,0.3055555555555556,0.3055555555555556,0.21301775147928995,0.05325443786982249,,,,0.15976331360946747,0.4074074074074074,0.4074074074074074,0.9090909090909091,0.07246376811594203,0.15942028985507245,0.4074074074074074,25.188888888888886,9.0,3.0,,3.0,,,1.0,,,1.0,1.0,1.0,6.0,1.0,2.0,6.0,3.0,2.0,2.0,3.0,1.0,0.5,0.375,0.15,0.07142857142857142,0.08333333333333333,0.08333333333333333,1.0,0.5454545454545454,0.02702702702702703,,,,,,,,,,,,,,,,,True,,,
2733,1610612746,Shaun Livingston,Shaun Livingston,2733,LAC,49200.0,820.0,-17.0,1566.0,1559.0,548.0,531.0,186.0,3125.0,33.0,68.0,6.0,13.0,11.0,24.0,28.0,73.0,28.0,72.0,89.0,213.0,44.0,222.0,1646.0,11.0,29.0,2.0,24.0,28.0,65.0,30.0,86.0,88.0,90.0,8.0,10.0,134.0,151.0,67.0,43.0,319.0,1.0,21.0,12.0,55.0,,67.0,22.0,89.0,9.0,32.0,23.0,9.0,42.0,33.0,16.0,1.0,75.0,27.0,38.0,82.0,4.0,11.0,59.0,21.0,12.0,10.0,4.0,3.0,11.0,4.0,,86.0,548.0,12.0,0.4943820224719101,0.5176470588235295,0.41784037558685444,0.3793103448275862,0.4307692307692308,0.413953488372093,0.3793103448275862,0.42424242424242425,0.4605809128630705,0.4,0.5058823529411764,0.046948356807511735,0.08823529411764706,17.604456824512535,0.56,,0.09385665529010238,0.03482587064676617,0.07142857142857142,0.014925373134328358,0.08885941644562334,0.03283582089552239,0.03825136612021858,0.028089887640449437,0.0371900826446281,,0.06598984771573604,0.10465116279069768,0.11059907834101383,0.06201550387596899,0.10256410256410256,0.0782608695652174,0.36363636363636365,0.31627906976744186,0.4852941176470588,0.532258064516129,0.42424242424242425,0.3395348837209302,0.3835616438356164,0.4057971014492754,0.35714285714285715,0.33488372093023255,0.3888888888888889,0.3888888888888889,0.7142857142857143,0.4482758620689655,0.46153846153846156,0.36363636363636365,0.4583333333333333,0.32558139534883723,0.4607691588785046,0.49259259259259264,0.4662584615384614,0.09170305676855896,0.09251101321585903,0.10810810810810811,0.38738738738738737,9.329577464788732,0.3499361430395913,,,,,2.0,1.0,,2.0,1.0,,1.0,,17.0,14.0,24.0,13.0,,,,0.009302325581395349,,,,,0.009302325581395349,,,,,0.015151515151515152,,32.7,26.0,4.0,3.0,7.0,3.0,,,,0.3333333333333333,,,,,,,,,3.0,2.0,,,,,0.0547945205479452,0.047619047619047616,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,True,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,25948.0,432.0,-23.0,820.0,819.0,254.0,252.0,93.0,1639.0,18.0,32.0,,2.0,2.0,6.0,,4.0,19.0,41.0,37.0,77.0,13.0,126.0,887.0,2.0,6.0,,4.0,10.0,19.0,9.0,38.0,34.0,40.0,,4.0,50.0,54.0,18.0,18.0,112.0,,4.0,11.0,23.0,2.0,36.0,4.0,40.0,1.0,19.0,14.0,5.0,10.0,7.0,2.0,2.0,17.0,6.0,12.0,27.0,1.0,1.0,18.0,6.0,5.0,2.0,,1.0,2.0,2.0,,38.0,254.0,4.0,0.4594594594594595,0.4594594594594595,0.4805194805194805,0.3333333333333333,0.5263157894736842,0.49130434782608695,0.3333333333333333,0.5,0.5163934426229508,0.3333333333333333,0.5428571428571428,0.05194805194805195,0.125,14.89817792068596,0.5882352941176471,0.08695652173913043,0.07876712328767123,0.013157894736842105,0.13924050632911392,,0.09164420485175202,0.011594202898550725,0.020618556701030927,0.011235955056179775,0.00847457627118644,,0.03260869565217391,0.07368421052631578,0.12380952380952381,0.1016949152542373,0.25,0.017543859649122806,1.0,0.2782608695652174,0.5625,0.6428571428571429,0.3888888888888889,0.034782608695652174,,,,0.3565217391304348,0.4634146341463415,0.4634146341463415,0.5263157894736842,0.3333333333333333,,0.20689655172413793,0.3333333333333333,0.6086956521739131,0.500642543859649,0.42923333333333336,0.47347321428571426,0.05128205128205128,0.0759493670886076,0.031746031746031744,0.30158730158730157,10.711688311688311,0.3097560975609756,,2.0,1.0,13.0,36.0,9.0,13.0,38.0,10.0,30.0,36.0,13.0,4.0,3.0,14.0,2.0,0.7692307692307693,0.34210526315789475,0.34210526315789475,0.33043478260869563,0.017391304347826087,,,,0.3130434782608696,0.3611111111111111,0.37142857142857144,0.7692307692307693,0.034482758620689655,0.3103448275862069,0.3611111111111111,25.826315789473682,8.0,,1.0,4.0,1.0,,,,,,,,3.0,,,3.0,9.0,1.0,,,,,0.3,,,,,,0.3333333333333333,,,,,1.0,0.02631578947368421,0.027777777777777776,,,,,,,,,,,True,,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,23249.0,387.0,54.0,744.0,731.0,274.0,253.0,101.0,1475.0,18.0,34.0,3.0,6.0,7.0,13.0,6.0,13.0,32.0,77.0,56.0,124.0,38.0,171.0,729.0,7.0,14.0,1.0,24.0,17.0,30.0,29.0,75.0,84.0,28.0,6.0,12.0,22.0,25.0,7.0,10.0,53.0,2.0,16.0,11.0,27.0,1.0,39.0,18.0,57.0,2.0,15.0,10.0,5.0,10.0,11.0,2.0,1.0,21.0,5.0,11.0,30.0,2.0,7.0,43.0,10.0,10.0,1.0,1.0,,1.0,,,75.0,274.0,5.0,0.75,0.7924528301886793,0.45161290322580644,0.5,0.5666666666666667,0.4854014598540146,0.6388888888888888,0.6388888888888888,0.5384615384615384,0.631578947368421,0.74,0.0967741935483871,0.20588235294117646,20.298165137614678,0.47619047619047616,0.047619047619047616,0.09407665505226481,0.05211726384364821,0.12087912087912088,0.07407407407407407,0.10052910052910052,0.05389221556886228,0.10989010989010989,0.02247191011235955,0.031496062992125984,0.1111111111111111,0.06382978723404255,0.05128205128205128,0.14782608695652175,0.0945945945945946,0.23529411764705882,0.03333333333333333,,0.24817518248175183,0.5294117647058824,0.6666666666666666,0.5555555555555556,0.0948905109489051,0.46153846153846156,0.5454545454545454,0.5,0.5620437956204379,0.4155844155844156,0.43243243243243246,0.90625,0.3333333333333333,0.5,0.3611111111111111,0.5384615384615384,0.34306569343065696,0.45861985294117646,0.47990937499999997,0.48230571428571434,0.0684931506849315,0.07518796992481203,0.14035087719298245,0.43859649122807015,12.874193548387096,0.3682795698924731,4.0,7.0,1.0,3.0,6.0,5.0,7.0,13.0,6.0,21.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0,0.5384615384615384,0.5833333333333334,0.0948905109489051,0.051094890510948905,0.5714285714285714,0.5714285714285714,1.0,0.043795620437956206,0.5,0.5,1.0,0.027777777777777776,0.1388888888888889,0.6,26.038461538461533,8.0,,4.0,1.0,,,,0.03896103896103896,,2.0,2.0,2.0,3.0,3.0,4.0,4.0,,1.0,1.0,4.0,,0.75,0.6666666666666666,0.15384615384615385,,0.1111111111111111,0.1111111111111111,1.0,0.6,,1.0,,,,,,1.0,1.0,0.5,1.0,1.0,1.0,,,,,True,,,
2624,1610612746,Quinton Ross,Quinton Ross,2624,LAC,14889.0,248.0,-40.0,465.0,473.0,169.0,172.0,50.0,938.0,11.0,18.0,2.0,5.0,4.0,6.0,4.0,8.0,10.0,23.0,25.0,49.0,10.0,60.0,511.0,3.0,7.0,1.0,7.0,7.0,16.0,5.0,19.0,34.0,16.0,2.0,6.0,16.0,16.0,6.0,6.0,32.0,1.0,9.0,6.0,13.0,,19.0,10.0,29.0,2.0,14.0,9.0,5.0,5.0,1.0,1.0,,6.0,2.0,12.0,28.0,1.0,,17.0,9.0,1.0,2.0,2.0,,2.0,2.0,,19.0,169.0,3.0,0.68,0.7083333333333334,0.5102040816326531,0.42857142857142855,0.4375,0.5,0.42857142857142855,0.4117647058823529,0.5263157894736842,0.5,0.475,0.12244897959183673,0.3333333333333333,11.909262759924385,0.8333333333333334,,0.0718232044198895,0.049723756906077346,0.10714285714285714,0.08333333333333333,0.08016877637130802,0.05181347150259067,0.05454545454545454,0.07272727272727272,0.028169014084507043,,0.05970149253731343,0.11320754716981132,0.04918032786885246,0.14634146341463414,,0.10526315789473684,1.0,0.36,0.6111111111111112,0.9166666666666666,0.45454545454545453,0.16,0.5,0.5,0.5,0.46,0.43478260869565216,0.43478260869565216,1.0,0.7142857142857143,0.4,0.35294117647058826,0.6666666666666666,0.38,0.4596673469387755,0.5057166666666667,0.46326875,0.16071428571428573,0.16363636363636364,0.11666666666666667,0.31666666666666665,10.522448979591838,0.3634408602150538,,,,,1.0,1.0,,1.0,1.0,,,,,,4.0,,,,,0.02,,,,,0.02,,,,,0.058823529411764705,,54.8,4.0,1.0,,3.0,,,,,0.5,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,True,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,38221.0,637.0,34.0,1226.0,1215.0,429.0,402.0,142.0,2441.0,58.0,78.0,18.0,29.0,23.0,26.0,38.0,86.0,37.0,86.0,133.0,250.0,74.0,340.0,1262.0,21.0,39.0,18.0,60.0,39.0,66.0,29.0,107.0,186.0,80.0,24.0,9.0,45.0,47.0,19.0,20.0,96.0,6.0,47.0,22.0,75.0,8.0,105.0,55.0,160.0,3.0,17.0,11.0,6.0,17.0,23.0,10.0,8.0,40.0,11.0,35.0,54.0,2.0,5.0,102.0,48.0,9.0,39.0,22.0,15.0,42.0,27.0,3.0,107.0,429.0,3.0,0.6992481203007519,0.768595041322314,0.532,0.5384615384615384,0.5909090909090909,0.5298804780876494,0.5384615384615384,0.5909090909090909,0.5743243243243243,0.625,0.622093023255814,0.036,0.07692307692307693,23.948681397006418,0.425,0.23529411764705882,0.17006802721088435,0.10042735042735043,0.15827338129496402,0.10714285714285714,0.16724137931034483,0.10114503816793893,0.16030534351145037,0.05714285714285714,0.09137055837563451,0.08108108108108109,0.17142857142857143,0.18796992481203006,0.15476190476190477,0.16666666666666666,0.12903225806451613,0.027777777777777776,0.6428571428571429,0.3107569721115538,0.7435897435897436,0.8055555555555556,0.6206896551724138,0.3426294820717131,0.4418604651162791,0.4578313253012048,0.6578947368421053,0.3426294820717131,0.43023255813953487,0.43023255813953487,0.8648648648648649,0.7435897435897436,0.6206896551724138,0.3939393939393939,0.8846153846153846,0.3147410358565737,0.4567840637450199,0.5196361111111112,0.4739727272727272,0.1672473867595819,0.16783216783216784,0.17647058823529413,0.31470588235294117,8.7544,0.34991843393148453,,1.0,,,,,,1.0,,,,,2.0,1.0,6.0,2.0,,,,0.00398406374501992,0.00398406374501992,,,,,,,,,,,23.1,7.0,2.0,8.0,12.0,2.0,,,,0.1111111111111111,,,,,,,,,1.0,1.0,,,,,0.03488372093023256,0.15789473684210525,,,,,,,3.0,2.0,,,,,,,,,,2.0,1.0,1.0,0.05714285714285714,True,,,
2549,1610612746,Chris Kaman,Chris Kaman,2549,LAC,12003.0,200.0,-6.0,377.0,378.0,105.0,143.0,45.0,755.0,23.0,35.0,5.0,10.0,6.0,11.0,13.0,25.0,7.0,13.0,43.0,73.0,11.0,97.0,404.0,6.0,17.0,2.0,14.0,8.0,16.0,9.0,25.0,52.0,34.0,8.0,6.0,8.0,10.0,3.0,4.0,22.0,2.0,14.0,6.0,25.0,4.0,35.0,17.0,52.0,1.0,1.0,1.0,,12.0,4.0,4.0,1.0,16.0,6.0,11.0,19.0,1.0,2.0,18.0,8.0,2.0,12.0,10.0,2.0,12.0,6.0,,25.0,105.0,2.0,0.6046511627906976,0.6666666666666666,0.589041095890411,0.35294117647058826,0.5,0.589041095890411,0.35294117647058826,0.5,0.5987654320987654,0.3684210526315789,0.5681818181818182,0.0821917808219178,0.08571428571428572,22.298850574712645,0.75,0.4444444444444444,0.1592356687898089,0.09333333333333334,0.15789473684210525,0.125,0.15897435897435896,0.0963855421686747,0.06521739130434782,0.11363636363636363,0.1,0.16666666666666666,0.22641509433962265,0.1111111111111111,0.13559322033898305,0.16666666666666666,0.125,0.043478260869565216,0.5,0.4794520547945205,0.6571428571428571,0.71875,0.5652173913043478,0.3424657534246575,0.52,0.5909090909090909,0.6923076923076923,0.1780821917808219,0.5384615384615384,0.5384615384615384,0.5714285714285714,0.5882352941176471,0.5,0.6875,0.5454545454545454,0.4794520547945205,0.4580041095890411,0.46462,0.41958749999999995,0.10126582278481013,0.10126582278481013,0.14432989690721648,0.25773195876288657,5.79041095890411,0.27851458885941643,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,1.0,,,0.06666666666666667,True,,,
