EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,FtPoints,PenaltyFtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyTurnovers,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Fg2aBlocked,NonShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShortMidRangeFGM,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,OffShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,SelfOReb,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,on,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Fg3aBlocked,Clear Path Fouls,Loose Ball Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,BlockedCorner3,DefensiveGoaltends,3SecondViolations,OffensiveGoaltends,3pt And 1 Free Throw Trips,Arc3PctBlocked
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,484.0,8.0,5.0,17,14.0,16,14.0,1.0,31,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,13.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,6.0,1.0,2.0,16,1.0,0.5,0.5,0.25,0.25,0.25,0.25,0.5,22.22222222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.417775,0.417775,1.0,17.85,25.6,0.9411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1610612763,James Posey,James Posey,1899,MEM,854.0,14.0,-12.0,26,25.0,5,3.0,4.0,51,1.0,2.0,2.0,,1.0,4.0,2.0,2.0,22.0,,1.0,,,,2.0,,,,,,3.0,,5,,0.25,,0.16666666666666666,,0.16666666666666666,,0.3333333333333333,23.333333333333336,0.3333333333333333,0.5,0.5,0.3333333333333333,,0.5,0.4603083333333333,0.3882,,9.149999999999999,24.5,0.19230769230769232,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.125,1.0,0.2222222222222222,0.5,1.0,0.16666666666666666,0.16666666666666666,1.0,0.3556,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,1610612763,Brian Cardinal,Brian Cardinal,2073,MEM,700.0,12.0,-8.0,21,21.0,13,14.0,3.0,42,1.0,1.0,,,1.0,1.0,,4.0,27.0,1.0,1.0,,4.0,,,,,,,,1.0,4.0,13,,1.0,1.0,1.0,1.0,1.0,1.0,,8.333333333333334,1.0,1.0,1.0,,,,0.3907,0.3907,1.0,18.9,,0.6190476190476191,,,,,,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,310.0,5.0,-2.0,12,11.0,12,11.0,,23,,,,,,,,,13.0,,,,,,,1.0,1.0,1.0,,2.0,1.0,,12,,,,,,,,,8.333333333333334,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,1610612763,Andre Emmett,Andre Emmett,2765,MEM,1556.0,26.0,-7.0,50,49.0,27,25.0,5.0,99,1.0,2.0,,,2.0,6.0,,7.0,43.0,2.0,5.0,,6.0,2.0,,,,,,,4.0,6.0,27,,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3888888888888889,0.42857142857142855,,16.363636363636363,0.3333333333333333,0.5,0.5,,,0.5,0.4283666666666666,0.43936000000000003,0.8571428571428571,7.633333333333333,,0.54,3.0,1.0,1.0,1.0,2.0,2.0,,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,0.1111111111111111,,0.08695652173913043,0.5,,0.5,0.16666666666666666,,0.4295,0.2857142857142857,3.0,2.0,5.0,1.0,0.14285714285714285,0.14285714285714285,,1.0,1.0,3.0,3.0,2.0,0.5,0.6666666666666666,1.0,0.125,0.3333333333333333,1.0,1.0,0.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,2.0,,1.0,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,625.0,10.0,4.0,21,20.0,16,14.0,1.0,41,,,,,1.0,1.0,,2.0,16.0,1.0,1.0,,2.0,2.0,,,,,,,1.0,2.0,16,,1.0,1.0,1.0,1.0,1.0,1.0,,9.090909090909092,,,,,,,0.3187,0.3187,1.0,13.1,,0.7619047619047619,,1.0,,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,0.125,,0.09090909090909091,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.16666666666666666,0.125,0.3333333333333333,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,115.0,2.0,,4,4.0,4,4.0,,8,,,,,,,,,5.0,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,0.5,,0.25,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,1086.0,18.0,-5.0,34,35.0,15,14.0,3.0,69,,2.0,,,2.0,6.0,,4.0,26.0,2.0,2.0,,4.0,2.0,,,,,,,2.0,4.0,15,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,,18.91891891891892,0.3333333333333333,,,,,0.5,0.42121666666666663,0.42525,1.0,7.316666666666666,,0.4411764705882353,3.0,1.0,,,,2.0,,2.0,2.0,4.0,4.0,,,1.0,,0.5,0.5,,,,0.6666666666666666,0.15384615384615385,,0.11764705882352941,,,0.5,0.16666666666666666,,,,,,2.0,1.0,0.14285714285714285,0.14285714285714285,,1.0,1.0,1.0,2.0,,0.3333333333333333,0.6666666666666666,,0.16666666666666666,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,,,,,,,0.2,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,481.0,8.0,-1.0,15,14.0,12,11.0,1.0,29,,,,,1.0,2.0,,2.0,16.0,1.0,2.0,,2.0,,,,,,,,,2.0,12,,0.5,0.5,0.5,0.5,0.5,0.5,,12.5,,,,,,0.5,0.51615,0.51615,1.0,3.15,,0.8,1.0,1.0,,,,2.0,,2.0,,2.0,2.0,,,,,1.0,1.0,,,,,0.3333333333333333,,0.2857142857142857,,,0.5,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,,0.5,,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
