EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,on,FoulsDrawn,Offensive Fouls Drawn,Corner3PctBlocked
1032,1610612765,Darvin Ham,Darvin Ham,1032,DET,5604.0,93,-42,172,180,81,98,27,352,2.0,8.0,1.0,2.0,2.0,5.0,4.0,13.0,6.0,14,206,1.0,2.0,2.0,1.0,5.0,4.0,6.0,6.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,6.0,9,4.0,3.0,1.0,3.0,2.0,2.0,1.0,5.0,4.0,6.0,11,1.0,12.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,6.0,81,1.0,0.75,0.75,0.3076923076923077,0.2,0.3076923076923077,0.2,0.3684210526315789,0.25,0.375,0.23076923076923078,0.375,11.881188118811881,0.6,0.041666666666666664,0.06451612903225806,0.05263157894736842,0.14285714285714285,0.04477611940298507,0.07894736842105263,0.15789473684210525,0.06666666666666667,0.2222222222222222,0.16666666666666666,0.034482758620689655,0.25,0.5,0.6153846153846154,0.25,0.4,0.5,0.38461538461538464,0.4,0.4,1.0,1.0,0.4,0.6153846153846154,0.4887615384615386,0.5692,0.4446,0.23529411764705882,0.23529411764705882,0.14285714285714285,0.42857142857142855,6.961538461538462,0.47093023255813954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,130920.0,2182,344,3963,3955,1061,867,563,7918,191.0,356.0,114.0,63.0,15.0,66.0,228.0,508.0,110.0,569,3934,129.0,29.0,155.0,43.0,88.0,47.0,133.0,282.0,174.0,41.0,75.0,106.0,41.0,243.0,44.0,192.0,85.0,374.0,499.0,242.0,741,84.0,51.0,33.0,34.0,17.0,34.0,17.0,68.0,15.0,66.0,129,8.0,252.0,102.0,34.0,143.0,108.0,146.0,76.0,1.0,133.0,1061,15.0,0.618421052631579,0.7663043478260869,0.44881889763779526,0.48863636363636365,0.4464980544747082,0.4673913043478261,0.44944707740916273,0.5132450331125827,0.46830985915492956,0.08070866141732283,0.09550561797752809,15.069967707212054,0.5,0.22625529340592862,0.12363168061815841,0.20286396181384247,0.11311053984575835,0.22152509652509653,0.121524201853759,0.14365671641791045,0.1336405529953917,0.09225092250922509,0.2664835164835165,0.24583333333333332,0.18548387096774194,0.5205479452054794,0.6926070038910506,0.5365168539325843,0.593167701863354,0.6230366492146597,0.12840466926070038,0.22727272727272727,0.23076923076923078,0.7333333333333333,0.8837209302325582,0.6847826086956522,0.7042801556420234,0.5146576998050684,0.5452279279279281,0.5109065934065935,0.17028380634390652,0.17200674536256325,0.27240773286467485,0.23374340949033393,3.6600393700787404,0.26772646984607623,61.0,37.0,22.0,86.0,1.0,6.0,4.0,1.0,6.0,63.0,4.0,3.0,88.0,1.0,5.0,1.0,31.0,22.0,9.0,18.0,16.0,6.0,40.0,22.0,7.0,6.0,3.0,7.0,10.0,17.0,3.0,2.0,1.0,12.0,23.0,6.0,3.0,1.0,0.16666666666666666,0.2,0.4883720930232558,0.4883720930232558,0.011673151750972763,0.06976744186046512,0.015151515151515152,0.4,0.03896103896103896,0.09777015437392796,0.16101694915254236,0.1757469244288225,0.21016949152542372,0.09166666666666666,0.16731517509727625,0.2558139534883721,0.275,0.5,0.011673151750972763,0.16666666666666666,0.16666666666666666,1.0,0.5350877192982456,0.19672131147540983,0.5873015873015873,0.043478260869565216,0.2,29.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,172442.0,2874,352,5220,5193,1406,1132,720,10413,96.0,192.0,23.0,57.0,102.0,242.0,239.0,526.0,343.0,1316,5213,49.0,15.0,144.0,68.0,136.0,169.0,443.0,162.0,316.0,34.0,382.0,464.0,164.0,1010.0,11.0,35.0,51.0,167.0,223.0,48.0,271,81.0,45.0,36.0,105.0,81.0,75.0,24.0,180.0,56.0,68.0,194,6.0,382.0,121.0,56.0,9.0,6.0,9.0,3.0,,443.0,1406,26.0,0.3389121338912134,0.3446808510638298,0.4543726235741445,0.5,0.5328587075575028,0.5330739299610895,0.5984215413184772,0.6620370370370371,0.6318840579710145,0.06463878326996197,0.10416666666666667,20.650566781665844,0.5833333333333334,0.07869934024505183,0.017517517517517518,0.09568480300187618,0.02186878727634195,0.08210922787193974,0.018392642942822873,0.0218408736349454,0.022413793103448276,0.02247191011235955,0.056133056133056136,0.09774436090225563,0.0880503144654088,0.3333333333333333,0.21029572836801752,0.5,0.5581395348837209,0.375,0.26506024096385544,0.4214876033057851,0.4340425531914894,0.35294117647058826,0.23,0.22178988326848248,0.6341730558598029,0.4949983480176211,0.4971517441860464,0.4914831349206349,0.12340842311459353,0.19175911251980982,0.1094224924012158,0.3366261398176292,10.281178707224333,0.2693486590038314,8.0,26.0,41.0,92.0,135.0,321.0,106.0,165.0,387.0,21.0,121.0,360.0,8.0,3.0,318.0,135.0,82.0,56.0,26.0,81.0,137.0,2.0,5.0,12.0,36.0,10.0,1.0,19.0,23.0,16.0,,,,1.0,2.0,,,0.7272727272727273,0.4263565891472868,0.4296875,0.42857142857142855,0.645,0.4238773274917853,0.07608695652173914,0.028925619834710745,0.036231884057971016,0.010309278350515464,0.010296010296010296,0.02040816326530612,0.06901408450704226,0.09893048128342247,0.02591792656587473,0.10076670317634173,0.44565217391304346,0.4823529411764706,0.21951219512195122,0.3515881708652793,0.4205607476635514,0.4231974921630094,0.6814814814814815,0.34782608695652173,0.125,0.45614035087719296,0.41245136186770426,0.42452830188679247,25.595865633074933,30.0,66.0,7.0,9.0,4.0,15.0,22.0,42.0,42.0,29.0,51.0,46.0,135.0,2.0,2.0,1.0,2.0,32.0,5.0,0.5686274509803921,0.38016528925619836,0.00516795865633075,0.006230529595015576,0.07228915662650602,0.45454545454545453,0.45454545454545453,0.9333333333333333,0.09,0.7777777777777778,1.0,0.42,0.5238095238095238,0.9090909090909091,0.058365758754863814,0.26666666666666666,0.39622641509433965,0.01282051282051282,,True,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,132539.0,2209,386,4041,3987,1020,781,560,8028,129.0,217.0,34.0,50.0,129.0,332.0,349.0,761.0,227.0,1012,3978,94.0,23.0,114.0,75.0,160.0,118.0,283.0,402.0,296.0,51.0,227.0,273.0,121.0,592.0,12.0,37.0,38.0,136.0,179.0,52.0,231,60.0,41.0,19.0,97.0,73.0,74.0,24.0,171.0,48.0,49.0,174,6.0,274.0,93.0,43.0,7.0,1.0,8.0,5.0,1.0,283.0,1020,21.0,0.5759312320916905,0.5929203539823009,0.45860709592641263,0.46875,0.4667063020214031,0.46089385474860334,0.5176531671858775,0.4669421487603306,0.573170731707317,0.06701708278580815,0.15207373271889402,24.060310044595454,0.5672514619883041,0.08202653799758745,0.023963730569948185,0.09069212410501193,0.030927835051546393,0.08377467501203659,0.025362318840579712,0.032,0.014925373134328358,0.018726591760299626,0.08997429305912596,0.08615819209039548,0.088,0.625,0.25802615933412604,0.5944700460829493,0.7010869565217391,0.5968992248062015,0.3947681331747919,0.3885542168674699,0.3932926829268293,0.6589147286821705,0.3148148148148148,0.27932960893854747,0.35315101070154575,0.45973221957040566,0.4757204545454546,0.4535002824858757,0.10108695652173913,0.11071428571428571,0.11264822134387352,0.27964426877470355,10.374770039421815,0.2524127691165553,14.0,36.0,91.0,212.0,11.0,33.0,8.0,29.0,80.0,38.0,19.0,87.0,20.0,1.0,32.0,11.0,46.0,26.0,20.0,32.0,74.0,3.0,5.0,13.0,29.0,7.0,6.0,14.0,27.0,14.0,1.0,1.0,,4.0,2.0,,,1.0,0.3625,0.3670886075949367,0.40425531914893614,0.4212962962962963,0.09512485136741974,0.0660377358490566,0.012048192771084338,0.05434782608695652,0.02027027027027027,0.02434782608695652,0.05785123966942149,0.07130124777183601,0.09183673469387756,0.03201970443349754,0.2520808561236623,0.42924528301886794,0.4595959595959596,0.42857142857142855,0.039239001189060645,0.3333333333333333,0.34375,1.0,0.4117647058823529,0.5714285714285714,0.72,0.0446927374301676,0.34375,24.927500000000002,18.0,47.0,3.0,11.0,3.0,11.0,2.0,3.0,2.0,5.0,14.0,5.0,,1.0,,,,16.0,,0.35714285714285715,0.2631578947368421,0.0125,0.030303030303030304,0.0558858501783591,0.3829787234042553,0.3829787234042553,1.0,0.10185185185185185,0.2727272727272727,1.0,0.027777777777777776,0.6666666666666666,1.0,0.061452513966480445,0.2727272727272727,0.25,,4.0,True,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,143526.0,2392,387,4342,4314,1078,893,607,8656,175.0,262.0,62.0,67.0,83.0,203.0,334.0,641.0,158.0,943,4283,101.0,19.0,139.0,75.0,149.0,54.0,231.0,412.0,256.0,42.0,161.0,205.0,70.0,454.0,13.0,80.0,47.0,166.0,230.0,99.0,329,46.0,35.0,11.0,70.0,43.0,44.0,27.0,114.0,20.0,76.0,136,6.0,197.0,99.0,12.0,49.0,40.0,52.0,34.0,1.0,231.0,1078,14.0,0.6167664670658682,0.6518987341772152,0.5210608424336973,0.5033557046979866,0.5219414893617021,0.48626373626373626,0.5626491646778043,0.5387596899224806,0.5422535211267606,0.0655226209048362,0.11068702290076336,18.773417471899034,0.6140350877192983,0.09186496956281129,0.04759071980963712,0.10854503464203233,0.030732860520094562,0.09508928571428571,0.04420152091254753,0.03896103896103896,0.05588822355289421,0.0273972602739726,0.07673860911270983,0.10076530612244898,0.10606060606060606,0.6538461538461539,0.3484042553191489,0.6679389312977099,0.7510729613733905,0.6514285714285715,0.2699468085106383,0.4088669950738916,0.41089108910891087,0.6987951807228916,0.5210084033613446,0.36813186813186816,0.49601063829787234,0.48452416777629836,0.50639375,0.4794895604395604,0.1198547215496368,0.13846153846153847,0.1474019088016967,0.2449628844114528,8.194851794071763,0.2482726853984339,36.0,40.0,76.0,176.0,14.0,46.0,14.0,39.0,111.0,51.0,33.0,114.0,36.0,1.0,45.0,14.0,44.0,31.0,13.0,32.0,59.0,6.0,17.0,24.0,13.0,8.0,4.0,14.0,13.0,25.0,3.0,2.0,1.0,6.0,3.0,3.0,1.0,0.9743589743589743,0.35135135135135137,0.35454545454545455,0.504950495049505,0.5042016806722689,0.14760638297872342,0.06818181818181818,0.0049261083743842365,0.16037735849056603,0.037037037037037035,0.0483619344773791,0.03816793893129771,0.09075907590759076,0.10963455149501661,0.0729483282674772,0.23404255319148937,0.4318181818181818,0.4634146341463415,0.4473684210526316,0.061170212765957445,0.30434782608695654,0.30434782608695654,0.9285714285714286,0.5806451612903226,0.25,0.5970149253731343,0.07692307692307693,0.3111111111111111,24.25315315315315,25.0,65.0,2.0,8.0,5.0,19.0,4.0,10.0,4.0,6.0,18.0,9.0,3.0,,1.0,,,,,0.3333333333333333,0.2727272727272727,,,0.08643617021276596,0.38461538461538464,0.38461538461538464,1.0,0.06722689075630252,0.25,1.0,0.08403361344537816,0.4,1.0,0.1043956043956044,0.2631578947368421,0.2857142857142857,,1.0,True,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,27048.0,451,-14,803,827,302,247,123,1630,19.0,43.0,8.0,15.0,8.0,30.0,28.0,83.0,16.0,102,832,12.0,2.0,10.0,9.0,23.0,6.0,33.0,28.0,28.0,10.0,25.0,31.0,12.0,68.0,4.0,13.0,9.0,26.0,35.0,17.0,52,19.0,3.0,16.0,16.0,11.0,9.0,5.0,25.0,12.0,15.0,47,,19.0,6.0,4.0,6.0,3.0,7.0,5.0,,33.0,302,8.0,0.5,0.5185185185185185,0.3373493975903614,0.391304347826087,0.3706896551724138,0.35526315789473684,0.408,0.29411764705882354,0.4024390243902439,0.12048192771084337,0.20930232558139536,15.67398119122257,0.64,0.08150470219435736,0.041401273885350316,0.10714285714285714,0.05,0.08684863523573201,0.04314720812182741,0.04950495049504951,0.047058823529411764,0.06153846153846154,0.02857142857142857,0.10810810810810811,0.09090909090909091,0.7142857142857143,0.3706896551724138,0.4418604651162791,0.5588235294117647,0.2631578947368421,0.25862068965517243,0.26666666666666666,0.26666666666666666,1.0,0.5,0.39473684210526316,0.6551724137931034,0.49743405172413796,0.49481250000000004,0.48876184210526324,0.049586776859504134,0.06818181818181818,0.09803921568627451,0.3235294117647059,8.054216867469881,0.37608966376089664,3.0,7.0,1.0,10.0,5.0,23.0,11.0,10.0,33.0,4.0,15.0,30.0,2.0,,23.0,5.0,6.0,4.0,2.0,6.0,7.0,,,2.0,4.0,1.0,,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,0.30303030303030304,0.30303030303030304,0.3333333333333333,0.25,0.28448275862068967,0.1,,,,0.03125,,0.07920792079207921,0.11290322580645161,0.029411764705882353,0.08620689655172414,0.1,0.1111111111111111,1.0,0.19827586206896552,0.21739130434782608,0.21739130434782608,1.0,0.375,,0.4666666666666667,0.2894736842105263,0.21739130434782608,25.227272727272727,5.0,10.0,,1.0,1.0,4.0,,3.0,2.0,,4.0,3.0,,,2.0,,,,,,0.2,,,0.08620689655172414,0.5,0.5,1.0,0.0625,,,0.1875,,,0.10526315789473684,0.25,0.18181818181818182,,,True,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,61131.0,1019,10,1839,1833,548,406,254,3672,62.0,103.0,30.0,25.0,54.0,117.0,161.0,321.0,59.0,381,1929,51.0,10.0,48.0,42.0,77.0,24.0,108.0,260.0,62.0,19.0,32.0,42.0,16.0,94.0,19.0,69.0,22.0,122.0,170.0,91.0,261,25.0,18.0,7.0,25.0,16.0,28.0,9.0,53.0,12.0,55.0,116,15.0,90.0,39.0,10.0,35.0,22.0,35.0,19.0,4.0,108.0,548,11.0,0.8074534161490683,0.8666666666666667,0.5015576323987538,0.5454545454545454,0.5015576323987538,0.5454545454545454,0.5262430939226519,0.4067796610169492,0.5806451612903226,0.059190031152647975,0.07766990291262135,19.275429633070132,0.4716981132075472,0.17453505007153075,0.10117302052785923,0.12571428571428572,0.11728395061728394,0.16475972540045766,0.10426540284360189,0.10526315789473684,0.10606060606060606,0.13675213675213677,0.1871345029239766,0.17532467532467533,0.1,0.5428571428571428,0.32087227414330216,0.6019417475728155,0.6526315789473685,0.7741935483870968,0.3644859813084112,0.46153846153846156,0.46956521739130436,0.8888888888888888,0.5882352941176471,0.3246753246753247,0.32087227414330216,0.44642866043613694,0.49426808510638287,0.4392441558441559,0.11079545454545454,0.11079545454545454,0.12598425196850394,0.28346456692913385,9.173208722741435,0.29798803697661774,11.0,16.0,45.0,101.0,,,,,,19.0,,,22.0,,,,10.0,7.0,3.0,3.0,13.0,3.0,26.0,2.0,4.0,2.0,7.0,7.0,9.0,8.0,,,,1.0,12.0,4.0,,,,,0.37254901960784315,0.37254901960784315,,0.0891089108910891,0.017094017094017096,0.4406779661016949,0.04225352112676056,0.09523809523809523,0.06666666666666667,0.16363636363636364,0.136,0.014285714285714285,0.3146417445482866,0.44554455445544555,0.4891304347826087,0.7555555555555555,,,,,0.36666666666666664,0.09090909090909091,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,True,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,134890.0,2248,328,4095,4050,947,757,558,8145,128.0,220.0,91.0,47.0,89.0,215.0,339.0,706.0,108.0,969,4033,126.0,25.0,184.0,58.0,143.0,46.0,207.0,420.0,258.0,31.0,93.0,114.0,57.0,249.0,21.0,118.0,81.0,296.0,397.0,141.0,538,54.0,35.0,19.0,67.0,49.0,46.0,18.0,113.0,28.0,120.0,201,11.0,156.0,70.0,14.0,94.0,59.0,94.0,55.0,1.0,207.0,947,18.0,0.6194690265486725,0.7070707070707071,0.4801699716713881,0.40559440559440557,0.47516556291390727,0.4192708333333333,0.4964139344262295,0.5786163522012578,0.4683257918552036,0.043909348441926344,0.07727272727272727,22.8781512605042,0.5929203539823009,0.1764004767580453,0.07463630613535736,0.1937799043062201,0.05185185185185185,0.17986641221374045,0.06998992950654583,0.09055118110236221,0.07006369426751592,0.041379310344827586,0.18947368421052632,0.2013793103448276,0.2,0.5851063829787234,0.24282560706401765,0.5818181818181818,0.6305418719211823,0.609375,0.23730684326710816,0.413953488372093,0.41784037558685444,0.7528089887640449,0.6232876712328768,0.24479166666666666,0.46357615894039733,0.45861882613510524,0.5119666666666667,0.4493843915343915,0.07380457380457381,0.09198423127463863,0.18988648090815274,0.21362229102167182,8.941359773371108,0.23125763125763127,54.0,23.0,122.0,271.0,54.0,158.0,39.0,61.0,200.0,69.0,49.0,174.0,84.0,2.0,156.0,54.0,21.0,13.0,8.0,17.0,19.0,2.0,20.0,20.0,19.0,9.0,2.0,11.0,11.0,15.0,,,,1.0,34.0,2.0,2.0,0.9508196721311475,0.305,0.30808080808080807,0.5476190476190477,0.5445205479452054,0.22075055187637968,0.04428044280442804,0.009302325581395349,0.19801980198019803,0.014084507042253521,0.06478405315614617,0.0782608695652174,0.13612565445026178,0.1909722222222222,0.04291845493562232,0.29911699779249445,0.45018450184501846,0.47104247104247104,0.5327868852459017,0.17439293598233996,0.34177215189873417,0.34177215189873417,0.9444444444444444,0.5934065934065934,0.24074074074074073,0.48936170212765956,0.203125,0.34615384615384615,25.588999999999995,7.0,42.0,,3.0,2.0,10.0,7.0,17.0,13.0,7.0,20.0,15.0,9.0,,,,,,1.0,0.35,0.30612244897959184,,,0.046357615894039736,0.16666666666666666,0.16666666666666666,1.0,0.02054794520547945,,,0.11643835616438356,0.4117647058823529,1.0,0.052083333333333336,0.2,0.3333333333333333,0.004975124378109453,,True,,,
2306,1610612765,Carlos Arroyo,Carlos Arroyo,2306,DET,12602.0,210,-34,391,386,158,137,39,777,9.0,19.0,,5.0,12.0,33.0,23.0,58.0,15.0,61,428,2.0,,,8.0,22.0,9.0,25.0,18.0,28.0,5.0,28.0,39.0,14.0,89.0,,2.0,1.0,12.0,13.0,2.0,15,8.0,6.0,2.0,7.0,5.0,5.0,2.0,12.0,4.0,7.0,23,2.0,22.0,8.0,3.0,,,,,,25.0,158,4.0,0.391304347826087,0.391304347826087,0.39655172413793105,0.36363636363636365,0.38333333333333336,0.3333333333333333,0.4357142857142857,,0.4032258064516129,0.08620689655172414,0.2631578947368421,18.426966292134832,0.5833333333333334,0.08391608391608392,0.014598540145985401,0.02564102564102564,,0.07142857142857142,0.011494252873563218,0.025,,,0.06451612903225806,0.12121212121212122,,,0.31666666666666665,0.47368421052631576,0.6428571428571429,0.3333333333333333,0.55,0.36363636363636365,0.36363636363636365,0.5,,0.20833333333333334,0.35,0.4426341666666666,,0.3918229166666667,0.11940298507462686,0.12307692307692308,,0.4098360655737705,10.879310344827584,0.4040920716112532,,1.0,2.0,6.0,,2.0,2.0,,2.0,,2.0,,,,2.0,,11.0,9.0,2.0,4.0,10.0,,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,0.03333333333333333,,,,,0.014084507042253521,,0.043478260869565216,0.041666666666666664,,0.1,0.3333333333333333,0.3333333333333333,,0.03333333333333333,,,,,,0.2,0.08333333333333333,,26.65,,,,,,,,,,,,,,1.0,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,True,,,
2648,1610612765,Ronald Dupree,Ronald Dupree,2648,DET,10909.0,182,-18,315,325,100,71,41,640,13.0,22.0,9.0,11.0,4.0,15.0,17.0,42.0,11.0,45,350,13.0,3.0,13.0,11.0,19.0,1.0,23.0,30.0,4.0,3.0,5.0,8.0,1.0,19.0,2.0,10.0,2.0,16.0,18.0,12.0,30,4.0,3.0,1.0,6.0,3.0,3.0,3.0,9.0,2.0,15.0,29,3.0,13.0,7.0,,3.0,2.0,3.0,1.0,,23.0,100,3.0,0.8823529411764706,1.0,0.40476190476190477,0.5789473684210527,0.40476190476190477,0.5789473684210527,0.46875,0.4642857142857143,0.6052631578947368,0.07142857142857142,0.045454545454545456,15.281501340482574,0.6666666666666666,0.128,0.08130081300813008,0.058823529411764705,0.07692307692307693,0.11320754716981132,0.08053691275167785,0.10810810810810811,0.13333333333333333,0.08333333333333333,0.13043478260869565,0.15517241379310345,0.125,0.3333333333333333,0.5238095238095238,0.5909090909090909,0.6190476190476191,0.8461538461538461,0.35714285714285715,0.26666666666666666,0.26666666666666666,1.0,0.6923076923076923,0.5789473684210527,0.5238095238095238,0.4919571428571428,0.4676272727272728,0.5006105263157895,0.14583333333333334,0.14583333333333334,0.28888888888888886,0.5111111111111111,7.604761904761905,0.31746031746031744,5.0,9.0,,5.0,,,,,,5.0,,,4.0,,,,3.0,3.0,,2.0,2.0,,,2.0,2.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,0.38461538461538464,0.38461538461538464,,0.4,,,,0.03571428571428571,,0.09090909090909091,0.038461538461538464,0.09523809523809523,0.11904761904761904,,,,,,,,0.5555555555555556,0.6,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
