EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,FTA,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,SecondChanceFG2M,PtsUnassisted2s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,TwoPtAssists,LongMidRangeAssists,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Steals,LostBallSteals,PenaltyTurnovers,ShootingFouls,Fouls,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,LongMidRangeFGM,PtsAssisted2s,OffThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,Arc3Assists,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyFG2A,DefAtRimReboundPct,DeadBallTurnovers,Travels,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyFtPoints,on,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PenaltyFG2M,PtsPutbacks,AtRimAssists,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg2Pct,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,HeaveAttempts,Fg3aBlocked,Blocked3s,BlockedArc3,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Clear Path Fouls
109,1610612759,Robert Horry,Robert Horry,109,SAS,167.0,3,-1.0,4,3,2.0,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,37.5,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4465,0.3803,0.25,2.7,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,426.0,7,6.0,14,13,3.0,27,1.0,,,,4.0,,,2.0,6.0,13,1.0,,2.0,,,,,,,,,,,3.0,,,,,,,,0.5,0.6,,26.31578947368421,,,,,,,0.25,,,,,,0.25,,0.48627499999999996,,0.3333333333333333,8.7,,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.4,0.4,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366,1610612759,Mike Wilks,Mike Wilks,2366,SAS,68.0,1,,2,1,2.0,3,,,,,1.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,33.333333333333336,,,,,,,,,,,,,,,0.4097,,,15.7,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,1610612759,Linton Johnson,Linton Johnson,2669,SAS,914.0,15,5.0,30,30,3.0,60,,,,,1.0,,1.0,,,31,,,,,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,0.5,8.571428571428571,1.0,,,,,,,,,,,,0.5,,0.464975,0.59385,,5.0,23.7,9.0,8.0,,,1.0,,,,,,,,,,,9.0,,,,,,,0.5,,,,,,0.3,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.1875,0.4,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,1610612759,Tony Massenburg,Tony Massenburg,763,SAS,556.0,9,2.0,16,15,3.0,31,,,,,2.0,,,2.0,4.0,21,1.0,2.0,4.0,,,,2.0,3.0,3.0,,,,,2.0,,,,,,,,0.5,0.6666666666666666,,14.285714285714286,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,0.38905,0.393,1.0,17.25,,2.0,,,,,2.0,1.0,1.0,,,,,,,1.0,2.0,0.5,1.0,1.0,1.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.125,,,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,1610612759,Brent Barry,Brent Barry,699,SAS,672.0,11,7.0,23,23,,46,,,3.0,4.0,2.0,3.0,5.0,3.0,14.0,18,,,,6.0,4.0,3.0,,,1.0,,,,,3.0,,,,,0.6666666666666666,0.6,0.6,0.7857142857142857,0.875,0.7142857142857143,30.769230769230766,,,,,,,,0.5714285714285714,0.75,0.75,0.6666666666666666,,0.7142857142857143,0.75,0.4669,,,4.300000000000001,24.880000000000003,5.0,6.0,,1.0,2.0,,1.0,,2.0,1.0,1.0,,3.0,1.0,1.0,5.0,0.5,,,,,,0.2857142857142857,0.5,1.0,,0.14285714285714285,0.5,0.21739130434782608,,,1.0,,,1.0,1.0,1.0,,,,,,0.5,0.5,0.08333333333333333,0.07142857142857142,0.2,,0.14285714285714285,,,,,,,,,,,,,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,0.5,0.75,0.75,1.0,0.5,0.507825,0.21428571428571427,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,1610612759,Beno Udrih,Beno Udrih,2757,SAS,562.0,9,-3.0,18,20,,38,,,,1.0,1.0,1.0,3.0,,3.0,23,,,,3.0,1.0,,,,1.0,,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.375,0.375,0.75,22.22222222222222,,,,,,,,0.25,,,,,0.75,,0.4868125,,,6.2,23.900000000000002,7.0,8.0,,,1.0,,,,,,1.0,,2.0,,,7.0,,,,,,,0.25,,,,,,0.3888888888888889,1.0,1.0,2.0,,,,1.0,1.0,,,,2.0,2.0,,,0.16666666666666666,0.125,,0.5,0.5,,,,,,,,,,,,,,,1.0,2.0,3.0,,,,3.0,0.5,0.75,0.75,,,0.528675,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,358.0,6,3.0,14,15,,29,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,,,,,,,,1.0,1.0,,3.0,,,7.0,,,,,,,,,,,,,0.5,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,1610612759,Rasho Nesterovic,Rasho Nesterovic,1725,SAS,284.0,5,5.0,12,12,,24,,,,,2.0,,,,,5,,,,,,,,,3.0,,,,,,,,,,,,,,,,16.666666666666668,,,,,,,,,,,,,,,0.37744999999999995,,,15.899999999999999,,5.0,6.0,,,1.0,1.0,,,,,,,,,,5.0,,,,,,,0.5,,,0.5,,,0.4166666666666667,,,,,,,3.0,3.0,,,,,,,,0.375,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3807,,,,,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612759,Nazr Mohammed,Nazr Mohammed,1737,SAS,74.0,1,-2.0,2,3,,5,,,,,,,,,,5,,,,,,,,,,,,,1.0,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
