EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,HeaveMakes,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,on,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3
1542,1610612737,Predrag Drobnjak,Predrag Drobnjak,1542,ATL,86281.0,1438,-209,2785,2770,926.0,1051,353.0,5555,80.0,144.0,20.0,36.0,17.0,32.0,33.0,105.0,100.0,223.0,9.0,21.0,3.0,8.0,16.0,50.0,4.0,4.0,12.0,213.0,472.0,25.0,71.0,96.0,597.0,2948,30.0,70.0,4.0,18.0,78.0,54.0,136.0,7.0,20.0,36.0,165.0,312.0,114.0,72.0,3.0,36.0,50.0,16.0,37.0,34.0,15.0,49.0,12.0,3.0,25.0,2.0,7.0,113.0,10.0,58.0,5.0,33.0,117.0,15.0,165.0,73.0,238.0,8.0,42.0,33.0,9.0,38.0,3.0,12.0,40.0,4.0,26.0,2.0,14.0,78.0,7.0,24.0,72.0,138.0,9.0,9.0,120.0,13.0,1.0,58.0,8.0,24.0,19.0,5.0,24.0,18.0,1.0,2.0,4.0,165.0,926.0,20.0,0.7323943661971831,0.8,0.96,0.352112676056338,0.35,0.352112676056338,0.451271186440678,0.42857142857142855,0.39705882352941174,0.4613259668508287,0.40540540540540543,0.41346153846153844,0.5008389261744967,0.4642857142857143,0.4714285714285714,0.13075506445672191,0.07838983050847458,0.1597222222222222,0.10476190476190476,0.013452914798206279,21.05592002499219,0.48717948717948717,0.16129032258064516,0.043859649122807015,0.1239406779661017,0.05365402405180388,0.12692307692307692,0.046296296296296294,0.12458471760797342,0.052428681572860444,0.06596306068601583,0.043478260869565216,0.04962779156327544,0.05333333333333334,0.030303030303030304,0.15384615384615385,0.09881422924901186,0.11609498680738786,0.11979166666666667,0.14705882352941177,0.03018867924528302,0.75,0.26519337016574585,0.5555555555555556,0.6611570247933884,0.5375,0.19337016574585636,0.3142857142857143,0.35106382978723405,0.6060606060606061,0.4106813996316759,0.4484304932735426,0.45454545454545453,0.93,0.03867403314917127,0.42857142857142855,0.42857142857142855,1.0,0.09208103130755065,0.32,0.32,0.9375,0.4864864864864865,0.5555555555555556,0.1,0.05405405405405406,0.20512820512820512,0.53125,0.05128205128205128,0.375,0.07692307692307693,0.3333333333333333,0.39594843462246776,0.32,0.455379373848987,0.48859264705882355,0.43580544871794896,0.09863945578231292,0.11218568665377177,0.1306532663316583,0.27638190954773867,10.252542372881363,25.0112676056338,0.3324955116696589,,,,,,,,,,,,,,,,,,,,,True,,,,
1565,1610612737,Michael Stewart,Michael Stewart,1565,ATL,3384.0,56,-24,115,112,30.0,70,16.0,227,3.0,7.0,3.0,6.0,,1.0,,1.0,,,,,,,,,,,,3.0,8.0,,,3.0,9.0,134,3.0,6.0,,3.0,9.0,,1.0,,,,,,6.0,,,6.0,,,1.0,3.0,,3.0,,,,1.0,2.0,6.0,1.0,8.0,,2.0,5.0,1.0,8.0,9.0,17.0,1.0,2.0,2.0,,,,,2.0,,,,,2.0,,1.0,8.0,16.0,1.0,2.0,4.0,,,2.0,,3.0,2.0,1.0,3.0,2.0,,,,,30.0,4.0,,,,,,,0.375,0.5,,0.375,0.5,,0.45,0.5625,,,0.125,0.14285714285714285,,,8.955223880597014,,0.3333333333333333,,0.15625,0.1509433962264151,0.16666666666666666,0.14285714285714285,0.1590909090909091,0.15,0.2777777777777778,0.06666666666666667,0.1,,0.5,0.13333333333333333,0.2,0.16666666666666666,0.2857142857142857,,0.25,0.6666666666666666,0.875,0.42857142857142855,0.5,,0.125,,,,,,,,,,,,,,,,1.0,0.5,,,1.0,,,,,,0.875,,0.540325,0.5766833333333333,0.5046,0.2,0.2,1.0,,0.5875,,0.2608695652173913,,,,,,,,,,,,,,,,,,,,,True,,,,
1731,1610612737,Tyronn Lue,Tyronn Lue,1731,ATL,24987.0,416,-121,815,808,248.0,313,95.0,1623,25.0,50.0,1.0,3.0,9.0,14.0,10.0,18.0,18.0,46.0,,4.0,,1.0,8.0,22.0,1.0,2.0,7.0,53.0,114.0,8.0,26.0,42.0,172.0,923,3.0,7.0,1.0,3.0,9.0,22.0,41.0,2.0,8.0,26.0,76.0,10.0,96.0,21.0,3.0,,22.0,8.0,9.0,60.0,19.0,79.0,15.0,4.0,23.0,5.0,32.0,177.0,1.0,6.0,,5.0,30.0,,35.0,7.0,42.0,2.0,5.0,4.0,1.0,20.0,2.0,11.0,5.0,,9.0,,,25.0,2.0,6.0,15.0,34.0,,2.0,52.0,3.0,1.0,21.0,6.0,,,,,,,,,76.0,248.0,9.0,0.09433962264150944,0.09433962264150944,0.875,0.3076923076923077,0.25,0.3076923076923077,0.4649122807017544,0.42857142857142855,0.5365853658536586,0.4642857142857143,0.375,0.5102040816326531,0.5213414634146342,0.5,0.59375,0.18571428571428572,0.07894736842105263,0.14,0.1111111111111111,,20.36637931034483,0.8,,,0.10676156583629894,0.018633540372670808,0.07142857142857142,0.0136986301369863,0.09971509971509972,0.017721518987341773,0.023809523809523808,0.012987012987012988,0.01680672268907563,0.02040816326530612,,0.06818181818181818,0.10256410256410256,0.1391304347826087,0.08771929824561403,,0.030303030303030304,,0.35714285714285715,0.5,0.5813953488372093,0.08,0.12857142857142856,0.5555555555555556,0.625,0.1,0.32857142857142857,0.391304347826087,0.391304347826087,0.1111111111111111,0.02857142857142857,,,,0.15714285714285714,0.36363636363636365,0.36363636363636365,0.875,0.375,0.3333333333333333,,0.125,0.2857142857142857,0.6428571428571429,0.02040816326530612,,0.14285714285714285,0.2857142857142857,0.5428571428571428,0.36363636363636365,0.4725821428571429,0.45885,0.4490602040816327,0.13291139240506328,0.1590909090909091,0.05232558139534884,0.4418604651162791,8.600000000000001,25.40384615384615,0.3042944785276074,,,,,,,,,,,,,,,,,,,,,True,,,,
1733,1610612737,Al Harrington,Al Harrington,1733,ATL,51941.0,866,-57,1651,1642,489.0,535,214.0,3293,96.0,143.0,16.0,24.0,25.0,31.0,21.0,75.0,32.0,74.0,1.0,7.0,1.0,3.0,4.0,16.0,3.0,1.0,7.0,149.0,292.0,5.0,23.0,78.0,391.0,1722,24.0,43.0,3.0,10.0,58.0,43.0,80.0,2.0,10.0,40.0,132.0,156.0,142.0,15.0,,26.0,14.0,4.0,25.0,64.0,16.0,80.0,12.0,4.0,28.0,8.0,28.0,176.0,9.0,43.0,,20.0,77.0,12.0,109.0,52.0,161.0,11.0,26.0,16.0,10.0,25.0,7.0,10.0,35.0,2.0,15.0,,7.0,60.0,5.0,14.0,16.0,67.0,8.0,11.0,118.0,8.0,2.0,49.0,13.0,9.0,5.0,3.0,9.0,6.0,,2.0,,132.0,489.0,11.0,0.5234899328859061,0.5735294117647058,1.0,0.21739130434782608,0.2,0.23809523809523808,0.5102739726027398,0.5581395348837209,0.5375,0.49682539682539684,0.5217391304347826,0.5111111111111111,0.5271002710027101,0.5370370370370371,0.5789473684210527,0.07301587301587302,0.08561643835616438,0.09090909090909091,0.13333333333333333,0.02702702702702703,22.425509670674334,0.4166666666666667,0.25,,0.13508771929824562,0.0680379746835443,0.12269938650306748,0.06428571428571428,0.13233287858117326,0.06735751295336788,0.08256880733944955,0.08426966292134831,0.0423728813559322,0.030612244897959183,0.14285714285714285,0.0625,0.1724137931034483,0.17167381974248927,0.13385826771653545,0.08333333333333333,0.0859375,0.6666666666666666,0.45396825396825397,0.6713286713286714,0.7384615384615385,0.5729166666666666,0.23809523809523808,0.28,0.3230769230769231,0.2857142857142857,0.23492063492063492,0.43243243243243246,0.4444444444444444,0.53125,0.022222222222222223,0.14285714285714285,0.14285714285714285,1.0,0.050793650793650794,0.25,0.26666666666666666,1.0,0.5217391304347826,0.6666666666666666,0.0625,0.06521739130434782,0.34444444444444444,0.8064516129032258,0.03333333333333333,0.3333333333333333,0.07777777777777778,0.14285714285714285,0.526984126984127,0.2857142857142857,0.48727475884244364,0.47249375000000005,0.46418238636363635,0.13764044943820225,0.14714714714714713,0.1483375959079284,0.3375959079283887,6.932191780821916,29.500000000000004,0.2961841308298001,2.0,1.0,1.0,0.043478260869565216,0.0625,,,,,,,,,,,,,,,,True,,,,
2764,1610612737,Donta Smith,Donta Smith,2764,ATL,9588.0,160,-43,315,311,126.0,138,33.0,626,11.0,16.0,3.0,5.0,4.0,5.0,4.0,16.0,5.0,10.0,,,,,1.0,5.0,,,,20.0,42.0,1.0,5.0,8.0,51.0,337,3.0,6.0,,2.0,8.0,8.0,17.0,,,3.0,19.0,20.0,20.0,3.0,,6.0,4.0,1.0,2.0,12.0,2.0,14.0,2.0,,6.0,2.0,4.0,30.0,,9.0,,3.0,10.0,1.0,14.0,9.0,23.0,3.0,7.0,3.0,4.0,7.0,2.0,6.0,8.0,1.0,1.0,1.0,,15.0,1.0,4.0,8.0,22.0,,4.0,14.0,,,5.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,,,19.0,126.0,2.0,0.5,0.5882352941176471,1.0,0.2,,0.25,0.47619047619047616,0.5,0.47058823529411764,0.4574468085106383,0.5,0.47058823529411764,0.4722222222222222,0.5,0.475,0.10638297872340426,0.047619047619047616,,0.125,,19.491525423728813,0.4666666666666667,0.058823529411764705,,0.09259259259259259,0.072,0.15,,0.1015625,0.06382978723404255,0.1,0.024390243902439025,0.09090909090909091,,,,0.16129032258064516,0.11363636363636363,,0.5,0.13636363636363635,1.0,0.3404255319148936,0.6875,0.6875,0.45454545454545453,0.3404255319148936,0.25,0.2857142857142857,0.25,0.2127659574468085,0.5,0.5,0.8,,,,,0.10638297872340426,0.2,0.2,1.0,0.8333333333333334,0.6,,,0.29411764705882354,0.8,,,,,0.44680851063829785,0.25,0.4572532608695653,0.52345,0.4357647058823529,0.09615384615384616,0.10638297872340426,0.1568627450980392,0.37254901960784315,7.3357142857142845,28.82,0.4,1.0,,,,,,,,,,,,,,,,,,,,True,,,,
339,1610612737,Tom Gugliotta,Tom Gugliotta,339,ATL,14611.0,244,-112,468,471,167.0,153,48.0,939,4.0,11.0,,,1.0,3.0,4.0,11.0,13.0,25.0,,2.0,,,,2.0,,,2.0,21.0,47.0,,4.0,8.0,50.0,533,3.0,5.0,,3.0,9.0,7.0,14.0,,2.0,5.0,19.0,34.0,8.0,,,,1.0,,4.0,13.0,1.0,14.0,1.0,,11.0,,2.0,29.0,3.0,8.0,,10.0,23.0,3.0,36.0,11.0,47.0,1.0,10.0,2.0,8.0,17.0,3.0,15.0,4.0,,2.0,,,21.0,4.0,8.0,19.0,29.0,1.0,,14.0,,,4.0,3.0,7.0,4.0,3.0,7.0,4.0,,1.0,,19.0,167.0,4.0,0.8095238095238095,0.8095238095238095,,,,,0.44680851063829785,0.6,0.5,0.4117647058823529,0.6,0.4375,0.43103448275862066,0.6428571428571429,0.4523809523809524,0.0784313725490196,0.0851063829787234,0.2727272727272727,,0.04,15.192307692307692,0.8095238095238095,0.15,,0.14556962025316456,0.045454545454545456,0.2702702702702703,0.0967741935483871,0.16923076923076924,0.05314009661835749,,0.047619047619047616,0.07692307692307693,,0.25,0.14285714285714285,0.14,0.1506849315068493,0.3333333333333333,0.1,0.041666666666666664,0.5714285714285714,0.21568627450980393,0.36363636363636365,0.5,0.75,0.21568627450980393,0.36363636363636365,0.36363636363636365,0.75,0.49019607843137253,0.52,0.5416666666666666,0.8461538461538461,0.0392156862745098,,,,0.0392156862745098,,,,,,,,0.1875,0.3333333333333333,,,0.125,,0.29411764705882354,,0.438724,0.403725,0.44912,0.07272727272727272,0.0784313725490196,0.18,0.38,11.991489361702131,28.174999999999997,0.35683760683760685,1.0,,,,,,,,,,,,,,,,,,,,True,,,,
2564,1610612737,Boris Diaw,Boris Diaw,2564,ATL,24187.0,403,-60,773,775,281.0,329,97.0,1548,20.0,32.0,3.0,6.0,6.0,11.0,8.0,15.0,7.0,28.0,3.0,8.0,1.0,4.0,,7.0,,,4.0,35.0,75.0,3.0,15.0,19.0,98.0,831,4.0,8.0,1.0,1.0,9.0,11.0,27.0,1.0,8.0,11.0,36.0,42.0,28.0,9.0,,4.0,6.0,,6.0,55.0,8.0,63.0,6.0,2.0,24.0,12.0,19.0,134.0,6.0,11.0,,6.0,36.0,1.0,43.0,17.0,60.0,2.0,14.0,8.0,6.0,23.0,5.0,19.0,16.0,2.0,4.0,1.0,4.0,39.0,,11.0,19.0,51.0,1.0,2.0,27.0,1.0,,7.0,7.0,5.0,3.0,2.0,5.0,3.0,,,,36.0,281.0,9.0,0.6,0.6363636363636364,1.0,0.2,0.125,0.21428571428571427,0.4666666666666667,0.5,0.4074074074074074,0.4388888888888889,0.4444444444444444,0.35714285714285715,0.47572815533980584,0.45,0.4186046511627907,0.16666666666666666,0.08,0.1875,,,16.099773242630384,0.5897435897435898,0.043478260869565216,,0.13793103448275862,0.039711191335740074,0.08955223880597014,0.09090909090909091,0.12804878048780488,0.04956268221574344,0.022988505747126436,0.05263157894736842,0.043859649122807015,0.10869565217391304,0.05,0.15,0.14705882352941177,0.12389380530973451,0.0625,0.15789473684210525,0.044444444444444446,0.6,0.35555555555555557,0.625,0.7692307692307693,0.6,0.16666666666666666,0.5333333333333333,0.5333333333333333,0.5,0.3111111111111111,0.25,0.25,0.7142857142857143,0.08888888888888889,0.375,0.375,1.0,0.07777777777777778,,,,0.6666666666666666,0.5,,,0.3142857142857143,0.5454545454545454,0.11428571428571428,0.25,0.11428571428571428,,0.5222222222222223,,0.48363033707865155,0.5114357142857143,0.4716485294117647,0.07291666666666667,0.08641975308641975,0.09183673469387756,0.3673469387755102,8.349333333333334,25.233333333333334,0.36351875808538164,1.0,,,,,1.0,0.1111111111111111,,,,,,,,,,,,,,True,,,,
2735,1610612737,Josh Childress,Josh Childress,2735,ATL,50318.0,839,-101,1647,1635,589.0,663,216.0,3282,80.0,141.0,19.0,37.0,21.0,43.0,4.0,15.0,10.0,43.0,2.0,9.0,2.0,6.0,2.0,8.0,1.0,,4.0,94.0,199.0,4.0,17.0,58.0,258.0,1739,19.0,41.0,2.0,2.0,40.0,26.0,59.0,2.0,10.0,36.0,94.0,102.0,86.0,12.0,,30.0,6.0,2.0,26.0,43.0,11.0,54.0,8.0,3.0,21.0,5.0,17.0,119.0,10.0,49.0,,19.0,79.0,10.0,108.0,59.0,167.0,9.0,22.0,18.0,4.0,22.0,4.0,11.0,13.0,,11.0,,1.0,35.0,4.0,8.0,30.0,60.0,2.0,4.0,77.0,6.0,1.0,28.0,13.0,14.0,5.0,8.0,15.0,7.0,1.0,,1.0,94.0,589.0,12.0,0.5425531914893617,0.6455696202531646,1.0,0.23529411764705882,0.2,0.26666666666666666,0.4723618090452261,0.4634146341463415,0.4406779661016949,0.46296296296296297,0.4418604651162791,0.42028985507246375,0.5119521912350598,0.45454545454545453,0.5224719101123596,0.0787037037037037,0.1306532663316583,0.1702127659574468,0.13333333333333333,,15.11627906976744,0.6285714285714286,0.16393442622950818,,0.14337568058076225,0.07608695652173914,0.12337662337662338,0.08547008547008547,0.13900709219858157,0.07752956636005257,0.10256410256410256,0.0718562874251497,0.053497942386831275,0.10126582278481013,0.05263157894736842,0.13068181818181818,0.10884353741496598,0.17543859649122806,0.125,0.11904761904761904,0.10227272727272728,0.4666666666666667,0.6527777777777778,0.5673758865248227,0.6837606837606838,0.5125,0.06944444444444445,0.26666666666666666,0.3076923076923077,0.25,0.19907407407407407,0.23255813953488372,0.23255813953488372,0.9,0.041666666666666664,0.2222222222222222,0.2222222222222222,1.0,0.037037037037037035,0.25,0.25,1.0,0.8604651162790697,0.5135135135135135,0.15789473684210525,0.023255813953488372,0.6231884057971014,0.4883720930232558,0.08695652173913043,0.3333333333333333,0.057971014492753624,,0.7314814814814815,0.3333333333333333,0.5415460093896716,0.5685041666666666,0.5459431818181818,0.11764705882352941,0.12669683257918551,0.15503875968992248,0.3643410852713178,4.685929648241206,27.96470588235294,0.35761991499696416,2.0,,1.0,,,1.0,0.023255813953488372,1.0,1.0,,,,,,,,,,,,True,,,,
2746,1610612737,Josh Smith,Josh Smith,2746,ATL,34749.0,579,-83,1140,1146,383.0,442,146.0,2286,56.0,90.0,19.0,26.0,18.0,31.0,6.0,26.0,14.0,50.0,1.0,4.0,1.0,2.0,,5.0,,,1.0,76.0,166.0,1.0,9.0,53.0,208.0,1155,20.0,31.0,,10.0,50.0,27.0,53.0,1.0,3.0,32.0,89.0,78.0,74.0,3.0,,40.0,5.0,,18.0,34.0,1.0,35.0,1.0,,21.0,2.0,11.0,71.0,5.0,38.0,2.0,17.0,68.0,10.0,95.0,45.0,140.0,7.0,14.0,8.0,6.0,27.0,3.0,19.0,12.0,2.0,8.0,,1.0,39.0,3.0,10.0,30.0,46.0,4.0,2.0,74.0,8.0,,30.0,11.0,42.0,34.0,8.0,42.0,29.0,5.0,,1.0,89.0,383.0,4.0,0.5131578947368421,0.6964285714285714,1.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.4578313253012048,0.6451612903225806,0.5094339622641509,0.44285714285714284,0.6451612903225806,0.5089285714285714,0.5,0.6944444444444444,0.6013513513513513,0.05142857142857143,0.10843373493975904,0.14444444444444443,0.15384615384615385,0.02,18.636363636363637,0.6923076923076923,0.25,0.04,0.163855421686747,0.08425720620842572,0.1559633027522936,0.06097560975609756,0.16221374045801526,0.08067542213883677,0.09883720930232558,0.09243697478991597,0.0625,0.05357142857142857,0.07692307692307693,0.152317880794702,0.15126050420168066,0.18620689655172415,0.1686746987951807,0.11538461538461539,0.0875,0.6904761904761905,0.5142857142857142,0.6222222222222222,0.7272727272727273,0.4642857142857143,0.14857142857142858,0.23076923076923078,0.2727272727272727,0.6666666666666666,0.2857142857142857,0.28,0.2857142857142857,0.6428571428571429,0.022857142857142857,0.25,0.25,1.0,0.02857142857142857,,,,0.8387096774193549,0.7307692307692307,,,0.5535714285714286,0.5806451612903226,0.03571428571428571,0.5,0.017857142857142856,,0.5657142857142857,,0.5053702857142857,0.5249103448275861,0.5052258928571429,0.15228426395939088,0.1595744680851064,0.2403846153846154,0.42788461538461536,6.652409638554216,24.688888888888886,0.33596491228070174,,,,,,,,,,1.0,,,,,,,,,,,True,,,,
960,1610612737,Tony Delk,Tony Delk,960,ATL,31474.0,525,-100,1010,1013,379.0,431,125.0,2023,32.0,57.0,1.0,3.0,10.0,18.0,14.0,33.0,27.0,62.0,2.0,11.0,1.0,2.0,23.0,59.0,9.0,9.0,23.0,73.0,152.0,25.0,70.0,25.0,246.0,1094,5.0,16.0,11.0,,16.0,24.0,56.0,10.0,25.0,11.0,89.0,70.0,76.0,60.0,15.0,,55.0,22.0,9.0,32.0,3.0,35.0,2.0,1.0,12.0,3.0,17.0,73.0,,5.0,,12.0,32.0,1.0,45.0,5.0,50.0,3.0,21.0,15.0,6.0,14.0,1.0,6.0,7.0,,8.0,,4.0,21.0,1.0,8.0,17.0,51.0,3.0,1.0,38.0,3.0,3.0,15.0,1.0,2.0,,2.0,2.0,2.0,,,,89.0,379.0,15.0,0.4794520547945205,0.4794520547945205,0.8,0.35714285714285715,0.4,0.3582089552238806,0.48026315789473684,0.3125,0.42857142857142855,0.49774774774774777,0.2962962962962963,0.48148148148148145,0.5168776371308017,0.2962962962962963,0.5057471264367817,0.3153153153153153,0.05921052631578947,0.05263157894736842,0.12121212121212122,0.03225806451612903,22.24137931034483,0.6666666666666666,0.029411764705882353,,0.09467455621301775,0.013054830287206266,0.125,,0.10138248847926268,0.010351966873706004,0.016,0.025423728813559324,,,,0.07207207207207207,0.14953271028037382,0.06666666666666667,0.07142857142857142,0.2692307692307692,0.02727272727272727,1.0,0.25675675675675674,0.5614035087719298,0.5925925925925926,0.40625,0.14864864864864866,0.42424242424242425,0.4827586206896552,0.2857142857142857,0.27927927927927926,0.43548387096774194,0.45,0.6666666666666666,0.04954954954954955,0.18181818181818182,0.2,1.0,0.26576576576576577,0.3898305084745763,0.3898305084745763,0.782608695652174,0.1111111111111111,0.3333333333333333,,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.024691358024691357,0.5,0.2839506172839506,0.391304347826087,0.5720720720720721,0.4,0.48529315068493145,0.45188478260869563,0.45193910256410263,0.07203389830508475,0.09146341463414634,0.06504065040650407,0.3617886178861789,9.292763157894736,26.05285714285714,0.37524752475247525,3.0,1.0,,0.014285714285714285,,2.0,0.07407407407407407,,,,2.0,2.0,1.0,1.0,2.0,0.18181818181818182,0.09090909090909091,0.2222222222222222,1.0,0.027777777777777776,True,,,,
