EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,Travels,SecondChanceTurnovers,Defensive 3 Seconds Violations,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceFtPoints,FTOffRebounds,StepOutOfBoundsTurnovers,Loose Ball Fouls,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,OffArc3ReboundPct,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,on,Clear Path Fouls,OffensiveGoaltends,Arc3PctBlocked
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,13773.0,230,2,439,450,134,202,58.0,889,9.0,15,1.0,1,1.0,1.0,9.0,27.0,5.0,1.0,2.0,14.0,44.0,1.0,2.0,3.0,14.0,19,43,14.0,49.0,16,96,464,1.0,2.0,1.0,3.0,5.0,2,7,3.0,16.0,11,24,2.0,36.0,18.0,24.0,2.0,42.0,14.0,40.0,12.0,52.0,6.0,6.0,23.0,7.0,10.0,116.0,5.0,5.0,5,1.0,11,5.0,16,1.0,13.0,10.0,3.0,9.0,2.0,8.0,4.0,1.0,1.0,13.0,4.0,5.0,16.0,1.0,20,1.0,7.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,24,134,6.0,0.05263157894736842,0.05263157894736842,0.42857142857142855,0.2857142857142857,0.3333333333333333,0.1875,0.2978723404255319,0.4418604651162791,0.5,0.2857142857142857,0.43478260869565216,0.5,0.2826086956521739,0.4642857142857143,0.5,0.39655172413793105,0.532608695652174,21.807465618860512,0.6923076923076923,0.05555555555555555,0.034722222222222224,0.03125,0.1,0.05154639175257732,0.0228310502283105,0.04838709677419355,0.021739130434782608,0.019230769230769232,0.06,0.046511627906976744,0.058823529411764705,0.1875,0.017857142857142856,0.5,0.16304347826086957,0.6,0.6,0.1111111111111111,0.010869565217391304,1.0,1.0,0.29347826086956524,0.3333333333333333,0.3333333333333333,0.05434782608695652,0.4782608695652174,0.3181818181818182,0.3181818181818182,0.42857142857142855,0.2,0.2,0.4,0.5,0.043478260869565216,0.08695652173913043,0.6086956521739131,0.21428571428571427,0.6956521739130435,0.3333333333333333,0.5170033333333333,0.5193,0.4616952380952382,0.042105263157894736,0.08695652173913043,0.052083333333333336,0.25,12.269767441860466,26.36122448979592,0.3052391799544419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1719,1610612763,Bonzi Wells,Bonzi Wells,1719,MEM,10431.0,174,-41,307,311,101,156,42.0,618,16.0,27,5.0,4,5.0,13.0,10.0,24.0,5.0,,1.0,,,,,,,31,64,1.0,5.0,19,84,340,6.0,10.0,,,12.0,9,13,,1.0,9,27,52.0,10.0,3.0,,,,,7.0,3.0,10.0,2.0,1.0,5.0,1.0,1.0,23.0,2.0,6.0,18,3.0,27,3.0,30,1.0,9.0,5.0,4.0,7.0,,2.0,6.0,3.0,5.0,13.0,6.0,4.0,14.0,1.0,26,2.0,,10.0,4.0,7.0,6.0,1.0,7.0,5.0,27,101,1.0,0.8387096774193549,0.8666666666666667,1.0,0.2,,,0.2,0.484375,0.6,0.6923076923076923,0.47101449275362317,0.6,0.6428571428571429,0.5185185185185185,0.6,0.7105263157894737,0.07246376811594203,26.40449438202247,0.5384615384615384,0.25,0.17307692307692307,0.01652892561983471,0.21428571428571427,0.18181818181818182,0.0196078431372549,0.0196078431372549,,0.024390243902439025,0.13043478260869565,0.19230769230769232,0.2,0.25,0.03125,0.7142857142857143,0.391304347826087,0.5925925925925926,0.64,0.75,0.18840579710144928,0.38461538461538464,0.45454545454545453,0.34782608695652173,0.4166666666666667,0.4166666666666667,0.07246376811594203,,,,,0.5,,,,0.2857142857142857,0.07142857142857142,,,0.463768115942029,,0.47128840579710146,0.43335555555555555,0.4606357142857143,0.12987012987012986,0.1388888888888889,0.14285714285714285,0.32142857142857145,8.9109375,23.380000000000003,0.3289902280130293,4.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0625,0.07407407407407407,0.15384615384615385,0.03125,0.05,0.21875,0.8,1.0,0.2,0.2,1.0,0.8,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,21258.0,354,32,661,668,250,272,74.0,1329,41.0,65,19.0,24,10.0,40.0,12.0,37.0,1.0,1.0,,,,,,,,63,142,,1.0,43,169,681,12.0,28.0,,1.0,28.0,22,53,,,19,63,82.0,44.0,,,,,,12.0,5.0,17.0,,5.0,6.0,3.0,3.0,39.0,23.0,13.0,34,4.0,51,29.0,80,6.0,14.0,11.0,3.0,13.0,2.0,7.0,12.0,2.0,6.0,25.0,10.0,26.0,49.0,5.0,54,4.0,,25.0,4.0,23.0,10.0,10.0,26.0,14.0,63,250,5.0,0.6507936507936508,0.7454545454545455,,,,,,0.44366197183098594,0.42857142857142855,0.41509433962264153,0.4405594405594406,0.41379310344827586,0.41509433962264153,0.5029761904761905,0.45161290322580644,0.5080645161290323,0.006993006993006993,25.733333333333334,0.52,0.19047619047619047,0.1459227467811159,0.1031390134529148,0.19696969696969696,0.15719063545150502,0.09688581314878893,0.14285714285714285,0.1,0.06976744186046512,0.12048192771084337,0.15254237288135594,0.17391304347826086,0.25,0.09090909090909091,0.5384615384615384,0.45454545454545453,0.6307692307692307,0.7192982456140351,0.6585365853658537,0.27972027972027974,0.25,0.29411764705882354,0.25874125874125875,0.32432432432432434,0.32432432432432434,0.006993006993006993,,,,,0.6551724137931034,0.034482758620689655,,,0.4528301886792453,,,,0.46153846153846156,,0.4843706293706293,0.4915320000000001,0.4743283018867924,0.1524390243902439,0.15337423312883436,0.16568047337278108,0.3727810650887574,6.576760563380283,22.8,0.37821482602118,9.0,15.0,,16.0,14.0,5.0,1.0,2.0,,0.09859154929577464,0.12307692307692308,0.15,0.07575757575757576,0.10344827586206896,0.16483516483516483,0.5,0.75,,,,0.47368421052631576,0.1111111111111111,0.625,4.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,0.037037037037037035,0.05405405405405406,,,,,,,,,,,,,,True,,,
2073,1610612763,Brian Cardinal,Brian Cardinal,2073,MEM,15466.0,258,17,484,494,191,235,52.0,978,5.0,13,4.0,4,4.0,14.0,7.0,18.0,6.0,1.0,2.0,2.0,5.0,,,,2.0,16,45,4.0,11.0,36,80,501,2.0,10.0,,1.0,11.0,5,20,1.0,4.0,14,27,20.0,12.0,12.0,,2.0,3.0,2.0,11.0,2.0,13.0,1.0,1.0,5.0,3.0,3.0,28.0,7.0,4.0,22,7.0,33,14.0,47,1.0,11.0,3.0,8.0,4.0,2.0,3.0,5.0,1.0,1.0,9.0,1.0,18.0,34.0,1.0,43,,2.0,15.0,4.0,5.0,5.0,,5.0,3.0,27,191,6.0,0.625,0.6666666666666666,1.0,0.36363636363636365,,0.25,0.4444444444444444,0.35555555555555557,0.2,0.25,0.39285714285714285,0.18181818181818182,0.2708333333333333,0.5131578947368421,0.36666666666666664,0.4090909090909091,0.19642857142857142,15.74074074074074,0.4444444444444444,0.30434782608695654,0.13253012048192772,0.04516129032258064,0.06666666666666667,0.11504424778761062,0.06862745098039216,0.030303030303030304,0.05128205128205128,0.06,0.14492753623188406,0.15,0.08333333333333333,0.041666666666666664,0.037037037037037035,0.6,0.23214285714285715,0.38461538461538464,0.7142857142857143,0.4,0.25,0.2857142857142857,0.3076923076923077,0.32142857142857145,0.3888888888888889,0.3888888888888889,0.10714285714285714,0.08928571428571429,0.4,0.4,1.0,0.36363636363636365,0.09090909090909091,,,0.16666666666666666,0.08333333333333333,0.08333333333333333,,0.42857142857142855,0.6666666666666666,0.45729259259259253,0.4254833333333333,0.4230136363636363,0.2222222222222222,0.25,0.1375,0.3375,9.76222222222222,30.072727272727274,0.39462809917355374,2.0,1.0,2.0,2.0,7.0,7.0,,,,0.15555555555555556,0.46153846153846156,0.07142857142857142,0.14285714285714285,0.23076923076923078,0.10526315789473684,0.5,0.8571428571428571,0.3333333333333333,0.3333333333333333,1.0,0.5,,0.25,7.0,,1.0,1.0,,,,,,,,0.043478260869565216,1.0,1.0,0.5,0.08333333333333333,,,,,,,,,,True,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,38616.0,644,-14,1193,1216,455,567,151.0,2409,30.0,60,7.0,30,9.0,18.0,21.0,52.0,53.0,5.0,21.0,,7.0,,1.0,,5.0,60,130,23.0,60.0,44,233,1250,9.0,14.0,2.0,6.0,25.0,31,62,8.0,26.0,19,105,60.0,60.0,69.0,,,7.0,,16.0,5.0,21.0,4.0,1.0,10.0,1.0,5.0,47.0,9.0,12.0,45,1.0,58,11.0,69,3.0,13.0,5.0,8.0,11.0,2.0,7.0,18.0,1.0,4.0,29.0,10.0,34.0,81.0,7.0,64,4.0,,28.0,4.0,11.0,9.0,1.0,11.0,2.0,105,455,16.0,0.5,0.5263157894736842,1.0,0.38333333333333336,0.3333333333333333,0.3076923076923077,0.38333333333333336,0.46153846153846156,0.6428571428571429,0.5,0.49736842105263157,0.6,0.48863636363636365,0.5319634703196348,0.5952380952380952,0.5303030303030303,0.3157894736842105,18.062636562272395,0.3793103448275862,0.022727272727272728,0.1056338028169014,0.02127659574468085,0.09448818897637795,0.10307414104882459,0.0196078431372549,0.029585798816568046,0.028037383177570093,0.006802721088435374,0.07792207792207792,0.1016949152542373,0.11904761904761904,0.046511627906976744,0.031914893617021274,0.18181818181818182,0.3157894736842105,0.5,0.5882352941176471,0.43333333333333335,0.09473684210526316,0.5,0.5625,0.2736842105263158,0.40384615384615385,0.4117647058823529,0.2789473684210526,0.03684210526315789,,,,0.35,0.25,0.05,,0.3409090909090909,0.23863636363636365,0.056818181818181816,,0.631578947368421,,0.5099821052631579,0.49180624999999994,0.5109727272727274,0.13953488372093023,0.18181818181818182,0.1072961373390558,0.45064377682403434,8.92,23.37333333333333,0.38139145012573344,3.0,18.0,23.0,6.0,12.0,2.0,3.0,2.0,,0.09230769230769231,0.15,0.1111111111111111,0.014492753623188406,,0.13636363636363635,0.4444444444444444,0.6190476190476191,0.4339622641509434,0.4339622641509434,1.0,0.42857142857142855,,0.6,1.0,,4.0,6.0,,,,1.0,,,,0.025974025974025976,8.0,2.0,0.38095238095238093,0.03278688524590164,2.0,1.0,0.019230769230769232,0.4,1.0,,,,,True,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,7769.0,129,-4,240,245,78,142,31.0,485,13.0,22,4.0,5,9.0,20.0,2.0,4.0,,,,,1.0,,,,,24,46,,1.0,25,73,254,4.0,5.0,,,9.0,3,11,,,12,18,28.0,20.0,,,,1.0,,7.0,4.0,11.0,3.0,1.0,4.0,,3.0,26.0,5.0,3.0,13,3.0,19,7.0,26,,1.0,,1.0,4.0,1.0,3.0,3.0,1.0,1.0,7.0,3.0,5.0,9.0,,33,5.0,,15.0,4.0,9.0,6.0,3.0,9.0,5.0,18,78,3.0,0.5833333333333334,0.6666666666666666,,,,,,0.5217391304347826,0.8,0.2727272727272727,0.5106382978723404,0.8,0.2727272727272727,0.5983606557377049,0.75,0.45,0.02127659574468085,24.372759856630825,0.5714285714285714,0.42857142857142855,0.14130434782608695,0.05555555555555555,0.13043478260869565,0.1391304347826087,0.05084745762711865,0.07692307692307693,,0.07142857142857142,0.125,0.125,0.058823529411764705,0.3333333333333333,,0.5555555555555556,0.46808510638297873,0.5909090909090909,0.65,0.5384615384615384,0.425531914893617,0.45,0.5,0.0851063829787234,0.5,0.5,,0.02127659574468085,,,,0.8,,,,0.45454545454545453,,,,0.48936170212765956,,0.47075,0.55995,0.43334545454545453,0.2631578947368421,0.26785714285714285,0.1232876712328767,0.2465753424657534,4.584782608695653,25.0,0.325,3.0,2.0,,6.0,4.0,1.0,,,,0.08695652173913043,0.09090909090909091,0.1,0.03571428571428571,0.1111111111111111,0.17857142857142858,0.6666666666666666,0.5,,,,0.75,,0.4,1.0,1.0,,3.0,,,,,,1.0,0.14285714285714285,,,,,,,,,,,,,,,True,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,17156.0,286,4,526,533,169,178,72.0,1059,10.0,22,7.0,5,6.0,19.0,2.0,10.0,10.0,2.0,3.0,9.0,19.0,4.0,4.0,3.0,6.0,18,51,14.0,29.0,16,94,541,5.0,13.0,5.0,6.0,29.0,4,12,4.0,9.0,8,28,16.0,20.0,42.0,,,19.0,9.0,14.0,7.0,21.0,4.0,3.0,4.0,1.0,9.0,49.0,12.0,3.0,17,2.0,22,17.0,39,3.0,10.0,6.0,4.0,5.0,,2.0,5.0,,3.0,10.0,4.0,8.0,19.0,3.0,25,1.0,,7.0,6.0,11.0,10.0,1.0,11.0,8.0,28,169,1.0,0.4444444444444444,0.5,1.0,0.4827586206896552,0.8333333333333334,0.4444444444444444,0.4827586206896552,0.35294117647058826,0.38461538461538464,0.3333333333333333,0.4875,0.6578947368421053,0.47619047619047616,0.5108695652173914,0.6904761904761905,0.4827586206896552,0.3625,16.721311475409838,0.5,0.13333333333333333,0.0918918918918919,0.061855670103092786,0.05,0.08163265306122448,0.057034220532319393,0.04,0.061224489795918366,0.08571428571428572,0.08196721311475409,0.11320754716981132,0.046511627906976744,0.058823529411764705,0.07142857142857142,0.7272727272727273,0.275,0.45454545454545453,0.5263157894736842,0.4,0.2375,0.3157894736842105,0.375,0.125,0.2,0.2,0.125,0.2375,0.47368421052631576,0.47368421052631576,1.0,0.3684210526315789,0.10526315789473684,0.21052631578947367,1.0,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.5,0.6375,0.47368421052631576,0.502675,0.5479178571428572,0.49829285714285704,0.08139534883720931,0.12280701754385964,0.30851063829787234,0.2978723404255319,7.105882352941176,24.19655172413793,0.32129277566539927,3.0,1.0,5.0,4.0,6.0,3.0,,2.0,,0.11764705882352941,0.13636363636363635,0.15789473684210525,0.043478260869565216,0.03333333333333333,0.08450704225352113,0.5,0.5,0.5,0.5,1.0,0.42857142857142855,0.3333333333333333,0.2,4.0,2.0,2.0,,,,,,1.0,,0.1,0.05128205128205128,1.0,,0.3333333333333333,,1.0,,,0.5,1.0,1.0,,,,True,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,15827.0,264,-31,483,487,130,166,57.0,970,15.0,32,14.0,9,7.0,18.0,12.0,21.0,,,,,1.0,,,,1.0,34,71,,1.0,11,79,513,6.0,15.0,,,12.0,9,17,,1.0,3,21,54.0,14.0,,,,1.0,,7.0,3.0,10.0,1.0,2.0,5.0,2.0,,23.0,18.0,7.0,36,6.0,49,26.0,75,,8.0,5.0,3.0,5.0,1.0,4.0,5.0,,1.0,10.0,2.0,9.0,24.0,3.0,17,1.0,,9.0,,7.0,5.0,2.0,7.0,4.0,21,130,4.0,0.7941176470588235,0.9310344827586207,,,,,,0.4788732394366197,0.4,0.5294117647058824,0.4722222222222222,0.4,0.5,0.49375,0.375,0.5,0.013888888888888888,16.33393829401089,0.5,0.35294117647058826,0.21428571428571427,0.10112359550561797,0.14583333333333334,0.19907407407407407,0.100418410041841,0.12162162162162163,0.1,0.07407407407407407,0.24074074074074073,0.11538461538461539,0.17142857142857143,0.07692307692307693,,0.5714285714285714,0.4444444444444444,0.46875,0.5555555555555556,0.6666666666666666,0.25,0.3888888888888889,0.3888888888888889,0.2916666666666667,0.5714285714285714,0.6,,0.013888888888888888,,,,0.9333333333333333,,,,0.5,,0.05555555555555555,,0.4583333333333333,,0.47422083333333337,0.5332538461538461,0.4774611111111111,0.1125,0.11392405063291139,0.1518987341772152,0.26582278481012656,7.533802816901409,24.5,0.2691511387163561,5.0,4.0,,10.0,6.0,6.0,1.0,1.0,,0.08450704225352113,0.15625,,0.09836065573770492,0.1111111111111111,0.27419354838709675,0.7142857142857143,1.0,,,,0.35714285714285715,,0.4444444444444444,,2.0,,3.0,,,,,,,0.10526315789473684,0.08823529411764706,,,,,,,0.047619047619047616,,,,,,,True,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,13001.0,217,27,418,436,208,261,46.0,854,11.0,19,3.0,5,2.0,3.0,9.0,19.0,3.0,,3.0,8.0,23.0,1.0,4.0,1.0,6.0,22,41,10.0,26.0,14,88,421,2.0,3.0,1.0,4.0,7.0,7,12,3.0,9.0,10,33,28.0,16.0,27.0,3.0,,23.0,8.0,12.0,5.0,17.0,2.0,3.0,2.0,1.0,9.0,39.0,3.0,6.0,21,3.0,30,5.0,35,1.0,7.0,4.0,3.0,5.0,2.0,5.0,8.0,1.0,,13.0,6.0,7.0,28.0,4.0,21,3.0,,8.0,4.0,3.0,3.0,,3.0,,33,208,8.0,0.6363636363636364,0.7,0.9,0.38461538461538464,0.25,0.3333333333333333,0.38461538461538464,0.5365853658536586,0.6666666666666666,0.5833333333333334,0.5522388059701493,0.5,0.5476190476190477,0.5789473684210527,0.5,0.6111111111111112,0.3880597014925373,18.658280922431867,0.38461538461538464,0.15,0.12138728323699421,0.0234375,0.14285714285714285,0.12558139534883722,0.027932960893854747,0.04,0.030303030303030304,,0.08196721311475409,0.09615384615384616,0.08695652173913043,0.21052631578947367,0.03333333333333333,,0.2835820895522388,0.5789473684210527,0.6875,0.6363636363636364,0.04477611940298507,0.6666666666666666,0.6666666666666666,0.2835820895522388,0.47368421052631576,0.5,0.04477611940298507,0.34328358208955223,0.34782608695652173,0.34782608695652173,0.875,0.42857142857142855,,0.5714285714285714,0.25,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.16666666666666666,0.6716417910447762,0.34782608695652173,0.512919696969697,0.5333600000000001,0.52173,0.1111111111111111,0.17391304347826086,0.07954545454545454,0.375,9.778048780487804,25.819230769230767,0.49760765550239233,2.0,3.0,2.0,4.0,4.0,2.0,1.0,,,0.0975609756097561,0.15789473684210525,,0.0392156862745098,,0.18333333333333332,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,0.6,,,,5.0,,,,,,,,0.05714285714285714,2.0,,0.6666666666666666,,,,0.05263157894736842,,,,,,,True,,,
2248,1610612763,Earl Watson,Earl Watson,2248,MEM,21511.0,359,-21,652,663,258,308,79.0,1315,18.0,42,1.0,19,5.0,9.0,13.0,26.0,5.0,1.0,,8.0,26.0,,1.0,1.0,7.0,36,77,8.0,31.0,24,120,689,1.0,2.0,,2.0,3.0,15,31,1.0,7.0,9,42,16.0,56.0,18.0,6.0,1.0,25.0,8.0,62.0,18.0,80.0,8.0,10.0,27.0,16.0,19.0,178.0,4.0,7.0,16,,23,5.0,28,1.0,14.0,9.0,5.0,15.0,3.0,9.0,7.0,1.0,6.0,22.0,7.0,18.0,41.0,2.0,34,4.0,1.0,15.0,2.0,2.0,1.0,,4.0,,42,258,7.0,0.2222222222222222,0.2222222222222222,0.75,0.25806451612903225,,0.14285714285714285,0.26666666666666666,0.4675324675324675,0.5,0.4838709677419355,0.4444444444444444,0.25,0.4342105263157895,0.48770491803278687,0.25,0.47674418604651164,0.28703703703703703,19.328859060402685,0.6818181818181818,,0.0642570281124498,0.017937219730941704,0.1111111111111111,0.07371794871794872,0.017064846416382253,0.021739130434782608,0.019230769230769232,0.012658227848101266,0.04597701149425287,0.056338028169014086,0.11627906976744186,0.1,0.0196078431372549,,0.3888888888888889,0.42857142857142855,0.5294117647058824,0.16666666666666666,0.08333333333333333,0.5555555555555556,0.5555555555555556,0.24074074074074073,0.5,0.52,0.046296296296296294,0.24074074074074073,0.3076923076923077,0.3076923076923077,0.75,0.25,0.25,0.25,,0.5,,0.18421052631578946,0.14285714285714285,0.6759259259259259,0.32,0.5063163551401869,0.5085,0.5095540540540541,0.13333333333333333,0.17045454545454544,0.025,0.35,7.4935064935064934,25.364516129032257,0.39570552147239263,,9.0,,,9.0,1.0,,,,0.11688311688311688,0.19047619047619047,,0.014285714285714285,0.02702702702702703,0.08791208791208792,0.4,0.23076923076923078,,,,,,0.47368421052631576,1.0,,,1.0,2.0,2.0,,1.0,,,,,,1.0,,0.03125,,,0.038461538461538464,,,,1.0,0.03225806451612903,0.2,True,,,
