EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,Corner3Assists,ShortMidRangeAssists,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,AtRimFGM,Corner3FGA,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,3SecondViolations,DefAtRimReboundPct,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,Corner3FGM,SecondChanceFG2A,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,on,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,SelfOReb,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,SecondChanceArc3Frequency,Clear Path Fouls,BlockedArc3,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Travels,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,HeaveMakes,HeaveAttempts,StepOutOfBoundsTurnovers,OffensiveGoaltends,SecondChanceCorner3FGM,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct
120,1610612748,Steven Smith,Steven Smith,120,MIA,733.0,12,-2.0,26,25,9.0,11,51,1.0,1.0,1.0,1.0,1.0,1.0,2.0,24,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,0.5,0.5,0.5,7.692307692307692,0.09090909090909091,0.07692307692307693,0.14285714285714285,0.5,1.0,1.0,1.0,0.5,0.5,0.44955,16.6,25.1,0.34615384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,1610612748,Michael Doleac,Michael Doleac,1720,MIA,1336.0,22,-9.0,45,45,15.0,16,90,,4.0,,2.0,7.0,,6.0,48,4.0,,3.0,,3.0,,1.0,6.0,4.0,7.0,9.0,1.0,2.0,15.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.375,,16.666666666666668,0.19047619047619047,0.25,0.25,0.5714285714285714,,,,,0.14285714285714285,0.411,13.857142857142858,,0.3333333333333333,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,0.14285714285714285,0.6666666666666666,0.11764705882352941,0.3333333333333333,0.125,0.3333333333333333,0.5,1.0,0.14285714285714285,0.2857142857142857,1.0,1.0,1.0,0.3813,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612748,Keyon Dooling,Keyon Dooling,2039,MIA,1584.0,26,-7.0,54,52,17.0,17,106,1.0,2.0,2.0,3.0,4.0,2.0,11.0,55,,2.0,2.0,1.0,3.0,,1.0,7.0,1.0,1.0,1.0,1.0,2.0,17.0,,,0.75,0.75,0.7857142857142857,0.3333333333333333,17.54385964912281,0.041666666666666664,0.03571428571428571,0.06666666666666667,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.3333333333333333,0.4120083333333333,15.399999999999999,24.6,0.3148148148148148,3.0,,2.0,2.0,2.0,1.0,,2.0,,,,,,1.0,,2.0,1.0,2.0,0.5,,,,,,,,,,,0.3333333333333333,1.0,1.0,,0.37795,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,1610612748,Dorell Wright,Dorell Wright,2748,MIA,1664.0,28,-7.0,57,55,17.0,20,112,,3.0,3.0,3.0,7.0,4.0,7.0,57,4.0,3.0,3.0,,3.0,,,6.0,1.0,1.0,1.0,1.0,2.0,17.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.2727272727272727,0.3181818181818182,0.36363636363636365,23.333333333333336,0.04,0.034482758620689655,0.0625,0.2727272727272727,,,,0.2727272727272727,0.5454545454545454,0.4515590909090909,9.957142857142857,25.049999999999997,0.2982456140350877,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,4.0,3.0,1.0,,1.0,0.16666666666666666,,,,,,,,,,0.18181818181818182,0.18181818181818182,0.5,0.5,,0.37995,0.14285714285714285,,2.0,,,2.0,2.0,,,,1.0,1.0,2.0,1.0,3.0,,,,,,,,0.6666666666666666,,,,0.6666666666666666,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1610612748,Christian Laettner,Christian Laettner,363,MIA,1199.0,20,-1.0,40,40,9.0,12,80,3.0,3.0,,4.0,4.0,,10.0,36,6.0,,1.0,,1.0,,,2.0,4.0,4.0,4.0,1.0,2.0,9.0,0.75,0.75,1.0,1.0,1.0,,25.0,0.19047619047619047,0.17391304347826086,0.13333333333333333,0.75,1.0,1.0,0.6666666666666666,,0.25,0.443225,14.549999999999999,,0.225,,1.0,,,2.0,2.0,2.0,6.0,1.0,,,,,2.0,2.0,2.0,1.0,6.0,1.0,,,,,,,,,,0.25,,,,,0.38105,0.6,,,,2.0,,2.0,,,,,,2.0,,5.0,,1.0,,,,1.0,1.0,0.4,,,,,,1.0,,2.0,3.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,1610612748,Damon Jones,Damon Jones,1800,MIA,80.0,1,,3,3,,3,6,,,1.0,,,1.0,,2,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,33.333333333333336,,,,,,,,1.0,1.0,0.4674,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,1610612748,Alonzo Mourning,Alonzo Mourning,297,MIA,295.0,5,2.0,10,9,,3,19,,,,,,,1.0,7,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,0.25,,20.0,0.25,0.2,0.25,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,1610612748,Rasual Butler,Rasual Butler,2446,MIA,931.0,16,-5.0,31,30,8.0,9,61,1.0,2.0,,1.0,6.0,1.0,5.0,33,2.0,,1.0,,1.0,,,2.0,,,1.0,2.0,2.0,8.0,1.0,1.0,0.16666666666666666,0.35714285714285715,0.35714285714285715,0.14285714285714285,20.588235294117645,,,,0.2857142857142857,0.5,0.5,1.0,,0.42857142857142855,0.44788571428571433,9.700000000000001,22.7,0.25806451612903225,3.0,2.0,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,0.08333333333333333,,0.06666666666666667,,,,,,0.2857142857142857,0.2857142857142857,,,,,,,,1.0,,,,3.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,0.14285714285714285,,,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,0.4522,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,465.0,8,-6.0,17,15,8.0,8,32,,,,3.0,3.0,,6.0,21,6.0,,,,,,,,,,,,1.0,8.0,1.0,1.0,1.0,1.0,1.0,,20.0,,,,,,,,,1.0,0.5874666666666667,,,0.47058823529411764,3.0,3.0,,,,1.0,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,0.4604,0.3333333333333333,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,0.4604,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,1610612748,Wang Zhi-zhi,Wang Zhi-zhi,1917,MIA,33.0,1,,2,1,2.0,1,3,,,,1.0,1.0,,2.0,2,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,50.0,,,,,,,,,,0.299,7.7,,1.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,0.299,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
