EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Arc3FGA,FG3A,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,FG3APct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,FG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,FTDefRebounds,Loose Ball Fouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3A,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,PenaltyArc3Frequency,Travels,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,on,LostBallTurnovers,Offensive Fouls,OffensiveGoaltends,ShortMidRangePctBlocked,OffCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,SecondChanceCorner3FGM,Clear Path Fouls,FoulsDrawn,Offensive Fouls Drawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
1519,1610612750,John Thomas,John Thomas,1519,MIN,2303.0,38,21.0,70,69,30.0,4,13,139,3.0,7.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,4.0,11,6.0,14.0,58,3.0,4.0,6.0,1.0,7.0,4.0,6.0,2.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,6.0,10.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,6.0,30.0,0.25,0.5,0.36363636363636365,0.75,0.14285714285714285,0.36363636363636365,0.75,0.14285714285714285,0.5,0.75,0.3333333333333333,16.47058823529412,0.5,0.0625,0.10714285714285714,0.2,0.1111111111111111,0.09523809523809523,0.10810810810810811,0.3333333333333333,0.125,0.25,0.25,0.16666666666666666,0.2857142857142857,1.0,0.6363636363636364,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.18181818181818182,0.5,0.5,0.18181818181818182,0.75,0.6666666666666666,0.5714285714285714,0.25,0.6363636363636364,0.47368181818181815,0.48225,0.4743714285714286,0.15384615384615385,0.15384615384615385,0.42857142857142855,0.42857142857142855,4.8545454545454545,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,1610612750,Anthony Carter,Anthony Carter,1853,MIN,3131.0,52,14.0,97,96,34.0,11,19,193,6.0,9.0,,,3.0,4.0,1.0,1.0,7.0,8.0,17,5.0,21.0,93,,1.0,,5.0,8.0,1.0,11.0,6.0,10.0,,8.0,10.0,2.0,22.0,,2.0,,1.0,3.0,4.0,2.0,6.0,1.0,3.0,7.0,4.0,,1.0,1.0,,1.0,1.0,11.0,34.0,0.375,0.375,0.47058823529411764,,0.625,0.4444444444444444,,0.625,0.5,,0.6111111111111112,20.168067226890756,,0.08108108108108109,0.047619047619047616,0.07692307692307693,,0.08,0.0392156862745098,,,,0.16666666666666666,,0.1,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.05555555555555555,1.0,1.0,0.3888888888888889,,,0.5,0.75,0.5555555555555556,0.514588888888889,0.4216,0.48162499999999997,0.19047619047619047,0.2,,0.5238095238095238,8.405882352941177,0.35051546391752575,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,0.05555555555555555,0.6666666666666666,0.09090909090909091,0.1111111111111111,0.1,0.14285714285714285,0.14285714285714285,0.05555555555555555,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,2734.0,46,15.0,83,83,31.0,5,15,166,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,10.0,8.0,16,2.0,24.0,80,2.0,2.0,4.0,2.0,3.0,,4.0,14.0,2.0,,6.0,6.0,1.0,12.0,1.0,,,3.0,3.0,7.0,1.0,8.0,1.0,1.0,3.0,1.0,,,,,,,4.0,31.0,0.875,0.875,0.5,1.0,0.6666666666666666,0.5238095238095238,0.6666666666666666,0.6666666666666666,0.5227272727272727,0.6666666666666666,0.6666666666666666,21.782178217821784,,0.08823529411764706,,0.25,0.125,0.13043478260869565,0.023255813953488372,,0.14285714285714285,,0.4,0.14285714285714285,0.09090909090909091,,0.09523809523809523,1.0,1.0,1.0,0.19047619047619047,0.75,0.75,0.47619047619047616,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4558690476190476,0.50025,0.4779,0.045454545454545456,0.058823529411764705,0.16666666666666666,0.16666666666666666,14.375,0.37349397590361444,3.0,3.0,5.0,3.0,,,,4.0,1.0,1.0,1.0,,,,,,,,,,0.23809523809523808,,,0.125,0.1111111111111111,0.3,0.3,0.14285714285714285,23.86,1.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.5,0.6666666666666666,1.0,0.09523809523809523,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,1610612750,Eddie Griffin,Eddie Griffin,2204,MIN,2806.0,47,11.0,86,86,34.0,7,15,172,,2.0,,1.0,,2.0,,1.0,2.0,1.0,5,5.0,7.0,80,,2.0,2.0,,3.0,1.0,1.0,,2.0,,1.0,1.0,,2.0,,2.0,,1.0,8.0,10.0,2.0,12.0,,1.0,6.0,3.0,,3.0,2.0,1.0,3.0,3.0,1.0,34.0,,,0.2,,,0.1111111111111111,,,0.2916666666666667,0.3333333333333333,0.1,13.592233009708737,,0.2222222222222222,0.05714285714285714,0.1,,0.1956521739130435,0.045454545454545456,,,,,0.16666666666666666,,1.0,0.2222222222222222,,,,0.1111111111111111,,,0.2222222222222222,0.5,,0.5,,0.6666666666666666,0.5079666666666667,0.47235,0.510875,0.25,0.375,0.2857142857142857,0.14285714285714285,9.18,0.3953488372093023,1.0,4.0,4.0,4.0,,,,1.0,,,,,2.0,,2.0,,2.0,,1.0,,0.4444444444444444,1.0,0.05263157894736842,0.3333333333333333,0.2631578947368421,0.5,0.5,0.4444444444444444,24.875,,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.2,0.5,0.25,0.25,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,1610612750,Ndudi Ebi,Ndudi Ebi,2569,MIN,3234.0,54,14.0,99,99,34.0,14,20,198,8.0,11.0,3.0,5.0,3.0,4.0,2.0,3.0,6.0,11.0,20,5.0,27.0,95,3.0,5.0,6.0,3.0,7.0,3.0,9.0,12.0,10.0,6.0,1.0,1.0,1.0,2.0,,6.0,,,10.0,10.0,6.0,16.0,,7.0,9.0,3.0,2.0,1.0,1.0,,1.0,,9.0,34.0,0.5454545454545454,0.75,0.55,0.6,0.42857142857142855,0.5238095238095238,0.6,0.375,0.54,0.5,0.45,22.764227642276424,,0.2631578947368421,0.13636363636363635,,,0.19607843137254902,0.11320754716981132,0.14285714285714285,,0.4444444444444444,,,,,0.5238095238095238,0.7272727272727273,0.8888888888888888,0.5,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.2857142857142857,1.0,0.6,0.5,0.75,0.5714285714285714,0.47915,0.5216,0.47339375,0.13043478260869565,0.13636363636363635,0.2222222222222222,0.3333333333333333,6.404999999999999,0.3434343434343434,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,,2.0,1.0,3.0,1.0,5.0,1.0,0.047619047619047616,0.6666666666666666,0.125,0.1111111111111111,0.25,0.16666666666666666,0.16666666666666666,0.047619047619047616,23.8,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,2.0,0.1,0.18181818181818182,0.16666666666666666,0.125,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2239,1610612750,Trenton Hassell,Trenton Hassell,2239,MIN,405.0,7,2.0,13,12,,7,4,25,1.0,2.0,1.0,1.0,,,1.0,1.0,,2.0,3,2.0,6.0,12,2.0,2.0,6.0,,,,,2.0,2.0,2.0,,,,,,2.0,,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,0.5,1.0,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.75,1.0,,38.88888888888889,,,0.3333333333333333,,,,0.2857142857142857,,,,,,,,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,,0.5,1.0,,,0.6666666666666666,0.5361333333333334,0.50095,,0.25,0.25,1.0,,1.9000000000000001,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,1610612750,Michael Olowokandi,Michael Olowokandi,1709,MIN,703.0,12,-6.0,21,22,,7,5,43,,1.0,,1.0,,,2.0,3.0,,2.0,4,,4.0,32,,1.0,,,,,,2.0,2.0,,,,,,,2.0,,,1.0,1.0,2.0,3.0,,1.0,2.0,1.0,,,,,,,,,0.5,0.5,0.5,,,0.5,,,0.4,,,17.857142857142854,,0.25,0.18181818181818182,,,0.14285714285714285,0.18181818181818182,,,1.0,,,,,0.25,,,,0.75,0.6666666666666666,0.6666666666666666,,1.0,,,,0.25,0.406475,0.5494,,0.2,0.2,,,8.825,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,656.0,11,2.0,21,21,4.0,10,7,42,,,,,,,2.0,3.0,1.0,3.0,4,,6.0,20,1.0,1.0,2.0,1.0,1.0,,2.0,4.0,2.0,2.0,4.0,4.0,1.0,8.0,,2.0,,1.0,2.0,3.0,2.0,5.0,,,,,,1.0,1.0,,1.0,1.0,2.0,4.0,0.6666666666666666,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,16.666666666666668,,0.5,0.14285714285714285,0.3333333333333333,,0.42857142857142855,0.14285714285714285,,,,0.5,,,1.0,,,,,0.75,0.6666666666666666,0.6666666666666666,0.25,,,,,,0.387625,0.4388,0.2838,,,0.3333333333333333,0.3333333333333333,11.4,0.19047619047619047,1.0,,,,,,,3.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,0.125,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1610612750,Sam Cassell,Sam Cassell,208,MIN,103.0,2,,2,3,,3,1,5,,,,,,,,,2.0,,2,,,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.41865,0.4052,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1610612750,Latrell Sprewell,Latrell Sprewell,84,MIN,95.0,2,-3.0,3,4,3.0,2,1,7,,,,,,,,,1.0,,1,,,3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.3942,,0.3942,,,,,14.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
