EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,SecondChanceFtPoints,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,AtRimAssists,ShortMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,PtsPutbacks,HeaveAttempts,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3FGA,LostBallOutOfBoundsTurnovers,OffLongMidRangeReboundPct,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtAssists,Arc3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,DefCorner3ReboundPct,SelfORebPct,SecondChanceTurnovers,Travels,on,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,Corner3Assists,Clear Path Fouls,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,OffensiveGoaltends,StepOutOfBoundsTurnovers,BlockedCorner3,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
1442,1610612746,Zeljko Rebraca,Zeljko Rebraca,1442,LAC,733.0,12.0,-9.0,23.0,23.0,14.0,22.0,3.0,46.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,24.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,14.0,1.0,0.25,1.0,0.5,0.25,1.0,0.5,0.4,1.0,0.5,0.5,1.0,0.3333333333333333,18.51851851851852,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.25,0.75,0.3333333333333333,0.5,0.25,0.358,0.414,0.40105,0.2,0.2,0.5,0.5,7.550000000000001,0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,1610612746,Rick Brunson,Rick Brunson,1594,LAC,3037.0,51.0,-29.0,86.0,90.0,23.0,48.0,12.0,176.0,1.0,,2.0,4.0,13.0,2.0,10.0,97.0,1.0,2.0,3.0,2.0,2.0,5.0,4.0,1.0,5.0,5.0,2.0,10.0,,1.0,3.0,4.0,,4.0,2.0,6.0,3.0,,5.0,23.0,1.0,0.3076923076923077,0.5,1.0,0.2857142857142857,0.5,0.6666666666666666,0.3,0.5,0.625,0.07692307692307693,,0.5,18.81188118811881,,0.08108108108108109,0.1111111111111111,0.08695652173913043,0.0625,0.125,0.07142857142857142,0.14285714285714285,,,0.14285714285714285,0.4032464285714286,0.415,0.4569166666666667,,,0.3,0.5,15.592307692307694,0.26744186046511625,1.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,0.5,0.5,0.07142857142857142,0.5,0.08333333333333333,0.1111111111111111,1.0,1.0,0.7142857142857143,0.3,0.3,0.6666666666666666,0.07142857142857142,0.3333333333333333,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,1610612746,Mamadou N'diaye,Mamadou N'diaye,2055,LAC,4375.0,73.0,-28.0,129.0,133.0,44.0,77.0,17.0,262.0,9.0,4.0,8.0,8.0,19.0,4.0,20.0,144.0,3.0,5.0,9.0,2.0,6.0,6.0,12.0,3.0,1.0,1.0,,2.0,1.0,1.0,6.0,9.0,9.0,18.0,9.0,20.0,7.0,4.0,6.0,44.0,3.0,0.42105263157894735,0.6,0.3333333333333333,0.4,0.6,0.2857142857142857,0.43478260869565216,0.6428571428571429,0.3333333333333333,0.15789473684210525,0.2222222222222222,0.125,15.2317880794702,0.16666666666666666,0.11764705882352941,0.08333333333333333,0.1111111111111111,0.15789473684210525,0.1,0.45,0.4,0.5,0.5714285714285714,0.5,0.45154736842105264,0.61432,0.5301166666666667,0.17391304347826086,0.18181818181818182,0.45,0.3,6.136842105263159,0.34108527131782945,4.0,,2.0,,,1.0,3.0,1.0,2.0,4.0,,1.0,1.0,,1.0,,,,,,,,,,0.25,0.4,0.05,,,0.1875,0.4444444444444444,0.5714285714285714,0.1,,,,,,56.1,3.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,7.0,2.0,2.0,1.0,5.0,4.0,1.0,5.0,2.0,1.0,0.3333333333333333,0.1111111111111111,0.14285714285714285,0.11428571428571428,0.29411764705882354,0.1111111111111111,0.25,0.4,0.25,0.25,0.05,1.0,0.6,0.5714285714285714,0.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,1610612746,Marko Jaric,Marko Jaric,2060,LAC,1580.0,26.0,-20.0,49.0,50.0,19.0,25.0,5.0,99.0,1.0,,,2.0,5.0,1.0,5.0,64.0,,1.0,,1.0,1.0,2.0,,,1.0,1.0,,2.0,,,3.0,3.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,19.0,,0.4,,1.0,0.3333333333333333,,1.0,0.35714285714285715,,0.5,,,,16.363636363636363,,0.14285714285714285,,0.12,0.125,,0.16666666666666666,,,,0.3333333333333333,0.4549833333333333,0.3947,0.4099,0.2857142857142857,0.3333333333333333,,0.4,15.360000000000003,0.3877551020408163,1.0,1.0,4.0,,,1.0,,,,4.0,1.0,,,,,,,2.0,,2.0,1.0,1.0,,,1.0,1.0,0.16666666666666666,,0.2,0.125,1.0,1.0,0.6666666666666666,0.25,0.25,1.0,,,26.4,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,0.045454545454545456,,0.043478260869565216,,,,,1.0,,0.16666666666666666,,,,,,1.0,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,1610612746,Lionel Chalmers,Lionel Chalmers,2763,LAC,1161.0,19.0,9.0,35.0,36.0,16.0,36.0,7.0,71.0,2.0,1.0,2.0,1.0,5.0,,5.0,24.0,,,,1.0,2.0,5.0,2.0,,3.0,3.0,2.0,6.0,,,,,,,1.0,3.0,,,5.0,16.0,2.0,0.2,,0.5,0.25,,0.625,0.25,,0.625,,,,22.727272727272727,,,,,,,0.2,0.2,0.5,0.5,0.7,0.45759,0.47235,0.42041249999999997,,,,1.0,6.319999999999999,0.45714285714285713,,,1.0,3.0,1.0,5.0,,2.0,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,0.1,,,,0.3,0.25,24.72,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.25,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2,0.5,0.2,0.5,0.5,1.0,1.0,1.0,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,1610612746,Quinton Ross,Quinton Ross,2624,LAC,3101.0,52.0,-24.0,88.0,90.0,24.0,52.0,15.0,178.0,4.0,1.0,4.0,4.0,11.0,3.0,11.0,103.0,,1.0,,1.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,6.0,,1.0,2.0,3.0,1.0,4.0,3.0,5.0,3.0,2.0,3.0,24.0,1.0,0.36363636363636365,,0.2,0.3333333333333333,,0.16666666666666666,0.4230769230769231,,0.25,0.18181818181818182,0.5,,13.084112149532709,,0.06666666666666667,0.09090909090909091,0.07317073170731707,0.13333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.25,0.25,0.4166666666666667,0.4555727272727273,,0.44688,0.15384615384615385,0.16666666666666666,,0.2727272727272727,9.30909090909091,0.2727272727272727,2.0,1.0,3.0,,,1.0,,1.0,1.0,4.0,,,1.0,,1.0,,,1.0,,1.0,,,,,0.5,0.5,0.08333333333333333,,,,0.5,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,,,39.1,,1.0,,2.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,0.2,0.018867924528301886,,,0.25,,0.5,,0.08333333333333333,1.0,,0.3333333333333333,,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,1610612746,Shaun Livingston,Shaun Livingston,2733,LAC,1393.0,23.0,2.0,48.0,46.0,24.0,37.0,4.0,94.0,2.0,2.0,4.0,3.0,7.0,1.0,7.0,51.0,,1.0,,1.0,4.0,3.0,4.0,,3.0,4.0,,9.0,,1.0,3.0,4.0,1.0,5.0,1.0,3.0,2.0,1.0,3.0,24.0,2.0,0.42857142857142855,,0.25,0.42857142857142855,,0.25,0.4375,,0.3,,,,20.37037037037037,,0.16666666666666666,0.3333333333333333,0.19047619047619047,0.16666666666666666,,0.2857142857142857,0.5714285714285714,0.5,0.5,0.2857142857142857,0.4392285714285714,0.6261,0.47229999999999994,0.125,0.125,,0.42857142857142855,8.785714285714286,0.5,,1.0,1.0,,,,,,1.0,2.0,3.0,,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,2.0,,,,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,0.14285714285714285,1.0,1.0,1.0,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,0.0625,,0.05555555555555555,,0.2,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.25,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,1322.0,22.0,-16.0,39.0,42.0,18.0,21.0,3.0,81.0,2.0,,,3.0,5.0,,6.0,45.0,,,,,1.0,,,,1.0,2.0,,5.0,,,,1.0,1.0,2.0,,2.0,,,,18.0,,0.6,,,0.6,,,0.6,,,,,,16.27906976744186,,,,,,,0.4,,,,0.4,0.47034000000000004,,0.4173,,,,,11.48,0.46153846153846156,1.0,2.0,3.0,,,,,,,6.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,,,,1.0,1.0,,1.0,,,0.5,0.5,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,0.05263157894736842,,0.047619047619047616,0.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,1610612746,Mikki Moore,Mikki Moore,1630,LAC,1128.0,19.0,-18.0,31.0,35.0,2.0,10.0,3.0,66.0,3.0,1.0,1.0,2.0,6.0,4.0,8.0,41.0,,,,,,2.0,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,,0.3333333333333333,,,0.3333333333333333,,,0.5,,1.0,0.16666666666666666,0.3333333333333333,,31.42857142857143,,0.07142857142857142,,0.058823529411764705,0.16666666666666666,,0.5,0.16666666666666666,1.0,1.0,0.5,0.4424666666666666,,,0.2857142857142857,0.2857142857142857,,0.25,7.533333333333334,0.06451612903225806,1.0,,2.0,,,,,,2.0,4.0,,,,,,2.0,1.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,,0.6666666666666666,,,0.3333333333333333,0.5,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,0.07692307692307693,,0.06666666666666667,0.2,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.3333333333333333,2.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,1402.0,23.0,-6.0,40.0,41.0,8.0,12.0,6.0,81.0,2.0,1.0,1.0,3.0,10.0,3.0,12.0,44.0,2.0,2.0,4.0,1.0,2.0,2.0,6.0,,1.0,1.0,,2.0,,,3.0,5.0,1.0,6.0,,,4.0,2.0,2.0,8.0,,0.3,1.0,0.5,0.375,1.0,0.5,0.42857142857142855,1.0,0.5,,,,31.25,,0.16666666666666666,,0.15,,,0.16666666666666666,0.08333333333333333,1.0,1.0,0.3333333333333333,0.4268874999999999,0.44604999999999995,0.3677,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.16666666666666666,13.059999999999999,0.2,1.0,1.0,7.0,,,2.0,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,0.5,0.5,0.5833333333333334,0.14285714285714285,0.14285714285714285,,,,25.45,1.0,1.0,,,2.0,,2.0,,,1.0,2.0,,,,,,,,,0.5,0.045454545454545456,,0.043478260869565216,0.125,,,,,,0.16666666666666666,0.5,1.0,,,,2.0,,,,1.0,,1.0,,,3.0,1.0,1.0,0.5,,0.5,0.5,0.5,1.0,,,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
