EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,ShortMidRangeAssists,LongMidRangeAssists,FG3APct,Arc3Frequency,Avg3ptShotDistance,PenaltyAtRimFGM,LongMidRangeFGM,ThreePtAssists,Arc3Assists,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,BlockedLongMidRange,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,StepOutOfBoundsTurnovers,Technical Free Throw Trips,DefCorner3ReboundPct,PenaltyArc3Frequency,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Clear Path Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,on,FTOffRebounds,DefensiveGoaltends,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceArc3FGM,Corner3Assists,Corner3PctAssisted,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,OffensiveGoaltends,BlockedCorner3,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked
1442,1610612746,Zeljko Rebraca,Zeljko Rebraca,1442,LAC,6430.0,107,14.0,185,189,31.0,17.0,26.0,374,7.0,10.0,2.0,3.0,1.0,8.0,14.0,1.0,15.0,25.0,8.0,38.0,182.0,3.0,4.0,3.0,9.0,1.0,2.0,3.0,5.0,12.0,18.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,13.0,4.0,19.0,7.0,26.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,6.0,2.0,1.0,8.0,14.0,1.0,9.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,5.0,31.0,0.4,0.46153846153846156,0.6,0.75,0.5,0.6,0.75,0.5,0.6551724137931034,0.75,0.625,0.04,0.1,15.981735159817353,0.6666666666666666,0.36363636363636365,0.2,0.0759493670886076,0.08333333333333333,0.0625,0.16853932584269662,0.07368421052631578,0.16666666666666666,0.04,0.05555555555555555,0.07142857142857142,0.3684210526315789,0.11764705882352941,0.13793103448275862,0.09090909090909091,0.4,0.7,0.7777777777777778,0.7142857142857143,0.56,0.5714285714285714,0.5714285714285714,0.125,0.04,0.75,0.6666666666666666,0.5,0.4,0.4494519999999999,0.5014,0.43355,0.14285714285714285,0.14285714285714285,0.23684210526315788,0.13157894736842105,5.5760000000000005,0.16756756756756758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1594,1610612746,Rick Brunson,Rick Brunson,1594,LAC,881.0,15,-15.0,21,25,10.0,9.0,3.0,46,,,,,,,,1.0,,1.0,,,34.0,,,,,,1.0,,,,,,,2.0,2.0,,4.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,0.41857500000000003,,0.3912,,,,,15.4,0.47619047619047616,1.0,1.0,1.0,1.0,1.0,0.5,0.5,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,7159.0,119,18.0,219,215,99.0,80.0,31.0,434,11.0,19.0,5.0,8.0,10.0,10.0,24.0,10.0,25.0,53.0,13.0,63.0,221.0,7.0,11.0,,14.0,12.0,28.0,8.0,32.0,32.0,18.0,8.0,4.0,8.0,10.0,3.0,22.0,2.0,13.0,3.0,13.0,4.0,20.0,15.0,35.0,2.0,1.0,3.0,,4.0,3.0,,7.0,2.0,1.0,5.0,12.0,1.0,16.0,2.0,7.0,2.0,6.0,3.0,2.0,6.0,32.0,99.0,0.64,0.7619047619047619,0.4716981132075472,0.6363636363636364,0.42857142857142855,0.4716981132075472,0.6363636363636364,0.42857142857142855,0.525,0.6363636363636364,0.5,0.07547169811320754,0.15789473684210525,26.48221343873518,0.42857142857142855,0.4444444444444444,0.1625,0.1326530612244898,0.13636363636363635,0.18181818181818182,0.1568627450980392,0.13761467889908258,0.2,0.14285714285714285,0.08888888888888889,0.2,0.18181818181818182,0.19230769230769232,0.13953488372093023,0.14285714285714285,0.3584905660377358,0.5789473684210527,0.6875,0.36363636363636365,0.4528301886792453,0.4166666666666667,0.43478260869565216,0.8,0.18867924528301888,0.7272727272727273,0.625,0.35714285714285715,0.3584905660377358,0.4440811320754716,0.4694444444444444,0.448575,0.1206896551724138,0.1206896551724138,0.2222222222222222,0.5079365079365079,7.141509433962263,0.4520547945205479,,,,3.0,2.0,,,,5.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,0.041666666666666664,0.16666666666666666,0.8333333333333334,0.4,0.4,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2250,1610612746,Bobby Simmons,Bobby Simmons,2250,LAC,7961.0,133,16.0,244,241,93.0,63.0,31.0,485,12.0,17.0,3.0,4.0,6.0,1.0,3.0,27.0,19.0,47.0,22.0,60.0,254.0,3.0,7.0,3.0,9.0,6.0,16.0,13.0,25.0,28.0,10.0,6.0,2.0,16.0,17.0,3.0,35.0,2.0,7.0,4.0,18.0,1.0,23.0,9.0,32.0,5.0,4.0,3.0,2.0,6.0,1.0,1.0,9.0,1.0,4.0,3.0,8.0,2.0,25.0,5.0,12.0,3.0,1.0,1.0,,1.0,25.0,93.0,0.7368421052631579,0.875,0.40425531914893614,0.42857142857142855,0.375,0.3877551020408163,0.42857142857142855,0.3333333333333333,0.5,0.5,0.5208333333333334,0.0425531914893617,0.11764705882352941,23.591549295774648,0.3333333333333333,0.09090909090909091,0.1956521739130435,0.06481481481481481,0.17391304347826086,0.15384615384615385,0.19130434782608696,0.0743801652892562,0.07142857142857142,0.14285714285714285,0.019230769230769232,0.15384615384615385,0.05,0.23076923076923078,0.2391304347826087,0.13636363636363635,0.3469387755102041,0.7058823529411765,0.8,0.5833333333333334,0.061224489795918366,0.3333333333333333,0.3333333333333333,1.0,0.5510204081632653,0.5714285714285714,0.75,0.3333333333333333,0.3877551020408163,0.44297708333333335,0.49651666666666666,0.44314117647058826,0.21428571428571427,0.2222222222222222,0.15,0.4166666666666667,11.548936170212764,0.38114754098360654,2.0,2.0,1.0,11.0,2.0,0.04081632653061224,0.04081632653061224,34.65,4.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,0.037037037037037035,,0.2222222222222222,0.2222222222222222,1.0,0.6666666666666666,2.0,2.0,1.0,1.0,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
239,1610612746,Darrick Martin,Darrick Martin,239,LAC,11373.0,190,14.0,339,341,118.0,100.0,45.0,680,2.0,6.0,,1.0,2.0,3.0,8.0,18.0,11.0,32.0,5.0,42.0,349.0,,2.0,,,2.0,8.0,1.0,5.0,8.0,14.0,,2.0,26.0,28.0,8.0,58.0,,3.0,4.0,3.0,,7.0,3.0,10.0,6.0,4.0,4.0,3.0,2.0,1.0,,6.0,1.0,2.0,7.0,19.0,,8.0,,4.0,,,,,,5.0,118.0,0.36363636363636365,0.36363636363636365,0.34375,,0.25,0.37,,0.15384615384615385,0.3888888888888889,,0.17857142857142858,0.0625,0.16666666666666666,15.267175572519083,0.6666666666666666,,0.024390243902439025,0.02054794520547945,0.1,,0.04294478527607362,0.017964071856287425,0.05263157894736842,0.023255813953488372,,,0.03333333333333333,0.02702702702702703,0.017857142857142856,0.1111111111111111,0.12,0.3333333333333333,0.4,,0.16,0.375,0.375,0.6666666666666666,0.36,0.3333333333333333,,0.15384615384615385,0.48,0.430856,0.4967,0.39535,0.07407407407407407,0.1111111111111111,,0.11904761904761904,12.553125000000001,0.3480825958702065,16.0,18.0,16.0,5.0,13.0,0.36,0.32,25.299999999999997,1.0,6.0,2.0,2.0,,2.0,1.0,,,,,1.0,,,,0.3333333333333333,0.35294117647058826,0.3333333333333333,0.5,4.0,5.0,,1.0,,,0.3076923076923077,2.0,1.0,5.0,1.0,5.0,1.0,3.0,12.0,5.0,1.0,0.2,0.2777777777777778,0.2777777777777778,0.05555555555555555,0.04,0.3125,0.3125,0.2,0.3333333333333333,0.07692307692307693,0.3125,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,5818.0,97,,174,174,75.0,66.0,20.0,348,4.0,9.0,,,2.0,4.0,7.0,18.0,16.0,34.0,21.0,65.0,185.0,,2.0,,3.0,4.0,13.0,5.0,19.0,22.0,10.0,,1.0,8.0,9.0,5.0,19.0,,2.0,7.0,10.0,2.0,19.0,2.0,21.0,3.0,3.0,,,4.0,,1.0,4.0,,1.0,3.0,11.0,,23.0,1.0,10.0,,,,,,19.0,75.0,0.6875,0.6875,0.47058823529411764,,0.3076923076923077,0.5,0.5,0.3684210526315789,0.5925925925925926,0.5,0.4090909090909091,0.029411764705882353,0.1111111111111111,29.441624365482234,,0.125,0.17543859649122806,0.0273972602739726,0.2916666666666667,,0.20987654320987653,0.024691358024691357,,,0.05714285714285714,,0.07142857142857142,0.14285714285714285,0.2727272727272727,0.3333333333333333,0.20454545454545456,0.4444444444444444,0.5,0.5,0.1590909090909091,0.5714285714285714,0.5714285714285714,0.75,0.4090909090909091,,,0.10526315789473684,0.4318181818181818,0.4360952380952381,0.4230833333333333,0.41839705882352934,0.2037037037037037,0.23255813953488372,0.046153846153846156,0.2923076923076923,12.035294117647059,0.43103448275862066,9.0,10.0,8.0,,3.0,0.22727272727272727,0.20454545454545456,29.779999999999994,1.0,8.0,1.0,1.0,1.0,,,3.0,,,,2.0,,0.047619047619047616,,0.4444444444444444,0.4444444444444444,0.75,0.5,5.0,6.0,1.0,,1.0,,0.2631578947368421,1.0,1.0,3.0,,4.0,1.0,9.0,3.0,3.0,,0.75,0.4,0.4444444444444444,,0.022727272727272728,0.3333333333333333,0.3333333333333333,1.0,,0.05263157894736842,0.375,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,0.09090909090909091,,,,True,,,,,,,,,,,,,,,,,,,
2549,1610612746,Chris Kaman,Chris Kaman,2549,LAC,5347.0,89,-5.0,157,159,58.0,61.0,20.0,316,7.0,14.0,1.0,2.0,6.0,8.0,18.0,3.0,17.0,35.0,6.0,40.0,168.0,2.0,3.0,1.0,5.0,3.0,11.0,6.0,12.0,18.0,16.0,2.0,2.0,3.0,3.0,1.0,6.0,1.0,3.0,3.0,8.0,1.0,12.0,4.0,16.0,2.0,2.0,3.0,1.0,1.0,2.0,,4.0,1.0,1.0,4.0,9.0,1.0,10.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,12.0,58.0,0.5294117647058824,0.5625,0.4857142857142857,0.6666666666666666,0.2727272727272727,0.4857142857142857,0.6666666666666666,0.2727272727272727,0.5128205128205128,0.625,0.4,0.05714285714285714,0.14285714285714285,23.497267759562842,0.75,0.1111111111111111,0.13333333333333333,0.0410958904109589,0.16666666666666666,0.09090909090909091,0.14102564102564102,0.047619047619047616,,0.041666666666666664,0.08,0.09090909090909091,0.05555555555555555,0.21052631578947367,0.13043478260869565,0.1875,0.4,0.5,0.5833333333333334,0.5714285714285714,0.5142857142857142,0.4444444444444444,0.4444444444444444,0.5,0.08571428571428572,0.6666666666666666,0.5,0.5454545454545454,0.4,0.45646285714285706,0.50375,0.48141818181818175,0.13157894736842105,0.13157894736842105,0.125,0.3,5.66857142857143,0.36942675159235666,,,,2.0,,,,,3.0,2.0,,,,,,1.0,,1.0,,1.0,,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2624,1610612746,Quinton Ross,Quinton Ross,2624,LAC,4693.0,78,,134,139,46.0,36.0,20.0,273,3.0,8.0,,3.0,4.0,1.0,3.0,3.0,5.0,14.0,,10.0,133.0,,3.0,,,2.0,7.0,,4.0,6.0,4.0,,1.0,3.0,3.0,3.0,6.0,1.0,2.0,1.0,5.0,1.0,7.0,3.0,10.0,7.0,2.0,,,1.0,,,1.0,,,1.0,7.0,,,,,,,,,,4.0,46.0,0.6,0.6,0.35714285714285715,,0.2857142857142857,0.35714285714285715,,0.2857142857142857,0.35714285714285715,,0.2857142857142857,0.07142857142857142,0.125,9.493670886075948,,0.25,0.10869565217391304,0.03333333333333333,0.047619047619047616,0.1111111111111111,0.08955223880597014,0.043478260869565216,0.05555555555555555,,0.05,,0.16666666666666666,0.08333333333333333,0.09090909090909091,0.05555555555555555,0.5714285714285714,0.375,0.42857142857142855,0.3333333333333333,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.21428571428571427,1.0,,0.5714285714285714,0.5714285714285714,0.5204071428571428,0.5202,0.4812285714285714,,,,0.4,6.214285714285714,0.34328358208955223,,,,,,,,,1.0,1.0,,,1.0,5.0,,1.0,,,,2.0,,0.125,,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,True,,,,,,,,,,,,,,,,,,,
1630,1610612746,Mikki Moore,Mikki Moore,1630,LAC,1804.0,30,-10.0,57,57,19.0,18.0,8.0,114,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,7.0,1.0,9.0,62.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,2.0,,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,3.0,2.0,5.0,2.0,,2.0,2.0,1.0,,,3.0,,1.0,4.0,10.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,5.0,19.0,0.5,0.6666666666666666,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.5625,0.8333333333333334,0.8333333333333334,,,16.923076923076923,0.6666666666666666,0.5,0.09090909090909091,0.043478260869565216,,0.5,0.06896551724137931,0.08,,0.25,,1.0,0.25,,,,0.42857142857142855,1.0,1.0,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,1.0,1.0,1.0,0.42857142857142855,0.4801285714285714,0.5923,0.56815,0.125,0.125,0.5555555555555556,0.5555555555555556,8.22857142857143,0.3333333333333333,,,,,1.0,,,,2.0,,,,,2.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,True,,,,,,,,,,,,,,,,,,,
954,1610612746,Kerry Kittles,Kerry Kittles,954,LAC,5021.0,84,37.0,154,154,36.0,50.0,20.0,308,5.0,6.0,,,,2.0,4.0,14.0,11.0,24.0,5.0,36.0,151.0,1.0,3.0,1.0,3.0,1.0,3.0,,2.0,14.0,8.0,,,4.0,5.0,3.0,11.0,,,2.0,14.0,1.0,17.0,,17.0,3.0,2.0,1.0,1.0,,,,1.0,,,4.0,7.0,,8.0,2.0,4.0,1.0,1.0,,1.0,1.0,2.0,36.0,0.6363636363636364,0.6363636363636364,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.484375,0.25,0.3333333333333333,0.5142857142857142,0.375,0.25,,,20.338983050847457,1.0,0.125,0.2545454545454545,,0.1111111111111111,,0.2191780821917808,,,,,,0.06666666666666667,0.14285714285714285,0.4230769230769231,0.125,0.1875,0.8333333333333334,0.8333333333333334,0.6,0.125,0.5,0.5,0.5,0.4375,,,,0.4375,0.48925937499999994,0.440875,0.34990000000000004,0.11764705882352941,0.15384615384615385,0.08333333333333333,0.05555555555555555,12.191666666666668,0.23376623376623376,8.0,8.0,8.0,,1.0,0.25,0.25,25.3875,,4.0,1.0,1.0,,1.0,,,,1.0,,2.0,,,1.0,0.2857142857142857,0.2857142857142857,0.75,,,,,,,,,,,3.0,1.0,3.0,1.0,9.0,,3.0,,1.0,0.375,0.375,,,0.375,0.375,1.0,0.25,,0.375,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
