EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,OffAtRimReboundPct,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,FTOffRebounds,LostBallOutOfBoundsTurnovers,BlockedCorner3,3SecondViolations,OffFTReboundPct,SecondChanceAtRimPctAssisted,BlockedShortMidRange,Defensive 3 Seconds Violations,Clear Path Fouls,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,Corner3PctBlocked
120,1610612766,Steven Smith,Steven Smith,120,CHA,17475.0,291,-7.0,577,552,274,274,90,1129,5,15,1.0,3.0,3.0,11.0,9.0,18.0,8.0,23.0,8.0,12.0,1.0,1.0,5.0,8.0,7.0,26.0,1.0,2.0,2.0,11.0,22,56,15.0,38.0,27.0,116,617,2.0,6,2.0,3.0,6.0,16.0,5,25,7.0,19.0,17.0,48,18,26,42.0,3.0,2.0,1.0,25.0,7.0,6.0,2.0,29.0,6.0,35.0,3.0,3.0,12.0,7.0,10.0,76.0,2.0,5,5.0,14.0,1.0,20,7,27,1.0,8,5.0,3.0,7.0,1.0,5.0,5.0,2.0,1.0,12,5.0,15,37,1.0,3.0,32.0,1.0,1.0,8.0,8.0,4.0,4.0,4.0,2.0,48,274,10.0,0.4090909090909091,0.42857142857142855,0.9333333333333333,0.39473684210526316,0.6666666666666666,0.3684210526315789,0.40540540540540543,0.39285714285714285,0.3333333333333333,0.2,0.4734042553191489,0.5555555555555556,0.3522727272727273,0.5275229357798165,0.6666666666666666,0.4528301886792453,0.40425531914893614,0.05263157894736842,0.10714285714285714,0.26666666666666666,0.08695652173913043,0.07692307692307693,17.75147928994083,0.5833333333333334,0.05,0.07106598984771574,0.022026431718061675,0.11904761904761904,0.03389830508474576,0.0794979079497908,0.024475524475524476,0.017543859649122806,0.0380952380952381,0.025,0.05263157894736842,0.028985507246376812,0.05263157894736842,0.1267605633802817,0.14285714285714285,0.07142857142857142,0.023255813953488372,0.1595744680851064,0.3333333333333333,0.45454545454545453,0.2,0.19148936170212766,0.5,0.5,0.4444444444444444,0.24468085106382978,0.34782608695652173,0.38095238095238093,0.5,0.1276595744680851,0.6666666666666666,0.6666666666666666,1.0,0.2765957446808511,0.2692307692307692,0.2916666666666667,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.1111111111111111,1.0,1.0,0.2222222222222222,0.5,1.0,0.25,0.2727272727272727,0.18181818181818182,0.625,0.25,0.18181818181818182,0.5638297872340425,0.28,0.44213369565217386,0.4615944444444444,0.44936627906976745,0.07920792079207921,0.12698412698412698,0.13793103448275862,0.41379310344827586,10.73214285714286,26.426315789473684,0.4748700173310225,,,,,,,,,,,,,,,,,,,,,,True,
1510,1610612766,Brevin Knight,Brevin Knight,1510,CHA,34509.0,575,1.0,1142,1110,283,289,155,2252,20,40,1.0,2.0,7.0,16.0,15.0,36.0,30.0,83.0,,1.0,,1.0,,,2.0,10.0,,1.0,1.0,5.0,65,159,2.0,11.0,45.0,181,1184,4.0,12,,2.0,3.0,11.0,20,48,1.0,5.0,23.0,66,32,98,3.0,3.0,,2.0,8.0,2.0,11.0,,160.0,33.0,193.0,20.0,13.0,58.0,22.0,80.0,419.0,,5,6.0,39.0,7.0,52,5,57,2.0,37,16.0,21.0,22.0,10.0,19.0,15.0,3.0,1.0,37,7.0,26,62,1.0,1.0,54.0,5.0,3.0,19.0,9.0,2.0,2.0,3.0,,66,283,8.0,0.24615384615384617,0.24615384615384617,0.5,0.18181818181818182,,0.2,0.2222222222222222,0.4088050314465409,0.3333333333333333,0.4166666666666667,0.4,0.2857142857142857,0.4056603773584906,0.46632124352331605,0.34375,0.5076923076923077,0.06470588235294118,,0.06918238993710692,0.15,0.03614457831325301,,17.41444866920152,0.5945945945945946,0.20588235294117646,0.08986175115207373,0.010101010101010102,0.061855670103092786,,0.0847457627118644,0.008503401360544218,0.015151515151515152,0.008733624454148471,,,0.08088235294117647,0.051094890510948905,0.13043478260869565,0.06349206349206349,0.058823529411764705,0.022988505747126436,0.23529411764705882,0.5,0.5882352941176471,0.05,0.21176470588235294,0.4166666666666667,0.4411764705882353,0.13333333333333333,0.48823529411764705,0.3614457831325301,0.375,0.43333333333333335,0.0058823529411764705,,,,0.058823529411764705,0.2,0.2,0.5,0.14285714285714285,0.5,0.07142857142857142,,,0.07142857142857142,,,0.3018867924528302,0.4375,,,0.09433962264150944,0.2,0.3,0.25,0.44212857142857137,0.43592916666666665,0.4302607843137255,0.10326086956521739,0.10982658959537572,0.06077348066298342,0.36464088397790057,11.811320754716986,28.50909090909091,0.2478108581436077,1.0,2.0,1.0,1.0,0.05555555555555555,0.007462686567164179,,,,,,,,,,,,,,,,True,
1751,1610612766,Jahidi White,Jahidi White,1751,CHA,4904.0,82,,155,152,48,65,21,307,8,15,3.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,8,15,,,8.0,24,167,3.0,4,,,2.0,8.0,1,2,,,5.0,7,6,10,,,4.0,,,,2.0,,,1.0,1.0,1.0,,,,,3.0,1.0,3,,14.0,,14,4,18,1.0,1,1.0,,4.0,,3.0,4.0,1.0,,8,2.0,11,18,,4.0,20.0,4.0,,10.0,2.0,6.0,5.0,6.0,1.0,7,48,,0.375,0.5,,,,,,0.5333333333333333,0.75,0.5,0.5333333333333333,0.75,0.5,0.5217391304347826,0.6666666666666666,0.7,,,0.13333333333333333,0.13333333333333333,,,16.939890710382514,0.5,,0.2222222222222222,0.04918032786885246,,0.07692307692307693,0.18181818181818182,0.05405405405405406,,0.030303030303030304,0.1,,0.23076923076923078,0.35294117647058826,0.1,,,0.2,1.0,0.5333333333333333,0.6153846153846154,0.375,,,,,,,,,,,,,,,,,1.0,0.75,,,,,,,1.0,0.5,,,,,1.0,,0.5757733333333334,0.616325,0.6828000000000001,0.47619047619047616,0.47619047619047616,0.3333333333333333,0.2916666666666667,,,0.3096774193548387,,,,,,0.10526315789473684,1.0,4.0,0.6666666666666666,,,,,,,,,,,,,True,
2056,1610612766,Primoz Brezec,Primoz Brezec,2056,CHA,40342.0,672,-77.0,1330,1303,380,400,191,2633,54,90,27.0,48.0,15.0,29.0,26.0,56.0,26.0,58.0,,,,,,,,,,,,,106,204,,,46.0,258,1420,35.0,58,,,17.0,87.0,23,56,,,23.0,69,136,76,,,44.0,,,,12.0,,18.0,9.0,27.0,5.0,4.0,6.0,3.0,9.0,63.0,10.0,55,15.0,63.0,10.0,88,66,154,6.0,8,4.0,4.0,17.0,4.0,12.0,16.0,5.0,4.0,33,10.0,36,58,6.0,3.0,57.0,9.0,,22.0,11.0,18.0,18.0,19.0,1.0,69,380,8.0,0.6415094339622641,0.8095238095238095,,,,,,0.5196078431372549,0.603448275862069,0.4107142857142857,0.5196078431372549,0.603448275862069,0.4107142857142857,0.5657894736842105,0.6397058823529411,0.5073529411764706,,,0.058823529411764705,0.1,0.017241379310344827,,16.915100453661697,0.5151515151515151,0.22727272727272727,0.1254980079681275,0.09786476868327403,0.14018691588785046,0.09090909090909091,0.12807881773399016,0.09672619047619048,0.0718562874251497,0.07547169811320754,0.1038961038961039,0.06060606060606061,0.09090909090909091,0.15492957746478872,0.13333333333333333,0.17647058823529413,0.07692307692307693,0.06976744186046512,0.4411764705882353,0.6,0.6666666666666666,0.5370370370370371,0.27450980392156865,0.4642857142857143,0.48148148148148145,0.7307692307692307,0.28431372549019607,0.4482758620689655,0.45614035087719296,0.7692307692307693,,,,,,,,,0.8275862068965517,0.5625,,,,,,,0.5178571428571429,0.5172413793103449,,,,,0.4411764705882353,,0.47566029411764715,0.5461250000000001,0.4909,0.10138248847926268,0.10138248847926268,0.3372093023255814,0.26744186046511625,7.548529411764706,,0.2857142857142857,,3.0,1.0,,0.03571428571428571,0.17692307692307693,,11.0,0.5789473684210527,1.0,2.0,1.0,1.0,0.021739130434782608,0.18518518518518517,,,,,,,True,
2574,1610612766,Jason Kapono,Jason Kapono,2574,CHA,89337.0,1489,-84.0,2913,2849,1026,1040,414,5762,33,70,7.0,14.0,9.0,24.0,26.0,89.0,130.0,318.0,37.0,84.0,1.0,7.0,15.0,31.0,43.0,110.0,3.0,8.0,14.0,35.0,189,477,80.0,194.0,70.0,688,3015,17.0,51,4.0,15.0,7.0,53.0,56,153,29.0,66.0,39.0,238,298,80,225.0,15.0,14.0,,110.0,43.0,21.0,,51.0,10.0,61.0,5.0,5.0,19.0,11.0,21.0,132.0,4.0,28,33.0,98.0,1.0,132,32,164,8.0,40,24.0,16.0,27.0,4.0,14.0,19.0,13.0,,46,11.0,66,132,8.0,9.0,85.0,2.0,3.0,29.0,13.0,6.0,5.0,6.0,,238,1026,20.0,0.7883597883597884,0.8186813186813187,0.9375,0.41237113402061853,0.26666666666666666,0.4393939393939394,0.41237113402061853,0.39622641509433965,0.3333333333333333,0.3660130718954248,0.46050670640834573,0.3484848484848485,0.454337899543379,0.48241912798874825,0.38405797101449274,0.48760330578512395,0.28912071535022354,,0.0440251572327044,0.14285714285714285,0.012578616352201259,,22.393364928909953,0.5869565217391305,0.01,0.09158878504672897,0.022913256955810146,0.12790697674418605,0.016194331983805668,0.09864457831325302,0.021783526208304968,0.028901734104046242,0.017241379310344827,0.023529411764705882,,0.09943181818181818,0.08,0.09330143540669857,0.12121212121212122,0.13978494623655913,0.021164021164021163,0.10432190760059612,0.4714285714285714,0.55,0.5757575757575758,0.13263785394932937,0.29213483146067415,0.3170731707317073,0.5,0.47391952309985097,0.4088050314465409,0.4140127388535032,0.9,0.12518628912071536,0.44047619047619047,0.44047619047619047,1.0,0.16393442622950818,0.39090909090909093,0.39090909090909093,0.8837209302325582,0.21212121212121213,0.5,0.10606060606060606,0.14285714285714285,1.0,0.12121212121212122,0.375,1.0,0.1095890410958904,0.375,0.1415525114155251,0.4838709677419355,0.1598173515981735,0.4,0.39344262295081966,0.39090909090909093,0.4548200447093888,0.45416071428571436,0.4463897260273973,0.04154727793696275,0.057539682539682536,0.07703488372093023,0.34593023255813954,14.034381551362685,24.397422680412365,0.35221421215242016,2.0,2.0,,,0.07865168539325842,0.02702702702702703,,4.0,0.6666666666666666,,3.0,,,,0.14285714285714285,1.0,,,,,,True,
2222,1610612766,Gerald Wallace,Gerald Wallace,2222,CHA,19054.0,318,38.0,628,605,176,177,94,1233,31,52,9.0,15.0,6.0,11.0,,2.0,6.0,25.0,1.0,3.0,,1.0,,,2.0,8.0,,,1.0,5.0,37,79,3.0,11.0,25.0,108,587,9.0,17,,1.0,4.0,22.0,6,15,1.0,5.0,7.0,22,42,32,9.0,,10.0,,8.0,2.0,9.0,,15.0,4.0,19.0,1.0,3.0,4.0,5.0,6.0,42.0,3.0,18,8.0,36.0,1.0,45,22,67,3.0,17,10.0,7.0,15.0,3.0,6.0,11.0,9.0,1.0,26,7.0,12,30,2.0,5.0,38.0,4.0,,16.0,5.0,20.0,17.0,20.0,1.0,22,176,4.0,0.5675675675675675,0.65625,1.0,0.2727272727272727,,0.2,0.2727272727272727,0.46835443037974683,0.5294117647058824,0.4,0.46111111111111114,0.5,0.375,0.5046728971962616,0.5238095238095238,0.4230769230769231,0.12222222222222222,,0.11392405063291139,0.15384615384615385,,,18.046132971506104,0.5769230769230769,0.047619047619047616,0.14173228346456693,0.06474820143884892,0.11267605633802817,0.06818181818181818,0.13538461538461538,0.06521739130434782,0.025,0.056451612903225805,0.0967741935483871,,0.0851063829787234,0.175,0.175,0.10869565217391304,0.12,0.07317073170731707,0.5777777777777777,0.5961538461538461,0.7045454545454546,0.5161290322580645,0.022222222222222223,,,,0.2777777777777778,0.24,0.24,0.8333333333333334,0.03333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.08888888888888889,0.25,0.25,1.0,0.8333333333333334,0.6,0.05555555555555555,,,,,,0.55,0.5454545454545454,,,0.25,0.2,0.7,0.25,0.5111327777777778,0.5245323529411765,0.4977125000000001,0.1568627450980392,0.17582417582417584,0.2037037037037037,0.2037037037037037,6.273417721518986,24.718181818181815,0.2802547770700637,1.0,,,,0.5,0.12162162162162163,,7.0,0.35,1.0,,,,0.07142857142857142,0.1111111111111111,3.0,1.0,,,,,True,
2774,1610612766,Bernard Robinson,Bernard Robinson,2774,CHA,6794.0,113,-29.0,223,225,103,131,33,448,8,14,,2.0,3.0,8.0,,5.0,3.0,7.0,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,11,26,1.0,2.0,5.0,30,228,,3,,,,,4,11,1.0,2.0,2.0,13,8,14,3.0,,,,1.0,,4.0,,7.0,4.0,11.0,3.0,1.0,2.0,,5.0,26.0,,4,4.0,6.0,1.0,11,4,15,,4,2.0,2.0,9.0,3.0,4.0,3.0,5.0,,12,4.0,7,16,,,5.0,1.0,,2.0,1.0,1.0,1.0,2.0,,13,103,4.0,0.36363636363636365,0.36363636363636365,1.0,0.5,,0.5,0.5,0.4230769230769231,,0.36363636363636365,0.44642857142857145,,0.4230769230769231,0.5,,0.4642857142857143,0.07142857142857142,,0.15384615384615385,0.21428571428571427,,,16.34241245136187,0.75,0.09090909090909091,0.07407407407407407,0.04938271604938271,0.2,,0.09900990099009901,0.035398230088495575,0.09090909090909091,0.05555555555555555,,,0.05555555555555555,0.06666666666666667,0.1,0.23076923076923078,0.14285714285714285,,0.5,0.5714285714285714,0.7272727272727273,0.375,0.17857142857142858,,,,0.25,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.03571428571428571,1.0,1.0,1.0,0.03571428571428571,,,,0.6666666666666666,,,,,,,,0.6153846153846154,0.375,0.07692307692307693,1.0,0.07692307692307693,,0.5714285714285714,,0.49172321428571425,0.4749999999999999,0.5076038461538461,0.06896551724137931,0.07407407407407407,,0.43333333333333335,6.61153846153846,24.6,0.4618834080717489,,,1.0,1.0,0.2,,,2.0,1.0,,,,,,,,,1.0,,,,True,
2078,1610612766,Jason Hart,Jason Hart,2078,CHA,43118.0,719,-107.0,1385,1355,556,564,192,2740,16,44,2.0,4.0,11.0,22.0,16.0,36.0,57.0,116.0,2.0,2.0,,,1.0,1.0,14.0,35.0,2.0,3.0,11.0,23.0,89,196,16.0,37.0,63.0,289,1464,11.0,18,2.0,3.0,1.0,29.0,39,88,12.0,24.0,46.0,160,44,134,33.0,15.0,2.0,,35.0,14.0,18.0,,131.0,35.0,166.0,19.0,16.0,27.0,22.0,82.0,367.0,2.0,6,16.0,51.0,6.0,73,8,81,2.0,34,20.0,14.0,24.0,5.0,17.0,16.0,7.0,2.0,40,21.0,30,61,,4.0,83.0,1.0,4.0,17.0,23.0,8.0,5.0,8.0,,160,556,7.0,0.24719101123595505,0.25,0.6875,0.43243243243243246,0.6666666666666666,0.5,0.43243243243243246,0.45408163265306123,0.6111111111111112,0.4431818181818182,0.48497854077253216,0.6666666666666666,0.5089285714285714,0.5275735294117647,0.6590909090909091,0.5714285714285714,0.15879828326180256,,0.09183673469387756,0.29545454545454547,0.008620689655172414,,19.401122894572676,0.6,0.10714285714285714,0.10714285714285714,0.010101010101010102,0.12598425196850394,0.017241379310344827,0.1111111111111111,0.011267605633802818,0.005681818181818182,0.003472222222222222,0.012658227848101266,0.02702702702702703,0.09316770186335403,0.08870967741935484,0.13089005235602094,0.11392405063291139,0.14583333333333334,0.019417475728155338,0.1888412017167382,0.36363636363636365,0.5161290322580645,0.125,0.15450643776824036,0.4444444444444444,0.5,0.25,0.4978540772532189,0.49137931034482757,0.4956521739130435,0.2807017543859649,0.008583690987124463,1.0,1.0,1.0,0.15021459227467812,0.4,0.4,0.6428571428571429,0.19047619047619047,0.5,,,,0.14285714285714285,0.6666666666666666,1.0,0.19642857142857142,0.5,0.008928571428571428,1.0,0.20535714285714285,0.4782608695652174,0.34763948497854075,0.4,0.4329043290043289,0.4210075,0.4253617117117118,0.06827309236947791,0.08018867924528301,0.10034602076124567,0.5536332179930796,12.61377551020408,25.935135135135134,0.4014440433212996,2.0,2.0,,,0.1111111111111111,0.03076923076923077,1.0,4.0,0.5,,2.0,,,,,2.0,,,,,,True,
2408,1610612766,Melvin Ely,Melvin Ely,2408,CHA,39638.0,661,-17.0,1254,1234,492,471,167,2488,32,51,13.0,20.0,12.0,24.0,38.0,105.0,10.0,23.0,,,,,,,,,,,,,80,179,,,41.0,201,1303,20.0,34,,,7.0,47.0,26,58,,,23.0,75,88,72,,,30.0,,,,6.0,,20.0,15.0,35.0,10.0,5.0,6.0,1.0,13.0,85.0,8.0,42,11.0,50.0,20.0,81,52,133,3.0,13,11.0,2.0,24.0,1.0,13.0,14.0,11.0,3.0,38,18.0,45,81,8.0,6.0,78.0,7.0,,32.0,11.0,23.0,12.0,23.0,2.0,75,492,9.0,0.55,0.676923076923077,,,,,,0.44692737430167595,0.5882352941176471,0.4482758620689655,0.44692737430167595,0.5882352941176471,0.4482758620689655,0.46744186046511627,0.5875,0.47468354430379744,,,0.0335195530726257,0.09803921568627451,,,17.484450587422252,0.631578947368421,0.4444444444444444,0.10504201680672269,0.07777777777777778,0.09565217391304348,0.10256410256410256,0.10321489001692047,0.08090614886731391,0.052941176470588235,0.08943089430894309,0.14,0.03571428571428571,0.08888888888888889,0.11678832116788321,0.10784313725490197,0.06944444444444445,0.13953488372093023,0.03296703296703297,0.2849162011173184,0.6274509803921569,0.6956521739130435,0.5,0.5865921787709497,0.3619047619047619,0.36538461538461536,0.47368421052631576,0.12849162011173185,0.43478260869565216,0.43478260869565216,1.0,,,,,,,,,0.5882352941176471,0.65,,,,,,,0.41379310344827586,0.5,,,,,0.2849162011173184,,0.4301027932960895,0.4680448275862068,0.4441413793103447,0.1568627450980392,0.1568627450980392,0.23383084577114427,0.373134328358209,6.7821229050279355,,0.3923444976076555,,7.0,,,0.009523809523809525,0.08870967741935484,1.0,13.0,0.5652173913043478,2.0,1.0,,3.0,0.045454545454545456,0.23076923076923078,10.0,1.0,,,,,True,
2586,1610612766,Keith Bogans,Keith Bogans,2586,CHA,32417.0,540,-17.0,1073,1061,411,388,163,2134,26,69,2.0,15.0,11.0,32.0,14.0,44.0,25.0,51.0,7.0,16.0,,,2.0,5.0,16.0,45.0,1.0,5.0,5.0,18.0,65,164,23.0,61.0,53.0,252,1115,10.0,25,1.0,5.0,6.0,29.0,18,56,7.0,23.0,23.0,80,56,74,54.0,15.0,4.0,3.0,42.0,16.0,27.0,1.0,42.0,8.0,50.0,2.0,6.0,21.0,9.0,12.0,108.0,1.0,17,9.0,38.0,2.0,49,22,71,3.0,26,17.0,9.0,27.0,6.0,17.0,14.0,10.0,,41,12.0,19,47,,2.0,73.0,9.0,,33.0,8.0,2.0,,2.0,1.0,80,411,11.0,0.4307692307692308,0.4444444444444444,0.782608695652174,0.3770491803278688,0.2,0.30434782608695654,0.39655172413793105,0.39634146341463417,0.4,0.32142857142857145,0.44222222222222224,0.38333333333333336,0.36075949367088606,0.490272373540856,0.4393939393939394,0.43478260869565216,0.27111111111111114,0.01639344262295082,0.16463414634146342,0.2318840579710145,,0.022222222222222223,23.820943245403676,0.6585365853658537,0.05405405405405406,0.09819121447028424,0.03981264637002342,0.08823529411764706,0.010638297872340425,0.09611451942740286,0.0345489443378119,0.05185185185185185,0.0449438202247191,,0.041666666666666664,0.08196721311475409,0.06837606837606838,0.13513513513513514,0.09090909090909091,0.08333333333333333,0.02912621359223301,0.30666666666666664,0.37681159420289856,0.49056603773584906,0.38461538461538464,0.19555555555555557,0.3181818181818182,0.42424242424242425,0.42857142857142855,0.22666666666666666,0.49019607843137253,0.49019607843137253,0.48,0.07111111111111111,0.4375,0.4375,0.8571428571428571,0.2,0.35555555555555557,0.36363636363636365,0.75,0.5,0.13333333333333333,,,,0.16666666666666666,0.2,,0.4050632911392405,0.34375,0.06329113924050633,0.4,0.22784810126582278,0.2777777777777778,0.5777777777777777,0.38095238095238093,0.49193716216216227,0.48450714285714275,0.48690460526315793,0.13253012048192772,0.17553191489361702,0.11507936507936507,0.31746031746031744,8.222560975609758,25.852459016393436,0.3830382106244175,1.0,1.0,,,0.25,0.017543859649122806,,1.0,0.5,4.0,1.0,,,0.08163265306122448,,2.0,,,,,,True,
