EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PtsUnassisted2s,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfOReb,Blocked2s,BlockedAtRim,Blocks,SelfORebPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFtPoints,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,FTOffRebounds,LostBallSteals,OffFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Offensive Fouls,RecoveredBlocks,BlocksRecoveredPct,OffThreePtRebounds,Travels,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3Assists,on,PtsUnassisted3s,Fg3aBlocked,ShortMidRangeAssists,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Clear Path Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,OffensiveGoaltends,BlockedCorner3,HeaveAttempts,ThreePtShootingFoulsDrawn,3SecondViolations,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,3pt And 1 Free Throw Trips,FoulsDrawn,Offensive Fouls Drawn
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,461.0,8.0,15,15,2.0,7,3.0,30,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,17,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.5,22.22222222222222,1.0,0.3333333333333333,0.2,0.3333333333333333,0.16666666666666666,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.673775,0.3333333333333333,0.5,0.5,26.5,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,1610612754,Anthony Johnson,Anthony Johnson,1533,IND,565.0,9.0,15,15,1.0,6,,30,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,18,,,2.0,1.0,,,,,,,,,2.0,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.625,,0.3333333333333333,25.0,,,,,,,,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,1.0,0.6060333333333333,0.25,0.3333333333333333,,25.4,0.06666666666666667,-5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,1610612754,Tremaine Fowlkes,Tremaine Fowlkes,1762,IND,3073.0,51.0,90,93,27.0,30,9.0,183,2.0,2.0,1.0,8.0,14.0,3.0,,19.0,83,,5.0,8.0,1.0,3.0,3.0,5.0,3.0,8.0,3.0,2.0,5.0,2.0,1.0,27.0,0.5,0.5714285714285714,0.5714285714285714,0.5588235294117647,0.5277777777777778,0.8333333333333334,0.17647058823529413,23.232323232323232,0.6,0.09090909090909091,0.125,0.09523809523809523,0.08108108108108109,,0.07692307692307693,0.11764705882352941,1.0,1.0,0.5,0.058823529411764705,0.29411764705882354,0.3917705882352941,0.05555555555555555,0.06666666666666667,0.2631578947368421,23.933333333333337,0.3,-10.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,9.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,2.0,9.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,9.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,0.5,0.8333333333333334,0.5625,0.5625,0.07142857142857142,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.25,0.15384615384615385,0.5,0.16666666666666666,0.17647058823529413,0.3333333333333333,0.5,0.5294117647058824,0.5555555555555556,0.5555555555555556,0.6,0.11764705882352941,0.5,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.125,1.0,0.125,1.0,0.125,0.4809666666666666,0.39763125,0.47368421052631576,13.085714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,151.0,3.0,4,5,1.0,4,,9,,,,,,,,,6,,,,,,1.0,2.0,,2.0,,,,,,1.0,,,,,,,,,,0.5,,0.6666666666666666,,,,,,,,,,,,,,,0.25,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,1698.0,28.0,48,52,7.0,14,5.0,100,2.0,3.0,2.0,4.0,7.0,2.0,4.0,12.0,47,,,,2.0,1.0,2.0,2.0,1.0,3.0,1.0,,2.0,4.0,2.0,7.0,,,0.5714285714285714,0.4444444444444444,0.5454545454545454,,0.2222222222222222,24.528301886792452,0.5,0.09523809523809523,0.09090909090909091,0.09523809523809523,0.05263157894736842,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0.2222222222222222,0.5555555555555556,0.45877777777777773,0.18181818181818182,0.2222222222222222,,25.049999999999997,0.14583333333333334,-10.0,8.0,,,1.0,1.0,,,2.0,4.0,,,,,,,1.0,,,,,,1.0,2.0,,1.0,2.0,,,,,,,,1.0,1.0,,1.0,,,,2.0,,,,,,,,0.5,,0.3333333333333333,0.3333333333333333,,,,,,0.25,,,,,,0.4444444444444444,0.5,0.5,,,,,,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,,0.42673333333333335,0.16666666666666666,10.328571428571427,0.25,,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612754,James Jones,James Jones,2592,IND,724.0,12.0,23,25,5.0,6,2.0,48,,,2.0,1.0,3.0,2.0,,2.0,16,,,2.0,2.0,,2.0,2.0,,2.0,,,,,,5.0,1.0,1.0,0.3333333333333333,0.2,0.2,,0.4,20.833333333333336,,0.2,,0.16666666666666666,,,0.2,,,,,0.4,0.4,0.42919,,,,25.8,0.21739130434782608,-10.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,14.666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,1610612754,Eddie Gill,Eddie Gill,2109,IND,2536.0,42.0,74,75,25.0,23,9.0,149,1.0,2.0,2.0,1.0,4.0,2.0,3.0,8.0,69,,5.0,,2.0,,2.0,4.0,1.0,5.0,1.0,1.0,3.0,4.0,2.0,25.0,,,0.25,0.4166666666666667,0.5,0.8333333333333334,0.3333333333333333,13.253012048192772,0.3333333333333333,0.08,,0.12121212121212122,,,,0.3333333333333333,0.5,0.5,,0.3333333333333333,0.6666666666666666,0.44292499999999996,0.25,0.3333333333333333,0.625,25.1,0.33783783783783783,-2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,,,2.0,,3.0,2.0,1.0,2.0,,,1.0,1.0,4.0,6.0,2.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.75,,,,0.25,,,,0.3333333333333333,0.16666666666666666,,,0.16666666666666666,,,,,,,,0.3333333333333333,1.0,,,,0.3333333333333333,1.0,,,0.3333333333333333,0.42588333333333334,0.41724999999999995,0.75,5.85,0.18181818181818182,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,3.0,4.0,17.0,1.0,1.0,0.2,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,1610612754,Marcus Haislip,Marcus Haislip,2409,IND,1702.0,28.0,47,47,15.0,10,4.0,94,1.0,1.0,1.0,1.0,3.0,1.0,4.0,6.0,38,,,2.0,1.0,,2.0,2.0,,2.0,2.0,2.0,3.0,4.0,2.0,15.0,1.0,1.0,0.3333333333333333,0.25,0.5,,0.25,17.647058823529413,0.6666666666666666,0.13333333333333333,,0.1,,,0.5,0.25,1.0,1.0,1.0,0.25,0.5,0.437775,0.3333333333333333,0.4,,25.7,0.3191489361702128,11.0,,,,1.0,1.0,,,,2.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,2.0,,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,,,,,,,,1.0,,0.5,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,1.0,,,0.5,,0.48955,0.3333333333333333,10.866666666666667,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,1610612754,David Harrison,David Harrison,2758,IND,1099.0,18.0,29,31,5.0,6,4.0,60,,2.0,,,4.0,,2.0,2.0,27,,,,,1.0,,,2.0,2.0,1.0,,2.0,2.0,1.0,5.0,,,,,0.2,,,20.588235294117645,0.5,,0.1111111111111111,,0.15384615384615385,0.25,,0.5,,,,,0.5,0.478,0.2,0.2,,,0.1724137931034483,-9.0,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,0.25,0.5,,,,,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,4.475,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,241.0,4.0,8,7,,2,1.0,15,1.0,1.0,,1.0,1.0,,,2.0,4,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,11.11111111111111,,,,,,,,1.0,1.0,1.0,1.0,,1.0,0.4524,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
