EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsPutbacks,HeaveAttempts,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGM,Corner3Assists,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,AtRimPctBlocked,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,PenaltyCorner3FGA,FTOffRebounds,BlockedLongMidRange,OffensiveGoaltends,LongMidRangePctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,on,BlockedCorner3,Clear Path Fouls
1507,1610612757,Derek Anderson,Derek Anderson,1507,POR,1222.0,20,-6,39,37,11,20,6,76,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,7.0,45,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,11,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.3333333333333333,0.4375,0.5,0.4375,0.5,0.25,0.16666666666666666,1.0,22.22222222222222,1.0,0.07142857142857142,0.5,0.125,0.5,0.5,0.25,1.0,1.0,0.5,0.125,0.375,0.125,0.125,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.46415,0.3879,0.3953333333333333,0.42857142857142855,10.366666666666665,23.75,0.28205128205128205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,5636.0,94,-20,186,187,88,59,28,373,12.0,21.0,6.0,,1.0,,3.0,,3.0,15.0,27.0,,4.0,45.0,209,2.0,11.0,,3.0,18.0,24.0,6.0,,2.0,,,11.0,14.0,8.0,1.0,31.0,1.0,1.0,3.0,9.0,7.0,4.0,5.0,3.0,9.0,1.0,7.0,18.0,88,2.0,0.8,0.8571428571428571,,,,,0.5555555555555556,0.4838709677419355,0.42857142857142855,0.5625,0.5,0.12903225806451613,,,22.790697674418606,0.5555555555555556,0.017241379310344827,0.041666666666666664,0.024390243902439025,,0.06666666666666667,0.6774193548387096,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.1935483870967742,,0.03225806451612903,0.0967741935483871,,,,0.21428571428571427,,0.8064516129032258,,0.5314066666666666,0.5742499999999999,0.4813730769230769,0.4,1.7518518518518515,36.225,0.4731182795698925,1.0,2.0,6.0,9.0,3.0,15.0,1.0,6.0,8.0,6.0,6.0,2.0,1.0,3.0,3.0,2.0,1.0,5.0,1.0,6.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,18.0,8.0,1.0,1.0,1.0,1.0,0.5,0.5454545454545454,0.5,0.8,0.14285714285714285,0.08064516129032258,0.05263157894736842,0.07407407407407407,0.07142857142857142,0.14285714285714285,0.05,0.07142857142857142,0.047619047619047616,0.14285714285714285,0.5,0.5,0.6666666666666666,1.0,0.5,0.6428571428571429,0.6666666666666666,0.20512820512820512,0.22857142857142856,0.17777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2038,1610612757,Joel Przybilla,Joel Przybilla,2038,POR,16722.0,279,-72,527,522,151,134,67,1049,30.0,47.0,10.0,6.0,,,,,,35.0,63.0,,,80.0,570,13.0,12.0,,,21.0,56.0,14.0,,,,11.0,6.0,8.0,4.0,2.0,18.0,8.0,45.0,60.0,85.0,2.0,,8.0,3.0,16.0,13.0,27.0,21.0,151,1.0,0.8,0.9655172413793104,,,,,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.65625,,0.1746031746031746,0.3,14.593698175787727,0.5,0.215311004784689,0.1568627450980392,0.20384615384615384,0.18867924528301888,0.13513513513513514,0.746031746031746,0.6382978723404256,0.7692307692307693,0.8,0.15873015873015872,0.09523809523809523,,,,,,,,0.746031746031746,,0.5111984126984127,0.5690461538461539,0.5360166666666667,0.2625,2.906349206349206,,0.286527514231499,7.0,12.0,8.0,10.0,4.0,10.0,7.0,,14.0,8.0,5.0,12.0,,2.0,1.0,,3.0,22.0,7.0,25.0,,2.0,1.0,8.0,5.0,4.0,2.0,4.0,21.0,10.0,2.0,1.0,1.0,24.0,0.5384615384615384,0.6666666666666666,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.1116751269035533,0.058823529411764705,0.10080645161290322,0.13432835820895522,0.1,0.1,0.02631578947368421,0.2876712328767123,,0.4,0.5714285714285714,0.75,0.9230769230769231,0.5833333333333334,0.8333333333333334,0.8,0.14285714285714285,0.14285714285714285,0.175,1.0,1.0,1.0,2.0,5.0,3.0,23.0,17.0,6.0,8.0,6.0,2.0,0.1702127659574468,0.15384615384615385,0.1686746987951807,0.21428571428571427,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2751,1610612757,Viktor Khryapa,Viktor Khryapa,2751,POR,31741.0,529,-123,1015,1019,338,365,136,2034,29.0,47.0,18.0,48.0,4.0,3.0,7.0,1.0,4.0,50.0,113.0,4.0,11.0,135.0,1100,17.0,37.0,1.0,5.0,51.0,82.0,18.0,12.0,7.0,3.0,10.0,17.0,25.0,13.0,1.0,58.0,15.0,55.0,80.0,108.0,20.0,13.0,23.0,17.0,33.0,44.0,80.0,51.0,338,10.0,0.82,0.9111111111111111,1.0,0.36363636363636365,0.2,0.36363636363636365,0.4424778761061947,0.45161290322580644,0.44047619047619047,0.46551724137931033,0.4636363636363636,0.08870967741935484,0.08849557522123894,0.1111111111111111,15.278969957081545,0.696969696969697,0.14397905759162305,0.14150943396226415,0.14344262295081966,0.1276595744680851,0.18421052631578946,0.3790322580645161,0.6170212765957447,0.725,0.8275862068965517,0.14516129032258066,0.3870967741935484,0.03225806451612903,0.056451612903225805,0.42857142857142855,0.42857142857142855,1.0,0.09523809523809523,0.25,0.46774193548387094,0.42857142857142855,0.47170846774193537,0.4586470588235294,0.4882488095238096,0.37777777777777777,9.492920353982301,24.563636363636363,0.3330049261083744,6.0,9.0,11.0,16.0,4.0,23.0,9.0,3.0,21.0,17.0,14.0,10.0,,8.0,4.0,3.0,6.0,21.0,10.0,28.0,,7.0,3.0,10.0,6.0,4.0,8.0,2.0,42.0,15.0,7.0,1.0,1.0,18.0,0.5294117647058824,0.4594594594594595,0.5294117647058824,0.5,0.2777777777777778,0.05526315789473684,0.06521739130434782,0.057203389830508475,0.09558823529411764,0.010638297872340425,0.04666666666666667,0.08571428571428572,0.19708029197080293,,0.2222222222222222,0.25,0.25,0.5294117647058824,0.6666666666666666,0.38095238095238093,0.6875,0.10869565217391304,0.11811023622047244,0.15555555555555556,17.0,4.0,2.0,1.0,,1.0,17.0,11.0,4.0,10.0,1.0,3.0,0.14893617021276595,,0.10596026490066225,0.03333333333333333,0.5555555555555556,0.3541666666666667,0.3617021276595745,0.9411764705882353,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,0.020833333333333332,0.025,0.25,0.25,1.0,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,True,,
757,1610612757,Damon Stoudamire,Damon Stoudamire,757,POR,18915.0,315,-63,595,598,195,196,85,1193,12.0,23.0,11.0,31.0,15.0,23.0,64.0,9.0,27.0,27.0,65.0,30.0,79.0,171.0,667,2.0,19.0,12.0,35.0,66.0,12.0,42.0,66.0,63.0,23.0,7.0,38.0,45.0,24.0,10.0,97.0,7.0,18.0,25.0,33.0,9.0,3.0,13.0,10.0,21.0,6.0,20.0,66.0,195,3.0,0.2222222222222222,0.23076923076923078,0.7333333333333333,0.379746835443038,0.34285714285714286,0.38461538461538464,0.4153846153846154,0.5,0.5185185185185185,0.535483870967742,0.5603448275862069,0.5486111111111112,0.1076923076923077,0.09090909090909091,25.544267053701017,0.6190476190476191,0.07860262008733625,0.109375,0.08532423208191127,0.10714285714285714,0.10638297872340426,0.1597222222222222,0.5217391304347826,0.6666666666666666,0.25,0.0763888888888889,0.2152777777777778,0.10416666666666667,0.4444444444444444,0.359375,0.359375,0.6956521739130435,0.5,0.3333333333333333,0.7083333333333334,0.36507936507936506,0.49485419580419593,0.527725,0.4703888888888888,0.38596491228070173,11.036923076923076,25.086075949367093,0.3277310924369748,,,2.0,3.0,5.0,27.0,2.0,2.0,21.0,10.0,10.0,2.0,1.0,7.0,3.0,4.0,1.0,7.0,,8.0,2.0,6.0,4.0,8.0,3.0,1.0,8.0,2.0,29.0,8.0,3.0,,,1.0,1.0,0.5263157894736842,0.7307692307692307,0.7142857142857143,,0.03125,0.015151515151515152,0.027586206896551724,0.036585365853658534,,0.045454545454545456,,0.058823529411764705,0.02564102564102564,0.45454545454545453,0.5,,,,0.05555555555555555,0.6666666666666666,0.05921052631578947,0.1111111111111111,0.12280701754385964,10.0,4.0,2.0,,,1.0,1.0,,1.0,1.0,,,0.21739130434782608,0.06666666666666667,0.07954545454545454,0.11764705882352941,1.0,0.3225806451612903,0.3333333333333333,0.3,,7.0,8.0,,,,0.03225806451612903,,0.4666666666666667,0.4666666666666667,0.8571428571428571,0.14814814814814814,3.0,5.0,3.0,2.0,6.0,5.0,11.0,24.0,5.0,1.0,0.45454545454545453,0.38461538461538464,0.6,1.0,0.46153846153846156,0.3333333333333333,1.0,0.375,0.0125,,,,,,True,,
89,1610612757,Nick Van Exel,Nick Van Exel,89,POR,1883.0,31,-8,58,56,13,22,7,114,,1.0,4.0,1.0,1.0,2.0,3.0,,1.0,,6.0,2.0,4.0,6.0,64,2.0,2.0,,1.0,,,,6.0,3.0,2.0,,4.0,5.0,3.0,,11.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,,13,,,,1.0,0.5,,0.5,,0.3,,0.3,,0.4,,,19.11764705882353,0.3333333333333333,0.07692307692307693,,0.06666666666666667,,,0.1,,,,0.4,0.1,0.1,0.3,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,0.5,0.6666666666666666,0.48935500000000004,0.39375,0.3367166666666667,,10.183333333333334,24.950000000000003,0.22413793103448276,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
949,1610612757,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,POR,18654.0,311,-118,590,601,193,201,88,1191,24.0,47.0,30.0,29.0,1.0,1.0,6.0,1.0,4.0,44.0,106.0,2.0,7.0,132.0,688,18.0,26.0,1.0,4.0,31.0,50.0,38.0,6.0,5.0,1.0,10.0,18.0,27.0,10.0,7.0,63.0,11.0,28.0,42.0,62.0,6.0,3.0,13.0,7.0,27.0,12.0,26.0,31.0,193,2.0,0.5681818181818182,0.6578947368421053,1.0,0.2857142857142857,0.25,0.3333333333333333,0.41509433962264153,0.415929203539823,0.35,0.48484848484848486,0.4166666666666667,0.061946902654867256,0.09433962264150944,0.06666666666666667,23.076923076923077,0.48148148148148145,0.12280701754385964,0.2037037037037037,0.13829787234042554,0.14814814814814814,0.15789473684210525,0.415929203539823,0.5106382978723404,0.6,0.5833333333333334,0.26548672566371684,0.25663716814159293,0.008849557522123894,0.05309734513274336,0.16666666666666666,0.16666666666666666,1.0,0.13333333333333333,0.25,0.4778761061946903,0.2,0.4638857142857142,0.5261058823529412,0.4515344827586207,0.23484848484848486,7.526415094339622,27.614285714285717,0.3271186440677966,9.0,15.0,5.0,10.0,9.0,38.0,10.0,6.0,26.0,9.0,10.0,12.0,1.0,9.0,5.0,1.0,2.0,17.0,3.0,20.0,4.0,3.0,2.0,14.0,6.0,4.0,9.0,5.0,48.0,20.0,4.0,,,2.0,0.5555555555555556,0.34615384615384615,0.5263157894736842,0.5652173913043478,0.17647058823529413,0.0735930735930736,0.03333333333333333,0.06529209621993128,0.09523809523809523,0.06896551724137931,0.056179775280898875,0.020833333333333332,0.10975609756097561,0.07272727272727272,0.3,0.32142857142857145,0.3333333333333333,0.7894736842105263,0.6,0.3333333333333333,0.5,0.15625,0.1652892561983471,0.19696969696969696,11.0,4.0,2.0,4.0,3.0,5.0,2.0,1.0,1.0,1.0,,1.0,0.14893617021276595,0.08333333333333333,0.11956521739130435,0.3125,0.5,0.3793103448275862,0.39285714285714285,0.7272727272727273,0.2222222222222222,1.0,,1.0,,,0.034482758620689655,0.043478260869565216,1.0,1.0,1.0,,,,,,1.0,,1.0,,5.0,,,,,,0.05263157894736842,,,,,1.0,,,,,True,,
2032,1610612757,Darius Miles,Darius Miles,2032,POR,7848.0,131,-12,252,254,66,91,27,506,16.0,24.0,10.0,25.0,,,2.0,,2.0,25.0,59.0,,2.0,64.0,271,5.0,13.0,,2.0,24.0,30.0,20.0,,1.0,,3.0,3.0,3.0,3.0,,6.0,6.0,14.0,23.0,27.0,5.0,2.0,6.0,4.0,10.0,8.0,10.0,24.0,66,,0.6,0.6818181818181818,,,,,0.423728813559322,0.4098360655737705,0.5333333333333333,0.463768115942029,0.6,0.03278688524590164,0.05084745762711865,0.3,28.214285714285715,0.6,0.15053763440860216,0.18181818181818182,0.15873015873015872,0.18181818181818182,0.20833333333333334,0.39344262295081966,0.6666666666666666,0.6666666666666666,0.5625,0.16393442622950818,0.4098360655737705,,0.03278688524590164,,,,0.13333333333333333,,0.4262295081967213,,0.4761350000000001,0.54156,0.5236428571428572,0.375,9.727118644067795,32.95,0.2619047619047619,3.0,4.0,6.0,8.0,1.0,14.0,3.0,,6.0,8.0,8.0,6.0,1.0,,,,,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,,2.0,,20.0,6.0,4.0,1.0,1.0,10.0,0.6,0.6153846153846154,0.6,0.6,0.375,0.043478260869565216,,0.038834951456310676,0.1,0.041666666666666664,,,0.16129032258064516,0.09375,0.1,0.14285714285714285,1.0,0.8,0.75,0.5333333333333333,0.75,0.1076923076923077,0.0967741935483871,0.09375,8.0,,1.0,,,3.0,9.0,8.0,1.0,5.0,,,,,0.125,0.1111111111111111,0.5,0.32,0.32,0.625,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,1.0,,,,,True,,
2742,1610612757,Sebastian Telfair,Sebastian Telfair,2742,POR,19816.0,330,-87,645,646,212,231,84,1291,16.0,29.0,13.0,46.0,3.0,2.0,12.0,,4.0,37.0,88.0,3.0,15.0,113.0,692,3.0,25.0,1.0,6.0,35.0,16.0,58.0,9.0,12.0,2.0,10.0,49.0,63.0,32.0,15.0,140.0,6.0,16.0,22.0,25.0,7.0,1.0,27.0,19.0,34.0,9.0,26.0,35.0,212,4.0,0.21621621621621623,0.2222222222222222,1.0,0.2,0.16666666666666666,0.2,0.42045454545454547,0.4029126213592233,0.3387096774193548,0.4666666666666667,0.4375,0.14563106796116504,0.11363636363636363,0.07692307692307693,20.92391304347826,0.7941176470588235,0.06751054852320675,0.1,0.07407407407407407,0.037037037037037035,0.09302325581395349,0.2815533980582524,0.5517241379310345,0.7272727272727273,0.1875,0.1262135922330097,0.44660194174757284,0.02912621359223301,0.11650485436893204,0.16666666666666666,0.18181818181818182,1.0,0.12903225806451613,,0.42718446601941745,0.16666666666666666,0.4603377450980392,0.45245,0.4240966666666666,0.30973451327433627,11.087499999999999,25.540000000000003,0.32868217054263565,1.0,2.0,3.0,7.0,2.0,30.0,2.0,2.0,6.0,9.0,14.0,2.0,,14.0,10.0,2.0,1.0,2.0,,3.0,,6.0,3.0,7.0,8.0,1.0,8.0,1.0,41.0,17.0,6.0,,,2.0,0.6666666666666666,0.36,0.6666666666666666,0.75,,0.008130081300813009,0.0196078431372549,0.010101010101010102,,,0.020618556701030927,,0.07407407407407407,,0.15384615384615385,0.16666666666666666,0.5,0.6666666666666666,0.5,0.22580645161290322,0.42857142857142855,0.14912280701754385,0.1717171717171717,0.05309734513274336,19.0,4.0,2.0,,,6.0,2.0,1.0,,,,,0.2413793103448276,0.08333333333333333,0.0784313725490196,0.11764705882352941,,0.41304347826086957,0.4318181818181818,0.21052631578947367,,1.0,2.0,,1.0,,0.043478260869565216,,0.3333333333333333,0.3333333333333333,1.0,0.06451612903225806,,,1.0,,,,,,1.0,,,,,,,,,0.5,,,1.0,0.06666666666666667,0.08333333333333333,,True,,
2499,1610612757,Richie Frahm,Richie Frahm,2499,POR,9822.0,164,-27,316,316,109,146,40,632,6.0,12.0,1.0,10.0,15.0,3.0,14.0,1.0,6.0,10.0,23.0,12.0,29.0,60.0,312,4.0,8.0,4.0,13.0,21.0,12.0,8.0,36.0,14.0,3.0,5.0,9.0,10.0,7.0,1.0,21.0,4.0,9.0,14.0,21.0,4.0,2.0,2.0,1.0,5.0,1.0,6.0,21.0,109,1.0,0.6,0.6666666666666666,1.0,0.41379310344827586,0.3076923076923077,0.41379310344827586,0.43478260869565216,0.5384615384615384,0.47619047619047616,0.5462962962962963,0.4772727272727273,0.5576923076923077,0.21739130434782608,1.0,16.343490304709142,0.4,0.08490566037735849,0.1111111111111111,0.09154929577464789,0.03571428571428571,0.10344827586206896,0.23076923076923078,0.5,0.6666666666666666,0.6666666666666666,0.019230769230769232,0.19230769230769232,0.28846153846153844,0.2692307692307692,0.21428571428571427,0.21428571428571427,1.0,0.2857142857142857,0.16666666666666666,0.7884615384615384,0.21428571428571427,0.5383971153846153,0.5169625,0.5229714285714286,0.35,9.41304347826087,24.03103448275862,0.3449367088607595,1.0,2.0,3.0,4.0,,4.0,1.0,,5.0,4.0,1.0,2.0,,1.0,,1.0,2.0,5.0,1.0,7.0,,2.0,1.0,3.0,1.0,,2.0,1.0,5.0,1.0,1.0,,,,0.25,0.5,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.041666666666666664,0.05555555555555555,0.04487179487179487,0.023809523809523808,0.03225806451612903,0.06382978723404255,0.03571428571428571,0.1111111111111111,,,,,0.2857142857142857,0.5,0.19047619047619047,0.75,0.018867924528301886,0.041666666666666664,0.08333333333333333,4.0,1.0,,,1.0,,,,,,,,0.25,0.125,0.09523809523809523,0.14285714285714285,,0.4,0.4444444444444444,0.5,,9.0,7.0,,,,0.1,,0.6,0.6,1.0,0.3333333333333333,1.0,1.0,3.0,,2.0,1.0,3.0,,1.0,,0.3333333333333333,0.14285714285714285,1.0,1.0,0.2857142857142857,,,0.42857142857142855,,,,,,,True,,
