EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PenaltyFtPoints,NonShootingFoulsDrawn,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,AtRimAssists,NonShootingPenaltyNonTakeFouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,Arc3Assists,Travels,BlockedAtRim,RecoveredBlocks,LongMidRangePctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ShortMidRangePctBlocked,Blocked3s,BlockedArc3,DefensiveGoaltends,3SecondViolations,on,HeaveAttempts,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,DefCorner3ReboundPct,BlockedCorner3,OffensiveGoaltends,PenaltyCorner3FGM,Fg3aBlocked,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Clear Path Fouls,3pt And 1 Free Throw Trips
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,2148.0,36,14.0,70,66,31,22,14,136,1.0,1.0,2.0,6.0,3.0,7,1.0,7,56,1.0,1.0,2.0,1.0,2,2,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2,31,0.6666666666666666,0.6666666666666666,0.42857142857142855,1.0,0.5,0.42857142857142855,1.0,0.5,0.4375,1.0,0.5,10.112359550561798,1.0,0.3333333333333333,0.17391304347826086,0.06060606060606061,0.2,0.17857142857142858,0.05263157894736842,0.1111111111111111,0.05,0.16666666666666666,0.2727272727272727,0.2,0.14285714285714285,1.0,1.0,1.0,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.5,0.37965714285714286,0.457,0.34065,0.125,0.125,0.2857142857142857,0.2857142857142857,17.599999999999998,0.44285714285714284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1509,1610612753,Kelvin Cato,Kelvin Cato,1509,ORL,534.0,9,-4.0,17,18,10,2,6,35,,1.0,,1.0,,2,4.0,4,18,,,2.0,,1,4,,,,,,,1.0,,,,,1.0,1,2.0,2.0,,,,,,,,,4.0,1.0,,,,4,10,,,,,,,,,0.5,1.0,0.6666666666666666,14.814814814814813,,,,0.058823529411764705,,,0.058823529411764705,,0.09090909090909091,,,,0.5,,,,0.5,,,,0.4072,,0.4103,0.3333333333333333,0.3333333333333333,0.5,1.0,15.75,0.5882352941176471,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2052,1610612753,DeShawn Stevenson,DeShawn Stevenson,2052,ORL,2466.0,41,-5.0,84,83,55,45,15,167,,3.0,2.0,9.0,5.0,19,2.0,12,88,,,1.0,2.0,12,6,2.0,8.0,4.0,4.0,1.0,8.0,,,3.0,3.0,6.0,,6,,,,,,,,2.0,4.0,,6.0,,,,,6,55,0.2,0.2,0.2631578947368421,,0.16666666666666666,0.22727272727272727,,0.13333333333333333,0.24,0.25,0.16666666666666666,23.80952380952381,,,0.125,,0.23076923076923078,0.16216216216216217,,,,,0.2,0.25,0.13636363636363635,,,,0.4090909090909091,0.2222222222222222,0.2222222222222222,0.5,0.4519840909090909,0.3711,0.4292233333333334,,,0.08333333333333333,0.5,10.805263157894736,0.6547619047619048,1.0,2.0,3.0,3.0,7.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,0.13636363636363635,0.10526315789473684,0.2857142857142857,0.25,0.3181818181818182,0.42857142857142855,0.6,0.13636363636363635,1.0,0.26666666666666666,0.5,0.2,0.45454545454545453,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,2877.0,48,8.0,95,91,52,42,14,186,,,1.0,7.0,2.0,11,3.0,25,88,,,4.0,1.0,4,10,2.0,2.0,8.0,9.0,2.0,19.0,,1.0,2.0,1.0,4.0,5.0,9,1.0,,3.0,1.0,5.0,,5.0,1.0,4.0,,5.0,1.0,,,,10,52,0.5,0.5,0.18181818181818182,,0.25,0.5,0.5,0.4444444444444444,0.5208333333333334,0.5,0.45454545454545453,25.0,0.6,0.25,0.027777777777777776,,0.18181818181818182,0.06382978723404255,0.0784313725490196,,,,0.09090909090909091,0.2,,,,,0.3181818181818182,0.14285714285714285,0.14285714285714285,1.0,0.4961772727272727,0.40155,0.4468944444444445,0.045454545454545456,0.09090909090909091,0.16,0.4,11.9,0.5473684210526316,1.0,2.0,2.0,1.0,4.0,,,8.0,2.0,4.0,11.0,3.0,5.0,8.0,2.0,2.0,1.0,0.5,0.18181818181818182,0.5,,0.18181818181818182,0.25,0.5,0.36363636363636365,0.6666666666666666,,,0.4444444444444444,0.6818181818181818,25.145454545454548,1.0,3.0,1.0,1.0,5.0,1.0,2.0,6.0,1.0,2.0,18.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5454545454545454,0.3333333333333333,0.4,0.5454545454545454,0.14285714285714285,0.3333333333333333,0.2857142857142857,0.4,0.08333333333333333,0.13636363636363635,0.3333333333333333,0.3333333333333333,1.0,0.625,0.625,1.0,0.3333333333333333,0.5,1.0,0.1111111111111111,0.5,0.625,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2891,1610612753,Mark Jones,Mark Jones,2891,ORL,6907.0,115,5.0,231,227,130,87,43,458,1.0,3.0,5.0,16.0,9.0,27,5.0,23,234,2.0,7.0,5.0,7.0,14,17,12.0,6.0,5.0,6.0,3.0,13.0,6.0,,,7.0,7.0,6.0,13,5.0,3.0,1.0,1.0,3.0,1.0,1.0,9.0,16.0,1.0,10.0,3.0,2.0,1.0,2.0,17,130,0.6666666666666666,0.75,0.3333333333333333,0.2857142857142857,0.5,0.2903225806451613,0.2857142857142857,0.4117647058823529,0.3194444444444444,0.3125,0.425,13.26530612244898,0.3333333333333333,,0.0875,0.05825242718446602,,0.06666666666666667,0.05,,0.1111111111111111,0.09523809523809523,0.058823529411764705,,0.0967741935483871,0.3333333333333333,0.3333333333333333,1.0,0.5161290322580645,0.3125,0.3333333333333333,0.8,0.45105322580645163,0.47297142857142854,0.4407794117647059,0.08823529411764706,0.1,0.21739130434782608,0.7391304347826086,12.174074074074074,0.5627705627705628,1.0,3.0,2.0,3.0,8.0,2.0,4.0,1.0,,1.0,4.0,,3.0,1.0,2.0,1.0,1.0,0.12903225806451613,0.07407407407407407,0.125,0.12,0.25806451612903225,0.375,0.42857142857142855,0.03225806451612903,,0.23529411764705882,0.5,0.058823529411764705,0.3870967741935484,23.475,,3.0,,2.0,,,,,,,,,1.0,,1.0,,,,2.0,,,2.0,1.0,,,,,,,,,,,,0.0967741935483871,,,,,,,,,,0.11764705882352941,,,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0625,0.047619047619047616,1.0,0.3333333333333333,0.42857142857142855,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,1758.0,29,-13.0,55,54,36,21,9,109,,,2.0,2.0,4.0,6,2.0,13,65,1.0,1.0,2.0,2.0,2,9,6.0,2.0,1.0,1.0,,2.0,2.0,,1.0,3.0,5.0,2.0,7,,,1.0,1.0,2.0,,2.0,2.0,3.0,,2.0,,,,,9,36,0.75,0.75,0.6666666666666666,1.0,1.0,0.55,0.5,0.7,0.5909090909090909,0.5,0.75,18.571428571428573,0.5,,0.14285714285714285,0.10526315789473684,0.125,0.13793103448275862,0.07692307692307693,0.14285714285714285,,0.25,0.125,0.14285714285714285,,,,,0.2,1.0,1.0,0.5,0.5448000000000001,0.472,0.5728099999999999,,,0.15384615384615385,0.6923076923076923,5.55,0.6545454545454545,,2.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,0.4,0.3333333333333333,0.5,,0.4,0.5,1.0,0.4,0.5,0.2,1.0,0.6,0.8,25.375,,,,,1.0,,1.0,1.0,,1.0,3.0,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,0.25,,0.3333333333333333,0.25,0.3333333333333333,,,,,,,,,0.25,0.25,1.0,,,,,0.3333333333333333,0.25,1.0,1.0,,,,,,,0.3333333333333333,,1.0,0.5,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1883,1610612753,Steve Francis,Steve Francis,1883,ORL,2812.0,47,2.0,87,85,37,22,14,172,1.0,4.0,3.0,9.0,6.0,19,10.0,25,82,1.0,2.0,8.0,4.0,9,12,2.0,10.0,6.0,9.0,2.0,21.0,2.0,,2.0,2.0,4.0,3.0,7,2.0,2.0,1.0,1.0,4.0,,2.0,1.0,4.0,1.0,14.0,6.0,1.0,,1.0,12,37,0.16666666666666666,0.2,0.3157894736842105,0.5,0.4444444444444444,0.3409090909090909,0.8333333333333334,0.4,0.43103448275862066,0.8,0.46153846153846156,31.132075471698112,0.25,,0.05263157894736842,0.05405405405405406,0.15384615384615385,0.0784313725490196,0.06666666666666667,0.1,0.058823529411764705,,0.1111111111111111,0.15384615384615385,0.18181818181818182,0.25,0.25,,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.47384318181818175,0.5601499999999999,0.46615,0.21428571428571427,0.24,0.32,0.48,11.326315789473684,0.42528735632183906,3.0,4.0,1.0,2.0,6.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0,2.0,,4.0,,0.13636363636363635,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.09090909090909091,,0.2,1.0,0.1,0.4090909090909091,24.400000000000002,1.0,1.0,1.0,,,,,1.0,1.0,,3.0,,3.0,1.0,,1.0,,1.0,,,,3.0,2.0,,1.0,0.3333333333333333,1.0,,0.3333333333333333,,0.125,0.16666666666666666,,0.07142857142857142,0.045454545454545456,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,1.0,2.0,2.0,2.0,,1.0,,,,,,0.6666666666666666,0.5,,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,
255,1610612753,Grant Hill,Grant Hill,255,ORL,551.0,9,-2.0,19,19,15,12,4,38,,1.0,2.0,4.0,2.0,5,,4,21,,2.0,,2.0,3,4,,4.0,,,,,3.0,,,1.0,1.0,3.0,4,1.0,,,,,,,,1.0,,,,,,,4,15,,,0.4,,0.6666666666666666,0.4,,0.6666666666666666,0.4,,0.6666666666666666,19.23076923076923,,,0.14285714285714285,0.3,,0.14285714285714285,0.3,,0.42857142857142855,,0.25,,0.2,,,,0.8,0.5,0.5,,0.38184,0.3579,0.3978,,,,1.0,15.959999999999999,0.7894736842105263,,,,,,,,,,,,,,,1.0,,1.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,3259.0,54,-3.0,110,105,64,49,15,215,2.0,5.0,3.0,4.0,11.0,20,8.0,30,112,2.0,5.0,7.0,5.0,8,18,12.0,10.0,2.0,2.0,1.0,4.0,6.0,,,8.0,10.0,6.0,16,1.0,1.0,4.0,2.0,5.0,1.0,4.0,5.0,5.0,,10.0,5.0,,,1.0,18,64,0.5454545454545454,0.6666666666666666,0.55,0.4,0.625,0.55,0.4,0.625,0.6,0.5,0.6923076923076923,23.4375,0.8,,0.23529411764705882,0.13043478260869565,,0.17391304347826086,0.12,0.07142857142857142,0.05555555555555555,0.16666666666666666,0.16666666666666666,,0.25,0.4,0.4,0.5,0.2,0.75,0.75,0.3333333333333333,0.482725,0.56726,0.536375,0.2,0.2,0.23333333333333334,0.6,6.2,0.5818181818181818,3.0,8.0,,6.0,11.0,3.0,6.0,,,,,,,,,1.0,,,,,0.4,0.55,0.5454545454545454,0.5454545454545454,,,0.75,0.5,,0.55,,,,,,,,,,,,,,,,,,2.0,,,,2.0,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,2.0,5.0,4.0,,,,,,0.2857142857142857,,0.6666666666666666,1.0,0.4,,,,,,1.0,1.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,
2435,1610612753,Mario Kasun,Mario Kasun,2435,ORL,2873.0,48,,96,97,46,26,19,193,1.0,2.0,,,11.0,19,6.0,28,101,2.0,7.0,4.0,7.0,10,16,18.0,4.0,,1.0,,3.0,9.0,,1.0,9.0,13.0,9.0,22,2.0,1.0,1.0,,2.0,,2.0,7.0,11.0,,13.0,7.0,1.0,,1.0,16,46,0.8181818181818182,1.0,0.5789473684210527,0.2857142857142857,0.7,0.5789473684210527,0.2857142857142857,0.7,0.56,0.25,0.7272727272727273,21.951219512195124,0.5,,0.24324324324324326,0.20454545454545456,0.1111111111111111,0.21739130434782608,0.17307692307692307,0.2777777777777778,0.15789473684210525,0.3333333333333333,0.29411764705882354,0.125,0.10526315789473684,0.5,0.5,1.0,,,,,0.5744526315789473,0.5664285714285714,0.5735300000000001,0.28,0.28,0.14285714285714285,0.5714285714285714,0.9578947368421052,0.4791666666666667,,2.0,,10.0,17.0,6.0,9.0,,,,,,,,1.0,,1.0,,0.05263157894736842,0.058823529411764705,0.17647058823529413,0.8947368421052632,0.5882352941176471,0.625,,,0.9,0.6666666666666666,,0.8947368421052632,,,,,,,,,,,,,,1.0,,,,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,0.75,,,,0.42857142857142855,,,,,,,,,,,,,,2.0,6.0,4.0,1.0,,1.0,,,0.14285714285714285,,0.8,0.8571428571428571,0.3333333333333333,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
