EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,HeaveAttempts,SecondChanceArc3PctAssisted,on,FoulsDrawn,Offensive Fouls Drawn,OffensiveGoaltends,BlockedArc3,Clear Path Fouls,Corner3PctBlocked
1714,1610612739,Robert Traylor,Robert Traylor,1714,CLE,19837.0,331,36,604,611,197,208,106,1215,23.0,41.0,11.0,18.0,9.0,15.0,8.0,33.0,11.0,25.0,1.0,1.0,1.0,42.0,99,1.0,6.0,90.0,607,13.0,29.0,1.0,2.0,28.0,18.0,33.0,1.0,4.0,40.0,58.0,26.0,16.0,1.0,14.0,11.0,11,4.0,3.0,4.0,22,6.0,26.0,10.0,39.0,5.0,54.0,32.0,86.0,2.0,13.0,9.0,4.0,8.0,4.0,1.0,11.0,7.0,19.0,4.0,6.0,31,64,7.0,3.0,20.0,2.0,8.0,3.0,17.0,9.0,8.0,17.0,13.0,2.0,40.0,197,10.0,0.6904761904761905,0.8529411764705882,0.42424242424242425,0.4482758620689655,0.5454545454545454,0.42,0.43333333333333335,0.5294117647058824,0.41284403669724773,0.4,0.5263157894736842,0.01,0.1414141414141414,0.1951219512195122,0.15151515151515152,0.04,17.462482946793997,0.42105263157894735,0.2,0.17567567567567569,0.09811320754716982,0.15384615384615385,0.11764705882352941,0.17073170731707318,0.10126582278481013,0.14492753623188406,0.08571428571428572,0.07936507936507936,0.08571428571428572,0.1875,0.21052631578947367,0.24615384615384617,0.08641975308641975,0.14814814814814814,0.18181818181818182,0.045454545454545456,0.7647058823529411,0.41,0.5609756097560976,0.696969696969697,0.6521739130434783,0.33,0.24242424242424243,0.2857142857142857,0.5,0.25,0.44,0.4583333333333333,0.9090909090909091,0.01,0.6,0.6111111111111112,0.2727272727272727,0.03333333333333333,0.4411764705882353,0.6,0.029411764705882353,0.42,0.48819250000000003,0.5502166666666666,0.49340147058823536,0.07547169811320754,0.0761904761904762,0.3111111111111111,0.4444444444444444,7.73939393939394,26.5,0.326158940397351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1956,1610612739,Ira Newble,Ira Newble,1956,CLE,14804.0,247,42,465,463,192,182,76,928,15.0,24.0,4.0,8.0,6.0,11.0,,3.0,10.0,29.0,4.0,,,25.0,56,11.0,10.0,69.0,452,4.0,10.0,,2.0,10.0,7.0,20.0,2.0,9.0,23.0,40.0,10.0,6.0,4.0,,15.0,15,8.0,2.0,5.0,30,6.0,9.0,8.0,12.0,2.0,22.0,15.0,37.0,3.0,8.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,8.0,,3.0,15,28,1.0,1.0,12.0,1.0,5.0,1.0,1.0,,1.0,1.0,,1.0,23.0,192,3.0,0.8,0.9090909090909091,0.44642857142857145,0.4,0.35,0.44029850746268656,0.4,0.3181818181818182,0.4722222222222222,0.45454545454545453,0.4230769230769231,0.16417910447761194,,,,,14.260249554367201,0.5,0.08333333333333333,0.07017543859649122,0.04891304347826087,0.14814814814814814,0.13953488372093023,0.08888888888888889,0.06607929515418502,0.05660377358490566,0.047619047619047616,0.0449438202247191,0.14705882352941177,0.1111111111111111,0.03125,0.12195121951219512,0.07575757575757576,0.17391304347826086,,0.07894736842105263,,0.3582089552238806,0.625,0.625,0.7333333333333333,0.04477611940298507,,,,0.43283582089552236,0.3448275862068966,0.3448275862068966,0.9,0.05970149253731343,0.8,0.5,0.25,,0.5,0.5454545454545454,,0.5223880597014925,0.4978440298507463,0.521,0.5090977272727273,0.07042253521126761,0.08333333333333333,0.14492753623188406,0.3333333333333333,10.419642857142856,24.41818181818182,0.4129032258064516,2.0,7.0,2.0,1.0,3.0,9.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,0.1044776119402985,0.2857142857142857,0.2857142857142857,1.0,0.25,0.25,1.0,0.09090909090909091,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,40465.0,674,74,1236,1236,405,437,207,2472,94.0,127.0,14.0,21.0,23.0,29.0,13.0,44.0,46.0,136.0,70.0,8.0,32.0,153.0,307,83.0,116.0,509.0,1267,21.0,42.0,10.0,8.0,59.0,39.0,80.0,35.0,37.0,154.0,128.0,178.0,18.0,70.0,11.0,88.0,105,42.0,4.0,42.0,227,5.0,19.0,23.0,61.0,15.0,99.0,25.0,124.0,3.0,36.0,17.0,19.0,34.0,8.0,15.0,25.0,19.0,59.0,10.0,19.0,17,37,1.0,8.0,160.0,19.0,64.0,16.0,12.0,9.0,2.0,13.0,6.0,,154.0,405,5.0,0.41830065359477125,0.4444444444444444,0.498371335504886,0.5,0.4875,0.5038461538461538,0.49038461538461536,0.508695652173913,0.5562913907284768,0.5267857142857143,0.5539568345323741,0.2128205128205128,0.035830618892508145,0.05511811023622047,0.06818181818181818,0.007352941176470588,34.36241610738255,0.576271186440678,0.2830188679245283,0.14022988505747128,0.03807615230460922,0.17037037037037037,0.04424778761061947,0.14736842105263157,0.0392156862745098,0.05925925925925926,0.03125,0.029661016949152543,0.04938271604938271,0.03125,0.09259259259259259,0.09401709401709402,0.22435897435897437,0.18867924528301888,0.10344827586206896,0.016042780748663103,0.46153846153846156,0.32564102564102565,0.7401574803149606,0.7833333333333333,0.4574468085106383,0.11282051282051282,0.29545454545454547,0.3170731707317073,0.46153846153846156,0.3487179487179487,0.3382352941176471,0.34074074074074073,0.32608695652173914,0.1794871794871795,0.40384615384615385,0.6666666666666666,0.21428571428571427,0.15384615384615385,0.25217391304347825,0.7931034482758621,0.2782608695652174,0.5384615384615384,0.4933978149100255,0.5124361702127659,0.4800337719298245,0.15102974828375287,0.18181818181818182,0.11591355599214145,0.3025540275049116,9.75667752442997,25.225301204819274,0.3276699029126214,9.0,13.0,3.0,20.0,29.0,30.0,20.0,14.0,0.3448275862068966,0.3493975903614458,0.3493975903614458,0.03333333333333333,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.2857142857142857,0.29850746268656714,0.2,0.02608695652173913,0.2857142857142857,2.0,2.0,2.0,1.0,11.0,3.0,13.0,57.0,3.0,17.0,6.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3,0.37142857142857144,0.03614457831325301,0.04285714285714286,0.015151515151515152,0.038461538461538464,1.0,1.0,0.125,0.6666666666666666,0.34375,0.023529411764705882,,,,True,,,,,,
2562,1610612739,Sasha Pavlovic,Sasha Pavlovic,2562,CLE,21248.0,354,48,670,665,223,246,109,1335,16.0,34.0,1.0,4.0,3.0,5.0,6.0,11.0,15.0,38.0,14.0,,6.0,37.0,83,34.0,22.0,144.0,695,3.0,8.0,4.0,4.0,10.0,7.0,16.0,17.0,8.0,49.0,54.0,20.0,,14.0,11.0,18.0,19,8.0,2.0,8.0,39,2.0,1.0,3.0,14.0,2.0,19.0,3.0,22.0,,10.0,5.0,5.0,13.0,2.0,8.0,8.0,5.0,21.0,1.0,9.0,10,41,2.0,2.0,32.0,5.0,14.0,4.0,,,,,,,49.0,223,9.0,0.7297297297297297,0.7297297297297297,0.4457831325301205,0.375,0.4375,0.5213675213675214,0.25,0.6212121212121212,0.55,0.3333333333333333,0.6282051282051282,0.2905982905982906,0.13253012048192772,0.2647058823529412,,0.05263157894736842,18.922305764411025,0.6190476190476191,0.09523809523809523,0.06222222222222222,0.0038022813688212928,0.04411764705882353,0.0392156862745098,0.05802047781569966,0.009554140127388535,0.013333333333333334,,,0.03125,0.05263157894736842,0.075,0.04477611940298507,0.0641025641025641,0.03636363636363636,0.07692307692307693,,,0.2905982905982906,0.47058823529411764,0.64,0.625,0.09401709401709402,0.5454545454545454,0.5454545454545454,0.5,0.3247863247863248,0.39473684210526316,0.4166666666666667,0.9333333333333333,0.11965811965811966,0.3333333333333333,0.25,1.0,,0.15151515151515152,0.6,0.18181818181818182,0.5811965811965812,0.5262666666666667,0.5566249999999999,0.5269969696969697,0.1111111111111111,0.15217391304347827,0.06944444444444445,0.3402777777777778,10.409638554216867,24.035294117647062,0.3328358208955224,8.0,20.0,11.0,8.0,16.0,48.0,8.0,1.0,1.0,0.47058823529411764,0.47058823529411764,0.17094017094017094,0.4,0.4,1.0,0.5714285714285714,0.5714285714285714,1.0,0.3333333333333333,0.5714285714285714,,4.0,4.0,,5.0,,9.0,,,1.0,,1.0,,2.0,1.0,,,,,,,,0.5294117647058824,,,,0.3333333333333333,,,,0.36363636363636365,0.8333333333333334,,,,,True,,,,,,
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,52123.0,869,82,1605,1602,533,591,266,3207,68.0,109.0,24.0,39.0,18.0,27.0,13.0,36.0,18.0,46.0,1.0,,1.0,99.0,191,2.0,68.0,266.0,1636,27.0,51.0,,20.0,74.0,23.0,46.0,1.0,30.0,76.0,120.0,78.0,36.0,1.0,22.0,24.0,27,11.0,1.0,12.0,57,11.0,91.0,28.0,101.0,19.0,148.0,109.0,257.0,5.0,41.0,29.0,12.0,14.0,2.0,9.0,12.0,5.0,26.0,2.0,12.0,67,122,18.0,4.0,127.0,13.0,57.0,13.0,38.0,29.0,9.0,38.0,22.0,2.0,76.0,533,15.0,0.6060606060606061,0.7407407407407407,0.518324607329843,0.5294117647058824,0.5,0.5129533678756477,0.5294117647058824,0.48936170212765956,0.532,0.5362318840579711,0.5671641791044776,0.010362694300518135,0.11518324607329843,0.11009174311926606,0.25,0.021739130434782608,14.315352697095435,0.5384615384615384,0.2714285714285714,0.1800356506238859,0.13725490196078433,0.1696969696969697,0.08208955223880597,0.17768595041322313,0.12797992471769135,0.14606741573033707,0.1534090909090909,0.12297734627831715,0.07368421052631578,0.10256410256410256,0.16,0.17088607594936708,0.20689655172413793,0.1937984496124031,0.08333333333333333,0.07352941176470588,0.5789473684210527,0.5647668393782384,0.6238532110091743,0.7010309278350515,0.5735294117647058,0.18652849740932642,0.3611111111111111,0.48148148148148145,0.46153846153846156,0.23834196891191708,0.391304347826087,0.4,0.8333333333333334,0.0051813471502590676,0.7647058823529411,0.6153846153846154,0.20833333333333334,,0.574468085106383,0.6666666666666666,0.02127659574468085,0.5751295336787565,0.5054904145077721,0.5354348837209301,0.5044085106382978,0.24050632911392406,0.2425531914893617,0.2781954887218045,0.2857142857142857,6.192670157068062,24.200000000000003,0.3320872274143302,,1.0,,,,,,,,,,0.0051813471502590676,,,,,,,,,,,,,,,,,,3.0,,3.0,7.0,,,2.0,,,,,3.0,,,,,0.08536585365853659,,,,,,,,2.0,,,True,,,,,,
446,1610612739,Lucious Harris,Lucious Harris,446,CLE,20910.0,348,-37,625,636,169,167,108,1261,10.0,16.0,3.0,5.0,1.0,3.0,2.0,7.0,27.0,65.0,10.0,,1.0,39.0,88,21.0,20.0,113.0,648,6.0,12.0,1.0,7.0,19.0,11.0,23.0,3.0,11.0,33.0,58.0,20.0,6.0,10.0,1.0,9.0,11,6.0,,3.0,24,1.0,14.0,3.0,21.0,1.0,25.0,16.0,41.0,1.0,12.0,5.0,7.0,2.0,,,2.0,2.0,4.0,,1.0,6,16,1.0,,25.0,,4.0,4.0,2.0,1.0,1.0,2.0,1.0,,33.0,169,1.0,0.7435897435897436,0.8055555555555556,0.4431818181818182,0.5,0.4782608695652174,0.42660550458715596,0.46153846153846156,0.4230769230769231,0.4661016949152542,0.59375,0.532258064516129,0.1926605504587156,0.011363636363636364,,0.14285714285714285,,16.158940397350992,0.5,0.037037037037037035,0.09767441860465116,0.04794520547945205,0.04411764705882353,0.022222222222222223,0.08480565371024736,0.04451038575667656,0.05333333333333334,0.028985507246376812,0.05405405405405406,0.034482758620689655,,0.11267605633802817,0.0547945205479452,0.1267605633802817,0.019230769230769232,0.125,0.01639344262295082,0.5,0.14678899082568808,0.625,0.625,0.4,0.06422018348623854,0.2857142857142857,0.3333333333333333,0.5,0.5963302752293578,0.4153846153846154,0.4153846153846154,0.8888888888888888,0.09174311926605505,0.38461538461538464,0.6,,,0.11538461538461539,0.3333333333333333,0.038461538461538464,0.3394495412844037,0.45873348623853205,0.48294230769230767,0.44373461538461534,0.043859649122807015,0.043478260869565216,0.168141592920354,0.2920353982300885,14.63068181818182,24.138095238095236,0.2704,3.0,11.0,2.0,2.0,5.0,15.0,2.0,6.0,1.0,0.23809523809523808,0.23809523809523808,0.10091743119266056,0.2727272727272727,0.2727272727272727,1.0,0.2,0.2,1.0,0.07692307692307693,0.2,,1.0,,,,,,,,2.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,0.03125,0.07692307692307693,,,,,,0.045454545454545456,,,,True,,,,,,
727,1610612739,Eric Snow,Eric Snow,727,CLE,30560.0,509,110,942,927,331,380,162,1869,14.0,23.0,2.0,4.0,8.0,12.0,3.0,14.0,24.0,57.0,9.0,1.0,5.0,41.0,94,14.0,14.0,111.0,898,5.0,8.0,1.0,2.0,12.0,18.0,32.0,6.0,9.0,51.0,60.0,22.0,2.0,9.0,2.0,83.0,95,39.0,9.0,35.0,202,2.0,12.0,6.0,29.0,1.0,36.0,14.0,50.0,2.0,22.0,5.0,17.0,22.0,2.0,17.0,8.0,5.0,30.0,3.0,14.0,20,46,,,22.0,4.0,9.0,4.0,5.0,5.0,,5.0,2.0,,51.0,331,7.0,0.7317073170731707,0.75,0.43617021276595747,0.625,0.5625,0.44907407407407407,0.5555555555555556,0.5526315789473685,0.47435897435897434,0.6,0.5795454545454546,0.12962962962962962,0.02127659574468085,0.08695652173913043,,,12.84965034965035,0.7333333333333333,0.02702702702702703,0.0821529745042493,0.030612244897959183,0.061224489795918366,0.02666666666666667,0.07760532150776053,0.029978586723768737,0.020202020202020204,0.02857142857142857,0.03723404255319149,0.0392156862745098,,0.06666666666666667,0.14953271028037382,0.03968253968253968,0.06944444444444445,0.038461538461538464,0.03508771929824561,0.4,0.21296296296296297,0.6086956521739131,0.6666666666666666,0.5714285714285714,0.12962962962962962,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.5277777777777778,0.42105263157894735,0.42105263157894735,0.8333333333333334,0.08333333333333333,0.4444444444444444,0.5,0.5,0.1111111111111111,0.3157894736842105,0.6666666666666666,0.13157894736842105,0.3425925925925926,0.44388749999999993,0.439225,0.45236184210526315,0.07964601769911504,0.09090909090909091,0.10810810810810811,0.4594594594594595,12.272340425531914,24.192857142857147,0.351380042462845,3.0,5.0,1.0,2.0,5.0,15.0,2.0,,1.0,0.35714285714285715,0.35714285714285715,0.046296296296296294,0.6,0.6,1.0,0.2222222222222222,0.2222222222222222,1.0,0.02631578947368421,0.2222222222222222,,,1.0,,1.0,,2.0,,,12.0,10.0,2.0,,4.0,,2.0,,,,,,,0.3333333333333333,,,,,,,,1.0,0.2,,,,,True,,,,,,
976,1610612739,Jeff McInnis,Jeff McInnis,976,CLE,22113.0,369,6,679,675,212,274,112,1354,10.0,19.0,,,3.0,6.0,14.0,38.0,22.0,45.0,30.0,3.0,12.0,46.0,102,41.0,27.0,161.0,731,6.0,11.0,3.0,,15.0,10.0,29.0,19.0,9.0,50.0,46.0,46.0,,29.0,4.0,53.0,62,29.0,6.0,18.0,133,1.0,2.0,,9.0,,9.0,4.0,13.0,1.0,5.0,2.0,3.0,8.0,5.0,5.0,6.0,3.0,14.0,2.0,4.0,9,22,1.0,,32.0,2.0,12.0,3.0,,,,,,,50.0,212,2.0,0.5,0.5,0.45098039215686275,0.5454545454545454,0.3448275862068966,0.46853146853146854,0.5357142857142857,0.4270833333333333,0.5032051282051282,0.5357142857142857,0.46296296296296297,0.2867132867132867,0.0392156862745098,0.15789473684210525,0.02631578947368421,,21.03960396039604,0.5714285714285714,,0.04072398190045249,0.007326007326007326,,0.015625,0.03180212014134275,0.008902077151335312,,0.013333333333333334,0.007936507936507936,0.020833333333333332,,0.03488372093023256,0.01818181818181818,0.0625,,,0.0136986301369863,,0.13286713286713286,0.5263157894736842,0.625,0.5,0.26573426573426573,0.3684210526315789,0.3783783783783784,0.35714285714285715,0.3146853146853147,0.4888888888888889,0.4888888888888889,0.5909090909090909,0.2097902097902098,,,,0.21428571428571427,0.125,0.5,0.25,0.4195804195804196,0.4551475352112676,0.4167,0.44127340425531925,0.0784313725490196,0.10714285714285714,0.09316770186335403,0.3105590062111801,10.991176470588236,25.80731707317073,0.3122238586156112,4.0,11.0,7.0,10.0,14.0,33.0,10.0,4.0,0.7857142857142857,0.34146341463414637,0.35,0.07692307692307693,0.36363636363636365,0.36363636363636365,1.0,0.3333333333333333,0.3333333333333333,0.7,0.14583333333333334,0.3448275862068966,,,3.0,1.0,4.0,1.0,7.0,9.0,,9.0,5.0,4.0,1.0,,,1.0,,,,,,0.3333333333333333,0.3684210526315789,,,0.02702702702702703,,,,0.3333333333333333,0.42857142857142855,0.3333333333333333,,,1.0,,True,,,,,,
2400,1610612739,Drew Gooden,Drew Gooden,2400,CLE,6422.0,107,28,191,191,78,69,33,382,10.0,17.0,2.0,6.0,5.0,7.0,1.0,12.0,4.0,10.0,6.0,,2.0,15.0,39,7.0,12.0,48.0,208,2.0,8.0,,5.0,9.0,6.0,11.0,2.0,7.0,19.0,20.0,10.0,4.0,6.0,2.0,4.0,8,2.0,,2.0,20,1.0,7.0,5.0,9.0,4.0,18.0,8.0,26.0,3.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,5,7,2.0,,15.0,1.0,6.0,2.0,3.0,2.0,1.0,3.0,,,19.0,78,2.0,0.6666666666666666,0.7692307692307693,0.38461538461538464,0.25,0.5454545454545454,0.391304347826087,0.25,0.46153846153846156,0.4528301886792453,0.4090909090909091,0.5588235294117647,0.15217391304347827,0.05128205128205128,0.058823529411764705,0.08333333333333333,,24.122807017543863,0.5,0.3076923076923077,0.15517241379310345,0.10144927536231885,0.29411764705882354,0.05555555555555555,0.18666666666666668,0.09195402298850575,0.17391304347826086,0.09523809523809523,0.04,0.0625,,0.047619047619047616,0.3125,0.14285714285714285,0.26666666666666666,0.5,0.12,,0.3695652173913043,0.5882352941176471,0.625,0.7,0.2608695652173913,0.08333333333333333,0.09090909090909091,,0.21739130434782608,0.4,0.4,0.75,0.13043478260869565,0.75,0.3333333333333333,,,0.5384615384615384,0.7142857142857143,0.15384615384615385,0.5217391304347826,0.4784255555555556,0.5483142857142856,0.5314208333333333,0.11764705882352941,0.13636363636363635,0.1875,0.3958333333333333,7.743589743589744,26.471428571428568,0.4083769633507853,,1.0,,2.0,2.0,6.0,2.0,,1.0,0.2857142857142857,0.2857142857142857,0.021739130434782608,,,,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,,,,,,,,,,4.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2402,1610612739,Dajuan Wagner,Dajuan Wagner,2402,CLE,1156.0,19,6,40,43,8,32,5,83,,,,,,,4.0,8.0,,1.0,4.0,1.0,1.0,4.0,9,5.0,,14.0,45,,,1.0,,,3.0,3.0,1.0,,6.0,2.0,6.0,,4.0,,2.0,3,1.0,1.0,,7,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,2,2,,,,,,,,,,,,,6.0,8,,0.25,0.25,0.4444444444444444,,1.0,0.5,,0.75,0.5,,0.75,0.35714285714285715,,,,,31.11111111111111,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.5,0.5,0.25,0.07142857142857142,,,,0.2857142857142857,,,,1.0,,,0.25,0.35714285714285715,0.43191071428571426,0.58305,0.39015,,,,0.42857142857142855,9.844444444444443,24.98,0.2,1.0,1.0,,1.0,2.0,6.0,1.0,,1.0,0.4,0.4,0.07142857142857142,1.0,1.0,1.0,0.25,0.25,1.0,,0.25,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
