EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,HeaveAttempts,Fg3aBlocked,Offensive Fouls,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,BlockedCorner3,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,on,Clear Path Fouls,HeaveMakes
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,28032.0,467,45,901,919,305,304,117,1820,37.0,54.0,7.0,14.0,11.0,20.0,25.0,63.0,16.0,40.0,7.0,14.0,1.0,2.0,6.0,23.0,1.0,4.0,3.0,7.0,78.0,157,13.0,37.0,41.0,236.0,949,11.0,22.0,1.0,5.0,7.0,32.0,22.0,58,3.0,9.0,19.0,72.0,86.0,70.0,36.0,3.0,14.0,23.0,6.0,10.0,12.0,10.0,22.0,5.0,5.0,8.0,1.0,3.0,54.0,10.0,23.0,2.0,22.0,55.0,19.0,96.0,35.0,131.0,11.0,18.0,15.0,3.0,10.0,4.0,7.0,8.0,1.0,3.0,3.0,18.0,2.0,9.0,23.0,29.0,1.0,46.0,7.0,3.0,17.0,8.0,10.0,1.0,1.0,2.0,1.0,7.0,11.0,6.0,1.0,72.0,305,2.0,0.5512820512820513,0.6056338028169014,0.9230769230769232,0.3513513513513513,0.2,0.3333333333333333,0.3513513513513513,0.4968152866242038,0.5,0.3793103448275862,0.5025773195876289,0.4629629629629629,0.3955223880597014,0.5518867924528302,0.5333333333333333,0.4736842105263157,0.190721649484536,0.0636942675159235,0.1296296296296296,0.0476190476190476,22.05177372962608,0.5555555555555556,0.5,0.0606060606060606,0.1617647058823529,0.0815602836879432,0.2135922330097087,0.075187969924812,0.1738148984198645,0.0795180722891566,0.0784313725490196,0.1034482758620689,0.064516129032258,0.0549450549450549,0.119047619047619,0.0833333333333333,0.1326530612244898,0.2215189873417721,0.2183908045977011,0.1875,0.1195652173913043,0.5454545454545454,0.2783505154639175,0.6851851851851852,0.7872340425531915,0.5945945945945946,0.3247422680412371,0.3968253968253968,0.4166666666666667,0.52,0.2061855670103092,0.4,0.4,0.5,0.0721649484536082,0.5,0.5,1.0,0.1185567010309278,0.2608695652173913,0.2608695652173913,0.8333333333333334,0.5185185185185185,0.5,0.1428571428571428,0.037037037037037,0.1481481481481481,0.25,0.2985074626865671,0.55,0.0298507462686567,0.1044776119402985,0.4285714285714285,0.4690721649484536,0.2608695652173913,0.4939664948453607,0.5088145833333334,0.484465671641791,0.0833333333333333,0.1017964071856287,0.135593220338983,0.3050847457627119,8.30828025477707,24.335135135135136,0.3385127635960044,,,,,,,,,,,,,,,,,,,,,,True,,
2047,1610612756,Quentin Richardson,Quentin Richardson,2047,PHX,24148.0,402,-7,766,780,242,212,100,1546,15.0,33.0,4.0,6.0,4.0,7.0,4.0,10.0,10.0,24.0,7.0,19.0,1.0,5.0,20.0,67.0,1.0,3.0,6.0,21.0,29.0,67,27.0,86.0,12.0,151.0,814,4.0,8.0,1.0,4.0,,11.0,6.0,16,7.0,26.0,4.0,37.0,28.0,30.0,66.0,15.0,2.0,66.0,20.0,6.0,15.0,7.0,22.0,3.0,4.0,10.0,4.0,1.0,51.0,6.0,7.0,1.0,20.0,42.0,2.0,64.0,14.0,78.0,6.0,13.0,8.0,5.0,15.0,,13.0,8.0,2.0,2.0,2.0,23.0,1.0,5.0,20.0,35.0,,17.0,,1.0,7.0,1.0,2.0,,,1.0,,1.0,2.0,,1.0,37.0,242,,0.4827586206896552,0.5,0.8148148148148148,0.313953488372093,0.25,0.2692307692307692,0.3176470588235294,0.4328358208955223,0.5,0.375,0.4542483660130719,0.4583333333333333,0.3928571428571428,0.4658385093167702,0.4583333333333333,0.4111111111111111,0.5620915032679739,0.0895522388059701,0.1212121212121212,0.1,20.909090909090907,0.6521739130434783,0.074074074074074,0.0434782608695652,0.1304347826086956,0.0301724137931034,0.202020202020202,0.0465116279069767,0.1472684085510688,0.0360110803324099,0.0561797752808988,0.0277777777777777,,0.0659340659340659,,0.101010101010101,0.225,0.0979020979020979,0.2073170731707317,0.1764705882352941,0.0689655172413793,,0.2156862745098039,0.4545454545454545,0.5172413793103449,0.6,0.065359477124183,0.4,0.4444444444444444,0.25,0.1568627450980392,0.4166666666666667,0.4347826086956521,0.4,0.1241830065359477,0.3684210526315789,0.3888888888888889,0.8571428571428571,0.4379084967320261,0.2985074626865671,0.303030303030303,0.8,0.5,0.6666666666666666,0.25,0.0833333333333333,0.25,0.3333333333333333,0.1666666666666666,0.5714285714285714,0.119047619047619,0.5,0.2857142857142857,0.7777777777777778,0.303030303030303,0.5250746710526316,0.5398714285714284,0.5251195121951218,0.04375,0.0945945945945946,0.0728476821192053,0.2450331125827814,8.195522388059702,25.35813953488372,0.3159268929503916,1.0,1.0,2.0,3.0,0.0232558139534883,0.0416666666666666,0.0526315789473684,0.0149253731343283,0.2,,,,,,,,,,,,,True,,
2063,1610612756,Jake Voskuhl,Jake Voskuhl,2063,PHX,7112.0,119,17,230,234,64,104,28,464,7.0,12.0,6.0,9.0,1.0,3.0,,1.0,2.0,4.0,,,,,,,,,,,9.0,17,,,6.0,24.0,213,6.0,9.0,,,,12.0,1.0,4,,,2.0,4.0,8.0,10.0,,,8.0,,,1.0,5.0,2.0,7.0,,2.0,2.0,1.0,2.0,16.0,4.0,9.0,,4.0,19.0,3.0,26.0,13.0,39.0,,2.0,1.0,1.0,1.0,,1.0,3.0,,,,4.0,,2.0,10.0,17.0,2.0,8.0,,,2.0,2.0,3.0,1.0,,1.0,,2.0,4.0,,,4.0,64,1.0,0.4444444444444444,0.8,,,,,,0.5294117647058824,0.6666666666666666,0.25,0.5294117647058824,0.6666666666666666,0.25,0.5714285714285714,0.6666666666666666,0.4,,0.0588235294117647,0.0833333333333333,,9.363295880149812,0.25,0.3333333333333333,,0.2183908045977011,0.1011235955056179,0.1081081081081081,0.1818181818181818,0.1854838709677419,0.1171171171171171,0.1891891891891892,0.08,,0.0769230769230769,0.3333333333333333,0.2,0.1538461538461538,0.2608695652173913,0.1428571428571428,,,,0.7058823529411765,0.5833333333333334,0.6363636363636364,0.2857142857142857,0.0588235294117647,,,,0.2352941176470588,0.5,0.5,1.0,,,,,,,,,1.0,0.6666666666666666,0.1666666666666666,,,,0.75,0.3333333333333333,,,,0.7058823529411765,,0.5528411764705882,0.6259666666666667,0.5756749999999999,0.1052631578947368,0.1052631578947368,0.5,0.1666666666666666,4.594117647058823,,0.2782608695652174,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,True,,
2207,1610612756,Joe Johnson,Joe Johnson,2207,PHX,26849.0,447,28,849,854,286,279,99,1703,8.0,20.0,2.0,7.0,2.0,4.0,20.0,42.0,23.0,64.0,7.0,17.0,1.0,7.0,10.0,32.0,2.0,4.0,2.0,16.0,51.0,126,17.0,49.0,17.0,170.0,886,3.0,14.0,2.0,5.0,2.0,14.0,16.0,42,5.0,23.0,13.0,60.0,10.0,92.0,45.0,6.0,2.0,27.0,10.0,11.0,29.0,21.0,50.0,15.0,6.0,19.0,2.0,8.0,121.0,5.0,9.0,,15.0,44.0,1.0,60.0,14.0,74.0,2.0,10.0,5.0,5.0,12.0,6.0,7.0,15.0,,5.0,6.0,27.0,3.0,8.0,6.0,23.0,2.0,23.0,3.0,,6.0,7.0,2.0,,,1.0,1.0,,2.0,,,60.0,286,5.0,0.0980392156862745,0.1,0.8823529411764706,0.3469387755102041,0.4,0.217391304347826,0.3863636363636363,0.4047619047619047,0.2142857142857142,0.3809523809523809,0.4371428571428571,0.3157894736842105,0.3615384615384615,0.4594594594594595,0.3333333333333333,0.410958904109589,0.28,0.0873015873015873,0.2,0.119047619047619,21.968911917098445,0.4444444444444444,0.037037037037037,,0.1286549707602339,0.0330882352941176,0.131578947368421,0.0442477876106194,0.1293859649122807,0.0363636363636363,0.0120481927710843,0.0609756097560975,0.02803738317757,0.0579710144927536,0.0227272727272727,0.1030927835051546,0.1333333333333333,0.1419354838709677,0.1382978723404255,0.1,0.0229885057471264,,0.1142857142857142,0.4,0.5,0.125,0.24,0.4761904761904761,0.5405405405405406,0.05,0.3657142857142857,0.359375,0.3709677419354839,0.1304347826086956,0.0971428571428571,0.4117647058823529,0.4117647058823529,1.0,0.1828571428571428,0.3125,0.3225806451612903,0.8,0.3684210526315789,0.2857142857142857,0.5,0.0526315789473684,0.2105263157894736,0.5,0.0615384615384615,0.5,0.1076923076923077,0.2461538461538461,0.125,0.3942857142857143,0.3703703703703703,0.4442147058823529,0.4945227272727272,0.4259844262295082,0.0337078651685393,0.0465116279069767,0.0823529411764705,0.3529411764705882,12.18730158730159,27.412244897959184,0.336866902237927,3.0,5.0,1.0,2.0,0.0204081632653061,0.03125,,0.03125,0.4285714285714285,,,,0.5,,,,,,,,,True,,
2418,1610612756,Casey Jacobsen,Casey Jacobsen,2418,PHX,46032.0,767,63,1465,1483,495,470,189,2948,22.0,39.0,3.0,6.0,5.0,9.0,4.0,13.0,5.0,16.0,21.0,51.0,4.0,16.0,13.0,38.0,2.0,6.0,5.0,13.0,31.0,68,34.0,89.0,48.0,212.0,1513,5.0,10.0,5.0,10.0,4.0,29.0,7.0,15,9.0,29.0,18.0,59.0,30.0,32.0,102.0,,4.0,38.0,13.0,7.0,29.0,8.0,37.0,5.0,3.0,11.0,6.0,12.0,82.0,6.0,10.0,1.0,11.0,39.0,,50.0,17.0,67.0,1.0,11.0,5.0,6.0,15.0,2.0,11.0,12.0,2.0,4.0,,27.0,1.0,8.0,26.0,56.0,1.0,62.0,4.0,1.0,26.0,6.0,1.0,,,1.0,,,1.0,,,59.0,495,5.0,0.4838709677419355,0.5172413793103449,1.0,0.3820224719101123,0.5,0.3103448275862069,0.3820224719101123,0.4558823529411764,0.5,0.4666666666666667,0.5222929936305732,0.625,0.4659090909090909,0.5702702702702702,0.6590909090909091,0.5267857142857143,0.5668789808917197,0.1029411764705882,0.0769230769230769,0.2307692307692307,12.589073634204276,0.5555555555555556,,0.0185185185185185,0.0654362416107382,0.0217391304347826,0.0601092896174863,0.0287081339712918,0.0641848523748395,0.0239162929745889,0.025,0.0211267605633802,0.0189873417721519,0.0354609929078014,0.0147058823529411,0.0337078651685393,0.0463576158940397,0.097378277153558,0.0596026490066225,0.0625,0.0121951219512195,,0.2484076433121019,0.5641025641025641,0.6111111111111112,0.5,0.0828025477707006,0.3076923076923077,0.4,,0.1019108280254777,0.3125,0.3333333333333333,0.8,0.3248407643312102,0.4117647058823529,0.4117647058823529,1.0,0.2420382165605095,0.3421052631578947,0.3421052631578947,1.0,0.3,0.5,0.3333333333333333,0.2,0.3,0.3333333333333333,0.2045454545454545,0.5555555555555556,0.3636363636363636,0.2954545454545454,0.3846153846153846,0.8152866242038217,0.3421052631578947,0.539133439490446,0.5261899999999999,0.5398284090909091,0.1508379888268156,0.2888888888888888,0.1367924528301886,0.2783018867924528,5.914705882352941,24.26404494382022,0.3378839590443686,4.0,,,5.0,,0.0625,,,0.25,,,,1.0,3.0,3.0,1.0,1.0,0.75,1.0,0.0112359550561797,,True,,
2405,1610612756,Amar'e Stoudemire,Amar'e Stoudemire,2405,PHX,29128.0,485,53,913,918,226,224,101,1831,71.0,100.0,16.0,24.0,9.0,19.0,30.0,70.0,25.0,56.0,,,,,,4.0,,,,4.0,126.0,226,,4.0,102.0,354.0,959,22.0,38.0,,,5.0,49.0,20.0,48,,4.0,35.0,75.0,124.0,128.0,,,22.0,2.0,,11.0,10.0,6.0,16.0,,6.0,8.0,,2.0,38.0,8.0,19.0,2.0,15.0,52.0,11.0,78.0,29.0,107.0,8.0,13.0,7.0,6.0,15.0,2.0,4.0,26.0,3.0,11.0,7.0,41.0,4.0,3.0,20.0,50.0,6.0,140.0,22.0,,75.0,6.0,22.0,,,14.0,4.0,4.0,22.0,12.0,4.0,75.0,226,3.0,0.492063492063492,0.5391304347826087,,,,,,0.5575221238938053,0.5789473684210527,0.4166666666666667,0.5478260869565217,0.5789473684210527,0.3846153846153846,0.6124567474048442,0.6125,0.5,0.017391304347826,0.0486725663716814,0.03,0.1142857142857142,31.97674418604651,0.3658536585365853,0.34375,0.0588235294117647,0.1432506887052341,0.0703703703703703,0.1304347826086956,0.0666666666666666,0.1401673640167364,0.0692307692307692,0.1341463414634146,0.0652173913043478,0.0208333333333333,0.0897435897435897,0.0238095238095238,0.1909090909090909,0.0879120879120879,0.1419753086419753,0.1304347826086956,0.1304347826086956,0.0898876404494382,0.5454545454545454,0.4347826086956521,0.71,0.7319587628865979,0.5633802816901409,0.3043478260869565,0.4285714285714285,0.4838709677419355,0.3666666666666666,0.2434782608695652,0.4464285714285714,0.4464285714285714,0.44,,,,,0.017391304347826,,,,0.631578947368421,0.6666666666666666,0.1875,,,,0.3653846153846153,0.4736842105263157,,0.0769230769230769,,0.4521739130434782,,0.4746826754385964,0.5059629629629628,0.4499250000000001,0.2650176678445229,0.2688172043010752,0.1384180790960452,0.211864406779661,6.890265486725664,40.55,0.2475355969331873,,2.0,,11.0,,,,,,,,,,,,,,,,,1.0,True,,
2470,1610612756,Smush Parker,Smush Parker,2470,PHX,708.0,12,-6,22,23,10,9,5,45,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,3.0,4,,1.0,,6.0,23,,,,,,,1.0,2,,1.0,,2.0,2.0,4.0,,,,,,,,1.0,1.0,1.0,,,,,3.0,1.0,1.0,,,,,,2.0,2.0,,2.0,,2.0,5.0,,3.0,,,2.0,,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,10,,0.3333333333333333,0.3333333333333333,,,,,,0.75,,0.5,0.6,,0.3333333333333333,0.6,,0.3333333333333333,0.2,,,,37.03703703703704,1.0,,,,0.1666666666666666,,0.1428571428571428,,0.1538461538461538,0.5,,,0.2,,,,,,,,,0.4,0.5,0.5,,0.2,1.0,1.0,,0.2,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,0.6,,0.5139799999999999,,0.5329,,,,0.3333333333333333,7.225,23.3,0.4545454545454545,,,,,,,,,,,,,,,,,,,,,,True,,
2571,1610612756,Leandro Barbosa,Leandro Barbosa,2571,PHX,17868.0,298,-24,575,582,230,213,73,1157,20.0,38.0,2.0,2.0,10.0,15.0,6.0,14.0,5.0,12.0,4.0,11.0,,5.0,10.0,33.0,,3.0,2.0,10.0,31.0,64,14.0,44.0,11.0,115.0,584,3.0,7.0,,3.0,4.0,10.0,11.0,22,3.0,15.0,6.0,37.0,16.0,46.0,24.0,18.0,2.0,33.0,10.0,8.0,21.0,10.0,31.0,5.0,5.0,16.0,2.0,3.0,72.0,,8.0,,10.0,11.0,,21.0,8.0,29.0,1.0,4.0,2.0,2.0,19.0,6.0,10.0,9.0,,9.0,1.0,28.0,,15.0,14.0,37.0,1.0,15.0,3.0,,6.0,3.0,4.0,,,2.0,1.0,1.0,4.0,1.0,,37.0,230,5.0,0.2580645161290322,0.2666666666666666,0.5714285714285714,0.3181818181818182,,0.2,0.3181818181818182,0.484375,0.4285714285714285,0.5,0.4814814814814814,0.3,0.4189189189189189,0.5043859649122807,0.4166666666666667,0.4512195121951219,0.4074074074074074,0.125,0.1578947368421052,0.1428571428571428,21.61339421613394,0.6785714285714286,,,0.0468085106382978,0.0441988950276243,0.144927536231884,,0.069078947368421,0.0300751879699248,0.046875,,0.0793650793650793,,,0.0246913580246913,0.04,0.0673076923076923,0.1428571428571428,0.1538461538461538,0.0185185185185185,0.25,0.3518518518518518,0.5263157894736842,0.625,0.3,0.1296296296296296,0.4285714285714285,0.5,0.1666666666666666,0.1111111111111111,0.4166666666666667,0.4166666666666667,0.2,0.1018518518518518,0.3636363636363636,0.3636363636363636,0.75,0.3055555555555556,0.303030303030303,0.303030303030303,0.5,0.2,1.0,,,0.3,,0.4054054054054054,0.6666666666666666,0.1351351351351351,0.2702702702702703,0.2,0.7592592592592593,0.303030303030303,0.5289050925925927,0.43920625,0.5289364864864865,0.054054054054054,0.0895522388059701,0.0869565217391304,0.3217391304347826,5.8296875,24.78409090909091,0.4,1.0,,,2.0,,,,,0.2,,,1.0,,,,,,,,,,True,,
959,1610612756,Steve Nash,Steve Nash,959,PHX,16799.0,280,86,529,536,154,136,75,1065,9.0,19.0,2.0,2.0,5.0,8.0,9.0,23.0,25.0,40.0,,3.0,,3.0,5.0,21.0,,2.0,1.0,6.0,43.0,82,5.0,24.0,26.0,127.0,555,3.0,4.0,,2.0,,6.0,14.0,27,1.0,9.0,22.0,53.0,6.0,80.0,12.0,3.0,4.0,21.0,5.0,5.0,66.0,25.0,91.0,16.0,9.0,45.0,16.0,5.0,207.0,2.0,4.0,,6.0,20.0,,26.0,6.0,32.0,1.0,15.0,11.0,4.0,19.0,4.0,15.0,6.0,1.0,4.0,,25.0,1.0,5.0,6.0,16.0,,29.0,1.0,,5.0,10.0,1.0,,,,1.0,,1.0,,,53.0,154,5.0,0.0697674418604651,0.073170731707317,0.8,0.2083333333333333,,0.1111111111111111,0.2083333333333333,0.524390243902439,0.75,0.5185185185185185,0.4764150943396226,0.5,0.4305555555555556,0.5291666666666667,0.5,0.5520833333333334,0.2264150943396226,0.0609756097560975,0.1052631578947368,0.1304347826086956,23.4248788368336,0.76,,,0.0961538461538461,0.0245398773006134,0.0923076923076923,0.0277777777777777,0.0952380952380952,0.025531914893617,0.0338983050847457,0.0175438596491228,0.0212765957446808,0.02,0.0454545454545454,0.125,0.0892857142857142,0.0833333333333333,0.0714285714285714,0.2222222222222222,0.0192307692307692,,0.1792452830188679,0.4736842105263157,0.5294117647058824,0.1111111111111111,0.2169811320754717,0.391304347826087,0.45,,0.3773584905660377,0.625,0.625,0.08,0.0283018867924528,,,,0.1981132075471698,0.238095238095238,0.238095238095238,0.8,0.3333333333333333,1.0,,,0.3333333333333333,,0.2222222222222222,0.625,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.4056603773584906,0.238095238095238,0.4894716981132075,0.4911125,0.5016666666666666,0.0454545454545454,0.0581395348837209,0.0472440944881889,0.4173228346456692,11.29878048780488,24.64583333333333,0.2911153119092627,,,,1.0,,,,,,,,,,,,,,,,,,True,,
2212,1610612756,Steven Hunter,Steven Hunter,2212,PHX,18531.0,309,36,589,603,230,196,82,1192,39.0,53.0,12.0,17.0,18.0,22.0,3.0,8.0,1.0,2.0,,,,,,,,,,,43.0,63,,,24.0,110.0,616,12.0,18.0,,,8.0,32.0,20.0,26,,,11.0,51.0,58.0,28.0,,,20.0,,,9.0,4.0,1.0,5.0,,1.0,3.0,,1.0,11.0,5.0,19.0,1.0,8.0,30.0,4.0,42.0,25.0,67.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,10.0,,1.0,,14.0,1.0,6.0,15.0,39.0,3.0,39.0,3.0,,16.0,5.0,32.0,,,17.0,5.0,10.0,32.0,17.0,2.0,51.0,230,1.0,0.6744186046511628,0.8787878787878788,,,,,,0.6825396825396826,0.6666666666666666,0.7692307692307693,0.6825396825396826,0.6666666666666666,0.7692307692307693,0.6790123456790124,0.6956521739130435,0.75,,0.1428571428571428,0.1132075471698113,0.375,14.032496307237814,0.2857142857142857,0.25,0.0434782608695652,0.1219512195121951,0.1098265895953757,0.1038961038961039,0.0549450549450549,0.1176470588235294,0.0909090909090909,0.180327868852459,0.0612244897959183,0.0793650793650793,0.0294117647058823,0.1304347826086956,0.0864197530864197,0.109375,0.1584158415841584,0.0909090909090909,0.1818181818181818,0.3636363636363636,0.53125,0.8412698412698413,0.7358490566037735,0.8297872340425532,0.6923076923076923,0.1269841269841269,0.375,0.6,0.6666666666666666,0.0317460317460317,0.5,0.5,,,,,,,,,,0.9444444444444444,0.7058823529411765,0.1666666666666666,,,,0.8461538461538461,0.8181818181818182,,,,0.8412698412698413,,0.5623571428571429,0.54638125,0.5691884615384615,0.2105263157894736,0.2105263157894736,0.2909090909090909,0.4636363636363636,1.7142857142857142,,0.3904923599320883,,,,6.0,,,,,,,2.0,1.0,,,,,,,,,,True,,
