EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,PenaltyFG2M,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,LongMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG3A,SecondChanceFG3A,PenaltyFG3A,AtRimAssists,FTOffRebounds,BadPassTurnovers,NonShootingFoulsDrawn,FG3APct,OffFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,AtRimFGM,Arc3FGA,PenaltyArc3FGA,PtsUnassisted2s,HeaveAttempts,NonHeaveArc3FGA,ShortMidRangeAssists,Steals,BadPassSteals,LostBallSteals,ShootingFouls,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyArc3Frequency,Corner3FGM,SecondChanceArc3FGA,FG3M,PtsAssisted3s,OffThreePtRebounds,DefThreePtRebounds,PenaltyTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PtsPutbacks,NonHeaveArc3FGM,FTDefRebounds,2pt And 1 Free Throw Trips,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,ThreePtAssists,Arc3Assists,Corner3Assists,Technical Free Throw Trips,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,SelfOReb,Offensive Fouls,OffCorner3ReboundPct,SelfORebPct,BadPassOutOfBoundsTurnovers,on,SecondChanceFtPoints,FoulsDrawn,Offensive Fouls Drawn,3SecondViolations,AtRimPctBlocked,OffShortMidRangeReboundPct,Travels,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
1032,1610612765,Darvin Ham,Darvin Ham,1032,DET,964.0,16,-11.0,32,33,15,25,3.0,65,1.0,1.0,2.0,1.0,1.0,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,15,3.0,0.125,0.25,14.285714285714286,1.0,0.1,0.0833333333333333,0.0666666666666666,0.0714285714285714,0.25,0.25,0.5,0.5,0.5,0.43205,0.3616,0.5,0.5,1.0,9.35,0.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,1072.0,18,-6.0,33,36,16,14,3.0,69,2.0,1.0,7.0,,2.0,43,3.0,,2.0,,,,,,,,,,,,,,2.0,16,,0.1428571428571428,0.3333333333333333,18.91891891891892,,,,,,,,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.416,0.4267333333333333,,,1.0,7.085714285714286,0.4848484848484848,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1428571428571428,0.3333333333333333,0.1428571428571428,0.3333333333333333,0.1428571428571428,0.25,0.5,0.5714285714285714,0.25,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,802.0,13,-4.0,26,26,16,16,4.0,52,,1.0,1.0,6.0,8.0,31,1.0,4.0,6.0,,,,1.0,1.0,1.0,,1.0,,,,8.0,2.0,6.0,16,,0.6666666666666666,0.6,21.875,1.0,,,,,,,,0.5,0.5,0.454075,0.454075,0.5,0.6666666666666666,0.75,16.8,0.6153846153846154,,,,1.0,1.0,2.0,,1.0,1.0,,2.0,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.5,0.63885,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,1416.0,24,-8.0,46,47,15,25,6.0,93,2.0,3.0,6.0,,4.0,36,1.0,,2.0,,3.0,3.0,,3.0,,,,,3.0,,,,2.0,15,,0.25,0.5,14.814814814814811,,0.1764705882352941,,0.125,,,0.25,0.25,0.375,0.5,0.4639428571428571,0.3586,,,0.5,10.916666666666666,0.3260869565217391,,,1.0,2.0,1.0,,,3.0,3.0,2.0,6.0,,,,,,,,0.3333333333333333,1.0,0.25,0.5,,,,0.125,,,,,1.0,,,,2.0,,1.0,,,,,0.25,,0.3333333333333333,0.3333333333333333,,,,,,36.65,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.1428571428571428,0.5,0.5,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,1610612765,Anthony Goldwire,Anthony Goldwire,924,DET,3141.0,52,-25.0,98,99,34,48,11.0,197,,6.0,6.0,7.0,18.0,104,2.0,5.0,5.0,,3.0,7.0,1.0,8.0,1.0,,1.0,1.0,5.0,1.0,8.0,3.0,5.0,34,1.0,0.4736842105263157,0.3125,17.54385964912281,1.0,0.088235294117647,,0.1666666666666666,0.0192307692307692,,0.125,,0.4,0.6,0.4617833333333333,0.44675,0.1666666666666666,0.3333333333333333,0.2777777777777778,18.166666666666668,0.3469387755102041,,,,1.0,,2.0,,,,,,,,,,,1.0,1.0,0.1666666666666666,,0.3666666666666666,,,,,,,,,,1.0,3.0,,,9.0,1.0,3.0,,,1.0,1.0,0.6,,0.1666666666666666,0.1666666666666666,1.0,0.2,,,0.53385,25.08888888888889,,6.0,3.0,,,6.0,,,,,2.0,,,,0.4,0.6,3.0,1.0,3.0,9.0,1.0,4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0833333333333333,0.0909090909090909,0.1428571428571428,0.4,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612765,Carlos Arroyo,Carlos Arroyo,2306,DET,54.0,1,,2,2,2,2,,4,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,1158.0,19,-4.0,34,35,9,18,5.0,69,2.0,4.0,6.0,3.0,13.0,37,3.0,2.0,7.0,1.0,3.0,4.0,1.0,5.0,,,,,3.0,,3.0,1.0,7.0,9,,0.7222222222222222,0.7,21.951219512195124,,0.2727272727272727,0.0769230769230769,0.2142857142857142,0.05,,0.4,0.25,0.5,0.5,0.4754125,0.4835875,0.125,0.1666666666666666,0.5384615384615384,12.85,0.2647058823529412,1.0,,,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,0.5,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,,,,,,,,0.25,,,,,2.0,,1.0,,,,1.0,0.25,,,,,,,,0.6263,25.0,2.0,2.0,1.0,2.0,,2.0,,1.0,1.0,,3.0,,1.0,1.0,0.25,0.25,,,2.0,6.0,,,,1.0,1.0,1.0,,,,0.5,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.125,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.1538461538461538,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,810.0,14,-15.0,22,26,1,9,2.0,48,,1.0,2.0,2.0,4.0,34,,,,,,,,,,,,,1.0,,3.0,1.0,,1,1.0,0.3333333333333333,,24.0,,,,,,,,,0.2,0.6,0.44008,,0.1666666666666666,0.3333333333333333,,15.9,0.0454545454545454,,,1.0,1.0,,,,,5.0,,15.0,,,,,,,,0.5,,0.2,,,,,0.2,,,,,1.0,,,,3.0,,,,,,,0.6,,1.0,1.0,,,,,,25.7,,3.0,,2.0,,3.0,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,3.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,1610612765,Darko Milicic,Darko Milicic,2545,DET,1146.0,19,-9.0,37,35,13,21,4.0,72,3.0,2.0,5.0,,,32,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,,,13,,,,16.27906976744186,0.5,0.0833333333333333,0.0588235294117647,0.0588235294117647,0.0526315789473684,,,0.6,0.4,0.6,0.49672,0.2993,,,,6.1,0.3513513513513513,,,,,,,,1.0,1.0,,2.0,2.0,,1.0,2.0,1.0,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5928,,,,,,,,,,,,,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,0.1,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,1610612765,Ronald Dupree,Ronald Dupree,2648,DET,1845.0,31,-26.0,58,58,17,24,5.0,116,1.0,3.0,4.0,,7.0,70,2.0,,5.0,2.0,6.0,8.0,2.0,10.0,5.0,1.0,5.0,,2.0,,2.0,1.0,5.0,17,,0.5833333333333334,0.8333333333333334,17.46031746031746,1.0,0.3333333333333333,0.0952380952380952,0.3043478260869565,0.08,,0.6666666666666666,0.2,0.6,0.4,0.46143,0.51575,0.1666666666666666,0.2,0.7142857142857143,12.575,0.293103448275862,1.0,,,2.0,1.0,2.0,,,,,,,,,,,0.5,0.5,0.5,0.5,0.7,0.8333333333333334,,,,,,,,0.3333333333333333,2.0,,,,1.0,,1.0,,,4.0,,0.2,,0.6666666666666666,0.6666666666666666,0.5,,,,0.3512,26.3,,1.0,1.0,2.0,,1.0,,,,,2.0,0.1428571428571428,,,0.2,0.3333333333333333,,,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,0.2,,,0.2,0.3333333333333333,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,0.3333333333333333,0.1818181818181818,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
