EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Offensive Fouls,DefensiveGoaltends,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceFtPoints,LongMidRangeAssists,2pt And 1 Free Throw Trips,Technical Free Throw Trips,LongMidRangeFGM,OffThreePtRebounds,StepOutOfBoundsTurnovers,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,on,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,ThreePtShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedLongMidRange,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls
2032,1610612757,Darius Miles,Darius Miles,2032,POR,813.0,14,-6.0,28,28,22,15,5.0,56,1.0,1.0,1.0,1.0,3.0,3.0,3.0,36,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,22,1.0,0.25,0.25,24.242424242424242,0.2222222222222222,0.18181818181818182,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4602,0.4602,0.4,0.4,1.0,7.533333333333334,0.7857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,1610612757,Joel Przybilla,Joel Przybilla,2038,POR,893.0,15,-5.0,31,32,25,19,5.0,63,3.0,2.0,,,3.0,,6.0,38,2.0,,4.0,1.0,1.0,3.0,1.0,1.0,,,1.0,,,,,,,4.0,25,,1.0,1.0,11.11111111111111,0.1,0.07692307692307693,,1.0,,,1.0,1.0,0.7340666666666666,0.7055,,,0.6666666666666666,0.09999999999999999,0.8064516129032258,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.18181818181818182,0.5,0.2,0.25,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6081,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,1610612757,Geno Carlisle,Geno Carlisle,2367,POR,923.0,15,-7.0,32,33,26,20,5.0,65,2.0,,,1.0,3.0,4.0,8.0,40,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,6.0,3.0,,,,,1.0,26,,0.8,0.25,16.216216216216218,,,,0.6666666666666666,,0.3333333333333333,,0.6666666666666666,0.5927,0.3709,0.6,0.6,0.125,6.233333333333333,0.8125,2.0,,,,2.0,,1.0,1.0,,2.0,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,0.5,0.5,0.6666666666666666,,,0.6666666666666666,,,0.25,0.1,0.09090909090909091,,0.2,,1.0,1.0,0.5,,,,0.3709,0.125,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,1610612757,Travis Outlaw,Travis Outlaw,2566,POR,923.0,15,-7.0,32,33,26,20,5.0,65,2.0,2.0,1.0,4.0,7.0,,6.0,40,7.0,,6.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,6.0,26,,0.42857142857142855,0.42857142857142855,21.62162162162162,0.1,0.07692307692307693,0.25,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.44492857142857145,0.44492857142857145,,,1.0,11.057142857142859,0.8125,1.0,,1.0,1.0,3.0,,2.0,,3.0,6.0,,,,,,,1.0,2.0,,,1.0,1.0,0.42857142857142855,,0.42857142857142855,0.42857142857142855,,0.42857142857142855,,0.1,0.18181818181818182,,,,0.5,0.5,1.0,0.5,,0.5,0.5707,,,,,,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742,1610612757,Sebastian Telfair,Sebastian Telfair,2742,POR,923.0,15,-7.0,32,33,26,20,5.0,65,2.0,2.0,,3.0,5.0,4.0,10.0,40,5.0,2.0,8.0,1.0,2.0,2.0,,1.0,1.0,,,6.0,2.0,1.0,,,,8.0,26,,0.5555555555555556,0.5,27.027027027027028,0.1,0.15384615384615385,,0.3333333333333333,,0.5,0.3333333333333333,0.5,0.4767916666666667,0.4767916666666667,0.25,0.2857142857142857,0.8,10.14,0.8125,1.0,,,1.0,3.0,,,,3.0,4.0,2.0,,5.0,5.0,3.0,10.0,,,,,0.6666666666666666,0.6666666666666666,0.6,,0.6,0.5,,0.5,,,,,,,0.5,1.0,1.0,,,0.5,,,,2.0,,,2.0,,,,,,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,0.5,1.0,0.3333333333333333,0.5,0.5,0.16666666666666666,0.16666666666666666,24.9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,1610612757,Zach Randolph,Zach Randolph,2216,POR,55.0,1,-3.0,2,3,2,3,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1610612757,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,POR,85.0,1,,3,3,3,3,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,1610612757,Derek Anderson,Derek Anderson,1507,POR,74228.0,1237,-107.0,2299,2287,620,565,335.0,4586,65.0,18.0,43.0,132.0,240.0,70.0,432.0,2447,57.0,37.0,132.0,77.0,103.0,128.0,28.0,70.0,18.0,35.0,89.0,87.0,29.0,15.0,4.0,2.0,4.0,132.0,620,11.0,0.5023255813953489,0.5546218487394958,18.55287569573284,0.0859375,0.0855614973262032,0.05533596837944664,0.16624040920716113,0.10997442455242967,0.3375959079283887,0.1836734693877551,0.5524296675191815,0.476874358974359,0.4685634020618555,0.0746987951807229,0.11068702290076336,0.3055555555555556,11.969166666666668,0.2696824706394084,40.0,5.0,6.0,10.0,94.0,12.0,22.0,43.0,22.0,82.0,106.0,8.0,111.0,143.0,59.0,318.0,18.0,25.0,6.0,,0.43617021276595747,0.45555555555555555,0.39166666666666666,0.5454545454545454,0.38596491228070173,0.4629156010230179,0.527027027027027,0.4846938775510204,0.5512820512820513,0.019736842105263157,0.02096069868995633,0.018726591760299626,0.0169971671388102,0.07042253521126761,0.6153846153846154,0.6779661016949152,0.45,0.16216216216216217,0.8333333333333334,0.5555555555555556,0.4925677419354838,0.09953703703703703,4.0,36.0,7.0,,39.0,6.0,2.0,0.02575107296137339,0.023972602739726026,0.0273224043715847,0.29545454545454547,0.29770992366412213,0.5128205128205128,110.0,26.0,151.0,41.0,109.0,9.0,19.0,42.0,30.0,0.38618925831202044,0.0375,0.09230769230769231,0.6,0.084070796460177,0.11977715877437325,0.08227848101265822,0.2813299232736573,0.2653061224489796,24.800000000000008,False,15.0,15.0,41.0,2.0,7.0,15.0,43.0,5.0,13.0,10.0,58.0,5.0,15.0,17.0,150.0,24.0,1.0,43.0,1.0,32.0,31.0,1.0,16.0,1.0,7.0,5.0,36.0,19.0,17.0,11.0,4.0,12.0,3.0,8.0,5.0,2.0,2.0,1.0,0.8620689655172413,0.3841059602649007,0.3333333333333333,0.4146341463414634,0.38666666666666666,0.006622516556291391,0.046511627906976744,0.007575757575757576,0.00909090909090909,0.08641975308641975,0.014285714285714285,0.02,0.08823529411764706,0.022222222222222223,0.3488372093023256,0.36585365853658536,0.2,0.10485933503836317,0.36585365853658536,0.36585365853658536,1.0,0.39090909090909093,0.3944954128440367,0.813953488372093,0.05405405405405406,0.35135135135135137,0.38461538461538464,0.8,0.15306122448979592,0.4666666666666667,0.38461538461538464,0.3944954128440367,0.013071895424836602,,,,,,,,,,,,,
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,117836.0,1964,-105.0,3663,3700,1053,1051,509.0,7363,406.0,105.0,105.0,65.0,576.0,169.0,809.0,3974,147.0,63.0,236.0,102.0,147.0,273.0,57.0,143.0,35.0,46.0,164.0,282.0,128.0,24.0,18.0,8.0,21.0,236.0,1053,32.0,0.5533515731874145,0.5592417061611374,20.516431924882628,0.07029634734665748,0.07580645161290323,0.05830903790087463,0.6755407653910149,0.17470881863560733,0.10815307820299501,0.6363636363636364,0.7171381031613977,0.5409806397306397,0.5153301886792452,0.18104667609618105,0.187683284457478,0.29171817058096416,3.4453125,0.28746928746928746,253.0,47.0,86.0,72.0,317.0,55.0,111.0,141.0,85.0,386.0,248.0,76.0,101.0,138.0,66.0,313.0,102.0,126.0,19.0,,0.6088328075709779,0.6917562724014337,0.5503472222222222,0.4954954954954955,0.5782312925170068,0.5324459234608985,0.48672566371681414,0.5242424242424243,0.5300751879699248,0.07993730407523511,0.07391826923076923,0.10290237467018469,0.0589622641509434,0.05415860735009671,0.6231527093596059,0.696969696969697,0.6363636363636364,0.7610619469026548,0.5465116279069767,0.6857142857142857,0.5306274193548386,0.17428924598269468,31.0,21.0,22.0,,22.0,21.0,3.0,0.05412371134020619,0.080338266384778,0.05263157894736842,0.3384615384615385,0.3492063492063492,0.6818181818181818,19.0,15.0,25.0,18.0,14.0,61.0,39.0,86.0,49.0,0.04159733777038269,0.10590277777777778,0.10591133004926108,0.6013986013986014,0.09535452322738386,0.09137055837563451,0.08058608058608059,0.03161397670549085,0.09090909090909091,31.947999999999997,False,42.0,2.0,6.0,2.0,1.0,3.0,,,,,2.0,,2.0,1.0,6.0,,5.0,,1.0,37.0,26.0,11.0,14.0,3.0,6.0,15.0,106.0,50.0,56.0,12.0,6.0,37.0,5.0,10.0,14.0,,4.0,3.0,1.0,0.08,,0.05555555555555555,0.1,0.04,0.1523809523809524,0.03076923076923077,0.05263157894736842,0.05128205128205128,0.02158273381294964,0.05952380952380952,0.125,0.07462686567164178,0.4,0.47191011235955055,0.40476190476190477,0.009983361064891847,0.3333333333333333,0.3333333333333333,1.0,,,,0.017699115044247787,,,,0.01818181818181818,0.3333333333333333,,,,3.0,3.0,6.0,12.0,1.0,1.0,0.5714285714285714,0.1702127659574468,,,,,
2032,1610612757,Darius Miles,Darius Miles,2032,POR,100827.0,1680,-73.0,3183,3178,953,929,393.0,6361,291.0,78.0,139.0,241.0,671.0,126.0,806.0,3349,167.0,47.0,241.0,157.0,226.0,297.0,82.0,155.0,39.0,100.0,187.0,209.0,91.0,21.0,69.0,50.0,77.0,241.0,953,12.0,0.5107731305449936,0.5403587443946188,25.919824272377813,0.12275215011727912,0.12431108389467238,0.1308411214953271,0.41930835734870314,0.20028818443804033,0.3472622478386167,0.42162162162162165,0.45244956772334294,0.4827287264833574,0.4820923076923077,0.11979166666666667,0.12231182795698925,0.2990074441687345,8.375111773472428,0.29940307885642475,192.0,28.0,44.0,48.0,328.0,42.0,78.0,96.0,88.0,400.0,256.0,48.0,97.0,129.0,68.0,290.0,59.0,71.0,30.0,4.0,0.6097560975609756,0.6578947368421053,0.488822652757079,0.5384615384615384,0.5269461077844312,0.4899135446685879,0.5304878048780488,0.5243243243243243,0.5333333333333333,0.05094991364421416,0.04836415362731152,0.036036036036036036,0.025,0.1038961038961039,0.6597938144329897,0.7111111111111111,0.6145833333333334,0.5365853658536586,0.6363636363636364,0.6153846153846154,0.4963590277777779,0.11910669975186104,9.0,20.0,18.0,,88.0,9.0,3.0,0.036290322580645164,0.09350649350649351,0.036458333333333336,0.3651452282157676,0.3651452282157676,0.7386363636363636,14.0,13.0,23.0,18.0,11.0,36.0,46.0,73.0,43.0,0.03314121037463977,0.05365126676602087,0.07216494845360824,0.47096774193548385,0.12994350282485875,0.1350806451612903,0.12831858407079647,0.020172910662824207,0.07027027027027027,27.213043478260868,False,48.0,4.0,9.0,3.0,2.0,5.0,4.0,,1.0,4.0,8.0,1.0,4.0,6.0,18.0,6.0,3.0,4.0,,32.0,24.0,8.0,9.0,3.0,23.0,21.0,75.0,54.0,21.0,15.0,8.0,30.0,10.0,11.0,4.0,1.0,13.0,,0.75,0.34782608695652173,0.25,0.3333333333333333,0.4,,0.1079136690647482,,,0.21904761904761905,0.024793388429752067,0.03571428571428571,0.1328125,0.06752411575562701,0.34532374100719426,0.3870967741935484,0.3541666666666667,0.012968299711815562,0.4444444444444444,0.4444444444444444,0.75,0.2857142857142857,0.2857142857142857,0.75,0.036585365853658534,0.012195121951219513,,,0.02702702702702703,0.4,0.3076923076923077,0.36363636363636365,0.041666666666666664,8.0,7.0,6.0,38.0,,2.0,0.4935064935064935,0.25,1.0,1.0,0.3333333333333333,1.0,
