EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LostBallSteals,Travels,SecondChanceTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,Corner3FGM,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,BlockedCorner3,StepOutOfBoundsTurnovers,Clear Path Fouls
1052,1610612762,Ben Handlogten,Ben Handlogten,1052,UTA,7810.0,130,-43.0,242,239,88.0,110,41.0,481,12.0,23.0,2.0,8.0,5.0,10.0,1.0,6.0,1.0,6.0,1.0,1.0,14.0,35.0,1.0,4.0,32.0,275,2.0,8.0,1.0,5.0,6.0,13.0,1.0,2.0,14.0,20.0,8.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,8.0,2.0,11.0,1.0,1.0,13.0,2.0,16.0,14.0,30.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,7.0,3.0,18.0,21.0,1.0,7.0,1.0,3.0,1.0,14.0,88.0,0.7142857142857143,0.8333333333333334,0.4,0.25,0.46153846153846156,0.3888888888888889,0.25,0.42857142857142855,0.41025641025641024,0.2777777777777778,0.4375,0.027777777777777776,0.05714285714285714,0.08695652173913043,16.02787456445993,0.5714285714285714,0.2857142857142857,0.125,0.18055555555555555,0.1111111111111111,0.058823529411764705,0.15384615384615385,0.15730337078651685,0.11607142857142858,0.15625,0.18181818181818182,0.044444444444444446,0.3333333333333333,0.14285714285714285,0.17647058823529413,0.1951219512195122,0.07692307692307693,0.1111111111111111,0.6388888888888888,0.5217391304347826,0.5714285714285714,0.75,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.027777777777777776,1.0,0.25,0.7142857142857143,0.5,0.07142857142857142,0.6666666666666666,0.4985742857142857,0.5588285714285715,0.5090846153846154,0.07894736842105263,0.08108108108108109,0.15625,0.4375,4.782857142857142,84.8,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,61140.0,1019,-143.0,1876,1878,558.0,746,278.0,3754,107.0,168.0,27.0,45.0,24.0,43.0,16.0,51.0,45.0,117.0,8.0,6.0,168.0,336.0,9.0,93.0,441.0,2049,32.0,60.0,18.0,85.0,35.0,83.0,7.0,40.0,119.0,244.0,92.0,42.0,,30.0,48.0,53.0,26.0,17.0,111.0,9.0,64.0,2.0,34.0,71.0,15.0,120.0,75.0,195.0,14.0,29.0,16.0,30.0,4.0,17.0,31.0,3.0,13.0,61.0,18.0,42.0,103.0,12.0,119.0,11.0,53.0,12.0,119.0,558.0,0.7261904761904762,0.8299319727891157,0.5,0.5333333333333333,0.42168674698795183,0.5043478260869565,0.5403225806451613,0.4388888888888889,0.5526315789473685,0.5821917808219178,0.5219298245614035,0.02608695652173913,0.08928571428571429,0.125,20.814479638009047,0.4918032786885246,0.19480519480519481,0.03225806451612903,0.11378205128205128,0.0807061790668348,0.17,0.08181818181818182,0.12742718446601942,0.08084163898117387,0.09523809523809523,0.05952380952380952,0.07954545454545454,0.11538461538461539,0.07446808510638298,0.09146341463414634,0.15441176470588236,0.1554054054054054,0.09929078014184398,0.48695652173913045,0.6369047619047619,0.7278911564625851,0.6542056074766355,0.14782608695652175,0.3137254901960784,0.35555555555555557,0.3391304347826087,0.38461538461538464,0.39473684210526316,0.9333333333333333,0.02318840579710145,0.7258064516129032,0.6,0.4777777777777778,0.5581395348837209,0.06666666666666667,0.5130434782608696,0.48102782608695677,0.5373036363636363,0.4738538888888889,0.13695090439276486,0.1402116402116402,0.1927437641723356,0.2698412698412698,7.6604166666666655,24.744444444444444,0.2974413646055437,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,12.0,8.0,4.0,5.0,3.0,2.0,5.0,13.0,5.0,10.0,8.0,5.0,2.0,1.0,2.0,5.0,2.0,1.0,3.0,19.0,1.0,0.4444444444444444,0.5,0.42857142857142855,0.4444444444444444,0.11764705882352941,0.02564102564102564,0.07142857142857142,0.21153846153846154,0.4,0.625,0.002898550724637681,0.5,0.5,1.0,0.2222222222222222,0.016129032258064516,0.016129032258064516,1.0,1.0,0.011111111111111112,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,29274.0,488,-14.0,894,902,263.0,323,101.0,1796,45.0,67.0,10.0,17.0,12.0,19.0,5.0,20.0,19.0,40.0,23.0,6.0,69.0,127.0,26.0,69.0,234.0,962,12.0,21.0,15.0,39.0,15.0,28.0,7.0,22.0,61.0,86.0,52.0,14.0,,7.0,35.0,39.0,18.0,16.0,82.0,,32.0,,13.0,35.0,4.0,52.0,32.0,84.0,3.0,29.0,21.0,25.0,4.0,17.0,15.0,1.0,8.0,40.0,9.0,12.0,30.0,,93.0,10.0,43.0,6.0,61.0,263.0,0.6231884057971014,0.6935483870967742,0.5433070866141733,0.5714285714285714,0.5357142857142857,0.5392156862745098,0.5217391304347826,0.5571428571428572,0.6036269430051814,0.609375,0.648936170212766,0.16993464052287582,0.05511811023622047,0.05970149253731343,22.65625,0.625,0.14814814814814814,,0.10903426791277258,0.0943952802359882,0.1566265060240964,,0.1188118811881188,0.08163265306122448,0.10526315789473684,0.0975609756097561,0.08641975308641975,,0.07692307692307693,0.1111111111111111,0.13385826771653545,0.16666666666666666,0.04477611940298507,0.43790849673202614,0.6716417910447762,0.7142857142857143,0.6666666666666666,0.13071895424836602,0.25,0.2777777777777778,0.26143790849673204,0.475,0.48717948717948717,0.631578947368421,0.1503267973856209,0.7391304347826086,0.5882352941176471,0.5428571428571428,0.631578947368421,0.17142857142857143,0.6078431372549019,0.5004039215686275,0.5509099999999999,0.5052571428571427,0.23529411764705882,0.26875,0.16666666666666666,0.2606837606837607,7.685039370078739,24.565384615384616,0.2941834451901566,3.0,,1.0,9.0,,2.0,3.0,9.0,,2.0,3.0,24.0,23.0,9.0,4.0,,4.0,1.0,8.0,1.0,2.0,6.0,52.0,28.0,5.0,19.0,54.0,35.0,,1.0,4.0,0.8888888888888888,0.34615384615384615,,0.42857142857142855,0.34615384615384615,0.1,0.025,,0.13043478260869565,0.6481481481481481,0.2,0.0196078431372549,0.391304347826087,0.391304347826087,0.8888888888888888,0.2,,0.08695652173913043,,,0.02857142857142857,0.5,0.391304347826087,3.0,2.0,1.0,2.0,2.0,1.0,0.037037037037037035,,,,,,,,,,,,,,,,True,,,
1952,1610612762,Raja Bell,Raja Bell,1952,UTA,34872.0,581,-114.0,1070,1071,285.0,461,153.0,2141,12.0,24.0,4.0,6.0,2.0,7.0,8.0,18.0,57.0,125.0,19.0,6.0,77.0,167.0,34.0,38.0,240.0,1190,12.0,17.0,8.0,41.0,16.0,39.0,13.0,26.0,73.0,116.0,38.0,6.0,,4.0,27.0,30.0,8.0,14.0,63.0,3.0,14.0,1.0,8.0,45.0,1.0,54.0,18.0,72.0,1.0,9.0,3.0,11.0,9.0,9.0,17.0,,2.0,28.0,3.0,36.0,75.0,2.0,53.0,3.0,13.0,12.0,73.0,285.0,0.7532467532467533,0.7837837837837838,0.46107784431137727,0.7058823529411765,0.41025641025641024,0.5024875621890548,0.75,0.4519230769230769,0.5334821428571429,0.7592592592592593,0.5367647058823529,0.1691542288557214,0.023952095808383235,0.125,20.0796812749004,0.39285714285714285,0.02631578947368421,0.029411764705882353,0.1232876712328767,0.03139013452914798,0.08333333333333333,0.0410958904109589,0.11496746203904555,0.03275529865125241,0.03787878787878788,0.02127659574468085,0.031818181818181815,0.0625,0.125,0.11,0.13071895424836602,0.09859154929577464,0.009900990099009901,0.11940298507462686,0.5,0.5714285714285714,0.4166666666666667,0.08955223880597014,0.4444444444444444,0.47058823529411764,0.6218905472636815,0.456,0.456,0.8421052631578947,0.0945273631840796,0.2727272727272727,0.6666666666666666,0.1346153846153846,0.2857142857142857,0.11538461538461539,0.2885572139303483,0.4484087064676617,0.47635588235294113,0.4427461538461539,0.0660377358490566,0.07344632768361582,0.17083333333333334,0.30416666666666664,15.749101796407189,24.038235294117648,0.26635514018691586,15.0,1.0,7.0,10.0,3.0,4.0,3.0,16.0,3.0,5.0,5.0,45.0,19.0,10.0,3.0,3.0,,5.0,6.0,,1.0,7.0,2.0,2.0,,,2.0,1.0,,,15.0,0.9375,0.47058823529411764,0.6,0.38461538461538464,0.47058823529411764,0.05555555555555555,,0.03508771929824561,0.04,0.5,0.625,0.07462686567164178,0.5263157894736842,0.5263157894736842,0.9,0.25,0.045454545454545456,0.18181818181818182,0.75,1.0,0.1346153846153846,0.5,0.5263157894736842,3.0,3.0,1.0,,,,0.02857142857142857,6.0,2.0,1.0,0.029411764705882353,0.06666666666666667,0.4,0.42857142857142855,1.0,0.2857142857142857,,,,,,,True,,,
2693,1610612762,Keith McLeod,Keith McLeod,2693,UTA,82902.0,1382,-121.0,2561,2561,810.0,1088,369.0,5122,45.0,105.0,1.0,6.0,15.0,38.0,8.0,39.0,72.0,192.0,70.0,34.0,125.0,336.0,72.0,112.0,416.0,2749,6.0,19.0,5.0,23.0,44.0,114.0,34.0,64.0,182.0,74.0,176.0,,5.0,27.0,205.0,236.0,81.0,105.0,503.0,4.0,15.0,1.0,21.0,71.0,1.0,93.0,20.0,113.0,5.0,63.0,37.0,64.0,15.0,45.0,35.0,1.0,19.0,99.0,22.0,66.0,138.0,,146.0,12.0,53.0,21.0,182.0,810.0,0.296,0.296,0.37202380952380953,0.3157894736842105,0.38596491228070173,0.37254901960784315,0.3333333333333333,0.39864864864864863,0.4397463002114165,0.38333333333333336,0.48663101604278075,0.17647058823529413,0.08035714285714286,0.20952380952380953,19.028609447771125,0.6464646464646465,0.009345794392523364,0.011627906976744186,0.08105022831050228,0.014044943820224719,0.08677685950413223,0.0273972602739726,0.08228980322003578,0.015650741350906095,0.03133903133903134,0.008733624454148471,0.004098360655737705,0.02631578947368421,0.11524163568773234,0.06167400881057269,0.06842105263157895,0.07909604519774012,0.021834061135371178,0.25735294117647056,0.42857142857142855,0.5421686746987951,0.15555555555555556,0.09558823529411764,0.20512820512820512,0.22857142857142856,0.47058823529411764,0.375,0.3769633507853403,0.3888888888888889,0.1715686274509804,0.2222222222222222,0.16666666666666666,0.25675675675675674,0.39473684210526316,0.22972972972972974,0.4338235294117647,0.4650732009925556,0.45786041666666666,0.45217222222222225,0.1261061946902655,0.14058355437665782,0.055288461538461536,0.4375,12.355952380952377,26.515277777777776,0.3162827020695041,2.0,,,18.0,2.0,8.0,10.0,18.0,2.0,8.0,10.0,21.0,65.0,18.0,31.0,24.0,7.0,19.0,26.0,2.0,4.0,14.0,12.0,5.0,2.0,5.0,12.0,7.0,,,27.0,0.3888888888888889,0.25,0.25,0.29411764705882354,0.26865671641791045,0.10256410256410256,0.005208333333333333,0.027777777777777776,0.1076923076923077,0.5833333333333334,0.25,0.004901960784313725,0.2571428571428571,0.2608695652173913,0.3888888888888889,,,0.2962962962962963,0.25,0.5,,0.29411764705882354,0.27692307692307694,33.0,,4.0,,,,0.05333333333333334,,,1.0,0.013888888888888888,,,,,,1.0,1.0,0.014285714285714285,,,,True,,,
1921,1610612762,Gordan Giricek,Gordan Giricek,1921,UTA,39228.0,654,37.0,1224,1221,386.0,499,183.0,2445,39.0,66.0,3.0,9.0,13.0,19.0,15.0,44.0,52.0,125.0,26.0,6.0,106.0,235.0,48.0,43.0,315.0,1283,12.0,26.0,3.0,33.0,26.0,63.0,14.0,16.0,77.0,120.0,92.0,,1.0,17.0,58.0,58.0,32.0,21.0,116.0,2.0,10.0,,17.0,45.0,2.0,64.0,12.0,76.0,4.0,21.0,16.0,20.0,7.0,12.0,17.0,1.0,8.0,37.0,11.0,22.0,57.0,1.0,51.0,9.0,24.0,2.0,77.0,386.0,0.5660377358490566,0.5660377358490566,0.451063829787234,0.46153846153846156,0.4126984126984127,0.48056537102473496,0.5,0.3961038961038961,0.515,0.5161290322580645,0.44642857142857145,0.1696113074204947,0.07234042553191489,0.15151515151515152,23.354123354123356,0.5405405405405406,0.038461538461538464,,0.10392609699769054,0.0196078431372549,0.1504424778761062,0.03225806451612903,0.11355311355311355,0.02097902097902098,0.011627906976744186,0.042735042735042736,0.013574660633484163,,0.06818181818181818,0.11607142857142858,0.12169312169312169,0.14634146341463414,0.02877697841726619,0.2332155477031802,0.5909090909090909,0.6964285714285714,0.5128205128205128,0.15547703180212014,0.3409090909090909,0.36585365853658536,0.4416961130742049,0.416,0.4297520661157025,0.6346153846153846,0.09187279151943463,0.3,0.3333333333333333,0.24675324675324675,0.6842105263157895,0.07792207792207792,0.4028268551236749,0.4724987588652482,0.48452413793103455,0.4739736842105264,0.08053691275167785,0.096,0.10476190476190476,0.24444444444444444,12.36851063829787,24.5,0.315359477124183,22.0,2.0,8.0,13.0,1.0,2.0,1.0,20.0,2.0,4.0,3.0,57.0,25.0,13.0,,,,5.0,5.0,4.0,3.0,1.0,4.0,1.0,,3.0,4.0,2.0,2.0,,13.0,0.95,0.4166666666666667,0.5,0.21428571428571427,0.425531914893617,0.06818181818181818,0.032,0.05,0.16129032258064516,0.5,0.4666666666666667,0.07773851590106007,0.5,0.5,0.9230769230769231,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.5,1.0,0.1038961038961039,0.16666666666666666,0.52,3.0,8.0,,,,,,7.0,2.0,,,,0.3181818181818182,0.3181818181818182,1.0,0.25,,,,1.0,0.5,1.0,True,,,
2246,1610612762,Mehmet Okur,Mehmet Okur,2246,UTA,47405.0,790,-38.0,1472,1472,599.0,806,220.0,2944,65.0,117.0,23.0,40.0,25.0,43.0,20.0,51.0,35.0,66.0,24.0,12.0,120.0,234.0,26.0,108.0,372.0,1569,31.0,53.0,14.0,79.0,48.0,86.0,13.0,66.0,177.0,128.0,112.0,50.0,,18.0,44.0,51.0,27.0,14.0,109.0,8.0,61.0,2.0,30.0,101.0,24.0,155.0,71.0,226.0,10.0,15.0,8.0,31.0,5.0,23.0,17.0,1.0,8.0,48.0,12.0,45.0,76.0,10.0,127.0,11.0,47.0,19.0,177.0,599.0,0.5333333333333333,0.6736842105263158,0.5128205128205128,0.5849056603773585,0.5581395348837209,0.5076923076923077,0.5803571428571429,0.5606060606060606,0.580952380952381,0.6171875,0.6518518518518519,0.1,0.07692307692307693,0.11965811965811966,20.862068965517242,0.6458333333333334,0.32,0.0392156862745098,0.20445344129554655,0.0993485342019544,0.2,0.08163265306122448,0.20341614906832298,0.09691011235955056,0.11312217194570136,0.1328125,0.07169811320754717,0.1111111111111111,0.1951219512195122,0.23140495867768596,0.19617224880382775,0.21100917431192662,0.08928571428571429,0.45,0.5555555555555556,0.6310679611650486,0.49230769230769234,0.19615384615384615,0.39215686274509803,0.425531914893617,0.25384615384615383,0.5303030303030303,0.5303030303030303,0.6285714285714286,0.09230769230769231,0.7142857142857143,0.575,0.43434343434343436,0.5813953488372093,0.12121212121212122,0.55,0.4792684615384616,0.5279039215686275,0.4656904040404039,0.15878378378378377,0.17407407407407408,0.21236559139784947,0.47580645161290325,7.295299145299148,24.838461538461537,0.406929347826087,2.0,,1.0,8.0,1.0,3.0,5.0,8.0,1.0,3.0,5.0,21.0,24.0,8.0,7.0,6.0,1.0,3.0,7.0,3.0,4.0,6.0,25.0,18.0,4.0,3.0,25.0,17.0,,,13.0,0.875,0.3076923076923077,0.3333333333333333,0.38461538461538464,0.3076923076923077,0.0784313725490196,,0.07042253521126761,0.17073170731707318,0.68,0.5,0.007692307692307693,0.3333333333333333,0.3333333333333333,0.875,,,0.05357142857142857,0.3333333333333333,1.0,0.010101010101010102,0.4166666666666667,0.3333333333333333,3.0,6.0,,,,,,,,,,,,,,,,1.0,,,,,True,,,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,20986.0,350,43.0,657,655,145.0,182,89.0,1312,11.0,26.0,4.0,8.0,2.0,5.0,2.0,10.0,11.0,22.0,,,24.0,58.0,,17.0,65.0,674,6.0,11.0,2.0,14.0,2.0,8.0,,4.0,8.0,34.0,14.0,6.0,,13.0,23.0,24.0,15.0,7.0,49.0,,20.0,1.0,5.0,25.0,8.0,38.0,21.0,59.0,2.0,,,3.0,3.0,2.0,8.0,,1.0,11.0,2.0,26.0,60.0,8.0,26.0,,12.0,1.0,8.0,145.0,0.7083333333333334,0.8095238095238095,0.41379310344827586,0.5454545454545454,0.25,0.41379310344827586,0.5454545454545454,0.25,0.45774647887323944,0.5833333333333334,0.36363636363636365,,0.22413793103448276,0.4230769230769231,10.704960835509139,0.2727272727272727,0.2962962962962963,0.05263157894736842,0.0946969696969697,0.07352941176470588,0.10204081632653061,,0.09584664536741214,0.06756756756756757,0.08602150537634409,0.08771929824561403,0.05737704918032787,,0.1506849315068493,0.09859154929577464,0.058333333333333334,0.10810810810810811,0.1,0.4482758620689655,0.4230769230769231,0.7333333333333333,0.6363636363636364,0.1724137931034483,0.2,0.25,0.3793103448275862,0.5,0.5,0.8181818181818182,,0.7272727272727273,0.5,0.625,0.4,,0.4482758620689655,0.46048275862068977,0.5159363636363636,0.45993750000000005,0.17142857142857143,0.17142857142857143,0.2153846153846154,0.12307692307692308,8.303448275862069,,0.2207001522070015,,,,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,3.0,2.0,2.0,2.0,,,2.0,1.0,,1.0,11.0,,,,,,0.2,,,0.08333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2743,1610612762,Kris Humphries,Kris Humphries,2743,UTA,15942.0,266,-31.0,504,497,218.0,281,76.0,1001,23.0,40.0,5.0,13.0,8.0,17.0,5.0,24.0,13.0,32.0,,,41.0,96.0,,15.0,97.0,504,7.0,20.0,3.0,17.0,17.0,42.0,,6.0,40.0,48.0,34.0,10.0,,11.0,13.0,14.0,8.0,4.0,29.0,2.0,15.0,1.0,5.0,23.0,9.0,37.0,18.0,55.0,,10.0,8.0,7.0,2.0,3.0,10.0,,4.0,17.0,7.0,16.0,32.0,4.0,34.0,2.0,12.0,6.0,40.0,218.0,0.5853658536585366,0.6666666666666666,0.4270833333333333,0.35,0.40476190476190477,0.4270833333333333,0.35,0.40476190476190477,0.4330357142857143,0.38636363636363635,0.4,,0.11458333333333333,0.2,21.717171717171716,0.4117647058823529,0.34615384615384615,0.043478260869565216,0.14556962025316456,0.06756756756756757,0.10638297872340426,0.06666666666666667,0.13658536585365855,0.06746031746031746,0.078125,0.058823529411764705,0.06542056074766354,,0.07407407407407407,0.13157894736842105,0.21212121212121213,0.06060606060606061,,0.4166666666666667,0.575,0.71875,0.5217391304347826,0.25,0.20833333333333334,0.23809523809523808,0.3333333333333333,0.40625,0.40625,0.8461538461538461,,0.65,0.38461538461538464,0.40476190476190477,0.47058823529411764,,0.4166666666666667,0.4613333333333333,0.4932555555555555,0.44794761904761904,0.11320754716981132,0.11320754716981132,0.17525773195876287,0.41237113402061853,8.1875,,0.43253968253968256,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,4.0,6.0,5.0,,1.0,6.0,4.0,1.0,1.0,7.0,,,,,,0.125,,0.1,0.21428571428571427,0.6666666666666666,0.2,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,
2414,1610612762,Curtis Borchardt,Curtis Borchardt,2414,UTA,21868.0,364,-113.0,642,647,129.0,194,102.0,1289,21.0,47.0,13.0,27.0,3.0,11.0,3.0,17.0,5.0,12.0,,,29.0,76.0,,19.0,77.0,733,15.0,31.0,13.0,43.0,4.0,14.0,,8.0,16.0,30.0,28.0,18.0,,5.0,18.0,22.0,6.0,11.0,48.0,4.0,40.0,2.0,11.0,42.0,7.0,60.0,46.0,106.0,7.0,3.0,1.0,7.0,2.0,2.0,18.0,,5.0,25.0,4.0,31.0,73.0,12.0,27.0,3.0,11.0,4.0,16.0,129.0,0.5172413793103449,0.75,0.3815789473684211,0.4838709677419355,0.2857142857142857,0.3815789473684211,0.4838709677419355,0.2857142857142857,0.4375,0.5972222222222222,0.42105263157894735,,0.06578947368421052,0.0851063829787234,14.694408322496749,0.28,0.28,0.09090909090909091,0.19811320754716982,0.13157894736842105,0.18032786885245902,0.12121212121212122,0.19413919413919414,0.13056379821958458,0.18681318681318682,0.08955223880597014,0.11643835616438356,,0.24615384615384617,0.15517241379310345,0.19101123595505617,0.19148936170212766,0.16666666666666666,0.618421052631579,0.44680851063829785,0.4883720930232558,0.42857142857142855,0.2236842105263158,0.17647058823529413,0.1875,0.15789473684210525,0.4166666666666667,0.4166666666666667,1.0,,0.8709677419354839,0.48148148148148145,0.7857142857142857,0.2727272727272727,,0.618421052631579,0.4920131578947369,0.5343413793103448,0.5178571428571429,0.13095238095238096,0.13095238095238096,0.5584415584415584,0.2077922077922078,4.492105263157895,,0.20093457943925233,,,,,,,,,,,,,,,4.0,3.0,1.0,1.0,2.0,1.0,1.0,12.0,14.0,12.0,,2.0,14.0,8.0,,2.0,6.0,,,,,,0.058823529411764705,,0.15384615384615385,0.14285714285714285,0.5714285714285714,0.3333333333333333,,,,,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
