EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsUnassisted2s,NonHeaveArc3FGA,Corner3Assists,AtRimAssists,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyFg2Pct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Loose Ball Fouls,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,Fg2aBlocked,FTDefRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,DefThreePtRebounds,ThreePtShootingFoulsDrawn,ShortMidRangePctBlocked,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SelfOReb,SelfORebPct,DefArc3ReboundPct,ShortMidRangeAssists,BlockedShortMidRange,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,Fg3aBlocked,OffThreePtRebounds,FTOffRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockedLongMidRange,3SecondViolations,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Corner3PctBlocked,Defensive 3 Seconds Violations,BlockedCorner3,OffensiveGoaltends
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,933.0,16,14.0,35,34,8.0,20.0,2,69,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,8,36,1.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.5,1.3333333333333333,1.5,0.6666666666666666,8.108108108108109,0.5,0.2,0.4,0.1111111111111111,0.25,0.4,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.43783333333333335,0.3909,0.375,20.2,23.85,0.22857142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,1153.0,19,11.0,41,40,13.0,15.0,5,81,,1.0,,,,,5.0,7.0,,1.0,13,42,,,7.0,,,1.0,2.0,3.0,1.0,,8.0,,,,,,1.0,1.0,2.0,3.0,7.0,13.0,1.0,,,,,,,0.7142857142857143,0.625,0.6666666666666666,0.7222222222222222,0.875,0.125,18.75,,,,,,,,0.125,,,,,,,,,,0.5,0.44548125000000005,0.3355333333333334,0.5384615384615384,5.8,25.6,0.3170731707317073,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,10.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.375,1.0,1.0,0.375,0.6666666666666666,0.6666666666666666,0.125,0.3333333333333333,1.0,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,1610612743,Francisco Elson,Francisco Elson,1922,DEN,803.0,13,11.0,30,28,13.0,21.0,3,58,,1.0,,,,,1.0,2.0,,,2,32,,,2.0,,,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,3.0,,,1.0,2.0,2.0,13.0,,,,,,,,0.5,0.5,1.0,0.5,1.0,,6.0606060606060606,0.2857142857142857,0.125,0.2857142857142857,0.09090909090909091,,,0.5,0.5,,,,,,,,,,,0.40990000000000004,0.4289,1.0,11.649999999999999,,0.43333333333333335,,,,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,1.0,,,,0.5,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4289,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,2994.0,50,9.0,106,105,39.0,37.0,13,211,5.0,14.0,,,,,13.0,25.0,,2.0,33,112,,2.0,11.0,18.0,,2.0,1.0,3.0,,2.0,7.0,3.0,2.0,3.0,3.0,6.0,2.0,1.0,2.0,4.0,11.0,39.0,,0.6923076923076923,0.75,,,,,0.52,0.48148148148148145,0.4166666666666667,0.55,0.4583333333333333,0.07407407407407407,28.09917355371901,0.07142857142857142,0.075,0.05405405405405406,0.061224489795918366,0.047619047619047616,,0.18181818181818182,0.5185185185185185,0.35714285714285715,0.35714285714285715,0.8,,,,,,,0.4074074074074074,0.4724296296296296,0.49947499999999995,0.3333333333333333,10.992,24.6,0.36792452830188677,7.0,9.0,4.0,5.0,1.0,2.0,2.0,7.0,5.0,10.0,1.0,8.0,2.0,1.0,,9.0,2.0,5.0,,0.5,0.3333333333333333,0.7777777777777778,0.875,0.07407407407407407,0.5,0.5,0.07407407407407407,0.4166666666666667,0.8,0.16666666666666666,0.17857142857142858,2.0,2.0,5.0,2.0,,,1.0,0.6666666666666666,0.625,0.16666666666666666,0.5215833333333334,0.15151515151515152,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.04,0.1111111111111111,0.5,0.3333333333333333,1.0,0.5714285714285714,1.0,0.6666666666666666,1.0,0.5,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,1610612743,Voshon Lenard,Voshon Lenard,702,DEN,3390.0,56,3.0,119,119,39.0,37.0,15,238,1.0,6.0,1.0,5.0,,2.0,6.0,14.0,4.0,12.0,29,129,2.0,6.0,10.0,10.0,9.0,5.0,1.0,6.0,,4.0,13.0,,5.0,6.0,,6.0,1.0,,1.0,2.0,10.0,39.0,1.0,0.8333333333333334,0.8333333333333334,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.46153846153846156,0.5,0.5,0.5555555555555556,0.46153846153846156,22.62773722627737,0.15625,,0.14634146341463414,,,0.15384615384615385,0.08333333333333333,0.23076923076923078,0.16666666666666666,0.16666666666666666,1.0,0.19230769230769232,0.2,0.2,1.0,0.25,,0.6923076923076923,0.5113307692307691,0.5096937500000001,0.3448275862068966,9.978571428571428,24.441666666666666,0.3277310924369748,5.0,6.0,1.0,1.0,,2.0,7.0,5.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,8.0,,1.0,,0.5,0.23076923076923078,0.8333333333333334,0.8333333333333334,0.07692307692307693,,,0.2692307692307692,0.125,1.0,0.10344827586206896,0.06666666666666667,1.0,2.0,2.0,,,,0.5,0.25,0.25,,0.543125,0.06896551724137931,1.0,1.0,,4.0,2.0,,2.0,,1.0,2.0,1.0,,,1.0,2.0,,,,,,,0.14285714285714285,,1.0,,,0.8,,0.25,1.0,1.0,,0.5,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,0.1111111111111111,0.2857142857142857,0.25,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5,0.5,0.42857142857142855,0.14285714285714285,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,752.0,13,-7.0,26,28,,3.0,4,54,1.0,1.0,,,,,2.0,3.0,,,4,34,,,,4.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,,,16.129032258064516,0.16666666666666666,0.07142857142857142,0.14285714285714285,0.0625,0.09090909090909091,,0.25,0.3333333333333333,1.0,1.0,1.0,,,,,,,0.6666666666666666,0.5225666666666666,,,6.2,,,1.0,2.0,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,,,,,,,,,,1.0,,,1.0,,,,,,0.5635,,,1.0,,,,,1.0,,1.0,2.0,1.0,,,1.0,2.0,,,,,,,0.3333333333333333,0.5,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,1610612743,Nene,Nene,2403,DEN,661.0,11,-8.0,23,24,10.0,7.0,4,47,,2.0,,,,,2.0,7.0,,,4,26,,,,,,,,,,,,2.0,,,2.0,2.0,,,1.0,1.0,,10.0,,,,,,,,0.2857142857142857,0.2857142857142857,,0.2857142857142857,,,26.666666666666668,,0.14285714285714285,,0.1111111111111111,0.2222222222222222,,,0.2857142857142857,,,,,,,,,,0.5714285714285714,0.5102142857142857,0.5906,,6.114285714285714,,0.43478260869565216,1.0,4.0,,3.0,1.0,1.0,,,,3.0,,4.0,,,,,,,,,0.5714285714285714,0.25,0.5,0.14285714285714285,1.0,1.0,,1.0,,,,1.0,2.0,2.0,,,,0.5,0.5,0.5,,0.40255,0.5,,,,,,,2.0,,,1.0,,,,1.0,1.0,,,,,,,0.2857142857142857,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1610612743,Wesley Person,Wesley Person,445,DEN,396.0,7,-6.0,13,14,,,2,27,,2.0,,,,,,2.0,1.0,1.0,3,17,,,,,3.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,0.5,,0.5,,0.3333333333333333,18.75,,,,,,,,0.6666666666666666,,,,,,,,,,0.3333333333333333,0.46845,,,18.1,24.7,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,,,,,,,,,0.4064,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,2248.0,37,-8.0,78,79,26.0,22.0,10,157,2.0,7.0,,,,,4.0,14.0,,,11,87,,,4.0,2.0,,8.0,1.0,9.0,1.0,1.0,19.0,3.0,,2.0,3.0,5.0,2.0,,,1.0,4.0,26.0,,0.25,0.25,,,,,0.2857142857142857,0.2857142857142857,0.25,0.36666666666666664,0.25,,20.0,,0.08823529411764706,0.06666666666666667,0.07894736842105263,0.058823529411764705,,,0.5,0.2857142857142857,0.2857142857142857,0.5,,,,,,,0.2857142857142857,0.48048571428571435,0.4537625,0.36363636363636365,10.492857142857144,,0.3333333333333333,1.0,4.0,,2.0,1.0,3.0,,3.0,2.0,8.0,,6.0,,,7.0,3.0,1.0,2.0,,0.25,0.2857142857142857,0.25,0.3333333333333333,0.21428571428571427,0.3333333333333333,0.5,,0.25,,0.13333333333333333,0.13333333333333333,,1.0,,,,,,,,0.18181818181818182,0.6036,,,1.0,,,,,2.0,,2.0,3.0,2.0,,,1.0,3.0,1.0,,,,,,0.14285714285714285,0.25,1.0,,,,,1.0,,,,,,,,,,2.0,,0.3333333333333333,0.2222222222222222,,0.25,,,,,,,,,,0.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,1610612743,Kenyon Martin,Kenyon Martin,2030,DEN,1752.0,29,,61,62,16.0,9.0,8,123,1.0,4.0,,,,,7.0,12.0,,,19,64,,,2.0,4.0,,3.0,,3.0,,1.0,6.0,2.0,3.0,6.0,2.0,8.0,3.0,1.0,2.0,4.0,2.0,16.0,1.0,0.2857142857142857,0.4,,,,,0.5833333333333334,0.5833333333333334,,0.6333333333333333,0.5,,22.058823529411764,0.17647058823529413,0.08,0.24,0.07142857142857142,,0.125,0.2,0.3333333333333333,0.25,0.25,,,,,,,,0.4166666666666667,0.48480833333333334,0.3935,0.10526315789473684,8.575000000000001,,0.26229508196721313,4.0,5.0,,,2.0,3.0,,5.0,,1.0,2.0,10.0,,,1.0,6.0,,2.0,1.0,,0.4166666666666667,0.8,0.8,0.25,0.6666666666666666,0.6666666666666666,,,,0.14285714285714285,0.14285714285714285,2.0,2.0,4.0,4.0,,,1.0,1.0,1.0,0.2857142857142857,0.58295,0.21052631578947367,2.0,2.0,,,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,0.5,,1.0,1.0,,,,,,,,,3.0,,,0.375,0.25,0.25,,,,,,,,,,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
