EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimAssists,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3FGM,FG3M,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,LongMidRangeAssists,BadPassSteals,Technical Free Throw Trips,NonShootingFoulsDrawn,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,2pt And 1 Free Throw Trips,BlockedAtRim,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceFtPoints,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,HeaveAttempts,SelfOReb,LostBallOutOfBoundsTurnovers,OffShortMidRangeReboundPct,SelfORebPct,Corner3FGM,SecondChanceCorner3FGA,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,Corner3Assists,Travels,DefensiveGoaltends,LongMidRangePctBlocked,3SecondViolations,on,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,Clear Path Fouls,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffensiveGoaltends,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,FoulsDrawn,Offensive Fouls Drawn
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,2999.0,50,-41.0,89,92,27,47,10,181,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,7.0,1.0,3.0,1.0,7.0,14,4.0,4.0,18.0,102,1.0,2.0,2.0,2.0,2.0,1.0,4.0,8.0,6.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,4.0,4.0,2.0,6.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,4.0,7.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,27,0.5714285714285714,0.6666666666666666,0.5,0.5,1.0,0.3888888888888889,0.5,0.6666666666666666,0.45,0.5,0.6666666666666666,0.2222222222222222,0.14285714285714285,0.16666666666666666,1.0,25.252525252525253,0.4,0.15384615384615385,0.05263157894736842,0.13333333333333333,0.045454545454545456,0.09090909090909091,0.05555555555555555,0.16666666666666666,0.25,0.1,1.0,0.3333333333333333,0.6666666666666666,0.8,0.25,0.05555555555555555,0.3888888888888889,0.42857142857142855,0.42857142857142855,1.0,0.05555555555555555,0.16666666666666666,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5555555555555556,0.4846472222222223,0.5525,0.5546666666666668,0.1,0.125,0.1111111111111111,0.2222222222222222,11.321428571428571,24.625,0.30337078651685395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,684.0,11,-5.0,22,22,3,5,5,44,2.0,5.0,1.0,4.0,,,,,,,,,2.0,5,,,4.0,20,1.0,4.0,2.0,,,,,2.0,2.0,2.0,,1.0,1.0,,1.0,,,2.0,4.0,2.0,2.0,5.0,7.0,,,,,,,,,,,2.0,3.0,,,,,,,,,3,0.5,1.0,0.4,0.25,,0.4,0.25,,0.4,0.25,,,0.2,0.2,,18.51851851851852,,0.4,0.36363636363636365,0.3333333333333333,0.38461538461538464,0.4,0.6666666666666666,0.5,,,,1.0,0.4,0.5,0.5,,,,,,,,1.0,0.25,,,,1.0,0.54132,0.5377333333333333,,,,0.5,,1.9,,0.13636363636363635,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1533,1610612754,Anthony Johnson,Anthony Johnson,1533,IND,5798.0,97,-61.0,164,172,57,59,20,336,,5.0,,,,,5.0,1.0,7.0,2.0,3.0,2.0,1.0,17,5.0,5.0,10.0,201,,2.0,,,4.0,2.0,2.0,2.0,,,3.0,3.0,9.0,1.0,10.0,1.0,1.0,21.0,,2.0,2.0,,2.0,6.0,2.0,3.0,1.0,1.0,2.0,,4.0,,1.0,4.0,10.0,1.0,7.0,2.0,,,,,2.0,57,1.0,1.0,0.058823529411764705,,,0.11363636363636363,,,0.18,,0.14285714285714285,0.22727272727272727,0.17647058823529413,0.4,0.2,15.591397849462364,0.75,0.041666666666666664,,0.03636363636363636,,,,,,0.09523809523809523,,0.22727272727272727,,,,0.22727272727272727,0.3181818181818182,0.14285714285714285,0.14285714285714285,1.0,0.09090909090909091,0.13636363636363635,,,,,0.3333333333333333,0.45454545454545453,0.4647071428571429,0.4,0.40440999999999994,0.08333333333333333,0.10526315789473684,,0.2,10.641176470588235,26.5,0.3475609756097561,6.0,,,,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,7156.0,119,-76.0,218,226,75,97,25,444,6.0,8.0,,,2.0,2.0,6.0,5.0,10.0,2.0,8.0,5.0,12.0,24,10.0,7.0,37.0,240,,1.0,3.0,3.0,4.0,5.0,16.0,2.0,22.0,,8.0,1.0,7.0,1.0,8.0,1.0,,17.0,1.0,6.0,14.0,2.0,16.0,3.0,,4.0,2.0,3.0,2.0,,7.0,,2.0,7.0,9.0,2.0,9.0,1.0,1.0,,1.0,,16.0,75,0.08333333333333333,0.08333333333333333,0.5,,0.75,0.4411764705882353,0.5,0.5,0.4868421052631579,0.5,0.6153846153846154,0.29411764705882354,0.041666666666666664,,0.16666666666666666,18.59504132231405,0.5714285714285714,0.08695652173913043,0.011627906976744186,0.11363636363636363,0.009174311926605505,0.043478260869565216,,0.08,0.11764705882352941,0.07407407407407407,,0.23529411764705882,0.75,0.75,0.16666666666666666,0.17647058823529413,0.29411764705882354,0.5,0.5,,0.058823529411764705,0.23529411764705882,,,0.2222222222222222,1.0,0.5555555555555556,0.5294117647058824,0.46908088235294126,0.52035,0.4371999999999999,0.029411764705882353,0.041666666666666664,0.08108108108108109,0.43243243243243246,9.791666666666666,25.610000000000003,0.3440366972477064,3.0,,,,2.0,2.0,7.0,,2.0,4.0,3.0,,4.0,0.2,0.2,0.25,0.25,0.25,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,4.0,4.0,1.0,1.0,1.0,0.5,0.2,0.2857142857142857,0.05555555555555555,0.21052631578947367,0.25,0.14285714285714285,0.16666666666666666,0.2,1.0,0.6666666666666666,0.5,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
688,1610612754,Michael Curry,Michael Curry,688,IND,15132.0,252,-72.0,459,471,129,131,51,930,4.0,8.0,2.0,2.0,2.0,3.0,2.0,7.0,19.0,,,,13.0,29,,4.0,30.0,496,4.0,4.0,9.0,4.0,7.0,,8.0,22.0,4.0,,,2.0,14.0,1.0,15.0,1.0,4.0,31.0,6.0,10.0,19.0,8.0,27.0,5.0,3.0,2.0,2.0,3.0,,,5.0,,,13.0,39.0,2.0,8.0,4.0,4.0,1.0,4.0,3.0,8.0,129,0.8461538461538461,0.8461538461538461,0.4482758620689655,1.0,0.5714285714285714,0.4482758620689655,1.0,0.5714285714285714,0.45454545454545453,0.9,0.5714285714285714,,0.06896551724137931,0.25,,7.364341085271318,0.4,0.056179775280898875,0.03614457831325301,0.0761904761904762,0.037209302325581395,0.07142857142857142,0.039473684210526314,0.05263157894736842,0.045454545454545456,0.06493506493506493,0.75,0.27586206896551724,0.5,0.6666666666666666,0.75,0.06896551724137931,0.6551724137931034,0.3684210526315789,0.3684210526315789,1.0,,,0.5,1.0,0.42857142857142855,0.6666666666666666,,0.27586206896551724,0.411048275862069,0.49100000000000005,0.36972857142857146,0.12121212121212122,0.12121212121212122,0.3,0.26666666666666666,13.210344827586209,,0.28104575163398693,6.0,2.0,0.04081632653061224,,,,,,,4.0,2.0,,,,,,,,2.0,,,,,,,,,6.0,3.0,,2.0,,,,0.14285714285714285,,0.1875,0.18181818181818182,0.2,1.0,1.0,,,,,,1.0,1.0,3.0,1.0,5.0,0.05405405405405406,0.5,0.5,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,9571.0,160,-21.0,292,298,56,50,34,590,15.0,22.0,3.0,5.0,6.0,6.0,3.0,1.0,9.0,1.0,2.0,1.0,18.0,34,3.0,9.0,45.0,304,4.0,6.0,9.0,6.0,8.0,1.0,13.0,30.0,6.0,6.0,1.0,1.0,1.0,,1.0,,,2.0,12.0,28.0,36.0,18.0,54.0,7.0,3.0,4.0,4.0,6.0,,,10.0,2.0,1.0,10.0,21.0,3.0,15.0,8.0,,,,,13.0,56,0.8333333333333334,1.0,0.5294117647058824,0.6666666666666666,0.75,0.4864864864864865,0.6666666666666666,0.6666666666666666,0.5232558139534884,0.6428571428571429,0.65,0.08108108108108109,0.029411764705882353,0.045454545454545456,,16.060606060606062,0.4,0.25225225225225223,0.11009174311926606,0.2440944881889764,0.12056737588652482,0.07407407407407407,0.10204081632653061,0.2,0.3103448275862069,0.25,,0.5945945945945946,0.6818181818181818,0.7142857142857143,0.8,0.08108108108108109,0.24324324324324326,0.1111111111111111,0.1111111111111111,1.0,0.02702702702702703,0.05405405405405406,0.8333333333333334,0.6,0.6666666666666666,1.0,0.1111111111111111,0.6756756756756757,0.5070333333333333,0.51414,0.57585,0.19047619047619047,0.20512820512820512,0.2,0.28888888888888886,5.652941176470588,41.699999999999996,0.1917808219178082,1.0,5.0,0.15625,0.3333333333333333,,,1.0,,,,4.0,,1.0,,,,,,2.0,,,,,,,,1.0,3.0,5.0,3.0,,,,,0.35714285714285715,0.06666666666666667,0.1875,0.18181818181818182,0.2,0.6666666666666666,0.6666666666666666,,,,,,1.0,1.0,4.0,,2.0,0.08695652173913043,1.0,,1.0,1.0,1.0,0.15151515151515152,0.0625,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,8879.0,148,-7.0,271,279,55,46,30,550,1.0,2.0,,1.0,,,3.0,3.0,13.0,4.0,11.0,1.0,5.0,18,15.0,11.0,36.0,289,,1.0,,1.0,2.0,1.0,7.0,4.0,6.0,,11.0,1.0,4.0,,4.0,,1.0,8.0,1.0,6.0,7.0,2.0,9.0,3.0,2.0,3.0,2.0,1.0,1.0,,4.0,,,2.0,6.0,1.0,11.0,3.0,1.0,,1.0,1.0,7.0,55,0.4,0.4,0.2777777777777778,,0.5,0.3787878787878788,,0.3333333333333333,0.4605263157894737,,0.6,0.45454545454545453,0.05555555555555555,,0.3333333333333333,13.636363636363637,0.75,0.05128205128205128,0.010416666666666666,0.0425531914893617,0.015873015873015872,0.043478260869565216,,0.03225806451612903,0.03125,0.07407407407407407,1.0,0.06060606060606061,0.5,0.5,,0.09090909090909091,0.3939393939393939,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.12121212121212122,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.5151515151515151,0.4843484848484848,0.5596,0.4449666666666667,0.08333333333333333,0.14285714285714285,,0.19444444444444445,15.011111111111111,24.966666666666672,0.2029520295202952,,1.0,0.03333333333333333,,4.0,5.0,5.0,,4.0,3.0,1.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,,1.0,,,2.0,,15.0,,,1.0,,,1.0,,,0.1,,,,,0.3333333333333333,0.5,1.0,0.3333333333333333,,,,,,,1.0,,0.043478260869565216,,,,,,,,1.0,1.0,0.25,0.25,1.0,0.3333333333333333,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2109,1610612754,Eddie Gill,Eddie Gill,2109,IND,1194.0,20,-5.0,38,40,28,29,3,78,,,,,,,,1.0,1.0,,2.0,2.0,1.0,1,2.0,,2.0,40,,,,1.0,1.0,2.0,2.0,,2.0,,2.0,,4.0,,4.0,,,8.0,1.0,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,2.0,,1.0,,3.0,,,,,,,,2.0,28,,,1.0,,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,,,12.195121951219512,1.0,,0.16666666666666666,,0.1111111111111111,,0.16666666666666666,,,,,,,,,,0.3333333333333333,1.0,1.0,,,0.6666666666666666,,,,,0.6666666666666666,0.6666666666666666,0.35875,,0.35875,,,,1.0,18.1,32.0,0.7368421052631579,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,8974.0,150,2.0,282,285,64,62,28,567,12.0,21.0,,1.0,3.0,4.0,20.0,6.0,15.0,2.0,21.0,9.0,24.0,56,23.0,26.0,86.0,277,,2.0,,6.0,8.0,9.0,33.0,6.0,42.0,,21.0,3.0,22.0,4.0,26.0,3.0,4.0,56.0,2.0,10.0,17.0,2.0,19.0,7.0,3.0,9.0,7.0,9.0,2.0,,18.0,,4.0,5.0,10.0,3.0,32.0,11.0,1.0,,1.0,1.0,33.0,64,0.125,0.125,0.42857142857142855,,0.75,0.379746835443038,,0.5294117647058824,0.46236559139784944,,0.66,0.2911392405063291,0.05357142857142857,0.047619047619047616,0.1,35.35031847133758,0.5,0.08620689655172414,0.02197802197802198,0.1,0.015748031496062992,0.045454545454545456,,0.03225806451612903,0.03125,0.1509433962264151,1.0,0.26582278481012656,0.5714285714285714,0.6,,0.25316455696202533,0.189873417721519,0.4,0.4,0.5,0.02531645569620253,0.26582278481012656,0.25,,0.23529411764705882,0.75,0.5294117647058824,0.5569620253164557,0.4973993670886075,0.5188666666666667,0.5268970588235294,0.12790697674418605,0.1746031746031746,,0.38372093023255816,8.448214285714286,24.939130434782605,0.22695035460992907,9.0,,,,4.0,4.0,15.0,9.0,4.0,9.0,4.0,,7.0,0.17391304347826086,0.17391304347826086,0.19047619047619047,0.19047619047619047,0.19047619047619047,6.0,,1.0,2.0,,2.0,2.0,3.0,,4.0,3.0,4.0,1.0,0.25,,0.2222222222222222,0.23076923076923078,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3,0.3333333333333333,0.25,0.25,,,0.2222222222222222,,2.0,1.0,,,,,,,1.0,2.0,0.03333333333333333,0.020833333333333332,,1.0,,,,0.25,1.0,2.0,,,,True,,,,,,,,,,,,,,,,,,,,,,
2758,1610612754,David Harrison,David Harrison,2758,IND,2990.0,50,-14.0,89,92,41,32,9,181,4.0,9.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,,,,8.0,14,,2.0,18.0,94,3.0,6.0,6.0,6.0,7.0,,14.0,12.0,4.0,2.0,,,1.0,1.0,2.0,1.0,,5.0,3.0,7.0,7.0,5.0,12.0,,,1.0,,1.0,1.0,,2.0,,1.0,4.0,6.0,1.0,4.0,,2.0,1.0,2.0,2.0,14.0,41,0.75,0.8571428571428571,0.5714285714285714,0.5,0.8571428571428571,0.5714285714285714,0.5,0.8571428571428571,0.5625,0.5,0.7777777777777778,,,,,18.0,0.5,0.1590909090909091,0.08571428571428572,0.12962962962962962,0.1111111111111111,,0.05555555555555555,0.21428571428571427,0.15384615384615385,0.11764705882352941,1.0,0.6428571428571429,0.4444444444444444,0.4444444444444444,0.75,0.21428571428571427,0.14285714285714285,1.0,1.0,1.0,,,0.6666666666666666,0.25,0.5714285714285714,0.75,,0.6428571428571429,0.5192142857142857,0.44489999999999996,0.5008714285714286,,,0.3333333333333333,0.7777777777777778,4.471428571428571,,0.4606741573033708,1.0,2.0,0.2,,,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,1.0,1.0,0.2857142857142857,0.5,,,,,0.25,,,,,,,,,,2.0,,,True,,,,,,,,,,,,,,,,,,,,,,
