EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,FTOffRebounds,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,OffFTReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedCorner3,on,Corner3PctBlocked
1088,1610612747,Chucky Atkins,Chucky Atkins,1088,LAL,123371.0,2056,-64,3956,3956,1229,1267,516,7912,57.0,99.0,2.0,4.0,20.0,36.0,15.0,42.0,53.0,139,29.0,83.0,5.0,15.0,10.0,27.0,105.0,252.0,12.0,31.0,25.0,74.0,125.0,280,134.0,335.0,97.0,749.0,4430,10.0,22.0,17.0,46.0,5.0,76.0,35.0,87.0,35.0,101.0,69.0,244.0,96.0,154.0,378.0,24.0,2.0,7.0,245.0,105.0,16.0,2.0,171.0,57.0,228.0,44.0,13.0,106.0,25.0,40.0,513.0,13.0,15.0,34.0,75.0,3.0,112.0,28.0,140,11.0,54.0,34.0,20.0,53.0,12.0,44.0,35.0,2.0,9.0,1.0,1.0,88.0,8.0,31.0,38.0,146.0,2.0,16.0,120.0,6.0,1.0,27.0,35.0,2.0,244.0,1229,26.0,0.384,0.3870967741935484,0.9402985074626866,0.4,0.3695652173913043,0.3465346534653465,0.40853658536585363,0.44642857142857145,0.45454545454545453,0.40229885057471265,0.5300813008130081,0.5220588235294118,0.4654255319148936,0.5581222056631893,0.5352112676056338,0.5327510917030568,0.5447154471544715,0.005970149253731343,0.05714285714285714,0.12121212121212122,0.047619047619047616,0.014388489208633094,0.007936507936507936,16.615586690017512,0.6022727272727273,0.024,0.0513347022587269,0.011389521640091117,0.07039337474120083,0.02304964539007092,0.05606995884773663,0.014885699096225412,0.00823045267489712,0.0060790273556231,0.017928286852589643,0.022058823529411766,0.02564102564102564,0.041758241758241756,0.03787878787878788,0.06721311475409836,0.08163265306122448,0.04285714285714286,0.034055727554179564,0.16097560975609757,0.5757575757575758,0.6551724137931034,0.2807017543859649,0.06829268292682927,0.35714285714285715,0.375,0.4666666666666667,0.22601626016260162,0.381294964028777,0.38686131386861317,0.4716981132075472,0.13495934959349593,0.3493975903614458,0.3493975903614458,1.0,0.4097560975609756,0.4166666666666667,0.42,0.9238095238095239,0.058823529411764705,0.5,0.22058823529411764,0.3333333333333333,1.0,0.45588235294117646,0.3870967741935484,0.9166666666666666,0.19148936170212766,0.5555555555555556,0.14361702127659576,0.37037037037037035,0.39361702127659576,0.33783783783783783,0.7056910569105691,0.42857142857142855,0.5104354440789475,0.5146391304347826,0.4961914364640885,0.04245283018867924,0.08970099667774087,0.10146862483311081,0.3257676902536716,10.715714285714284,25.518805970149256,0.31066734074823055,,,,,,,,,,,,,,,,,,,,,True,
124,1610612747,Vlade Divac,Vlade Divac,124,LAL,5656.0,94,-30,181,173,78,51,32,354,9.0,15.0,4.0,6.0,4.0,7.0,,1.0,,4,,,,,,,,,,,,,9.0,20,,,6.0,24.0,206,4.0,6.0,,,3.0,11.0,4.0,9.0,,,3.0,11.0,12.0,6.0,,,4.0,,,,2.0,,10.0,3.0,13.0,3.0,,6.0,1.0,3.0,29.0,2.0,8.0,4.0,5.0,1.0,10.0,10.0,20,2.0,3.0,1.0,2.0,4.0,2.0,3.0,4.0,,1.0,,,8.0,2.0,3.0,4.0,17.0,3.0,1.0,10.0,4.0,,6.0,1.0,,11.0,78,2.0,0.6666666666666666,0.8571428571428571,,,,,,0.45,0.6666666666666666,0.4444444444444444,0.45,0.6666666666666666,0.4444444444444444,0.5217391304347826,0.7857142857142857,0.5,,,0.1,0.06666666666666667,,0.25,,14.351851851851851,0.5,0.25,0.09090909090909091,0.12121212121212122,0.2,0.05714285714285714,0.12,0.09900990099009901,0.1875,0.06666666666666667,0.05263157894736842,0.09090909090909091,,0.125,0.09090909090909091,0.07142857142857142,0.15384615384615385,0.2857142857142857,0.2222222222222222,0.75,0.6,0.6428571428571429,0.6666666666666666,0.05,,,,0.2,,,,,,,,,,,,1.0,0.6666666666666666,,,,,,,0.7777777777777778,0.5714285714285714,,,,,0.75,,0.538865,0.5999,0.5618000000000001,0.2727272727272727,0.2727272727272727,0.4583333333333333,0.4583333333333333,4.285,,0.430939226519337,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,True,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,95949.0,1599,-16,3052,3046,856,861,384,6098,142.0,234.0,23.0,37.0,29.0,45.0,42.0,101.0,23.0,52,4.0,14.0,1.0,3.0,2.0,4.0,23.0,64.0,,3.0,9.0,21.0,207.0,387,27.0,78.0,126.0,621.0,3315,31.0,55.0,1.0,6.0,17.0,82.0,49.0,86.0,11.0,25.0,54.0,185.0,198.0,216.0,75.0,6.0,34.0,2.0,62.0,23.0,37.0,,91.0,44.0,135.0,34.0,10.0,54.0,11.0,26.0,314.0,27.0,68.0,77.0,251.0,40.0,368.0,99.0,467,19.0,28.0,19.0,9.0,46.0,14.0,30.0,57.0,5.0,16.0,5.0,5.0,103.0,11.0,30.0,76.0,154.0,12.0,20.0,185.0,23.0,,90.0,14.0,5.0,185.0,856,17.0,0.4782608695652174,0.5210526315789473,0.9259259259259259,0.34615384615384615,0.16666666666666666,0.44,0.35526315789473684,0.5348837209302325,0.5636363636363636,0.5697674418604651,0.532258064516129,0.5327868852459017,0.5900900900900901,0.5686813186813187,0.5466666666666666,0.6335616438356164,0.16774193548387098,,0.09560723514211886,0.11538461538461539,0.09900990099009901,,,18.542857142857144,0.44660194174757284,0.4444444444444444,0.20812603648424544,0.06813627254509018,0.22063037249283668,0.06398104265402843,0.21093247588424438,0.06690140845070422,0.06914893617021277,0.08914728682170543,0.0521978021978022,0.058823529411764705,0.07518796992481203,0.21351351351351353,0.22392638036809817,0.19411764705882353,0.2509505703422053,0.12790697674418605,0.1,0.5032258064516129,0.6068376068376068,0.6859903381642513,0.47183098591549294,0.2172043010752688,0.4158415841584158,0.46153846153846156,0.30952380952380953,0.11182795698924732,0.4423076923076923,0.4423076923076923,0.8260869565217391,0.030107526881720432,0.2857142857142857,0.2857142857142857,0.75,0.13763440860215054,0.359375,0.359375,0.9565217391304348,0.6065573770491803,0.6216216216216216,0.04918032786885246,0.3333333333333333,,0.04918032786885246,,,0.40540540540540543,0.6444444444444445,0.036036036036036036,0.5,0.1891891891891892,0.42857142857142855,0.6709677419354839,0.3709677419354839,0.5153614470842333,0.5077343137254902,0.5009722727272727,0.16917293233082706,0.19823788546255505,0.1320450885668277,0.29790660225442833,4.574935400516796,26.02948717948718,0.2804718217562254,38.0,28.0,38.0,18.0,0.47368421052631576,0.17391304347826086,4.0,1.0,9.0,5.0,1.0,3.0,0.03669724770642202,,,,,,,,True,
2406,1610612747,Caron Butler,Caron Butler,2406,LAL,110817.0,1847,-129,3554,3554,1097,1064,455,7108,162.0,276.0,34.0,71.0,45.0,86.0,28.0,76.0,75.0,206,20.0,53.0,4.0,5.0,9.0,25.0,12.0,38.0,,3.0,5.0,16.0,265.0,558,32.0,91.0,167.0,793.0,4017,38.0,92.0,4.0,8.0,14.0,102.0,73.0,157.0,14.0,41.0,75.0,263.0,338.0,192.0,93.0,3.0,44.0,5.0,33.0,12.0,50.0,,52.0,33.0,85.0,24.0,9.0,28.0,11.0,13.0,203.0,24.0,70.0,53.0,133.0,22.0,208.0,95.0,303,17.0,64.0,42.0,22.0,32.0,9.0,22.0,38.0,2.0,10.0,,4.0,70.0,10.0,17.0,51.0,153.0,15.0,22.0,196.0,23.0,1.0,93.0,16.0,,263.0,1097,34.0,0.6377358490566037,0.6954732510288066,0.96875,0.3516483516483517,0.5,0.34146341463414637,0.37209302325581395,0.47491039426523296,0.41304347826086957,0.46496815286624205,0.48228043143297383,0.44,0.47474747474747475,0.5394557823129251,0.4857142857142857,0.5572033898305084,0.14021571648690292,,0.08960573476702509,0.13043478260869565,0.13157894736842105,0.019417475728155338,,19.643728648121037,0.45714285714285713,0.2037037037037037,0.1024653312788906,0.05852842809364549,0.12832929782082325,0.05052631578947368,0.108708357685564,0.056253740275284264,0.060133630289532294,0.048109965635738834,0.06359649122807018,0.05865102639296188,0.029850746268656716,0.07960199004975124,0.07917888563049853,0.13333333333333333,0.11904761904761904,0.15126050420168066,0.0576271186440678,0.4252696456086287,0.5869565217391305,0.675,0.6666666666666666,0.11710323574730354,0.3684210526315789,0.42424242424242425,0.5,0.31741140215716485,0.3640776699029126,0.3712871287128713,0.6266666666666667,0.08166409861325115,0.37735849056603776,0.37735849056603776,1.0,0.05855161787365177,0.3157894736842105,0.3157894736842105,0.9166666666666666,0.71,0.4788732394366197,0.05,0.8,1.0,0.03,,,0.43434343434343436,0.5232558139534884,0.12626262626262627,0.36,0.08080808080808081,0.3125,0.5654853620955316,0.36363636363636365,0.5115500777604975,0.5366358108108109,0.5065630208333334,0.12934631432545202,0.1480891719745223,0.12862547288776796,0.3316519546027743,8.263978494623657,26.058241758241756,0.30866629150253233,18.0,10.0,18.0,9.0,0.5,0.29411764705882354,1.0,1.0,7.0,1.0,,,0.008403361344537815,,,,,,,,True,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,161377.0,2690,-114,5129,5115,1573,1586,675,10244,224.0,371.0,32.0,49.0,68.0,113.0,88.0,226.0,130.0,340,16.0,53.0,1.0,10.0,6.0,20.0,115.0,334.0,8.0,25.0,40.0,135.0,442.0,937,131.0,387.0,542.0,1819.0,5705,43.0,84.0,9.0,35.0,65.0,178.0,129.0,273.0,46.0,155.0,242.0,638.0,218.0,666.0,261.0,132.0,34.0,7.0,327.0,115.0,65.0,1.0,244.0,154.0,398.0,103.0,51.0,143.0,30.0,71.0,950.0,27.0,65.0,69.0,224.0,4.0,297.0,95.0,392,23.0,86.0,54.0,32.0,171.0,33.0,111.0,99.0,10.0,60.0,2.0,12.0,270.0,17.0,70.0,55.0,174.0,6.0,31.0,664.0,54.0,31.0,249.0,88.0,4.0,638.0,1573,23.0,0.24660633484162897,0.2564705882352941,0.6641221374045801,0.3385012919896641,0.2571428571428571,0.2967741935483871,0.3447368421052632,0.47171824973319104,0.5119047619047619,0.4725274725274725,0.48225075528700906,0.47478991596638653,0.46261682242990654,0.5567970204841713,0.567741935483871,0.5562390158172232,0.29229607250755285,0.002583979328165375,0.06937033084311633,0.10512129380053908,0.084070796460177,0.020588235294117647,0.0029940119760479044,31.59220691971784,0.6333333333333333,0.025157232704402517,0.11845584346906399,0.03812316715542522,0.11311475409836065,0.03515625,0.1171531387445022,0.0372017792155277,0.04791344667697063,0.03800475059382423,0.0282574568288854,0.019963702359346643,0.07373271889400922,0.08275862068965517,0.12475247524752475,0.1401985111662531,0.11389521640091116,0.1111111111111111,0.03474320241691843,0.2802114803625378,0.6037735849056604,0.6746987951807228,0.2767857142857143,0.17069486404833836,0.3893805309734513,0.4251207729468599,0.19318181818181818,0.256797583081571,0.38235294117647056,0.39039039039039036,0.23076923076923078,0.04003021148036254,0.3018867924528302,0.3018867924528302,0.8125,0.25226586102719034,0.344311377245509,0.34534534534534533,0.6434782608695652,0.4117647058823529,0.6530612244897959,0.08403361344537816,0.1,1.0,0.21008403361344538,0.32,0.75,0.26401869158878505,0.6017699115044248,0.04672897196261682,0.3,0.31542056074766356,0.2962962962962963,0.5725075528700906,0.3516819571865443,0.4743928191489361,0.47031781609195406,0.46808983451536634,0.16677609980302036,0.21996466431095407,0.09785596481583288,0.3507421660252886,8.888580576307366,26.12868217054263,0.30668746344316633,52.0,27.0,53.0,27.0,0.5094339622641509,0.0625,3.0,9.0,16.0,6.0,,1.0,0.01675977653631285,1.0,5.0,1.0,1.0,0.01278772378516624,,,True,
1904,1610612747,Devean George,Devean George,1904,LAL,10873.0,181,-49,362,355,171,104,46,717,3.0,9.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,15,5.0,15.0,,1.0,4.0,9.0,5.0,16.0,1.0,2.0,4.0,8.0,10.0,29,10.0,31.0,9.0,59.0,415,1.0,7.0,1.0,3.0,,5.0,3.0,10.0,8.0,17.0,5.0,35.0,12.0,8.0,24.0,6.0,2.0,,16.0,5.0,1.0,,7.0,3.0,10.0,3.0,,6.0,1.0,,23.0,7.0,4.0,2.0,13.0,3.0,18.0,12.0,30,,5.0,3.0,2.0,4.0,,2.0,3.0,,2.0,,,7.0,1.0,1.0,10.0,19.0,,2.0,11.0,,,2.0,2.0,1.0,35.0,171,2.0,0.6,0.6666666666666666,0.8,0.3225806451612903,0.3333333333333333,0.47058823529411764,0.3225806451612903,0.3448275862068966,0.14285714285714285,0.3,0.4166666666666667,0.25,0.5555555555555556,0.45384615384615384,0.25,0.5833333333333334,0.5166666666666667,,0.034482758620689655,0.1111111111111111,,,,17.224880382775122,0.5714285714285714,0.25,0.13131313131313133,0.03636363636363636,0.05,0.08860759493670886,0.1079136690647482,0.0582010582010582,0.024390243902439025,0.05,0.04081632653061224,0.08620689655172414,0.09523809523809523,0.06451612903225806,0.18181818181818182,0.15217391304347827,0.09523809523809523,,,0.15,0.3333333333333333,0.375,0.6666666666666666,0.08333333333333333,0.4,0.4,0.5,0.25,0.3333333333333333,0.3333333333333333,0.6,0.25,0.3333333333333333,0.3333333333333333,1.0,0.26666666666666666,0.3125,0.3125,0.6,0.4,0.25,0.1,,,0.2,0.5,1.0,0.14814814814814814,0.25,0.3333333333333333,0.4444444444444444,0.2962962962962963,0.5,0.6666666666666666,0.3125,0.49069416666666676,0.4935125,0.5019351851851851,0.047619047619047616,0.06451612903225806,0.0847457627118644,0.5932203389830508,11.810344827586208,24.551612903225806,0.4723756906077348,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,0.1111111111111111,,1.0,,,0.03125,,,True,
1908,1610612747,Jumaine Jones,Jumaine Jones,1908,LAL,59918.0,999,51,1866,1872,602,676,255,3738,39.0,74.0,12.0,31.0,13.0,27.0,8.0,19.0,8.0,26,22.0,69.0,4.0,5.0,6.0,20.0,29.0,79.0,3.0,7.0,5.0,15.0,55.0,119,51.0,148.0,29.0,292.0,2087,15.0,35.0,7.0,12.0,4.0,55.0,17.0,38.0,11.0,35.0,13.0,80.0,68.0,42.0,153.0,,24.0,1.0,78.0,29.0,8.0,2.0,26.0,15.0,41.0,11.0,4.0,12.0,4.0,10.0,97.0,19.0,38.0,44.0,100.0,21.0,165.0,59.0,224,7.0,28.0,18.0,10.0,15.0,2.0,12.0,9.0,,3.0,1.0,1.0,24.0,1.0,9.0,42.0,97.0,12.0,2.0,41.0,1.0,,15.0,6.0,1.0,80.0,602,17.0,0.6181818181818182,0.7906976744186046,1.0,0.34459459459459457,0.5833333333333334,0.3142857142857143,0.3469387755102041,0.46218487394957986,0.42857142857142855,0.4473684210526316,0.49250936329588013,0.5425531914893617,0.4589041095890411,0.5087108013937283,0.55,0.49382716049382713,0.5543071161048689,0.013513513513513514,0.06722689075630252,0.0945945945945946,0.05263157894736842,,0.02531645569620253,14.162112932604735,0.625,0.3333333333333333,0.14947683109118087,0.06701940035273368,0.1888412017167382,0.05740181268882175,0.15964523281596452,0.06347438752783964,0.08733624454148471,0.07042253521126761,0.04081632653061224,0.05907172995780591,0.05319148936170213,0.15270935960591134,0.14673913043478262,0.14893617021276595,0.14792899408284024,0.296875,0.04666666666666667,0.27715355805243447,0.527027027027027,0.582089552238806,0.5384615384615384,0.07116104868913857,0.42105263157894735,0.4444444444444444,0.625,0.09737827715355805,0.3076923076923077,0.3076923076923077,1.0,0.25842696629213485,0.3188405797101449,0.3188405797101449,1.0,0.2958801498127341,0.3670886075949367,0.37662337662337664,1.0,0.6595744680851063,0.3870967741935484,0.10638297872340426,0.8,1.0,0.14893617021276595,0.42857142857142855,1.0,0.3698630136986301,0.48148148148148145,0.273972602739726,0.3,0.2054794520547945,0.3333333333333333,0.8314606741573034,0.3717948717948718,0.533090037593985,0.5280951612903226,0.534388888888889,0.05338078291814947,0.11278195488721804,0.18835616438356165,0.273972602739726,5.757142857142857,24.746621621621625,0.32261521972132906,13.0,10.0,13.0,6.0,0.46153846153846156,0.08333333333333333,2.0,1.0,2.0,,,,0.025974025974025976,,,,,,1.0,,True,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,16452.0,274,-80,522,522,171,163,79,1044,9.0,24.0,1.0,5.0,2.0,6.0,2.0,8.0,1.0,3,2.0,7.0,,2.0,2.0,2.0,3.0,14.0,1.0,2.0,2.0,4.0,12.0,35,5.0,21.0,11.0,50.0,603,2.0,9.0,1.0,4.0,1.0,8.0,2.0,6.0,4.0,6.0,4.0,20.0,18.0,6.0,15.0,,2.0,,14.0,3.0,5.0,,29.0,7.0,36.0,4.0,3.0,17.0,6.0,6.0,79.0,5.0,15.0,7.0,23.0,3.0,33.0,20.0,53,2.0,11.0,5.0,6.0,9.0,3.0,7.0,6.0,,2.0,,,15.0,3.0,3.0,13.0,31.0,4.0,2.0,20.0,,,7.0,3.0,,20.0,171,6.0,0.75,0.8181818181818182,1.0,0.23809523809523808,0.25,0.6666666666666666,0.23809523809523808,0.34285714285714286,0.2222222222222222,0.3333333333333333,0.3482142857142857,0.2692307692307692,0.6666666666666666,0.3787878787878788,0.2857142857142857,0.625,0.375,,0.14285714285714285,0.16666666666666666,0.125,,,12.98076923076923,0.6,0.14285714285714285,0.1419753086419753,0.07692307692307693,0.10144927536231885,0.05813953488372093,0.12987012987012986,0.0711743772241993,0.0379746835443038,0.10638297872340426,0.10144927536231885,0.057971014492753624,0.058823529411764705,0.20408163265306123,0.0784313725490196,0.14516129032258066,0.1320754716981132,,0.058823529411764705,0.42857142857142855,0.375,0.45,0.8888888888888888,0.14285714285714285,0.25,0.2857142857142857,,0.05357142857142857,0.3333333333333333,0.3333333333333333,1.0,0.125,0.2857142857142857,0.2857142857142857,1.0,0.25,0.21428571428571427,0.21428571428571427,1.0,0.38461538461538464,0.2,0.15384615384615385,,,0.15384615384615385,0.5,1.0,0.5,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.5,0.8035714285714286,0.21428571428571427,0.539019642857143,0.5103041666666667,0.5544375,0.1111111111111111,0.16666666666666666,0.16,0.4,3.6685714285714286,24.56190476190476,0.3275862068965517,5.0,2.0,6.0,3.0,0.5,,,1.0,2.0,,,1.0,,,,1.0,,,,1.0,True,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,13969.0,233,-36,443,434,131,195,68,877,12.0,19.0,1.0,5.0,2.0,6.0,5.0,16.0,11.0,41,,,,,,,,,,,,,28.0,76,,,7.0,63.0,501,4.0,13.0,,,2.0,10.0,6.0,20.0,,,4.0,16.0,38.0,18.0,,,4.0,,,,3.0,,4.0,4.0,8.0,4.0,,1.0,2.0,1.0,20.0,2.0,13.0,7.0,21.0,2.0,30.0,17.0,47,2.0,6.0,4.0,2.0,5.0,1.0,4.0,3.0,,1.0,,2.0,8.0,3.0,3.0,10.0,32.0,2.0,,9.0,1.0,,5.0,,1.0,16.0,131,5.0,0.6785714285714286,0.7307692307692307,,,,,,0.3684210526315789,0.3076923076923077,0.3,0.3684210526315789,0.3076923076923077,0.3,0.39375,0.35714285714285715,0.36363636363636365,,,0.039473684210526314,0.05263157894736842,0.0625,0.024390243902439025,,16.698292220113853,0.625,0.14285714285714285,0.12574850299401197,0.0755813953488372,0.14285714285714285,0.029411764705882353,0.12962962962962962,0.0625,0.09615384615384616,0.09302325581395349,0.05194805194805195,0.0392156862745098,,0.0967741935483871,0.04878048780487805,0.203125,0.0967741935483871,0.2222222222222222,0.044444444444444446,0.25,0.631578947368421,0.6666666666666666,0.6666666666666666,0.21052631578947367,0.3125,0.3333333333333333,0.4,0.5394736842105263,0.2682926829268293,0.275,0.8181818181818182,,,,,,,,,0.38461538461538464,0.2,,,,,,,0.3,0.3333333333333333,,,,,0.25,,0.4407618421052632,0.4721666666666667,0.45203999999999994,0.0625,0.0625,0.15873015873015872,0.25396825396825395,11.647368421052633,,0.29571106094808125,1.0,1.0,1.0,,,,2.0,,,1.0,,,0.16666666666666666,,,,,,,,True,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,37835.0,631,61,1192,1178,426,419,152,2370,22.0,47.0,11.0,27.0,7.0,18.0,3.0,13.0,26.0,63,9.0,24.0,,2.0,4.0,9.0,34.0,87.0,3.0,5.0,8.0,21.0,51.0,123,43.0,111.0,21.0,252.0,1267,13.0,35.0,3.0,7.0,8.0,43.0,13.0,35.0,12.0,30.0,16.0,78.0,76.0,26.0,126.0,3.0,18.0,,87.0,34.0,6.0,,14.0,7.0,21.0,6.0,1.0,8.0,2.0,4.0,49.0,12.0,24.0,16.0,54.0,9.0,79.0,42.0,121,6.0,14.0,10.0,4.0,8.0,3.0,5.0,8.0,,3.0,1.0,2.0,16.0,,4.0,47.0,85.0,8.0,2.0,26.0,2.0,,8.0,6.0,2.0,78.0,426,13.0,0.7450980392156863,0.9047619047619048,0.9767441860465116,0.38738738738738737,0.42857142857142855,0.4,0.38738738738738737,0.4146341463414634,0.37142857142857144,0.37142857142857144,0.4935897435897436,0.4166666666666667,0.47692307692307695,0.5121951219512195,0.4777777777777778,0.527027027027027,0.47435897435897434,,0.04878048780487805,0.0851063829787234,0.07692307692307693,0.015873015873015872,,18.741058655221746,0.5,0.23684210526315788,0.12162162162162163,0.064343163538874,0.11347517730496454,0.05286343612334802,0.11965811965811966,0.06,0.10884353741496598,0.06172839506172839,0.020689655172413793,0.042682926829268296,0.07936507936507936,0.1487603305785124,0.09345794392523364,0.12037037037037036,0.10185185185185185,0.15151515151515152,0.045112781954887216,0.20085470085470086,0.46808510638297873,0.5116279069767442,0.45454545454545453,0.05555555555555555,0.23076923076923078,0.25,0.6666666666666666,0.2692307692307692,0.4126984126984127,0.41935483870967744,1.0,0.10256410256410256,0.375,0.375,1.0,0.3717948717948718,0.39080459770114945,0.39080459770114945,0.9705882352941176,0.6428571428571429,0.4074074074074074,0.047619047619047616,,,0.11904761904761904,0.6,1.0,0.27692307692307694,0.3888888888888889,0.13846153846153847,0.4444444444444444,0.3230769230769231,0.38095238095238093,0.6752136752136753,0.39080459770114945,0.495201923076923,0.51266875,0.4954876923076924,0.03333333333333333,0.06201550387596899,0.17063492063492064,0.30952380952380953,10.902439024390242,25.075675675675686,0.3573825503355705,15.0,11.0,15.0,8.0,0.5333333333333333,0.18181818181818182,6.0,1.0,3.0,1.0,,,0.15789473684210525,,,,,,,,True,
