EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChancePointsPct,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,LostBallSteals,PenaltyFg3Pct,DefCorner3ReboundPct,AtRimPctAssisted,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,SecondChanceAtRimFGM,PtsPutbacks,LostBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,FTOffRebounds,SecondChanceTurnovers,OffFTReboundPct,SecondChanceAtRimPctAssisted,on,DefensiveGoaltends,PenaltyCorner3FGM,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,BlockedCorner3,OffensiveGoaltends,FoulsDrawn,Offensive Fouls Drawn
147,1610612761,Jalen Rose,Jalen Rose,147,TOR,2423.0,40,-23,79,80,27.0,38.0,15.0,159,2.0,2.0,2.0,2.0,2.0,5.0,3.0,7.0,1.0,1.0,3.0,1.0,2.0,7.0,14.0,1.0,4.0,8.0,25.0,96,1.0,1.0,2.0,6.0,2.0,5.0,9.0,6.0,8.0,3.0,1.0,2.0,1.0,5.0,1.0,6.0,1.0,3.0,1.0,1.0,13.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,8.0,2.0,1.0,2.0,9.0,27.0,2.0,0.4285714285714285,0.4285714285714285,1.0,0.25,0.3333333333333333,0.5,0.3333333333333333,0.4722222222222222,0.25,0.5476190476190477,0.4,0.2222222222222222,25.0,0.3333333333333333,0.2,0.125,0.1111111111111111,0.1212121212121212,0.1,0.3333333333333333,0.1428571428571428,0.1111111111111111,1.0,1.0,0.2777777777777778,0.4,0.4,0.5,0.3888888888888889,0.4285714285714285,0.4285714285714285,0.6666666666666666,0.0555555555555555,0.1666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,0.25,1.0,0.25,0.3333333333333333,0.5,0.4460735294117647,0.56685,0.4666214285714286,0.0526315789473684,0.0666666666666666,0.36,12.521428571428572,31.65,0.3417721518987341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1713,1610612761,Vince Carter,Vince Carter,1713,TOR,1940.0,32,-12,64,65,30.0,37.0,15.0,129,1.0,5.0,1.0,2.0,1.0,8.0,4.0,6.0,2.0,,2.0,,1.0,6.0,19.0,1.0,4.0,2.0,17.0,74,4.0,1.0,3.0,9.0,1.0,2.0,8.0,2.0,10.0,3.0,,2.0,,,1.0,1.0,,,,,3.0,2.0,1.0,,3.0,7.0,,,,1.0,1.0,3.0,6.0,1.0,4.0,,,2.0,8.0,30.0,1.0,0.1666666666666666,0.1666666666666666,1.0,0.25,0.25,0.3157894736842105,0.3333333333333333,0.3260869565217391,0.3,0.34,0.3333333333333333,0.1739130434782608,31.32530120481928,,,0.0454545454545454,0.4,0.1111111111111111,,,1.0,0.217391304347826,0.2,0.25,0.3478260869565217,0.125,0.1428571428571428,,0.2608695652173913,0.6666666666666666,0.6666666666666666,0.25,0.0869565217391304,0.0869565217391304,,,,,0.2,0.5,0.1,0.391304347826087,,0.4436978260869565,0.3080333333333333,0.42179,,,0.4705882352941176,9.957894736842109,24.55,0.46875,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5833333333333334,0.1052631578947368,0.2,0.125,0.074074074074074,0.1333333333333333,0.0952380952380952,0.1111111111111111,0.0833333333333333,0.2,0.125,0.0769230769230769,0.5,0.5,1.0,0.2,0.2,1.0,1.0,0.4117647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1747,1610612761,Rafer Alston,Rafer Alston,1747,TOR,2173.0,36,-7,68,71,30.0,36.0,13.0,139,2.0,4.0,2.0,4.0,1.0,2.0,,1.0,,2.0,7.0,2.0,4.0,3.0,7.0,2.0,7.0,,12.0,83,1.0,2.0,2.0,4.0,4.0,,10.0,2.0,4.0,,,7.0,2.0,5.0,1.0,6.0,1.0,,1.0,4.0,13.0,1.0,,,1.0,3.0,,,,,,2.0,4.0,,,,,,10.0,30.0,1.0,0.3333333333333333,0.3333333333333333,,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.5,0.4285714285714285,0.625,0.4285714285714285,0.625,0.5,16.666666666666668,,,,0.1666666666666666,0.0294117647058823,,,,0.2857142857142857,0.5,0.6666666666666666,0.1428571428571428,0.5,0.5,,0.0714285714285714,,,,,0.5,0.2857142857142857,0.2857142857142857,,0.6666666666666666,0.5,0.5,0.5,0.7857142857142857,0.2857142857142857,0.5145321428571429,0.5972,0.5862375,,,0.8333333333333334,5.128571428571428,26.38571428571429,0.4411764705882353,1.0,,,,,1.0,,3.0,1.0,,,2.0,2.0,,2.0,,0.5,,0.5,0.5,0.1428571428571428,0.25,,0.074074074074074,,0.048780487804878,0.2222222222222222,,,,,,,,0.3333333333333333,,,,0.25,1.0,2.0,2.0,6.0,2.0,0.5,0.3333333333333333,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2040,1610612761,Jerome Moiso,Jerome Moiso,2040,TOR,4205.0,70,-12,136,138,49.0,59.0,22.0,274,3.0,5.0,2.0,3.0,,2.0,,1.0,,,1.0,,,3.0,8.0,,1.0,8.0,14.0,153,3.0,,2.0,3.0,,7.0,11.0,4.0,2.0,,,1.0,,,,,,,,,,3.0,13.0,1.0,17.0,23.0,3.0,,1.0,3.0,6.0,3.0,7.0,1.0,9.0,,4.0,1.0,11.0,49.0,1.0,0.6666666666666666,1.0,,,,0.375,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5384615384615384,0.9166666666666666,0.1111111111111111,11.656441717791411,0.5,0.1428571428571428,0.2826086956521739,0.1875,0.2580645161290322,0.25,0.3076923076923077,0.25,0.5555555555555556,0.6,0.75,0.2222222222222222,,,,0.1111111111111111,,,,,0.1111111111111111,,,,,1.0,0.6666666666666666,,0.6666666666666666,,0.5140555555555556,0.6125333333333334,0.5665,0.3333333333333333,0.3636363636363636,0.7857142857142857,4.8125,24.4,0.3602941176470588,2.0,,,,1.0,,,2.0,2.0,,1.0,5.0,6.0,,2.0,2.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.2,0.5,0.0980392156862745,0.0434782608695652,0.081081081081081,0.2666666666666666,,,0.2941176470588235,,,,,0.6666666666666666,,,,0.1428571428571428,,,,,,,,0.6666666666666666,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0526315789473684,0.125,0.3333333333333333,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,2038.0,34,7,64,65,26.0,26.0,7.0,129,6.0,7.0,4.0,5.0,,1.0,1.0,2.0,7.0,1.0,4.0,,2.0,7.0,10.0,3.0,11.0,3.0,26.0,67,,2.0,4.0,6.0,4.0,,11.0,8.0,6.0,6.0,,4.0,1.0,1.0,,1.0,,1.0,,,2.0,,2.0,1.0,3.0,5.0,,,,,,1.0,3.0,,5.0,,2.0,1.0,11.0,26.0,1.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.2727272727272727,0.2727272727272727,0.7,0.6666666666666666,0.5476190476190477,0.55,0.5652173913043478,0.55,0.5238095238095238,31.08108108108108,,0.3333333333333333,0.08,,0.0571428571428571,,0.2222222222222222,,0.3333333333333333,0.8571428571428571,1.0,0.0476190476190476,,,,0.0952380952380952,0.5,0.5,1.0,0.3333333333333333,0.1904761904761904,0.25,0.25,,,0.5,0.8,0.2,0.8571428571428571,0.25,0.5386119047619048,0.569025,0.54277,0.0909090909090909,0.1818181818181818,0.4230769230769231,5.5600000000000005,24.38181818181818,0.40625,,2.0,1.0,2.0,,1.0,,3.0,1.0,,2.0,,2.0,1.0,,,0.5,,0.75,0.75,0.1,0.1428571428571428,,,0.1818181818181818,0.0625,,,0.2,,0.1,0.2857142857142857,0.2857142857142857,1.0,,1.0,0.5,1.0,0.1153846153846153,,1.0,1.0,3.0,,0.25,,0.5,,0.5,,,,,,,1.0,,,,,,,,0.1666666666666666,,,2.0,0.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2547,1610612761,Chris Bosh,Chris Bosh,2547,TOR,1835.0,31,-17,59,60,14.0,23.0,11.0,119,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,4.0,6.0,,,6.0,14.0,73,1.0,,2.0,3.0,,,4.0,8.0,,,,,,,,,,,,,,,2.0,1.0,3.0,7.0,1.0,,,3.0,4.0,,1.0,1.0,7.0,,2.0,2.0,4.0,14.0,,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.6666666666666666,,17.808219178082194,0.25,0.3333333333333333,0.1052631578947368,,0.08,,,,0.3333333333333333,1.0,1.0,0.1666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,,0.3333333333333333,1.0,,0.3333333333333333,,0.5287999999999999,,0.5490333333333334,0.25,0.25,0.2857142857142857,11.316666666666665,,0.2372881355932203,1.0,,,,1.0,,1.0,3.0,,,2.0,1.0,4.0,,1.0,1.0,,1.0,1.0,0.75,,,,0.0434782608695652,0.2,0.0909090909090909,,,0.2857142857142857,0.2222222222222222,,,,,1.0,,,,0.2142857142857142,,,,,,,,1.0,,,1.0,,1.0,2.0,,,,3.0,2.0,1.0,3.0,,,0.1111111111111111,,,1.0,,,1.0,2.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,
2588,1610612761,Matt Bonner,Matt Bonner,2588,TOR,1596.0,27,-5,50,50,12.0,14.0,7.0,100,,1.0,,1.0,2.0,3.0,3.0,6.0,,,,,,5.0,10.0,,,,10.0,53,3.0,,2.0,4.0,,,4.0,6.0,4.0,,,,,,1.0,1.0,1.0,,,,3.0,1.0,2.0,,3.0,6.0,,,,,,5.0,5.0,,,,,,4.0,12.0,,0.6,0.75,,,,0.5,0.5,0.5,0.5,0.5,0.5,,17.24137931034483,,,0.1052631578947368,0.1428571428571428,0.1153846153846153,0.125,0.1666666666666666,0.2,0.1,,,0.3,0.6666666666666666,0.6666666666666666,,0.6,0.5,0.5,1.0,,,,,,,0.25,,,0.1,,0.42149,0.5285,0.450625,,,0.4,13.41,,0.24,1.0,,,,1.0,,,2.0,1.0,,,2.0,3.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,1.0,,0.1,,0.074074074074074,0.1428571428571428,,,,0.25,,,,0.3333333333333333,,,,0.2,,,,,,,,,,,,2.0,,,,,,,,,,,,0.1428571428571428,,,,,,1.0,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,
2737,1610612761,Rafael Araujo,Rafael Araujo,2737,TOR,802.0,13,4,27,29,13.0,11.0,4.0,56,,1.0,,,,2.0,,1.0,,,,,,,4.0,,,2.0,2.0,30,,,,,,2.0,2.0,,,,,,,3.0,,3.0,,2.0,,1.0,6.0,,2.0,,2.0,4.0,1.0,,,,1.0,2.0,4.0,,2.0,,,1.0,2.0,13.0,1.0,,,,,,,,,,0.2,1.0,,19.35483870967742,1.0,,0.2857142857142857,,0.2222222222222222,,,,0.25,,,0.5,,,,0.25,,,,,,,,,,,,,0.25,,0.476775,,,,,1.0,8.275,,0.4814814814814814,,,,,,,,,2.0,,,2.0,2.0,,,,,,,,0.5,1.0,0.5,0.2,,0.1666666666666666,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,
441,1610612761,Lamond Murray,Lamond Murray,441,TOR,1863.0,31,8,60,61,25.0,24.0,7.0,121,1.0,2.0,,1.0,,,1.0,4.0,1.0,1.0,4.0,,2.0,2.0,6.0,1.0,5.0,3.0,10.0,62,1.0,,,2.0,3.0,2.0,5.0,,4.0,3.0,,4.0,1.0,4.0,,4.0,,2.0,,2.0,8.0,,3.0,,3.0,5.0,2.0,,1.0,1.0,3.0,,2.0,,3.0,1.0,,1.0,5.0,25.0,,,,1.0,0.2,0.2,0.3333333333333333,,0.3181818181818182,0.3,0.375,0.4166666666666667,0.4545454545454545,21.73913043478261,0.6666666666666666,,0.1428571428571428,,0.1034482758620689,0.1428571428571428,,,0.1818181818181818,0.5,0.5,,,,,0.3636363636363636,0.25,0.25,,0.0909090909090909,0.3636363636363636,0.25,0.25,1.0,,0.2,,0.4,0.6363636363636364,0.25,0.4784863636363636,0.5518,0.508,,,0.5,12.383333333333336,25.4,0.4166666666666667,1.0,,,,1.0,,2.0,4.0,,,,2.0,2.0,,,,,1.0,1.0,1.0,,,,0.1052631578947368,,0.0714285714285714,0.2,0.1666666666666666,,0.25,,,,,1.0,,,,0.4,,1.0,1.0,,,0.3333333333333333,,,,0.5,1.0,2.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,0.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1960,1610612761,Milt Palacio,Milt Palacio,1960,TOR,2032.0,34,-5,68,67,19.0,23.0,9.0,135,,3.0,,1.0,,2.0,3.0,4.0,,,,,,3.0,9.0,,,3.0,9.0,70,,,1.0,3.0,,,2.0,4.0,2.0,,,,,1.0,1.0,2.0,,,,1.0,5.0,1.0,1.0,,2.0,2.0,1.0,,,1.0,2.0,,,,4.0,,2.0,,2.0,19.0,,0.6666666666666666,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4090909090909091,0.3333333333333333,,16.455696202531644,0.5,,0.0555555555555555,0.1,0.0714285714285714,0.2,,,0.3333333333333333,,,0.2222222222222222,,,,0.4444444444444444,0.75,0.75,0.6666666666666666,,,,,,,0.3333333333333333,,,0.3333333333333333,,0.4662333333333334,,0.4735666666666667,0.1818181818181818,0.1818181818181818,0.2222222222222222,9.38888888888889,,0.2794117647058823,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,0.1111111111111111,,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
