EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGA,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,RecoveredBlocks,LiveBallTurnoverPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,Avg2ptShotDistance,ShortMidRangeFGA,LongMidRangeFGM,SecondChanceFtPoints,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Corner3Assists,SecondChanceTurnovers,SecondChanceFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,ShortMidRangePctBlocked,ShortMidRangeFGM,Fg3aBlocked,FTDefRebounds,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,OffThreePtRebounds,Loose Ball Fouls,LongMidRangePctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,BlockedShortMidRange,SecondChanceArc3FGA,SecondChanceArc3Frequency,on,FTOffRebounds,FoulsDrawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3SecondViolations,OffFTReboundPct,OffArc3ReboundPct,HeaveAttempts,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceArc3FGM,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,HeaveMakes
1032,1610612765,Darvin Ham,Darvin Ham,1032,DET,1826.0,30,-8,55,62,22.0,36,5.0,117,3.0,5.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0,8.0,62,1.0,1.0,2.0,2.0,3.0,2.0,6.0,4.0,2.0,2.0,1.0,6.0,6.0,1.0,7.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,22.0,1.0,0.6666666666666666,1.0,0.6,1.0,0.6666666666666666,0.6,1.0,0.6666666666666666,0.5714285714285714,1.0,0.6,11.666666666666668,0.24,0.0666666666666666,0.2307692307692307,0.0555555555555555,0.1666666666666666,0.3333333333333333,0.25,0.1666666666666666,1.0,0.6,0.6,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.58768,0.7096,0.6209,0.1666666666666666,0.1666666666666666,0.25,0.75,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,446.0,7,-4,12,14,4.0,12,3.0,26,,,,,,,,1.0,,,17,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,4.0,,,,,,,,,,,,,13.333333333333334,0.1666666666666666,0.2,0.1666666666666666,0.1666666666666666,,,1.0,,,,,,,,,,,0.3992,,,,,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,3884.0,65,-38,117,124,43.0,49,19.0,241,1.0,6.0,1.0,2.0,1.0,2.0,2.0,18.0,19.0,23.0,150,1.0,2.0,4.0,2.0,5.0,9.0,13.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,6.0,2.0,7.0,20.0,7.0,3.0,,,,13.0,43.0,1.0,0.5,1.0,0.1111111111111111,0.5,0.4,0.1111111111111111,0.5,0.4,0.4107142857142857,0.6666666666666666,0.65,24.637681159420293,0.0930232558139534,0.0232558139534883,0.0980392156862745,0.0192307692307692,,0.0666666666666666,,0.1428571428571428,0.3333333333333333,0.1666666666666666,0.3333333333333333,,1.0,0.5,0.4,0.5,0.3333333333333333,0.4686833333333333,0.6668000000000001,0.50488,0.28,0.28,0.1739130434782608,0.5652173913043478,0.3675213675213675,8.0,3.0,1.0,6.0,2.0,,0.5,,,0.4444444444444444,9.96111111111111,4.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.1666666666666666,0.5,0.125,0.0666666666666666,0.1666666666666666,0.2222222222222222,0.125,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2470,1610612765,Smush Parker,Smush Parker,2470,DET,6351.0,106,-53,193,200,63.0,77,28.0,393,7.0,10.0,1.0,1.0,1.0,2.0,9.0,19.0,9.0,33.0,226,2.0,5.0,4.0,1.0,3.0,4.0,9.0,12.0,6.0,,2.0,6.0,7.0,2.0,9.0,4.0,13.0,13.0,4.0,2.0,,,,9.0,63.0,2.0,0.6666666666666666,0.6666666666666666,0.4736842105263157,0.4,0.3333333333333333,0.4285714285714285,0.4,0.4166666666666667,0.4705882352941176,0.4,0.5,19.730941704035875,0.0821917808219178,0.0263157894736842,0.0804597701149425,0.0222222222222222,,0.0689655172413793,0.1428571428571428,0.0666666666666666,0.3571428571428571,0.7,0.875,0.5714285714285714,0.2,1.0,0.3333333333333333,0.5,0.6785714285714286,0.5085017857142857,0.4651999999999999,0.4633083333333334,0.125,0.1739130434782608,0.1212121212121212,0.2727272727272727,0.3264248704663212,8.0,6.0,2.0,10.0,4.0,,0.6,0.0526315789473684,,0.2857142857142857,7.989473684210526,1.0,2.0,,2.0,9.0,11.0,5.0,2.0,2.0,24.0,1.0,3.0,2.0,2.0,4.0,4.0,,0.1052631578947368,0.2,0.0714285714285714,,,0.0357142857142857,0.25,0.25,1.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,9.0,1.0,3.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3214285714285714,0.3333333333333333,0.0714285714285714,0.1785714285714285,0.4,0.4,1.0,0.1428571428571428,1.0,0.1666666666666666,1.0,0.3333333333333333,25.322222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,3167.0,53,-22,97,100,39.0,45,11.0,197,2.0,2.0,,,1.0,1.0,4.0,8.0,,14.0,110,,,3.0,3.0,4.0,,9.0,2.0,6.0,,1.0,4.0,4.0,1.0,5.0,5.0,7.0,,,,,,,9.0,39.0,,0.25,0.25,0.5,,0.75,0.6363636363636364,1.5,0.75,0.6363636363636364,1.5,0.75,12.962962962962962,0.0975609756097561,0.0277777777777777,0.0833333333333333,0.0238095238095238,,0.1111111111111111,0.125,0.0666666666666666,0.1818181818181818,1.0,1.0,,,,0.1666666666666666,1.0,0.4545454545454545,0.4811318181818182,0.6654,0.4874916666666666,,,0.2142857142857142,0.6428571428571429,0.4020618556701031,6.0,2.0,,3.0,,,0.6666666666666666,0.0476190476190476,,0.5454545454545454,14.4,,2.0,,,7.0,8.0,4.0,,3.0,17.0,,2.0,1.0,,2.0,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,,,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,1.0,,,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.6666666666666666,0.2727272727272727,,,0.0909090909090909,1.0,1.0,1.0,0.1818181818181818,,,,0.3333333333333333,24.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,1521.0,25,-18,50,50,21.0,22,8.0,100,1.0,2.0,,,1.0,2.0,1.0,7.0,1.0,6.0,54,,2.0,,1.0,3.0,,2.0,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,2.0,21.0,,,,0.1428571428571428,,0.3333333333333333,0.2777777777777778,,0.3333333333333333,0.2777777777777778,,0.3333333333333333,17.24137931034483,,,0.0555555555555555,,,,,,0.2222222222222222,0.5,1.0,,,,0.6666666666666666,0.5,0.4444444444444444,0.4726166666666667,0.40735,0.5438000000000001,,,,0.3333333333333333,0.42,3.0,1.0,1.0,1.0,,,1.0,,,0.3333333333333333,11.0,2.0,,,2.0,2.0,3.0,,1.0,1.0,7.0,1.0,,,,,,,0.2857142857142857,0.5,0.2,,0.25,0.2222222222222222,,,,,1.0,,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,1.0,,0.5,,0.5,0.2222222222222222,,,0.1111111111111111,,,,0.1111111111111111,,,,,24.8,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,3.0,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,4052.0,68,-17,125,127,38.0,49,19.0,252,5.0,8.0,,1.0,1.0,1.0,11.0,23.0,6.0,28.0,138,1.0,2.0,4.0,1.0,2.0,2.0,4.0,10.0,12.0,,3.0,4.0,8.0,3.0,11.0,1.0,2.0,10.0,5.0,,2.0,2.0,2.0,4.0,38.0,,0.4545454545454545,0.4545454545454545,0.4782608695652174,0.5,0.5,0.4230769230769231,0.5,0.3333333333333333,0.4516129032258064,0.6666666666666666,0.4,26.02739726027397,0.0833333333333333,0.0612244897959183,0.109090909090909,0.0517241379310344,0.0833333333333333,,,0.2105263157894736,0.3076923076923077,0.625,0.625,0.6,0.5,,0.3333333333333333,1.0,0.4230769230769231,0.4466076923076923,0.47835,0.2994333333333333,0.1612903225806451,0.1785714285714285,0.1428571428571428,0.1428571428571428,0.304,9.0,4.0,1.0,7.0,2.0,1.0,0.5714285714285714,0.04,0.5,0.3461538461538461,9.760869565217392,6.0,2.0,2.0,,1.0,2.0,1.0,,,5.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,,,0.2857142857142857,0.0833333333333333,0.1666666666666666,0.2307692307692307,0.2222222222222222,0.2222222222222222,0.5,,2.0,,,1.0,1.0,,3.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,0.1153846153846153,1.0,0.0714285714285714,0.0769230769230769,,,,0.0384615384615384,,,,0.3333333333333333,26.766666666666666,,,,,,,,1.0,1.0,,,,,,,,,,,,4.0,1.0,2.0,0.3333333333333333,1.0,0.5,0.6666666666666666,0.6666666666666666,0.25,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,3669.0,61,-46,108,109,17.0,23,17.0,217,5.0,6.0,1.0,2.0,,,13.0,20.0,6.0,32.0,142,1.0,2.0,4.0,,1.0,,,18.0,8.0,,7.0,5.0,7.0,8.0,15.0,5.0,9.0,10.0,5.0,,,,,,17.0,1.0,0.6923076923076923,0.6923076923076923,0.65,0.5,,0.65,0.5,,0.64,0.5,,21.25984251968504,0.1515151515151515,0.1458333333333333,0.15,0.1428571428571428,0.2,0.0909090909090909,0.2857142857142857,0.1333333333333333,0.3,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5,,,0.3,0.4511099999999999,0.6271500000000001,0.3995,0.2,0.2,0.125,,0.1574074074074074,7.0,1.0,,2.0,1.0,,0.5,,,0.35,9.36,7.0,2.0,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,1.0,1.0,,0.05,,0.1428571428571428,0.3571428571428571,0.1666666666666666,0.35,0.2857142857142857,0.3333333333333333,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,0.25,0.8571428571428571,0.8571428571428571,0.5,1.0,2.0,0.1428571428571428,0.125,0.1666666666666666,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,3593.0,60,-36,107,107,29.0,30,17.0,214,2.0,3.0,1.0,2.0,,,4.0,13.0,5.0,16.0,127,1.0,3.0,3.0,1.0,4.0,4.0,9.0,4.0,4.0,,5.0,7.0,9.0,5.0,14.0,4.0,6.0,8.0,3.0,1.0,4.0,3.0,4.0,9.0,29.0,,0.5,0.5,0.3076923076923077,0.3333333333333333,0.25,0.34375,0.3333333333333333,0.3571428571428571,0.4,0.3,0.45,17.6,0.1707317073170731,0.1136363636363636,0.173076923076923,0.0980392156862745,0.1818181818181818,0.2666666666666666,0.2222222222222222,0.0588235294117647,0.1875,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,,,0.375,0.425196875,0.572,0.3440357142857143,0.1578947368421052,0.1875,0.1875,0.5625,0.2710280373831775,2.0,,,2.0,,2.0,,0.1111111111111111,0.5,0.125,8.8,8.0,,1.0,,4.0,4.0,3.0,1.0,,8.0,2.0,,,,,2.0,1.0,,,0.1818181818181818,0.0666666666666666,0.1111111111111111,0.5,,,,,,,,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1875,0.5,,,,,,0.1875,,,,0.4285714285714285,27.666666666666668,,,1.0,1.0,,,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,0.3333333333333333,,,2.0,,,,,,0.25,0.25,0.5,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2545,1610612765,Darko Milicic,Darko Milicic,2545,DET,967.0,16,-4,33,34,19.0,21,4.0,67,1.0,1.0,,,,,1.0,3.0,,2.0,33,,,,,1.0,,,,2.0,,,4.0,5.0,,5.0,2.0,2.0,,,,,,,,19.0,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,8.108108108108109,0.4,,0.3076923076923077,,,0.2,1.0,0.5,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,0.525,,0.3753,,,,,0.5757575757575758,1.0,,,,,,,,,0.3333333333333333,7.8,1.0,,,1.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,0.3333333333333333,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
