EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,Corner3Assists,ShortMidRangeAssists,Travels,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,Avg3ptShotDistance,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PtsUnassisted3s,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,LongMidRangePctBlocked,Defensive 3 Seconds Violations,on,Clear Path Fouls,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,BlockedCorner3
1502,1610612744,Adonal Foyle,Adonal Foyle,1502,GSW,17942.0,299,37,561,573,185,181,77,1134,14.0,29.0,5.0,13.0,4.0,8.0,7.0,16.0,3.0,7.0,24,52,13.0,61,547,7.0,17.0,3.0,17.0,7.0,11.0,5.0,19.0,24.0,24.0,12.0,2.0,6.0,2.0,8.0,2.0,3.0,3.0,18.0,6.0,26.0,2.0,8.0,25.0,10.0,43.0,34.0,77.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,6.0,3.0,10.0,2.0,4.0,23.0,40,9.0,2.0,16.0,4.0,4.0,21.0,10.0,1.0,10.0,21.0,12.0,1.0,1.0,19.0,185,4.0,0.5,0.6666666666666666,0.46153846153846156,0.4117647058823529,0.6363636363636364,0.46153846153846156,0.4117647058823529,0.6363636363636364,0.5083333333333333,0.4473684210526316,0.6785714285714286,0.038461538461538464,0.034482758620689655,0.0625,10.670731707317074,0.4,0.45454545454545453,0.1111111111111111,0.1111111111111111,0.12093023255813953,0.16666666666666666,0.09375,0.12087912087912088,0.11469534050179211,0.11864406779661017,0.1111111111111111,0.12745098039215685,0.08163265306122448,0.13333333333333333,0.19230769230769232,0.04477611940298507,0.11320754716981132,0.2,0.07692307692307693,0.038461538461538464,0.5714285714285714,0.5576923076923077,0.4827586206896552,0.5,0.5714285714285714,0.3076923076923077,0.4375,0.4666666666666667,0.2857142857142857,0.1346153846153846,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.7647058823529411,0.38461538461538464,0.7272727272727273,0.5,0.5576923076923077,0.4754173076923077,0.5246500000000001,0.5563727272727272,0.07142857142857142,0.07142857142857142,0.2786885245901639,0.3114754098360656,5.144230769230769,0.32976827094474154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1738,1610612744,Ansu Sesay,Ansu Sesay,1738,GSW,4784.0,80,-15,156,151,68,70,23,307,3.0,8.0,1.0,1.0,3.0,4.0,2.0,9.0,3.0,7.0,8,24,7.0,26,163,1.0,1.0,4.0,6.0,3.0,9.0,3.0,12.0,12.0,4.0,2.0,5.0,9.0,2.0,11.0,1.0,1.0,7.0,24.0,1.0,6.0,,2.0,8.0,,10.0,7.0,17.0,,1.0,,1.0,1.0,1.0,1.0,4.0,,5.0,1.0,2.0,5.0,11,,1.0,13.0,6.0,1.0,1.0,1.0,,,1.0,,,,12.0,68,2.0,0.75,0.8571428571428571,0.3333333333333333,1.0,0.3333333333333333,0.3275862068965517,1.0,0.4090909090909091,0.37142857142857144,0.75,0.46153846153846156,0.20833333333333334,0.25,0.3333333333333333,22.099447513812155,0.2,,,0.17777777777777778,0.09090909090909091,0.125,0.08333333333333333,0.16393442622950818,0.08974358974358974,0.09090909090909091,0.10526315789473684,0.08333333333333333,0.1,,0.25,0.11764705882352941,0.16666666666666666,0.14285714285714285,0.1111111111111111,,,0.27586206896551724,0.375,0.5,0.6666666666666666,0.3103448275862069,0.2222222222222222,0.3333333333333333,0.5,0.2413793103448276,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.36363636363636365,0.75,0.4482758620689655,0.48954655172413797,0.693,0.5156227272727273,0.17647058823529413,0.20689655172413793,0.23076923076923078,0.46153846153846156,8.124999999999998,0.4358974358974359,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.2,0.5,0.2,0.1724137931034483,0.06896551724137931,0.5,0.5,1.0,0.10344827586206896,0.09090909090909091,1.0,0.09090909090909091,24.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2049,1610612744,Speedy Claxton,Speedy Claxton,2049,GSW,24418.0,407,-102,794,803,296,277,104,1597,22.0,44.0,2.0,5.0,6.0,10.0,10.0,27.0,20.0,45.0,52,116,66.0,182,840,3.0,17.0,6.0,15.0,16.0,34.0,48.0,80.0,20.0,84.0,,13.0,51.0,18.0,69.0,18.0,17.0,29.0,156.0,3.0,8.0,,6.0,29.0,3.0,38.0,11.0,49.0,1.0,28.0,14.0,14.0,16.0,5.0,7.0,11.0,9.0,27.0,,8.0,16.0,49,4.0,2.0,84.0,14.0,28.0,2.0,,,2.0,2.0,2.0,,,80.0,296,15.0,0.19230769230769232,0.19230769230769232,0.4482758620689655,0.17647058823529413,0.47058823529411764,0.4496124031007752,0.25,0.43243243243243246,0.5297619047619048,0.3333333333333333,0.5984848484848485,0.11206896551724138,0.1590909090909091,0.2222222222222222,21.241830065359476,0.5925925925925926,0.10344827586206896,,0.09666666666666666,0.023668639053254437,0.11764705882352941,0.03571428571428571,0.09971509971509972,0.026066350710900472,0.0449438202247191,0.02531645569620253,0.011764705882352941,0.029850746268656716,0.058823529411764705,0.08791208791208792,0.0967741935483871,0.10344827586206896,0.15789473684210525,,0.016666666666666666,1.0,0.34108527131782945,0.5,0.5945945945945946,0.13636363636363635,0.20930232558139536,0.37037037037037035,0.47619047619047616,0.2,0.3488372093023256,0.4444444444444444,0.4444444444444444,0.25,0.2777777777777778,0.4,0.2702702702702703,0.6,0.4418604651162791,0.46520620155038755,0.4159538461538462,0.42719459459459463,0.1,0.11023622047244094,0.08241758241758242,0.43956043956043955,9.307758620689656,0.37279596977329976,1.0,2.0,,,11.0,3.0,4.0,13.0,,3.0,12.0,11.0,,5.0,,3.0,1.0,0.3076923076923077,,0.3076923076923077,0.10077519379844961,0.015503875968992248,0.5,0.5,1.0,0.08527131782945736,,,0.08108108108108109,24.969230769230766,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.2727272727272727,0.2727272727272727,1.0,0.05555555555555555,1.0,1.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,True,,,,,,,
2059,1610612744,Eduardo Najera,Eduardo Najera,2059,GSW,16759.0,279,-4,529,521,164,200,72,1050,16.0,31.0,4.0,9.0,7.0,13.0,4.0,9.0,13.0,41.0,33,81,11.0,86,542,4.0,12.0,4.0,12.0,10.0,26.0,7.0,33.0,54.0,12.0,6.0,7.0,11.0,7.0,18.0,6.0,3.0,5.0,43.0,1.0,21.0,2.0,4.0,21.0,2.0,27.0,24.0,51.0,2.0,8.0,3.0,5.0,5.0,1.0,5.0,6.0,,11.0,2.0,2.0,12.0,29,2.0,4.0,19.0,5.0,6.0,7.0,2.0,1.0,4.0,7.0,5.0,,,33.0,164,5.0,0.8181818181818182,0.9,0.4074074074074074,0.3333333333333333,0.38461538461538464,0.42134831460674155,0.3333333333333333,0.43333333333333335,0.44329896907216493,0.375,0.4714285714285714,0.08641975308641975,0.1935483870967742,0.1111111111111111,17.391304347826086,0.45454545454545453,0.1111111111111111,0.08695652173913043,0.109375,0.09210526315789473,0.09302325581395349,0.02,0.10638297872340426,0.07913669064748201,0.18461538461538463,0.09259259259259259,0.03669724770642202,0.03125,,0.01818181818181818,0.16363636363636364,0.13414634146341464,0.1111111111111111,0.0625,0.045454545454545456,0.7142857142857143,0.34831460674157305,0.5161290322580645,0.64,0.6875,0.10112359550561797,0.4444444444444444,0.5,0.75,0.4606741573033708,0.3170731707317073,0.3170731707317073,1.0,0.75,0.4444444444444444,0.43333333333333335,0.5384615384615384,0.43820224719101125,0.4363988764044945,0.4116272727272728,0.43409166666666665,0.054945054945054944,0.060240963855421686,0.13953488372093023,0.38372093023255816,10.95925925925926,0.31001890359168244,,1.0,,1.0,7.0,3.0,3.0,8.0,2.0,4.0,6.0,7.0,1.0,3.0,1.0,3.0,0.6666666666666666,0.375,0.5,0.375,0.0898876404494382,0.011235955056179775,,,,0.07865168539325842,0.03333333333333333,,0.1,25.1875,3.0,,,,,3.0,,,,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,,0.42857142857142855,2.0,3.0,0.25,0.6666666666666666,,,,,,,,,,,,,,,True,,,,,,,
384,1610612744,Calbert Cheaney,Calbert Cheaney,384,GSW,56726.0,945,-60,1822,1812,611,566,234,3634,41.0,60.0,9.0,14.0,13.0,20.0,20.0,54.0,52.0,148.0,113,262,24.0,250,1860,13.0,31.0,5.0,31.0,32.0,76.0,14.0,78.0,164.0,62.0,14.0,11.0,50.0,14.0,64.0,11.0,19.0,21.0,142.0,7.0,23.0,2.0,20.0,65.0,7.0,92.0,32.0,124.0,2.0,17.0,13.0,4.0,10.0,10.0,7.0,25.0,3.0,35.0,1.0,9.0,22.0,95,4.0,10.0,37.0,17.0,3.0,14.0,5.0,5.0,4.0,15.0,8.0,,,78.0,611,21.0,0.7256637168141593,0.7735849056603774,0.4312977099236641,0.41935483870967744,0.42105263157894735,0.42641509433962266,0.40625,0.41025641025641024,0.4432624113475177,0.4305555555555556,0.45348837209302323,0.04198473282442748,0.03333333333333333,0.16666666666666666,15.073704232049453,0.2857142857142857,0.109375,0.027777777777777776,0.09447674418604651,0.03099730458221024,0.13157894736842105,0.036458333333333336,0.10119047619047619,0.032119914346895075,0.031413612565445025,0.022727272727272728,0.034666666666666665,0.03355704697986577,0.046511627906976744,0.078125,0.08780487804878048,0.10996563573883161,0.12844036697247707,0.13953488372093023,0.014285714285714285,0.5333333333333333,0.22641509433962265,0.6833333333333333,0.7068965517241379,0.5853658536585366,0.2037735849056604,0.37037037037037035,0.4444444444444444,0.6,0.5584905660377358,0.35135135135135137,0.35135135135135137,0.8846153846153846,0.4375,0.6428571428571429,0.2564102564102564,0.65,0.23773584905660378,0.432596212121212,0.45839230769230765,0.4459974025974026,0.06093189964157706,0.06159420289855073,0.124,0.312,12.19503816793893,0.3353457738748628,,1.0,,1.0,2.0,1.0,,3.0,,2.0,,1.0,3.0,10.0,,3.0,,,,,0.011320754716981131,0.0037735849056603774,,,,0.007547169811320755,0.01282051282051282,,0.01282051282051282,37.199999999999996,,,1.0,,1.0,,1.0,,,,,,0.03125,,,,,,0.1111111111111111,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,True,,,,,,,
2554,1610612744,Mickael Pietrus,Mickael Pietrus,2554,GSW,14194.0,237,-21,448,445,127,137,51,893,12.0,25.0,1.0,5.0,4.0,8.0,3.0,11.0,9.0,23.0,24,59,31.0,112,475,3.0,11.0,2.0,14.0,6.0,14.0,9.0,39.0,24.0,24.0,2.0,5.0,10.0,5.0,15.0,5.0,4.0,6.0,35.0,2.0,7.0,,3.0,22.0,,25.0,9.0,34.0,2.0,8.0,6.0,2.0,7.0,4.0,3.0,10.0,4.0,17.0,1.0,4.0,11.0,18,,2.0,46.0,19.0,4.0,,,,,,,,,39.0,127,,0.5,0.5217391304347826,0.4067796610169492,0.2727272727272727,0.42857142857142855,0.4175257731958763,0.4,0.5172413793103449,0.4745762711864407,0.4375,0.5416666666666666,0.0847457627118644,0.16,0.09090909090909091,26.522593320235757,0.4117647058823529,,,0.12359550561797752,0.0457516339869281,0.09090909090909091,0.031746031746031744,0.11848341232227488,0.041666666666666664,0.10869565217391304,0.029411764705882353,0.0136986301369863,,0.125,0.11764705882352941,0.0784313725490196,0.15789473684210525,0.15,,0.037037037037037035,,0.25773195876288657,0.48,0.5714285714285714,0.5833333333333334,0.1134020618556701,0.2727272727272727,0.3,0.3333333333333333,0.23711340206185566,0.391304347826087,0.391304347826087,0.4444444444444444,0.3333333333333333,0.2,0.27586206896551724,0.5,0.6494845360824743,0.4907163157894738,0.4536727272727273,0.4795129629629629,0.17543859649122806,0.25333333333333335,0.125,0.3482142857142857,9.733898305084747,0.28348214285714285,1.0,9.0,1.0,4.0,29.0,11.0,11.0,38.0,6.0,15.0,24.0,27.0,,,,3.0,0.7272727272727273,0.2894736842105263,0.4,0.3055555555555556,0.3917525773195876,0.09278350515463918,0.1111111111111111,0.1111111111111111,1.0,0.29896907216494845,0.13793103448275862,0.25,0.3793103448275862,26.25,10.0,2.0,4.0,2.0,4.0,10.0,1.0,,0.5,0.3448275862068966,0.35714285714285715,0.7,0.26666666666666666,0.5,1.0,0.37037037037037035,5.0,9.0,,0.45454545454545453,2.0,1.0,,,,0.02631578947368421,0.034482758620689655,1.0,1.0,0.02564102564102564,,,,,True,,,,,,,
965,1610612744,Derek Fisher,Derek Fisher,965,GSW,30132.0,502,-9,981,958,334,295,130,1939,16.0,33.0,1.0,5.0,5.0,14.0,6.0,25.0,34.0,86.0,56,144,58.0,260,993,2.0,14.0,6.0,28.0,17.0,47.0,28.0,98.0,42.0,70.0,,9.0,66.0,10.0,76.0,8.0,27.0,30.0,162.0,1.0,10.0,,7.0,26.0,3.0,36.0,11.0,47.0,3.0,16.0,6.0,10.0,21.0,7.0,16.0,14.0,5.0,35.0,2.0,12.0,11.0,41,1.0,3.0,66.0,14.0,11.0,1.0,,1.0,,1.0,1.0,,,98.0,334,7.0,0.375,0.375,0.3888888888888889,0.14285714285714285,0.3617021276595745,0.47417840375586856,0.4583333333333333,0.4861111111111111,0.5354166666666667,0.5384615384615384,0.563953488372093,0.0625,0.15151515151515152,0.16,24.271844660194173,0.6,0.09375,,0.07303370786516854,0.024509803921568627,0.07954545454545454,0.010309278350515464,0.07432432432432433,0.02178217821782178,0.0196078431372549,0.031578947368421054,0.023696682464454975,,0.037037037037037035,0.07526881720430108,0.08080808080808081,0.06707317073170732,0.06349206349206349,0.12,0.026785714285714284,1.0,0.15492957746478872,0.48484848484848486,0.5714285714285714,0.125,0.11737089201877934,0.24,0.2857142857142857,0.3333333333333333,0.40375586854460094,0.3953488372093023,0.3953488372093023,0.5,0.20833333333333334,0.2,0.19444444444444445,0.35714285714285715,0.4788732394366197,0.4495938388625593,0.47877272727272724,0.426145,0.08296943231441048,0.09032258064516129,0.1076923076923077,0.3769230769230769,13.244444444444447,0.34046890927624873,4.0,16.0,1.0,4.0,53.0,21.0,30.0,69.0,12.0,25.0,69.0,52.0,2.0,9.0,,3.0,0.7666666666666667,0.43478260869565216,0.48,0.4411764705882353,0.323943661971831,0.07511737089201878,0.25,0.25,1.0,0.24882629107981222,0.05555555555555555,0.25,0.2916666666666667,25.528985507246382,26.0,6.0,9.0,6.0,10.0,26.0,3.0,4.0,0.6,0.49056603773584906,0.49056603773584906,0.7307692307692307,0.375,0.6666666666666666,0.8333333333333334,0.5,11.0,21.0,,0.5238095238095238,1.0,,,,,,,5.0,,0.06756756756756757,1.0,0.041666666666666664,,,True,,,,,,,
2784,1610612744,Luis Flores,Luis Flores,2784,GSW,2491.0,42,27,79,80,36,30,10,159,2.0,4.0,,1.0,2.0,3.0,1.0,2.0,4.0,5.0,7,11,2.0,28,63,1.0,2.0,,2.0,4.0,5.0,2.0,19.0,8.0,6.0,,2.0,6.0,3.0,9.0,3.0,6.0,,21.0,,,,1.0,1.0,,2.0,,2.0,,2.0,1.0,1.0,,1.0,,5.0,,5.0,1.0,1.0,1.0,5,,1.0,2.0,,1.0,,,,,,,,,19.0,36,,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.5,0.8,0.6842105263157895,0.5,0.9444444444444444,0.7,0.5,0.95,0.18181818181818182,0.25,0.5,27.47252747252747,,,,0.03571428571428571,,0.1111111111111111,,0.05405405405405406,,,,,,,,0.14285714285714285,,,0.5,,,0.21052631578947367,0.5,0.6666666666666666,,0.10526315789473684,0.5,1.0,1.0,0.2631578947368421,0.8,0.8,0.75,0.5,,0.3333333333333333,0.6666666666666666,0.631578947368421,0.4872763157894737,0.52455,0.5179611111111111,,,0.07142857142857142,0.6785714285714286,10.000000000000002,0.45569620253164556,,,,,8.0,4.0,4.0,8.0,3.0,4.0,6.0,8.0,,,2.0,,0.5,0.5,0.75,0.5,0.42105263157894735,,,,,0.42105263157894735,,,0.4444444444444444,25.037499999999998,4.0,,,,,4.0,,,,0.5,0.5,0.5,,,,0.5,3.0,6.0,,0.75,,,1.0,,,,,,,,,,,,True,,,,,,,
2211,1610612744,Troy Murphy,Troy Murphy,2211,GSW,27001.0,450,-56,867,869,284,221,107,1736,23.0,51.0,5.0,15.0,11.0,20.0,10.0,31.0,20.0,68.0,53,150,57.0,202,902,9.0,24.0,9.0,33.0,20.0,50.0,26.0,78.0,74.0,32.0,14.0,17.0,13.0,4.0,17.0,3.0,5.0,7.0,38.0,11.0,31.0,2.0,11.0,72.0,16.0,99.0,44.0,143.0,7.0,8.0,5.0,3.0,11.0,,5.0,20.0,6.0,31.0,4.0,9.0,16.0,42,7.0,12.0,79.0,34.0,9.0,4.0,3.0,,1.0,4.0,1.0,,1.0,78.0,284,3.0,0.6981132075471698,0.8043478260869565,0.35333333333333333,0.375,0.4,0.4005524861878453,0.42857142857142855,0.4406779661016949,0.463302752293578,0.5,0.52,0.11333333333333333,0.21568627450980393,0.1935483870967742,25.075528700906347,0.3548387096774194,0.5714285714285714,0.06451612903225806,0.2236024844720497,0.08882521489971347,0.14864864864864866,0.12087912087912088,0.20959595959595959,0.09545454545454546,0.06741573033707865,0.10843373493975904,0.0903954802259887,0.13513513513513514,0.058823529411764705,0.1935483870967742,0.25263157894736843,0.22388059701492538,0.10909090909090909,0.2631578947368421,0.07216494845360824,0.25,0.281767955801105,0.45098039215686275,0.575,0.6086956521739131,0.1712707182320442,0.3225806451612903,0.4,0.4,0.3756906077348066,0.29411764705882354,0.29411764705882354,0.95,0.5357142857142857,0.3333333333333333,0.3389830508474576,0.55,0.4530386740331492,0.4618883977900551,0.46170227272727266,0.45770932203389836,0.16267942583732056,0.19101123595505617,0.16336633663366337,0.38613861386138615,10.202666666666667,0.3275663206459054,,,,,31.0,9.0,13.0,31.0,4.0,9.0,36.0,31.0,1.0,1.0,3.0,6.0,0.9230769230769231,0.41935483870967744,0.4444444444444444,0.41935483870967744,0.1712707182320442,,,,,0.1712707182320442,,,0.15254237288135594,25.429032258064513,13.0,2.0,4.0,2.0,4.0,13.0,,,0.5,0.41935483870967744,0.43333333333333335,0.9230769230769231,0.14285714285714285,0.5,0.5,0.41935483870967744,4.0,3.0,,0.4444444444444444,,1.0,,,,0.03225806451612903,0.03225806451612903,,,,,,,,True,,,,,,,
2399,1610612744,Mike Dunleavy,Mike Dunleavy,2399,GSW,23332.0,389,-13,759,757,273,199,91,1516,20.0,29.0,4.0,7.0,6.0,11.0,7.0,19.0,16.0,49.0,43,97,22.0,153,753,4.0,9.0,3.0,14.0,14.0,34.0,9.0,52.0,50.0,36.0,4.0,6.0,25.0,2.0,27.0,1.0,11.0,13.0,56.0,6.0,12.0,,5.0,40.0,6.0,51.0,18.0,69.0,,12.0,10.0,2.0,6.0,3.0,4.0,9.0,2.0,15.0,1.0,6.0,11.0,21,1.0,3.0,31.0,13.0,3.0,4.0,2.0,,2.0,4.0,2.0,,,52.0,273,2.0,0.5813953488372093,0.6097560975609756,0.44329896907216493,0.4444444444444444,0.4117647058823529,0.4612676056338028,0.4230769230769231,0.4056603773584906,0.4872611464968153,0.4375,0.43333333333333335,0.061855670103092786,0.10344827586206896,0.05263157894736842,19.792865362485617,0.4,0.17142857142857143,,0.13745704467353953,0.03986710963455149,0.07246376811594203,0.07317073170731707,0.125,0.04699738903394256,0.027777777777777776,0.031746031746031744,0.04819277108433735,0.09230769230769231,,0.08,0.12371134020618557,0.18487394957983194,0.07272727272727272,0.07142857142857142,,0.5,0.20422535211267606,0.6896551724137931,0.7692307692307693,0.5,0.13380281690140844,0.3684210526315789,0.3888888888888889,0.42857142857142855,0.34507042253521125,0.32653061224489793,0.3404255319148936,0.75,0.5384615384615384,0.5714285714285714,0.20754716981132076,0.5454545454545454,0.5211267605633803,0.47275638297872347,0.5034150000000001,0.4678528846153847,0.08441558441558442,0.11926605504587157,0.0915032679738562,0.33986928104575165,11.627835051546393,0.35968379446640314,2.0,11.0,1.0,3.0,34.0,16.0,15.0,45.0,5.0,19.0,36.0,33.0,1.0,1.0,2.0,1.0,0.8,0.3333333333333333,0.2631578947368421,0.3409090909090909,0.31690140845070425,0.07746478873239436,0.18181818181818182,0.18181818181818182,1.0,0.23943661971830985,0.05660377358490566,0.3333333333333333,0.3018867924528302,25.30888888888889,13.0,1.0,4.0,1.0,4.0,13.0,,,0.25,0.38235294117647056,0.38235294117647056,0.7692307692307693,0.3076923076923077,0.25,,0.3939393939393939,4.0,9.0,0.25,0.25,1.0,,,,,,,,,,,,0.04081632653061224,,True,,,,,,,
