EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,LongMidRangeAssists,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Offensive Fouls,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Corner3FGA,PtsUnassisted3s,Fg2aBlocked,AtRimAssists,SelfOReb,BadPassTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,ShortMidRangeAssists,FTOffRebounds,LostBallSteals,Travels,DefensiveGoaltends,PenaltyFg3Pct,AtRimPctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,3SecondViolations,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,HeaveAttempts,Arc3Assists,Defensive 3 Seconds Violations,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedLongMidRange,on,BlockedCorner3,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,LongMidRangePctBlocked
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,3476.0,58,22.0,117,111,47,44,14.0,228,3.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,7.0,12.0,1.0,5.0,19.0,107,2.0,2.0,4.0,4.0,6.0,3.0,11.0,8.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,10.0,2.0,12,3.0,15,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,11.0,47,0.5714285714285714,0.6666666666666666,0.5833333333333334,1.0,0.6666666666666666,0.5384615384615384,1.0,0.6666666666666666,0.6333333333333333,1.0,0.7857142857142857,0.07692307692307693,13.333333333333332,0.4,0.23809523809523808,0.045454545454545456,0.25,0.16666666666666666,0.0625,0.11764705882352941,0.5,0.18181818181818182,0.21428571428571427,0.29411764705882354,0.3333333333333333,0.3076923076923077,0.75,0.75,0.3333333333333333,0.3076923076923077,0.25,0.25,1.0,0.3076923076923077,0.75,0.75,0.6666666666666666,0.07692307692307693,0.5,1.0,0.3333333333333333,1.0,0.38461538461538464,0.452276923076923,0.50515,0.44765000000000005,0.14285714285714285,0.15384615384615385,0.21052631578947367,0.5789473684210527,9.333333333333334,25.6,0.4017094017094017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,2563.0,43,-13.0,86,90,61,50,12.0,176,,,,,,,,1.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,6.0,88,1.0,1.0,5.0,,,,,2.0,,,4.0,1.0,2.0,1.0,5.0,,,5.0,1.0,10,,10,1.0,1.0,1.0,2.0,,3.0,,2.0,,4.0,1.0,,,,1.0,1.0,,1.0,1.0,,61,1.0,1.0,0.5,1.0,,0.4166666666666667,0.8333333333333334,,0.4166666666666667,0.8333333333333334,,0.6666666666666666,8.910891089108912,0.125,0.1724137931034483,,,0.2,,,,0.1111111111111111,0.3,0.1,1.0,,,,,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,,,,,0.6666666666666666,0.5046583333333333,0.4626,0.5682,,,0.8333333333333334,,16.200000000000003,25.025,0.7093023255813954,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.5,0.25,0.3333333333333333,0.25,0.26666666666666666,0.25,0.25,1.0,0.6666666666666666,0.5,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,4009.0,67,-17.0,130,133,75,105,18.0,263,1.0,4.0,1.0,2.0,,2.0,2.0,4.0,2.0,5.0,7.0,5.0,13.0,8.0,8.0,21.0,147,1.0,3.0,2.0,2.0,6.0,6.0,10.0,2.0,8.0,,7.0,,5.0,,10.0,,1.0,5.0,1.0,8,1.0,9,,,,1.0,,4.0,,3.0,3.0,7.0,10.0,,4.0,1.0,1.0,1.0,,1.0,1.0,10.0,75,0.2,0.2,0.38461538461538464,0.3333333333333333,0.3333333333333333,0.30952380952380953,0.2,0.2222222222222222,0.40384615384615385,0.2,0.38461538461538464,0.38095238095238093,20.0,0.1,0.10869565217391304,0.022727272727272728,,0.12962962962962962,0.019230769230769232,0.05263157894736842,,0.05555555555555555,0.16666666666666666,0.125,1.0,0.19047619047619047,0.25,0.25,,0.19047619047619047,0.5,0.6666666666666666,0.5,0.23809523809523808,0.4,0.4,,0.3333333333333333,0.4,0.5,0.2222222222222222,,0.5714285714285714,0.4650261904761904,0.51212,0.4483111111111111,0.16,0.23529411764705882,0.09523809523809523,0.47619047619047616,9.492307692307692,25.35,0.5769230769230769,1.0,,2.0,3.0,1.0,,2.0,3.0,,1.0,5.0,2.0,2.0,3.0,1.0,1.0,,3.0,,0.125,,0.125,0.75,0.25,0.2,0.14285714285714285,0.14285714285714285,,0.4,,,0.3333333333333333,0.14285714285714285,1.0,3.0,1.0,3.0,1.0,2.0,0.07692307692307693,0.25,0.3333333333333333,0.07692307692307693,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2052,1610612753,DeShawn Stevenson,DeShawn Stevenson,2052,ORL,7450.0,124,-40.0,261,258,146,165,42.0,519,6.0,17.0,1.0,1.0,5.0,11.0,,5.0,10.0,19.0,13.0,16.0,41.0,13.0,14.0,55.0,290,1.0,4.0,6.0,8.0,24.0,8.0,27.0,12.0,20.0,2.0,13.0,1.0,6.0,1.0,13.0,1.0,2.0,7.0,,9,4.0,13,2.0,,2.0,6.0,,10.0,1.0,4.0,3.0,12.0,22.0,2.0,8.0,4.0,,,,,,27.0,146,0.375,0.4,0.3902439024390244,0.25,0.3333333333333333,0.37962962962962965,0.35714285714285715,0.3064516129032258,0.4296875,0.375,0.36486486486486486,0.24074074074074073,24.025974025974026,,0.07865168539325842,0.02197802197802198,0.05,0.07627118644067797,0.02702702702702703,0.02564102564102564,,0.12903225806451613,0.07142857142857142,0.03333333333333333,,0.3148148148148148,0.35294117647058826,0.4,0.3333333333333333,0.09259259259259259,,,,0.35185185185185186,0.5263157894736842,0.5263157894736842,0.4,0.24074074074074073,0.14285714285714285,1.0,0.3548387096774194,0.45454545454545453,0.5555555555555556,0.4602861111111111,0.4310333333333333,0.4628338709677419,0.13333333333333333,0.1702127659574468,0.10909090909090909,0.4909090909090909,9.841463414634147,25.930769230769233,0.5593869731800766,3.0,1.0,3.0,7.0,3.0,1.0,3.0,7.0,6.0,3.0,5.0,,2.0,4.0,,3.0,,3.0,0.6666666666666666,0.23076923076923078,0.3333333333333333,0.23076923076923078,0.4,0.06896551724137931,0.043478260869565216,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.42857142857142855,0.3333333333333333,1.0,0.22580645161290322,0.23076923076923078,,3.0,4.0,4.0,1.0,4.0,0.0975609756097561,0.4,0.16666666666666666,0.038461538461538464,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.14285714285714285,0.11764705882352941,0.0625,0.03225806451612903,0.05263157894736842,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2599,1610612753,Brandon Hunter,Brandon Hunter,2599,ORL,13003.0,217,-19.0,444,446,250,246,70.0,890,26.0,42.0,9.0,15.0,19.0,30.0,10.0,27.0,1.0,4.0,,37.0,73.0,,21.0,95.0,478,10.0,19.0,25.0,25.0,45.0,14.0,64.0,36.0,38.0,12.0,,,3.0,,6.0,5.0,18.0,30.0,6.0,44,25.0,69,4.0,3.0,2.0,13.0,,22.0,3.0,11.0,20.0,42.0,39.0,3.0,16.0,5.0,7.0,5.0,2.0,7.0,6.0,64.0,250,0.4864864864864865,0.5806451612903226,0.5068493150684932,0.5263157894736842,0.5555555555555556,0.5068493150684932,0.5263157894736842,0.5555555555555556,0.521978021978022,0.5434782608695652,0.5925925925925926,,21.240601503759397,0.20689655172413793,0.19736842105263158,0.11464968152866242,0.14705882352941177,0.18446601941747573,0.12041884816753927,0.10606060606060606,0.125,0.14285714285714285,0.19148936170212766,0.25,0.8571428571428571,0.5753424657534246,0.6190476190476191,0.6666666666666666,0.5769230769230769,0.3698630136986301,0.37037037037037035,0.4,0.3,0.0547945205479452,0.25,0.25,,,0.7894736842105263,0.6,0.6666666666666666,0.6333333333333333,0.5753424657534246,0.4847054794520549,0.5113933333333333,0.49631111111111126,0.18604651162790697,0.18604651162790697,0.2631578947368421,0.6736842105263158,3.8095890410958906,,0.5630630630630631,,,,,,,,,,,3.0,,8.0,9.0,2.0,7.0,,6.0,,,,,0.4090909090909091,0.14814814814814814,0.1590909090909091,,,,,,,,,,,5.0,3.0,2.0,7.0,0.0684931506849315,0.07407407407407407,0.1,0.06451612903225806,,,5.0,,,2.0,1.0,2.0,,,0.07142857142857142,0.06666666666666667,0.0851063829787234,0.15384615384615385,,1.0,4.0,1.0,0.1590909090909091,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2857,1610612753,Andre Barrett,Andre Barrett,2857,ORL,4634.0,77,38.0,162,164,87,71,28.0,326,4.0,6.0,,1.0,2.0,3.0,2.0,4.0,6.0,11.0,3.0,12.0,21.0,7.0,4.0,37.0,154,,2.0,3.0,5.0,11.0,3.0,19.0,6.0,18.0,,2.0,2.0,18.0,,38.0,,1.0,,2.0,5,2.0,7,3.0,1.0,,2.0,,5.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,,,,,,19.0,87,0.25,0.25,0.5714285714285714,,0.45454545454545453,0.5892857142857143,0.5,0.5,0.6166666666666667,0.5,0.5277777777777778,0.25,17.326732673267326,0.2,,0.017241379310344827,,0.03896103896103896,0.013888888888888888,0.03571428571428571,,,,,,0.21428571428571427,0.6666666666666666,1.0,,0.14285714285714285,0.5,0.6666666666666666,,0.39285714285714285,0.5454545454545454,0.5454545454545454,0.5,0.10714285714285714,0.3333333333333333,,0.1875,0.6666666666666666,0.4642857142857143,0.48504629629629636,0.45071666666666665,0.4649033333333334,0.06896551724137931,0.09090909090909091,0.08108108108108109,0.5135135135135135,10.719047619047618,26.428571428571427,0.5370370370370371,1.0,,,2.0,3.0,1.0,1.0,5.0,6.0,1.0,16.0,4.0,3.0,3.0,,,,1.0,0.6666666666666666,0.42857142857142855,1.0,0.5,0.6,0.1111111111111111,0.13043478260869565,0.3333333333333333,0.3333333333333333,,,,,0.125,0.5,4.0,3.0,3.0,9.0,,3.0,0.14285714285714285,0.25,,,0.14285714285714285,,,2.0,3.0,1.0,2.0,,,0.4,0.3333333333333333,0.07692307692307693,,,,1.0,1.0,,,,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,0.1875,0.6666666666666666,,,,,,,True,,,,,,,,
1883,1610612753,Steve Francis,Steve Francis,1883,ORL,5290.0,88,-12.0,179,174,86,71,24.0,353,4.0,13.0,1.0,1.0,4.0,7.0,2.0,7.0,10.0,18.0,4.0,16.0,38.0,5.0,14.0,52.0,196,1.0,1.0,2.0,10.0,20.0,6.0,32.0,6.0,26.0,2.0,4.0,2.0,11.0,1.0,24.0,1.0,2.0,4.0,1.0,8,3.0,11,7.0,7.0,,5.0,,11.0,,7.0,4.0,11.0,15.0,1.0,7.0,1.0,,,,,,32.0,86,0.1875,0.2,0.42105263157894735,1.0,0.5,0.4418604651162791,1.0,0.52,0.52,1.0,0.5714285714285714,0.11627906976744186,29.611650485436893,0.09090909090909091,0.06779661016949153,0.03508771929824561,0.08333333333333333,0.07608695652173914,0.043478260869565216,0.05555555555555555,,0.058823529411764705,0.05555555555555555,0.08333333333333333,,0.3023255813953488,0.3076923076923077,0.3333333333333333,,0.16279069767441862,0.2857142857142857,0.2857142857142857,0.5,0.4186046511627907,0.5555555555555556,0.5555555555555556,0.2,0.09302325581395349,1.0,1.0,0.28,0.5714285714285714,0.4186046511627907,0.4542174418604652,,0.471898,0.14285714285714285,0.1590909090909091,0.038461538461538464,0.6153846153846154,10.634210526315789,24.660000000000004,0.48044692737430167,1.0,,,4.0,2.0,,,5.0,3.0,1.0,9.0,4.0,3.0,6.0,3.0,2.0,,2.0,0.5,0.4,,0.4,0.5454545454545454,0.09090909090909091,0.1111111111111111,0.25,0.25,,,,,0.16,0.25,1.0,3.0,1.0,4.0,1.0,3.0,0.02631578947368421,,,0.043478260869565216,0.023255813953488372,1.0,,2.0,1.0,,,2.0,,0.4,0.07692307692307693,,0.05263157894736842,0.1111111111111111,0.25,,2.0,,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,0.04,1.0,1.0,,,,,,True,,,,,,,,
255,1610612753,Grant Hill,Grant Hill,255,ORL,2411.0,40,-17.0,83,83,39,36,7.0,166,4.0,4.0,,,1.0,1.0,2.0,3.0,5.0,8.0,,11.0,15.0,,13.0,35.0,98,1.0,1.0,4.0,3.0,4.0,8.0,14.0,14.0,8.0,,,1.0,5.0,1.0,11.0,1.0,,3.0,,4,2.0,6,2.0,1.0,,1.0,,2.0,,1.0,5.0,5.0,15.0,1.0,7.0,1.0,,,,,,14.0,39,0.6363636363636364,0.6363636363636364,0.7333333333333333,1.0,0.75,0.7333333333333333,1.0,0.75,0.7954545454545454,1.0,0.875,,26.373626373626372,,0.1,,0.5,0.1,0.038461538461538464,,1.0,0.1111111111111111,0.09090909090909091,0.1,,0.26666666666666666,1.0,1.0,0.5,0.2,0.6666666666666666,0.6666666666666666,0.5,0.5333333333333333,0.625,0.625,0.8,,,,0.25,1.0,0.26666666666666666,0.46596,,0.48245000000000005,0.3333333333333333,0.3333333333333333,0.11428571428571428,0.4,11.353333333333333,,0.46987951807228917,,,,,,,,,,,4.0,2.0,1.0,1.0,1.0,,,,,,,,0.5,0.1,0.16666666666666666,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,5849.0,97,-10.0,189,196,109,132,31.0,385,9.0,14.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,9.0,10.0,12.0,26.0,15.0,5.0,44.0,202,1.0,1.0,7.0,6.0,12.0,2.0,20.0,10.0,14.0,,10.0,2.0,13.0,,28.0,4.0,3.0,4.0,,6,7.0,13,1.0,1.0,1.0,4.0,,7.0,,5.0,6.0,12.0,11.0,2.0,3.0,2.0,,,,,,20.0,109,0.4166666666666667,0.4166666666666667,0.46153846153846156,1.0,0.5,0.47560975609756095,0.625,0.45,0.4888888888888889,0.5833333333333334,0.43478260869565216,0.36585365853658536,22.707423580786024,,0.05063291139240506,0.045454545454545456,0.17391304347826086,0.061855670103092786,0.07865168539325842,,0.3333333333333333,0.06451612903225806,,0.09090909090909091,,0.34146341463414637,0.6428571428571429,0.6923076923076923,0.4444444444444444,0.07317073170731707,0.3333333333333333,0.5,,0.21951219512195122,0.2222222222222222,0.2222222222222222,0.5,0.24390243902439024,0.25,1.0,0.2,0.75,0.7073170731707317,0.5167829268292684,0.5452499999999999,0.47082499999999994,0.09302325581395349,0.1111111111111111,0.1590909090909091,0.45454545454545453,7.7423076923076914,25.44,0.5767195767195767,3.0,1.0,2.0,7.0,5.0,1.0,3.0,8.0,15.0,3.0,11.0,3.0,2.0,3.0,2.0,2.0,,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.1111111111111111,0.13333333333333333,0.3,0.3,1.0,0.5,0.5,1.0,0.35,0.3,5.0,,2.0,4.0,1.0,1.0,0.07692307692307693,0.3333333333333333,,0.047619047619047616,0.12195121951219512,2.0,2.0,2.0,4.0,,,1.0,,0.25,0.07142857142857142,,0.05263157894736842,0.11764705882352941,0.2857142857142857,,,,0.09523809523809523,1.0,2.0,,1.0,,1.0,,2.0,,0.4,0.4,1.0,0.25,,,0.05,,,1.0,0.0625,,,,True,,,,,,,,
278,1610612753,Stacey Augmon,Stacey Augmon,278,ORL,3472.0,58,-22.0,124,120,70,52,22.0,244,5.0,11.0,2.0,2.0,5.0,10.0,2.0,6.0,2.0,6.0,,9.0,23.0,,5.0,23.0,145,2.0,3.0,6.0,7.0,15.0,3.0,17.0,12.0,6.0,4.0,,,5.0,,10.0,,3.0,,1.0,4,3.0,7,2.0,,,1.0,,3.0,,,1.0,4.0,6.0,,2.0,1.0,,,,,,17.0,70,0.6666666666666666,0.8571428571428571,0.391304347826087,0.6666666666666666,0.4666666666666667,0.391304347826087,0.6666666666666666,0.4666666666666667,0.4423076923076923,0.75,0.5,,18.83116883116883,0.2,,0.04838709677419355,,0.06818181818181818,0.04411764705882353,0.07407407407407407,,,,,,0.4782608695652174,0.45454545454545453,0.5555555555555556,0.4,0.2608695652173913,0.3333333333333333,0.3333333333333333,1.0,0.2608695652173913,0.3333333333333333,0.3333333333333333,1.0,,0.6666666666666666,1.0,0.6666666666666666,0.5,0.4782608695652174,0.5098434782608696,0.5785333333333332,0.5566733333333335,0.08,0.08,0.2608695652173913,0.7391304347826086,7.46086956521739,,0.5645161290322581,,,,,,,,,,,5.0,3.0,3.0,2.0,1.0,1.0,,,,,,,0.6666666666666666,0.3333333333333333,0.16666666666666666,,,,,,,,,,,2.0,2.0,1.0,1.0,0.08695652173913043,,0.6666666666666666,0.08333333333333333,,,2.0,,,,2.0,,,,0.18181818181818182,,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
