EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,FTDefRebounds,BadPassTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,DefFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,FTOffRebounds,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffFTReboundPct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,SelfOReb,LostBallSteals,Travels,SecondChanceTurnovers,Offensive Fouls,RecoveredBlocks,OffensiveGoaltends,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,Fg3aBlocked,Blocked3s,BlockedArc3,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,DefensiveGoaltends,AtRimPctBlocked,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,on,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,Clear Path Fouls,HeaveMakes,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked
1000,1610612748,Shandon Anderson,Shandon Anderson,1000,MIA,4673.0,78,-3.0,142,146,71,68,15.0,288,5.0,7.0,5.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,6.0,11,4.0,3.0,15.0,163,1.0,1.0,5.0,7.0,3.0,10.0,10.0,2.0,1.0,2.0,4.0,6.0,3.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,8.0,9.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,11.0,1.0,5.0,1.0,3.0,10.0,71,2.0,0.8333333333333334,0.8333333333333334,0.5454545454545454,0.7142857142857143,0.4,0.5,0.4411764705882353,0.5,0.5,0.2666666666666666,11.949685534591197,0.5,0.125,0.0256410256410256,0.1,0.0625,0.1216216216216216,0.0363636363636363,0.0416666666666666,0.1,0.05,0.2105263157894736,0.12,0.1666666666666666,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.8,0.0666666666666666,1.0,1.0,1.0,0.2,0.2,0.0666666666666666,0.6,0.8333333333333334,0.2,0.1,0.7333333333333333,0.5447033333333332,0.58579,0.1764705882352941,0.2307692307692307,0.0666666666666666,0.6666666666666666,5.918181818181818,23.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1720,1610612748,Michael Doleac,Michael Doleac,1720,MIA,4803.0,80,9.0,148,152,65,62,14.0,300,,2.0,,,,1.0,13.0,,,,,9.0,16,,1.0,19.0,155,1.0,3.0,5.0,7.0,,11.0,18.0,,,2.0,,2.0,,,,2.0,4.0,3.0,1.0,1.0,4.0,9.0,4.0,13.0,2.0,2.0,1.0,,,,1.0,,2.0,7.0,,2.0,,1.0,11.0,65,1.0,1.0,1.0,0.5625,0.7142857142857143,0.5625,0.7142857142857143,0.5588235294117647,0.375,0.6875,,10.975609756097562,1.0,0.0655737704918032,0.0217391304347826,0.0769230769230769,0.2,0.0675675675675675,0.0655737704918032,0.0384615384615384,0.1538461538461538,0.1111111111111111,0.05,0.0434782608695652,,0.125,,,,0.0625,,,,0.8125,,,,,,,0.125,0.40908125,0.3957285714285714,0.0588235294117647,0.0588235294117647,0.1578947368421052,0.5789473684210527,14.9875,,0.4391891891891892,1.0,9.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,1.0,4.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.25,0.6923076923076923,0.6923076923076923,1.0,0.3333333333333333,0.4238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1800,1610612748,Damon Jones,Damon Jones,1800,MIA,9612.0,160,-2.0,300,302,153,169,34.0,602,2.0,3.0,1.0,2.0,,2.0,8.0,9.0,5.0,32.0,17.0,6.0,13,41.0,3.0,78.0,340,,3.0,2.0,6.0,22.0,43.0,2.0,10.0,32.0,11.0,1.0,12.0,1.0,,4.0,7.0,25.0,,1.0,2.0,12.0,14.0,2.0,16.0,3.0,3.0,5.0,2.0,,1.0,7.0,3.0,4.0,9.0,,3.0,,,43.0,153,3.0,0.1666666666666666,0.1666666666666666,0.4615384615384615,0.3333333333333333,0.6944444444444444,0.7142857142857143,0.7,0.3,0.7241379310344828,0.7592592592592593,17.97101449275362,0.7142857142857143,0.1025641025641025,0.0094339622641509,0.0909090909090909,,0.1007194244604316,0.0071942446043165,,,0.0606060606060606,0.1176470588235294,0.12,0.1111111111111111,0.0555555555555555,0.6666666666666666,0.6666666666666666,,0.037037037037037,,,,0.1481481481481481,0.1666666666666666,0.5925925925925926,0.0714285714285714,0.5,0.1785714285714285,0.6071428571428571,0.8148148148148148,0.5124601851851851,0.5001464285714285,,,0.0384615384615384,0.5512820512820513,13.153846153846152,24.768292682926827,0.51,,4.0,,,3.0,,4.0,,,,,,0.3,,,,0.5,0.5,0.25,,0.4591499999999999,5.0,3.0,16.0,1.0,5.0,9.0,21.0,1.0,5.0,12.0,54.0,9.0,16.0,1.0,2.0,1.0,1.0,0.8571428571428571,0.5121951219512195,0.2,0.5454545454545454,0.5121951219512195,0.05,0.037037037037037,0.5555555555555556,0.5555555555555556,1.0,0.5,0.5,0.8125,1.0,0.2,1.0,0.6,0.5294117647058824,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2124,1610612748,Malik Allen,Malik Allen,2124,MIA,14929.0,249,-21.0,457,458,219,217,50.0,915,12.0,17.0,8.0,9.0,6.0,16.0,43.0,,,,,35.0,76,,13.0,83.0,517,3.0,23.0,16.0,33.0,,40.0,40.0,30.0,,9.0,2.0,11.0,2.0,,4.0,2.0,24.0,6.0,17.0,5.0,21.0,28.0,24.0,52.0,4.0,2.0,4.0,7.0,1.0,3.0,11.0,5.0,19.0,29.0,3.0,14.0,,4.0,40.0,219,3.0,0.5714285714285714,0.7407407407407407,0.4605263157894737,0.4848484848484848,0.4605263157894737,0.4848484848484848,0.5,0.6764705882352942,0.5405405405405406,,18.146718146718147,0.3636363636363636,0.1135135135135135,0.1125827814569536,0.125,0.12,0.1155555555555555,0.1144278606965174,0.0875,0.125,0.1,0.1666666666666666,0.08,0.1034482758620689,0.2236842105263158,0.7058823529411765,0.7058823529411765,0.3333333333333333,0.2105263157894736,0.375,0.5,0.3333333333333333,0.5657894736842105,,,0.2727272727272727,0.8888888888888888,,,0.2236842105263158,0.4112131578947369,0.4137757575757575,0.05,0.05,0.2771084337349397,0.4819277108433735,12.376315789473685,,0.4792122538293216,12.0,17.0,10.0,15.0,8.0,2.0,1.0,11.0,7.0,4.0,11.0,0.6666666666666666,0.6666666666666666,0.08,0.1,0.1818181818181818,0.3953488372093023,0.3953488372093023,0.8235294117647058,0.8,0.5084153846153846,,,,,,,,,,,,,,1.0,2.0,,3.0,,,,,,0.04,0.131578947368421,,,,,,,,,,,,,8.0,16.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0526315789473684,0.25,0.1515151515151515,0.0833333333333333,0.2727272727272727,0.6666666666666666,,,,,,,,,,,,,True,,,,,,,,,,,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,7820.0,130,-21.0,238,238,106,113,27.0,476,3.0,5.0,,1.0,1.0,4.0,8.0,3.0,,14.0,10.0,5.0,17,17.0,12.0,34.0,277,,2.0,,5.0,10.0,14.0,8.0,2.0,14.0,6.0,4.0,10.0,3.0,1.0,2.0,2.0,24.0,1.0,1.0,2.0,9.0,14.0,2.0,16.0,4.0,3.0,1.0,1.0,,,2.0,1.0,5.0,14.0,1.0,16.0,1.0,4.0,14.0,106,3.0,0.8,0.8,0.2941176470588235,,0.3235294117647059,0.3,0.4146341463414634,0.3333333333333333,0.3888888888888889,0.5,15.808823529411764,0.5,0.088235294117647,0.0126582278481012,0.1052631578947368,0.032258064516129,0.0909090909090909,0.0181818181818181,,0.0384615384615384,0.0384615384615384,0.1176470588235294,0.0952380952380952,0.0625,0.1470588235294117,0.6,0.6,1.0,0.1176470588235294,0.25,0.25,1.0,0.2352941176470588,0.088235294117647,0.4117647058823529,0.0666666666666666,,,0.6666666666666666,0.6470588235294118,0.4915455882352942,0.5225500000000001,0.1081081081081081,0.2,0.0588235294117647,0.4117647058823529,10.870588235294118,24.45882352941177,0.4453781512605042,1.0,1.0,1.0,3.0,5.0,3.0,1.0,,,,2.0,0.3333333333333333,0.3333333333333333,0.2727272727272727,,0.3333333333333333,0.125,0.125,,0.3333333333333333,0.4468666666666667,1.0,,3.0,,,3.0,4.0,,,3.0,12.0,,3.0,,,1.0,4.0,1.0,0.2352941176470588,,0.3,0.2352941176470588,,,0.3333333333333333,0.3333333333333333,1.0,0.2142857142857142,0.2307692307692307,1.0,,,,,0.3,0.2142857142857142,,,,2.0,,1.0,,1.0,1.0,,,,,0.0454545454545454,,,,1.0,2.0,1.0,1.0,0.0588235294117647,0.0714285714285714,,,,,,,True,,,,,,,,,,,,,,
2446,1610612748,Rasual Butler,Rasual Butler,2446,MIA,6885.0,115,-9.0,208,212,105,102,23.0,420,4.0,4.0,1.0,1.0,,,17.0,1.0,1.0,12.0,8.0,8.0,21,13.0,2.0,33.0,233,,,5.0,12.0,9.0,21.0,10.0,6.0,12.0,8.0,,8.0,,,3.0,3.0,16.0,1.0,,2.0,10.0,15.0,1.0,16.0,4.0,1.0,4.0,2.0,,1.0,6.0,3.0,9.0,14.0,,3.0,,1.0,21.0,105,1.0,0.625,0.625,0.3809523809523809,0.4166666666666667,0.4558823529411764,0.4523809523809524,0.4571428571428571,,0.4545454545454545,0.3823529411764705,17.521367521367523,0.6666666666666666,0.1219512195121951,,0.0869565217391304,0.0454545454545454,0.1142857142857142,0.0112359550561797,,,0.1428571428571428,0.0714285714285714,0.1515151515151515,0.0588235294117647,0.1176470588235294,1.0,1.0,0.75,,,,,0.5,0.0294117647058823,0.3529411764705882,0.0476190476190476,1.0,0.0476190476190476,0.3809523809523809,0.5,0.4560764705882353,0.4574666666666667,0.0285714285714285,0.0454545454545454,,0.6363636363636364,15.333333333333334,25.22307692307692,0.5048076923076923,,4.0,,2.0,2.0,3.0,3.0,1.0,,1.0,1.0,,,0.2727272727272727,0.25,0.1666666666666666,0.2352941176470588,0.2352941176470588,0.5,,0.427,,,5.0,,1.0,3.0,5.0,,1.0,3.0,3.0,12.0,5.0,,,1.0,,0.2,0.3846153846153846,,0.3333333333333333,0.3846153846153846,,,,,,0.4166666666666667,0.4166666666666667,0.2,0.3333333333333333,,,,0.375,0.4166666666666667,,,,2.0,1.0,3.0,1.0,1.0,,,,,,,0.0476190476190476,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,8583.0,143,-2.0,267,267,139,136,33.0,534,17.0,27.0,8.0,13.0,5.0,14.0,17.0,,,,,29.0,58,,40.0,98.0,301,1.0,3.0,15.0,31.0,,54.0,8.0,50.0,,19.0,6.0,25.0,4.0,2.0,9.0,8.0,56.0,,3.0,5.0,10.0,15.0,3.0,18.0,4.0,4.0,6.0,7.0,3.0,6.0,13.0,7.0,4.0,10.0,,54.0,10.0,27.0,54.0,139,2.0,0.1379310344827586,0.1428571428571428,0.5,0.4838709677419355,0.5,0.4838709677419355,0.6125,0.5,0.6,,30.392156862745097,0.4615384615384615,0.0884955752212389,0.0329670329670329,0.25,,0.112781954887218,0.0245901639344262,0.0238095238095238,,0.03125,0.125,0.1020408163265306,0.2352941176470588,0.4655172413793103,0.6296296296296297,0.68,0.1176470588235294,0.2413793103448276,0.3571428571428571,0.3571428571428571,,0.293103448275862,,,0.4193548387096774,0.6153846153846154,,,0.4655172413793103,0.4778862068965517,0.4541322580645162,0.36,0.36,0.0306122448979591,0.5510204081632653,7.9172413793103456,,0.5205992509363296,2.0,7.0,1.0,2.0,24.0,,,5.0,3.0,,5.0,0.5,0.5,,,0.3333333333333333,0.4117647058823529,0.4117647058823529,0.2857142857142857,1.0,0.48895,,,,,,,,,,,,,,,,,5.0,,,,,,,0.074074074074074,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,3.0,,0.0344827586206896,,,0.0384615384615384,0.6,0.5,,,,,,,2.0,1.0,0.074074074074074,,,,True,,,,,,,,,,,,,,
2039,1610612748,Keyon Dooling,Keyon Dooling,2039,MIA,5091.0,85,-22.0,153,149,55,47,12.0,302,4.0,5.0,1.0,1.0,1.0,2.0,14.0,,,4.0,2.0,7.0,21,4.0,7.0,24.0,175,,,2.0,6.0,2.0,10.0,6.0,8.0,4.0,11.0,2.0,13.0,1.0,1.0,,8.0,28.0,,1.0,1.0,5.0,6.0,1.0,7.0,4.0,4.0,,6.0,,,6.0,2.0,3.0,7.0,,8.0,,3.0,10.0,55,,0.4285714285714285,0.4285714285714285,0.3333333333333333,0.3333333333333333,0.34,0.4375,0.4137931034482758,,0.5,0.16,21.08433734939759,,0.087719298245614,0.0204081632653061,0.05,,0.0779220779220779,0.0161290322580645,,,0.0714285714285714,0.0454545454545454,0.1428571428571428,0.1,0.2,0.8,1.0,0.5,0.08,0.5,0.5,,0.56,,0.16,0.125,1.0,,0.25,0.36,0.4181479999999999,0.3700624999999999,0.1071428571428571,0.125,,0.4166666666666667,13.823809523809524,24.375,0.3594771241830065,,2.0,,,3.0,,,1.0,,,1.0,,,,,,0.1428571428571428,0.1428571428571428,0.5,,,,,1.0,,,1.0,1.0,,,1.0,3.0,,1.0,,2.0,,1.0,1.0,0.25,,0.5,0.25,,,,,,0.25,0.25,1.0,,,,,0.5,0.25,,,1.0,3.0,,,1.0,2.0,,,,0.0476190476190476,,0.1111111111111111,,,,,,,,,,1.0,,0.2,,,,True,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,1445.0,24,-7.0,46,44,33,31,9.0,90,1.0,2.0,1.0,2.0,,1.0,2.0,,,,,2.0,5,,4.0,8.0,56,2.0,4.0,2.0,3.0,,8.0,2.0,2.0,,2.0,,2.0,,,1.0,1.0,4.0,1.0,2.0,,2.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,,,2.0,1.0,2.0,4.0,,4.0,,,8.0,33,2.0,0.5,1.0,0.4,0.6666666666666666,0.4,0.6666666666666666,0.5714285714285714,1.0,0.8,,16.07142857142857,0.5,0.0909090909090909,0.1052631578947368,,0.125,0.0769230769230769,0.1111111111111111,0.0833333333333333,,0.125,0.1428571428571428,,,0.4,0.5,0.5,,0.2,,,,0.4,,,0.6666666666666666,0.5,,,0.4,0.46012,0.5040333333333333,,,0.5,1.0,8.440000000000001,,0.717391304347826,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,1.0,1.0,0.3333333333333333,1.0,,0.5,0.5,1.0,1.0,0.5452,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,
406,1610612748,Shaquille O'Neal,Shaquille O'Neal,406,MIA,6961.0,116,-12.0,210,209,97,90,21.0,419,17.0,24.0,4.0,4.0,10.0,22.0,,,,,,27.0,46,,21.0,75.0,245,5.0,15.0,7.0,11.0,,24.0,36.0,18.0,,6.0,5.0,11.0,5.0,,4.0,2.0,27.0,3.0,9.0,7.0,15.0,25.0,12.0,37.0,,,2.0,10.0,1.0,2.0,12.0,5.0,9.0,17.0,1.0,45.0,5.0,18.0,24.0,97,1.0,0.6666666666666666,0.75,0.5869565217391305,0.6363636363636364,0.5869565217391305,0.6363636363636364,0.5597014925373134,0.625,0.5714285714285714,,32.63598326359833,0.1666666666666666,0.1923076923076923,0.1343283582089552,0.4117647058823529,0.1578947368421052,0.231578947368421,0.1395348837209302,0.0909090909090909,0.2,0.1875,0.1666666666666666,0.2105263157894736,0.4166666666666667,0.5217391304347826,0.7083333333333334,0.7727272727272727,0.6470588235294118,0.4782608695652174,0.4545454545454545,0.4761904761904761,0.7,,,,0.3636363636363636,1.0,,,0.5217391304347826,0.4491934782608694,0.4396818181818181,0.3050847457627119,0.3050847457627119,0.2,0.32,4.158695652173913,,0.4619047619047619,6.0,,5.0,8.0,10.0,3.0,,9.0,2.0,4.0,9.0,0.625,0.625,0.3,,0.4,,,,0.75,0.4667285714285714,,,,,,,,,,,,,,,1.0,,8.0,,,,,,,0.15,,,,,,,,,,,,,4.0,6.0,3.0,,3.0,,3.0,1.0,3.0,3.0,,0.0652173913043478,0.0454545454545454,0.2142857142857142,0.1875,0.3333333333333333,0.6666666666666666,,,,,,,3.0,1.0,0.0833333333333333,2.0,1.0,0.25,True,,,,,,,,,,,,,,
