EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallSteals,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,HeaveAttempts,Corner3Assists,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,HeaveMakes,ShortMidRangeAssists,Charge Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,SecondChanceFg3Pct,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,Travels,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,on,OffensiveGoaltends
1627826,1610612746,Ivica Zubac,Ivica Zubac,1627826,LAC,9465.0,158,-70,305,305,94,72,33,610,11.0,21.0,3.0,7.0,3.0,7.0,5.0,9.0,16.0,30.0,15.0,47.0,372,3.0,7.0,3.0,9.0,4.0,10.0,10.0,18.0,26.0,6.0,6.0,5.0,2.0,2.0,1.0,1.0,4.0,7.0,9.0,11,19.0,1.0,31,16.0,47,1.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,9.0,1.0,4.0,10.0,18.0,1.0,4.0,14.0,1.0,20.0,2.0,7.0,4.0,6.0,3.0,3.0,6.0,2.0,1.0,2.0,18.0,93,4.0,0.8125,1.0,0.5333333333333333,0.42857142857142855,0.4,0.5333333333333333,0.42857142857142855,0.4,0.6025641025641025,0.5,0.5294117647058824,0.16666666666666666,0.19047619047619047,0.1111111111111111,13.91304347826087,0.3333333333333333,0.125,0.2638888888888889,0.08653846153846154,0.16417910447761194,0.109375,0.2158273381294964,0.09523809523809523,0.09090909090909091,0.13953488372093023,0.06382978723404255,0.23529411764705882,0.3684210526315789,0.24,0.21428571428571427,0.1694915254237288,0.125,0.1111111111111111,0.3333333333333333,0.7,0.5238095238095238,0.6470588235294118,0.7272727272727273,0.3,0.5555555555555556,0.625,1.0,1.0,0.42857142857142855,0.7,0.42857142857142855,0.7,0.5081233333333333,0.6037714285714285,0.561,0.2,0.2,0.19148936170212766,0.3829787234042553,3.02,0.3081967213114754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1628379,1610612746,Luke Kennard,Luke Kennard,1628379,LAC,5148.0,86,35,175,164,74,56,15,339,1.0,1.0,1.0,1.0,,,,1.0,2.0,3.0,1.0,32.0,164,1.0,1.0,,2.0,1.0,1.0,,11.0,4.0,,,,,2.0,,,6.0,2.0,,2,1.0,,3,2.0,5,,2.0,1.0,2.0,,2.0,1.0,,3.0,,,2.0,6.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,11.0,72,,1.0,1.0,0.6666666666666666,1.0,1.0,0.6739130434782609,0.5,0.6875,0.6956521739130435,0.5,0.6875,,,,13.68421052631579,0.6666666666666666,,0.022727272727272728,,0.044444444444444446,0.041666666666666664,0.033707865168539325,0.025,,,0.06666666666666667,,,0.05263157894736842,,0.058823529411764705,,,,0.043478260869565216,1.0,1.0,1.0,0.043478260869565216,,,,0.5,1.0,,,0.9130434782608695,0.5463782608695652,0.6181,0.54970625,0.043478260869565216,,0.0625,0.34375,8.466666666666667,0.4228571428571429,1.0,1.0,6.0,9.0,3.0,4.0,3.0,11.0,1.0,3.0,9.0,20.0,1.0,3.0,7.0,21.0,6.0,11.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.7777777777777778,0.45,0.42857142857142855,0.45,0.8695652173913043,0.043478260869565216,1.0,1.0,1.0,0.391304347826087,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4782608695652174,0.2727272727272727,0.2727272727272727,1.0,1.0,0.5,0.5,0.75,0.375,0.2727272727272727,0.05,24.634999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1629611,1610612746,Terance Mann,Terance Mann,1629611,LAC,10805.0,180,42,350,355,98,72,20,705,13.0,16.0,2.0,2.0,5.0,6.0,2.0,7.0,16.0,29.0,7.0,63.0,387,3.0,3.0,,6.0,5.0,10.0,3.0,22.0,12.0,20.0,4.0,2.0,3.0,7.0,3.0,,18.0,2.0,3.0,10,4.0,,14,5.0,19,,8.0,5.0,2.0,,1.0,1.0,1.0,3.0,1.0,,6.0,17.0,3.0,,12.0,,9.0,1.0,4.0,1.0,2.0,,2.0,2.0,1.0,,,21.0,96,,0.375,0.42857142857142855,0.5517241379310345,1.0,0.5,0.5384615384615384,1.0,0.59375,0.5625,1.0,0.6111111111111112,0.06896551724137931,0.0625,0.14285714285714285,15.902964959568733,0.6666666666666666,,0.045454545454545456,0.04477611940298507,0.10752688172043011,0.02531645569620253,0.07734806629834254,0.03424657534246575,0.125,0.034482758620689655,0.03571428571428571,,,0.06818181818181818,0.047619047619047616,0.06493506493506493,0.3125,,0.5,0.3076923076923077,0.8125,0.8666666666666667,0.38461538461538464,0.1346153846153846,0.2857142857142857,0.3333333333333333,0.5,0.6666666666666666,1.0,0.375,0.8333333333333334,0.75,0.5561676470588236,0.5856666666666667,0.566696875,0.07272727272727272,0.125,0.09523809523809523,0.3492063492063492,6.3482758620689665,0.28,1.0,6.0,6.0,15.0,3.0,5.0,2.0,8.0,,1.0,8.0,23.0,,3.0,6.0,24.0,,7.0,2.0,4.0,3.0,3.0,,,1.0,1.0,0.34782608695652173,0.5,0.36363636363636365,0.4423076923076923,0.11538461538461539,0.16666666666666666,0.16666666666666666,,0.28846153846153844,0.4,0.4,1.0,0.15384615384615385,0.25,0.25,1.0,,,0.3125,0.6,0.0625,0.2857142857142857,,24.804347826086957,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
202331,1610612746,Paul George,Paul George,202331,LAC,32782.0,546,-6,1063,1062,290,249,87,2125,40.0,65.0,2.0,3.0,7.0,18.0,21.0,47.0,78.0,154.0,109.0,349.0,1234,2.0,7.0,6.0,19.0,16.0,39.0,42.0,95.0,30.0,126.0,2.0,8.0,31.0,64.0,23.0,1.0,161.0,7.0,9.0,55,53.0,11.0,119,16.0,135,7.0,14.0,9.0,32.0,8.0,22.0,21.0,10.0,53.0,6.0,15.0,13.0,39.0,3.0,4.0,93.0,,122.0,9.0,41.0,17.0,4.0,2.0,1.0,7.0,5.0,,,89.0,281,10.0,0.19230769230769232,0.19480519480519481,0.5064935064935064,0.2857142857142857,0.41025641025641024,0.47244094488188976,0.5,0.37857142857142856,0.5672131147540984,0.5588235294117647,0.5222222222222223,0.05194805194805195,0.07692307692307693,0.06382978723404255,30.722891566265062,0.6037735849056604,0.4230769230769231,0.19272727272727272,0.03829787234042553,0.23504273504273504,0.027237354085603113,0.21218074656188604,0.032520325203252036,0.06329113924050633,0.03296703296703297,0.02247191011235955,0.0379746835443038,0.16666666666666666,0.1623931623931624,0.27941176470588236,0.24083769633507854,0.20930232558139536,0.050724637681159424,0.7142857142857143,0.2559055118110236,0.6153846153846154,0.6666666666666666,0.225,0.18503937007874016,0.44680851063829785,0.4772727272727273,0.09523809523809523,0.23076923076923078,0.6666666666666666,0.2571428571428571,0.3888888888888889,0.6496062992125984,0.5019684523809523,0.58813125,0.5043536764705883,0.14930555555555555,0.22043010752688172,0.054441260744985676,0.2722063037249284,8.433116883116883,0.27281279397930386,17.0,42.0,1.0,14.0,,2.0,27.0,86.0,5.0,29.0,28.0,100.0,6.0,7.0,31.0,51.0,33.0,83.0,26.0,33.0,22.0,5.0,,2.0,4.0,0.6071428571428571,0.28,0.22580645161290322,0.2755102040816326,0.3937007874015748,0.16535433070866143,0.40476190476190477,0.40476190476190477,0.23529411764705882,0.05511811023622047,0.07142857142857142,0.07142857142857142,1.0,0.33858267716535434,0.313953488372093,0.313953488372093,0.5925925925925926,,0.38461538461538464,0.02857142857142857,,0.4142857142857143,0.3132530120481928,0.0196078431372549,26.445999999999998,2.0,11.0,5.0,2.0,5.0,1.0,3.0,7.0,3.0,1.0,7.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,0.5,0.015384615384615385,0.07692307692307693,0.6,1.0,0.2413793103448276,,,,,,,,,,,,True,
202694,1610612746,Marcus Morris Sr.,Marcus Morris Sr.,202694,LAC,36248.0,604,-12,1179,1174,328,294,98,2353,10.0,20.0,3.0,4.0,2.0,5.0,23.0,42.0,50.0,104.0,24.0,232.0,1369,6.0,10.0,5.0,23.0,7.0,21.0,15.0,62.0,32.0,68.0,2.0,3.0,14.0,28.0,11.0,2.0,70.0,7.0,6.0,31,37.0,,68,13.0,81,6.0,10.0,7.0,2.0,1.0,2.0,5.0,,7.0,1.0,2.0,23.0,49.0,8.0,3.0,27.0,3.0,32.0,,8.0,8.0,10.0,6.0,3.0,10.0,5.0,,,61.0,318,7.0,0.32,0.32653061224489793,0.4807692307692308,0.6,0.3333333333333333,0.52,0.5625,0.5108695652173914,0.5370370370370371,0.6052631578947368,0.5535714285714286,0.028846153846153848,,0.07142857142857142,17.30023273855702,0.2857142857142857,,0.12457912457912458,0.023166023166023165,0.1169811320754717,0.024390243902439025,0.12099644128113879,0.023809523809523808,0.011363636363636364,0.0392156862745098,0.025380710659898477,0.022222222222222223,0.08247422680412371,0.14960629921259844,0.136986301369863,0.11981566820276497,0.10416666666666667,0.056074766355140186,0.5,0.1,0.5,0.5,0.6,0.21,0.5476190476190477,0.5897435897435898,0.17391304347826086,0.25,0.75,0.10869565217391304,0.4,0.58,0.49179673366834176,0.5383549999999999,0.4976833333333334,0.038461538461538464,0.07142857142857142,0.09913793103448276,0.2672413793103448,11.672115384615388,0.2782018659881255,17.0,42.0,8.0,32.0,3.0,11.0,28.0,64.0,5.0,14.0,36.0,96.0,6.0,11.0,25.0,102.0,6.0,63.0,28.0,14.0,7.0,3.0,,,6.0,0.9444444444444444,0.375,0.44,0.37894736842105264,0.48,0.21,0.40476190476190477,0.40476190476190477,0.35294117647058826,0.16,0.25,0.25806451612903225,1.0,0.32,0.4375,0.4444444444444444,0.9285714285714286,0.3333333333333333,0.3125,0.2391304347826087,0.2727272727272727,0.30434782608695654,0.4444444444444444,,25.190625,1.0,7.0,1.0,1.0,3.0,1.0,2.0,8.0,2.0,,1.0,,,,,,1.0,,0.3333333333333333,0.014492753623188406,0.0625,0.4,0.5,0.5714285714285714,2.0,0.020833333333333332,0.03125,0.015625,,,,,,,,True,
200765,1610612746,Rajon Rondo,Rajon Rondo,200765,LAC,5580.0,93,-59,173,175,73,74,19,348,1.0,6.0,,1.0,,2.0,,5.0,1.0,11.0,1.0,18.0,219,,1.0,,,,2.0,,,2.0,,,1.0,8.0,16.0,3.0,2.0,40.0,2.0,,4,4.0,,8,2.0,10,,5.0,1.0,5.0,,4.0,1.0,1.0,6.0,,1.0,2.0,9.0,1.0,,5.0,,2.0,,1.0,,1.0,,1.0,2.0,1.0,,,,73,,1.0,1.0,0.09090909090909091,,,0.3695652173913043,,,0.375,,,0.09090909090909091,0.16666666666666666,,15.228426395939087,0.8333333333333334,,0.10810810810810811,,0.12121212121212122,0.03333333333333333,0.11428571428571428,0.020618556701030927,,,0.025,0.05,,0.0625,0.21428571428571427,0.13793103448275862,,,0.5,0.2608695652173913,0.16666666666666666,0.2,1.0,0.21739130434782608,,,,0.3333333333333333,,0.5,,0.782608695652174,0.4826869565217391,0.5586,0.4715125,0.041666666666666664,0.08333333333333333,,,5.0272727272727264,0.42196531791907516,,,,,,,5.0,12.0,2.0,2.0,5.0,12.0,2.0,,2.0,12.0,3.0,12.0,5.0,8.0,7.0,4.0,,,1.0,0.8,0.4166666666666667,,0.4166666666666667,0.5217391304347826,,,,,,,,,0.5217391304347826,0.4166666666666667,0.4166666666666667,0.8,,0.6666666666666666,,,0.5,0.4166666666666667,,26.48333333333333,,1.0,1.0,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,
202695,1610612746,Kawhi Leonard,Kawhi Leonard,202695,LAC,20057.0,334,-24,651,645,179,179,60,1296,33.0,44.0,4.0,8.0,11.0,14.0,22.0,45.0,69.0,112.0,48.0,237.0,779,7.0,13.0,9.0,26.0,20.0,32.0,13.0,80.0,52.0,86.0,8.0,3.0,15.0,37.0,11.0,,96.0,5.0,13.0,14,26.0,6.0,46,18.0,64,7.0,17.0,10.0,14.0,1.0,8.0,7.0,6.0,21.0,2.0,6.0,7.0,21.0,6.0,,65.0,1.0,56.0,7.0,25.0,4.0,7.0,4.0,3.0,7.0,5.0,,,80.0,174,4.0,0.37681159420289856,0.4,0.6160714285714286,0.5384615384615384,0.625,0.6057692307692307,0.4722222222222222,0.6203703703703703,0.6564245810055865,0.5652173913043478,0.6451612903225806,0.026785714285714284,,0.06666666666666667,27.97202797202797,0.6666666666666666,0.3333333333333333,0.17218543046357615,0.0948905109489051,0.0958904109589041,0.029940119760479042,0.13468013468013468,0.05921052631578947,0.14583333333333334,0.05660377358490566,0.025423728813559324,0.04081632653061224,0.18518518518518517,0.15714285714285714,0.18518518518518517,0.08264462809917356,0.16,0.10606060606060606,0.7142857142857143,0.28205128205128205,0.75,0.75,0.45454545454545453,0.28846153846153844,0.4888888888888889,0.5238095238095238,0.3181818181818182,0.4444444444444444,0.5,0.25925925925925924,0.7857142857142857,0.5641025641025641,0.5031615384615383,0.5247863636363636,0.4812370370370371,0.14857142857142858,0.19230769230769232,0.10970464135021098,0.33755274261603374,8.104464285714286,0.2749615975422427,14.0,23.0,3.0,8.0,1.0,4.0,14.0,36.0,3.0,18.0,17.0,44.0,5.0,9.0,22.0,33.0,18.0,36.0,14.0,22.0,18.0,7.0,,1.0,3.0,0.6470588235294118,0.38636363636363635,0.4090909090909091,0.38636363636363635,0.28205128205128205,0.14743589743589744,0.6086956521739131,0.6086956521739131,0.2857142857142857,0.05128205128205128,0.375,0.375,1.0,0.23076923076923078,0.3888888888888889,0.3888888888888889,0.5714285714285714,,0.16666666666666666,0.07407407407407407,0.25,0.3333333333333333,0.3888888888888889,0.022222222222222223,25.71136363636364,,4.0,3.0,,,2.0,,8.0,1.0,,4.0,1.0,2.0,,,,,,0.2,0.08333333333333333,0.1111111111111111,,,0.4444444444444444,,,,,1.0,1.0,1.0,0.5,1.0,,,True,
201976,1610612746,Patrick Beverley,Patrick Beverley,201976,LAC,12645.0,211,-46,409,411,122,91,39,820,6.0,9.0,,,1.0,1.0,5.0,11.0,11.0,21.0,4.0,47.0,477,,,,,1.0,3.0,2.0,4.0,10.0,12.0,,2.0,8.0,16.0,4.0,1.0,40.0,3.0,3.0,10,10.0,1.0,21,7.0,28,1.0,8.0,2.0,,,,2.0,,2.0,1.0,,11.0,26.0,1.0,1.0,12.0,2.0,6.0,,3.0,,6.0,1.0,4.0,9.0,5.0,,,4.0,121,,0.45454545454545453,0.45454545454545453,0.5238095238095238,,0.3333333333333333,0.524390243902439,,0.125,0.5340909090909091,,0.2222222222222222,0.09523809523809523,,0.18181818181818182,10.10989010989011,,0.125,0.0970873786407767,0.026785714285714284,0.12195121951219512,0.03,0.10810810810810811,0.02830188679245283,0.05405405405405406,,0.04285714285714286,,0.1,0.05405405405405406,0.1388888888888889,0.10144927536231885,0.23076923076923078,0.05263157894736842,0.5555555555555556,0.21951219512195122,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2682926829268293,0.45454545454545453,0.5555555555555556,0.6,,,0.125,1.0,0.7073170731707317,0.5027585365853658,,0.49669374999999993,0.06818181818181818,0.125,,0.0851063829787234,4.795238095238095,0.2982885085574572,,1.0,1.0,5.0,,2.0,6.0,15.0,2.0,3.0,7.0,20.0,2.0,,5.0,21.0,,15.0,6.0,8.0,6.0,6.0,,,3.0,1.0,0.35,,0.35,0.4878048780487805,0.024390243902439025,,,,0.12195121951219512,0.2,0.2,1.0,0.36585365853658536,0.4,0.42857142857142855,1.0,,1.0,0.25,,0.375,0.4,,25.04,,2.0,1.0,2.0,3.0,,,,,,3.0,,,3.0,2.0,1.0,1.0,,,0.03125,,,,,1.0,0.05,,0.06666666666666667,,,,,,1.0,0.2,True,
202326,1610612746,DeMarcus Cousins,DeMarcus Cousins,202326,LAC,1610.0,27,-8,58,57,26,15,6,115,4.0,7.0,,1.0,,2.0,1.0,3.0,5.0,10.0,,16.0,69,,1.0,,3.0,,2.0,,3.0,6.0,4.0,,1.0,2.0,3.0,2.0,,7.0,,1.0,2,1.0,,3,1.0,4,,1.0,,,,,2.0,,2.0,,1.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,3.0,26,,0.6,0.6,0.5,,,0.5333333333333333,0.75,0.3,0.5333333333333333,0.75,0.3,0.1,0.14285714285714285,,27.419354838709676,,,0.07142857142857142,0.0625,0.2222222222222222,,0.13043478260869565,0.037037037037037035,,,,,,0.125,,0.25,,,,0.4666666666666667,0.5714285714285714,0.6666666666666666,0.75,0.2,0.3333333333333333,0.3333333333333333,,0.5,,0.4,,0.8,0.5133133333333333,0.4044,0.51655,0.06666666666666667,0.1,0.1875,0.1875,3.65,0.4482758620689655,,,,,,,2.0,5.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,6.0,,5.0,2.0,1.0,1.0,1.0,,,1.0,1.0,0.4,0.3333333333333333,0.4,0.3333333333333333,,,,,,,,,0.3333333333333333,0.4,0.4,1.0,,0.5,,,0.6,0.4,,25.74,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,0.3333333333333333,,1.0,1.0,0.3333333333333333,,,,,,,1.0,,,,,True,
202704,1610612746,Reggie Jackson,Reggie Jackson,202704,LAC,25806.0,430,20,842,835,180,185,61,1677,21.0,34.0,,,4.0,7.0,13.0,24.0,40.0,70.0,28.0,219.0,990,2.0,5.0,2.0,12.0,8.0,17.0,17.0,48.0,22.0,58.0,,8.0,20.0,44.0,10.0,6.0,112.0,2.0,2.0,16,23.0,2.0,41,4.0,45,1.0,10.0,6.0,9.0,2.0,8.0,9.0,1.0,18.0,1.0,3.0,13.0,36.0,,4.0,27.0,,31.0,3.0,11.0,6.0,3.0,2.0,1.0,3.0,1.0,,,41.0,170,2.0,0.275,0.275,0.5714285714285714,0.4,0.47058823529411764,0.5858895705521472,0.4166666666666667,0.484375,0.6186440677966102,0.46153846153846156,0.5853658536585366,0.11428571428571428,0.20588235294117646,0.041666666666666664,21.405049396267838,0.5,0.1111111111111111,0.10454545454545454,0.011764705882352941,0.08333333333333333,0.01020408163265306,0.09466019417475728,0.01092896174863388,0.015625,0.015384615384615385,0.007462686567164179,0.016129032258064516,0.14102564102564102,0.08695652173913043,0.08,0.0718954248366013,0.1282051282051282,0.0136986301369863,0.3333333333333333,0.2085889570552147,0.6176470588235294,0.7777777777777778,0.38095238095238093,0.147239263803681,0.5416666666666666,0.5652173913043478,0.23076923076923078,,,0.21875,0.5714285714285714,0.7791411042944786,0.5091549689440994,0.45250833333333335,0.4604112903225806,0.06432748538011696,0.14102564102564102,0.0547945205479452,0.2191780821917808,7.247142857142857,0.21377672209026127,6.0,12.0,8.0,23.0,1.0,3.0,29.0,70.0,4.0,12.0,37.0,93.0,7.0,5.0,15.0,93.0,18.0,69.0,29.0,24.0,16.0,4.0,,,3.0,0.8378378378378378,0.3978494623655914,0.3333333333333333,0.40217391304347827,0.5705521472392638,0.0736196319018405,0.5,0.5,,0.1411042944785276,0.34782608695652173,0.34782608695652173,0.75,0.4294478527607362,0.4142857142857143,0.4142857142857143,0.8620689655172413,,0.3333333333333333,0.09375,0.3333333333333333,0.375,0.42028985507246375,,26.098924731182795,1.0,8.0,1.0,,1.0,3.0,,4.0,2.0,,4.0,,,,,,,,0.2857142857142857,,0.25,,,0.3333333333333333,,,,,2.0,,2.0,0.6666666666666666,1.0,,,True,
